"","Table 1#17#6# Real Gross Domestic Product, Real Gross Domestic I","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"30","9","    Final sales to domestic purchasers \2\","A713RX1","1,088,287.0","1,017,815.0","960,883.0","854,556.0","829,912.0","905,731.0","970,206.0","1,094,545.0","1,135,018.0","1,109,758.0","1,190,791.0","1,266,892.0","1,490,299.0","1,828,411.0","2,189,441.0","2,362,826.0","2,331,744.0","1,915,756.0","1,930,258.0","2,007,310.0","2,052,495.0","2,201,668.0","2,348,020.0","2,493,001.0","2,635,490.0","2,633,697.0","2,782,465.0","2,840,178.0","2,908,949.0","2,917,949.0","3,095,037.0","3,157,233.0","3,238,910.0","3,428,443.0","3,574,760.0","3,775,941.0","4,012,312.0","4,271,041.0","4,420,663.0","4,658,197.0","4,807,591.0"
"31",NA,"Purchasing power of income: \3\"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","10","    Command-basis gross domestic product","C191RX1","1,081,430.0","994,179.0","925,322.0","805,488.0","795,867.0","887,700.0","967,503.0","1,090,879.0","1,151,442.0","1,102,997.0","1,192,156.0","1,302,814.0","1,538,577.0","1,826,389.0","2,133,817.0","2,306,707.0","2,284,295.0","2,012,936.0","1,987,391.0","2,066,180.0","2,048,913.0","2,226,070.0","2,406,432.0","2,497,726.0","2,617,893.0","2,597,759.0","2,791,859.0","2,852,723.0","2,911,018.0","2,891,616.0","3,091,780.0","3,171,804.0","3,255,066.0","3,455,886.0","3,602,863.0","3,808,469.0","4,059,425.0","4,328,539.0","4,454,387.0","4,674,234.0","4,822,391.0"
"33","11","    Command-basis net domestic product \1\","C362RX1","988,437.0","897,340.0","827,241.0","707,573.0","700,439.0","796,439.0","877,664.0","1,002,031.0","1,060,464.0","1,008,369.0","1,098,691.0","1,209,702.0","1,445,431.0","1,726,156.0","2,017,649.0","2,165,108.0","2,121,777.0","1,838,960.0","1,815,843.0","1,897,101.0","1,876,437.0","2,055,411.0","2,233,034.0","2,314,198.0","2,422,652.0","2,385,770.0","2,573,319.0","2,621,651.0","2,666,645.0","2,628,588.0","2,824,825.0","2,895,695.0","2,966,683.0","3,157,681.0","3,289,833.0","3,481,487.0","3,716,353.0","3,965,641.0","4,065,235.0","4,262,884.0","4,385,906.0"
"34","12","    Command-basis gross national product","CB22RX1","1,089,353.0","1,001,827.0","931,478.0","810,413.0","800,043.0","891,407.0","971,946.0","1,094,247.0","1,156,010.0","1,107,781.0","1,196,913.0","1,306,357.0","1,543,525.0","1,830,911.0","2,137,294.0","2,310,036.0","2,286,948.0","2,018,697.0","1,996,217.0","2,077,127.0","2,058,528.0","2,236,748.0","2,419,542.0","2,511,210.0","2,630,650.0","2,611,671.0","2,807,901.0","2,870,441.0","2,929,745.0","2,907,383.0","3,108,118.0","3,189,977.0","3,275,399.0","3,479,264.0","3,628,120.0","3,835,791.0","4,088,239.0","4,355,465.0","4,482,267.0","4,704,413.0","4,851,306.0"
"35","13","    Command-basis net national product \1\","C027RX1","996,477.0","905,101.0","833,514.0","712,601.0","704,713.0","800,243.0","882,212.0","1,005,482.0","1,065,163.0","1,013,309.0","1,103,606.0","1,213,368.0","1,450,557.0","1,730,851.0","2,021,256.0","2,168,561.0","2,124,520.0","1,844,895.0","1,824,974.0","1,908,448.0","1,886,426.0","2,066,507.0","2,246,683.0","2,328,243.0","2,435,940.0","2,400,249.0","2,590,021.0","2,640,159.0","2,686,230.0","2,645,054.0","2,841,889.0","2,914,656.0","2,987,870.0","3,182,023.0","3,316,105.0","3,509,872.0","3,746,271.0","3,993,576.0","4,094,153.0","4,294,168.0","4,415,872.0"
"36",NA,"After-tax income received by the personal sector:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","14","    Disposable personal income","A067RX1","843,076.0","789,714.0","762,882.0","662,955.0","643,797.0","705,708.0","774,310.0","871,861.0","901,375.0","852,015.0","923,202.0","986,218.0","1,141,833.0","1,294,358.0","1,356,816.0","1,399,025.0","1,383,137.0","1,368,553.0","1,312,902.0","1,382,159.0","1,393,345.0","1,521,852.0","1,573,332.0","1,627,809.0","1,706,870.0","1,731,376.0","1,846,471.0","1,934,847.0","1,984,944.0","2,005,919.0","2,092,076.0","2,146,929.0","2,222,654.0","2,329,068.0","2,416,535.0","2,588,094.0","2,748,851.0","2,895,022.0","3,020,571.0","3,157,369.0","3,264,449.0"
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","1. In this table, net measures are the corresponding gross measures excluding the depreciation of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","fixed assets as measured by the consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2. Gross domestic purchases excluding change in private inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","3. The command-basis estimates (lines 10-13) measure the purchasing power of the income generated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","by the sale of goods and services produced; they reflect gains or losses in real income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","resulting from changes in the terms of trade for exports and imports.  For more detail on the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","command-basis estimates, see NIPA tables 1.8.3 and 1.8.6.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
