"","Table 7#5# Consumption of Fixed Capital by Legal Form of Organiz","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94"
"35","16","          Nonfarm nonresidential properties","B2610C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"36","17","        Proprietors' income","B1619C1","98.0","106.0","113.0","120.0","126.0","132.0","138.0","144.0","149.0","154.0","157.0","160.0","162.0","166.0","171.0","178.0","186.0","193.0","198.0","202.0","204.0","206.0","208.0","211.0","214.0","217.0","221.0","224.0","227.0","229.0","231.0","232.0","233.0","235.0","239.0","245.0","253.0","260.0","265.0","270.0","273.0","276.0","281.0","286.0","292.0","297.0","299.0","300.0","299.0","297.0","295.0","293.0","290.0","288.0","288.0","289.0","292.0","294.0","296.0","298.0","299.0","301.0","303.0","305.0","308.0","310.0","312.0","314.0","315.0","317.0","319.0","321.0","323.0","325.0","327.0","329.0","332.0","335.0","339.0","343.0","348.0","353.0","359.0","365.0","371.0","377.0","383.0","388.0","393.0","399.0","405.0"
"37","18","  Households and institutions","W279RC1","2,713.0","2,904.0","3,067.0","3,200.0","3,304.0","3,394.0","3,470.0","3,531.0","3,578.0","3,629.0","3,683.0","3,742.0","3,805.0","3,898.0","4,020.0","4,174.0","4,356.0","4,515.0","4,647.0","4,753.0","4,835.0","4,916.0","4,997.0","5,079.0","5,162.0","5,240.0","5,315.0","5,387.0","5,456.0","5,537.0","5,631.0","5,736.0","5,855.0","5,985.0","6,126.0","6,279.0","6,443.0","6,592.0","6,723.0","6,838.0","6,936.0","7,027.0","7,109.0","7,184.0","7,250.0","7,329.0","7,418.0","7,518.0","7,630.0","7,739.0","7,843.0","7,944.0","8,042.0","8,133.0","8,220.0","8,301.0","8,377.0","8,455.0","8,535.0","8,618.0","8,703.0","8,795.0","8,892.0","8,994.0","9,102.0","9,220.0","9,347.0","9,484.0","9,629.0","9,789.0","9,961.0","10,148.0","10,348.0","10,553.0","10,765.0","10,981.0","11,203.0","11,424.0","11,644.0","11,862.0","12,079.0","12,313.0","12,562.0","12,826.0","13,106.0","13,431.0","13,803.0","14,220.0","14,683.0","15,089.0","15,438.0"
"38","19","    Owner-occupied housing","B2607C1","2,128.0","2,280.0","2,410.0","2,518.0","2,604.0","2,680.0","2,745.0","2,799.0","2,842.0","2,888.0","2,937.0","2,989.0","3,045.0","3,121.0","3,217.0","3,334.0","3,471.0","3,593.0","3,698.0","3,786.0","3,859.0","3,929.0","3,998.0","4,065.0","4,131.0","4,194.0","4,257.0","4,318.0","4,378.0","4,448.0","4,528.0","4,618.0","4,718.0","4,825.0","4,938.0","5,059.0","5,186.0","5,298.0","5,394.0","5,474.0","5,539.0","5,601.0","5,661.0","5,719.0","5,774.0","5,838.0","5,909.0","5,987.0","6,074.0","6,157.0","6,235.0","6,310.0","6,381.0","6,447.0","6,509.0","6,567.0","6,620.0","6,672.0","6,723.0","6,774.0","6,823.0","6,879.0","6,940.0","7,006.0","7,079.0","7,159.0","7,247.0","7,343.0","7,446.0","7,561.0","7,686.0","7,823.0","7,971.0","8,120.0","8,272.0","8,425.0","8,580.0","8,735.0","8,891.0","9,047.0","9,203.0","9,373.0","9,555.0","9,749.0","9,957.0","10,202.0","10,487.0","10,810.0","11,172.0","11,478.0","11,729.0"
"39","20","    Nonprofit institutions serving households","B1621C1","585.0","624.0","657.0","682.0","700.0","714.0","725.0","732.0","736.0","741.0","746.0","753.0","760.0","777.0","803.0","840.0","885.0","922.0","949.0","967.0","976.0","987.0","999.0","1,014.0","1,031.0","1,046.0","1,058.0","1,069.0","1,078.0","1,089.0","1,103.0","1,118.0","1,137.0","1,160.0","1,188.0","1,220.0","1,257.0","1,294.0","1,329.0","1,364.0","1,397.0","1,426.0","1,448.0","1,465.0","1,476.0","1,491.0","1,509.0","1,531.0","1,556.0","1,582.0","1,608.0","1,634.0","1,661.0","1,686.0","1,711.0","1,734.0","1,757.0","1,783.0","1,812.0","1,844.0","1,880.0","1,916.0","1,952.0","1,988.0","2,023.0","2,061.0","2,100.0","2,141.0","2,183.0","2,228.0","2,275.0","2,325.0","2,377.0","2,433.0","2,493.0","2,556.0","2,623.0","2,689.0","2,753.0","2,815.0","2,876.0","2,940.0","3,007.0","3,077.0","3,149.0","3,229.0","3,316.0","3,410.0","3,511.0","3,611.0","3,709.0"
"40","21","Government","A264RC1","11,457.0","11,452.0","11,560.0","11,393.0","10,899.0","10,585.0","10,507.0","10,292.0","10,229.0","9,872.0","9,543.0","9,339.0","9,080.0","8,918.0","9,015.0","9,383.0","9,683.0","9,862.0","10,110.0","10,392.0","10,577.0","10,892.0","11,290.0","11,542.0","11,824.0","12,107.0","12,224.0","12,382.0","12,599.0","12,948.0","13,133.0","13,412.0","13,501.0","13,662.0","14,043.0","14,365.0","14,828.0","15,149.0","15,495.0","15,791.0","16,213.0","16,514.0","16,829.0","17,068.0","17,027.0","17,311.0","17,697.0","18,022.0","18,259.0","18,483.0","18,738.0","19,002.0","19,278.0","19,535.0","19,826.0","20,102.0","20,381.0","20,654.0","20,958.0","21,306.0","21,728.0","22,004.0","22,504.0","22,998.0","23,329.0","23,707.0","23,998.0","24,343.0","24,655.0","24,966.0","25,257.0","25,535.0","25,854.0","26,228.0","26,613.0","26,963.0","27,341.0","27,888.0","28,363.0","28,898.0","29,345.0","29,849.0","30,471.0","31,108.0","31,842.0","32,404.0","32,966.0","33,676.0","34,389.0","35,120.0","35,717.0"
"41","22","  General government","A265RC1","11,066.0","11,075.0","11,152.0","10,972.0","10,466.0","10,134.0","10,027.0","9,805.0","9,743.0","9,386.0","9,057.0","8,854.0","8,595.0","8,425.0","8,491.0","8,839.0","9,117.0","9,280.0","9,511.0","9,786.0","9,962.0","10,262.0","10,636.0","10,870.0","11,154.0","11,431.0","11,528.0","11,682.0","11,895.0","12,237.0","12,409.0","12,680.0","12,768.0","12,912.0","13,264.0","13,571.0","14,006.0","14,302.0","14,623.0","14,905.0","15,308.0","15,579.0","15,881.0","16,114.0","16,071.0","16,337.0","16,701.0","17,010.0","17,246.0","17,468.0","17,713.0","17,957.0","18,219.0","18,450.0","18,731.0","18,985.0","19,255.0","19,508.0","19,793.0","20,125.0","20,527.0","20,780.0","21,260.0","21,728.0","22,045.0","22,407.0","22,681.0","22,993.0","23,291.0","23,582.0","23,848.0","24,102.0","24,391.0","24,737.0","25,097.0","25,419.0","25,764.0","26,267.0","26,709.0","27,211.0","27,617.0","28,096.0","28,680.0","29,275.0","29,955.0","30,469.0","30,991.0","31,631.0","32,277.0","32,953.0","33,494.0"
"42","23","    Federal","B995RC1","9,648.0","9,600.0","9,624.0","9,392.0","8,824.0","8,448.0","8,292.0","8,048.0","7,988.0","7,664.0","7,348.0","7,152.0","6,960.0","6,784.0","6,776.0","7,004.0","7,140.0","7,220.0","7,392.0","7,628.0","7,824.0","8,060.0","8,356.0","8,640.0","8,860.0","9,160.0","9,248.0","9,440.0","9,684.0","9,908.0","10,084.0","10,300.0","10,420.0","10,524.0","10,732.0","10,960.0","11,284.0","11,484.0","11,712.0","11,928.0","12,284.0","12,472.0","12,740.0","12,972.0","12,960.0","13,144.0","13,428.0","13,684.0","13,844.0","14,036.0","14,256.0","14,476.0","14,700.0","14,884.0","15,116.0","15,320.0","15,536.0","15,732.0","15,964.0","16,236.0","16,552.0","16,728.0","17,144.0","17,532.0","17,780.0","18,060.0","18,260.0","18,484.0","18,700.0","18,912.0","19,096.0","19,264.0","19,432.0","19,652.0","19,904.0","20,108.0","20,336.0","20,644.0","20,944.0","21,288.0","21,576.0","21,960.0","22,368.0","22,800.0","23,248.0","23,616.0","24,052.0","24,440.0","24,872.0","25,268.0","25,652.0"
"43","24","    State and local","B986RC1","1,418.0","1,475.0","1,528.0","1,580.0","1,642.0","1,686.0","1,735.0","1,757.0","1,755.0","1,722.0","1,709.0","1,702.0","1,635.0","1,641.0","1,715.0","1,835.0","1,977.0","2,060.0","2,119.0","2,158.0","2,138.0","2,202.0","2,280.0","2,230.0","2,294.0","2,271.0","2,280.0","2,242.0","2,211.0","2,329.0","2,325.0","2,380.0","2,348.0","2,388.0","2,532.0","2,611.0","2,722.0","2,818.0","2,911.0","2,977.0","3,024.0","3,107.0","3,141.0","3,142.0","3,111.0","3,193.0","3,273.0","3,326.0","3,402.0","3,432.0","3,457.0","3,481.0","3,519.0","3,566.0","3,615.0","3,665.0","3,719.0","3,776.0","3,829.0","3,889.0","3,975.0","4,052.0","4,116.0","4,196.0","4,265.0","4,347.0","4,421.0","4,509.0","4,591.0","4,670.0","4,752.0","4,838.0","4,959.0","5,085.0","5,193.0","5,311.0","5,428.0","5,623.0","5,765.0","5,923.0","6,041.0","6,136.0","6,312.0","6,475.0","6,707.0","6,853.0","6,939.0","7,191.0","7,405.0","7,685.0","7,842.0"
"44","25","  Government enterprises","A266RC1","391.0","377.0","408.0","421.0","433.0","451.0","480.0","487.0","486.0","486.0","486.0","485.0","485.0","493.0","524.0","544.0","566.0","582.0","599.0","606.0","615.0","630.0","654.0","672.0","670.0","676.0","696.0","700.0","704.0","711.0","724.0","732.0","733.0","750.0","779.0","794.0","822.0","847.0","872.0","886.0","905.0","935.0","948.0","954.0","956.0","974.0","996.0","1,012.0","1,013.0","1,015.0","1,025.0","1,045.0","1,059.0","1,085.0","1,095.0","1,117.0","1,126.0","1,146.0","1,165.0","1,181.0","1,201.0","1,224.0","1,244.0","1,270.0","1,284.0","1,300.0","1,317.0","1,350.0","1,364.0","1,384.0","1,409.0","1,433.0","1,463.0","1,491.0","1,516.0","1,544.0","1,577.0","1,621.0","1,654.0","1,687.0","1,728.0","1,753.0","1,791.0","1,833.0","1,887.0","1,935.0","1,975.0","2,045.0","2,112.0","2,167.0","2,223.0"
"45","26","    Federal","B833RC1","20.0","20.0","32.0","28.0","28.0","28.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","36.0","44.0","44.0","44.0","44.0","48.0","48.0","52.0","60.0","64.0","64.0","64.0","64.0","64.0","68.0","72.0","72.0","72.0","72.0","72.0","76.0","80.0","80.0","84.0","88.0","88.0","88.0","92.0","96.0","96.0","96.0","96.0","96.0","100.0","100.0","108.0","116.0","116.0","124.0","124.0","136.0","132.0","140.0","136.0","144.0","148.0","148.0","152.0","156.0","160.0","168.0","168.0","168.0","168.0","176.0","176.0","176.0","184.0","188.0","192.0","196.0","196.0","200.0","204.0","212.0","220.0","224.0","236.0","236.0","244.0","252.0","260.0","272.0","276.0","288.0","300.0","304.0","308.0"
"46","27","    State and local","B846RC1","371.0","357.0","376.0","393.0","405.0","423.0","448.0","455.0","454.0","454.0","454.0","453.0","453.0","457.0","480.0","500.0","522.0","538.0","551.0","558.0","563.0","570.0","590.0","608.0","606.0","612.0","632.0","632.0","632.0","639.0","652.0","660.0","661.0","674.0","699.0","714.0","738.0","759.0","784.0","798.0","813.0","839.0","852.0","858.0","860.0","878.0","896.0","912.0","905.0","899.0","909.0","921.0","935.0","949.0","963.0","977.0","990.0","1,002.0","1,017.0","1,033.0","1,049.0","1,068.0","1,084.0","1,102.0","1,116.0","1,132.0","1,149.0","1,174.0","1,188.0","1,208.0","1,225.0","1,245.0","1,271.0","1,295.0","1,320.0","1,344.0","1,373.0","1,409.0","1,434.0","1,463.0","1,492.0","1,517.0","1,547.0","1,581.0","1,627.0","1,663.0","1,699.0","1,757.0","1,812.0","1,863.0","1,915.0"
"47",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","28","  Nonfarm business","B1667C1","12,860.0","13,598.0","14,328.0","14,986.0","15,591.0","16,125.0","16,592.0","16,960.0","17,243.0","17,502.0","17,736.0","17,943.0","18,127.0","18,482.0","19,023.0","19,717.0","20,577.0","21,262.0","21,780.0","22,122.0","22,297.0","22,537.0","22,845.0","23,205.0","23,604.0","23,983.0","24,351.0","24,677.0","24,975.0","25,273.0","25,576.0","25,870.0","26,156.0","26,610.0","27,229.0","27,986.0","28,909.0","29,790.0","30,632.0","31,423.0","32,181.0","32,903.0","33,562.0","34,169.0","34,725.0","35,243.0","35,712.0","36,121.0","36,462.0","36,776.0","37,071.0","37,350.0","37,595.0","37,870.0","38,149.0","38,458.0","38,773.0","39,126.0","39,506.0","39,909.0","40,345.0","40,788.0","41,234.0","41,692.0","42,143.0","42,635.0","43,164.0","43,749.0","44,352.0","45,015.0","45,734.0","46,505.0","47,334.0","48,252.0","49,259.0","50,361.0","51,559.0","52,778.0","53,997.0","55,225.0","56,470.0","57,756.0","59,111.0","60,526.0","62,009.0","63,576.0","65,222.0","66,987.0","68,838.0","70,690.0","72,553.0"
