"","Table 5#7#6B# Change in Real Private Inventories by Industry, Ch","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70"
"42","22","    Merchant wholesale trade","N151RX1","22,576.0","36,548.0","18,385.0","30,031.0","32,795.0","15,985.0","31,678.0","15,417.0","24,645.0","5,461.0","22,296.0","28,615.0","15,866.0","23,390.0","10,933.0","22,298.0","-3,738.0","-3,071.0","-18,624.0","-14,028.0","-3,586.0","4,127.0","4,637.0","-706.0","-3,701.0","-4,120.0","755.0","16,460.0","14,747.0","16,688.0","29,705.0","26,927.0","31,935.0","19,838.0","11,670.0","23,836.0","15,551.0","27,846.0","24,871.0","3,228.0","7,058.0","9,576.0","14,011.0","9,126.0","-8,734.0","14,788.0","16,863.0","610.0","-51,160.0","-70,646.0","-64,282.0","1,692.0","65.0","12,426.0","48,944.0","21,151.0","-1,640.0","25,253.0","-9,930.0","31,929.0","19,024.0","12,698.0","24,295.0","13,175.0","14,295.0","-2,162.0","29,461.0"
"43","23","      Durable goods industries","N626RX1","15,482.0","25,926.0","8,320.0","15,475.0","24,159.0","9,616.0","21,861.0","11,344.0","16,155.0","9,640.0","10,523.0","20,084.0","9,834.0","21,250.0","5,530.0","10,727.0","-4,255.0","-21,468.0","-18,381.0","-17,509.0","-8,347.0","-172.0","6,488.0","-7,767.0","6,646.0","-477.0","-4,539.0","10,345.0","17,227.0","20,513.0","26,310.0","17,208.0","22,659.0","18,729.0","6,651.0","21,231.0","10,100.0","24,140.0","19,120.0","6,803.0","7,976.0","-4,395.0","-872.0","8,006.0","7,460.0","2,599.0","21,085.0","-5,113.0","-56,766.0","-54,232.0","-45,073.0","-21,925.0","7,902.0","3,182.0","22,049.0","18,366.0","11,637.0","26,364.0","16,866.0","16,881.0","20,043.0","20,970.0","17,894.0","13,929.0","15,934.0","4,351.0","19,146.0"
"44","24","      Nondurable goods industries","N627RX1","6,342.0","9,149.0","10,797.0","15,153.0","7,121.0","6,285.0","8,799.0","3,388.0","7,993.0","-5,931.0","12,424.0","7,691.0","5,909.0","512.0","5,594.0","12,016.0","941.0","21,876.0","1,147.0","5,216.0","5,896.0","4,744.0","-2,422.0","8,032.0","-11,440.0","-3,863.0","5,907.0","6,073.0","-3,311.0","-4,889.0","2,399.0","9,508.0","8,844.0","417.0","5,020.0","2,113.0","5,451.0","3,172.0","5,475.0","-3,845.0","-1,232.0","14,250.0","15,000.0","1,044.0","-15,591.0","11,605.0","-3,663.0","5,390.0","5,883.0","-16,424.0","-19,253.0","23,394.0","-7,696.0","9,154.0","26,686.0","3,236.0","-11,996.0","364.0","-23,886.0","14,723.0","268.0","-6,347.0","7,037.0","311.0","-401.0","-5,608.0","10,687.0"
"45","25","    Nonmerchant wholesale trade","N152RX1","1,284.0","3,474.0","1,449.0","6,302.0","4,574.0","351.0","2,135.0","3,015.0","2,509.0","4,480.0","3,976.0","2,493.0","4,206.0","6,497.0","5,906.0","3,631.0","-3,466.0","-4,708.0","-9,843.0","-3,984.0","-5,140.0","2,879.0","869.0","-1,764.0","-3,047.0","-1,022.0","-505.0","2,653.0","1,131.0","3,527.0","4,827.0","-549.0","15,843.0","6,143.0","2,011.0","11,973.0","7,755.0","3,309.0","6,469.0","6,040.0","5,762.0","6,153.0","8,385.0","2,909.0","22,836.0","16,055.0","-220.0","10,203.0","-19,772.0","-17,887.0","-16,621.0","-8,892.0","5,494.0","3,069.0","6,087.0","1,902.0","7,708.0","10,596.0","7,685.0","6,828.0","2,792.0","451.0","7,448.0","-3,145.0","-4,267.0","4,625.0","-567.0"
"46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Note.  Estimates in this table are based on the North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Chained (2009) dollar series for real change in private inventories are calculated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","as the period-to-period change in chained-dollar end-of-period inventories. Quarterly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","changes in end-of-period inventories are stated at annual rates. Because the formula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","for the chain-type quantity indexes uses weights of more than one period, the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","chained-dollar estimates are usually not additive. The residual line is the difference between",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","the first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
