"","Table 7#5# Consumption of Fixed Capital by Legal Form of Organiz","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182"
"21","2","Private","A024RC1","86,068.0","88,342.0","90,571.0","92,752.0","94,886.0","97,089.0","99,359.0","101,698.0","104,104.0","106,479.0","108,822.0","111,134.0","113,413.0","115,956.0","118,762.0","121,831.0","125,163.0","129,026.0","133,421.0","138,345.0","143,802.0","149,727.0","156,119.0","162,981.0","170,311.0","176,634.0","181,954.0","186,264.0","189,571.0","193,669.0","198,561.0","204,248.0","210,725.0","217,475.0","224,498.0","231,796.0","239,367.0","247,494.0","256,178.0","265,420.0","275,217.0","285,342.0","295,793.0","306,569.0","317,671.0","329,034.0","340,657.0","352,540.0","364,687.0","376,442.0","387,809.0","398,782.0","409,367.0","418,010.0","424,713.0","429,477.0","432,297.0","436,021.0","440,648.0","446,178.0","452,610.0","459,546.0","466,985.0","474,929.0","483,374.0","491,968.0","500,708.0","509,594.0","518,628.0","527,419.0","535,968.0","544,275.0","552,340.0","561,152.0","570,713.0","581,022.0","592,078.0","602,991.0","613,757.0","624,378.0","634,857.0","645,138.0","655,224.0","665,113.0","674,807.0","684,356.0","693,755.0","703,014.0","712,126.0","719,862.0","726,222.0","731,206.0","734,814.0","739,994.0","746,749.0","755,076.0","764,977.0","774,933.0","784,945.0","795,012.0","805,134.0","816,859.0","830,189.0","845,119.0","861,653.0","876,638.0","890,074.0","901,959.0","912,296.0","923,925.0","936,850.0","951,069.0","966,582.0","982,183.0","997,872.0","1,013,648.0","1,029,513.0","1,046,030.0","1,063,199.0","1,081,022.0","1,099,496.0","1,121,452.0","1,146,893.0","1,175,815.0","1,208,221.0","1,232,522.0","1,248,726.0","1,256,827.0","1,287,026.0","1,313,170.0","1,328,947.0","1,341,636.0","1,349,342.0","1,359,619.0","1,374,083.0","1,389,015.0","1,401,610.0","1,413,241.0","1,428,595.0","1,446,031.0","1,470,097.0","1,494,449.0","1,520,659.0","1,551,989.0","1,584,936.0","1,616,004.0","1,650,795.0","1,689,457.0","1,721,352.0","1,751,082.0","1,778,972.0","1,808,631.0","1,837,506.0","1,857,451.0","1,873,967.0","1,890,972.0","1,911,700.0","1,930,318.0","1,949,602.0","1,955,869.0","1,944,437.0","1,924,830.0","1,912,631.0","1,920,712.0","1,919,662.0","1,918,944.0","1,921,933.0","1,933,593.0","1,947,294.0","1,967,148.0","1,984,054.0","1,999,266.0","2,018,684.0","2,040,958.0","2,059,792.0","2,077,568.0","2,103,307.0","2,128,499.0","2,153,477.0"
"22","3","  Domestic business","W276RC1","71,384.0","73,254.0","75,133.0","77,022.0","78,920.0","80,828.0","82,744.0","84,668.0","86,601.0","88,498.0","90,360.0","92,185.0","93,975.0","95,961.0","98,144.0","100,523.0","103,099.0","106,156.0","109,697.0","113,720.0","118,226.0","123,183.0","128,592.0","134,452.0","140,763.0","146,146.0","150,600.0","154,126.0","156,723.0","159,950.0","163,808.0","168,295.0","173,412.0","178,698.0","184,151.0","189,771.0","195,560.0","201,861.0","208,676.0","216,004.0","223,845.0","231,989.0","240,437.0","249,189.0","258,244.0","267,681.0","277,501.0","287,702.0","298,285.0","308,590.0","318,616.0","328,364.0","337,833.0","345,495.0","351,351.0","355,400.0","357,643.0","360,592.0","364,248.0","368,610.0","373,678.0","379,295.0","385,459.0","392,172.0","399,433.0","406,667.0","413,873.0","421,052.0","428,203.0","435,037.0","441,554.0","447,754.0","453,637.0","460,330.0","467,832.0","476,145.0","485,268.0","494,177.0","502,871.0","511,351.0","519,617.0","527,814.0","535,945.0","544,008.0","552,004.0","559,943.0","567,827.0","575,655.0","583,426.0","589,869.0","594,981.0","598,764.0","601,217.0","604,868.0","609,716.0","615,763.0","623,006.0","630,397.0","637,934.0","645,618.0","653,449.0","662,818.0","673,726.0","686,171.0","700,155.0","712,790.0","724,077.0","734,015.0","742,605.0","752,342.0","763,224.0","775,253.0","788,428.0","801,501.0","814,474.0","827,345.0","840,115.0","853,341.0","867,022.0","881,159.0","895,751.0","913,278.0","933,741.0","957,138.0","983,470.0","1,003,219.0","1,016,386.0","1,022,969.0","1,045,827.0","1,065,066.0","1,074,878.0","1,084,293.0","1,089,762.0","1,095,737.0","1,105,837.0","1,114,249.0","1,119,279.0","1,126,208.0","1,135,656.0","1,145,197.0","1,160,612.0","1,176,048.0","1,192,526.0","1,214,509.0","1,238,733.0","1,260,674.0","1,282,706.0","1,310,739.0","1,334,139.0","1,357,125.0","1,379,645.0","1,404,319.0","1,427,684.0","1,444,877.0","1,458,552.0","1,473,819.0","1,494,389.0","1,513,610.0","1,535,597.0","1,545,632.0","1,537,769.0","1,521,810.0","1,512,168.0","1,517,793.0","1,517,386.0","1,519,431.0","1,522,673.0","1,532,702.0","1,545,810.0","1,564,676.0","1,580,858.0","1,594,904.0","1,613,906.0","1,633,724.0","1,648,415.0","1,661,415.0","1,680,591.0","1,698,913.0","1,715,774.0"
"23","4","    Corporate business","A438RC1","53,465.0","54,939.0","56,441.0","57,971.0","59,529.0","61,062.0","62,571.0","64,054.0","65,513.0","66,939.0","68,333.0","69,694.0","71,023.0","72,521.0","74,189.0","76,027.0","78,035.0","80,416.0","83,171.0","86,299.0","89,800.0","93,697.0","97,988.0","102,676.0","107,758.0","112,094.0","115,684.0","118,528.0","120,626.0","123,226.0","126,328.0","129,932.0","134,038.0","138,247.0","142,561.0","146,979.0","151,500.0","156,419.0","161,735.0","167,449.0","173,560.0","179,921.0","186,533.0","193,393.0","200,505.0","207,983.0","215,827.0","224,038.0","232,615.0","240,952.0","249,048.0","256,905.0","264,522.0","270,768.0","275,643.0","279,145.0","281,278.0","283,969.0","287,222.0","291,035.0","295,409.0","300,262.0","305,595.0","311,406.0","317,697.0","323,879.0","329,956.0","335,924.0","341,786.0","347,363.0","352,657.0","357,667.0","362,394.0","367,844.0","374,017.0","380,914.0","388,534.0","395,942.0","403,135.0","410,115.0","416,883.0","423,718.0","430,621.0","437,594.0","444,635.0","451,703.0","458,798.0","465,919.0","473,069.0","479,056.0","483,882.0","487,546.0","490,049.0","493,529.0","497,989.0","503,426.0","509,841.0","516,372.0","523,022.0","529,789.0","536,673.0","544,934.0","554,575.0","565,594.0","577,991.0","589,198.0","599,215.0","608,042.0","615,680.0","624,373.0","634,122.0","644,929.0","656,791.0","668,424.0","679,829.0","691,004.0","701,951.0","713,280.0","724,993.0","737,088.0","749,567.0","764,570.0","782,098.0","802,149.0","824,725.0","841,658.0","852,946.0","858,590.0","877,577.0","893,246.0","900,510.0","908,074.0","912,291.0","916,215.0","923,973.0","929,649.0","932,267.0","937,554.0","944,729.0","951,433.0","963,364.0","975,048.0","987,502.0","1,004,982.0","1,024,442.0","1,041,921.0","1,058,643.0","1,081,314.0","1,099,860.0","1,118,723.0","1,137,485.0","1,158,172.0","1,177,526.0","1,192,179.0","1,203,703.0","1,216,528.0","1,234,239.0","1,251,338.0","1,271,070.0","1,280,200.0","1,273,228.0","1,259,914.0","1,252,172.0","1,257,005.0","1,256,815.0","1,259,503.0","1,262,390.0","1,271,132.0","1,283,090.0","1,299,885.0","1,314,220.0","1,326,629.0","1,343,662.0","1,361,155.0","1,373,605.0","1,384,393.0","1,400,449.0","1,415,695.0","1,429,494.0"
"24","5","      Financial","B580RC1","2,098.0","2,180.0","2,261.0","2,341.0","2,420.0","2,501.0","2,585.0","2,671.0","2,759.0","2,846.0","2,931.0","3,015.0","3,097.0","3,192.0","3,299.0","3,420.0","3,553.0","3,705.0","3,876.0","4,066.0","4,275.0","4,511.0","4,774.0","5,065.0","5,383.0","5,674.0","5,937.0","6,174.0","6,383.0","6,616.0","6,872.0","7,153.0","7,458.0","7,755.0","8,045.0","8,327.0","8,602.0","8,921.0","9,283.0","9,690.0","10,140.0","10,627.0","11,152.0","11,713.0","12,312.0","12,918.0","13,531.0","14,151.0","14,778.0","15,436.0","16,125.0","16,845.0","17,596.0","18,314.0","18,999.0","19,650.0","20,269.0","20,912.0","21,582.0","22,277.0","22,998.0","23,773.0","24,604.0","25,489.0","26,429.0","27,388.0","28,368.0","29,367.0","30,387.0","31,438.0","32,522.0","33,637.0","34,785.0","35,970.0","37,193.0","38,453.0","39,750.0","41,067.0","42,402.0","43,756.0","45,130.0","46,486.0","47,826.0","49,150.0","50,457.0","51,722.0","52,944.0","54,124.0","55,262.0","56,185.0","56,894.0","57,387.0","57,667.0","58,110.0","58,718.0","59,490.0","60,426.0","61,354.0","62,276.0","63,192.0","64,100.0","65,090.0","66,163.0","67,319.0","68,557.0","69,596.0","70,435.0","71,075.0","71,516.0","72,042.0","72,655.0","73,355.0","74,141.0","75,039.0","76,049.0","77,171.0","78,406.0","79,979.0","81,891.0","84,141.0","86,730.0","89,562.0","92,636.0","95,952.0","99,510.0","102,179.0","103,958.0","104,848.0","107,103.0","109,444.0","110,174.0","111,375.0","112,446.0","114,398.0","117,072.0","119,540.0","120,898.0","122,657.0","124,449.0","126,172.0","128,830.0","131,248.0","133,518.0","136,404.0","139,268.0","140,850.0","142,143.0","144,379.0","146,399.0","148,236.0","150,191.0","151,894.0","154,164.0","156,362.0","158,138.0","160,216.0","161,937.0","164,390.0","166,817.0","167,912.0","168,261.0","168,507.0","168,077.0","169,587.0","169,027.0","167,882.0","167,338.0","167,273.0","167,810.0","169,446.0","170,999.0","172,513.0","174,906.0","177,012.0","178,396.0","179,734.0","181,916.0","184,136.0","185,681.0"
"25","6","      Nonfinancial","B456RC1","51,367.0","52,759.0","54,180.0","55,630.0","57,109.0","58,561.0","59,986.0","61,383.0","62,754.0","64,093.0","65,402.0","66,679.0","67,926.0","69,329.0","70,890.0","72,607.0","74,482.0","76,711.0","79,295.0","82,233.0","85,525.0","89,186.0","93,214.0","97,611.0","102,375.0","106,420.0","109,747.0","112,354.0","114,243.0","116,610.0","119,456.0","122,779.0","126,580.0","130,492.0","134,516.0","138,652.0","142,898.0","147,498.0","152,452.0","157,759.0","163,420.0","169,294.0","175,381.0","181,680.0","188,193.0","195,065.0","202,296.0","209,887.0","217,837.0","225,516.0","232,923.0","240,060.0","246,926.0","252,454.0","256,644.0","259,495.0","261,009.0","263,057.0","265,640.0","268,758.0","272,411.0","276,489.0","280,991.0","285,917.0","291,268.0","296,491.0","301,588.0","306,557.0","311,399.0","315,925.0","320,135.0","324,030.0","327,609.0","331,874.0","336,824.0","342,461.0","348,784.0","354,875.0","360,733.0","366,359.0","371,753.0","377,232.0","382,795.0","388,444.0","394,178.0","399,981.0","405,854.0","411,795.0","417,807.0","422,871.0","426,988.0","430,159.0","432,382.0","435,419.0","439,271.0","443,936.0","449,415.0","455,018.0","460,746.0","466,597.0","472,573.0","479,844.0","488,412.0","498,275.0","509,434.0","519,602.0","528,780.0","536,967.0","544,164.0","552,331.0","561,467.0","571,574.0","582,650.0","593,385.0","603,780.0","613,833.0","623,545.0","633,301.0","643,102.0","652,947.0","662,837.0","675,008.0","689,462.0","706,197.0","725,215.0","739,479.0","748,988.0","753,742.0","770,474.0","783,802.0","790,336.0","796,699.0","799,845.0","801,817.0","806,901.0","810,109.0","811,369.0","814,897.0","820,280.0","825,261.0","834,534.0","843,800.0","853,984.0","868,578.0","885,174.0","901,071.0","916,500.0","936,935.0","953,461.0","970,487.0","987,294.0","1,006,278.0","1,023,362.0","1,035,817.0","1,045,565.0","1,056,312.0","1,072,302.0","1,086,948.0","1,104,253.0","1,112,288.0","1,104,967.0","1,091,407.0","1,084,095.0","1,087,418.0","1,087,788.0","1,091,621.0","1,095,052.0","1,103,859.0","1,115,280.0","1,130,439.0","1,143,221.0","1,154,116.0","1,168,756.0","1,184,143.0","1,195,209.0","1,204,659.0","1,218,533.0","1,231,559.0","1,243,813.0"
"26","7","    Noncorporate business","W277RC1","17,920.0","18,314.0","18,691.0","19,050.0","19,392.0","19,766.0","20,173.0","20,614.0","21,088.0","21,559.0","22,026.0","22,491.0","22,953.0","23,441.0","23,955.0","24,496.0","25,063.0","25,740.0","26,526.0","27,422.0","28,426.0","29,486.0","30,603.0","31,776.0","33,005.0","34,052.0","34,917.0","35,598.0","36,097.0","36,724.0","37,480.0","38,363.0","39,375.0","40,450.0","41,590.0","42,792.0","44,059.0","45,442.0","46,941.0","48,555.0","50,284.0","52,068.0","53,905.0","55,795.0","57,739.0","59,699.0","61,673.0","63,665.0","65,671.0","67,639.0","69,568.0","71,459.0","73,310.0","74,727.0","75,708.0","76,255.0","76,366.0","76,623.0","77,025.0","77,575.0","78,269.0","79,033.0","79,864.0","80,766.0","81,737.0","82,787.0","83,918.0","85,127.0","86,417.0","87,675.0","88,897.0","90,087.0","91,243.0","92,486.0","93,816.0","95,231.0","96,734.0","98,235.0","99,735.0","101,235.0","102,735.0","104,097.0","105,323.0","106,414.0","107,368.0","108,240.0","109,029.0","109,735.0","110,358.0","110,813.0","111,099.0","111,218.0","111,169.0","111,338.0","111,728.0","112,338.0","113,165.0","114,024.0","114,912.0","115,830.0","116,777.0","117,884.0","119,150.0","120,577.0","122,163.0","123,592.0","124,861.0","125,973.0","126,926.0","127,968.0","129,102.0","130,324.0","131,637.0","133,077.0","134,645.0","136,341.0","138,164.0","140,061.0","142,029.0","144,071.0","146,184.0","148,708.0","151,643.0","154,988.0","158,744.0","161,562.0","163,439.0","164,379.0","168,250.0","171,819.0","174,367.0","176,219.0","177,471.0","179,521.0","181,863.0","184,600.0","187,011.0","188,654.0","190,927.0","193,764.0","197,249.0","201,000.0","205,023.0","209,528.0","214,290.0","218,753.0","224,063.0","229,426.0","234,279.0","238,402.0","242,160.0","246,148.0","250,158.0","252,699.0","254,848.0","257,291.0","260,150.0","262,272.0","264,527.0","265,431.0","264,540.0","261,896.0","259,995.0","260,788.0","260,572.0","259,928.0","260,283.0","261,570.0","262,720.0","264,791.0","266,640.0","268,274.0","270,244.0","272,569.0","274,810.0","277,022.0","280,142.0","283,218.0","286,279.0"
"27","8","      Sole proprietorships and partnerships","A1615C1","14,447.0","14,770.0","15,090.0","15,405.0","15,716.0","16,046.0","16,395.0","16,764.0","17,152.0","17,534.0","17,910.0","18,281.0","18,646.0","19,029.0","19,431.0","19,851.0","20,289.0","20,826.0","21,461.0","22,195.0","23,026.0","23,910.0","24,847.0","25,836.0","26,878.0","27,759.0","28,480.0","29,039.0","29,438.0","29,938.0","30,539.0","31,241.0","32,044.0","32,894.0","33,792.0","34,737.0","35,730.0","36,830.0","38,036.0","39,349.0","40,768.0","42,228.0","43,728.0","45,268.0","46,848.0","48,467.0","50,124.0","51,821.0","53,555.0","55,273.0","56,974.0","58,658.0","60,324.0","61,593.0","62,464.0","62,938.0","63,014.0","63,208.0","63,520.0","63,951.0","64,500.0","65,115.0","65,795.0","66,542.0","67,355.0","68,216.0","69,126.0","70,083.0","71,089.0","72,064.0","73,006.0","73,917.0","74,796.0","75,775.0","76,855.0","78,034.0","79,314.0","80,593.0","81,870.0","83,147.0","84,423.0","85,573.0","86,598.0","87,498.0","88,273.0","88,984.0","89,632.0","90,215.0","90,734.0","91,104.0","91,325.0","91,397.0","91,320.0","91,406.0","91,656.0","92,070.0","92,646.0","93,272.0","93,946.0","94,668.0","95,439.0","96,354.0","97,412.0","98,615.0","99,962.0","101,172.0","102,244.0","103,179.0","103,976.0","104,853.0","105,811.0","106,848.0","107,965.0","109,201.0","110,556.0","112,030.0","113,622.0","115,276.0","116,990.0","118,765.0","120,600.0","122,785.0","125,319.0","128,203.0","131,436.0","133,861.0","135,477.0","136,286.0","139,577.0","142,587.0","144,636.0","146,304.0","147,450.0","149,155.0","151,177.0","153,337.0","155,102.0","156,462.0","158,291.0","160,434.0","163,138.0","166,074.0","169,214.0","172,906.0","176,944.0","180,613.0","184,703.0","189,080.0","193,149.0","196,730.0","200,089.0","203,732.0","207,345.0","209,763.0","211,737.0","214,095.0","217,005.0","219,327.0","222,001.0","223,447.0","223,056.0","220,918.0","219,405.0","220,033.0","219,970.0","219,705.0","220,148.0","221,334.0","222,522.0","224,599.0","226,496.0","228,140.0","230,214.0","232,415.0","234,306.0","236,073.0","238,670.0","241,270.0","243,737.0"
"28","9","        Farm","B1616C1","4,397.0","4,464.0","4,530.0","4,593.0","4,654.0","4,723.0","4,799.0","4,883.0","4,974.0","5,067.0","5,161.0","5,257.0","5,355.0","5,449.0","5,540.0","5,628.0","5,714.0","5,846.0","6,026.0","6,254.0","6,529.0","6,830.0","7,158.0","7,511.0","7,892.0","8,224.0","8,508.0","8,745.0","8,933.0","9,147.0","9,387.0","9,652.0","9,943.0","10,231.0","10,516.0","10,798.0","11,078.0","11,388.0","11,729.0","12,101.0","12,503.0","12,933.0","13,392.0","13,879.0","14,395.0","14,870.0","15,306.0","15,701.0","16,057.0","16,397.0","16,722.0","17,031.0","17,325.0","17,518.0","17,611.0","17,602.0","17,494.0","17,399.0","17,319.0","17,253.0","17,201.0","17,128.0","17,035.0","16,920.0","16,784.0","16,669.0","16,573.0","16,497.0","16,442.0","16,369.0","16,280.0","16,174.0","16,051.0","15,947.0","15,861.0","15,794.0","15,745.0","15,731.0","15,751.0","15,805.0","15,892.0","15,976.0","16,055.0","16,129.0","16,200.0","16,270.0","16,341.0","16,413.0","16,485.0","16,531.0","16,551.0","16,546.0","16,514.0","16,485.0","16,458.0","16,434.0","16,412.0","16,416.0","16,446.0","16,502.0","16,584.0","16,684.0","16,803.0","16,941.0","17,098.0","17,238.0","17,362.0","17,470.0","17,561.0","17,660.0","17,769.0","17,886.0","18,012.0","18,150.0","18,301.0","18,465.0","18,642.0","18,792.0","18,916.0","19,013.0","19,084.0","19,124.0","19,132.0","19,108.0","19,054.0","19,013.0","18,986.0","18,972.0","18,974.0","18,947.0","18,925.0","18,954.0","18,854.0","18,802.0","18,813.0","18,868.0","18,937.0","18,923.0","18,996.0","19,084.0","19,309.0","19,526.0","19,765.0","20,109.0","20,482.0","20,705.0","20,922.0","21,166.0","21,444.0","21,674.0","21,857.0","22,037.0","22,277.0","22,405.0","22,506.0","22,808.0","23,037.0","23,353.0","23,768.0","23,999.0","24,109.0","24,087.0","24,105.0","24,203.0","24,173.0","24,266.0","24,480.0","24,749.0","25,064.0","25,425.0","25,795.0","26,127.0","26,358.0","26,581.0","26,709.0","26,788.0","26,940.0","27,173.0","27,287.0"
"29","10","        Nonfarm","B1617C1","10,049.0","10,306.0","10,560.0","10,812.0","11,061.0","11,323.0","11,596.0","11,880.0","12,177.0","12,467.0","12,749.0","13,024.0","13,291.0","13,580.0","13,890.0","14,222.0","14,576.0","14,980.0","15,435.0","15,941.0","16,497.0","17,080.0","17,689.0","18,325.0","18,987.0","19,535.0","19,971.0","20,295.0","20,505.0","20,791.0","21,152.0","21,589.0","22,101.0","22,664.0","23,276.0","23,939.0","24,652.0","25,441.0","26,307.0","27,248.0","28,265.0","29,295.0","30,336.0","31,389.0","32,453.0","33,597.0","34,819.0","36,119.0","37,498.0","38,876.0","40,252.0","41,626.0","42,999.0","44,075.0","44,854.0","45,336.0","45,520.0","45,809.0","46,201.0","46,698.0","47,299.0","47,986.0","48,761.0","49,622.0","50,571.0","51,547.0","52,552.0","53,586.0","54,648.0","55,695.0","56,726.0","57,743.0","58,745.0","59,829.0","60,994.0","62,240.0","63,568.0","64,862.0","66,120.0","67,342.0","68,530.0","69,597.0","70,544.0","71,369.0","72,074.0","72,714.0","73,290.0","73,802.0","74,249.0","74,573.0","74,774.0","74,852.0","74,806.0","74,921.0","75,198.0","75,635.0","76,234.0","76,856.0","77,500.0","78,166.0","78,855.0","79,670.0","80,609.0","81,674.0","82,864.0","83,933.0","84,882.0","85,709.0","86,415.0","87,193.0","88,042.0","88,962.0","89,954.0","91,051.0","92,255.0","93,564.0","94,980.0","96,483.0","98,074.0","99,751.0","101,516.0","103,662.0","106,188.0","109,095.0","112,382.0","114,848.0","116,492.0","117,314.0","120,602.0","123,640.0","125,712.0","127,350.0","128,597.0","130,353.0","132,364.0","134,470.0","136,165.0","137,539.0","139,295.0","141,350.0","143,830.0","146,548.0","149,449.0","152,796.0","156,462.0","159,908.0","163,780.0","167,914.0","171,705.0","175,056.0","178,232.0","181,695.0","185,068.0","187,358.0","189,231.0","191,286.0","193,968.0","195,974.0","198,234.0","199,448.0","198,947.0","196,831.0","195,300.0","195,830.0","195,796.0","195,439.0","195,668.0","196,585.0","197,457.0","199,173.0","200,701.0","202,013.0","203,857.0","205,834.0","207,597.0","209,285.0","211,730.0","214,097.0","216,451.0"
"30","11","      Other private business","A1618C1","3,473.0","3,544.0","3,601.0","3,645.0","3,676.0","3,720.0","3,778.0","3,850.0","3,936.0","4,025.0","4,116.0","4,210.0","4,307.0","4,412.0","4,524.0","4,645.0","4,774.0","4,914.0","5,065.0","5,227.0","5,400.0","5,576.0","5,756.0","5,940.0","6,127.0","6,293.0","6,437.0","6,559.0","6,659.0","6,786.0","6,941.0","7,122.0","7,331.0","7,556.0","7,798.0","8,055.0","8,329.0","8,612.0","8,905.0","9,206.0","9,516.0","9,840.0","10,177.0","10,527.0","10,891.0","11,232.0","11,549.0","11,844.0","12,116.0","12,366.0","12,594.0","12,801.0","12,986.0","13,134.0","13,244.0","13,317.0","13,352.0","13,415.0","13,505.0","13,624.0","13,769.0","13,918.0","14,069.0","14,224.0","14,382.0","14,571.0","14,792.0","15,044.0","15,328.0","15,611.0","15,891.0","16,170.0","16,447.0","16,711.0","16,961.0","17,197.0","17,420.0","17,642.0","17,865.0","18,088.0","18,312.0","18,524.0","18,725.0","18,916.0","19,095.0","19,256.0","19,397.0","19,520.0","19,624.0","19,709.0","19,774.0","19,821.0","19,849.0","19,932.0","20,072.0","20,268.0","20,519.0","20,752.0","20,966.0","21,162.0","21,338.0","21,530.0","21,738.0","21,962.0","22,201.0","22,420.0","22,617.0","22,794.0","22,950.0","23,115.0","23,291.0","23,476.0","23,672.0","23,876.0","24,089.0","24,311.0","24,542.0","24,785.0","25,039.0","25,306.0","25,584.0","25,923.0","26,324.0","26,785.0","27,308.0","27,701.0","27,962.0","28,093.0","28,673.0","29,232.0","29,731.0","29,915.0","30,021.0","30,366.0","30,686.0","31,263.0","31,909.0","32,192.0","32,636.0","33,330.0","34,111.0","34,926.0","35,809.0","36,622.0","37,346.0","38,140.0","39,360.0","40,346.0","41,130.0","41,672.0","42,071.0","42,416.0","42,813.0","42,936.0","43,111.0","43,196.0","43,145.0","42,945.0","42,526.0","41,984.0","41,484.0","40,978.0","40,590.0","40,755.0","40,602.0","40,223.0","40,135.0","40,236.0","40,198.0","40,192.0","40,144.0","40,134.0","40,030.0","40,154.0","40,504.0","40,949.0","41,472.0","41,948.0","42,542.0"
"31","12","        Rental income of persons","B1620C1","3,080.0","3,145.0","3,197.0","3,234.0","3,257.0","3,294.0","3,343.0","3,406.0","3,482.0","3,562.0","3,645.0","3,732.0","3,822.0","3,921.0","4,026.0","4,139.0","4,259.0","4,388.0","4,525.0","4,671.0","4,826.0","4,979.0","5,133.0","5,286.0","5,439.0","5,573.0","5,690.0","5,790.0","5,871.0","5,976.0","6,106.0","6,259.0","6,436.0","6,632.0","6,846.0","7,078.0","7,328.0","7,586.0","7,852.0","8,126.0","8,407.0","8,697.0","8,996.0","9,304.0","9,621.0","9,919.0","10,197.0","10,456.0","10,695.0","10,916.0","11,118.0","11,302.0","11,467.0","11,599.0","11,699.0","11,767.0","11,803.0","11,869.0","11,966.0","12,094.0","12,252.0","12,405.0","12,552.0","12,694.0","12,830.0","12,993.0","13,184.0","13,402.0","13,648.0","13,899.0","14,156.0","14,417.0","14,684.0","14,935.0","15,171.0","15,391.0","15,596.0","15,801.0","16,005.0","16,210.0","16,415.0","16,608.0","16,790.0","16,959.0","17,116.0","17,258.0","17,384.0","17,495.0","17,590.0","17,666.0","17,724.0","17,763.0","17,784.0","17,857.0","17,983.0","18,161.0","18,391.0","18,604.0","18,801.0","18,980.0","19,142.0","19,319.0","19,512.0","19,720.0","19,943.0","20,151.0","20,342.0","20,516.0","20,675.0","20,840.0","21,013.0","21,192.0","21,379.0","21,579.0","21,791.0","22,015.0","22,253.0","22,504.0","22,767.0","23,044.0","23,334.0","23,680.0","24,081.0","24,537.0","25,049.0","25,433.0","25,689.0","25,817.0","26,403.0","26,970.0","27,484.0","27,674.0","27,794.0","28,152.0","28,480.0","29,066.0","29,730.0","30,024.0","30,475.0","31,171.0","31,942.0","32,738.0","33,602.0","34,390.0","35,094.0","35,867.0","37,078.0","38,045.0","38,801.0","39,317.0","39,684.0","39,998.0","40,368.0","40,476.0","40,638.0","40,706.0","40,626.0","40,406.0","39,947.0","39,389.0","38,902.0","38,428.0","38,068.0","38,234.0","38,071.0","37,676.0","37,574.0","37,660.0","37,609.0","37,581.0","37,508.0","37,478.0","37,354.0","37,459.0","37,796.0","38,231.0","38,744.0","39,207.0","39,789.0"
"32","13","          Nonfarm tenant-occupied housing","B2608C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
