"","Table 1#2#6# Real Gross Domestic Product by Major Type of Produc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182"
"34","15","Structures","A755RX1","817,748.0","814,423.0","817,029.0","778,887.0","773,225.0","750,094.0","776,091.0","798,322.0","811,928.0","844,350.0","857,178.0","872,741.0","902,327.0","902,569.0","903,735.0","929,477.0","955,735.0","934,360.0","922,149.0","901,990.0","874,733.0","864,058.0","827,479.0","774,054.0","755,525.0","737,166.0","763,984.0","789,985.0","837,553.0","826,703.0","811,627.0","849,121.0","867,071.0","927,364.0","923,559.0","915,816.0","916,004.0","996,962.0","1,030,231.0","1,043,918.0","1,008,694.0","1,017,357.0","1,035,527.0","1,031,843.0","1,008,948.0","911,529.0","913,861.0","954,365.0","955,525.0","941,362.0","914,420.0","918,511.0","879,189.0","853,486.0","828,785.0","844,512.0","872,644.0","891,343.0","943,887.0","968,432.0","1,009,168.0","1,042,843.0","1,056,793.0","1,063,876.0","1,085,166.0","1,099,161.0","1,101,931.0","1,113,269.0","1,131,218.0","1,120,142.0","1,116,283.0","1,112,213.0","1,111,170.0","1,117,734.0","1,130,616.0","1,141,473.0","1,110,587.0","1,132,930.0","1,123,103.0","1,128,194.0","1,124,006.0","1,104,731.0","1,117,479.0","1,109,862.0","1,133,709.0","1,107,141.0","1,079,711.0","1,040,888.0","1,006,112.0","1,010,919.0","1,004,383.0","1,013,800.0","1,043,840.0","1,050,740.0","1,042,555.0","1,064,673.0","1,059,083.0","1,068,471.0","1,089,957.0","1,127,724.0","1,113,999.0","1,150,723.0","1,148,879.0","1,146,593.0","1,144,193.0","1,138,044.0","1,155,461.0","1,161,714.0","1,182,633.0","1,224,912.0","1,235,627.0","1,261,204.0","1,273,938.0","1,272,806.0","1,289,376.0","1,285,611.0","1,292,281.0","1,348,411.0","1,381,341.0","1,393,980.0","1,399,668.0","1,402,593.0","1,409,273.0","1,429,538.0","1,449,033.0","1,454,117.0","1,461,359.0","1,465,231.0","1,459,173.0","1,494,817.0","1,478,101.0","1,447,910.0","1,455,106.0","1,446,718.0","1,432,758.0","1,445,413.0","1,454,201.0","1,474,216.0","1,527,528.0","1,546,688.0","1,547,445.0","1,580,231.0","1,583,400.0","1,586,300.0","1,611,390.0","1,626,597.0","1,633,041.0","1,636,056.0","1,639,169.0","1,610,878.0","1,564,188.0","1,520,081.0","1,500,997.0","1,499,292.0","1,474,696.0","1,430,893.0","1,383,176.0","1,374,108.0","1,346,735.0","1,282,967.0","1,199,759.0","1,144,436.0","1,132,862.0","1,087,180.0","1,038,483.0","1,082,970.0","1,043,411.0","1,044,750.0","1,002,344.0","1,022,195.0","1,045,713.0","1,067,075.0","1,085,948.0","1,097,838.0","1,110,402.0","1,143,977.0","1,116,679.0","1,148,451.0","1,179,160.0"
"35","16","Residual","A959RX1","-170,500.0","-188,200.0","-187,300.0","-189,000.0","-193,500.0","-178,900.0","-191,400.0","-237,000.0","-202,400.0","-221,800.0","-221,600.0","-245,800.0","-247,500.0","-211,900.0","-204,400.0","-200,300.0","-174,800.0","-151,400.0","-165,200.0","-141,900.0","-150,700.0","-153,900.0","-163,500.0","-163,600.0","-203,300.0","-202,700.0","-177,300.0","-182,400.0","-169,600.0","-154,800.0","-151,100.0","-178,000.0","-179,000.0","-178,000.0","-153,800.0","-162,800.0","-180,700.0","-155,400.0","-161,800.0","-147,300.0","-141,300.0","-152,000.0","-140,700.0","-151,900.0","-141,300.0","-147,600.0","-167,200.0","-158,200.0","-110,300.0","-142,600.0","-100,300.0","-135,400.0","-167,500.0","-148,100.0","-163,000.0","-197,500.0","-209,300.0","-184,200.0","-189,300.0","-143,500.0","-126,800.0","-124,500.0","-125,100.0","-127,100.0","-148,900.0","-155,600.0","-152,200.0","-157,300.0","-158,700.0","-167,000.0","-162,000.0","-163,600.0","-169,300.0","-161,600.0","-157,000.0","-143,500.0","-140,400.0","-134,400.0","-140,400.0","-132,700.0","-116,500.0","-105,100.0","-106,600.0","-118,200.0","-116,500.0","-117,200.0","-117,300.0","-127,000.0","-128,900.0","-133,700.0","-125,800.0","-129,200.0","-143,900.0","-132,800.0","-127,700.0","-127,700.0","-124,100.0","-120,000.0","-138,600.0","-130,100.0","-110,900.0","-107,500.0","-110,000.0","-85,800.0","-86,200.0","-95,100.0","-98,500.0","-85,300.0","-90,200.0","-83,900.0","-67,800.0","-72,400.0","-65,000.0","-47,000.0","-38,200.0","-34,600.0","-25,200.0","-51,300.0","-45,800.0","-27,500.0","-52,000.0","-38,300.0","-26,700.0","-25,900.0","-17,000.0","-12,400.0","-15,200.0","-16,600.0","-17,000.0","-30,100.0","-34,800.0","-16,600.0","-27,200.0","-32,300.0","-24,200.0","-34,500.0","-29,500.0","-23,200.0","-13,400.0","-12,500.0","-15,100.0","-17,900.0","-13,000.0","-11,000.0","-9,500.0","-2,100.0","2,200.0","-800.0","1,600.0","2,800.0","6,200.0","7,400.0","10,500.0","12,600.0","11,300.0","7,000.0","5,900.0","2,600.0","4,200.0","-3,400.0","-7,100.0","-500.0","2,800.0","4,800.0","3,400.0","2,500.0","4,900.0","1,100.0","-3,800.0","1,800.0","-7,500.0","3,900.0","4,000.0","-1,200.0","0.0","-10,000.0","-5,400.0","-4,800.0","-400.0"
"36",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","17","  Motor vehicle output","A953RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","341,169.0","343,589.0","354,072.0","361,329.0","366,811.0","352,882.0","336,556.0","325,139.0","310,423.0","333,095.0","330,089.0","343,402.0","360,706.0","365,621.0","376,337.0","364,444.0","356,232.0","373,802.0","375,172.0","380,458.0","382,813.0","376,942.0","394,357.0","392,724.0","394,375.0","400,608.0","421,791.0","389,423.0","403,494.0","395,434.0","398,358.0","388,214.0","398,935.0","403,667.0","401,474.0","385,719.0","369,685.0","349,634.0","326,321.0","259,392.0","209,440.0","222,679.0","272,352.0","282,824.0","305,886.0","318,804.0","336,473.0","324,779.0","347,809.0","343,185.0","352,274.0","372,786.0","396,804.0","402,915.0","403,130.0","400,323.0","409,258.0","421,120.0","406,813.0"
"38","18","  Gross domestic product excluding motor vehicle output","A962RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","11,520,528.0","11,618,228.0","11,757,981.0","11,960,079.0","11,988,626.0","12,242,846.0","12,280,553.0","12,362,974.0","12,345,069.0","12,383,438.0","12,348,216.0","12,362,629.0","12,461,244.0","12,525,736.0","12,574,791.0","12,595,814.0","12,671,817.0","12,774,512.0","12,996,195.0","13,142,347.0","13,220,844.0","13,332,308.0","13,433,092.0","13,552,060.0","13,703,371.0","13,773,490.0","13,865,743.0","13,981,195.0","14,140,564.0","14,194,862.0","14,204,504.0","14,329,733.0","14,327,868.0","14,436,489.0","14,538,925.0","14,610,033.0","14,525,833.0","14,620,175.0","14,569,679.0","14,315,231.0","14,161,855.0","14,134,247.0","14,130,594.0","14,257,781.0","14,291,268.0","14,418,204.0","14,501,245.0","14,616,344.0","14,544,288.0","14,666,454.0","14,707,999.0","14,866,847.0","14,981,453.0","15,021,275.0","15,127,471.0","15,136,036.0","15,171,145.0","15,254,654.0","15,429,320.0"
"39","19","  Final sales of computers \3\","BB01RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","16,815.0","18,538.0","19,875.0","19,674.0","22,073.0","24,353.0","25,065.0","26,344.0","28,717.0","27,703.0","26,416.0","27,705.0","27,448.0","27,481.0","29,091.0","29,933.0","30,923.0","30,946.0","35,145.0","36,540.0","34,150.0","34,220.0","34,681.0","36,948.0","37,625.0","40,330.0","41,822.0","44,610.0","48,008.0","50,428.0","52,047.0","54,588.0","54,545.0","55,406.0","61,354.0","67,198.0","67,759.0","71,411.0","70,074.0","70,432.0","75,594.0","74,816.0","70,996.0","68,551.0","72,838.0","67,292.0","65,911.0","70,999.0","74,712.0","74,810.0","74,272.0","81,405.0","87,753.0","82,544.0","82,729.0","91,606.0","95,374.0","98,842.0","95,632.0"
"40","20","  Gross domestic product excluding final sales of computers","BB00RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","11,924,914.0","12,013,718.0","12,158,892.0","12,372,609.0","12,393,368.0","12,616,515.0","12,628,986.0","12,690,516.0","12,642,708.0","12,715,489.0","12,682,073.0","12,707,994.0","12,829,059.0","12,899,264.0","12,955,901.0","12,959,248.0","13,022,173.0","13,146,081.0","13,357,646.0","13,506,412.0","13,594,399.0","13,698,985.0","13,818,801.0","13,930,263.0","14,081,833.0","14,152,965.0","14,265,945.0","14,339,741.0","14,508,361.0","14,549,374.0","14,559,330.0","14,669,415.0","14,678,923.0","14,791,244.0","14,882,911.0","14,929,731.0","14,828,301.0","14,897,880.0","14,825,392.0","14,504,515.0","14,296,425.0","14,282,144.0","14,331,616.0","14,471,629.0","14,524,954.0","14,670,325.0","14,772,785.0","14,871,298.0","14,819,670.0","14,936,763.0","14,988,017.0","15,162,218.0","15,296,563.0","15,346,571.0","15,452,601.0","15,451,871.0","15,493,503.0","15,586,721.0","15,748,235.0"
"41","21","  Research and development","Y694RX1","123,760.0","124,136.0","123,889.0","122,872.0","120,886.0","118,921.0","117,647.0","116,203.0","115,979.0","116,025.0","116,232.0","117,121.0","119,025.0","120,226.0","120,933.0","122,218.0","123,212.0","123,445.0","123,084.0","122,355.0","120,836.0","120,092.0","119,595.0","118,633.0","117,309.0","117,184.0","118,590.0","120,570.0","123,195.0","124,158.0","125,418.0","126,365.0","127,855.0","129,800.0","131,336.0","132,859.0","134,622.0","137,484.0","139,310.0","141,246.0","143,148.0","144,681.0","146,580.0","148,754.0","150,115.0","150,880.0","152,357.0","155,164.0","157,427.0","158,534.0","160,877.0","161,509.0","163,263.0","164,900.0","166,856.0","167,784.0","169,975.0","173,516.0","176,257.0","180,253.0","182,963.0","187,808.0","192,108.0","197,845.0","203,111.0","207,472.0","210,720.0","213,919.0","214,966.0","215,655.0","217,728.0","220,656.0","223,652.0","225,730.0","227,517.0","228,465.0","227,214.0","228,122.0","229,475.0","231,026.0","231,765.0","232,226.0","233,549.0","235,624.0","238,164.0","240,057.0","240,600.0","240,316.0","240,434.0","242,078.0","239,303.0","241,682.0","240,652.0","239,116.0","236,705.0","235,637.0","235,976.0","235,715.0","234,553.0","231,475.0","231,767.0","232,489.0","234,149.0","234,806.0","234,948.0","237,637.0","238,993.0","243,333.0","246,095.0","249,073.0","252,800.0","256,714.0","259,512.0","258,975.0","259,829.0","260,406.0","265,190.0","267,546.0","271,062.0","270,711.0","274,306.0","278,057.0","284,045.0","285,066.0","290,318.0","290,624.0","293,566.0","293,623.0","298,234.0","300,494.0","301,024.0","301,917.0","300,074.0","303,171.0","304,151.0","309,290.0","311,246.0","312,891.0","312,821.0","313,421.0","314,860.0","318,467.0","323,396.0","326,103.0","333,690.0","335,955.0","339,772.0","336,810.0","340,966.0","347,571.0","357,843.0","363,908.0","364,614.0","366,770.0","366,995.0","376,808.0","378,902.0","381,255.0","377,064.0","376,394.0","371,019.0","374,822.0","374,870.0","378,518.0","379,561.0","378,563.0","383,805.0","385,948.0","385,894.0","386,869.0","387,931.0","387,639.0","386,541.0","384,379.0","386,015.0","386,436.0","386,293.0","388,155.0","391,017.0"
"42","22","  Gross domestic product excluding research and development","Y695RX1","4,563,033.0","4,577,685.0","4,607,411.0","4,587,863.0","4,581,797.0","4,592,201.0","4,635,250.0","4,587,809.0","4,714,165.0","4,741,643.0","4,779,354.0","4,792,714.0","4,878,312.0","4,992,884.0","5,039,313.0","5,123,750.0","5,251,986.0","5,312,744.0","5,283,549.0","5,334,794.0","5,291,010.0","5,306,042.0","5,253,956.0","5,233,450.0","5,170,108.0","5,211,026.0","5,297,703.0","5,368,726.0","5,490,059.0","5,531,511.0","5,558,976.0","5,600,696.0","5,665,841.0","5,777,629.0","5,880,635.0","5,879,689.0","5,898,804.0","6,130,600.0","6,190,058.0","6,273,010.0","6,283,811.0","6,290,025.0","6,334,313.0","6,348,876.0","6,368,514.0","6,235,413.0","6,224,200.0","6,339,544.0","6,471,826.0","6,422,214.0","6,495,355.0","6,416,974.0","6,305,007.0","6,338,592.0","6,313,113.0","6,318,471.0","6,401,228.0","6,547,652.0","6,676,545.0","6,813,862.0","6,950,169.0","7,070,519.0","7,137,495.0","7,189,984.0","7,257,988.0","7,321,831.0","7,435,731.0","7,489,824.0","7,560,189.0","7,595,211.0","7,671,768.0","7,709,646.0","7,762,073.0","7,849,656.0","7,921,119.0","8,054,751.0","8,102,698.0","8,211,938.0","8,259,277.0","8,370,213.0","8,456,296.0","8,524,200.0","8,588,255.0","8,604,771.0","8,699,021.0","8,731,649.0","8,733,346.0","8,657,101.0","8,615,265.0","8,682,335.0","8,728,043.0","8,764,774.0","8,872,279.0","8,974,362.0","9,066,435.0","9,160,799.0","9,177,946.0","9,234,200.0","9,281,554.0","9,411,749.0","9,506,007.0","9,638,396.0","9,694,897.0","9,807,013.0","9,841,224.0","9,873,687.0","9,958,914.0","10,026,852.0","10,091,425.0","10,268,996.0","10,362,501.0","10,470,674.0","10,549,607.0","10,713,417.0","10,852,408.0","10,938,158.0","11,044,062.0","11,151,395.0","11,297,261.0","11,487,765.0","11,593,935.0","11,690,079.0","11,836,319.0","12,045,267.0","12,075,050.0","12,308,668.0","12,321,628.0","12,388,845.0","12,347,564.0","12,412,410.0","12,373,144.0","12,403,290.0","12,524,740.0","12,591,669.0","12,652,698.0","12,653,692.0","12,717,409.0","12,839,002.0","13,061,438.0","13,212,586.0","13,291,995.0","13,392,469.0","13,507,867.0","13,621,783.0","13,766,734.0","13,841,384.0","13,953,258.0","14,035,337.0","14,205,564.0","14,244,159.0","14,246,664.0","14,354,676.0","14,363,576.0","14,474,896.0","14,574,661.0","14,619,334.0","14,516,494.0","14,587,959.0","14,518,072.0","14,198,239.0","14,001,058.0","13,982,089.0","14,027,677.0","14,161,719.0","14,218,095.0","14,359,507.0","14,455,524.0","14,556,463.0","14,508,042.0","14,624,412.0","14,674,252.0","14,854,659.0","14,995,300.0","15,043,679.0","15,148,399.0","15,153,616.0","15,198,121.0","15,292,008.0","15,448,859.0"
"43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","1. Prior to 1959, inventories held by construction establishments are included in nondurable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","goods. Beginning with 1959, these inventories are included in durable goods.  Estimates for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","durable goods and nondurable goods for 1996 and earlier periods are based on the 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Standard Industrial Classification (SIC); later estimates for these industries are based on",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","2. Includes government consumption expenditures, which are for services (such as education",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
