"","Table 1#5#5# Gross Domestic Product, Expanded Detail","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"60","41","    Residential","A011RC1","10,541.0","10,573.0","12,466.0","15,254.0","15,345.0","16,427.0","16,283.0","15,177.0","14,169.0","13,913.0","14,744.0","16,538.0","18,339.0","20,603.0","22,555.0","21,478.0","21,057.0","18,467.0","17,398.0","17,723.0","18,269.0","18,763.0","18,754.0","19,647.0","19,982.0","20,073.0","19,490.0","19,251.0","19,351.0","20,668.0","22,183.0","23,565.0","25,419.0","26,005.0","25,626.0","24,565.0","24,132.0","24,374.0","23,952.0","23,491.0","23,101.0","22,610.0","22,464.0","22,349.0","21,370.0","21,469.0","23,017.0","25,434.0","28,348.0","29,358.0","28,801.0","28,006.0","28,954.0","26,684.0","25,892.0","25,893.0","25,914.0","26,118.0","27,550.0","28,462.0","29,010.0","29,906.0","29,871.0","29,785.0","30,848.0","32,930.0","33,184.0","34,456.0","36,237.0","34,988.0","34,533.0","34,644.0","34,768.0","35,102.0","35,258.0","35,523.0","35,946.0","34,362.0","33,018.0","30,188.0","29,389.0","32,857.0","34,786.0","37,476.0","38,268.0","39,563.0","40,394.0","42,572.0","44,906.0","45,130.0"
"61","42","  Change in private inventories","A014RC1","495.0","-1,240.0","-2,917.0","1,456.0","3,626.0","5,859.0","7,152.0","5,997.0","388.0","-5,148.0","-1,307.0","-4,699.0","2,024.0","2,833.0","4,177.0","14,044.0","10,386.0","14,792.0","9,740.0","4,719.0","4,732.0","-1,523.0","5,574.0","5,274.0","3,890.0","3,577.0","2,331.0","-2,006.0","-1,966.0","-3,378.0","-2,091.0","-316.0","3,804.0","4,620.0","4,295.0","7,233.0","6,398.0","3,585.0","3,569.0","2,244.0","2,162.0","2,657.0","2,808.0","-4,518.0","-4,009.0","-4,235.0","1,547.0","5,235.0","3,876.0","7,288.0","384.0","4,120.0","11,200.0","3,224.0","4,320.0","-5,812.0","-2,548.0","1,792.0","6,656.0","5,996.0","9,408.0","5,444.0","6,188.0","3,364.0","6,868.0","4,836.0","5,716.0","5,064.0","5,124.0","4,456.0","4,692.0","5,016.0","11,544.0","8,568.0","9,292.0","7,584.0","13,872.0","12,316.0","11,852.0","16,504.0","15,423.0","6,341.0","9,263.0","8,433.0","8,438.0","14,082.0","7,681.0","6,007.0","11,489.0","9,222.0"
"62","43","    Farm","B018RC1","-1,144.0","-2,720.0","-2,476.0","-824.0","1,260.0","2,832.0","3,420.0","3,140.0","-204.0","-1,152.0","-884.0","-172.0","-140.0","-1,332.0","480.0","652.0","1,172.0","944.0","768.0","1,108.0","972.0","1,880.0","2,216.0","456.0","772.0","-684.0","684.0","2,124.0","848.0","-212.0","700.0","-536.0","-123.0","-1,119.0","-1,323.0","309.0","-18.0","-1,458.0","-750.0","-1,630.0","257.0","657.0","497.0","-1,043.0","2,249.0","1,597.0","2,221.0","1,813.0","-280.0","-1,924.0","-2,252.0","-1,792.0","612.0","872.0","976.0","-248.0","572.0","604.0","936.0","1,408.0","1,524.0","212.0","240.0","356.0","1,920.0","84.0","-644.0","608.0","-636.0","-1,208.0","-1,784.0","-1,084.0","348.0","1,148.0","788.0","1,004.0","640.0","-1,656.0","-556.0","-428.0","1,747.0","2,149.0","527.0","-887.0","3,034.0","4,254.0","225.0","-2,029.0","1,753.0","1,378.0"
"63","44","    Nonfarm","A015RC1","1,639.0","1,480.0","-441.0","2,280.0","2,366.0","3,027.0","3,732.0","2,857.0","592.0","-3,996.0","-423.0","-4,527.0","2,164.0","4,165.0","3,697.0","13,392.0","9,214.0","13,848.0","8,972.0","3,611.0","3,760.0","-3,403.0","3,358.0","4,818.0","3,118.0","4,261.0","1,647.0","-4,130.0","-2,814.0","-3,166.0","-2,791.0","220.0","3,927.0","5,739.0","5,618.0","6,924.0","6,416.0","5,043.0","4,319.0","3,874.0","1,905.0","2,000.0","2,311.0","-3,475.0","-6,258.0","-5,832.0","-674.0","3,422.0","4,156.0","9,212.0","2,636.0","5,912.0","10,588.0","2,352.0","3,344.0","-5,564.0","-3,120.0","1,188.0","5,720.0","4,588.0","7,884.0","5,232.0","5,948.0","3,008.0","4,948.0","4,752.0","6,360.0","4,456.0","5,760.0","5,664.0","6,476.0","6,100.0","11,196.0","7,420.0","8,504.0","6,580.0","13,232.0","13,972.0","12,408.0","16,932.0","13,676.0","4,192.0","8,736.0","9,320.0","5,404.0","9,828.0","7,456.0","8,036.0","9,736.0","7,844.0"
"64","45","Net exports of goods and services","A019RC1","10,875.0","11,294.0","11,770.0","9,289.0","7,293.0","5,205.0","4,949.0","4,501.0","6,478.0","6,283.0","5,179.0","2,999.0","2,203.0","1,643.0","-740.0","-154.0","177.0","1,943.0","3,742.0","4,190.0","3,721.0","1,951.0","-4.0","-1,013.0","-667.0","-1,251.0","-552.0","-335.0","-356.0","254.0","574.0","1,145.0","1,104.0","-155.0","724.0","240.0","440.0","1,909.0","2,569.0","4,527.0","4,819.0","4,099.0","3,997.0","3,388.0","1,079.0","471.0","856.0","-260.0","405.0","12.0","598.0","574.0","2,717.0","4,159.0","4,165.0","5,774.0","5,797.0","5,533.0","3,909.0","4,416.0","3,950.0","5,800.0","3,839.0","2,813.0","3,884.0","6,533.0","3,915.0","5,423.0","7,264.0","7,071.0","6,376.0","6,948.0","4,600.0","7,456.0","4,901.0","5,513.0","4,416.0","5,232.0","2,206.0","3,596.0","4,563.0","4,520.0","2,896.0","2,239.0","1,099.0","1,942.0","1,288.0","1,067.0","171.0","1,244.0"
"65","46","  Exports","B020RC1","18,394.0","19,497.0","19,433.0","17,636.0","16,917.0","15,241.0","15,405.0","14,625.0","16,082.0","15,647.0","14,115.0","12,091.0","11,704.0","11,872.0","12,293.0","13,531.0","15,043.0","17,121.0","18,052.0","18,180.0","18,679.0","16,581.0","15,246.0","15,329.0","15,128.0","15,196.0","15,755.0","15,172.0","14,424.0","16,438.0","15,878.0","16,605.0","17,273.0","16,942.0","18,145.0","18,349.0","19,365.0","20,882.0","21,822.0","23,068.0","24,919.0","24,369.0","23,759.0","23,022.0","20,534.0","20,546.0","20,595.0","20,563.0","21,801.0","22,556.0","23,466.0","23,078.0","26,005.0","27,614.0","27,044.0","27,516.0","27,455.0","27,432.0","27,235.0","28,286.0","28,264.0","30,684.0","28,950.0","28,363.0","29,069.0","32,423.0","30,619.0","32,187.0","34,242.0","34,797.0","34,805.0","36,233.0","33,057.0","39,135.0","36,931.0","39,461.0","39,406.0","41,472.0","40,377.0","42,425.0","43,995.0","43,540.0","42,439.0","43,892.0","45,498.0","47,358.0","49,529.0","49,238.0","43,974.0","53,915.0"
"66","47","    Goods","A253RC1","15,728.0","16,732.0","16,792.0","15,136.0","14,576.0","13,004.0","13,128.0","12,352.0","13,676.0","13,168.0","11,884.0","10,124.0","9,624.0","9,752.0","10,180.0","11,256.0","12,508.0","14,308.0","15,096.0","15,060.0","15,416.0","13,440.0","12,400.0","12,540.0","12,132.0","12,308.0","12,864.0","12,344.0","11,588.0","13,620.0","12,900.0","13,608.0","14,180.0","13,800.0","14,780.0","14,936.0","15,900.0","17,196.0","18,052.0","19,076.0","20,640.0","20,084.0","19,416.0","18,108.0","16,560.0","16,328.0","16,448.0","16,320.0","15,552.0","15,908.0","17,504.0","16,868.0","19,540.0","20,464.0","20,928.0","20,880.0","21,200.0","20,052.0","20,996.0","21,540.0","21,192.0","22,256.0","22,264.0","21,120.0","21,288.0","23,444.0","23,756.0","24,864.0","26,124.0","25,996.0","26,928.0","27,812.0","24,364.0","28,820.0","27,912.0","30,064.0","30,360.0","30,092.0","30,600.0","31,892.0","32,476.0","32,264.0","31,644.0","32,312.0","33,560.0","34,908.0","36,632.0","35,944.0","31,640.0","39,948.0"
"67","48","    Services","A646RC1","2,666.0","2,765.0","2,641.0","2,500.0","2,341.0","2,237.0","2,277.0","2,273.0","2,406.0","2,479.0","2,231.0","1,967.0","2,080.0","2,120.0","2,113.0","2,275.0","2,535.0","2,813.0","2,956.0","3,120.0","3,263.0","3,141.0","2,846.0","2,789.0","2,996.0","2,888.0","2,891.0","2,828.0","2,836.0","2,818.0","2,978.0","2,997.0","3,093.0","3,142.0","3,365.0","3,413.0","3,465.0","3,686.0","3,770.0","3,992.0","4,279.0","4,285.0","4,343.0","4,914.0","3,974.0","4,218.0","4,147.0","4,243.0","6,249.0","6,648.0","5,962.0","6,210.0","6,465.0","7,150.0","6,116.0","6,636.0","6,255.0","7,380.0","6,239.0","6,746.0","7,072.0","8,428.0","6,686.0","7,243.0","7,781.0","8,979.0","6,863.0","7,323.0","8,118.0","8,801.0","7,877.0","8,421.0","8,693.0","10,315.0","9,019.0","9,397.0","9,046.0","11,380.0","9,777.0","10,533.0","11,519.0","11,276.0","10,795.0","11,580.0","11,938.0","12,450.0","12,897.0","13,294.0","12,334.0","13,967.0"
"68","49","  Imports","B021RC1","7,519.0","8,203.0","7,663.0","8,347.0","9,624.0","10,036.0","10,456.0","10,124.0","9,604.0","9,364.0","8,936.0","9,092.0","9,501.0","10,229.0","13,033.0","13,685.0","14,866.0","15,178.0","14,310.0","13,990.0","14,958.0","14,630.0","15,250.0","16,342.0","15,795.0","16,447.0","16,307.0","15,507.0","14,780.0","16,184.0","15,304.0","15,460.0","16,169.0","17,097.0","17,421.0","18,109.0","18,925.0","18,973.0","19,253.0","18,541.0","20,100.0","20,270.0","19,762.0","19,634.0","19,455.0","20,075.0","19,739.0","20,823.0","21,396.0","22,544.0","22,868.0","22,504.0","23,288.0","23,455.0","22,879.0","21,742.0","21,658.0","21,899.0","23,326.0","23,870.0","24,314.0","24,884.0","25,111.0","25,550.0","25,185.0","25,890.0","26,704.0","26,764.0","26,978.0","27,726.0","28,429.0","29,285.0","28,457.0","31,679.0","32,030.0","33,948.0","34,990.0","36,240.0","38,171.0","38,829.0","39,432.0","39,020.0","39,543.0","41,653.0","44,399.0","45,416.0","48,241.0","48,171.0","43,803.0","52,671.0"
"69","50","    Goods","A255RC1","5,612.0","6,292.0","5,828.0","6,160.0","7,340.0","7,644.0","7,708.0","7,536.0","7,164.0","6,852.0","6,620.0","6,860.0","7,184.0","7,808.0","10,464.0","10,868.0","11,772.0","12,040.0","10,808.0","10,084.0","10,696.0","10,604.0","10,768.0","11,284.0","10,988.0","11,516.0","11,152.0","10,244.0","9,976.0","11,048.0","10,224.0","10,164.0","11,104.0","11,232.0","11,296.0","12,476.0","13,020.0","12,692.0","12,620.0","12,880.0","13,188.0","13,376.0","13,060.0","13,540.0","12,580.0","12,668.0","12,780.0","13,780.0","14,484.0","15,532.0","15,796.0","15,428.0","15,700.0","15,888.0","15,056.0","14,236.0","14,064.0","14,256.0","15,760.0","16,132.0","16,440.0","16,920.0","17,084.0","17,032.0","16,916.0","17,568.0","18,152.0","18,216.0","18,344.0","19,080.0","19,720.0","20,424.0","19,552.0","22,436.0","22,808.0","24,192.0","24,852.0","25,612.0","27,160.0","27,712.0","27,704.0","26,796.0","27,012.0","29,532.0","32,116.0","33,152.0","35,408.0","35,108.0","30,772.0","39,116.0"
"70","51","    Services","B656RC1","1,907.0","1,911.0","1,835.0","2,187.0","2,284.0","2,392.0","2,748.0","2,588.0","2,440.0","2,512.0","2,316.0","2,232.0","2,317.0","2,421.0","2,569.0","2,817.0","3,094.0","3,138.0","3,502.0","3,906.0","4,262.0","4,026.0","4,482.0","5,058.0","4,807.0","4,931.0","5,155.0","5,263.0","4,804.0","5,136.0","5,080.0","5,296.0","5,065.0","5,865.0","6,125.0","5,633.0","5,905.0","6,281.0","6,633.0","5,661.0","6,912.0","6,894.0","6,702.0","6,094.0","6,875.0","7,407.0","6,959.0","7,043.0","6,912.0","7,012.0","7,072.0","7,076.0","7,588.0","7,567.0","7,823.0","7,506.0","7,594.0","7,643.0","7,566.0","7,738.0","7,874.0","7,964.0","8,027.0","8,518.0","8,269.0","8,322.0","8,552.0","8,548.0","8,634.0","8,646.0","8,709.0","8,861.0","8,905.0","9,243.0","9,222.0","9,756.0","10,138.0","10,628.0","11,011.0","11,117.0","11,728.0","12,224.0","12,531.0","12,121.0","12,283.0","12,264.0","12,833.0","13,063.0","13,031.0","13,555.0"
"71","52","Government consumption expenditures and gross investment","A822RC1","40,061.0","40,311.0","39,769.0","39,974.0","41,180.0","43,087.0","44,831.0","46,763.0","48,789.0","50,587.0","50,591.0","50,133.0","49,194.0","49,851.0","49,954.0","53,946.0","62,256.0","70,043.0","78,298.0","83,575.0","85,250.0","89,236.0","91,157.0","93,660.0","96,017.0","98,169.0","96,866.0","97,000.0","95,121.0","92,823.0","91,426.0","91,630.0","92,165.0","92,848.0","94,406.0","93,613.0","95,164.0","98,570.0","98,629.0","101,709.0","105,698.0","106,211.0","107,792.0","110,445.0","110,212.0","114,005.0","115,491.0","118,416.0","117,626.0","118,964.0","119,906.0","119,029.0","117,430.0","118,853.0","122,940.0","124,872.0","126,794.0","127,850.0","130,566.0","134,168.0","137,767.0","139,060.0","142,698.0","144,199.0","144,392.0","144,803.0","150,597.0","151,725.0","153,292.0","155,080.0","156,814.0","156,920.0","157,820.0","160,624.0","167,625.0","173,469.0","177,929.0","182,566.0","190,424.0","194,650.0","203,602.0","204,848.0","209,446.0","214,367.0","220,884.0","224,821.0","228,649.0","232,677.0","235,048.0","238,227.0"
"72","53","  Federal","A823RC1","26,636.0","26,476.0","25,316.0","24,824.0","25,516.0","26,656.0","27,504.0","28,732.0","30,220.0","31,288.0","30,536.0","29,840.0","28,608.0","28,952.0","28,444.0","31,816.0","39,596.0","46,624.0","54,340.0","59,348.0","60,920.0","64,092.0","66,168.0","68,108.0","69,652.0","71,932.0","69,964.0","69,516.0","66,764.0","63,708.0","61,336.0","61,216.0","60,712.0","60,860.0","61,928.0","60,540.0","60,984.0","63,508.0","62,796.0","65,160.0","67,884.0","67,516.0","68,356.0","70,036.0","68,708.0","71,512.0","71,860.0","73,896.0","72,348.0","73,556.0","74,492.0","73,796.0","70,948.0","71,008.0","74,132.0","75,276.0","75,264.0","76,156.0","78,092.0","79,904.0","83,316.0","84,088.0","87,000.0","87,564.0","86,168.0","85,720.0","89,816.0","89,632.0","90,048.0","90,100.0","90,828.0","89,916.0","89,440.0","90,064.0","94,440.0","98,652.0","101,176.0","103,968.0","109,896.0","111,132.0","117,892.0","117,880.0","120,916.0","123,148.0","126,348.0","127,104.0","128,516.0","129,700.0","129,576.0","129,720.0"
"73","54","    National defense","A824RC1","22,488.0","21,184.0","20,272.0","20,728.0","20,880.0","20,652.0","20,760.0","21,600.0","22,524.0","22,820.0","22,632.0","21,660.0","20,948.0","21,004.0","22,744.0","26,124.0","33,596.0","40,320.0","48,132.0","52,928.0","53,528.0","57,020.0","58,704.0","60,540.0","61,340.0","62,004.0","60,980.0","60,300.0","57,360.0","55,248.0","53,236.0","52,044.0","52,372.0","51,900.0","53,104.0","52,164.0","52,784.0","54,968.0","55,116.0","57,060.0","58,856.0","59,664.0","60,688.0","60,648.0","60,840.0","61,976.0","62,644.0","63,448.0","61,136.0","60,284.0","61,392.0","60,948.0","60,032.0","59,508.0","61,960.0","62,096.0","63,404.0","63,356.0","64,956.0","66,448.0","69,184.0","68,912.0","70,444.0","70,276.0","69,368.0","68,872.0","70,828.0","70,884.0","70,380.0","69,372.0","70,156.0","68,988.0","68,016.0","68,164.0","71,156.0","74,964.0","77,476.0","79,136.0","85,624.0","87,660.0","92,212.0","93,492.0","96,656.0","97,748.0","100,452.0","101,512.0","101,484.0","101,976.0","101,276.0","100,852.0"
"74","55","      Consumption expenditures","A997RC1","20,644.0","19,420.0","17,864.0","18,136.0","17,856.0","17,412.0","17,540.0","18,056.0","18,460.0","18,404.0","18,160.0","17,556.0","17,652.0","17,716.0","18,988.0","21,820.0","27,148.0","31,208.0","36,120.0","37,944.0","38,880.0","42,088.0","43,168.0","44,648.0","44,404.0","44,244.0","43,696.0","44,556.0","41,460.0","40,032.0","39,484.0","38,436.0","39,312.0","38,612.0","40,240.0","39,488.0","39,652.0","41,440.0","40,760.0","41,908.0","43,508.0","44,740.0","45,048.0","45,096.0","45,360.0","46,048.0","46,320.0","46,232.0","42,348.0","41,400.0","42,064.0","42,232.0","41,604.0","41,852.0","43,320.0","43,732.0","43,328.0","43,488.0","44,356.0","45,536.0","47,836.0","48,048.0","49,020.0","49,332.0","49,800.0","49,536.0","50,600.0","52,072.0","51,528.0","50,964.0","52,012.0","51,052.0","50,968.0","51,784.0","54,360.0","58,520.0","59,520.0","61,816.0","66,280.0","67,428.0","70,972.0","72,964.0","74,548.0","76,420.0","80,108.0","81,428.0","81,564.0","82,648.0","80,092.0","81,968.0"
"75","56","      Gross investment","A788RC1","1,844.0","1,764.0","2,408.0","2,592.0","3,024.0","3,240.0","3,220.0","3,544.0","4,064.0","4,416.0","4,472.0","4,104.0","3,296.0","3,288.0","3,756.0","4,304.0","6,448.0","9,112.0","12,012.0","14,984.0","14,648.0","14,932.0","15,536.0","15,892.0","16,936.0","17,760.0","17,284.0","15,744.0","15,900.0","15,216.0","13,752.0","13,608.0","13,060.0","13,288.0","12,864.0","12,676.0","13,132.0","13,528.0","14,356.0","15,152.0","15,348.0","14,924.0","15,640.0","15,552.0","15,480.0","15,928.0","16,324.0","17,216.0","18,788.0","18,884.0","19,328.0","18,716.0","18,428.0","17,656.0","18,640.0","18,364.0","20,076.0","19,868.0","20,600.0","20,912.0","21,348.0","20,864.0","21,424.0","20,944.0","19,568.0","19,336.0","20,228.0","18,812.0","18,852.0","18,408.0","18,144.0","17,936.0","17,048.0","16,380.0","16,796.0","16,444.0","17,956.0","17,320.0","19,344.0","20,232.0","21,240.0","20,528.0","22,108.0","21,328.0","20,344.0","20,084.0","19,920.0","19,328.0","21,184.0","18,884.0"
"76","57","    Nondefense","A825RC1","4,148.0","5,292.0","5,044.0","4,096.0","4,636.0","6,004.0","6,744.0","7,132.0","7,696.0","8,468.0","7,904.0","8,180.0","7,660.0","7,948.0","5,700.0","5,692.0","6,000.0","6,304.0","6,208.0","6,420.0","7,392.0","7,072.0","7,464.0","7,568.0","8,312.0","9,928.0","8,984.0","9,216.0","9,404.0","8,460.0","8,100.0","9,172.0","8,340.0","8,960.0","8,824.0","8,376.0","8,200.0","8,540.0","7,680.0","8,100.0","9,028.0","7,852.0","7,668.0","9,388.0","7,868.0","9,536.0","9,216.0","10,448.0","11,212.0","13,272.0","13,100.0","12,848.0","10,916.0","11,500.0","12,172.0","13,180.0","11,860.0","12,800.0","13,136.0","13,456.0","14,132.0","15,176.0","16,556.0","17,288.0","16,800.0","16,848.0","18,988.0","18,748.0","19,668.0","20,728.0","20,672.0","20,928.0","21,424.0","21,900.0","23,284.0","23,688.0","23,700.0","24,832.0","24,272.0","23,472.0","25,680.0","24,388.0","24,260.0","25,400.0","25,896.0","25,592.0","27,032.0","27,724.0","28,300.0","28,868.0"
"77","58","      Consumption expenditures","A542RC1","3,728.0","4,668.0","4,312.0","3,308.0","3,572.0","4,928.0","5,492.0","5,876.0","6,316.0","6,964.0","6,156.0","6,220.0","5,884.0","5,884.0","3,752.0","4,016.0","4,144.0","4,348.0","4,364.0","4,500.0","5,308.0","5,092.0","5,528.0","5,692.0","6,512.0","8,252.0","7,264.0","7,500.0","7,832.0","6,940.0","6,624.0","7,828.0","7,088.0","7,608.0","7,688.0","7,160.0","6,804.0","6,880.0","5,780.0","6,216.0","7,068.0","5,656.0","5,332.0","7,044.0","5,248.0","6,792.0","6,524.0","7,704.0","8,436.0","10,424.0","10,304.0","9,904.0","7,780.0","7,912.0","8,420.0","9,176.0","7,672.0","8,660.0","8,888.0","8,900.0","9,360.0","10,036.0","11,092.0","11,236.0","10,336.0","9,892.0","11,524.0","10,896.0","11,368.0","12,052.0","11,804.0","11,652.0","11,984.0","12,056.0","13,120.0","13,012.0","12,440.0","13,292.0","12,820.0","12,224.0","14,864.0","14,048.0","13,704.0","14,560.0","14,896.0","14,396.0","15,836.0","16,368.0","17,004.0","17,500.0"
"78","59","      Gross investment","A798RC1","420.0","624.0","732.0","788.0","1,064.0","1,076.0","1,252.0","1,256.0","1,380.0","1,504.0","1,748.0","1,960.0","1,776.0","2,064.0","1,948.0","1,676.0","1,856.0","1,956.0","1,844.0","1,920.0","2,084.0","1,980.0","1,936.0","1,876.0","1,800.0","1,676.0","1,720.0","1,716.0","1,572.0","1,520.0","1,476.0","1,344.0","1,252.0","1,352.0","1,136.0","1,216.0","1,396.0","1,660.0","1,900.0","1,884.0","1,960.0","2,196.0","2,336.0","2,344.0","2,620.0","2,744.0","2,692.0","2,744.0","2,776.0","2,848.0","2,796.0","2,944.0","3,136.0","3,588.0","3,752.0","4,004.0","4,188.0","4,140.0","4,248.0","4,556.0","4,772.0","5,140.0","5,464.0","6,052.0","6,464.0","6,956.0","7,464.0","7,852.0","8,300.0","8,676.0","8,868.0","9,276.0","9,440.0","9,844.0","10,164.0","10,676.0","11,260.0","11,540.0","11,452.0","11,248.0","10,816.0","10,340.0","10,556.0","10,840.0","11,000.0","11,196.0","11,196.0","11,356.0","11,296.0","11,368.0"
"79","60","  State and local","A829RC1","13,425.0","13,835.0","14,453.0","15,150.0","15,664.0","16,431.0","17,327.0","18,031.0","18,569.0","19,299.0","20,055.0","20,293.0","20,586.0","20,899.0","21,510.0","22,130.0","22,660.0","23,419.0","23,958.0","24,227.0","24,330.0","25,144.0","24,989.0","25,552.0","26,365.0","26,237.0","26,902.0","27,484.0","28,357.0","29,115.0","30,090.0","30,414.0","31,453.0","31,988.0","32,478.0","33,073.0","34,180.0","35,062.0","35,833.0","36,549.0","37,814.0","38,695.0","39,436.0","40,409.0","41,504.0","42,493.0","43,631.0","44,520.0","45,278.0","45,408.0","45,414.0","45,233.0","46,482.0","47,845.0","48,808.0","49,596.0","51,530.0","51,694.0","52,474.0","54,264.0","54,451.0","54,972.0","55,698.0","56,635.0","58,224.0","59,083.0","60,781.0","62,093.0","63,244.0","64,980.0","65,986.0","67,004.0","68,380.0","70,560.0","73,185.0","74,817.0","76,753.0","78,598.0","80,528.0","83,518.0","85,710.0","86,968.0","88,530.0","91,219.0","94,536.0","97,717.0","100,133.0","102,977.0","105,472.0","108,507.0"
"80","61","    Consumption expenditures","A991RC1","10,735.0","11,106.0","11,513.0","11,951.0","12,203.0","12,495.0","13,014.0","13,464.0","13,771.0","13,931.0","14,354.0","14,571.0","14,979.0","15,162.0","15,491.0","15,793.0","16,085.0","16,294.0","16,687.0","17,043.0","16,980.0","17,793.0","17,623.0","18,026.0","18,564.0","18,525.0","18,890.0","19,028.0","19,414.0","19,905.0","20,598.0","20,881.0","21,628.0","21,878.0","22,217.0","22,691.0","23,130.0","23,677.0","24,342.0","24,939.0","25,357.0","26,080.0","26,819.0","27,474.0","28,334.0","29,181.0","29,734.0","30,164.0","30,622.0","30,994.0","31,418.0","31,954.0","32,948.0","33,893.0","34,370.0","35,094.0","36,175.0","37,193.0","37,470.0","38,116.0","38,618.0","39,114.0","39,479.0","40,157.0","41,001.0","41,819.0","42,664.0","43,620.0","44,627.0","45,559.0","46,434.0","47,496.0","48,659.0","49,885.0","51,276.0","52,463.0","54,047.0","55,522.0","57,143.0","58,769.0","59,872.0","61,279.0","63,280.0","65,108.0","67,526.0","69,480.0","71,719.0","74,125.0","76,435.0","79,045.0"
"81","62","    Gross investment","A799RC1","2,690.0","2,730.0","2,941.0","3,199.0","3,461.0","3,936.0","4,313.0","4,567.0","4,798.0","5,368.0","5,701.0","5,722.0","5,607.0","5,737.0","6,019.0","6,337.0","6,575.0","7,125.0","7,270.0","7,184.0","7,350.0","7,351.0","7,366.0","7,526.0","7,801.0","7,712.0","8,012.0","8,457.0","8,943.0","9,210.0","9,492.0","9,532.0","9,825.0","10,110.0","10,261.0","10,382.0","11,050.0","11,385.0","11,492.0","11,610.0","12,456.0","12,615.0","12,617.0","12,934.0","13,171.0","13,311.0","13,897.0","14,356.0","14,656.0","14,414.0","13,996.0","13,278.0","13,534.0","13,952.0","14,438.0","14,502.0","15,355.0","14,501.0","15,004.0","16,148.0","15,833.0","15,857.0","16,219.0","16,478.0","17,223.0","17,264.0","18,117.0","18,473.0","18,617.0","19,421.0","19,551.0","19,507.0","19,721.0","20,676.0","21,909.0","22,353.0","22,706.0","23,075.0","23,385.0","24,749.0","25,837.0","25,688.0","25,250.0","26,112.0","27,010.0","28,237.0","28,414.0","28,852.0","29,037.0","29,462.0"
"82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
