"","Table 1#10# Gross Domestic Income by Type of Income             ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"35","16","      Taxes on corporate income","A054RC1","11,560.0","10,936.0","10,796.0","11,780.0","12,144.0","12,796.0","12,580.0","12,164.0","11,044.0","9,716.0","10,120.0","9,932.0","13,628.0","16,308.0","19,924.0","21,840.0","26,280.0","22,264.0","20,144.0","21,548.0","19,804.0","18,652.0","18,608.0","20,532.0","21,616.0","21,724.0","21,232.0","16,576.0","16,404.0","16,904.0","17,920.0","19,268.0","21,344.0","21,608.0","22,156.0","23,056.0","22,040.0","22,488.0","21,144.0","22,300.0","22,824.0","21,872.0","21,428.0","19,568.0","16,920.0","17,248.0","19,388.0","22,300.0","23,500.0","25,724.0","23,116.0","22,568.0","25,104.0","23,064.0","22,024.0","20,936.0","20,656.0","22,092.0","23,392.0","25,420.0","23,904.0","23,660.0","24,364.0","24,452.0","24,556.0","26,264.0","27,004.0","27,660.0","27,904.0","27,964.0","28,584.0","28,168.0","29,556.0","30,504.0","31,084.0","33,116.0","34,168.0","34,208.0","33,872.0","33,276.0","32,500.0","32,204.0","32,484.0","34,408.0","38,728.0","39,496.0","39,664.0","40,624.0","41,460.0","40,428.0"
"36","17","      Profits after tax with inventory valuation and capital consumption adjustments","W273RC1","9,011.0","12,587.0","12,821.0","13,223.0","16,627.0","17,678.0","17,318.0","19,222.0","18,735.0","17,780.0","18,687.0","15,716.0","15,300.0","16,498.0","17,093.0","18,567.0","12,953.0","16,613.0","19,170.0","18,845.0","18,318.0","17,597.0","17,547.0","20,048.0","19,852.0","18,886.0","18,346.0","15,753.0","18,264.0","19,087.0","20,051.0","22,094.0","25,225.0","26,258.0","25,616.0","25,990.0","24,660.0","24,394.0","25,260.0","25,014.0","25,822.0","25,129.0","24,700.0","22,847.0","19,967.0","20,812.0","22,867.0","25,833.0","28,265.0","30,804.0","28,282.0","28,928.0","30,446.0","28,564.0","28,706.0","27,326.0","26,198.0","29,213.0","30,507.0","33,040.0","35,276.0","35,236.0","36,163.0","38,030.0","38,496.0","40,009.0","40,641.0","41,079.0","44,589.0","44,948.0","45,383.0","45,415.0","51,516.0","52,597.0","53,561.0","56,398.0","58,855.0","57,672.0","56,408.0","57,917.0","56,157.0","55,513.0","55,710.0","57,386.0","54,175.0","57,125.0","57,250.0","57,382.0","55,755.0","53,468.0"
"37","18","        Net dividends","A449RC1","5,368.0","5,624.0","5,852.0","5,684.0","6,240.0","5,824.0","6,264.0","6,472.0","6,356.0","6,344.0","6,256.0","6,668.0","7,388.0","7,552.0","8,016.0","8,460.0","7,360.0","7,488.0","7,404.0","7,380.0","7,008.0","7,636.0","7,480.0","7,720.0","7,304.0","7,960.0","7,948.0","7,792.0","8,112.0","7,544.0","7,924.0","7,860.0","8,480.0","8,700.0","9,192.0","9,224.0","9,328.0","9,380.0","9,316.0","9,844.0","9,844.0","9,752.0","9,892.0","9,936.0","9,932.0","9,932.0","9,860.0","9,604.0","10,300.0","10,744.0","10,868.0","10,920.0","11,284.0","11,292.0","11,668.0","11,396.0","11,192.0","11,420.0","11,460.0","11,952.0","12,208.0","12,420.0","12,624.0","12,172.0","13,008.0","13,552.0","13,744.0","13,944.0","14,208.0","14,880.0","15,188.0","15,688.0","15,664.0","16,316.0","17,284.0","18,232.0","18,508.0","18,008.0","17,736.0","17,060.0","18,244.0","19,008.0","18,588.0","17,480.0","19,708.0","19,668.0","20,536.0","20,756.0","20,244.0","20,428.0"
"38","19","        Undistributed corporate profits with inventory valuation and capital consumption adjustments","W274RC1","3,643.0","6,963.0","6,969.0","7,539.0","10,387.0","11,854.0","11,054.0","12,750.0","12,379.0","11,436.0","12,431.0","9,048.0","7,912.0","8,946.0","9,077.0","10,107.0","5,593.0","9,125.0","11,766.0","11,465.0","11,310.0","9,961.0","10,067.0","12,328.0","12,548.0","10,926.0","10,398.0","7,961.0","10,152.0","11,543.0","12,127.0","14,234.0","16,745.0","17,558.0","16,424.0","16,766.0","15,332.0","15,014.0","15,944.0","15,170.0","15,978.0","15,377.0","14,808.0","12,911.0","10,035.0","10,880.0","13,007.0","16,229.0","17,965.0","20,060.0","17,414.0","18,008.0","19,162.0","17,272.0","17,038.0","15,930.0","15,006.0","17,793.0","19,047.0","21,088.0","23,068.0","22,816.0","23,539.0","25,858.0","25,488.0","26,457.0","26,897.0","27,135.0","30,381.0","30,068.0","30,195.0","29,727.0","35,852.0","36,281.0","36,277.0","38,166.0","40,347.0","39,664.0","38,672.0","40,857.0","37,913.0","36,505.0","37,122.0","39,906.0","34,467.0","37,457.0","36,714.0","36,626.0","35,511.0","33,040.0"
"39","20","  Current surplus of government enterprises \1\","A108RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","494.0","514.0","527.0","642.0","529.0","557.0","393.0","374.0","299.0","261.0","283.0","497.0","363.0","337.0","413.0","401.0","723.0","754.0","824.0","896.0","865.0","842.0","591.0","757.0","737.0","797.0","660.0","526.0","472.0","338.0","87.0","193.0","141.0","248.0","272.0","-43.0","323.0","344.0","344.0","206.0","13.0","-4.0"
"40","21","Consumption of fixed capital","A262RC1","27,748.0","28,756.0","29,802.0","30,497.0","30,786.0","31,159.0","31,672.0","31,953.0","32,289.0","32,304.0","32,320.0","32,432.0","32,464.0","32,798.0","33,594.0","34,867.0","36,277.0","37,362.0","38,308.0","39,081.0","39,554.0","40,210.0","41,002.0","41,705.0","42,491.0","43,248.0","43,806.0","44,377.0","44,973.0","45,707.0","46,283.0","46,960.0","47,450.0","48,190.0","49,324.0","50,574.0","52,140.0","53,501.0","54,824.0","56,034.0","57,308.0","58,415.0","59,488.0","60,438.0","61,062.0","61,962.0","62,917.0","63,761.0","64,470.0","65,126.0","65,772.0","66,387.0","66,973.0","67,560.0","68,199.0","68,842.0","69,505.0","70,194.0","70,949.0","71,779.0","72,714.0","73,519.0","74,559.0","75,610.0","76,511.0","77,508.0","78,464.0","79,525.0","80,602.0","81,750.0","82,951.0","84,211.0","85,587.0","87,115.0","88,756.0","90,463.0","92,298.0","94,312.0","96,268.0","98,294.0","100,244.0","102,321.0","104,584.0","106,930.0","109,438.0","111,914.0","114,524.0","117,420.0","120,457.0","123,462.0"
"41","22","  Private","A024RC1","16,291.0","17,304.0","18,242.0","19,104.0","19,887.0","20,574.0","21,165.0","21,661.0","22,060.0","22,432.0","22,777.0","23,093.0","23,384.0","23,880.0","24,579.0","25,484.0","26,594.0","27,500.0","28,198.0","28,689.0","28,977.0","29,318.0","29,712.0","30,163.0","30,667.0","31,141.0","31,582.0","31,995.0","32,374.0","32,759.0","33,150.0","33,548.0","33,949.0","34,528.0","35,281.0","36,209.0","37,312.0","38,352.0","39,329.0","40,243.0","41,095.0","41,901.0","42,659.0","43,370.0","44,035.0","44,651.0","45,220.0","45,739.0","46,211.0","46,643.0","47,034.0","47,385.0","47,695.0","48,025.0","48,373.0","48,740.0","49,124.0","49,540.0","49,991.0","50,473.0","50,986.0","51,515.0","52,055.0","52,612.0","53,182.0","53,801.0","54,466.0","55,182.0","55,947.0","56,784.0","57,694.0","58,676.0","59,733.0","60,887.0","62,143.0","63,500.0","64,957.0","66,424.0","67,905.0","69,396.0","70,899.0","72,472.0","74,113.0","75,822.0","77,596.0","79,510.0","81,558.0","83,744.0","86,068.0","88,342.0"
"42","23","  Government","A264RC1","11,457.0","11,452.0","11,560.0","11,393.0","10,899.0","10,585.0","10,507.0","10,292.0","10,229.0","9,872.0","9,543.0","9,339.0","9,080.0","8,918.0","9,015.0","9,383.0","9,683.0","9,862.0","10,110.0","10,392.0","10,577.0","10,892.0","11,290.0","11,542.0","11,824.0","12,107.0","12,224.0","12,382.0","12,599.0","12,948.0","13,133.0","13,412.0","13,501.0","13,662.0","14,043.0","14,365.0","14,828.0","15,149.0","15,495.0","15,791.0","16,213.0","16,514.0","16,829.0","17,068.0","17,027.0","17,311.0","17,697.0","18,022.0","18,259.0","18,483.0","18,738.0","19,002.0","19,278.0","19,535.0","19,826.0","20,102.0","20,381.0","20,654.0","20,958.0","21,306.0","21,728.0","22,004.0","22,504.0","22,998.0","23,329.0","23,707.0","23,998.0","24,343.0","24,655.0","24,966.0","25,257.0","25,535.0","25,854.0","26,228.0","26,613.0","26,963.0","27,341.0","27,888.0","28,363.0","28,898.0","29,345.0","29,849.0","30,471.0","31,108.0","31,842.0","32,404.0","32,966.0","33,676.0","34,389.0","35,120.0"
"43",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","24","  Statistical discrepancy","A030RC1","2,758.0","2,717.0","2,122.0","3,814.0","674.0","-1,125.0","227.0","-866.0","827.0","664.0","2,014.0","3,381.0","3,297.0","425.0","621.0","632.0","3,444.0","3,414.0","4,543.0","2,297.0","3,731.0","2,369.0","1,672.0","2,537.0","2,873.0","3,218.0","3,536.0","5,421.0","2,731.0","2,477.0","3,424.0","2,880.0","3,415.0","1,759.0","1,962.0","1,292.0","-859.0","-1,752.0","-2,614.0","-3,048.0","-1,219.0","-1,869.0","623.0","907.0","-1,221.0","527.0","1,024.0","2,115.0","26.0","-1,450.0","1,797.0","222.0","238.0","-1,630.0","-205.0","-3,847.0","-1,331.0","-453.0","-82.0","-2,028.0","1,445.0","1,273.0","888.0","-3,929.0","-2,353.0","-3,387.0","350.0","-689.0","2,585.0","749.0","401.0","-3,795.0","-2,243.0","-1,693.0","2,837.0","4,194.0","6,486.0","4,527.0","4,798.0","4,676.0","7,514.0","3,642.0","2,119.0","366.0","5,055.0","6,675.0","1,302.0","-318.0","5,570.0","1,935.0"
"45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","1. Prior to 1959, subsidies (line 8) and the current surplus of government enterprises (line 20) are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","not shown separately; subsidies are presented net of the current surplus of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
