"","Table 2#3#6U# Real Personal Consumption Expenditures by Major Ty","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70"
"11","2","Goods","DGDSRX0",1870614,1883232,1906044,1924045,1939453,1977272,1991326,2015478,2042662,2041102,2094486,2123089,2139590,2195828,2229339,2297414,2325919,2380956,2409629,2451543,2488956,2502608,2529323,2551895,2558569,2565931,2585226,2679446,2674102,2686844,2721390,2729079,2747510,2798197,2872687,2890440,2920603,2927138,2962977,3002384,3035370,3077236,3100924,3093376,3146785,3157734,3184459,3226706,3247643,3263023,3287336,3295815,3248989,3252676,3187944,3081980,3082584,3064334,3120715,3124564,3173307,3202864,3240813,3306005,3344410,3331236,3341659
"12","3","  Durable goods","DDURRX0",497326,502383,516565,525538,531244,548145,552026,562807,578055,576190,601881,617239,622411,654147,673033,712983,714746,749120,767361,776903,820606,805838,819772,825801,839800,839383,849543,920908,910357,919932,946874,934405,937172,975919,1016893,1026538,1040919,1047456,1068178,1087199,1098695,1130582,1146642,1117488,1160885,1161781,1178979,1195214,1210070,1227048,1242747,1249906,1218707,1209775,1170776,1087977,1094568,1083358,1134512,1120769,1147466,1169260,1194057,1242425,1277358,1260171,1277114
"13","4","    Motor vehicles and parts","DMOTRX0",251538,251337,257558,261940,264646,268772,268149,270390,282467,272833,290690,298465,289801,312148,316404,345768,329603,353079,354135,343667,372865,346086,352221,353238,363089,356970,361233,415914,386285,388432,412879,388436,388487,404904,416953,408675,408505,406507,411502,415225,407633,422393,426298,376440,391038,391067,398165,397267,399440,405137,401846,399317,381945,360740,340847,303781,316237,312420,344549,316728,315923,321353,328031,354925,368217,342105,343682
"14","5","    Furnishings and durable household equipment","DFDHRX0",130826,131989,133924,135496,134401,139234,139308,142352,142830,143383,146577,148520,152444,154839,158412,163551,168315,172301,177991,183593,188207,191827,194371,195514,198437,200218,202145,208266,214858,216702,216384,220092,218734,226119,234033,237608,241669,244585,249660,252921,254985,258349,263169,268622,274862,271269,272108,271933,274975,272808,274403,275216,268852,271407,261935,248899,241229,236916,239803,244468,252645,259241,261415,267038,269349,271390,274916
"15","6","    Recreational goods and vehicles","DREQRX0",70879,73041,77438,79458,81434,85936,88428,91571,94475,98423,102494,106008,111215,116729,124251,129989,135954,142569,149731,156810,166793,169188,173566,177434,180404,185505,189818,199504,206742,210053,212882,217311,221404,231538,246390,255745,264015,269606,278637,286456,299333,309116,316060,326753,344156,348387,357957,374347,382733,392528,408847,419404,415758,428396,421822,398840,401609,396670,411816,426856,441985,452142,465838,478543,495861,506525,519698
"16","7","    Other durable goods","DODGRX0",69153,69811,70074,70888,72287,74579,75079,76581,76921,76907,78779,80862,82618,85486,87142,89017,92747,93994,96816,101789,102308,105581,106184,105512,104075,101575,100888,104032,106893,108932,109714,112178,111656,116454,122126,126250,128042,127743,129108,133075,136784,140676,141010,145785,151121,151542,151536,153332,154930,158936,161368,160900,157871,157227,154680,145090,144599,145824,147168,146367,152166,152886,156414,158141,161413,163815,165211
"17","8","  Nondurable goods","DNDGRX0",1427990,1435010,1440106,1447534,1456906,1475627,1486125,1498160,1507269,1508098,1532374,1543149,1554551,1573754,1585358,1607043,1636729,1652095,1659955,1693953,1679332,1712882,1724532,1741381,1731226,1739494,1747918,1763045,1770210,1772485,1777504,1800015,1815979,1825152,1856935,1864778,1880423,1880279,1895099,1915419,1937024,1946685,1954373,1975417,1986138,1996052,2005920,2031869,2038210,2037499,2046914,2049014,2032057,2043501,2015433,1985291,1980332,1972821,1982657,1997673,2021125,2030761,2045835,2067432,2075433,2076556,2073229
"18","9","    Food and beverages purchased for off-premises consumption","DFXARX0",549823,547134,547199,549583,552077,554672,553628,555394,559307,556384,559688,559694,559175,563705,567518,571460,578192,583955,588985,598058,592086,600847,601630,607502,605330,609321,607197,608230,605706,606687,609069,614278,618462,612728,619455,615470,621934,619133,623496,630844,639152,639139,646528,653152,654842,662057,662969,672125,673222,669531,672426,677591,672920,674538,666507,650155,646989,654751,660817,666806,671628,667219,672810,680772,682090,684132,683428
"19","10","    Clothing and footwear","DCLORX0",197683,199777,203361,203557,204952,210012,213540,214889,214983,213066,220147,222934,227696,231523,229839,235178,243677,245780,247414,248053,252094,257555,260367,262568,258355,260041,259736,264216,267208,267332,265704,274018,274152,281222,287479,287705,295845,291500,294854,301878,306126,313044,313629,323274,326136,325265,329161,334043,338173,338842,341848,341656,338703,347658,338962,327048,324334,318385,321619,325126,334334,339643,339982,350058,352753,354681,347320
"20","11","    Gasoline and other energy goods","DGOERX0",264040,266178,263202,263774,267342,269054,269136,268380,270145,273909,275113,276420,278768,283222,285895,287069,289000,295451,291891,293359,282848,288267,289507,287759,289025,285362,290696,291587,290568,294022,295691,295529,295921,299094,304736,307980,306471,306874,304932,305204,308866,305565,301596,299120,295108,295743,298562,298055,296545,294914,294866,291291,286277,282683,273410,280035,284861,281189,279291,279076,281768,282119,282683,278442,274167,268535,267633
"21","12","    Other nondurable goods","DONGRX0",436850,442142,443952,448276,450968,458934,465530,474341,478223,482077,492547,498656,502714,509412,517502,526967,536972,539983,542618,564570,558247,571962,578251,587549,583757,588529,595262,603051,609513,608563,611668,619054,629723,634363,647520,656357,657699,664464,672637,677817,683195,688690,692300,700122,710762,713756,715899,728950,732040,736327,740150,741415,737486,744458,744548,732227,728391,721375,723752,729745,737284,746360,754812,764506,774427,779589,784514
"22","13","Services","DSERRX0",4159368,4196972,4226884,4250772,4292389,4320936,4344033,4369583,4405131,4435023,4487758,4533441,4583861,4639757,4696136,4728838,4768790,4822691,4880612,4940434,5015169,5073450,5120478,5165412,5189696,5211730,5225766,5249012,5283041,5310922,5329550,5350442,5372383,5401084,5435935,5463303,5507144,5538192,5576321,5629045,5664753,5708969,5751957,5781516,5819090,5862066,5889472,5931941,5961973,5982035,5998841,6017750,6039748,6032854,6006502,5988840,5953477,5928637,5926827,5932878,5947430,5984292,6008121,6027469,6039087,6067003,6109791
"23","14","  Household consumption expenditures (for services)","DHCERX0",4021739,4058066,4087369,4108438,4145223,4171968,4193919,4223321,4267015,4297936,4350853,4394569,4440390,4491600,4542404,4569593,4608405,4661149,4717870,4775717,4844967,4902635,4942909,4982379,5005683,5023675,5034347,5053329,5083627,5106536,5116782,5132147,5155150,5181174,5216620,5244656,5287297,5320317,5359996,5412650,5460733,5500724,5539820,5559087,5593879,5630673,5648281,5689731,5721583,5744559,5752461,5762197,5775918,5765084,5734418,5707123,5676346,5657048,5653532,5655164,5668116,5702586,5730617,5754730,5765938,5793236,5835525
"24","15","    Housing and utilities","DHUTRX0",1217294,1231976,1244230,1245585,1258249,1260696,1258070,1269334,1273584,1284815,1292687,1310109,1312193,1328450,1339190,1338769,1354126,1368086,1382461,1381985,1388023,1406160,1418507,1441554,1449360,1448224,1454436,1453511,1453616,1459927,1462521,1471471,1474510,1478723,1479355,1488016,1495093,1505013,1514526,1536551,1556110,1577903,1596320,1599971,1596368,1617580,1629486,1623959,1624294,1625546,1629739,1626686,1637276,1636955,1630895,1646108,1649999,1651323,1656634,1661529,1663578,1665707,1675297,1672213,1666045,1669051,1681331
"25","16","    Health care","DHLCRX0",940372,944718,950403,954888,955314,964714,968297,980432,985708,991032,1001313,1010819,1023439,1028306,1033019,1033692,1035916,1040026,1048463,1058390,1064562,1078623,1085962,1097414,1113241,1125858,1142462,1160708,1183589,1200448,1209719,1216036,1220887,1223646,1230887,1237906,1246884,1260332,1276382,1286159,1302458,1306263,1312837,1314004,1327991,1332289,1329842,1341707,1356339,1360860,1364949,1373991,1385725,1395698,1401943,1402525,1409109,1421574,1429062,1432828,1424063,1438150,1446910,1462284,1464348,1474526,1494190
"26","17","    Transportation services","DTRSRX0",208708,211043,215529,220166,225642,229181,233028,237699,244466,247441,251212,252250,254539,257684,260611,263964,267645,270883,276239,279297,282932,285929,287667,288480,288562,287143,281765,276990,277758,275372,275081,275267,276231,274925,277455,278930,281672,284108,283925,285348,285595,286384,286883,284982,283681,285234,284941,287968,289227,288997,287760,285608,281617,276552,270120,259709,251846,248460,246186,245894,247624,249904,251557,251643,251353,251241,250984
"27","18","    Recreation services","DRCARX0",237806,244014,247723,251620,252298,254960,258866,259392,261910,263769,264834,267560,270851,271092,274468,276912,279369,283859,290042,293396,293239,295830,296326,295685,298066,295025,293438,293227,295210,295678,296466,299791,299285,303607,308466,313221,318418,321890,323873,324211,326841,327915,327765,330413,334827,337318,339741,347881,349837,352671,355414,354842,354676,352852,346371,340503,338027,335240,332276,333812,335923,339391,345759,344705,342962,350607,353022
"28","19","    Food services and accommodations","DFSARX0",415417,416110,416683,415878,415954,418038,418642,422431,426606,426476,431009,428027,432801,438148,439809,445960,444461,447152,448957,459507,466997,471108,472773,471252,474768,470157,467621,466955,473799,477484,478392,479185,482646,491840,500203,505236,510748,511559,516377,521629,525291,532551,536181,541601,550713,547058,550342,558427,556866,557501,558396,563523,556727,559212,553575,546053,538636,533395,532323,532706,543512,549201,553240,558155,567593,569101,572819
"29","20","    Financial services and insurance","DIFSRX0",482488,488090,492800,496094,504341,509095,507012,512443,517624,518746,531807,534642,540822,553535,565051,577165,583393,598491,610993,631821,662999,664794,667109,669048,659731,659458,657150,668997,662938,658502,659968,654327,650869,656083,662865,666822,671030,671534,673751,685586,687104,695313,704020,707279,712675,714325,714481,724210,730181,739143,743574,746383,746252,738256,732234,712487,693105,679744,670561,660965,667046,670773,665922,667581,674683,676939,680969
"30","21","    Other services","DOTSRX0",522501,525146,522807,526648,535691,537272,551811,543038,558174,566819,578800,592452,606999,615339,631070,633280,643593,652496,660351,670526,684981,699269,713907,718500,721314,737744,737620,733830,737267,739561,735095,736248,750801,752471,757567,754643,763542,765906,771154,773145,777325,774396,775814,780843,787761,796865,799347,805712,815119,820226,812974,811480,813946,805933,799878,800224,796063,787644,786688,787619,786565,789607,792389,798327,798804,801765,802331
"31","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRX0",140233,141547,142181,145020,149902,151722,152884,149002,140820,139813,139686,141718,146329,150977,156429,161755,162898,164097,165366,167385,172733,173501,179865,185030,186013,189747,192829,196775,200287,204923,212713,217986,217114,219789,219290,218675,219873,217899,216360,216441,203966,208248,212178,222438,225242,231470,241406,242424,240539,237518,246668,256152,264811,269002,273634,284012,279283,273365,275340,280311,282045,284554,279526,273928,274324,274858,275160
"32","23","    Gross output of nonprofit institutions \2\","DNPERX0",632617,634779,636939,641395,644226,651508,655532,662380,657816,659627,665500,672225,684933,691940,701403,708600,713329,717179,722789,730545,736940,744147,752601,762251,770906,779138,789794,801346,815281,827971,838379,842781,841975,843465,844555,846399,851344,856089,863973,870428,866768,871458,875785,883181,893205,899616,904734,912351,922181,922557,925261,934153,944178,951388,958562,965588,965953,967761,971948,977076,974328,988219,992801,1001600,997242,1000605,1014600
"33","24","    Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRX0",495392,496216,497749,499294,497082,502560,505428,516413,520351,523266,529401,534130,542184,544297,547995,549479,553050,555665,560025,565765,566339,572944,574434,578536,586394,590620,598119,605556,615958,623810,625797,624544,624739,623461,625132,627662,631427,638179,647632,654018,662766,663212,663634,660750,667995,668247,663623,670208,681794,685082,678945,678668,680396,683561,686279,683535,688305,695418,697785,698433,694311,705495,714117,727295,722777,725548,738706
"34",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","25","  PCE excluding food and energy \4\","DPCCRX0",5056558,5099408,5148421,5191350,5234898,5302587,5347748,5392393,5453994,5478061,5582700,5647864,5717407,5816552,5898896,6007614,6063717,6160257,6237469,6336579,6461220,6509942,6579458,6631278,6667501,6706168,6737676,6858627,6887251,6917457,6966168,6983632,7021198,7103996,7206384,7249024,7315216,7354500,7429065,7508366,7565894,7650769,7709658,7734837,7842966,7876951,7920776,8005438,8055322,8094114,8129341,8162683,8143921,8148885,8090364,7965698,7929157,7882873,7927673,7929121,7981733,8051393,8096221,8177983,8238438,8258676,8304270
"36","26","  Energy goods and services \5\","DNRGRX0",418025,429283,434843,430219,443270,441375,431293,436939,433560,439592,439301,451422,445234,459311,462943,448448,456123,466667,470583,460300,448550,464846,468394,479849,474873,457634,462822,460364,461285,473342,476242,483538,481539,484305,484015,491461,492166,492932,486592,492253,495211,496123,496419,487218,469984,481810,490402,482207,482536,483046,485484,475916,475272,467285,449030,464811,469094,464459,465233,467388,470991,472055,481339,474190,463419,458574,466308
"37","27","  Market-based PCE \6\","DPCMRX0",5245749,5290930,5347260,5384818,5427446,5492753,5517196,5581840,5636144,5658831,5758696,5825287,5875455,5979097,6050554,6141770,6210320,6305537,6379975,6469935,6552758,6617874,6676050,6740415,6772369,6783021,6814563,6926754,6950891,6994217,7048240,7071809,7101963,7181595,7279636,7323527,7387708,7415765,7485013,7571430,7643721,7726917,7785644,7787837,7864371,7910922,7952681,8026779,8079488,8109584,8147157,8168254,8138524,8145394,8064769,7945441,7931149,7911673,7970056,7982119,8036353,8097549,8155548,8240775,8284954,8297391,8353163
"38","28","  Market-based PCE excluding food and energy \6\","DPCXRX0",4303987,4342744,4393669,4431077,4461288,4523827,4555734,4613139,4664872,4685525,4780019,4836642,4890324,4977745,5041233,5135043,5190273,5270612,5335760,5421943,5517398,5560794,5614483,5663010,5700246,5720399,5749242,5859954,5885376,5918407,5966809,5979350,6006294,6088039,6178027,6219302,6275708,6305637,6375367,6448877,6509871,6591831,6642781,6648065,6741905,6768451,6799944,6874302,6925983,6959509,6991616,7018688,6993548,7008912,6959646,6835341,6819928,6796656,6848203,6851832,6897601,6962789,7005435,7091301,7147655,7164333,7212146
"39",NA,"Personal consumption expenditures by major function (From NIPA table 2.5.6):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","29","      Personal consumption expenditures","DPCERX0",6001559,6050772,6104855,6147779,6204030,6274207,6311769,6363171,6427255,6453309,6563022,6638118,6704142,6819450,6909933,7015865,7085102,7196588,7283078,7385821,7497840,7568331,7642397,7710029,7740773,7770004,7804168,7926381,7953699,7994117,8048318,8076883,8117708,8198142,8308497,8353651,8427642,8465058,8539101,8631300,8700093,8786193,8852897,8874916,8965782,9019830,9073890,9158313,9209211,9244546,9285236,9312592,9289074,9285780,9195964,9076039,9040884,8998541,9050293,9060177,9121193,9186916,9247087,9328389,9376739,9392744,9446471
"41","30","Household consumption expenditures \7\","DPHCRX0",5863032,5910967,5964382,6004631,6056327,6124712,6161146,6216015,6287528,6314491,6424202,6497349,6558954,6669721,6754820,6855460,6923530,7033813,7119052,7219815,7326482,7396268,7463818,7526151,7555897,7581201,7612130,7730346,7753969,7789519,7835563,7858688,7900532,7978326,8089276,8135075,8207851,8247219,8322799,8414927,8496071,8577949,8640763,8652487,8740559,8788397,8832603,8916002,8968759,9007053,9038701,9056745,9024898,9017583,8923426,8793760,8763239,8726580,8776448,8781784,8841064,8904342,8968825,9054933,9102791,9118270,9171566
"42","31","  Food and beverages purchased for off-premises consumption","DFXARX0",549823,547134,547199,549583,552077,554672,553628,555394,559307,556384,559688,559694,559175,563705,567518,571460,578192,583955,588985,598058,592086,600847,601630,607502,605330,609321,607197,608230,605706,606687,609069,614278,618462,612728,619455,615470,621934,619133,623496,630844,639152,639139,646528,653152,654842,662057,662969,672125,673222,669531,672426,677591,672920,674538,666507,650155,646989,654751,660817,666806,671628,667219,672810,680772,682090,684132,683428
"43","32","  Clothing, footwear, and related services","DCAFRX0",213378,215572,219267,219475,220779,225984,229693,231256,231693,230024,237455,240427,245333,249281,247644,253163,261893,264121,265874,266609,270771,276302,279073,281143,276652,278151,277684,282089,285023,285018,283196,291313,291008,297780,303882,304057,312255,307916,311252,318218,322355,329205,329776,339453,342333,341474,345393,350310,354385,354970,357822,357435,354098,362633,353685,341621,338591,332391,335364,338707,347442,352738,353023,363083,365658,367873,360686
"44","33","  Housing, utilities, and fuels","DHUFRX0",1243200,1259343,1271289,1273418,1286242,1286953,1284636,1295010,1298174,1310333,1318495,1335996,1337096,1354317,1364820,1364475,1380822,1395445,1409091,1407704,1412066,1431294,1443250,1466103,1474609,1472924,1478952,1477748,1478088,1485291,1487925,1497405,1498574,1502798,1504645,1513759,1519409,1528685,1538131,1558584,1578207,1598667,1615501,1617886,1613011,1635918,1648178,1641922,1643051,1643428,1646888,1642806,1652493,1650279,1643918,1662449,1668196,1668901,1673290,1678865,1680247,1681829,1691933,1688860,1681392,1681804,1694413
"45","34","  Furnishings, household equipment, and routine household maintenance","DFHHRX0",246440,248567,251337,253567,252501,259560,261016,265589,267504,269031,274369,278229,283546,287067,291470,298471,304681,308566,314990,322793,329085,332274,333969,334867,337762,339361,340262,345894,353220,355029,355247,361156,362345,370849,381155,386959,392894,396581,403383,407922,410324,414950,421220,428357,435659,432017,433539,434943,439587,438392,441823,443797,436564,438776,427739,409990,398723,392540,393995,398949,408044,415549,418409,425572,430269,434837,438978
"46","35","  Health","DHLTRX0",1079125,1085769,1092877,1099682,1102059,1115148,1121664,1137343,1145019,1153439,1169285,1183876,1200482,1210897,1220838,1226801,1235244,1241970,1250594,1275877,1273750,1302194,1312802,1331426,1344021,1359071,1384303,1409072,1434768,1450832,1463176,1473007,1483927,1490499,1506424,1519383,1526120,1545984,1565860,1578506,1597131,1601839,1609393,1612199,1630078,1640187,1640030,1659018,1677542,1685860,1690267,1697455,1710572,1723348,1731660,1732821,1740124,1753282,1761970,1766027,1757483,1775191,1788098,1805572,1812065,1821566,1844147
"47","36","  Transportation","DTRNRX0",675767,678038,688835,698700,709802,721161,724063,731993,755853,748776,775135,786552,780649,813453,823711,864480,848516,884194,889755,882112,914592,889503,899617,900515,912153,901488,905022,965157,929856,931305,960666,932062,935370,954819,974018,968677,971813,973285,976744,983822,979317,993485,995308,943690,953375,953827,962903,965229,966202,970322,966648,958921,934371,908554,873838,836125,841087,830322,856568,829912,834665,842950,850920,870526,877888,851015,850590
"48","37","  Communication","DCMCRX0",87156,88798,91153,93336,95128,97587,99020,101239,103932,105989,109777,113066,114976,116594,120333,122632,126225,132281,137812,141731,147014,154226,158877,161498,162851,166199,168063,168327,169505,172151,171879,172440,174439,176934,178936,179654,182419,186382,189227,190171,191337,193223,194609,195928,200594,205366,209097,216173,220641,227245,229940,234273,237575,236771,234501,231408,232364,230356,228199,229984,234591,237862,238976,244273,248279,251221,252165
"49","38","  Recreation","DRRLRX0",375543,384838,394539,401460,404858,415701,424211,432035,438215,445857,455131,463591,474225,484854,501168,514072,526524,540381,557069,574527,588776,594308,602681,609136,613908,618104,621112,633603,645765,651964,657426,667746,671719,688341,712186,728608,743924,753375,767656,778320,797874,812537,821531,838758,864286,870389,882533,909832,922374,935304,955584,966425,960880,972453,957652,922416,919812,911376,921131,940739,961293,979348,1003501,1018586,1033958,1053991,1070477
"50","39","  Education","DEDURX0",163723,164185,164900,165406,166381,167947,169488,170693,171619,172034,173222,174975,176449,177331,178185,179855,181097,181812,182101,184518,185567,187832,189127,190119,191200,191788,190902,189961,188029,186502,186797,185437,185356,186135,185769,184731,183866,182135,180878,181042,181835,181538,181831,182334,182752,183025,182416,183938,184345,184994,185698,186579,186105,186656,187353,186382,186589,186121,186366,186545,187973,188986,189844,190639,191855,192464,193333
"51","40","  Food services and accommodations","DFSARX0",415417,416110,416683,415878,415954,418038,418642,422431,426606,426476,431009,428027,432801,438148,439809,445960,444461,447152,448957,459507,466997,471108,472773,471252,474768,470157,467621,466955,473799,477484,478392,479185,482646,491840,500203,505236,510748,511559,516377,521629,525291,532551,536181,541601,550713,547058,550342,558427,556866,557501,558396,563523,556727,559212,553575,546053,538636,533395,532323,532706,543512,549201,553240,558155,567593,569101,572819
"52","41","  Financial services and insurance","DIFSRX0",482488,488090,492800,496094,504341,509095,507012,512443,517624,518746,531807,534642,540822,553535,565051,577165,583393,598491,610993,631821,662999,664794,667109,669048,659731,659458,657150,668997,662938,658502,659968,654327,650869,656083,662865,666822,671030,671534,673751,685586,687104,695313,704020,707279,712675,714325,714481,724210,730181,739143,743574,746383,746252,738256,732234,712487,693105,679744,670561,660965,667046,670773,665922,667581,674683,676939,680969
"53","42","  Other goods and services","DOISRX0",427599,430520,432675,435586,440568,445808,447719,452699,453633,456502,462029,466563,472389,477529,481762,485540,493889,495623,499633,507457,510602,516458,521574,523101,524288,524702,526282,529827,533771,535630,536391,541998,547400,553019,559731,566005,569935,569374,575240,580340,585238,588843,584608,589503,596389,597444,597631,602730,602852,605098,606971,605941,601619,603146,599880,586760,579923,571773,570800,569527,575131,575783,577136,581650,581899,587596,586984
"54","43","  Net foreign travel and expenditures abroad by U.S. residents","DNFTRX0",-21345,-23344,-30888,-31869,-27572,-32097,-22517,-37116,-27239,-25481,-22654,-19226,-13437,-11871,-5281,-9876,-8803,-9458,-10442,-9531,-7166,-4624,437,-455,-2402,9139,4784,1421,6995,5371,-1274,-2516,7007,3010,5273,-671,3974,3401,1982,672,862,-3649,-288,3246,5105,6343,4278,13,1376,204,-10119,-15435,-16137,-23623,-25865,-17895,-15173,-16105,-11207,-11023,-16798,-18424,-16959,-18967,-20502,-23073,-24048
"55","44","Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRX0",140233,141547,142181,145020,149902,151722,152884,149002,140820,139813,139686,141718,146329,150977,156429,161755,162898,164097,165366,167385,172733,173501,179865,185030,186013,189747,192829,196775,200287,204923,212713,217986,217114,219789,219290,218675,219873,217899,216360,216441,203966,208248,212178,222438,225242,231470,241406,242424,240539,237518,246668,256152,264811,269002,273634,284012,279283,273365,275340,280311,282045,284554,279526,273928,274324,274858,275160
