"","Table 7#12# Imputations in the National Income and Product Accou","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","3","    Excluding imputations (1-2)","A2026C1",94.6,82.7,68.9,52.2,50.5,60.1,67.1,77.4,85.1,79.4,85.4,94.5,118.9,151.2,183.4,200.6,201.7,200,223,247.2,245.1,271.2,313.4,329.9,348.3,346.8,378.9,399,419.7,423.4,459.8,476.3,491.9,529,558.1,600,652,716.3,755.9,826.7,891.8
"12","4","  Personal consumption expenditures","DPCERC1",77.4,70.1,60.7,48.7,45.9,51.5,55.9,62.2,66.8,64.3,67.2,71.3,81.1,89,99.9,108.6,120,144.3,162,175,178.5,192.2,208.5,219.5,233,239.9,258.7,271.6,286.7,296,317.5,331.6,342,363.1,382.5,411.2,443.6,480.6,507.4,557.4,604.5
"13","5","    Imputations (153-156+165+170+175+181+187+199+203+204+205+206-209-210)","A2042C1",6,6.2,5.8,5.5,5,4.6,4.7,4.6,4.7,4.6,4.1,3.9,4.1,6.7,8.9,10.1,10.5,4.6,1.5,0,1.5,-2.4,1.8,4,5.8,5.9,4.5,8.1,11.8,14.7,12.6,17.2,20.8,22.6,23.2,25.3,28.2,33.9,38.1,40.5,46.6
"14","6","    Excluding imputations (4-5)","A2086C1",71.4,63.9,54.8,43.3,41,46.8,51.2,57.6,62.1,59.7,63.1,67.4,77,82.3,91,98.5,109.4,139.7,160.5,175,177,194.6,206.7,215.5,227.3,234,254.2,263.5,275,281.3,304.9,314.4,321.1,340.5,359.3,385.9,415.4,446.7,469.3,517,557.9
"15","7","  Gross private domestic investment","A006RC1",17.2,11.4,6.5,1.8,2.3,4.3,7.4,9.4,13,7.9,10.2,14.6,19.4,11.8,7.4,9.2,12.4,33.1,37.1,50.3,39.1,56.5,62.8,57.3,60.4,58.1,73.8,77.7,76.5,70.9,85.7,86.5,86.6,97,103.3,112.2,129.6,144.2,142.7,156.9,173.6
"16","8","    Imputations (209+210+211)","A2087C1",2.7,1.9,1.4,0.7,0.5,0.7,1,1.3,1.5,1.6,2.1,2.4,3,1.7,1.2,1.2,1.7,7.2,10.9,14.4,13.7,19.3,17.9,18,18.7,20.6,24.1,23,21.8,21.3,26.5,25.2,24.5,25.9,28.1,29.8,31,30,30.6,34.4,36.8
"17","9","    Excluding imputations (7-8)","A2088C1",14.5,9.5,5.1,1.1,1.8,3.6,6.4,8.1,11.5,6.4,8.2,12.1,16.4,10,6.2,8,10.7,25.9,26.2,36,25.4,37.2,44.8,39.3,41.7,37.5,49.6,54.6,54.7,49.6,59.2,61.3,62.1,71,75.2,82.4,98.6,114.2,112.1,122.5,136.8
"18","10","  Net exports of goods and services","A019RC1",0.4,0.3,0,0,0.1,0.3,-0.2,-0.1,0.1,1,0.8,1.5,1,-0.3,-2.2,-2,-0.8,7.2,10.8,5.5,5.2,0.7,2.5,1.2,-0.7,0.4,0.5,2.4,4.1,0.5,0.4,4.2,4.9,4.1,4.9,6.9,5.6,3.9,3.6,1.4,1.4
"19","11","    Imputations (14-17)","W510RC1",0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5
"20","12","    Excluding imputations (10-11)","W511RC1",0.3,0.3,0,0,0,0.3,-0.2,-0.2,0,0.9,0.8,1.4,0.9,-0.4,-2.4,-2.2,-0.9,7,10.7,5.4,5.1,0.6,2.3,1,-0.9,0.2,0.3,2.1,3.8,0.3,0.1,3.9,4.6,3.8,4.6,6.6,5.2,3.4,3.1,0.9,0.9
"21","13","    Exports of goods and services","B020RC1",5.9,4.4,2.9,2,2,2.6,2.8,3,4,3.8,4,4.9,5.5,4.4,4,4.9,6.8,14.2,18.7,15.5,14.5,12.4,17.1,16.5,15.3,15.8,17.7,21.3,24,20.6,22.7,27,27.6,29.1,31.1,35,37.1,40.9,43.5,47.9,51.9
"22","14","      Imputations (173+179+185)","W512RC1",0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5
"23","15","      Excluding imputations (13-14)","W513RC1",5.9,4.4,2.9,1.9,2,2.5,2.7,3,4,3.8,3.9,4.8,5.4,4.3,3.9,4.7,6.6,14,18.6,15.4,14.4,12.2,16.9,16.2,15.1,15.6,17.5,21.1,23.8,20.3,22.4,26.8,27.3,28.7,30.8,34.7,36.7,40.5,43,47.5,51.4
"24","16","    Imports of goods and services","B021RC1",5.6,4.1,2.9,1.9,1.9,2.2,3,3.2,4,2.8,3.1,3.4,4.4,4.6,6.3,6.9,7.5,7,7.9,10.1,9.2,11.6,14.6,15.3,16,15.4,17.2,18.9,19.9,20,22.3,22.8,22.7,25,26.1,28.1,31.5,37.1,39.9,46.6,50.5
"25","17","      Imputations (186)","W555RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","18","      Excluding imputations (16-17)","W515RC1",5.6,4.1,2.9,1.9,1.9,2.2,3,3.2,4,2.8,3.1,3.4,4.4,4.6,6.3,6.9,7.5,7,7.9,10.1,9.2,11.6,14.6,15.3,16,15.4,17.2,18.9,19.9,20,22.3,22.8,22.7,25,26.1,28.1,31.5,37.1,39.9,46.6,50.5
"27","19","  Government consumption expenditures and gross investment","A822RC1",9.6,10.3,10.2,9,8.9,10.7,11.2,13.4,13.1,14.2,15.2,15.6,27.9,65.5,98.1,108.7,96.6,43.2,40,44,50,50.7,73.5,89.8,97,92.8,93.3,98.5,107.5,114.5,118.9,121,129.8,140.9,147.9,155.5,164.9,186.4,208.1,226.8,240.4
"28","20","    Imputations (171+176+182+190+207+212)","A1684C1",1.3,1.3,1.2,1.1,1.2,1.3,1.4,1.6,1.6,1.8,1.9,2,3.3,6.2,9.5,12.5,14,15.9,14.4,13.1,12.4,11.9,14,15.6,16.8,17.7,18.5,19.8,21.3,22.4,23.2,24.4,25.8,27.2,28.9,30.3,32.1,34.4,36.8,40.4,44.1
"29","21","    Excluding imputations (19-20)","A2089C1",8.3,9,9,7.8,7.7,9.4,9.8,11.8,11.5,12.4,13.3,13.6,24.6,59.3,88.6,96.3,82.5,27.3,25.7,30.8,37.7,38.9,59.6,74.2,80.2,75,74.8,78.8,86.2,92.2,95.6,96.6,104,113.7,119,125.2,132.8,152,171.3,186.4,196.3
"30","22","    Government consumption expenditures","A955RC1",6.7,7,7.1,6.7,6.9,8.1,8.3,9.2,9.3,9.9,10.6,11.2,17.1,36.5,58.2,70.6,71.3,38.5,34.3,35.5,38.7,39.3,54,65.2,70.4,67.4,68.9,71.4,77.3,81.9,83,85,89.9,98.3,103.4,109.1,117,132.8,150.4,167.5,180.9
"31","23","      Imputations (171+176+182+190+207+212-213)","A2097C1",-1.6,-2,-1.9,-1.1,-0.9,-1.3,-1.4,-2.6,-2.3,-2.5,-2.7,-2.4,-7.5,-22.8,-30.4,-25.7,-11.3,11.2,8.7,4.6,1.1,0.4,-5.6,-9,-9.9,-7.7,-5.9,-7.4,-8.9,-10.2,-12.6,-11.6,-14.1,-15.4,-15.5,-16,-15.7,-19.2,-20.9,-18.9,-15.4
"32","24","      Excluding imputations (22-23)","A2098C1",8.3,9,9,7.8,7.7,9.4,9.8,11.8,11.5,12.4,13.3,13.6,24.6,59.3,88.6,96.3,82.5,27.3,25.7,30.8,37.7,38.9,59.6,74.2,80.2,75,74.8,78.8,86.2,92.2,95.6,96.6,104,113.7,119,125.2,132.8,152,171.3,186.4,196.3
"33","25","    Gross government investment","A782RC1",2.9,3.3,3.1,2.3,2,2.7,2.9,4.2,3.9,4.3,4.6,4.4,10.8,29,39.9,38.1,25.3,4.7,5.7,8.5,11.3,11.5,19.6,24.6,26.7,25.4,24.4,27.1,30.2,32.6,35.9,36,39.9,42.6,44.4,46.4,47.9,53.6,57.7,59.2,59.5
"34","26","      Imputations (213)","A782RC1",2.9,3.3,3.1,2.3,2,2.7,2.9,4.2,3.9,4.3,4.6,4.4,10.8,29,39.9,38.1,25.3,4.7,5.7,8.5,11.3,11.5,19.6,24.6,26.7,25.4,24.4,27.1,30.2,32.6,35.9,36,39.9,42.6,44.4,46.4,47.9,53.6,57.7,59.2,59.5
"35","27","      Excluding imputations (25-26)","A1680C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36",NA,"          Gross domestic income"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","28","Gross domestic income","A261RC1",103.8,92.6,76.7,59.3,56.7,66.4,74.5,83.7,93.1,86.7,92.2,101.9,129,166.9,205,222,224.3,226.6,247.1,275.1,271.1,298.9,343.9,365.2,386,388.3,424.1,452.2,475.2,481.4,522.3,544.6,564.3,605.2,640.1,685.8,743,809.9,858.3,939.3,1018.3
"38","29","    Imputations (153-156+165+170+171+173+175+176+179+181+182+185-186+187+190+199+202+211+212)","A2023C1",10,9.4,8.5,7.3,6.7,6.7,7.1,7.5,7.9,8,8.1,8.5,10.5,14.8,19.8,23.9,26.4,27.8,26.9,27.6,27.8,29,33.9,37.8,41.5,44.4,47.3,51.1,55.2,58.7,62.6,67,71.4,76.1,80.5,85.8,91.7,98.8,105.9,115.8,128.1
"39","30","    Excluding imputations (28-29)","W516RC1",93.8,83.2,68.1,52,50,59.7,67.4,76.2,85.2,78.7,84.1,93.4,118.5,152.1,185.2,198.1,197.9,198.8,220.2,247.5,243.3,270,310,327.3,344.5,343.9,376.8,401.1,420.1,422.8,459.7,477.6,492.9,529.1,559.6,600,651.2,711.1,752.5,823.6,890.2
"40","31","  Compensation of employees, paid","A4002C1",51.4,47.2,40.1,31.4,29.8,34.6,37.7,43.3,48.4,45.5,48.6,52.8,66.2,88.1,112.8,124.5,126.5,122.6,132.4,144.4,144.5,158.4,185.9,201.3,215.5,214.5,231,249.7,263.1,265.2,286.4,302,311.2,333,351.2,376.9,406.3,450.3,482.9,532.1,586
"41","32","     Imputations (188+202)","Y523RC1",0.8,0.8,0.7,0.6,0.5,0.6,0.7,0.8,0.8,0.8,0.9,1.1,2.1,4,5.1,5.8,6.3,6.1,4.5,4.9,5.1,5.6,7.8,8.7,9,9.1,9.1,9.4,10.2,10.9,11.2,11.7,12.5,13.1,13.8,14.7,16.4,18.2,19.4,21.3,23.6
"42","33","     Excluding imputations (31-32)","A2100C1",50.7,46.5,39.4,30.8,29.3,34,37,42.6,47.5,44.6,47.7,51.7,64.2,84.1,107.7,118.6,120.2,116.5,127.9,139.5,139.3,152.8,178.1,192.6,206.5,205.4,221.8,240.3,252.8,254.3,275.2,290.3,298.7,319.9,337.5,362.1,390,432.1,463.6,510.8,562.4
"43","34","  Taxes on production and imports","W056RC1",6.8,7,6.7,6.6,6.9,7.6,8,8.5,8.9,8.9,9.1,9.8,11.1,11.5,12.4,13.7,15.1,16.8,18.1,19.7,20.9,23,24.7,27.1,29.1,28.9,31.5,34.2,36.6,37.7,41.1,44.5,47,50.4,53.4,57.3,60.7,63.2,67.9,76.4,83.9
"44","35","    Imputations (157)","A2094C1",1.1,1.1,1.1,1,0.9,0.9,0.9,0.9,0.9,1,0.9,1,1,1,1.1,1.1,1.2,1.2,1.3,1.4,1.6,1.8,2,2.2,2.5,2.7,3.1,3.6,4,4.5,4.8,5.3,5.9,6.4,7,7.7,8.3,9,10.1,11.4,12.7
"45","36","    Excluding imputations (34-35)","A2095C1",5.7,5.9,5.6,5.5,5.9,6.7,7,7.5,8,8,8.2,8.8,10.1,10.5,11.4,12.6,13.9,15.7,16.8,18.3,19.3,21.2,22.8,24.9,26.6,26.2,28.4,30.7,32.6,33.2,36.2,39.2,41.1,44,46.4,49.6,52.4,54.2,57.9,65,71.2
"46","37","  Less: Subsidies","A107RC1",0,0.1,0.1,0.1,0.2,0.5,0.6,0.3,0.3,0.5,0.8,0.8,0.5,0.5,0.6,1,1.1,1.4,0.4,0.5,0.5,0.8,1,0.8,0.5,0.3,0.2,0.7,1.1,1.4,1.1,1.1,2,2.3,2.2,2.7,3,3.9,3.8,4.2,4.5
"47","38","    Imputations (158)","B1154C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","39","    Excluding imputations (37-38)","A2096C1",0,0.1,0.1,0.1,0.2,0.5,0.6,0.3,0.3,0.5,0.8,0.8,0.5,0.5,0.6,1,1.1,1.4,0.4,0.5,0.5,0.8,1,0.8,0.5,0.3,0.2,0.7,1.1,1.4,1.1,1.1,2,2.3,2.2,2.7,3,3.9,3.8,4.2,4.5
"49","40","  Net operating surplus","W271RC1",35.2,28.3,20.5,13.1,12.1,16.3,20.9,23.4,26.4,22.8,25.1,29.5,40.1,52.9,62.3,63.5,60.7,62.7,67.8,80.1,73.9,85,96.5,96.9,98.4,99.2,112.9,114.9,117.8,117.5,130.5,131.3,137.5,150,159.7,172,190.9,205.1,207.8,221.7,228.1
"50","41","    Imputations (162+163+187-189-191+194-195+199+211+214)","W517RC1",6.1,5.5,4.8,4,3.5,3.3,3.6,3.7,3.8,3.8,3.9,3.8,4.2,4.9,5.8,6.2,6.7,7.2,7.2,7.9,8.2,9.2,10.3,11.7,13.4,14.9,16,17.2,18.3,19.6,21.5,23.5,25.1,27,28.1,30.1,31.7,33.9,35.9,39.1,43.8
"51","42","    Excluding imputations (40-41)","W518RC1",29.2,22.8,15.7,9.1,8.6,13,17.4,19.7,22.5,19,21.3,25.7,35.9,48,56.6,57.3,54.1,55.6,60.6,72.2,65.7,75.9,86.2,85.2,84.9,84.3,96.9,97.7,99.5,97.9,109,107.9,112.4,123,131.6,141.9,159.2,171.2,171.8,182.6,184.3
"52","43","    Net interest and miscellaneous payments, domestic industries","W272RC1",4,4.3,4.3,4.1,3.7,3.8,3.9,3.7,3.6,3.6,3.6,3.3,3.3,3.2,2.9,2.5,2.3,1.9,2.4,2.5,2.8,3.1,3.6,4,4.7,5.5,6.1,6.9,8.1,9.5,9.6,10.5,12.2,13.9,14.8,17,19.2,22,25.1,27.1,34.1
"53","44","      Imputations (214)","A2104C1",2.2,2.1,2,1.8,1.7,1.6,1.7,1.8,1.8,1.8,1.8,1.8,1.9,2.1,2.3,2.5,2.7,3,3.2,3.5,3.8,4.2,4.8,5.4,6.3,7.1,8,9.2,10.2,11.1,12.4,13.9,15.1,16.5,17.5,19.7,21.4,23.5,25.7,28.1,33
"54","45","      Excluding imputations (43-44)","A2105C1",1.8,2.1,2.3,2.3,2,2.2,2.2,1.9,1.8,1.8,1.8,1.5,1.4,1.1,0.6,0,-0.4,-1.1,-0.8,-1,-1,-1.1,-1.2,-1.4,-1.7,-1.6,-1.9,-2.3,-2.1,-1.6,-2.8,-3.3,-2.9,-2.6,-2.7,-2.6,-2.2,-1.5,-0.6,-1,1.1
"55","46","    Business current transfer payments (net)","B029RC1",0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.5,0.5,0.5,0.6,0.8,0.9,0.7,0.7,0.7,0.7,0.8,1.2,1.2,1.2,0.9,1.3,1.7,1.8,1.7,1.7,1.7,1.9,2.1,2.5,3,3.5,3.4,3.6,4.2,4.8
"56","47","      Imputations (162-197+198)","Y505RC1",0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.4,0.2,0.3,0.5,0.7,0.8,0.9,1,0.8,0.7,0.8,1.1,1.3,1.4,1.4,1.4,1.4,1.3,1.4,1.5,1.4,1.4,1.6,6.2,7
"57","48","      Excluding imputations (46-47)","W530RC1",0.5,0.4,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.3,0.4,0.4,0.4,0.4,0.3,0.5,0.5,0.5,0.4,0.2,0,0,0.3,0.2,0.4,0.2,0.5,0.5,0.5,0.3,0.3,0.3,0.5,0.8,1.2,1.5,2.1,2,2,-2,-2.2
"58","49","    Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1",14,10.9,8.3,5,5.3,7,10.1,10.4,12.5,10.6,11.1,12.2,16.7,23.3,28.2,29.3,30.8,35.7,34.6,39.3,34.7,37.5,42.6,43,42,42.3,44.3,45.8,47.8,50.2,50.3,50.6,53.2,55.2,56.4,59.1,63.7,67.9,69.5,73.8,77
"59","50","      Imputations (199+211)","A2101C1",1.2,1,0.9,0.7,0.7,0.7,0.9,0.9,1,0.8,0.8,0.7,0.9,1.2,1.5,1.4,1.5,1.7,1.7,1.9,1.6,1.5,1.6,1.5,1.4,1.3,1.1,1,1,1,0.9,0.8,0.8,0.8,0.8,0.8,0.7,0.7,0.7,0.8,0.8
"60","51","      Excluding imputations (49-50)","A2102C1",12.8,9.8,7.4,4.3,4.6,6.3,9.2,9.5,11.5,9.8,10.4,11.5,15.7,22.2,26.7,27.9,29.3,33.9,32.9,37.4,33.1,36,41,41.5,40.6,41,43.2,44.8,46.8,49.2,49.5,49.8,52.4,54.5,55.6,58.4,62.9,67.2,68.7,73.1,76.3
"61","52","    Rental income of persons with capital consumption adjustment","A048RC1",6.1,5.4,4.4,3.6,2.9,2.5,2.6,2.7,3,3.5,3.7,3.8,4.4,5.5,6,6.3,6.6,6.9,6.9,7.5,7.8,8.8,9.7,10.8,12,13.1,13.4,13.7,14.1,14.8,15.6,16.5,17.2,18,18.7,18.8,19.3,19.9,20.3,20.1,20.4
"62","53","      Imputations (163)","B1156C1",2.8,2.4,2.1,1.7,1.3,1.1,1.1,1.2,1.3,1.5,1.5,1.6,1.7,2.1,2.4,2.7,2.9,2.9,2.8,3,3.4,4,4.6,5.6,6.7,7.6,8,8.2,8.6,9.2,10.1,11,11.7,12.5,12.9,13.1,13.4,13.9,14.4,14.1,14.4
"63","54","      Excluding imputations (52-53)","A2103C1",3.3,2.9,2.3,1.9,1.5,1.4,1.5,1.5,1.7,2,2.2,2.3,2.7,3.4,3.6,3.7,3.7,4,4.1,4.5,4.4,4.8,5.1,5.2,5.3,5.4,5.4,5.5,5.4,5.6,5.5,5.5,5.5,5.6,5.8,5.8,5.9,6,5.9,6,6
"64","55","    Corporate profits with inventory valuation and capital consumption adjustments, domestic industries","A445RC1",10.6,7.4,3,-0.2,-0.2,2.5,3.9,6.1,6.8,4.7,6.3,9.6,15.3,20.4,24.5,24.5,20.1,17.6,23.2,30.1,27.9,34.8,39.5,37.8,38.5,37.5,47.8,46.8,46,41.3,52.8,51.5,52.6,60.3,66.4,73.2,84.6,91.6,89.1,96.1,91.8
"65","56","      Imputations (187-189+194-195+197-198)","Y674RC1",-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.3,-0.4,-0.5,-0.6,-0.6,-0.5,-0.6,-0.8,-1,-1.2,-1.4,-1.5,-1.4,-1.4,-1.7,-2,-2.4,-2.6,-2.9,-3.2,-3.5,-3.6,-3.9,-4.4,-4.5,-5,-5.9,-9.2,-10.5
"66","57","      Excluding imputations (55-56)","Y675RC1",10.7,7.5,3.1,-0.1,-0.1,2.6,4,6.3,6.9,4.9,6.5,9.8,15.6,20.8,25.1,25.1,20.7,18,23.8,31,29,36,40.8,39.3,39.9,38.9,49.5,48.8,48.4,43.9,55.7,54.7,56.1,63.9,70.3,77.6,89.1,96.6,94.9,105.4,102.3
"67","58","      Taxes on corporate income","A054RC1",1.4,0.8,0.5,0.4,0.5,0.7,1,1.4,1.5,1,1.4,2.8,7.6,11.4,14.1,12.9,10.7,9.1,11.3,12.4,10.2,17.9,22.6,19.4,20.3,17.6,22,22,21.4,19,23.7,22.8,22.9,24.1,26.4,28.2,31.1,33.9,32.9,39.6,40
"68","59","      Profits after tax with inventory valuation adjustment and capital consumption adjustments","W273RC1",9.2,6.5,2.5,-0.5,-0.7,1.7,2.9,4.7,5.3,3.7,4.8,6.8,7.7,9,10.5,11.6,9.4,8.4,11.9,17.7,17.7,16.9,16.9,18.4,18.2,19.9,25.8,24.8,24.6,22.4,29.1,28.8,29.7,36.2,40.1,45.1,53.5,57.7,56.2,56.5,51.8
"69","60","        Imputations (187-189+194-195+197-198)","Y519RC1",-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.3,-0.4,-0.5,-0.6,-0.6,-0.5,-0.6,-0.8,-1,-1.2,-1.4,-1.5,-1.4,-1.4,-1.7,-2,-2.4,-2.6,-2.9,-3.2,-3.5,-3.6,-3.9,-4.4,-4.5,-5,-5.9,-9.2,-10.5
"70","61","        Excluding imputations (59-60)","Y520RC1",9.3,6.6,2.6,-0.4,-0.6,1.8,3,4.8,5.4,3.9,5,7,8,9.4,11,12.2,10,8.9,12.5,18.5,18.8,18.1,18.3,19.9,19.6,21.3,27.4,26.8,27,25,31.9,32,33.2,39.8,44,49.5,58.1,62.7,62,65.7,62.3
"71","62","        Net dividends","A449RC1",5.6,5.3,4.1,2.6,2,2.5,2.7,4.4,4.5,2.9,3.6,3.8,4.2,4,4.2,4.3,4.4,5.1,5.6,6.2,6.4,7.9,7.4,7.5,7.8,7.9,8.9,9.5,9.9,9.8,10.7,11.4,11.5,12.4,13.6,15,16.9,17.8,18.3,20.2,20.4
"72","63","          Imputations (196)","Y234RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,2
"73","64","          Excluding imputations (62-63)","Y676RC1",5.6,5.3,4.1,2.6,2,2.5,2.7,4.4,4.5,2.9,3.6,3.8,4.2,4,4.2,4.3,4.4,5.1,5.6,6.2,6.4,7.9,7.4,7.5,7.8,7.9,8.9,9.5,9.9,9.8,10.7,11.4,11.5,12.4,13.6,15,16.9,17.8,18.3,18.5,18.4
"74","65","        Undistributed corporate profits with inventory valuation and capital consumption adjustments","W274RC1",3.7,1.2,-1.6,-3.1,-2.7,-0.8,0.2,0.3,0.7,0.8,1.2,3,3.5,5,6.2,7.3,5,3.3,6.3,11.5,11.3,9,9.5,10.9,10.5,12,16.9,15.4,14.8,12.5,18.4,17.4,18.2,23.8,26.5,30.1,36.6,39.9,37.9,36.3,31.4
"75","66","          Imputations (187-189+194-195-196+197-198)","Y677RC1",-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.3,-0.4,-0.5,-0.6,-0.6,-0.5,-0.6,-0.8,-1,-1.2,-1.4,-1.5,-1.4,-1.4,-1.7,-2,-2.4,-2.6,-2.9,-3.2,-3.5,-3.6,-3.9,-4.4,-4.5,-5,-5.9,-11,-12.5
"76","67","          Excluding imputations (65-66)","Y678RC1",3.8,1.3,-1.5,-3,-2.6,-0.7,0.3,0.4,0.9,1,1.5,3.2,3.8,5.4,6.8,7.9,5.7,3.8,6.9,12.3,12.4,10.2,10.9,12.4,11.9,13.5,18.5,17.4,17.1,15.1,21.2,20.6,21.7,27.4,30.4,34.5,41.2,44.8,43.7,47.3,44
"77","68","    Current surplus of government enterprises","A108RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.3,0.4,0.8,0.8,0.7,0.3,0.2,0.3,0
