"","Table 4#2#4# Price Indexes for Exports and Imports of Goods and ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"11","4","  Industrial supplies and materials","B639RG3",18.54,19.512,19.834,20.461,23.624,34.719,38.993,38.945,40.549,42.43,51.403,57.749,59.885,58.07,56.418,58.181,55.479,52.786,58.827,65.165,66.378,66.989,65.359,63.526,63.864,68.072,77.097,73.547,73.243,69.336,68.382,73.766,71.654,70.33,75.356,84.073,94.187,103.364,111.183,122.583,100,114.498,134.228,131.255,128.637
"12","5","    Durable goods","B686RG3",17.969,18.891,19.203,19.899,22.895,33.496,37.757,37.713,39.265,41.07,49.786,55.945,58.011,56.235,54.658,56.358,54.1,55.004,59.949,67.347,69.109,68.774,68.161,69.268,73.547,76.254,81.67,78.847,78.144,74.926,72.98,74.773,73.526,73.715,76.974,86.834,94.74,106.597,113.491,115.935,100,111.431,123.349,120.817,117.193
"13","6","    Nondurable goods","B687RG3",18.634,19.625,19.95,20.532,23.753,34.996,39.231,39.181,40.796,42.697,51.709,58.086,60.237,58.418,56.747,58.523,55.657,51.526,57.992,63.803,64.737,65.83,63.686,60.43,58.922,63.801,74.522,70.619,70.519,66.26,65.839,73.212,70.615,68.524,74.383,82.526,93.743,101.474,109.785,126.041,100,116.003,139.527,136.343,134.174
"14","7","  Capital goods, except automotive","B640RG3",81.017,85.411,85.781,86.218,88.296,99.27,115.994,125.524,129.722,135.749,143.226,155.56,170.984,175.729,170.722,165.613,155.237,148.553,144.004,145.508,144.243,139.294,138.605,133.977,130.244,127.088,121.538,113.607,107.959,104.955,103.243,102.929,102.985,101.808,100.562,100.181,100.464,101.173,100.284,99.999,100,100.609,101.432,102.272,102.936
"15","8","    Civilian aircraft, engines, and parts","B688RG3",14.014,14.765,15.426,15.693,16.378,18.28,19.368,21.864,23.848,25.907,28.628,32.211,35.133,38.431,40.441,41.547,42.549,43.245,42.374,43.668,45.685,48.149,52.165,53.81,55.29,56.933,58.869,61.216,63.309,64.122,65.54,68.827,72.755,74.755,77.291,80.014,83.557,86.986,90.909,95.289,100,102.646,106.422,109.411,111.502
"16","9","    Computers, peripherals, and parts","B850RG3",10851.585,9726.912,8383.263,7225.773,6503.155,5128.531,4694.03,4074.326,3522.581,2976.485,2574.676,2064.985,1901.028,1789.494,1449.758,1168.363,974.46,833.196,711.452,664.203,606.935,538.824,485.65,423.768,369.289,337.31,300.432,252.164,216.926,190.641,172.871,164.388,159.194,149.346,145.83,143.721,132.615,126.645,117.093,107.284,100,97.41,92.272,92.886,90.582
"17","10","    Other","B689RG3",53.419,57.161,58.002,59.103,61.14,71.097,85.672,93.873,98.082,104.514,111.915,125.7,142.039,146.149,144.773,145.393,137.917,134.142,134.947,139.139,139.092,133.624,132.576,128.665,126.428,123.683,118.541,111.759,107.09,105.571,104.711,104.286,103.862,102.799,100.666,99.679,100.618,101.506,100.484,100.235,100,100.559,101.599,101.999,102.74
"18","11","  Automotive vehicles, engines, and parts","B641RG3",19.638,19.939,21.334,22.214,23.801,27.058,31.467,34.098,37.464,40.88,47.953,55.492,63.377,67.665,70.079,72.131,73.734,75.433,76.915,78.465,80.315,82.607,84.909,86.549,87.296,88.129,89.227,90.206,90.931,91.025,91.586,92.595,93.011,93.484,94.145,94.791,95.967,97.149,98.264,99.305,100,100.477,102.223,104.049,104.615
"19","12","  Consumer goods, except food and automotive","B642RG3",29.77,30.175,31.321,32.951,36.209,38.793,43.159,46.801,48.162,53.153,62.104,65.072,67.676,68.523,69.331,70.431,70.213,72.77,75.09,78.099,80.985,83.709,86.498,88.333,89.371,89.683,90.901,92.102,92.785,92.792,92.472,92.852,92.517,92.046,92.57,93.443,94.482,95.689,97.703,99.784,100,101.086,102.445,103.973,102.849
"20","13","    Durable goods","B690RG3",24.851,25.641,28.557,29.85,34.914,36.051,39.749,42.809,43.432,49.892,60.725,68.142,71.684,73.662,75.511,74.657,73.704,77.018,78.721,81.687,84.841,87.613,89.883,90.773,91.004,91.413,92.169,93.249,94.15,93.888,93.303,93.968,94.061,93.809,94.194,94.52,95.484,96.372,97.373,99.293,100,98.788,100.025,101.867,100.185
"21","14","    Nondurable goods","B691RG3",35.346,35.329,34.769,36.775,38.052,42.356,47.54,51.885,54.1,57.42,64.19,62.158,63.824,63.694,63.706,66.175,66.484,68.45,71.21,74.224,76.842,79.515,82.84,85.619,87.473,87.686,89.359,90.678,91.138,91.42,91.375,91.454,90.664,89.964,90.629,92.068,93.186,94.764,98.055,100.345,100,103.602,105.107,106.228,105.821
"22","15","  Other \2\","B643RG3",25.856,27.322,28.179,29.152,32.961,38.89,42.675,44.951,47.189,50.086,55.129,60.84,65.986,68.77,70.228,72.366,70.425,67.887,68.745,72.27,74.178,75.824,77.41,77.953,79.467,82.312,85.879,85.744,84.311,82.223,81.395,83.258,83.007,82.873,85.144,88.883,92.818,96.636,100.891,106.919,100,105.322,114.186,114.733,114.42
"23","16","Exports of services \1\","B646RG3",22.279,22.756,24.234,26.5,27.816,31.328,33.492,35.43,37.418,40.215,43.524,49.067,53.345,56.366,58.609,59.222,61.354,63.45,64.809,66.253,68.088,71.314,74.358,76.105,77.506,78.446,79.922,81.498,82.324,82.152,82.772,84.544,84.047,83.702,85.185,87.787,93.179,96.219,98.823,102.813,100,102.641,106.477,108.504,109.872
"24","17","  Transport","Y800RG3",22.283,23.037,24.805,24.257,25.431,30.647,32.177,34.382,35.652,38.049,40.627,47.281,51.058,52.426,54.885,50.619,51.825,55.141,55.622,56.497,58.82,62.962,66.289,67.26,68.364,68.892,71.201,72.324,70.897,68.993,71.507,75.911,75.685,76.101,80.831,87.711,92.952,95.228,100.101,109.075,100,108.787,117.911,121.511,120.697
"25","18","  Travel (for all purposes including education)","Y801RG3",15.039,15.911,16.569,17.149,18.078,19.634,21.154,22.699,24.259,26.376,28.913,32.469,35.872,38.764,40.8,43.11,45.19,46.698,48.999,50.928,52.669,55.575,59.104,60.623,61.47,62.052,63.047,64.7,66.287,67.221,69.094,72.296,73.08,73.208,75.277,78.413,90.096,94.33,97.95,102.632,100,103.109,108.364,111.481,112.461
"26","19","  Charges for the use of intellectual property n.e.c.","B684RG3",18.49,19.459,20.576,21.455,22.81,25.076,27.324,29.076,31.262,33.708,36.843,40.707,44.563,47.122,49.194,51.322,53.195,54.744,56.703,58.896,61.51,64.376,66.796,68.712,70.415,71.993,73.759,75.383,76.724,77.352,78.531,80.517,82.175,83.429,85.339,87.941,91.185,94.273,97.077,100.201,100,101.552,104.097,105.898,107.177
"27","20","  Other business services \3\","Y802RG3",35.964,37.87,40.043,41.633,43.502,46.708,50.115,52.876,56.09,59.344,62.722,69.318,74.408,78.737,82.664,85.646,88.75,91.146,94.694,95.064,96.028,99.626,103.227,105.271,106.642,107.422,109.215,110.994,111.905,111.205,107.423,104.043,99.69,96.898,95.155,94.874,96.012,98.067,98.884,101.395,100,101.035,103.377,104.468,106.632
"28","21","  Government goods and services n.e.c.","Y803RG3",16.532,15.953,17.316,22.338,23.509,25.407,27.377,29.45,31.062,33.164,36.177,39.837,43.053,45.467,46.318,48.027,49.258,50.39,51.315,52.243,54.111,56.548,58.66,60.352,61.888,62.225,64.066,65.487,66.556,67.712,68.529,67.734,69.135,71.479,77.899,82.629,88.01,92.394,95.934,98.868,100,100.695,103.362,103.84,105.779
"29","22","  Other","B980RG3",51.432,53.304,54.622,56.431,57.525,66.798,70.59,68.872,72.192,79.493,88.521,100.195,108.788,116.689,114.226,116.871,121.138,119.891,107.941,109.318,106.717,100.659,90.088,94.933,101.256,106.169,103.157,103.152,104.977,101.331,97.298,103.178,101.97,102.166,105.171,109.955,115.6,121.327,124.541,125.43,100,106.717,107.941,112.239,114.314
"30","23","    Imports of goods and services","B021RG3",20.963,22.203,23.566,25.217,29.6,42.348,45.874,47.255,51.418,55.049,64.463,80.294,84.611,81.76,78.695,78.015,75.452,75.451,80.02,83.849,85.681,88.138,87.404,87.474,86.804,87.619,90.02,88.451,85.376,80.779,81.28,84.818,82.716,81.712,84.512,88.471,93.802,97.663,101.024,111.588,100,105.8,113.942,114.501,113.529
"31","24","Imports of goods \1\","B255RG3",21.304,22.752,23.918,25.75,30.351,45.418,49.223,50.539,55.169,58.848,69.393,87.563,92.438,88.704,84.996,84.411,81.089,79.273,84.926,88.972,91.462,93.141,91.38,90.881,89.865,90.52,92.933,90.577,86.836,81.59,81.687,85.988,83.548,82.085,84.553,88.7,94.581,98.665,102.188,113.852,100,106.737,116.178,116.874,115.606
"32","25","  Foods, feeds, and beverages","B647RG3",21.841,24.006,24.076,25.793,31.601,39.584,40.832,42.961,52.546,52.974,58.796,69.56,66.827,61.741,61.273,62.871,60.179,65.588,65.126,68.145,66.551,67.982,70.652,70.509,70.344,76.409,79.913,78.221,78.922,76.418,73.901,73.162,71.116,71.947,75.042,78.861,83.554,86.676,93.376,102.945,100,109.134,125.367,124.075,124.685
"33","26","  Industrial supplies and materials, except petroleum and products","B649RG3",19.059,19.797,20.159,21.615,25.791,37.276,38.601,38.309,41.794,44.882,53.489,64.454,65.268,62.776,59.506,58.828,55.325,55.408,59.197,67.919,71.414,69.799,68.81,68.184,67.646,69.673,75.811,74.734,74.651,70.965,70.581,77.478,76.791,71.856,77.835,86.734,95.664,100.437,106.062,122.531,100,110.724,122.152,117.683,116.719
"34","27","    Durable goods","B820RG3",17.636,18.295,18.653,20.066,24.049,34.848,36.111,35.699,38.982,41.93,50.017,60.402,61.183,58.858,55.719,55.122,52.281,53.757,58.215,69.067,72.991,69.898,67.864,67.947,68.006,70.419,75.864,74.785,76.133,72.55,72.692,76.737,74.161,71.463,73.276,86.14,90.955,99.589,107.158,118.205,100,114.081,126.058,120.271,117.581
"35","28","    Nondurable goods","B696RG3",20.922,21.779,22.133,23.606,27.958,40.227,41.614,41.523,45.245,48.472,57.689,69.294,70.143,67.441,64.013,63.237,58.931,57.328,60.348,66.803,69.87,69.703,69.697,68.424,67.335,68.987,75.827,74.752,73.213,69.41,68.454,78.46,79.771,72.463,82.93,87.432,101.14,101.161,104.423,126.874,100,107.542,118.446,115.297,116.14
"36","29","  Petroleum and products","B648RG3",4.142,4.237,4.62,4.82,6.14,20.166,20.821,22.095,23.895,23.91,33.568,54.692,61.523,56.542,50.804,50.684,47.777,25.779,30.921,25.799,30.649,37.107,30.931,29.502,26.881,25.075,27.907,33.415,31.656,21.005,27.688,46.725,39.373,40.264,48.491,61.524,83.573,102.487,114.93,163.453,100,131.463,175.096,179.106,172.178
"37","30","  Capital goods, except automotive","B650RG3",107.91,120.478,132.52,141.59,160.249,178.703,194.645,194.216,207.17,221.378,230.751,251.363,250.841,238.629,224.421,207.285,186.714,193.208,200.096,208.426,202.446,194.202,187.987,180.624,175.885,173.255,169.003,147.874,130.813,121.033,115.712,113.089,109.767,106.183,104.788,103.426,102.722,101.854,101.412,101.908,100,99.247,99.465,99.669,98.709
"38","31","    Civilian aircraft, engines, and parts","B932RG3",14.228,15.025,15.665,15.963,16.636,18.514,19.678,22.127,24.313,26.145,29.16,32.718,35.759,39.119,41.157,42.223,43.251,43.965,42.941,44.433,46.487,48.822,54.251,55.579,57.22,58.932,60.382,63.031,65.405,66.519,67.709,70.11,72.892,74.412,76.24,78.758,81.751,84.958,89.303,94.636,100,102.657,106.645,112.313,114.309
"39","32","    Computers, peripherals, and parts","B852RG3",NA,NA,NA,7402.878,6680.202,5256.264,4805.103,4173.52,3608.735,3050.763,2643.968,2115.127,1948.102,1799.013,1498.474,1230.925,1094.976,925.664,779.326,736.068,681.574,647.39,571.891,503.099,453.016,412.959,378.408,324.858,280.742,232.736,202.888,191.016,173.243,159.556,148.996,139.29,128.324,118.847,112.295,105.945,100,98.082,93.232,91.635,91.074
"40","33","    Other","B853RG3",64.062,72.612,81.263,88.134,101.618,115.205,126.666,126.487,136.22,147.377,154.635,170.94,169.53,159.029,150.062,140.065,124.932,134.544,146.689,156.505,152.627,145.205,141.761,138.865,138.121,139.337,138.49,120.431,106.009,101.606,100.221,98.767,97.487,95.379,95.752,96.005,97.591,98.66,99.454,101.427,100,99.315,101.082,101.414,100.021
"41","34","  Automotive vehicles, engines, and parts","B651RG3",14.829,16.294,17.764,19.507,22.516,24.599,30.147,31.594,34.405,41.121,45.228,48.442,54.897,56.759,58.201,59.481,60.959,67.724,72.013,76.274,77.777,78.384,81.447,82.909,84.184,86.906,89.471,90.046,90.229,90.347,90.972,91.986,92.072,92.358,92.856,94.296,95.435,95.817,96.769,99.045,100,100.623,103.83,106.094,105.776
"42","35","  Consumer goods, except food and automotive","B652RG3",25.244,26.796,28.85,31.334,35.451,43.938,52.059,52.422,55.127,60.47,63.876,69.497,71.074,70.301,69.604,71.255,70.881,76.523,82.973,88.761,91.153,93.994,94.772,97.613,98.436,99.146,100.621,100.941,99.708,98.338,97.647,96.879,96.144,95.12,94.901,95.387,96.266,96.639,97.927,100.351,100,99.941,101.671,103.162,102.969
"43","36","    Durable goods","B697RG3",32.145,33.417,35.519,39.469,43.277,52.11,57.796,60.091,62.47,69.078,73.549,76.976,78.527,77.098,76.459,77.112,76.326,83.922,90.223,96.188,98.468,101.536,102.82,105.328,106.542,107.23,108.563,108.526,106.149,103.318,102.063,101.023,99.905,98.203,97.409,97.128,97.349,97.972,98.988,100.973,100,98.719,99.742,100.277,98.99
"44","37","    Nondurable goods","B698RG3",17.806,19.513,21.416,22.431,26.739,34.815,45.71,44.123,47.162,51.075,53.28,61.643,63.288,63.302,62.531,65.324,65.417,68.891,75.523,81.128,83.637,86.244,86.536,89.668,90.122,90.847,92.446,93.102,92.958,92.992,92.863,92.376,92.033,91.701,92.071,93.369,94.997,95.076,96.688,99.64,100,101.33,103.885,106.51,107.682
"45","38","  Other","B653RG3",20.776,22.311,23.18,25.089,29.204,36.317,41.221,41.542,45.434,49.891,54.885,60.93,62.953,61.984,61.239,61.145,59.538,62.257,66.717,71.818,73.655,74.845,76.044,77.217,78.186,80.111,83.223,83.312,82.817,82.409,82.209,83.504,83.165,82.32,84.02,86.615,89.676,91.693,93.424,102.39,100,102.787,106.748,107.628,107.791
"46","39","Imports of services \1\","B656RG3",19.115,19.797,21.589,22.664,26.217,31.176,33.706,35.227,37.731,41.158,46.481,53.944,56.29,56.335,55.409,54.457,54.39,60.283,61.139,64.121,63.782,68.561,71.069,73.064,73.684,75.13,77.475,79.408,79.406,77.853,80.428,80.012,79.636,80.973,85.548,88.576,91.089,93.826,96.417,101.809,100,101.816,104.105,104.049,104.401
"47","40","  Transport","Y804RG3",16.847,17.838,18.55,19.533,22.464,27.748,28.396,29.987,31.5,33.369,38.073,46.159,49.094,51.701,51.935,52.163,52.922,57.779,55.131,56.576,57.476,60.968,63.594,63.811,63.934,64.094,66.97,68.507,69.086,68.634,74.564,79.93,81.596,80.833,88.358,94.228,98.132,98.021,98.202,108.182,100,109.287,115.418,117.246,118.163
"48","41","  Travel (for all purposes including education)","Y805RG3",21.286,21.769,23.944,25.524,29.653,35.745,39.761,39.938,42.126,46.388,52.812,58.403,60.962,55.555,52.049,49.633,48.209,54.705,52.2,55.662,56.231,58.832,61.447,65.142,65.592,68.122,69.348,71.426,71.194,68.355,69.597,68.095,67.627,70.136,76.067,80.55,85.303,89.666,97.066,103.418,100,102.155,104.964,105.112,106.819
"49","42","  Charges for the use of intellectual property n.e.c.","B908RG3",18.498,19.455,20.589,21.463,22.811,25.022,27.296,29.046,31.259,33.69,36.855,40.854,44.524,47.179,49.255,51.35,53.172,54.737,56.736,58.895,61.518,64.411,66.812,68.702,70.44,71.99,73.789,75.406,76.743,77.366,78.554,80.558,82.19,83.425,85.36,87.975,91.222,94.29,97.063,100.243,100,101.542,104.108,105.897,107.169
"50","43","  Other business services \3\","Y806RG3",41.002,43.278,45.709,47.464,48.759,51.45,54.719,57.431,60.772,63.685,65.533,71.685,75.155,78.328,82.094,83.059,85.031,87.58,96.408,95.94,88.517,95.475,98.824,99.557,102.723,103.507,104.798,107.887,109.433,108.108,107.521,102.05,98.49,99.77,98.286,95.604,93.235,96.257,95.51,98.357,100,99.63,99.697,99.078,97.894
"51","44","  Government goods and services n.e.c.","Y807RG3",8.953,9.169,10.403,10.777,12.951,15.135,17.215,18.423,20.818,24.01,27.914,33.095,33.327,33.107,31.849,30.758,30.771,35.864,41.013,45.635,45.367,52.906,53.507,55.625,54.548,56.224,61.241,61.419,57.291,55.523,58.111,54.347,55.102,57.907,69.113,77.169,82.869,86.595,96.833,103.868,100,98.23,103.468,99.389,103.621
"52","45","  Other","B910RG3",17.232,18.13,19.17,19.993,21.251,23.346,25.467,27.105,29.123,31.405,34.323,37.925,41.54,43.951,45.854,47.824,49.536,51.013,52.831,54.87,57.321,59.988,62.25,64.032,65.609,67.106,68.927,70.666,71.566,71.708,74.313,77.882,77.722,77.453,81.341,86.017,94.557,97.124,99.178,103.61,100,101.479,105.812,107.47,108.392
"53",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","46","  Exports of durable goods","B332RG3",45.207,47.318,48.418,49.401,52.77,62.202,71.635,76.459,79.983,84.895,94.348,104.361,113.77,116.677,115.182,114.373,109.75,107.562,107.429,110.8,111.556,110.158,110.512,109.007,108.307,107.646,106.239,101.88,98.81,96.547,95.299,95.68,95.591,95.002,95.044,96.537,98.248,100.695,101.573,102.346,100,102.114,104.925,105.574,105.381
"55","47","  Exports of nondurable goods","B339RG3",22.664,23.636,24.398,25.284,32.659,44.685,47.238,45.993,47.132,49.597,57.333,61.982,64.744,61.255,61.472,63.426,59.402,55.935,59.564,66.479,68.06,67.95,67.435,66.113,65.973,69.257,76.599,77.213,75.486,71.576,70.5,74.154,72.83,72.097,76.801,83.089,89.086,94.199,102.562,116.172,100,110.165,127.823,128.03,126.83
"56","48","  Exports of agricultural goods \4\","B181RG3",24.333,25.252,26.86,28.397,42.293,57.498,56.244,52.798,53.649,55.676,63.242,66.603,69.909,61.845,64.515,67.301,59.482,54.135,56.005,66.061,68.121,65.397,65.198,63.923,64.955,67.866,73.974,81.487,75.825,68.972,63.974,63.356,63.904,65.131,71.778,78.34,76.911,79.666,94.109,113.06,100,106.41,126.936,130.325,131.391
"57","49","  Exports of nonagricultural goods","B182RG3",28.585,30.326,31.204,32.172,34.991,43.78,50.677,53.704,56.795,60.027,68.445,76.97,84.177,88.239,90.225,94.989,93.711,91.219,93.165,97.586,98.614,98.112,98.094,96.602,95.903,96.675,98.333,94.578,92.357,89.934,89.15,90.874,90.246,89.392,90.621,93.521,97.188,100.603,102.917,106.622,100,104.891,111.687,111.922,111.24
"58","50","  Imports of durable goods","B333RG3",35.715,38.138,40.459,44.018,50.675,62.258,69.092,70.211,75.561,84.119,92.778,102.586,106.64,104.677,102.25,100.381,96.807,103.614,109.783,117.59,118.516,117.053,116.783,116.152,115.728,116.715,117.783,111.107,105.229,100.747,98.827,98.629,96.87,94.963,94.819,96.618,97.532,98.775,100.153,103.008,100,101.07,103.409,103.561,102.544
"59","51","  Imports of nondurable goods","B340RG3",10.77,11.503,11.952,12.684,15.437,28.751,30.51,31.6,34.907,35.81,44.995,63.563,67.988,63.868,59.943,60.411,57.723,48.691,53.204,53.544,57.065,61.226,58.411,58.086,56.655,56.931,60.559,63.053,61.92,55.954,58.545,68.636,65.362,64.476,70.094,77.118,89.525,97.56,104.195,128.755,100,114.551,134.872,136.471,134.791
"60","52","  Imports of nonpetroleum goods","B187RG3",30.61,32.799,34.378,37.114,43.374,54.688,60.307,61.148,67,73.152,81.096,91.615,94.041,91.697,89.516,88.812,85.63,90.758,96.046,103.067,104.336,103.927,104.091,103.999,103.678,105.145,107.247,102.636,98.508,94.898,93.315,94.067,92.805,90.811,91.94,94.052,96.443,97.558,99.41,104.337,100,102.117,105.89,106.089,105.589
"61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","n.e.c. Not elsewhere classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","1. Exports and imports of certain goods, primarily military equipment purchased and sold by the federal government, are included ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","in services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Beginning with 1986, repairs and alterations of equipment are reclassified from goods to services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","2. Includes net exports of goods under merchanting, beginning in 1999, reclassified from services to goods.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","3. Includes maintenance and repair services, insurance services, financial services, telecommunication, computer and information ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","services and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","other other business services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","4. Includes parts of foods, feeds, and beverages, of nondurable industrial supplies and materials, and of nondurable ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","nonautomotive consumer goods.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
