"","Table 6#22D# Corporate Capital Consumption Allowances by Industr","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"30","23","    Miscellaneous manufacturing","N7743C0",8703,9621,10033,10460,10911,11780,12135,10966,11554,12878,14852,14995,15764,15291,NA,NA
"31","24","  Nondurable goods","N7744C0",119294,122506,123585,127115,130762,137666,138400,127739,130758,141534,164296,175766,181551,199395,192682,196836
"32","25","    Food and beverage and tobacco products","N7745C0",20024,19803,20119,20633,22492,23057,22773,17746,18180,19650,23729,24931,25799,29923,NA,NA
"33","26","    Textile mills and textile product mills","N7746C0",3079,3011,2997,2702,2560,3636,2213,1754,1622,1649,1802,1689,1689,2008,NA,NA
"34","27","    Apparel and leather and allied products","N7747C0",2247,2214,2291,2384,2341,2247,2198,1995,2001,2283,2555,2282,2327,2449,NA,NA
"35","28","    Paper products","N7748C0",12990,12563,12108,12524,13179,12084,11346,9618,9698,9965,12001,12028,11455,11778,NA,NA
"36","29","    Printing and related support activities","N7749C0",5388,5938,5845,6066,6474,6456,6429,5451,5616,5659,6692,5777,5555,5937,NA,NA
"37","30","    Petroleum and coal products","N7750C0",25294,25584,24681,24454,22958,27226,28380,27370,26031,29555,33998,41670,43224,48645,NA,NA
"38","31","    Chemical products","N7751C0",43250,45660,47209,49699,51911,54084,56344,56145,59353,64316,73582,77984,81604,87245,NA,NA
"39","32","    Plastics and rubber products","N7752C0",7022,7733,8335,8653,8848,8876,8716,7659,8259,8456,9935,9406,9898,11409,NA,NA
"40","33","Wholesale trade","N7753C0",54797,58647,62714,63224,71035,70196,73335,66887,74017,80968,99315,94584,102265,117241,104262,108264
"41","34","  Durable goods","N7754C0",39857,42238,44410,42974,48333,48231,49948,44734,49949,53996,65135,59591,61612,70956,NA,NA
"42","35","  Nondurable goods","N7755C0",14940,16409,18304,20250,22702,21965,23387,22153,24068,26972,34180,34992,40653,46285,NA,NA
"43","36","Retail trade","N7756C0",37751,39512,43156,44902,53407,57158,58215,45228,48230,52136,68043,61384,65937,72940,62674,62927
"44","37","Transportation and warehousing","N7757C0",34598,38360,40005,44067,46680,48342,51791,45570,49448,51325,58373,56086,58749,71356,60044,61402
"45","38","  Air transportation","N7758C0",12047,13821,14442,17708,18656,17565,18605,16711,15904,15948,16730,17178,17314,18387,NA,NA
"46","39","  Rail transportation","N7759C0",4865,5496,5601,6028,5802,7121,7534,5810,6335,6887,10532,9799,9433,11661,NA,NA
"47","40","  Water transportation","N7760C0",1421,1433,1533,1483,1652,1944,2087,1831,2314,2460,2953,3612,3146,3619,NA,NA
"48","41","  Truck transportation","N7761C0",8826,9574,10043,9949,10871,11548,12617,11127,13917,13725,14226,11770,12798,16444,NA,NA
"49","42","  Transit and ground passenger transportation","N7762C0",1396,1621,1638,1874,1832,1847,2085,1725,1676,1953,2239,1695,1671,2031,NA,NA
"50","43","  Pipeline transportation","N7763C0",670,822,754,196,234,565,443,307,88,381,479,1343,1616,4414,NA,NA
"51","44","  Other transportation and support activities \2\","N7764C0",4907,4987,5311,6113,6763,6821,7466,7238,8267,8892,10013,9355,11452,13298,NA,NA
"52","45","  Warehousing and storage","N7765C0",466,606,683,716,870,931,953,820,946,1080,1202,1334,1321,1502,NA,NA
"53","46","Information","N7766C0",96156,110972,121405,140111,149188,137787,132500,108317,104846,110351,130182,126353,125750,135026,114181,115975
"54","47","  Publishing industries (includes software)","N7767C0",14223,15883,17383,18310,19427,19450,19369,18036,19313,21055,23253,22483,22987,22867,NA,NA
"55","48","  Motion picture and sound recording industries","N7768C0",11903,14119,14041,14703,15345,14210,16463,14689,13261,16320,18235,20295,21878,21103,NA,NA
"56","49","  Broadcasting and telecommunications","N7769C0",66174,75965,82567,96136,103608,92292,85607,64988,60772,63338,78330,73927,69726,77712,NA,NA
"57","50","  Information and data processing services","N7770C0",3856,5005,7414,10962,10808,11834,11061,10603,11500,9638,10365,9649,11158,13345,NA,NA
"58","51","Finance and insurance","N7771C0",41504,46893,51916,54984,62287,61761,61614,54277,60729,67569,75121,71113,72496,77562,73264,73323
"59","52","  Federal Reserve banks","N7772C0",257,267,281,303,317,324,327,327,344,354,380,394,404,420,NA,NA
"60","53","  Credit intermediation and related activities","N7773C0",13001,15130,18711,18737,22152,20229,18040,11943,15663,19243,20820,16001,19072,20111,NA,NA
"61","54","  Securities, commodity contracts, and investments","N7774C0",4963,7214,6472,7007,7454,7357,7578,6621,6933,7565,8665,7457,7108,7729,NA,NA
"62","55","  Insurance carriers and related activities","N7775C0",20317,20497,22525,24552,27470,28286,29148,28462,29963,31557,35574,36630,36310,38892,NA,NA
"63","56","  Funds, trusts, and other financial vehicles","N7776C0",2966,3785,3927,4385,4895,5565,6521,6925,7826,8850,9682,10631,9602,10410,NA,NA
"64","57","Real estate and rental and leasing","N7777C0",32388,35230,36020,37366,37362,39442,41965,36729,41219,42329,50023,45031,45223,55955,47204,47241
"65","58","  Real estate","N7778C0",8004,8433,9745,10208,9978,11824,12698,12560,12711,12643,13383,13347,13109,13906,NA,NA
"66","59","  Rental and leasing services and lessors of intangible assets \3\","N7779C0",24384,26797,26275,27158,27384,27617,29267,24169,28508,29686,36640,31685,32114,42049,NA,NA
"67","60","Professional, scientific, and technical services","N7780C0",18352,20646,24094,26826,28889,29704,30110,28579,30511,33495,38874,39685,40944,45401,41560,41794
"68","61","  Legal services","N7781C0",828,908,1055,1129,1357,1375,1292,1237,1190,1287,1625,1457,1487,1867,NA,NA
"69","62","  Computer systems design and related services","N7782C0",5021,5693,7328,8364,8446,8420,8461,8265,8925,9951,11764,12803,12977,14397,NA,NA
"70","63","  Miscellaneous professional, scientific, and technical services \4\","N7783C0",12503,14045,15711,17333,19086,19909,20357,19078,20396,22257,25485,25426,26480,29137,NA,NA
"71","64","Management of companies and enterprises \5\","N7784C0",44201,51546,55948,61238,62906,61566,57608,45439,48629,49109,58774,56326,57275,61826,54130,55552
"72","65","Administrative and waste management services","N7787C0",8785,9845,10202,10752,12086,13799,13550,11810,11886,12428,14778,14306,14982,16750,14961,15528
"73","66","  Administrative and support services","N7788C0",5866,6417,6725,7015,8069,9109,9203,7959,7725,8198,9892,8989,9002,10197,NA,NA
"74","67","  Waste management and remediation services","N7789C0",2919,3428,3477,3737,4017,4690,4347,3851,4161,4230,4886,5317,5980,6554,NA,NA
"75","68","Educational services","N7790C0",996,1136,1313,845,751,1142,1129,667,649,1056,1404,1890,1996,2400,1396,1394
"76","69","Health care and social assistance","N7791C0",7573,7706,8218,8579,10016,11747,11351,8513,9457,10970,13947,12683,13339,15870,12262,12190
"77","70","  Ambulatory health care services","N7792C0",4163,4209,4418,4720,5825,6520,6784,5694,6390,6789,8405,7654,8245,9568,NA,NA
"78","71","  Hospitals and nursing and residential care facilities","N7793C0",2065,2034,2468,2416,2225,2975,2629,1391,1393,2278,3125,2746,2908,3650,NA,NA
"79","72","  Social assistance","N7794C0",1345,1463,1332,1443,1966,2252,1937,1428,1674,1903,2417,2282,2186,2652,NA,NA
"80","73","Arts, entertainment, and recreation","N7795C0",3317,4039,3300,4112,4458,4672,4451,3660,4177,4853,5694,5409,6055,6303,5482,5352
"81","74","  Performing arts, spectator sports, museums, and related activities","N7796C0",1559,1623,1767,2010,2238,2317,2130,2030,2167,2356,2652,2713,2763,2722,NA,NA
"82","75","  Amusements, gambling, and recreation industries","N7797C0",1758,2416,1533,2102,2220,2355,2321,1630,2011,2498,3042,2696,3292,3580,NA,NA
"83","76","Accommodation and food services","N7798C0",12181,13468,14585,15046,17486,18067,18316,15668,17099,17511,22241,21610,21387,22391,19658,19583
"84","77","  Accommodation","N7799C0",4977,5414,5914,6051,6735,6894,6793,5714,6298,6658,8275,8029,7409,6950,NA,NA
"85","78","  Food services and drinking places","N7700C0",7204,8054,8671,8995,10751,11173,11523,9955,10801,10853,13966,13580,13978,15440,NA,NA
"86","79","Other services, except government","N7701C0",4673,4982,5219,5188,5708,5755,5669,5115,5531,5640,6254,5481,5025,5796,4691,4596
"87",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","1. NAICS crop and animal production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","2. Consists of scenic and sightseeing transportation; transportation support activities;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","and couriers and messengers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","3. Intangible assets include patents, trademarks, and franchise agreements, but not copyrights.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","4. Consists of accounting, tax preparation, bookkeeping, and payroll services; architectural,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","engineering, and related services; specialized design services; management, scientific, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","technical consulting services; scientific research and development services; advertising and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","related services; and other professional, scientific, and technical services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","5. Consists of bank and other holding companies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","Note. Estimates in this table are based on the 2002 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
