"","Table 6#11B# Employer Contributions for Employee Pension and Ins","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"13","5","    Mining","B4905C0",517,569,580,642,683,834,1232,1409,1749,2260,2730,3358,4071,4341,4035,3826,3592,3600,3829
"14","6","    Construction","B4906C0",1142,1382,1443,1600,1792,2125,2987,3670,4853,5579,6429,6643,5400,4883,6877,8583,10873,14067,15326
"15","7","    Manufacturing","B4907C0",13665,13905,14528,16347,17513,19350,23236,26053,32306,34638,40313,46022,51302,54079,56675,58321,62465,68183,74467
"16","8","      Durable goods","J4908C0",9211,9273,9788,11146,12092,13244,15657,17645,21757,23304,27264,31131,34392,35746,37091,38104,40549,44087,48520
"17","9","      Nondurable goods","J4909C0",4454,4632,4740,5201,5420,6107,7579,8408,10549,11334,13049,14891,16909,18333,19584,20218,21916,24097,25948
"18","10","    Transportation and public utilities","B4910C0",2976,3875,4381,5221,5051,5421,7320,8420,9655,10292,11581,13526,14512,17190,18613,19589,21406,24045,25416
"19","11","      Transportation","J4911C0",1165,1449,1663,1996,1914,2040,2892,3613,4266,4588,5150,5737,5793,6477,7999,9333,10948,13175,14703
"20","12","      Communication","B4912C0",1175,1647,1868,2274,2240,2434,2908,2907,3231,3483,4050,4949,5707,6887,6575,6152,6040,5950,5363
"21","13","      Electric, gas, and sanitary services","J4913C0",637,780,851,951,897,946,1520,1901,2157,2221,2381,2840,3011,3825,4039,4105,4418,4921,5350
"22","14","    Wholesale trade","J4914C0",1447,1638,1784,2129,2176,2448,3133,3377,4085,5559,6442,7431,8412,9335,9914,10457,11388,12490,13178
"23","15","    Retail trade","J4915C0",1939,2173,2309,2704,2926,3144,3916,4443,5295,6830,7900,8900,9722,10524,12280,13582,15308,17530,18349
"24","16","    Finance, insurance, and real estate","J4916C0",1602,1825,2040,2485,2449,2503,3939,4647,5451,5661,6240,7409,7833,9515,10408,10956,12051,13922,15570
"25","17","    Services","J4917C0",2035,2477,2866,3556,3877,4512,5999,6796,8374,11106,12764,14943,17043,19714,24475,28967,33412,38078,40791
"26","18","  Government","B4918C0",19454,21712,25926,28817,29784,32707,36469,37776,41372,45589,50070,54928,61322,66755,72510,78379,87299,90698,93605
"27","19","Rest of the world","ZZZZZZ0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",NA,"        By type"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","20","Employer contributions for employee pension and insurance funds","B040RC0",44929,49718,56035,63699,66494,73344,88613,97091,113723,128127,145134,163867,180285,197033,216512,233451,258681,283640,301783
"30","21","  Pension plans \1\","B4934C0",29009,31248,35698,40337,40229,43308,52987,53123,60556,65188,73236,81439,86344,92058,102005,108394,120516,134352,139846
"31","22","    Private pension plans","B4921C0",10605,10752,11375,13383,12939,13864,20750,20731,25696,27254,31991,36859,37386,39709,46750,49316,57032,68437,74287
"32","23","      Defined benefit","ZZZZZZ0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","24","      Defined contribution","ZZZZZZ0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","25","    Government employee pension plans","B4935C0",18404,20496,24323,26954,27290,29444,32237,32392,34860,37934,41245,44580,48958,52349,55255,59078,63484,65915,65559
"35","26","      Federal","Y392RC0",11592,12989,15198,16087,16758,17631,18662,19647,20893,22412,23949,26297,29255,31149,31866,33829,36134,36395,33718
"36","27","      State and local","Y239RC0",6812,7507,9125,10867,10532,11813,13575,12745,13967,15522,17296,18283,19703,21200,23389,25249,27350,29520,31841
"37","28","  Private insurance funds","B4936C0",15919,18470,20337,23362,26266,30037,35626,43968,53167,62939,71897,82428,93942,104975,114508,125057,138164,149288,161936
"38","29","    Group insurance","B4922C0",12334,14538,16125,18670,20843,23858,28566,35156,42106,49769,56473,65151,76001,87329,96367,105243,115632,123564,132209
"39","30","      Group health insurance","B4923C0",9929,12102,13664,16165,18326,21132,25510,32049,38781,46044,52604,61025,71651,82669,91493,100351,110073,117501,126087
"40","31","      Group life insurance","B4924C0",2405,2436,2461,2505,2517,2726,3056,3107,3325,3725,3869,4126,4350,4660,4874,4892,5559,6063,6122
"41","32","    Workers' compensation","B4925C0",3473,3821,4016,4425,5157,5983,6827,8368,10413,12311,14357,15779,16464,15964,16471,17922,20414,23421,27192
"42","33","    Supplemental unemployment","B4926C0",112,111,196,266,266,196,234,444,648,860,1067,1498,1477,1683,1669,1892,2118,2303,2536
"43","34","  Publicly administered government employee insurance funds","ZZZZZZ0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","35","  Benefits paid by pension and insurance funds","B4928C0",32514,38195,43267,48886,54997,64612,79825,91056,102765,117228,134450,160163,188052,218194,239742,266878,309795,357293,372622
"46","36","    Pension plans \2\","B4937C0",15341,17779,20687,24158,27668,32456,42366,47752,52696,60079,66672,79523,95504,111479,125052,141975,170681,203652,201055
"47","37","    Private insurance funds","B4939C0",17173,20416,22580,24728,27329,32156,37459,43304,50069,57149,67778,80640,92548,106715,114690,124903,139114,153641,171567
"48","38","      Group insurance","B4940C0",14899,17736,19657,21628,23895,27815,32423,37757,43540,49652,58466,69000,80648,92059,100426,109104,121133,132717,148136
"49","39","        Group health insurance","B4930C0",12231,14799,16451,18153,20153,23814,28132,33219,38577,44189,52505,62399,73229,83954,91961,100177,111488,122619,137578
"50","40","        Group life insurance","B4931C0",2668,2937,3206,3475,3742,4001,4291,4538,4963,5463,5961,6601,7419,8105,8465,8927,9645,10098,10558
"51","41","      Workers' compensation","B4932C0",2174,2434,2627,2866,3324,3941,4540,5312,6222,7140,8448,9711,10855,11957,12790,14607,16778,18767,20535
"52","42","      Supplemental unemployment","B4933C0",100,246,296,234,110,400,496,235,307,357,864,1929,1045,2699,1474,1192,1203,2157,2896
"53","43","  Publicly administered government employee insurance funds","ZZZZZZ0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","1. Includes defined benefit and defined contributions plans.  Additional detail is",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","available in tables 7.20 - 7.25.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","2. Includes cash benefit payments and withdrawals.  Additional detail is available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","in tables 7.20 - 7.25.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Note.  Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
