"","Table 3#9#3# Real Government Consumption Expenditures and Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","        Structures","A760RA3",18.861,22.892,23.809,20.866,16.138,18.422,19.276,28.84,25.12,27.566,30.187,28.807,44.328,73.736,39.51,19.085,14.529,8.616,13.074,18.026,24.933,28.467,34.013,38.428,40.477,43.295,42.923,43.718,46.398,52.007,52.982,52.804,57.204,58.015,61.165,63.803,67.483,71.142,72.678,74.838,70.749
"12","5","        Equipment","Y054RA3",0.702,0.657,0.774,0.68,0.691,0.794,0.968,0.995,1.125,1.31,1.473,1.493,11.688,55.297,111.825,125.855,87.42,5.206,3.36,5.89,8.676,6.531,20.229,28.234,32.347,26.144,21.397,19.882,20.067,20.44,25.044,23.929,26.697,28.541,25.345,24.142,21.491,24.87,28.325,24.951,22.165
"13","6","        Intellectual property products","Y055RA3",0.284,0.387,0.466,0.586,0.568,0.483,0.495,0.54,0.545,0.603,0.654,0.727,1.701,2.358,3.834,5.472,5.448,4.913,4.434,4.931,5.304,5.656,5.84,6.463,7.207,8.175,9.446,12.35,14.642,15.637,16.768,18.473,20.622,23.002,27.279,29.794,31.886,35.361,36.901,37.877,37.83
"14","7","          Software","Y056RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.034,0.335,0.322,0.412,0.705,0.839,1.042,1.538,1.852,2.147,2.963
"15","8","          Research and development","Y057RA3",0.39,0.533,0.641,0.807,0.782,0.664,0.682,0.744,0.75,0.83,0.9,1.001,2.342,3.246,5.278,7.533,7.5,6.763,6.104,6.788,7.301,7.786,8.039,8.897,9.922,11.254,13.003,17.002,20.157,21.527,23.083,25.403,28.374,31.623,37.392,40.804,43.595,48.144,50.108,51.3,50.792
"16","9","Federal","B823RA3",2.127,2.357,2.437,2.485,3.048,4.025,4.133,6.162,5.563,6.141,6.585,7.47,19.768,59.085,94.108,107.16,92.683,26.035,19.546,20.667,22.407,21.474,35.102,45.011,48.384,42.53,39.131,38.6,40.101,40.307,41.095,40.393,42.342,46.121,46.225,46.059,46.41,51.354,56.562,57.436,56.034
"17","10","    Consumption expenditures","B957RA3",3.199,3.393,3.296,3.14,3.693,5.102,4.628,8.008,7.083,8.072,8.969,9.682,18.939,52.883,93.365,114.495,109.349,37.005,27.546,27.574,28.664,27.702,42.302,53.319,56.833,50.395,47.365,45.987,47.335,46.671,45.701,44.586,45.462,50.058,50.211,49.76,50.664,55.918,62.78,65.269,64.344
"18","11","    Gross investment","B787RA3",0.514,0.744,1.027,1.34,1.859,2.165,2.99,3.048,2.942,2.924,2.727,3.71,17.768,57.53,81.214,82.929,58.395,6.784,5.493,8.275,10.888,10.069,21.013,28.309,31.151,26.711,23.004,23.851,25.464,27.029,30.558,30.568,34.082,36.258,36.274,36.599,35.967,40.053,41.936,39.748,37.506
"19","12","      Structures","B801RA3",14.841,21.029,29.967,43.302,61.09,65.609,86.92,92.78,88.103,80.823,71.015,106.62,356.869,788.952,425.332,188.556,125.755,17.554,24.738,48.304,66.19,74.625,131.108,177.997,177.723,151.134,113.181,116.248,124.315,144.426,143.874,140.063,152.006,145.003,138.291,131.225,131.191,132.693,106.805,98.855,92.388
"20","13","      Equipment","Y058RA3",0.126,0.176,0.232,0.145,0.303,0.683,1.171,1.024,1.039,1.288,1.338,1.456,13.957,64.019,128.528,144.27,100.08,6.143,3.641,6.611,9.823,7.267,23.513,33.122,37.767,30.188,24.526,22.612,22.544,22.919,28.29,26.792,30.143,32.131,28.155,26.646,23.332,27.196,31.149,26.778,23.334
"21","14","      Intellectual property products","Y059RA3",0.188,0.308,0.388,0.533,0.514,0.4,0.389,0.428,0.426,0.485,0.542,0.627,1.825,2.659,4.509,6.525,6.477,5.82,5.261,5.867,6.304,6.716,6.928,7.675,8.558,9.701,11.234,14.779,17.556,18.74,20.099,22.123,24.696,27.546,32.672,35.661,38.114,42.206,43.941,45.037,44.815
"22","15","        Software","Y060RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.461,0.368,0.47,0.758,0.874,1.084,1.629,2.046,2.47,3.506
"23","16","        Research and development","Y061RA3",0.238,0.39,0.491,0.674,0.651,0.506,0.492,0.541,0.539,0.613,0.686,0.793,2.309,3.364,5.704,8.255,8.193,7.363,6.656,7.423,7.975,8.497,8.764,9.709,10.826,12.272,14.211,18.696,22.209,23.707,25.426,27.986,31.271,34.857,41.272,45.03,48.071,53.07,55.12,56.351,55.672
"24","17","  National defense","B824RA3",1.829,1.954,1.964,1.957,1.874,1.692,2.052,2.41,2.432,2.538,2.8,4.863,25.293,90.098,147.989,169.155,146.445,36.473,25.2,25.036,26.021,25.916,48.533,63.367,67.169,58.305,53.363,53.096,55.467,55.471,53.936,53.498,56.159,59.877,58.56,56.742,55.98,63.203,71.129,72.266,69.292
"25","18","    Consumption expenditures","B997RA3",2.768,2.856,2.785,2.774,2.581,2.276,2.882,3.015,2.953,3.13,3.511,5.532,21.762,76.836,142.447,174.96,167.667,50.291,34.712,32.667,32.469,33.546,57.488,73.117,75.662,66.023,61.658,61.034,63.701,62.84,57.17,57.485,59.016,63.97,64.252,63.019,63.949,72.566,81.697,85.419,82.458
"26","19","    Gross investment","B788RA3",0.194,0.342,0.463,0.464,0.563,0.589,0.532,1.186,1.328,1.319,1.373,3.159,25.381,91.254,130.597,134.527,94.642,9.917,6.914,9.981,12.851,10.776,28.775,40.574,45.891,39.281,33.922,34.275,35.903,37.338,42.838,41.189,45.457,46.717,42.812,40.145,36.39,40.401,45.408,41.416,38.612
"27","20","      Structures","B808RA3",4.715,7.932,11.996,12.028,12.354,16.853,14.148,39.869,47.469,41.896,36.47,120.425,658.787,1605.976,843.152,371.233,244.374,37.51,17.725,35.906,35.458,45.735,174.122,275.057,279.667,236.112,181.575,169.309,173.157,193.096,186.579,164.89,175.505,145.137,118.784,91.06,80.948,85.147,78.261,76.385,82.059
"28","21","      Equipment","Y050RA3",0.069,0.142,0.226,0.162,0.309,0.274,0.264,0.519,0.527,0.648,0.853,1.165,18.446,93.775,191.536,215.954,149.921,7.81,4.438,8.369,13.149,9.435,32.923,46.376,53.557,42.827,34.782,31.914,31.788,32.545,40.296,38.061,42.613,45.664,39.664,36.951,32.126,37.433,43.222,37.415,32.197
"29","22","      Intellectual property products","Y052RA3",0.204,0.338,0.317,0.446,0.428,0.328,0.327,0.365,0.352,0.394,0.445,0.497,2.896,4.354,7.698,12.018,12.19,11.109,9.863,10.458,10.684,10.171,10.834,12.867,15.517,18.064,20.752,27.208,31.546,32.545,35.442,36.414,39.728,40.65,42.061,41.555,40.065,41.956,46.791,45.578,45.932
"30","23","        Software","Y053RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.506,0.351,0.527,0.867,1.012,1.216,1.984,2.284,2.69,3.473
"31","24","        Research and development","Y076RA3",0.243,0.402,0.377,0.531,0.509,0.39,0.389,0.435,0.419,0.469,0.53,0.591,3.447,5.182,9.161,14.303,14.507,13.22,11.738,12.446,12.715,12.105,12.894,15.313,18.466,21.497,24.697,32.38,37.543,38.731,42.178,43.335,47.329,48.386,49.986,49.344,47.514,49.571,55.265,53.706,53.916
"32","25","  Nondefense","B825RA3",2.811,3.25,3.471,3.627,5.494,8.771,8.397,13.758,11.952,13.462,14.292,13.106,11.61,8.845,7.093,7.167,5.999,8.663,10.168,13.746,16.981,14.482,12.37,13.882,16.506,15.74,14.961,13.961,13.958,14.527,19.317,18.149,18.887,22.755,25.255,27.869,30.082,31.163,31.748,32.175,33.441
"33","26","    Consumption expenditures","B542RA3",4.235,4.673,4.517,4.03,6.313,11.696,8.711,19.538,16.677,19.495,21.594,19.617,15.324,10.873,8.262,9.735,8.425,13.545,15.148,19.552,23.439,18.205,14.961,17.592,22.932,22.296,21.693,18.812,17.637,17.324,25.141,21.282,20.95,24.919,24.838,25.806,26.66,25.864,28.63,28.897,31.613
"34","27","    Gross investment","B798RA3",1.107,1.498,2.085,2.956,4.236,5.042,7.412,6.533,6.006,5.971,5.33,5.089,6.658,5.947,5.361,3.557,2.629,1.873,3.327,5.709,7.964,9.186,8.623,8.606,7.461,6.511,5.452,7.181,8.852,10.726,11.046,13.897,16.292,20.128,26.805,32.189,36.772,41.157,37.889,38.616,37.217
"35","28","      Structures","B830RA3",21.588,29.617,41.676,64.275,94.179,98.476,136.636,127.219,113.603,105.456,92.912,89.475,93.129,70.84,61.625,30.082,23.346,-0.492,34.673,66.392,104.67,112.274,100.518,95.569,90.235,78.469,53.938,73.039,86.141,108.383,114.016,128.508,143.04,159.357,172.081,185.482,195.667,194.6,146.786,131.831,111.964
"36","29","      Equipment","Y066RA3",0.274,0.29,0.31,0.156,0.378,1.61,3.133,2.223,2.256,2.807,2.472,2.142,4.711,4.703,3.749,2.608,1.633,2.492,1.842,2.703,2.49,2.465,2.794,3.938,3.044,2.395,1.976,2.206,2.281,1.718,1.829,1.94,2.601,2.291,2.683,3.612,3.581,4.2,4.151,3.098,3.44
"37","30","      Intellectual property products","Y067RA3",0.174,0.283,0.455,0.613,0.594,0.467,0.446,0.486,0.493,0.568,0.632,0.746,0.87,1.146,1.659,1.608,1.359,1.082,1.14,1.76,2.389,3.637,3.443,3.033,2.327,2.209,2.707,3.646,5.031,6.391,6.369,9.351,11.268,15.843,24.297,30.415,36.4,42.467,41.428,44.593,43.856
"38","31","        Software","Y068RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.376,0.382,0.448,0.713,0.817,1.034,1.468,1.958,2.401,3.601
"39","32","        Research and development","Y069RA3",0.232,0.379,0.609,0.821,0.795,0.625,0.598,0.651,0.661,0.76,0.846,0.999,1.164,1.534,2.221,2.152,1.82,1.449,1.527,2.356,3.199,4.87,4.61,4.061,3.115,2.958,3.625,4.882,6.737,8.557,8.527,12.521,15.098,21.272,32.61,40.858,48.87,56.887,55.238,59.314,57.729
"40","33","State and local","B829RA3",10.434,11.474,11.977,11.442,10.224,10.709,11.067,11.075,11.094,11.725,12.871,12.471,11.711,10.66,9.768,9.439,9.769,10.724,12.163,12.894,14.811,16.005,16.133,16.398,17.2,18.686,20.018,20.671,21.886,23.735,24.528,25.593,27.149,27.946,29.583,31.561,33.652,35.75,37.539,39.788,41.177
"41","34","  Consumption expenditures","B991RA3",9.926,10.564,11.175,11.357,11.119,11.342,12.044,9.756,10.587,10.637,11.294,11.952,12.384,12.702,12.693,12.465,12.763,13.166,14.05,14.168,15.391,16.326,16.282,16.496,17.043,17.755,18.905,19.595,20.624,22.225,23.006,24.3,25.601,26.277,27.497,29.268,31.148,33.024,34.503,36.772,39.149
"42","35","  Gross investment","B799RA3",11.964,13.98,14.223,11.7,7.75,8.879,8.382,13.933,12.083,14.054,16.323,13.417,9.887,5.869,3.162,2.619,3.028,5.3,8.035,10.152,13.684,15.522,16.062,16.45,17.884,21.354,23.181,23.746,25.457,27.982,28.812,29.225,31.522,32.677,35.565,38.153,40.867,43.623,46.363,48.48,46.543
"43","36","    Structures","B842RA3",18.287,21.945,22.138,17.911,11.453,13.412,12.55,21.837,18.416,21.565,25.13,20.591,15.051,8.643,4.414,3.537,4.2,7.633,11.763,14.918,20.692,23.712,24.52,24.985,27.212,32.706,35.836,36.41,38.556,42.739,43.851,44.023,47.664,49.221,53.288,56.837,60.844,64.678,68.809,71.919,68.093
"44","37","    Equipment","Y070RA3",2.094,1.799,2.017,1.888,1.552,1.475,1.468,1.426,1.833,1.996,2.273,1.869,1.408,1.078,0.8,0.791,0.779,1.255,1.88,2.367,2.493,2.536,2.638,2.846,3.02,3.355,3.259,3.663,4.494,4.496,4.805,5.367,5.526,5.896,6.691,7.556,8.062,8.815,9.155,9.559,10.228
"45","38","    Intellectual property products","Y071RA3",0.623,0.66,0.731,0.759,0.744,0.776,0.884,0.949,0.981,1.031,1.047,1.073,1.112,1.021,0.871,0.829,0.918,0.92,0.792,0.814,0.904,0.993,1.053,1.135,1.265,1.464,1.581,1.669,1.825,1.987,2.117,2.419,2.7,3.016,3.555,3.982,4.482,5.228,5.876,6.303,6.968
"46","39","      Software","Y072RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.019,0.191,0.263,0.335,0.66,0.837,1.041,1.484,1.635,1.716,2.197
"47","40","      Research and development","Y073RA3",1.504,1.592,1.764,1.831,1.795,1.874,2.133,2.29,2.367,2.489,2.528,2.589,2.683,2.464,2.102,2,2.215,2.219,1.911,1.966,2.182,2.397,2.542,2.739,3.053,3.533,3.816,4.028,4.405,4.796,5.109,5.571,6.138,6.79,7.576,8.329,9.216,10.312,11.644,12.555,13.376
"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","are valued at their cost of production.  Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","(construction, software, and research and development).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","2. Gross government investment consists of general government and government enterprise expenditures for fixed assets; inventory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","investment is included in government consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
