"","Table 1#1#8# Contributions to Percent Change in the Gross Domest","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"15","5","    Nondurable goods","DNDGRJ2",NA,1.19,2.21,3.69,1.88,1.18,1.23,-1.14,-1.65,-1.41,-1.24,-0.83,-0.73,0.58,3.31,2.6,4.83,0.99,-0.23,1.33,0.09,-0.43,0.17,0.42,-0.46,-0.45,0.24,0.01,0.4,0.39,-0.4,-0.49,0.03,-0.27,0.14,-0.01,0.32,0.96,0.97,0.31,0.9,0.51,1.02,0.36,1.56,0.18,-0.3,-0.48,0.35,0.08,0.44,0.35,-0.17,0.66,0.28,0.55,0.16,-0.67,0.18,-0.18,0.36,0.24,0.09,0.48,0.14,-0.09,0.66,0.18,0.52,-0.02,0.27,0.37,0.28,0.83,0.48,0.2,1.16,0.74,0.62,0.55,-0.02,0.14,0.91,0.58,0.89,0.81,0.82,0.9,0.64,1.19
"16","6","  Services","DSERRJ2",NA,0.59,2.47,2.39,0.69,1.06,1.58,0.4,-0.05,0.25,0.37,0.74,0.44,0.45,1.66,1.39,1.99,0.8,0.58,1.51,0.7,0.77,1.05,0.77,1,0.75,1.29,1,0.61,0.24,0.22,0.48,0.64,0.39,0.49,0.6,0.57,0.59,0.86,0.63,0.96,0.51,0.94,0.85,0.91,0.37,0.42,0.36,0.5,0.57,0.9,0.94,0.57,0.66,0.78,0.61,0.28,0.5,0.55,0.49,0.69,0.56,0.42,0.37,0.54,0.33,0.38,0.6,0.56,0.59,0.59,0.52,0.5,0.49,0.59,0.73,0.71,1.05,1.06,1.14,0.8,0.84,0.91,1.1,1.38,1.38,1.34,1.45,1.51,1.62
"17","7","Gross private domestic investment","A006RJ2",NA,2.19,1.8,0.65,0.68,1.36,1.89,0.31,-0.25,-0.19,-0.71,-0.37,-0.25,0.88,2.07,1.88,3.14,1.24,0.3,0.55,0.1,0.11,0.02,-0.23,0.02,0.3,0.43,-0.24,-0.04,0.12,-0.12,-0.01,0,0.43,0.85,0.97,1.52,0.83,1.2,0.53,0.65,0.29,0.44,0.26,-0.47,0.3,0.09,0.11,-0.03,0.28,0.2,0.12,0.09,0.09,-0.04,-0.1,-0.12,0.01,-0.02,0.02,0.06,0.05,-0.01,-0.06,-0.01,-0.12,-0.19,0.18,-0.18,0.52,0.1,0.61,0.03,0.14,0.15,0.77,-0.21,1.12,0.04,0.78,0.24,0.28,0.38,0.8,0.72,0.65,0.41,1.4,0.78,0.76
"18","8","  Fixed investment","A007RJ2",NA,2.16,1.45,1.26,0.57,1.34,1.89,0.58,-0.23,-0.23,-0.82,-0.4,-0.22,0.89,1.95,1.39,2.45,1.03,0.47,0.54,0.13,0.14,0.01,-0.14,0.06,0.29,0.41,-0.23,-0.07,0.13,-0.09,0,0,0.41,0.81,0.92,1.46,0.81,1.17,0.51,0.63,0.29,0.43,0.25,-0.51,0.26,0.1,0.12,0.11,0.29,0.21,0.12,0.08,0.1,-0.02,-0.1,-0.13,0.04,-0.02,0.02,0.06,0.07,-0.01,-0.05,0.02,-0.09,-0.18,0.17,-0.18,0.54,0.09,0.62,0.03,0.13,0.15,0.75,-0.23,1.1,0.02,0.74,0.23,0.29,0.4,0.76,0.7,0.62,0.4,1.39,0.77,0.73
"19","9","    Nonresidential","A008RJ2",NA,1.21,1.03,0.68,0.11,1.06,1.33,0.48,-0.35,-0.17,-0.27,-0.39,-0.16,0.26,0.85,1.42,1.52,0.73,0.34,0.35,0.02,-0.03,-0.18,-0.02,0.04,0.27,0.25,-0.14,0.05,0.08,-0.34,-0.01,-0.14,0.19,0.62,0.87,1.24,0.46,1.11,0.59,0.67,0.23,0.29,0.32,-0.42,0.24,0.1,0.11,0.07,0.27,0.21,0.1,0.01,0.02,-0.03,-0.12,-0.07,-0.03,-0.02,0.03,0.03,0.07,0,-0.03,0.01,-0.01,0.05,0.03,0.02,0.2,0.02,0.2,0.05,0.11,0.16,0.24,0,0.47,0.12,0.41,0.21,0.25,0.31,0.45,0.39,0.46,0.39,0.71,0.41,0.46
"20","10","      Structures","B009RJ2",NA,0.14,0.41,0.36,0.24,0.27,0.28,0.06,-0.31,-0.27,-0.15,-0.07,-0.13,-0.1,0.27,0.61,0.66,0.38,0.22,0.07,0.01,-0.12,-0.07,0.02,0.07,0.19,0.15,-0.08,-0.3,-0.22,-0.04,-0.01,0.02,0.12,0.23,0.4,0.77,0.06,0.51,0.21,0.19,0.2,0.08,-0.05,-0.45,0.09,0.05,0.04,-0.09,0.08,0.06,0.01,0.05,-0.09,-0.07,-0.1,0,0.03,0.01,0.05,0.02,0.04,-0.01,0.04,0.04,0.03,0.04,0.01,-0.02,0.15,0.02,0.22,0.03,0.11,0.04,0.31,-0.03,0.34,0.02,0.2,0.06,0.08,0.1,0.21,0.21,0.18,0.11,0.36,0.2,0.24
"21","11","      Equipment","Y033RJ2",NA,1.03,0.55,0.24,-0.14,0.74,1.02,0.44,-0.05,0.12,-0.11,-0.31,-0.03,0.33,0.51,0.74,0.82,0.31,0.11,0.26,0.03,0.09,-0.12,-0.05,-0.06,0.07,0.09,-0.06,0.33,0.3,-0.3,0.01,-0.22,0.06,0.36,0.45,0.41,0.35,0.55,0.35,0.44,0,0.18,0.36,-0.03,0.13,0.03,0.05,0.16,0.14,0.12,0.05,-0.04,0.1,0.03,-0.03,-0.07,-0.07,-0.06,-0.03,0.01,0.02,0.02,-0.07,-0.02,-0.04,-0.01,-0.01,0.02,0.02,-0.01,-0.02,0.03,-0.01,0.09,-0.08,0,0.1,0.09,0.2,0.14,0.14,0.17,0.19,0.1,0.23,0.22,0.28,0.12,0.15
"22","12","      Intellectual property products","Y001RJ2",NA,0.03,0.07,0.08,0.01,0.05,0.04,-0.02,0,-0.02,-0.01,0,0,0.03,0.07,0.07,0.04,0.04,0.02,0.02,-0.01,0,0.01,0.01,0.03,0.01,0.01,0,0.02,-0.01,0,0,0.06,0.01,0.02,0.03,0.06,0.05,0.05,0.03,0.05,0.03,0.03,0.01,0.06,0.02,0.02,0.02,0,0.04,0.04,0.03,0.01,0,0.01,0.01,0,0.01,0.02,0.01,0,0.01,0,0,-0.02,0.01,0.02,0.03,0.02,0.03,0.02,0,0,0.02,0.02,0.02,0.03,0.03,0.01,0.02,0.01,0.03,0.04,0.06,0.08,0.05,0.05,0.07,0.09,0.07
"23","13","    Residential","A011RJ2",NA,0.95,0.43,0.58,0.46,0.28,0.55,0.1,0.13,-0.05,-0.55,-0.01,-0.06,0.63,1.1,-0.03,0.93,0.3,0.13,0.19,0.11,0.17,0.19,-0.13,0.01,0.02,0.16,-0.09,-0.12,0.05,0.25,0.01,0.13,0.22,0.19,0.05,0.21,0.35,0.06,-0.08,-0.05,0.05,0.13,-0.07,-0.09,0.02,0,0.02,0.04,0.02,-0.01,0.02,0.06,0.08,0,0.02,-0.06,0.07,0.01,-0.02,0.03,0,-0.01,-0.03,0.01,-0.08,-0.23,0.14,-0.2,0.34,0.06,0.42,-0.03,0.02,0,0.51,-0.24,0.64,-0.1,0.33,0.02,0.04,0.08,0.31,0.31,0.16,0.01,0.68,0.37,0.26
"24","14","  Change in private inventories","A014RJ2",NA,0.03,0.35,-0.61,0.11,0.02,0,-0.27,-0.02,0.04,0.11,0.02,-0.02,-0.01,0.12,0.49,0.69,0.21,-0.17,0.01,-0.03,-0.03,0.01,-0.08,-0.04,0.01,0.02,-0.01,0.03,-0.01,-0.03,-0.01,0.01,0.02,0.04,0.05,0.06,0.02,0.03,0.01,0.03,0,0.01,0.01,0.04,0.04,-0.01,-0.01,-0.13,-0.01,-0.01,0,0.01,-0.01,-0.01,0,0.01,-0.03,0,0,-0.01,-0.02,0,-0.01,-0.02,-0.03,-0.01,0.01,0,-0.02,0.01,-0.01,0,0.01,0,0.02,0.02,0.01,0.01,0.04,0.02,-0.01,-0.02,0.04,0.02,0.03,0.01,0.01,0.01,0.03
"25","15","Net exports of goods and services","A019RJ2",NA,1.41,1,0.45,0.04,-0.04,-0.04,-0.08,-0.11,-0.34,-0.34,-0.32,-0.62,-0.3,-0.35,-0.46,-0.26,-0.17,0.17,0.37,0.23,0.27,0.26,0.22,0.13,0.09,0.03,-0.03,-0.15,-0.02,-0.04,0.1,0.38,0.16,0.14,0.14,0.14,0.1,0.16,0.09,0.26,0.18,0.18,0.14,0.2,0.13,0.07,0.07,0,0.01,0.1,0.02,0.04,-0.05,0,-0.02,0.09,0.29,-0.01,0.15,0.23,-0.21,0.05,-0.06,-0.12,-0.1,-0.15,-0.08,-0.11,-0.1,0.18,0.17,0.32,0.01,-0.09,-0.25,0.25,-0.02,0.28,0.22,0.34,0,-0.03,0.1,0.03,0.28,-0.29,0.01,0.21,-0.05
"26","16","  Exports","A020RJ2",NA,2.26,1.63,0.81,0.26,-0.07,-0.24,-0.35,-0.44,-0.49,-0.41,-0.28,-0.36,0,0.15,0.32,1.11,0.71,0.59,0.32,-0.57,-0.11,-0.1,-0.1,-0.02,-0.09,-0.08,-0.06,-0.04,-0.02,0.02,0.04,0.11,0.11,0.12,0.13,0.14,0.19,0.22,0.23,0.29,0.15,0.05,-0.04,-0.2,-0.1,-0.05,0,-0.14,-0.01,0.12,0.18,0.04,-0.02,0.1,-0.06,0.09,0.26,-0.03,0.14,0.04,-0.18,-0.01,0.03,0.03,-0.03,-0.05,0.02,0.05,-0.01,0.16,0.22,0.45,-0.06,0.02,-0.07,0.33,0.17,0.24,0.35,0.37,-0.03,-0.02,0.11,0.15,0.42,-0.25,0.15,0.28,0.03
"27","17","    Goods","A253RJ2",NA,2.47,1.75,0.86,0.26,-0.07,-0.25,-0.36,-0.44,-0.49,-0.4,-0.27,-0.33,-0.01,0.13,0.28,1.02,0.64,0.51,0.26,-0.56,-0.13,-0.1,-0.09,0.01,-0.07,-0.06,-0.05,-0.04,-0.02,0.01,0.03,0.08,0.09,0.1,0.12,0.15,0.17,0.19,0.18,0.21,0.1,0.01,-0.05,-0.17,-0.06,0,0.06,0.1,-0.07,0.01,0.13,-0.02,-0.02,0.07,-0.06,0.14,0.23,-0.07,0.12,-0.06,-0.2,-0.02,0.01,0.06,-0.03,-0.06,-0.01,0.08,-0.06,0.13,0.2,0.4,-0.06,0,-0.09,0.32,0.13,0.2,0.31,0.35,-0.07,-0.06,0.06,0.07,0.38,-0.28,0.09,0.23,-0.04
"28","18","    Services","A646RJ2",NA,-0.21,-0.12,-0.05,0,0,0.01,0.01,0,0,-0.01,-0.01,-0.03,0.01,0.02,0.04,0.09,0.08,0.07,0.06,-0.02,0.02,0.01,-0.01,-0.03,-0.02,-0.02,-0.01,0,0,0,0.01,0.03,0.02,0.02,0.02,-0.01,0.02,0.03,0.04,0.08,0.05,0.04,0.01,-0.04,-0.03,-0.05,-0.06,-0.24,0.06,0.11,0.04,0.05,0,0.02,0,-0.04,0.03,0.03,0.03,0.09,0.02,0.01,0.01,-0.03,0,0.01,0.03,-0.04,0.05,0.03,0.03,0.04,-0.01,0.02,0.02,0.01,0.04,0.04,0.04,0.02,0.04,0.04,0.05,0.07,0.04,0.03,0.05,0.05,0.07
"29","19","  Imports","A021RJ2",NA,-0.85,-0.63,-0.36,-0.22,0.03,0.21,0.27,0.33,0.15,0.07,-0.04,-0.26,-0.3,-0.49,-0.78,-1.37,-0.89,-0.41,0.06,0.8,0.38,0.36,0.32,0.15,0.17,0.11,0.04,-0.11,0,-0.06,0.05,0.27,0.05,0.03,0,0,-0.09,-0.05,-0.14,-0.03,0.03,0.13,0.19,0.41,0.22,0.11,0.07,0.14,0.02,-0.03,-0.16,0,-0.03,-0.1,0.04,-0.01,0.02,0.02,0.01,0.19,-0.03,0.06,-0.09,-0.15,-0.07,-0.1,-0.1,-0.15,-0.09,0.02,-0.05,-0.13,0.07,-0.12,-0.18,-0.08,-0.19,0.04,-0.13,-0.02,0.03,-0.01,-0.01,-0.12,-0.14,-0.03,-0.14,-0.08,-0.08
"30","20","    Goods","A255RJ2",NA,-0.89,-0.65,-0.38,-0.18,0.02,0.2,0.28,0.33,0.18,0.1,0,-0.25,-0.26,-0.46,-0.75,-1.33,-0.9,-0.43,0.02,0.87,0.31,0.28,0.22,0.07,0.09,0.05,0.01,-0.05,0,-0.06,0.05,0.21,0.04,0.03,0.02,0.03,-0.05,-0.01,-0.11,0.03,0.03,0.1,0.14,0.32,0.19,0.12,0.12,0.25,0.04,-0.01,-0.15,-0.02,-0.02,-0.04,0.07,0.03,0.04,0.01,0.01,0.18,0.02,0.09,0.01,-0.07,-0.05,-0.08,-0.07,-0.17,-0.07,0.04,-0.03,-0.04,0.1,-0.09,-0.14,-0.01,-0.19,0.04,-0.13,0.02,0.04,-0.01,0,-0.09,-0.1,0.02,-0.12,-0.08,-0.05
"31","21","    Services","B656RJ2",NA,0.03,0.03,0.02,-0.04,0.01,0,-0.01,0.01,-0.03,-0.04,-0.04,0,-0.04,-0.03,-0.02,-0.04,0.01,0.02,0.04,-0.06,0.07,0.08,0.1,0.09,0.08,0.06,0.03,-0.06,-0.01,0,0.01,0.06,0.01,0,-0.02,-0.03,-0.04,-0.04,-0.03,-0.05,0,0.03,0.05,0.09,0.04,-0.01,-0.05,-0.12,-0.02,-0.02,-0.01,0.03,-0.01,-0.07,-0.03,-0.04,-0.02,0.01,0,0.01,-0.05,-0.03,-0.1,-0.08,-0.03,-0.02,-0.02,0.02,-0.02,-0.02,-0.02,-0.09,-0.03,-0.03,-0.05,-0.07,0,0,0,-0.05,0,-0.01,-0.01,-0.03,-0.04,-0.05,-0.02,0,-0.03
"32","22","Government consumption expenditures and gross investment","A822RJ2",NA,-0.13,-1.26,0.84,1.04,0.77,1.31,0.39,1,-0.54,-0.77,0.68,-0.44,-0.41,1.21,0.48,3.16,-0.61,0.55,1.23,-0.99,1.17,1.1,1.01,-0.63,0.12,-0.35,0.32,0.47,0.87,0.52,0.66,0.4,1.38,0.81,0.89,1.35,1.27,0.76,0.5,1.52,0.89,0.57,0.67,0.6,0.86,0.7,0.51,0.55,-0.01,0.02,0.13,0.33,0.15,0.9,0.84,0.06,0.57,0.03,0.53,0.7,0.43,0.29,0.33,1.41,0.18,-0.39,1.65,0.68,0.25,0.92,0.11,0.62,0.5,0.9,1.39,0.62,0.65,1.43,0.48,0.4,0.99,1.09,1.52,1.2,1.2,1.33,1.62,0.73,1.6
"33","23","  Federal","A823RJ2",NA,-0.5,-1.76,0.08,0.21,0.28,0.4,-0.02,1.27,-0.09,-0.71,0.92,-0.06,-0.57,0.4,-0.32,2.17,-1.07,0.06,0.89,-1,0.86,0.57,1.06,-0.91,0.22,-0.31,0.41,0.59,0.24,0.37,0.49,0.62,1.28,0.34,0.55,0.68,0.88,0.25,0.21,1.21,0.43,0.41,0.67,0.62,0.53,0.52,0.43,0.08,-0.01,0.05,0.1,-0.01,-0.02,0.71,0.67,-0.19,0.2,-0.21,0.27,0.3,0.33,0.26,0.1,1.05,-0.04,-0.47,1.35,0.54,0.07,0.74,-0.08,0.17,0.25,0.56,1.09,0.09,0.02,0.93,0.02,-0.16,0.62,0.51,0.99,0.46,0.61,0.9,0.76,0.09,0.73
"34","24","    National defense","A824RJ2",NA,-0.19,-2.76,-0.05,0.65,0.42,0.42,0.06,0.54,-0.15,-0.26,0.45,0.02,-0.24,0.61,0.1,1.08,-0.77,0.06,0.82,-1.25,0.76,0.5,0.95,-0.93,0.19,-0.42,0.34,0.7,0.14,0.46,0.46,0.41,1.17,0.57,0.53,0.68,0.74,0.25,0.23,1.07,0.28,0.4,0.55,0.57,0.4,0.57,0.29,-0.21,0.01,0.16,0.11,0.02,-0.01,0.47,0.61,-0.22,0.17,-0.22,0.22,0.22,0.3,0.24,-0.15,1.09,-0.05,-0.5,1.24,0.36,-0.08,0.55,-0.09,0.13,0.25,0.49,0.94,-0.03,0.01,0.86,-0.05,-0.17,0.55,0.48,0.92,0.25,0.5,0.72,0.57,0.04,0.61
"35","25","    Nondefense","A825RJ2",NA,-0.31,1,0.13,-0.43,-0.14,-0.02,-0.08,0.74,0.05,-0.45,0.47,-0.08,-0.33,-0.22,-0.42,1.09,-0.3,0,0.07,0.25,0.1,0.07,0.1,0.03,0.03,0.11,0.07,-0.11,0.1,-0.09,0.03,0.21,0.11,-0.23,0.01,0,0.14,0,-0.01,0.15,0.15,0.01,0.12,0.04,0.13,-0.05,0.15,0.29,-0.02,-0.11,-0.01,-0.03,-0.01,0.25,0.06,0.04,0.03,0.01,0.05,0.08,0.03,0.02,0.24,-0.04,0.01,0.03,0.1,0.18,0.15,0.19,0.01,0.04,0.01,0.06,0.15,0.12,0.01,0.07,0.08,0.01,0.07,0.03,0.07,0.22,0.11,0.17,0.19,0.06,0.11
"36","26","  State and local","A829RJ2",NA,0.38,0.49,0.75,0.83,0.5,0.9,0.41,-0.27,-0.45,-0.07,-0.24,-0.38,0.16,0.81,0.8,0.99,0.46,0.49,0.34,0.01,0.31,0.53,-0.04,0.27,-0.11,-0.04,-0.09,-0.13,0.63,0.15,0.17,-0.23,0.11,0.47,0.35,0.66,0.39,0.51,0.29,0.3,0.46,0.16,0,-0.02,0.33,0.18,0.08,0.48,0.01,-0.03,0.03,0.35,0.17,0.19,0.18,0.25,0.37,0.24,0.26,0.4,0.1,0.03,0.23,0.36,0.22,0.08,0.3,0.13,0.18,0.18,0.18,0.44,0.24,0.35,0.29,0.53,0.63,0.5,0.45,0.56,0.37,0.58,0.52,0.74,0.59,0.43,0.85,0.64,0.87
