"","Table 1#1#7# Percent Change From Preceding Period in Prices for ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"11","3","  Goods","DGDSRV1",NA,3.9,6.3,11,5.9,4.3,6.3,-3,-4.9,-4.5,-4.6,-2.3,-2.1,2.2,10.2,8.7,17.3,3.5,-0.5,4.9,1,-2.3,1.5,-1,-0.3,-1.1,0,0.1,1.8,-1.5,-2.8,-2,0.6,-0.4,1.3,0.1,1.1,3,4.4,2.3,3.6,3.1,3.2,1.4,6.7,0.2,-1,-1.9,2.7,0.5,1.3,1.1,-0.6,2,0.6,1.5,0.5,-1.6,1,-0.7,1.2,0.9,0.6,1.1,0.4,0,2.5,0.9,1.9,-0.1,0.7,1,0.9,2.3,1,0,3.7,2.9,2.5,2.3,-0.3,1,4.3,3.1,3.8,3.4,3.7,4.1,2.8,4.9
"12","4","    Durable goods","DDURRV1",NA,3.7,2.3,5.3,3.1,5.4,14.7,0.7,-1.3,-2.6,-4.8,-0.5,-1.2,3.1,5.7,6.8,15.6,2.7,0.1,3.9,2.8,-4.6,4.2,-9.1,4,0.5,-2.5,0.8,3.2,-9.7,-6.4,-2.3,2.5,2,3.9,1.1,1.5,0.9,5.9,5.3,3.3,5.6,0,0.8,7.3,-1.6,-0.4,-1.4,7.2,1.5,-0.1,-0.2,-0.6,-0.5,-1.2,-0.7,0.1,1.9,1.8,-0.5,0.1,0.5,1.3,-1.6,0.1,1.2,1.1,1.3,0.6,-0.2,-0.4,-0.8,0.1,-1.2,-2,-2.2,-0.5,1.7,1.8,1.8,-0.8,1.8,4.5,4.1,2.6,2.5,3.4,3.7,2.4,3
"13","5","    Nondurable goods","DNDGRV1",NA,4,7.4,12.7,6.7,4.1,3.9,-4.1,-6,-5,-4.5,-3,-2.5,1.9,12,9.5,18,3.7,-0.9,5.1,0.4,-1.5,0.7,1.7,-1.7,-1.7,0.8,-0.1,1.3,1.3,-1.6,-1.8,0,-1.1,0.4,-0.2,0.9,3.8,3.9,1.2,3.7,2.2,4.3,1.6,6.5,0.8,-1.2,-2,1.2,0.1,1.7,1.5,-0.6,2.9,1.2,2.3,0.6,-2.8,0.7,-0.7,1.6,1.1,0.4,2.1,0.6,-0.4,3,0.8,2.4,-0.1,1.2,1.6,1.2,3.8,2.2,0.9,5.5,3.4,2.8,2.5,-0.1,0.6,4.3,2.7,4.2,3.8,3.9,4.3,3,5.7
"14","6","  Services","DSERRV1",NA,2.2,9.9,9.3,2.4,4,6.2,1.5,-0.3,0.8,1.3,2.9,1.7,1.5,6.2,5.3,7.5,2.9,2.2,6.2,2.8,3.2,4.3,3.1,4.3,3.1,5.3,4,2.3,0.8,0.7,1.8,2.3,1.5,2,2.4,2.3,2.4,3.4,2.5,3.7,1.9,3.4,2.9,2.9,1.4,1.9,2,3,2.9,3.8,3.5,1.8,2.2,2.7,2.1,1,1.8,1.9,1.7,2.4,1.9,1.4,1.3,1.9,1.2,1.3,2.1,2,2,2,1.8,1.7,1.7,2.1,2.5,2.6,3.8,3.7,4,2.8,2.9,3.1,3.9,4.8,4.9,4.7,4.9,5.2,5.6
"15","7","Gross private domestic investment","A006RV1",NA,16.2,14,4.9,5.3,8.9,11.4,2.3,-1.1,-0.7,-4.1,-1.7,-0.5,6.1,11.6,9.2,15.3,6.4,1.7,3.7,1.4,1.2,0.3,-1.8,-0.5,1.7,2.9,-1.1,0.7,1.5,-0.2,0.2,0.1,2.5,4.8,5.3,8.5,4.4,6.8,3,3.8,1.6,2.5,1.4,-3.3,2,0.6,0.9,0.1,1.8,1.3,0.7,0.5,0.5,-0.1,-0.5,-0.6,0.2,0,0.1,0.3,0.2,-0.1,-0.4,0,-0.7,-1.2,1.1,-1.1,3.2,0.6,3.8,0.2,0.8,0.8,4.4,-1.4,6.2,0.2,4.6,1.6,1.7,2.3,4.7,4,3.6,2.2,8.5,4.5,4.3
"16","8","  Fixed investment","A007RV1",NA,15.9,10.4,8.5,4,9,12.7,4.4,-0.6,-0.6,-4.3,-1.5,0,6.6,11.7,7.7,13.9,6.2,3.2,4.2,1.9,1.8,0.7,-0.8,0.4,2.2,3.1,-1,0.3,1.6,0,0.4,0.4,2.7,4.9,5.2,8.4,4.4,6.8,3,3.9,1.8,2.7,1.7,-3.1,1.8,0.6,0.8,0.6,1.7,1.3,0.7,0.6,0.7,-0.1,-0.6,-0.8,0.3,-0.1,0.1,0.3,0.4,-0.1,-0.4,0.1,-0.6,-1.2,1.1,-1.2,3.5,0.6,4.1,0.3,0.8,0.8,4.5,-1.7,6.7,0,4.8,1.6,2,2.6,4.9,4.3,3.9,2.4,8.9,4.7,4.4
"17","9","    Nonresidential","A008RV1",NA,12.7,11,7.5,2.2,11.6,14.4,5.5,-2.6,-0.7,-1.6,-2.3,0.5,3.9,8.7,13.9,13.9,7,3.7,4.4,1.8,0.9,-1,0.1,0.4,3.1,3,-0.6,1.7,1.8,-2.5,0.7,-0.6,2.3,6.3,8.2,11.2,3.5,9.9,5.3,6.2,2.2,2.7,3,-3.7,2.4,0.9,0.9,0.5,2.5,2,0.9,0.2,0.3,-0.2,-1.1,-0.5,-0.3,-0.3,0.2,0.1,0.6,-0.1,-0.3,0,-0.1,0.5,0.2,0.1,2,0.2,1.9,0.6,1,1.3,1.9,-0.3,3.7,0.9,3.4,1.8,2.2,2.7,3.9,3.3,3.9,3.3,6.1,3.3,3.8
"18","10","      Structures","A009RV1",NA,5.3,14.7,14.1,11.1,11.5,10.7,3.8,-6.6,-5.4,-2.1,0.8,-0.8,-1.2,8.8,18.1,17.1,10.2,6.7,3.8,3.4,-1.3,-0.9,0.9,1.2,5.8,5.3,-0.6,-5.4,-4,0.1,0.6,1.1,3.3,5.5,9.2,18.9,-1.3,11.3,4.1,4.4,5.1,2.2,-1,-10.4,2.5,1.6,1.2,-2.7,2.3,1.5,0.3,1.4,-2.4,-1.9,-2.7,0,0.8,0.4,1.4,0.6,1.3,-0.4,1.2,1.2,0.8,1,0.3,-0.6,4.7,0.5,6.4,0.7,2.9,1,8.1,-0.9,9.1,0.5,5.2,1.6,2.2,2.8,5.7,5.8,5.1,3.3,10.5,5.8,6.8
"19","11","      Equipment","Y033RV1",NA,18,9.3,3.8,-2.2,12.3,17.7,7.4,-0.6,2.4,-1.3,-4.4,1.3,6.9,8.6,12.1,13.2,5.2,1.9,4.9,1.3,2.4,-1.5,-0.5,-0.6,1.8,1.8,-0.8,6.5,6.4,-4.7,0.9,-3,1.9,7.5,8.5,7.5,6.7,10.1,6.6,7.9,0.2,3.2,6.2,-0.5,2.4,0.4,0.7,2.9,2.5,2,0.9,-0.7,2,0.7,-0.4,-1.1,-1.2,-1.1,-0.7,-0.2,0,0.1,-1.4,-0.3,-0.8,-0.2,-0.2,0.2,0.3,-0.2,-0.3,0.7,-0.2,1.4,-1.5,-0.4,1.2,1.2,3,2.3,2.2,2.7,3,1.5,3.5,3.4,4.1,1.4,2.1
"20","12","      Intellectual property products","Y001RV1",NA,4.2,8.7,9.6,1.3,6.8,5.5,-2.4,0.4,-2,-1.1,-0.2,0.3,4.6,9.2,9.7,4.4,6.4,3.4,3.4,-1.6,-0.1,1.7,0.9,3.8,1.6,1.1,-0.2,2.1,-0.7,0.2,0.5,7.2,1.1,2.7,2.7,5.5,4.2,4.1,2.7,4.3,2.5,2.4,1.1,4.8,1.9,1.2,1.2,-0.2,3.4,3,2.6,0.9,0.3,1.1,0.7,0.3,0.4,1.2,1,0,0.7,0,0.1,-1.2,0.5,1.4,1.9,1.7,2.1,1.2,0.2,-0.3,1.1,1.6,1.1,2.2,1.7,0.9,1.2,0.5,2.1,2.7,3.7,4.6,2.8,3,4.2,5.3,4.2
"21","13","    Residential","A011RV1",NA,24.1,9.1,10.3,7.4,4.4,9.5,2.2,3.2,-0.5,-9,0.2,-0.5,10.7,16.1,-0.7,13.8,4.7,2.1,3.7,2.1,3.5,3.8,-2.4,0.3,0.5,3.5,-1.6,-2.2,1.2,4.8,-0.2,1.8,3.4,2.8,0.2,3.3,6.2,0.7,-1.8,-1.2,1,2.8,-1.5,-1.8,0.4,0,0.3,0.6,0.3,-0.1,0.3,1.2,1.5,0.1,0.4,-1.3,1.6,0.1,-0.3,0.7,0,-0.2,-0.5,0.1,-1.6,-4.4,2.7,-3.7,6.6,1.3,8.9,-0.4,0.4,-0.2,11.3,-5.4,15.3,-2.4,9.1,0.8,1.2,2.3,7.5,7.3,3.6,0.2,16.7,8.4,5.9
"22","14","  Change in private inventories","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","15","Net exports of goods and services","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","16","  Exports","A020RV1",NA,33.1,22,10.2,2.5,-2.1,-4.6,-6.1,-6.9,-7.2,-6.2,-4.2,-6.3,0.8,3.7,7.6,25.9,15.4,12.2,6.7,-9.6,-1.2,-0.8,-0.6,1.6,-0.7,-1.3,-1.7,-1.9,-1.4,-0.8,-0.1,1.2,1.7,2.1,2.8,3.2,4.2,4.6,4.7,5.6,3.1,1.2,-0.5,-3.8,-1.6,-0.3,0.7,-2.2,0.5,3.4,4.3,0.6,-0.6,1.9,-1.3,1.9,5.4,-0.7,3,0.7,-3.7,-0.3,0.6,0.6,-0.6,-0.9,0.4,1,-0.1,3.2,4.4,9.4,-1.3,0.4,-1.5,6.9,3.4,4.8,7.1,7.3,-0.6,-0.5,2.2,2.9,8.5,-4.8,2.8,6.1,0.7
"25","17","    Goods","A253RV1",NA,43.9,28,12.7,2.6,-2.8,-5.9,-7.6,-8.3,-8.9,-7.6,-5.3,-7.4,0.6,4.1,8.7,30.3,17.3,12.9,6.5,-11.8,-2.9,-2.2,-1.7,1.4,-1.3,-1.6,-1.8,-1.9,-1.3,-0.7,-0.1,1.1,1.9,2.4,3.2,4.2,4.6,4.8,4.4,4.6,2.2,0.4,-0.9,-3.9,-1.4,0.3,1.6,3.2,-2.1,0.5,4.3,-0.4,-0.6,2,-1.5,3.5,6.3,-1.9,3.2,-1.6,-5.5,-0.6,0.3,1.7,-0.9,-1.6,-0.2,2.2,-1.5,3.3,5,11.2,-1.6,0,-2.4,8.8,3.4,5.5,8.4,9.2,-1.9,-1.7,1.5,1.9,10.5,-7.1,2.5,7,-1.1
"26","18","    Services","A646RV1",NA,-16.3,-9,-3.2,3.3,2.5,3.3,2.9,1.7,2.2,1.3,1.4,-1.1,1.8,1.9,2.3,6.7,6.7,8.4,8.1,1.7,7,5.9,4.6,2.7,2,0,-1.3,-1.6,-2.1,-1.2,-0.2,1.5,1.1,1,1.2,-1.4,2.4,3.8,5.8,10.5,7.1,4.7,1.3,-3.7,-2.3,-2.7,-3.1,-16.5,8.4,11.8,4.4,3.3,-0.9,1.6,-0.3,-3.2,2.9,3.1,2.4,8.2,1.5,0.7,1.1,-2.7,0.2,1.2,2.6,-2.8,4.3,2.9,2.6,3.8,-0.4,1.6,1.8,0.8,3.3,2.8,3.1,1.5,3.3,3.4,4.2,5.9,3,2.3,3.8,3.5,5.8
"27","19","  Imports","A021RV1",NA,31.3,23.2,14.3,9.7,1.4,-3.9,-6.3,-8.7,-4.1,-1.7,1.6,7.7,8.8,13.5,19.9,37.6,23.3,12.1,1.6,-15.3,-6.3,-6.8,-6.4,-3.4,-3.9,-1.8,0.1,4.7,1.9,2.6,0.3,-4.9,0.3,0.8,1.2,1.2,3.1,2.4,3.8,1.8,0.3,-2.4,-4,-9.2,-4.1,-0.6,1.1,0.7,2,1.9,4,-1.2,-0.1,2,-1.1,0.4,-0.4,-0.4,-0.2,-4.5,0.6,-1.4,2.1,3.7,1.8,2.4,2.2,3.6,2,-0.6,1.2,3.3,-1.7,2.8,4.3,1.9,4.3,-1.1,2.4,0,-1,0.1,0.2,2.7,3.1,0.8,2.9,1.7,1.8
"28","20","    Goods","A255RV1",NA,44.5,31.5,18.9,8.9,1.3,-4.9,-7.6,-9.3,-4.6,-2,2.1,11.6,10.8,16.3,23.8,45.4,29.2,16,3.2,-22.3,-6.8,-7.5,-6.8,-3.4,-3.7,-1,1.1,5.1,2.8,3.9,0.6,-5.3,0.6,1,1.3,1.2,3.5,2.3,4.7,0.7,0.3,-3,-4.9,-11.3,-5.3,-0.7,0.8,-1.5,3.6,3,5.5,-1.2,-0.7,0.6,-2.8,-0.6,-1.4,-0.1,-0.2,-6.5,-0.8,-3.2,-0.5,2.6,1.8,2.8,2.4,6.1,2.2,-1.5,1,1.4,-3.3,3.1,4.5,0.4,6.1,-1.5,3.3,-1.4,-1.6,0,0.1,2.8,3.1,-0.3,3.3,2.4,1.6
"29","21","    Services","A656RV1",NA,-2.4,0.1,2.4,12.6,2.1,-0.2,-2.2,-6.7,-2.8,-1.5,-0.5,-3.7,3.1,5.1,6.5,11.9,4.2,1.7,-0.9,7,-4.3,-4.8,-5.5,-3.8,-4.6,-3.5,-2.1,3.7,-0.1,-0.1,-0.3,-4,-0.5,0.2,1.1,1,2.4,2.6,2.1,4.1,0.3,-1.2,-2,-4.9,-2,-0.4,1.5,5.3,-1.1,-0.1,0.7,-1.2,1.1,5.1,2.5,2.5,1.4,-1,-0.1,-0.4,3.7,2.5,7.8,6,1.8,1.5,1.8,-1.6,1.6,1.6,1.9,7.7,2.2,2.2,3.7,5.7,0,0,0,3.3,0.3,0.4,0.5,2.5,3,4,1.6,-0.2,2.3
"30","22","Government consumption expenditures and gross investment","A822RV1",NA,-1,-7.6,5.1,7.2,5.1,8.3,2.5,6.1,-2.7,-3.5,4.8,-1.3,-1.4,7.8,3.2,18.4,-2.8,3,5.6,-3.6,5.2,4.6,4.4,-2.4,0.7,-1.1,1.7,2.4,4.1,2.6,3.5,2.1,7,4.3,4.7,6.9,6.3,3.7,2.4,7,4.1,2.6,3.2,2.7,3.7,2.8,1.9,1.8,-0.4,-0.3,0.3,1.4,0.6,4,3.7,0.2,2.4,0.1,2.2,3,1.9,1.2,1.4,6.2,0.8,-1.7,7.2,2.9,1,4,0.5,2.8,2.3,4.2,6.3,2.8,2.8,6.3,1.9,1.6,4.1,4.5,6.4,5,5.1,5.6,6.8,3.1,6.8
"31","23","  Federal","A823RV1",NA,-4.7,-15.6,0.4,2.5,3,4,0,13.1,-0.4,-5.2,10.2,0.4,-4.2,4.9,-2.6,21.3,-7.4,1.1,6,-5.2,5.3,3.2,6.1,-4.8,1.4,-1.3,2.8,4.1,2,2.7,3.9,4.5,9.9,3,4.6,5.6,6.9,1.9,1.6,8.7,3.1,3,5,4.6,3.7,3.3,2.5,-0.2,-0.7,-0.2,0.2,-0.4,-0.4,5.3,4.8,-1.5,1.3,-1.6,1.9,2.1,2.3,1.9,0.7,7.7,-0.3,-3.4,10,3.9,0.4,5.6,-0.6,1.4,2.1,4.6,8.9,0.7,0,7.1,0,-1.4,4.4,3.6,7.3,3.4,4.6,6.9,5.8,0.7,5.7
"32","24","    National defense","A824RV1",NA,-2.1,-27.9,-0.4,9.4,6,5.9,1,7.1,-1.5,-2.5,6.7,1.1,-2.4,8.8,1.2,11.1,-7,0.7,6,-7.3,5.4,3.1,6.1,-5.8,1.2,-2.3,2.7,5.4,1.5,3.6,4.2,3.4,10.4,5.2,5.1,6.4,6.7,2.2,2,9,2.3,3.2,4.5,4.5,3,4.4,2.1,-1.9,-0.3,0.9,0.4,-0.5,-0.6,3.9,5.1,-2.1,1.3,-2,1.8,1.8,2.6,2.1,-1.2,10.1,-0.4,-4.5,11.9,3.2,-0.8,5.5,-0.9,1.4,2.7,5.3,10.2,-0.5,-0.1,8.5,-0.8,-1.8,4.9,4.2,8.4,2.1,4.6,6.9,5.5,0.4,6.2
"33","25","    Nondefense","A825RV1",NA,-17.4,58,6.3,-22.5,-6.8,-0.7,-2.6,33.1,3,-12.1,21.1,-0.8,-8.2,-7.9,-17.9,82.4,-12.5,2.2,5,13.6,5.2,3.5,5.9,2.7,2.6,5.3,3.5,-4.2,5.4,-3.2,2.6,11.5,6.8,-9.1,1.3,0.8,7.9,0,-1.3,7.3,8.8,1.3,8.7,4.8,8.3,-3.2,5.4,10.5,-3,-5.3,-0.4,-0.3,0.5,12.7,3,1.8,1.2,0.3,2.4,3.3,1.2,0.8,9.2,-1.6,0.3,1.2,3.4,6.4,4.9,6.1,0.2,1.2,0.2,2.2,5.2,4.3,0.7,2.4,2.6,0.1,2.5,1.3,3,8.5,4.7,6.8,6.7,1.9,3.9
"34","26","  State and local","A829RV1",NA,6.9,9,13.6,15.3,8.8,15.5,6.7,-4.2,-6.2,-0.7,-2.8,-3.7,2.9,11.9,11.8,14.2,6.7,7.4,5.1,0.6,5,8.5,-0.2,4.3,-1.4,-0.3,-0.9,-1.4,9.4,2.4,2.4,-2.7,1.6,6.8,5,9.4,5.4,6.9,3.9,4,6,1.9,0,-0.3,3.7,2,0.9,5.3,0,-0.4,0.4,4.3,2,2.2,1.9,2.7,4.1,2.6,2.8,4.4,1.1,0.3,2.6,3.9,2.4,0.9,3.2,1.4,1.9,1.9,1.9,4.7,2.5,3.6,3.1,5.6,6.6,5.2,4.7,5.7,3.7,5.7,5.1,7.3,5.7,4.1,8.2,6.1,8.2
"35",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","27","  Gross national product","A001RV1",NA,5.6,6.5,8.5,4.6,4.7,7.1,-0.2,-1.3,-2.5,-3,0.1,-1.3,1.7,8.6,6.5,14.1,2.3,1.4,5.4,0.5,1.6,3,1.4,0.5,0.9,1.5,1.2,1.7,0.8,-0.3,0.6,1.6,2.3,2.8,2.7,4,3.8,4.5,2.5,4.6,2.9,3.1,2.3,3.4,1.7,1,0.5,2,1.1,1.7,1.6,0.8,1.5,1.8,1.8,0.5,0.8,0.9,1,2,1.1,0.9,0.9,2,0.3,0.4,2.6,1.5,1.2,2,1.7,1.8,1.9,1.9,2.6,2.5,3.7,3.6,3.3,1.7,2.4,3.6,4.5,4.5,4.5,3.9,5.7,4.1,5.4
"37",NA,"  Implicit price deflators:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","28","    Gross domestic product \1\","A191RI1",NA,5.8,6.8,10.2,3.1,3.6,7.6,1.2,-2.1,-4,-2,0.3,-0.8,1.4,9,7.7,15.2,2.7,0.2,4.7,-0.2,0.5,4.5,1.1,0.1,0.8,1.7,0.8,1.2,0.4,0.5,1.1,1.9,1.7,2.8,4,4.1,2.4,5.1,1.7,5.5,2.8,2.4,0.2,4.4,1.1,2.5,1.9,1.1,0.6,1.5,1.6,1.6,1.1,1.5,1.2,0.9,1,1,1.3,2.1,0.7,0.8,0.8,1.8,0.7,0.5,3.3,1.3,1,1.6,1.8,2,1.8,1.6,2.7,2.6,3.3,3.9,3.4,1.7,2,3.9,4.5,4.5,4.3,4,5.8,4.2,5.2
