"","Table 3#2# Federal Government Current Receipts and Expenditures ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","  Taxes on production and imports \2\","W007RC1",1.1,1,0.8,0.9,1.6,2.1,2.1,2.2,2.4,2.2,2.3,2.6,3.5,4,4.8,6,6.9,7.7,7.7,7.8,7.9,8.7,9.2,10.1,10.7,9.5,10.4,11,11.5,11.2,12.2,13.1,13.2,14.1,14.7,15.4,15.4,14.4,15.2,16.9,17.8
"12","5","    Excise taxes","B234RC1",0.6,0.5,0.5,0.6,1.2,1.8,1.7,1.7,1.8,1.7,1.8,2.1,2.8,3.4,4.1,5.2,6.2,7.2,7.2,7.4,7.5,8.2,8.6,9.6,10.1,9,9.8,10.2,10.7,10.4,11.2,12,12.1,12.9,13.5,14.1,13.8,12.6,13.3,14.6,15.4
"13","6","    Customs duties","B235RC1",0.6,0.5,0.4,0.2,0.3,0.3,0.4,0.4,0.5,0.3,0.3,0.3,0.4,0.3,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.5,0.6,0.6,0.6,0.5,0.7,0.7,0.8,0.8,1,1.1,1,1.2,1.2,1.3,1.6,1.9,1.9,2.3,2.4
"14","7","  Taxes on corporate income","B075RC1",1.2,0.7,0.4,0.3,0.5,0.6,0.8,1.3,1.3,0.9,1.3,2.6,7.3,11.1,13.6,12.5,10.2,8.6,10.7,11.8,9.6,17.2,21.7,18.6,19.5,16.9,21.1,20.9,20.4,18,22.5,21.4,21.5,22.5,24.6,26.1,28.9,31.4,30,36.1,36.1
"15","8","    Federal Reserve banks","B677RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.9,0.9,0.7,0.8,0.9,1.6,1.3,1.6,1.9,2.5,3
"16","9","    Other","A678RC1",1.2,0.7,0.4,0.3,0.5,0.6,0.8,1.3,1.3,0.9,1.3,2.6,7.3,11.1,13.6,12.5,10.2,8.6,10.6,11.6,9.4,17,21.4,18.3,19.1,16.6,20.8,20.5,19.9,17.4,21.6,20.6,20.8,21.7,23.7,24.6,27.6,29.8,28.1,33.6,33
"17","10","  Taxes from the rest of the world","W008RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.4
"18","11","Contributions for government social insurance","W780RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,1.5,1.6,1.8,1.9,2.3,2.9,3.8,4.3,5.3,6.5,5.4,4.4,4.7,5.3,6.4,6.7,6.8,7.8,8.8,9.6,11,11,13.5,16,16.6,18.6,21.1,21.8,22.7,30.6,34.1,37.9,43.3
"19","12","Income receipts on assets","W009RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.5,1.6,1.8,1.9,1.9,2,2.2,2.6,3.1,2.8
"20","13","  Interest receipts \3\","B094RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,1.4,1.6,1.7,1.7,1.8,2,2.3,2.7,2.5
"21","14","  Dividends","W053RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","15","  Rents and royalties \4\","B1040C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3
"23","16","Current transfer receipts","W011RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.9,1,1,1,1
"24","17","  From business","W012RC1",0.1,0.1,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.6,0.9,1,0.9,0.9,0.9
"25","18","  From persons","B233RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0.1,0,0.1
"26","19","Current surplus of government enterprises \5\","B097RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.5,-0.7,-0.9,-0.9,-0.7,-0.8,-0.9,-1.2,-1.3,-1,-1.3
"27","20","    Current expenditures","W013RC1",2.9,3,4.3,3.2,3.7,5.9,5.9,8.2,6.8,7.8,8.8,9.2,14.3,33.7,55.5,69.5,73.6,47.6,40.4,41.5,46.4,47,58.5,67.9,72.8,70.5,71.6,74.4,81.9,88.1,90.5,93.4,99.8,108.5,113.5,118.2,125.9,144.3,165.7,184.3,196.9
"28","21","Consumption expenditures","A957RC1",1.6,1.7,1.6,1.5,1.8,2.6,2.3,4.5,4,4.6,5,5.2,10.6,29.3,50.5,62.7,62.8,29,23,22.7,24.6,23.9,37.4,47.6,51.6,47.2,46.8,47.4,50.9,52.6,51.8,50.9,52.7,59,61.2,63.1,66.5,76.5,88,96.8,100.4
"29","22","Current transfer payments","W014RC1",0.8,0.8,2,1,1.1,2.2,2.3,2.7,1.5,1.8,2,2,1.9,2.1,1.9,2.4,5.2,11.8,11.3,12.4,15.1,15.6,13,12.3,13,14.8,16,16.7,19.3,23.4,26.2,27.4,31.2,32.2,33.8,34.9,37.9,43.7,52,58.8,64.5
"30","23","  Government social benefits","W015RC1",0.6,0.7,1.7,0.9,0.6,0.5,0.5,2,0.7,1.1,1.1,1.3,1.2,1.3,1.1,1.7,4.1,8.7,8.4,7.2,8.2,10.2,7.9,8.1,8.7,10.7,11.5,12.3,14.5,18.2,18.6,20.1,23.4,23.8,25,25.5,27.7,30.3,37.1,42.4,46.3
"31","24","    To persons","B087RC1",0.6,0.7,1.7,0.9,0.6,0.5,0.5,2,0.7,1.1,1.1,1.3,1.2,1.3,1.1,1.7,4.1,8.7,8.4,7.2,8.2,10.2,7.9,8.1,8.7,10.7,11.5,12.3,14.5,18.2,18.6,19.9,23.1,23.5,24.6,25.2,27.3,29.9,36.5,41.9,45.8
"32","25","    To the rest of the world \6\","W016RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.3,0.3,0.3,0.3,0.5,0.5,0.6,0.6,0.6
"33","26","  Other current transfer payments","W010RC1",0.1,0.2,0.3,0.2,0.5,1.6,1.7,0.8,0.8,0.7,0.9,0.7,0.6,0.8,0.8,0.8,1.1,3.1,2.9,5.2,6.9,5.4,5.1,4.3,4.3,4.1,4.5,4.4,4.7,5.2,7.6,7.3,7.8,8.4,8.8,9.4,10.1,13.4,14.9,16.4,18.2
"34","27","    Grants-in-aid to state and local governments","B089RC1",0.1,0.1,0.3,0.1,0.5,1.6,1.7,0.7,0.7,0.6,0.9,0.7,0.6,0.7,0.8,0.8,0.8,0.9,1,1.4,1.8,1.8,2,2.1,2.2,2.2,2.3,2.4,2.8,3.2,3.6,3.8,4.3,4.7,5.2,6,6.6,9.4,10.9,11.8,13.7
"35","28","    To the rest of the world (net) \6\","W017RC1",0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,-0.1,-0.1,0.3,2.3,2,3.8,5.1,3.6,3.2,2.2,2.1,1.9,2.2,2,1.9,2,4,3.5,3.5,3.6,3.6,3.4,3.6,4,4,4.5,4.5
"36","29","Interest payments \3\","A091RC1",0.3,0.3,0.4,0.5,0.5,0.6,0.6,0.6,0.8,0.7,0.8,1,1.1,1.4,2.2,3,4,5.1,5.4,5.6,5.9,6.2,6.5,6.8,7.2,7.6,7.9,8.8,9.9,10,11.4,13.9,13.9,15.1,16.3,17.5,18.6,20.3,21.9,24.6,27.5
"37","30","  To persons and business \3\","B092RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5,13.6,14.8,15.9,17,18.1,19.7,21.3,23.9,26.7
"38","31","  To the rest of the world","B093RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.5,0.6,0.7,0.8
"39","32","Subsidies \5\","B096RC1",0.1,0.2,0.2,0.2,0.3,0.6,0.8,0.5,0.5,0.6,1,1,0.7,0.8,1,1.4,1.6,1.7,0.7,0.8,0.8,1.2,1.4,1.2,1,0.9,0.9,1.5,1.9,2.1,1.1,1.1,2,2.3,2.2,2.7,3,3.9,3.8,4.1,4.5
"40","33","    Net federal government saving","A923RC1",0.8,0,-2.3,-1.6,-1.2,-2.6,-2.3,-3.6,-0.2,-1.8,-2.5,-1,0.6,-11.4,-17.1,-29.5,-32.1,-8.2,2.4,0.9,-8.5,1.8,4.5,-2.1,-4.2,-8,-0.6,1.4,-2.6,-12,-3.9,0.2,-4.7,-5.3,-2.1,-6.9,-5.5,-7,-19.5,-13.7,-5.1
"41","34","Social insurance funds","B243RC1",0.1,0.1,0.1,0,0,0,0,0.2,1.4,1,1,1,1.6,2.2,3.3,3.9,4.3,3.2,3.2,2.4,1.5,-0.3,2.6,2.7,2.1,1.2,1.5,1.7,1.1,-2.7,-0.7,0.4,-2.3,-0.6,0.8,1.3,0.4,6,4.1,3.2,5.7
"42","35","Other","B244RC1",0.7,-0.1,-2.4,-1.6,-1.2,-2.6,-2.3,-3.9,-1.6,-2.7,-3.6,-2,-1,-13.6,-20.3,-33.3,-36.3,-11.4,-0.8,-1.5,-10,2.1,1.8,-4.8,-6.2,-9.2,-2.1,-0.3,-3.7,-9.4,-3.2,-0.2,-2.4,-4.8,-3,-8.1,-5.9,-13,-23.6,-16.9,-10.8
"43",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","36","  Total receipts","W018RC1",3.8,3,2,1.7,2.6,3.5,3.9,5,7,6.4,6.6,8.5,15.3,22.7,38.9,40.6,42.2,40.2,43.6,43.3,38.6,49.4,63.6,66.6,69.5,63.4,72,77.1,80.7,77.4,88,95.3,97,105.2,113.6,113.9,123.2,140.4,149.3,173.7,195.4
"45","37","    Current receipts","W005RC1",3.7,2.9,1.9,1.6,2.6,3.4,3.7,4.6,6.6,6,6.3,8.2,14.9,22.3,38.5,40.1,41.5,39.5,42.8,42.4,37.9,48.8,62.9,65.8,68.6,62.5,71.1,75.8,79.3,76.1,86.6,93.6,95.1,103.2,111.3,111.3,120.4,137.4,146.3,170.6,191.8
"46","38","    Capital transfer receipts","B232RC1",0.1,0.1,0.1,0,0.1,0.1,0.2,0.4,0.4,0.4,0.4,0.3,0.4,0.5,0.5,0.6,0.7,0.7,0.8,0.9,0.7,0.6,0.7,0.8,0.9,0.9,1,1.3,1.4,1.3,1.4,1.8,2,2.1,2.2,2.6,2.8,3,3.1,3.1,3.6
"47","39","  Total expenditures","W019RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.2,111.8,121.5,125.9,130.8,137.1,158.4,179.3,196.4,207.9
"48","40","    Current expenditures","W013RC1",2.9,3,4.3,3.2,3.7,5.9,5.9,8.2,6.8,7.8,8.8,9.2,14.3,33.7,55.5,69.5,73.6,47.6,40.4,41.5,46.4,47,58.5,67.9,72.8,70.5,71.6,74.4,81.9,88.1,90.5,93.4,99.8,108.5,113.5,118.2,125.9,144.3,165.7,184.3,196.9
"49","41","    Gross government investment","A787RC1",0.2,0.3,0.4,0.5,0.7,0.9,1.2,1.3,1.3,1.3,1.2,1.6,8.5,27.4,39,37.4,24.5,3.1,2.8,4.4,5.9,5.5,12.5,17.2,18.7,16.1,14.2,15.8,17.6,18.9,21.8,21.9,24.6,26.5,26.7,27.1,26.7,30.1,31.9,31.1,30.7
"50","42","    Capital transfer payments","W020RC1",NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.4,0.4,0.4,0.5,0.6,0.6,0.7,0.8,1.3,2.3,3.1,2.6,2.9,3.1,3.6,4.1,4,4.4,4.3,6,5.9
"51","43","    Net purchases of nonproduced assets","AD08RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,0.6,0.5,0.6,0.5,0.6,-0.2,-0.9,0.1
"52","44","    Less: Consumption of fixed capital","A918RC1",0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.9,2.2,5,7.9,9.3,10,9.6,8.4,7.6,6.9,7.4,8.3,9.2,10.1,10.7,11.7,12.7,13.4,14.3,15.1,16,17.1,18.3,19.2,20,21,22.4,24.1,25.8
"53","45","  Net lending or net borrowing (-)","AD02RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.9,-14.7,-16.3,-12.3,-16.9,-13.9,-18,-30,-22.7,-12.5
"54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","1. Includes dividends tax for 1933-34 and automobile use tax",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","for 1942-46 as shown in table 3.4.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","2. Includes the capital stock tax for 1933-45 as shown in table 3.5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","3. Prior to 1960, interest payments to persons and business (line 30)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","and interest receipts (line 13) are not shown separately, but are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","included in interest payments (line 29), which is shown net of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","interest receipts.  Interest payments to persons and business includes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","interest accrued on the actuarial liabilities of defined benefit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","pension plans for federal government employees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","4. Rents and royalties are receipts from the leasing of federally owned",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","lands and mineral deposits. These values do not include bonus payments",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","made to secure such leases.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","5. Prior to 1959, subsidies (line 32) and the current surplus of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","government enterprises (line 19) are not shown separately; subsidies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","are presented net of the current surplus of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","6. Prior to 1960, government social benefits to the rest of the world",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","(line 25) are included in line 28, ""Other current transfer payments to the rest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","of the world (net).""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
