"","Table 2#3#4# Price Indexes for Personal Consumption Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185"
"11","3","  Durable goods","DDURRG3",58.436,58.874,59.155,59.52,59.622,59.857,60.297,61.3,62.168,62.61,62.471,62.15,62.686,63.007,63.329,63.126,63.387,63.886,64.202,64.407,65.12,66.769,69.313,71.48,72.6,73.905,74.715,75.864,76.889,77.743,78.684,80.015,80.838,81.249,82.094,83.192,84.385,85.672,87.059,88.583,90.021,91.605,92.657,94.326,97.091,99.383,101.195,102.929,104.237,106.202,107.772,109.175,110.092,110.949,111.346,111.67,112.47,112.89,113.508,114.214,114.247,114.956,115.184,115.395,115.983,116.253,116.055,116.356,116.382,116.918,117.894,118.562,119.561,120.498,121.36,121.854,121.642,122.315,123.186,124.102,124.731,124.832,125.113,125.523,126.19,126.203,126.259,126.514,127.596,127.917,128.391,128.667,128.661,129.012,129.118,129.32,129.255,129.936,130.569,131.431,131.735,132.521,133.455,133.682,134.217,134.071,133.639,133.342,133.442,132.563,132.217,131.645,131.137,129.873,129.003,128.283,127.341,126.391,125.425,124.492,123.445,122.831,122.264,121.538,120.973,120.717,119.978,119.689,119.152,118.306,117.525,116.946,115.926,115.36,114.801,114.051,112.601,111.388,110.274,109.278,109.19,109.104,108.28,108.432,108.211,108.074,107.312,107.078,106.653,106.186,105.737,105.086,104.56,104.09,103.408,102.999,102.678,101.892,101.61,100.853,100.346,100.216,99.539,99.899,99.506,98.902,98.275,97.803,97.672,98.068,97.841,97.317,97.132,96.761,96.205,95.766,95.52,95.06,94.45,93.82,93.148,92.721
"12","4","    Motor vehicles and parts","DMOTRG3",34.956,35.147,35.238,35.528,35.574,35.789,36.315,37.442,38.308,38.499,37.944,37.387,37.946,38.244,38.448,37.88,38.036,38.366,38.442,38.371,38.413,39.533,41.607,43.098,43.531,44.332,44.981,45.879,46.741,47.484,48.395,49.767,50.231,50.424,50.922,52.053,53.065,53.781,54.921,55.975,57.081,58.368,58.935,59.777,61.3,62.254,63.32,64.641,65.356,67.216,68.675,69.725,70.174,70.892,71.344,71.408,72.321,72.71,73.39,74.272,74.36,75.136,75.707,75.854,76.566,76.854,77.124,77.485,77.833,78.545,79.672,80.475,81.009,82.415,83.563,84.019,83.107,83.451,84.515,85.134,86.167,86.597,86.483,86.894,87.003,86.538,86.556,87.159,88.479,88.923,89.61,90.014,89.942,90.643,91.303,91.874,92.621,93.879,95.176,96.412,96.977,98.053,99.543,101.067,102.198,102.908,102.799,103.411,104.522,104.57,104.931,105.543,105.897,105.279,104.974,105.011,104.356,103.739,104.179,104.309,104.05,104.039,104.797,104.961,104.553,105.013,104.698,105.124,105.447,105.288,104.984,105.314,104.789,104.603,104.904,104.522,102.924,102.256,101.514,100.346,100.495,100.875,100.575,101.822,102.405,102.806,102.048,102.7,102.941,102.684,102.522,102.05,101.843,101.895,102.018,102.172,101.329,100.028,99.304,97.949,97.787,98.802,100.076,103.335,104.946,105.543,106.175,106.278,106.997,108.975,109.844,109.758,109.907,110.584,110.493,110.584,110.877,111.107,111.197,111.109,110.683,110.781
"13","5","    Furnishings and durable household equipment","DFDHRG3",51.482,51.993,52.399,52.748,52.982,53.218,53.321,53.641,53.919,54.18,54.423,54.495,54.657,54.842,55.121,55.482,55.777,56.107,56.511,56.897,57.954,59.651,61.931,64.115,65.573,66.679,67.327,68.294,69.112,69.633,70.078,70.575,71.447,71.971,72.8,73.484,74.104,75.518,76.628,78.11,79.331,80.327,81.132,82.555,84.757,86.718,88.395,89.747,91.508,93.168,94.761,96.017,97.414,98.768,98.957,99.666,100.257,100.8,101.277,101.669,101.685,102.21,102.213,102.793,103.013,103.68,102.893,103.798,103.716,104.206,104.731,105.087,105.646,106.013,106.433,106.247,106.665,107.602,107.815,108.308,107.829,107.261,108.184,108.399,108.864,108.976,109.221,108.98,109.198,109.478,110.125,109.725,110.8,111.027,110.827,111.068,110.621,111.425,111.584,112.445,112.733,113.477,113.855,112.899,112.989,112.632,113.381,113.254,113.488,113.288,113.614,113.149,113.301,113.606,113.104,112.857,113.071,113.62,113.203,112.595,112.413,111.917,111.478,110.798,111.208,111.006,110.827,110.333,109.857,109.155,108.74,108.025,107.245,107.151,106.507,105.87,105.193,104.059,102.954,102.552,102.761,102.53,101.943,102.404,102.605,102.97,102.161,101.986,101.98,101.881,101.862,101.893,101.627,101.552,100.888,100.233,100.548,99.953,100.54,100.519,100.896,101.061,99.584,98.458,97.55,96.321,95.041,94.132,94.073,94.45,94.531,93.912,94.294,94.197,93.954,93.474,93.41,92.775,91.459,90.651,90.045,89.017
"14","6","    Recreational goods and vehicles","DREQRG3",216.489,217.932,218.709,218.7,218.009,217.366,217.548,220.083,222.797,225.957,227.6,227.704,228.398,228.886,229.616,230.263,231.126,232.272,233.24,234.569,237.229,240.418,245.248,249.573,253.461,259.134,260.631,263.605,265.395,267.592,268.571,270.973,273.348,274.696,277.08,278.262,281.414,285.418,286.662,289.48,293.025,297.416,300.015,303.394,308.444,312.949,317.28,321.521,324.854,328.525,329.875,333.448,335.944,337.376,337.115,336.666,335.251,333.323,331.387,331.02,329.742,328.952,327.038,326.408,326.673,323.53,320.733,318.143,315.349,312.712,310.704,309.406,311.385,308.825,305.606,306.58,306.421,306.414,305.206,306.457,306.912,305.064,304.008,305.255,304.344,303.306,302.451,301.231,301.933,300.796,296.878,296.35,293.53,291.949,287.883,285.852,282.628,279.936,278.266,276.795,275.266,274.781,273.522,270.773,269.051,265.275,259.418,254.603,251.145,245.484,240.947,236.464,231.285,224.398,220.311,216.522,211.915,207.48,201.435,196.349,192.157,188.764,184.322,180.747,177.903,176.44,173.854,171.129,167.402,164.233,161.373,158.667,155.689,153.467,151.156,149.14,146.675,143.65,141.006,139.627,138.3,137.057,134.805,132.701,130.663,129.271,127.818,125.675,123.61,121.657,119.695,117.352,115.184,113.411,111.045,109.605,108.546,107.049,106.119,104.961,103.027,101.22,98.771,96.981,95.335,93.593,91.938,90.55,88.906,87.512,85.947,84.49,83.362,82.094,80.831,79.673,78.688,77.554,76.582,75.724,74.851,74.382
"15","7","    Other durable goods","DODGRG3",31.908,32.229,32.452,32.709,32.869,33.087,33.272,33.427,33.674,33.889,34.257,34.478,34.822,35.004,35.306,35.575,35.632,36.191,36.617,36.859,37.733,38.586,39.464,40.693,41.313,41.834,42.383,42.843,43.353,43.715,44.428,45.08,45.578,45.765,46.326,46.651,47.37,48.036,49.077,50.068,50.671,51.576,52.98,55.374,59.372,63.28,64.96,66.063,66.414,66.623,66.998,67.598,67.682,67.092,67.487,67.953,68.685,69.413,70.307,70.524,70.859,71.409,71.335,71.282,71.468,72.093,72.252,72.18,72.346,73.05,74.317,75.082,76.951,77.939,79.493,80.483,81.913,83.02,84.437,86.057,86.575,87.468,88.511,88.468,91.549,93.559,93.826,94.214,95.265,95.785,97.34,98.568,98.595,98.821,99.859,99.902,99.689,99.856,100.075,100.613,101.06,101.285,102.218,102.063,102.688,102.888,103.804,104.012,103.465,102.81,102.778,101.875,101.798,101.401,101.399,100.562,100.606,99.854,98.849,98.444,97.051,97.453,96.738,96.496,96.58,95.503,94.863,95.663,96.286,96.075,95.963,95.503,95.21,94.935,94.21,93.954,93.259,92.906,92.905,92.024,92.46,92.951,92.409,92.308,91.965,91.493,91.951,92.388,92.267,93.07,93.691,94.309,95.407,95.335,95.757,96.372,97.602,98.979,99.445,99.439,99.559,99.892,99.803,100.745,99.839,100.247,100.33,101.305,102.513,103.638,103.73,104.549,104.879,104.03,103.69,103.921,104.039,104.087,104.118,103.297,102.552,102.165
"16","8","  Nondurable goods","DNDGRG3",23.63,23.96,24.295,24.553,24.869,25.114,25.283,25.509,25.55,25.817,26.043,26.209,26.495,26.557,26.791,27.1,27.678,28.513,29.238,30.136,31.69,32.848,33.773,34.731,35.226,35.353,36.14,36.605,36.651,36.649,37.105,37.586,38.274,38.976,39.38,39.841,40.372,41.341,42.021,42.739,43.932,45.422,46.894,48.165,50.018,51.24,52.325,53.457,55.037,55.582,56.02,56.39,56.651,56.648,57.379,57.411,57.252,57.969,58.406,58.379,59.059,59.095,59.229,59.444,59.859,60.227,60.348,60.825,60.519,59.075,59.228,59.357,60.681,61.348,61.932,62.319,62.521,63.15,63.984,64.454,65.337,67.06,67.003,67.315,69.016,69.411,70.87,72.706,72.345,72.465,72.531,72.897,73.023,73.387,73.915,74.129,74.35,74.255,73.947,74.295,74.084,74.244,75.012,75.09,75.067,75.347,75.508,75.627,76.374,77.172,77.058,77.773,78.081,77.844,77.794,77.877,77.254,77.102,77.413,77.536,77.8,78.926,79.773,80.493,81.725,82.438,83.087,83.354,83.574,84.142,83.796,82.603,82.457,83.644,83.878,84.174,85.585,84.256,85.423,85.79,86.954,87.777,88.282,89.844,89.694,90.291,93.062,93.321,93.427,94.792,95.873,93.66,94.963,96.824,97.506,99.564,101.258,103.455,106.172,99.727,97.471,99.042,101.224,102.262,102.868,102.216,102.763,104.492,106.784,109.27,110.151,110.548,111.386,111.407,111.925,112.595,112.232,111.477,112.316,112.075,112.23,113.228
"17","9","    Food and beverages purchased for off-premises consumption","DFXARG3",20.594,20.914,21.335,21.64,22.063,22.248,22.391,22.492,22.371,22.776,22.963,23.117,23.612,23.688,23.971,24.307,25.226,26.39,27.579,28.48,29.833,30.535,31.184,32.496,32.961,32.766,33.567,34.08,33.872,33.632,34.017,34.332,34.953,35.949,36.309,36.645,37.592,39.259,40.082,40.686,42.222,43.099,43.498,44.281,44.967,45.904,47.61,49.172,49.815,49.939,50.597,50.672,51.185,51.652,51.858,51.616,51.63,52.215,52.319,52.517,53.568,53.554,53.888,53.942,54.283,54.19,54.18,54.638,54.969,55.128,55.972,56.336,56.876,57.327,57.531,57.689,58.026,58.505,59.633,60.101,60.965,62.058,62.616,63.086,64.527,64.702,65.615,66.03,66.954,67.621,67.274,67.216,67.454,67.59,68.011,68.075,68.196,68.651,68.772,69.304,69.352,69.563,70.27,70.341,70.745,71.358,71.568,71.913,72.465,73.197,74.001,74.634,74.703,74.823,75.107,75.269,75.522,75.711,76,76.438,76.754,76.961,77.249,77.68,78.117,78.653,79.396,79.709,80.456,80.976,81.65,82.004,82.446,82.499,82.43,82.626,83.073,83.612,84.292,85.272,85.645,86.578,86.967,87.553,87.363,88.243,88.352,88.844,89.274,89.286,89.877,90.293,91.481,92.736,93.763,94.748,96,97.937,100.164,101.304,100.97,100.023,99.489,99.518,99.904,100.183,100.357,100.791,102.235,103.846,105.143,105.881,106.266,106.529,106.658,107.127,107.475,107.67,107.935,107.93,108.309,109.498
"18","10","    Clothing and footwear","DCLORG3",65.679,66.452,67.279,67.975,68.492,68.915,69.523,70.402,71.049,71.728,72.089,72.325,72.74,72.928,72.976,73.761,74.368,75.439,75.838,76.465,77.841,80.161,82.654,83.868,84.198,84.441,85.049,85.39,86.121,86.853,88.086,88.895,90.19,90.459,91.864,92.378,91.869,93.132,93.208,93.578,93.772,94.681,94.888,95.719,96.974,97.801,98.512,99.677,100.394,101.264,102.068,102.211,102.426,103.14,103.354,102.964,103.562,104.235,105.113,104.612,104.788,104.197,105.067,105.636,106.575,106.998,107.303,107.82,107.041,106.027,106.768,107.091,108.44,109.633,109.777,111.379,111.272,113.411,113.59,115.087,114.969,115.523,114.132,115.37,117.143,118.968,119.385,119.493,119.746,120.483,121.471,122.326,121.779,121.683,121.874,122.294,121.931,121.043,121.074,120.978,119.37,119.914,119.303,118.277,117.029,116.403,116.218,116.075,116.079,115.585,113.982,114.471,114.758,116.133,114.919,114.449,113.218,112.68,113.41,112.575,111.152,111.829,111.381,111.54,110.824,110.102,109.859,109.807,109.974,108.387,107.303,106.196,105.785,105.56,104.982,104.194,103.082,102.012,102.537,102.473,102.015,102.517,102.162,101.991,101.995,101.539,100.881,100.655,100.299,101.312,100.982,100.894,100.932,100.066,99.125,99.619,99.409,98.88,99.515,98.715,99.464,100.052,100.348,100.136,100.067,99.329,99.272,98.719,99.126,99.982,102.251,102.997,103.607,104.933,104.884,105.551,105.713,105.25,106.242,105.723,105.785,106.442
"19","11","    Gasoline and other energy goods","DGOERG3",12.245,12.474,12.446,12.414,12.374,12.606,12.526,12.769,12.776,12.563,12.798,12.958,12.792,12.699,12.97,13.24,13.426,13.905,14.168,15.596,18.53,20.214,20.484,20.172,20.232,20.61,21.859,22.276,22.077,21.864,22.254,22.849,23.472,23.817,23.786,24.325,24.425,24.389,24.889,26.09,27.334,31.261,36.399,39.426,45.017,47.188,47.083,47.626,52.556,53.138,52.377,52.754,51.537,48.735,50.773,49.988,47.196,48.474,49.266,48.327,48.563,48.49,47.031,47.178,47.136,48.363,47.984,48.19,45.115,37.043,34.565,33.758,37.495,38.361,40.028,40.158,39.264,39.175,39.683,39.084,40.196,45.382,43.291,42.272,45.51,44.695,48.829,56.946,50.416,47.516,47.039,47.727,46.848,47.343,48.259,48.782,48.752,47.397,46.07,47.134,46.529,45.873,48.431,48.987,48.544,48.594,48.007,47.219,49.575,52.355,50.788,52.749,53.66,50.194,50.717,50.889,46.661,44.609,44.42,43.453,42.182,47.156,50.882,53.674,60.121,62.048,63.85,64.652,62.987,65.458,60.848,52.74,50.537,56.735,58.284,60.996,70.521,61.238,66.191,66.794,72.932,74.802,77.467,85.845,84.549,86.33,105.391,104.634,103.195,110.768,116.721,99.2,104.181,115.49,117.688,128.278,136.225,147.187,160.256,105.583,85.316,91.956,107.768,114.96,117.521,112.412,115.069,127.557,140.15,153.1,152.805,151.087,154.373,151.55,153.966,157.532,153.777,147.044,151.17,149.197,148.39,150.703
"20","12","    Other nondurable goods","DONGRG3",20.218,20.428,20.669,20.885,21.152,21.391,21.648,21.846,22.045,22.267,22.448,22.571,22.739,22.853,22.95,23.013,23.15,23.412,23.621,23.868,24.295,25.171,26.385,27.455,28.283,28.696,28.924,29.266,29.741,30.117,30.407,30.862,31.364,31.802,32.25,32.731,33.107,33.429,34.056,34.525,35.186,35.635,36.207,36.923,37.927,38.916,39.788,40.468,41.335,42.299,42.978,43.804,44.604,45.454,46.215,47.332,48.353,48.831,49.343,49.725,50.22,50.624,51.168,51.512,52.083,52.54,53.087,53.689,54.353,54.674,55.243,55.548,56.35,56.939,57.507,57.875,58.668,59.32,60.107,60.809,61.891,62.665,63.523,64.025,64.971,65.805,66.716,67.368,68.619,69.515,70.14,70.697,71.507,72.255,72.788,72.923,73.648,73.886,73.497,73.324,73.576,73.979,74.301,74.559,74.724,75.064,75.718,76.158,76.512,76.773,76.942,77.147,77.417,77.856,77.574,77.738,78.267,78.879,79.294,79.993,81.632,81.975,82.493,82.726,83.102,84.017,84.391,84.5,85.045,85.657,86.428,86.665,86.907,87.606,87.897,87.676,87.594,87.644,87.983,87.813,88.34,88.746,88.814,89.28,89.543,89.8,90.303,90.92,91.494,92.023,92.341,92.384,92.918,92.983,93.43,94.114,94.8,95.303,95.842,96.459,97.646,100.187,100.904,101.263,101.671,101.694,102.115,102.334,102.762,103.327,103.662,104.278,104.852,105.027,105.529,105.5,105.326,105.416,105.718,105.891,106.167,106.727
"21","13","Services","DSERRG3",15.785,16,16.214,16.439,16.661,16.893,17.103,17.356,17.59,17.823,18.073,18.243,18.443,18.596,18.779,18.955,19.114,19.412,19.75,20.121,20.535,21.02,21.508,21.982,22.484,22.857,23.281,23.74,24.134,24.446,24.879,25.306,25.807,26.318,26.826,27.26,27.786,28.345,28.874,29.462,29.876,30.65,31.377,32.128,32.928,33.739,34.609,35.588,36.547,37.285,38.097,38.887,39.589,40.197,41,41.766,42.396,42.767,43.531,43.982,44.544,45.22,45.757,46.148,46.888,47.404,48.029,48.386,49.093,49.489,49.756,50.14,50.333,50.797,51.298,51.863,52.489,53.161,53.861,54.494,55.124,55.709,56.228,56.801,57.458,58.167,58.84,59.428,59.931,60.376,60.968,61.518,62.08,62.58,63.025,63.64,64.172,64.826,65.317,65.707,66.117,66.566,66.96,67.41,67.874,68.397,68.818,69.286,69.633,70.181,70.73,71.303,71.748,72.248,72.653,73.062,73.375,73.741,74.102,74.47,74.818,75.141,75.551,76.107,76.767,77.115,77.749,78.375,79.194,79.712,80.027,80.586,81.009,81.661,82.304,82.901,83.55,84.287,84.864,85.43,86.057,86.726,87.467,87.981,88.771,89.502,90.212,91.249,91.931,92.636,93.364,93.975,94.96,95.563,96.276,97.126,97.878,98.831,99.5,99.578,99.56,99.727,100.048,100.665,101.037,101.518,101.887,102.202,102.61,103.28,103.853,104.353,104.941,105.526,105.973,106.541,107.122,107.641,108.154,108.759,109.39,110.089
"22","14","  Household consumption expenditures (for services)","DHCERG3",15.052,15.255,15.457,15.673,15.887,16.113,16.316,16.555,16.776,16.999,17.237,17.4,17.592,17.739,17.911,18.075,18.235,18.512,18.819,19.173,19.553,19.996,20.465,20.918,21.391,21.751,22.144,22.592,22.96,23.269,23.694,24.097,24.564,25.067,25.541,25.958,26.463,27.001,27.497,28.068,28.454,29.191,29.865,30.58,31.345,32.106,32.975,33.921,34.847,35.533,36.346,37.138,37.859,38.487,39.292,40.079,40.75,41.119,41.906,42.385,42.951,43.625,44.18,44.593,45.336,45.862,46.48,46.813,47.547,47.982,48.264,48.657,48.853,49.327,49.82,50.388,51.018,51.702,52.417,53.069,53.729,54.359,54.932,55.568,56.242,57.01,57.743,58.37,58.934,59.394,60.041,60.644,61.286,61.85,62.338,63.024,63.602,64.269,64.798,65.196,65.624,66.081,66.473,66.912,67.424,67.954,68.375,68.862,69.214,69.748,70.3,70.867,71.294,71.803,72.177,72.542,72.819,73.147,73.492,73.869,74.22,74.517,74.894,75.416,76.084,76.365,77.013,77.608,78.389,78.897,79.206,79.809,80.215,80.87,81.567,82.213,82.905,83.707,84.312,84.907,85.608,86.277,87.031,87.581,88.36,89.095,89.798,90.857,91.557,92.283,93.055,93.684,94.656,95.281,95.996,96.916,97.669,98.633,99.318,99.451,99.51,99.708,100.047,100.734,101.134,101.651,102.011,102.317,102.731,103.424,104.022,104.537,105.154,105.771,106.275,106.815,107.434,107.88,108.418,109.053,109.648,110.358
"23","15","    Housing and utilities","DHUTRG3",15.831,15.967,16.14,16.306,16.476,16.644,16.839,17.084,17.313,17.533,17.747,17.882,18.055,18.188,18.365,18.537,18.798,19.001,19.192,19.438,19.719,19.984,20.284,20.669,21.216,21.547,21.886,22.351,22.737,23.07,23.475,24.015,24.652,25.143,25.653,26.114,26.501,26.968,27.359,27.903,28.375,28.903,29.685,30.558,31.196,31.981,32.869,33.781,34.632,35.513,36.538,37.465,38.281,38.917,39.667,40.577,41.178,41.723,42.102,42.624,43.079,43.729,44.437,44.911,45.45,46.093,46.668,47.225,47.857,48.434,48.836,49.131,49.567,50.096,50.527,51.052,51.575,51.985,52.548,53.103,53.56,54.085,54.677,55.318,55.838,56.472,57.206,57.579,58.152,58.44,58.743,59.294,59.731,60.112,60.422,60.913,61.351,61.91,62.267,62.619,63.096,63.487,63.803,64.169,64.677,65.111,65.563,66.088,66.601,67.09,67.531,67.948,68.514,68.838,69.331,69.821,70.065,70.554,70.984,71.418,71.811,72.183,72.637,73.125,73.797,74.403,75.231,76.109,77.463,78.141,78.68,79.157,79.777,80.366,80.873,81.529,82.37,83.011,83.442,83.906,84.48,85.182,85.933,86.469,87.154,87.924,88.815,90.311,91.139,91.747,92.733,93.487,94.512,95.219,95.739,96.581,97.331,98.626,99.71,99.81,100.061,99.988,99.944,100.006,100.068,100.172,100.311,100.444,100.864,101.364,101.956,102.425,102.771,103.217,103.701,104.461,105.071,105.881,106.431,107.164,108.233,109.003
"24","16","    Health care","DHLCRG3",9.415,9.607,9.764,9.952,10.145,10.353,10.511,10.655,10.759,10.895,11.02,11.137,11.258,11.341,11.488,11.585,11.703,11.86,12.026,12.24,12.503,12.858,13.298,13.712,14.049,14.356,14.719,15.138,15.487,15.807,16.133,16.449,16.788,17.181,17.474,17.758,18.169,18.499,18.93,19.443,19.955,20.291,20.764,21.345,22.106,22.719,23.386,24.114,24.858,25.392,26.237,27.115,27.847,28.396,29.176,29.845,30.586,31.069,31.748,32.405,33.024,33.568,34.048,34.584,35.109,35.648,36.105,36.563,37.141,37.709,38.232,38.87,39.435,40.119,40.776,41.399,42.224,43.152,44.038,44.921,45.938,46.902,47.911,48.911,49.824,50.891,52.03,53.105,54.077,54.94,55.872,56.865,57.933,58.887,59.783,60.74,61.511,62.203,62.891,63.424,64.122,64.716,65.378,65.973,66.8,67.223,67.567,68.088,68.407,68.815,69.181,69.623,69.9,70.333,70.595,70.728,71.121,71.573,71.885,72.286,72.725,73.057,73.458,73.922,74.519,74.88,75.738,76.279,77.033,77.655,78.164,78.677,78.908,79.438,80.235,80.95,81.634,82.58,83.31,84.147,85.051,85.738,86.287,86.859,87.732,88.359,88.954,89.825,90.268,91.051,91.889,92.431,93.807,94.345,95.008,95.999,96.491,97.043,97.675,98.199,98.955,99.599,100.279,101.168,101.754,102.318,102.783,103.214,103.553,104.233,104.71,105.103,105.505,106.078,106.63,106.923,107.497,107.488,107.888,108.401,108.526,109.038
"25","17","    Transportation services","DTRSRG3",17.09,17.418,17.649,17.905,18.454,18.669,18.996,19.358,19.627,20.054,20.492,20.606,20.791,20.862,20.998,21.202,21.45,21.741,22.01,22.361,22.742,23.355,24.086,24.885,25.589,26.14,26.655,27.194,27.695,28.132,28.602,29.023,29.556,30.116,30.601,31.052,31.644,32.013,32.577,33.121,33.604,34.476,35.558,37.221,38.763,40.101,41.605,43.027,44.589,45.319,46.428,47.048,47.389,48.201,48.99,48.962,48.788,49.898,50.843,51.358,52.161,52.299,51.871,52.485,53.032,53.056,53.305,53.543,53.36,53.635,53.631,54.443,55.133,55.494,56.352,57.206,57.65,58.363,59.082,59.568,60.923,61.245,61.213,61.6,62.553,63.432,63.752,64.608,64.518,64.823,65.829,66.155,67.097,66.784,66.564,68.306,69.296,69.324,69.626,69.856,70.072,70.434,70.555,70.428,70.682,71.9,72.515,72.608,71.847,72.506,73.092,73.887,73.71,74.332,74.536,75.209,75.498,75.467,75.988,76.083,76.234,76.789,77.023,77.505,78.077,78.835,79.542,80.327,80.339,80.192,79.937,79.868,79.866,80.62,80.516,80.873,81.31,81.908,82.584,82.999,83.089,82.859,83.547,84.191,85.036,85.792,86.721,88.294,89.217,89.963,90.405,90.51,91.125,91.422,92.377,93.464,94.752,96.472,97.902,98.962,99.596,99.257,100.075,101.072,101.538,101.916,102.055,102.589,103.73,104.527,105.017,105.757,106.394,106.853,106.757,107.105,107.813,107.517,108.384,108.824,108.901,109.37
"26","18","    Recreation services","DRCARG3",19.929,20.168,20.387,20.604,20.825,21.073,21.323,21.609,21.874,22.068,22.261,22.357,22.534,22.63,22.763,22.905,23.057,23.386,23.634,23.978,24.317,24.862,25.402,25.997,26.563,26.816,27.116,27.5,27.856,28.13,28.494,28.86,29.193,29.518,29.835,30.214,30.684,31.206,31.702,32.272,32.738,33.38,33.851,34.206,34.851,35.866,36.566,37.038,37.801,38.09,38.492,39.135,39.687,40.13,40.792,41.279,41.677,42.15,42.243,42.847,43.284,43.821,44.332,44.78,45.322,45.795,46.144,46.562,47.232,47.535,47.883,48.278,48.804,49.352,49.849,50.322,50.709,51.181,51.585,52.461,53.236,53.706,54.392,54.841,55.758,56.531,57.528,58.161,58.931,59.758,60.371,60.772,60.921,61.715,62.165,62.472,62.943,63.56,64.055,64.635,65.053,65.001,65.115,65.474,65.891,66.402,66.757,67.338,67.877,68.514,69.125,69.745,70.303,70.893,71.365,71.601,72.123,72.555,72.975,73.541,74.149,74.836,75.417,76.149,76.974,77.516,78.58,79.108,79.714,80.465,80.838,81.383,81.864,82.691,83.234,83.898,84.722,85.166,85.777,86.203,86.886,87.443,87.983,88.577,89.131,89.611,90.5,91.516,92.138,92.962,93.751,94.144,94.86,95.732,95.9,96.951,97.832,98.634,99.608,99.32,99.552,99.489,100.458,100.502,100.384,101.019,101.433,101.465,101.988,102.698,103.012,103.563,104.748,105.305,106.037,106.462,106.88,107.027,107.683,108.287,108.971,109.523
"27","19","    Food services and accommodations","DFSARG3",15.51,15.734,16.008,16.344,16.627,17.008,17.228,17.435,17.719,17.886,18.098,18.237,18.362,18.566,18.741,18.933,19.134,19.595,20.097,20.876,21.311,21.884,22.569,23.156,23.685,24.019,24.37,24.855,25.235,25.631,26.062,26.416,26.851,27.521,28.01,28.444,28.959,29.725,30.558,31.275,32.104,33.029,33.783,34.611,35.472,36.246,36.954,37.789,38.824,39.595,40.288,40.835,41.35,41.875,42.496,42.945,43.358,43.793,44.109,44.689,45.263,45.788,46.225,46.608,47.096,47.736,48.22,48.738,49.119,49.677,50.169,50.686,51.236,51.664,52.2,52.617,53.272,53.912,54.471,54.993,55.633,56.297,56.96,57.569,58.272,58.936,59.557,60.061,60.832,61.392,61.883,62.173,62.35,62.709,63.105,63.345,63.532,64.041,64.306,64.564,64.733,65.148,65.346,65.718,66.022,66.648,67.046,67.385,67.699,68.32,68.835,69.447,69.912,70.357,70.77,71.396,71.785,72.242,72.66,73.323,73.645,74.131,74.641,75.089,75.684,76.153,76.768,77.226,77.814,78.413,78.989,79.344,79.917,80.28,80.752,81.22,81.504,81.891,82.469,83.123,83.755,84.636,85.443,86.062,86.877,87.445,87.802,88.654,89.526,90.363,91.012,91.693,92.68,93.649,94.789,95.512,96.499,97.191,98.371,99.223,99.73,99.893,99.889,100.487,100.667,101.159,101.522,101.971,102.522,103.526,104.521,104.942,105.813,106.688,107.186,107.658,108.183,108.98,109.41,109.627,110.472,111.583
