"","Table 3#10#1# Percent Change From Preceding Period in Real Gover","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"27","20","          Services","W116RL1",-2.5,-3.5,-2,83.5,47.4,-43,35.8,-4.8,6.9,15.2,-3.9,119.8,59.7,22.7,117.4,18.8,-27,-63.8,19,-8,-17.2,180.1,35.1,-21.5,-15.2,23.8,8.3,19.3,-7.8,-12.4,4.3,13.9,8.7,4.5,-7.6,0.9,18.8,16.2,-6.5,-2.1
"28","21","      Less: Own-account investment \4\","W117RL1",49.6,26.2,35.3,334.3,0.4,67,-23,-16.3,-10.4,7.4,4.9,11.2,19.6,3.3,19.1,-8.3,-43.8,-22,21.7,-1.1,10.3,27.1,25.1,14.3,-4,-2.7,6.7,9.1,7.5,11.4,5.2,6.4,6.8,8.6,9.8,8.8,6.4,1.9,-0.6,6.8
"29","22","      Less: Sales to other sectors","W118RL1",-24.5,-42.9,-61.8,3.1,43.5,-33.1,-22,74.5,13.6,24.1,-15,352.7,321.9,214.9,83.1,88.4,-4.9,-86.2,-41.9,-49.2,77.2,63.3,-64.8,-4.2,49.3,216.9,-50.7,68.1,-5.5,-22.7,-10.1,-12.6,11.3,14.6,0.4,8.7,42.3,-31.9,-4.5,4.6
"30","23","    Defense consumption expenditures \1\","A997RL1",3.2,-2.5,-0.4,-7,-11.8,26.6,4.6,-2.1,6,12.2,57.6,293.4,253.1,85.4,22.8,-4.2,-70,-31,-5.9,-0.6,3.3,71.4,27.2,3.5,-12.7,-6.6,-1,4.4,-1.4,-9,0.6,2.7,8.4,0.4,-1.9,1.5,13.5,12.6,4.6,-3.5
"31","24","      Gross output of general government","W085RL1",2.7,-3.6,-0.3,-6.8,-11.9,25.5,4.5,-1.8,6,11.8,56.3,293.6,250.2,85.7,23.8,-2.4,-67.5,-37.7,-5.1,-1,3.2,72,25.8,3.8,-12.5,-5.9,-1,4.6,-0.9,-8.8,0.8,2.5,8.2,0.3,-1.7,1.6,13.6,11.5,4.4,-3.2
"32","25","        Value added","W086RL1",2.2,-2.1,-5.2,-9.4,-2.2,17.8,0.7,5,5.5,7.1,60.6,205.5,159.6,101.4,28.9,-0.5,-57.1,-34.6,-9.6,-3,-1.1,43.9,13.9,1.7,-1.9,-2.3,-0.8,0.4,-2.4,-0.1,1.8,3,4.6,0.5,1.1,0.5,6.7,6.7,1.8,0.4
"33","26","          Compensation of general government employees","B237RL1",2.9,-2.6,-6.3,-11.8,-2.8,22.4,-0.4,5.5,5.8,7.9,73.2,219.3,149.3,94.2,21,-6.4,-69.4,-45.7,-2.9,6,5.6,73.6,15.2,-2,-6.2,-5.3,-2.8,-1.4,-5.8,-2.8,-0.1,2.1,4.3,-1.8,0,0.1,10.2,8.8,1.3,0.1
"34","27","          Consumption of general government fixed capital \2\","B432RL1",-0.5,0.3,-0.1,1.5,0,1.7,5.3,2.8,4.3,4.2,9.6,122,250.1,148.9,70.2,25.4,-3.5,-16.2,-16.1,-12.7,-10.1,-1.1,10.6,11.6,8.3,3.9,3.1,3.8,3.6,4.4,5,4.4,4.9,4,2.7,1.2,1.2,2.8,2.6,0.9
"35","28","        Intermediate goods and services purchased \3\","W087RL1",4.5,-9.8,22.1,2.9,-43.4,67.9,20,-25.8,8.5,34.4,39.2,693.6,409.1,69.6,17.4,-5.3,-88.3,-66,65.3,15.5,32.8,209.7,52.7,7.4,-29.6,-13.8,-1.5,15.2,2.5,-29.2,-2.8,0.7,21.4,-0.5,-10.6,5.5,37.5,24.5,10.4,-10.8
"36","29","          Durable goods","A998RL1",58.1,7.1,-5.9,27.5,-6.8,-7.6,84.6,8.7,-1.8,32.4,51.2,1539.3,504.9,86.7,9.4,9,-96.6,-50,131.4,22.9,71,139.8,77.3,11.9,-27.4,-15.5,-7,7.2,2.7,-29.7,-13,-17.9,23.4,0.8,-15.4,3.8,45.6,-1.3,15.8,-16.6
"37","30","          Nondurable goods","A725RL1",19.9,18.2,21.3,-5.4,-75,295.5,3.5,-61.6,41.4,-2.4,82.7,478.9,598.4,61.9,9.3,-25.3,-90.2,-62.9,51.2,41.4,14.1,162.4,30.7,59.1,-37.7,-51.1,-1.4,12.6,6.2,-13.7,-2.6,27.3,31,-10.7,13.9,12.9,42.6,53.4,14.8,-11.3
"38","31","          Services","A489RL1",-7.5,-29.1,28.6,6.7,-20.8,17.4,25.1,-1.4,-0.4,54,20.1,427.2,118.7,-2.3,228.9,-2.1,-41.7,-72.8,30.8,-14.1,-5.7,460,36.7,-27.3,-25.1,33.3,6.9,27.5,0.9,-34.4,13.3,10.9,14.4,4.1,-17.5,2.6,27.9,27.7,3.7,-6.5
"39","32","      Less: Own-account investment \4\","W088RL1",50.1,1.1,41.7,-3.6,-22.1,14.3,8.2,-3.7,5.4,7.2,40.5,232.2,97,24.9,42.6,-10.2,-37.2,-23.9,14.6,-6.7,-1.2,26.1,28.7,20.1,-2.4,-2.6,7.6,6.1,5.9,14,3.7,3.6,-0.4,-2.3,1.1,-0.5,1.5,2,5.4,10.9
"40","33","      Less: Sales to other sectors","W089RL1",-27.5,-42.1,-63.7,3.6,37.8,-35.1,-33.9,86.2,13.4,-11.4,-51.1,1237.2,372,201.2,63.8,76.1,-11.4,-99.8,928.1,-51.6,-17.1,1016.9,-96.9,54,107.9,646.6,-24.4,35.2,32.2,-50.8,24.6,-26.1,23.3,-19.2,33.9,37.7,79.8,-60.7,-48.1,-3.5
"41","34","    Nondefense consumption expenditures \1\","A542RL1",10.3,-3.3,-10.8,56.7,85.3,-25.5,124.3,-14.6,16.9,10.8,-9.2,-21.9,-29,-24,17.8,-13.5,60.8,11.8,29.1,19.9,-22.3,-17.8,17.6,30.4,-2.8,-2.7,-13.3,-6.2,-1.8,45.1,-15.3,-1.6,18.9,-0.3,3.9,3.3,-3,10.7,0.9,9.4
"42","35","      Gross output of general government","W128RL1",11.6,-1.4,-8.3,101.8,60.5,-7.2,72.8,-15,12.8,10.5,-7.9,-21.1,-27.5,-20.5,23.1,7.7,40,-3.2,18.4,16.2,-18.1,-17,16.4,27.5,-2,2.5,-16.7,-1.1,-3,40.5,-14.6,-0.6,18.7,3,4.8,4.5,-1.2,9.8,0.8,8.6
"43","36","        Value added","W129RL1",18.1,-5.9,-2.4,71.6,57.6,7.7,96.8,-17.6,15.3,0.4,-6.1,-28.7,-48.9,9,-40.2,40.6,103.6,18,11,-3.4,10.3,-5.7,-1.2,-6.4,-3.8,1.1,2.5,3.1,3.9,1.6,8,4.1,6.6,8.1,5.7,5.6,7.5,7.6,5.2,3.7
"44","37","          Compensation of general government employees","W130RL1",19.4,-9,-4.1,78.8,60.6,6,103.1,-19.4,15.3,-0.2,-7.4,-33.1,-59.8,9.1,-55.8,70.4,154.9,22,13.1,-4.8,11.1,-8,-2.4,-8.3,-5.1,1.1,2.4,2.7,3.2,0.3,8,2.6,5.3,5.8,2.3,1.9,4,4.9,2.4,0.9
"45","38","          Consumption of general government fixed capital \2\","B546RL1",8,22.4,11.8,18.4,24.4,31.4,27.7,17.7,14.7,9.3,9.2,10.2,11.5,8.7,5.8,1.7,0,-0.2,0.7,4.1,6.3,7.2,4.5,3,2.1,1.2,2.9,4.8,7.4,7.5,7.6,10.9,12.4,17.5,18.8,18.8,18.5,15,12.4,10.6
"46","39","        Intermediate goods and services purchased \3\","W131RL1",0.8,7.8,-20.7,191.5,65.8,-30.8,15.2,-4.1,3.9,47.9,-12.3,-2.8,9.8,-45.5,182.5,-11,-7.2,-30.9,35.2,52.5,-51.4,-50.3,121.3,119.7,0.3,4.1,-39.5,-9.8,-20.3,174.3,-45.7,-13.7,61.3,-8.8,2.3,1.3,-28,19.9,-16.9,33.8
"47","40","          Durable goods","A543RL1",1.2,-14.6,-33.3,868.4,75.5,86.9,-25.8,-8.2,4.6,-2.6,-9.1,49.9,-7.1,-19.7,-31.1,-22.5,17.5,-34.3,41.6,-10.1,-31.1,26.9,20.1,10.1,-11.5,-12.7,10.8,-0.4,-35,19.6,-22,35.5,22.5,10.8,27.4,5.1,5.5,-1.2,-33.7,2.1
"48","41","          Nondurable goods","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","42","            Commodity Credit Corporation inventory change","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","43","            Other nondurable goods","B828RL1",-0.7,-9.7,-43.7,381,52.3,-4.2,-0.3,2.3,-10.3,14.6,-5.4,7,-15.7,55.7,-21,87.3,9,-52.1,26.9,-10.8,-29.3,8.3,26,0.4,-0.1,-8.8,20.1,1.7,-46.4,44.6,-5.8,54.4,48.4,0.6,1.3,5.4,0.9,11.8,-33.5,3.4
"51","44","          Services","A544RL1",1,12.7,-15.3,140,69.2,-51.4,39,-5.5,8.5,7.8,-10.1,19.3,-32.8,82.4,2.8,93.8,-3.8,-56.9,13.8,-4.8,-23.2,-16.3,27.9,4.8,15.8,4.6,11.9,-0.8,-35.2,84.2,-9.1,19.3,-1,5.3,13,-1.8,3.4,-8.9,-38.7,21.6
"52","45","      Less: Own-account investment \4\","W136RL1",49.3,50.3,31.2,566.1,2.6,70.8,-24.5,-17.2,-11.6,7.4,1.5,-16.5,-19.3,-23.4,-30.5,0.2,-68.1,-8.4,64.4,22.2,46.3,29,17.7,0.9,-8.3,-2.8,4.2,17.8,11.6,5.2,9,13.2,22.5,27.9,21.4,19.3,10.9,1.9,-5.6,2.9
"53","46","      Less: Sales to other sectors","W137RL1",14.4,-50,-43.8,0,77.9,-25,16.6,50.1,14.3,117.2,20.8,7.4,78.4,392.9,227.1,136,15.8,-51.7,-53.2,-48.6,100.5,-33.8,-9,-7.8,43.2,151.3,-62.4,96.9,-28.2,8.7,-28.1,-0.2,3.1,41.6,-14.6,-11.3,3.3,19.2,20.4,6.5
"54","47","State and local consumption expenditures \1\","A991RL1",6.4,5.8,1.6,-2.1,2,6.2,-19,8.5,0.5,6.2,5.8,3.6,2.6,-0.1,-1.8,2.4,3.2,6.7,0.8,8.6,6.1,-0.3,1.3,3.3,4.2,6.5,3.6,5.3,7.8,3.5,5.6,5.4,2.6,4.6,6.4,6.4,6,4.5,6.6,6.5
"55","48","      Gross output of general government","W138RL1",7.8,6.1,0.9,1.6,12.5,1.8,3.9,-2,10.6,0.7,-1.3,-0.8,-5.4,-6.9,-2.7,2.3,3,7.7,1.5,9.5,6.3,-0.2,1.8,3.3,4.4,6.7,3.9,5.3,8.1,4.5,5.3,5.6,3.7,5.5,6.7,7,6.4,5.1,6.9,6
"56","49","        Value added","W139RL1",4.1,3.5,-0.4,0.8,6.1,4.9,-5.3,3,4.1,1.9,1.2,0.8,-1.3,-2.4,-2.3,2.1,5.3,6.3,2.6,6.6,3.5,2.6,3.3,4.4,4.4,4.6,6.3,5.5,6.1,4.1,5.3,5.2,3.7,5.2,6,6.1,5.9,4.2,6,4.6
"57","50","          Compensation of general government employees","B251RL1",3.6,2.9,-1.3,0.4,6.8,5.4,-6.7,2.9,4.1,1.3,0.7,0.7,-1.6,-2.7,-2.4,2.9,6.5,7.5,2.7,7.3,3.3,2.4,3.2,4.4,4.3,4.5,6.4,5.4,6.1,3.9,5.2,5.1,3.4,5.1,6,6,5.9,3.9,6,4.4
"58","51","          Consumption of general government fixed capital \2\","B986RL1",7,6.7,5.7,3.3,2.1,1.9,2.7,3.6,4,4.8,4,1.8,0,-1.4,-1.9,-1.7,-0.9,0.6,2.1,3.3,4.1,4.2,4,4.2,5.1,5.7,5.6,5.9,6.2,5.9,5.7,5.6,5.6,5.9,6.4,6.5,6.6,6.6,6.1,5.6
"59","52","        Intermediate goods and services purchased \3\","W140RL1",18.7,13.6,4.5,3.9,28.4,-4.3,23.7,-10.4,23.3,-1.4,-5.7,-4,-13.1,-16.2,-3.5,2.9,-2.9,11.6,-1.4,18.4,14.3,-7.4,-2.5,-0.2,4.4,13.9,-3.9,4.7,15.1,5.7,5.4,7.2,3.8,6.7,9.4,10,8.2,8.1,9.8,11.2
"60","53","          Durable goods","B989RL1",-8.3,12.1,-8.7,9.1,43.1,-12.5,112.9,-14.9,34.7,-5.6,-22.9,-21.7,-39.6,-59,-22.6,10.8,53.1,48.3,30,7.5,1.7,5.7,8.8,4.4,10.4,-2.4,11,21.7,0.7,12.2,5.5,5.9,7,6.5,6.9,12.2,7.8,5.2,16.1,14.3
"61","54","          Nondurable goods","B337RL1",20.6,16.6,9.6,3.1,24.5,-9,26.1,-12.9,26.4,-2.2,-5.5,-4,-13.5,-15.8,-3.7,-0.5,-11.3,10.8,-4.8,26.8,12.6,-14.2,-0.4,-1.4,2.9,16.4,-7.1,2.3,22.3,23.4,5.1,6.4,3.6,5.2,7.2,7.2,4.6,5.2,8.2,9
"62","55","          Services","A988RL1",19.9,10.2,0,4.2,31.7,2.5,11.3,-6.3,17.6,0.6,-2.1,-0.8,-9.2,-13.3,-2.7,6.3,4.3,10.6,-0.1,11.8,16.9,-1.8,-5.2,0.3,5.1,13.5,-2.7,4.8,11.5,-7.2,5.5,7.9,3.7,8,11.4,12.1,10.9,10.5,10.4,12.2
"63","56","      Less: Own-account investment \4\","W144RL1",11.8,-7.9,-31.8,210.7,223,-25.4,227.7,-27.5,46,-13.5,-23.6,-20.1,-51,-83.7,-66.3,14.1,58.9,51.1,23.3,31.1,5.8,11.1,17.3,-4.4,5.4,-0.4,11.3,1.9,7.2,33.2,-4,5.4,7.3,12.3,1,4.2,6.8,0.8,5.6,1.5
"64","57","      Less: Sales to other sectors","W145RL1",22.2,14.5,3.3,-1,5.8,1.6,-17,4.3,7.9,6.8,7.4,3.8,1.5,0.6,1.7,0.7,-2.7,12.4,5.3,14.8,8.6,-1.8,2.9,4.5,6.6,10.6,4.1,6.9,10.9,6.7,5.1,8,12,11.2,10.3,11.5,9.4,10,8.9,4
"65","58","        Tuition and related educational charges","B1065L1",17.5,10.8,-6.5,-7.6,-2.7,-0.3,-3,-1.5,1.2,-1.7,-0.4,-3.1,-2.5,-8.3,-4.1,2.6,-6,9.8,20.9,13.9,-2.9,-1.6,5.7,8.4,8.3,12.4,13.7,15.6,14,14.7,10.5,9.5,13.1,14.2,17,16.1,13.3,11.5,12.5,10
"66","59","        Health and hospital charges","B1066L1",25,11.8,-3.8,-10.5,-5.6,-6.2,-2.5,-1.6,1.9,-1.9,-0.7,-3.3,-6.4,-4.2,-5,-0.1,-12.3,-5,17.5,12.1,-4.4,0.9,2,4.8,10.1,11.9,14.3,13.6,25.9,4.8,-7.3,1.9,17.1,3.7,8,14.2,14.3,13.4,16.8,3.5
"67","60","        Other sales \5\","W146RL1",21.6,18.2,12.8,7.7,14.1,5.4,-25.2,8.7,12.2,12.6,12,7.4,4.4,3,4.1,0.6,0.2,17.2,1.1,15.6,13.4,-2.4,2.9,4.1,5.5,10.1,0.3,3.7,5.2,6.3,9.8,10.2,9.8,13.7,10,9.6,6.6,8.2,4.3,2.6
"68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","are valued at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","(construction, software, and research and development).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","2. Consumption of fixed capital, or depreciation, is included in government gross output as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","a partial measure of the services of general government fixed assets; the use of depreciation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","assumes a zero net return on these assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","3. Includes general government intermediate inputs for goods and services sold to other sectors and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","for own-account investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","4. Own-account investment is measured in current dollars by compensation of general government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
