"","Table 5#3#1# Percent Change From Preceding Period in Real Privat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"11","3","  Structures","B009RL1",NA,-2.1,2.7,-5.6,8.6,11.6,12.5,5.8,-7.3,-9,-16.6,-10.5,20.5,21.7,25.3,10.7,1.3,14.3,-2.4,-14.5,0.5,2.9,3.4,16.2,12.6,7.9,2.2,7.2,4.1,2.8,-0.9,-1.7,13,10.3,13.9,10.3,13,15,2.6,-0.9,-3.4,-0.3,0.1,-2.3,-7.3,-12.6,-8.8,6.3,-1.4,13,12.4,-3,17.8,4.8,0.8,16.1,-1.8,-6.5,0.2,-2.1,7.7,15.4,11,-9.3,-13.2,20.4,2.8,8.4,10.8,14.2,13.8,3.2,22.1,30.9,4.3,19.7,9.8,-7.5,9.2,-12.9,4.2,-10.9,4.3,0.6,8,-3.4,-2.6,8.4,6.3,3.2
"12","4","    Commercial and health care","W001RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,5.3,2.4,0.7,37.8,12.1,-13.6,14,-1.3,1.4,45.7,23,-2.9,10.4,4.3,-5.6,25.9,95.3,-33.8,-18.4,12.7,-8.2,-15.5,9.1,40.6,26.6,2.5,28.5,10.3,7.3,26.6,-10.4,-30.8,19,-12.8,8.2,-13.8,-8.1,11.8,31.1,13.8,-4,4.2,28.1,14.3
"13","5","    Manufacturing","C307RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-55.2,-46.6,-21,-15.5,23.2,57,25.8,65.9,14.5,26.8,22.2,-7.2,-23.1,-18.9,-5.3,5.1,62,-40.7,48.9,-43.4,34,31.5,29.1,-8,20.5,54.3,26.4,52.6,55.4,-2.1,59.3,33,23.1,12.1,-23.5,-7.5,-39.6,23.6,-26.3,18.7,-13.3,-8.6,39.7,9.7,-12.3
"14","6","    Power and communication","W003RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.3,-8.3,7,-9,-8.2,-3.7,0.9,8.8,7.1,-14.9,6,-19.1,-1.7,1.9,-9.7,13.1,-7.2,1.8,8.1,0.8,31,-7.8,17.4,9.5,9.4,4,6.3,14.2,12.6,10.5,18.4,18.7,13.2,16.2,-7.4,11.4,20.1,5.6,16.5,13.3,2.5,17.8,4.7,-12,-2.9
"15","7","    Mining exploration, shafts, and wells \1\","E318RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-17.5,-19.2,14.1,21.8,1.5,-8.4,-0.2,-14.2,-6.2,0.7,-5.4,-2.5,6.8,15.8,11.9,10.3,2.8,-11,-15.7,-4.3,0.6,-0.4,-11.9,15.9,28.9,-1,15.8,-19.5,35.4,-34.3,-7.9,12.1,-18.3,18.6,-22.6,-4.8,14,-10,-6.7,16.2,-16.5,13.3,7.9,-11.4,20.9
"16","8","    Other structures \2\","W004RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,12.7,21.2,-0.9,15.2,24.6,-8.8,28.5,9.4,1.8,7.4,-5.2,-9.1,-6.6,-7,20.1,9.2,-7.2,-6.7,-0.2,24,13.2,30,22.7,-10.8,-3.7,-14.5,22.9,56.8,18.2,0.6,11.5,-11.8,-9.7,-4.1,7.5,-11,8.3,1.6,-24.3,-15,-20.1,-3.7,6.5,4.5
"17","9","  Equipment","Y033RL1",NA,-8.3,-12.8,25.3,38.4,-24.1,-5,13.4,-23.1,-18.2,-19.7,-4.3,7.1,53.3,50.2,-6,-16,0.7,9,-3.8,2.2,5.7,-47.3,60.5,31.6,-0.6,14.2,-11.1,-20.6,-8.6,20.4,-0.9,3.7,40.4,27.5,12.2,-18.4,0.9,4.1,-1,7.4,-1.5,14.9,-14.9,-36.3,-19,-4.1,23.4,23.9,12.5,13.7,-0.8,14.6,6.9,-16.2,-13.4,-12.4,20.6,5.6,26.3,10.8,10.5,1.5,1.2,7.6,8.3,18.4,16.6,10.2,8.5,14.9,12.4,34.2,7.4,23.2,16.5,23.9,14.9,1.8,5.8,-15,4.4,-5.4,13.4,16.1,-9.3,10.3,14.6,15.4,4.2
"18","10","    Information processing equipment","Y034RL1",NA,-23.2,18.6,-7,26.5,-17.1,-7,41.9,-18.6,-32.7,-19.2,-8,14.7,74.1,7.2,33.6,-25.2,25.2,26.3,6.3,21.9,52.4,-42.8,49.1,27.9,5.2,19.8,-34.5,-7,-20.1,7.9,1.9,-12.5,50.1,79.8,26.5,-22.2,62.6,-17.6,10.3,7.1,43.7,37.9,-34.4,-23.1,-23.4,9,16.5,7,6.9,9.6,46.4,20.1,27,-9.2,29.9,-19.6,47.3,7,10.9,32.1,-9.2,-9.4,13.4,29.2,28.3,19.1,4.5,23.1,7.2,0.7,35.5,4.5,29.9,21.6,30.5,36.7,34.3,24,18.7,-11,3.4,-6.9,28.6,7.4,-6.5,11.2,-4.2,35.3,38.9
"19","11","      Computers and peripheral equipment","B935RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,216,0,0,0,0,144.1,0,0,107.4
"20","12","      Other \3\","A937RL1",NA,-21.8,18.7,-7.1,25.9,-16.8,-8.5,42.9,-19.3,-31.9,-19.9,-7.7,16.6,72.1,7.6,33.1,-25.5,25.1,27.3,5.3,23.3,52.3,-42.6,48.9,27.4,4.8,19,-33.9,-7.9,-20.2,8.2,2.7,-12.5,51,79.1,26.5,-22,62.3,-17.8,9.7,8.1,42.7,37.5,-33.7,-23.3,-23.7,10.1,15.4,7.6,7.1,7.7,40.7,10.5,26.1,-14.6,24.7,-20.6,48.6,-0.6,11.9,29.2,-9.7,-17.5,-1.3,13,15,11,-0.2,16.8,6.4,-1.2,33.5,0.3,20.8,20,12.1,28.5,18.7,8.7,5.1,-12.5,2,-6.9,23.8,6.8,-13.1,5.3,-4.7,33.5,28.9
"21","13","    Industrial equipment","A680RL1",NA,-25.2,3,-33.2,39,-22.7,-25.4,28.2,-30.8,-47.1,-24.6,-18.2,36.8,101.3,8.9,75.9,-44.1,40.4,48.1,-11,4.7,32.7,-47.6,11.8,41.9,19.5,14.6,3.6,-7.9,-0.8,29.6,-20.6,-28.8,24.9,24,33.9,-14.2,7.6,34.1,-10.8,1,-1.5,3,-14.8,-31.4,-21.9,-17.3,15.1,12,-8.6,1.3,27.2,8.6,33,-22.3,-13.2,-23.2,16.7,3.2,34.1,1.3,4.3,-15.1,-12.6,24.3,21.1,19.8,11.8,7.7,1.1,22.8,38.1,5.4,18.5,25.4,8.1,14.1,27.1,5.4,3.9,3.8,-7.8,-17.6,9.2,6.4,-10.3,-5.6,8.5,15.2,8.5
"22","14","    Transportation equipment","A681RL1",NA,9.5,-19.5,69.3,17.3,-27.2,-4.5,-17.6,10.9,16,0,5.8,-17.5,22.7,140.9,-31.8,-1.5,-21.7,-13.5,-26.9,-1.3,-29.5,-51.6,149.2,40,14.5,9.9,-1.6,-32.8,-31.8,10.4,14.5,68.7,51.5,27.6,-18.5,-30.4,-9,-22.4,29.6,14,-0.8,29.7,-12.1,-61.6,-41.2,-16,74.8,79.5,50.5,37.9,-39.1,62.7,-17,-0.2,-37.5,-14.7,18.2,18.7,60.6,15.2,18.7,19.6,1.5,-23,-18.5,15.4,32,11.4,16.2,32.1,-31.5,148.8,-2.5,17,17.2,30.7,-0.9,-13.4,0.8,-25.5,18.1,18.2,7.4,67.4,-15.6,25.2,26,9.3,-8.2
"23","15","    Other equipment \4\","A862RL1",NA,0.6,-30.9,95.5,72.5,-24.4,17.4,30,-42.7,-16.1,-35.5,-4.4,20.4,53.6,22.3,-29.3,7.6,-8.2,-2.4,37.5,-3.9,7.6,-44.4,55.9,16,-33.1,16.8,-25.1,-25.8,23.1,25.7,10.9,0.9,42,12.9,26.5,-6.5,-17.2,14.9,-19.2,8.7,-20.8,3.8,-4.5,-8.7,18.5,18.5,3.2,5.3,6.9,5.2,4.2,-19.7,-2.6,-28.7,-4.1,13.6,11.6,-5.8,-3.9,3.8,26.6,10.2,10.7,20.2,15.7,19.2,15.9,3.6,10.2,-0.4,31.5,7.9,-6.5,29.1,17.1,19.4,7,1,4.4,-27.7,8.8,-10.5,14.9,-12.5,-0.9,13.5,24.5,9.6,-7.5
"24","16","  Intellectual property products","Y001RL1",NA,-4.9,-0.2,-7.9,3.5,-6.1,0.2,-2.7,-14,-1,3.4,18.5,14.4,6.3,1.9,-3.9,-10.5,-4,7.7,17.5,39,30.6,29.2,33.3,18.8,19.6,8,4.9,4,2.6,3.5,5.9,3.6,11.1,15,22,20.1,16.5,9.7,9.3,-4.1,0.7,4.9,2,1.1,5.9,10.7,14.7,12.7,7.2,-1.9,3,6.6,5.2,17.7,9.3,12.2,13.4,7.7,4.6,0.6,4.5,4.6,9.4,13.6,14.5,7.4,4.9,-1.6,4,7.6,8.9,18.8,13.7,13.9,14.4,14.5,12.3,11.4,10.4,7.3,2.9,7,7.1,7.6,10.6,7,5.8,2.8,8
"25","17","      Software \5\","B985RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.8,9.6,9.4,52.4,17,34.5,60.2,123.2,103.8,161.6,105,54.2,7.9,0,-7.3,-7.5,48.9,46.7,65.6,64.6,53.4,51.3,45.5,47.4,6.9,3.3,-6.4,10.4,16.1,19,18.1,21.7,30.3,51.2
"26","18","      Research and Development \6\","Y006RL1",NA,6.4,5.2,8.5,3.4,-4.9,0.5,-14.2,-28.3,-15.3,-3.6,9.1,39.4,31.5,21.2,3.4,-9.6,2.8,11.7,33.2,58.8,36.1,37.2,42.5,23.3,21.1,13.2,8.3,6.1,2.9,-2.2,-0.1,-10,9.1,20.6,35.4,45.4,28.7,11.5,7.4,-7.9,-4.5,3.4,3.8,6.3,5.8,13.8,10.5,5.1,9.8,1.5,9.9,20,10.4,4.8,2.7,3.8,8.9,8.9,10.1,7.4,9.8,5.5,6.3,8.2,8.4,7.2,5.8,6.3,9.3,10.3,10.9,14.7,12.1,10.9,13,9.1,12.4,12.6,11.5,11.4,8.2,9.6,7.1,9.3,7.7,7,7.6,6,7.2
"27","19","      Entertainment, literary, and artistic originals","Y020RL1",NA,-15.1,-6.3,-23.5,3.3,-7.7,0.3,12.7,5.1,15,10.2,27.8,-4.2,-14.4,-16.7,-12.1,-11.8,-12.6,2.8,-2.1,12.6,22.5,16.6,18,11.3,16.7,-1.4,-1.4,0.6,1.8,15.6,17.6,31.1,14.2,6.3,2.4,-16.3,-5.4,5.9,13.3,5,12.1,8.1,-1.7,-8.6,6.3,4.5,24.1,29.8,3,-9,-12.8,-24.3,-14,46.6,22.2,33.9,23.2,5.2,-7.6,-13,-7.9,-1.1,9,18,15.7,-2.6,-3.5,-18.5,-6.6,4.6,7.6,23.3,11.9,11.8,8.2,18.5,3.9,0.8,-0.3,-1.5,-8.7,5.6,6.2,1.8,14.6,3.8,-2.6,-11.8,-2.6
"28","20","Residential","A011RL1",NA,-18.5,76.7,102.4,-5.1,25.3,-12.1,-26.2,-26.4,-6.5,38.8,58.4,52.7,44.2,23.7,-17.4,-19.1,-43.6,-23,3.9,10.9,7.6,-3.8,23.4,6.6,1.3,-14.1,-3.2,4.4,28.8,26.7,27.5,32.8,5.9,-8.2,-15.8,-9.8,-2.1,-7.3,-5.8,-5.4,-9.1,-5.2,-0.5,-14.8,1.4,32.1,48.6,53.4,14.7,-7.3,-10.9,12.9,-28.9,-11.4,-0.4,1.6,1.6,23.7,14.3,7.2,13,-0.3,-0.6,14.9,31.9,7.9,13.2,26.9,-18.5,-6.3,-6.9,2,3.5,1.9,-7.6,10.4,-27.7,-12.6,-35.8,-10.6,54.7,23,25.3,1.2,10.1,8.3,5.7,14.1,-3.7
"29","21","  Structures","A012RL1",NA,-18.5,77.3,107.1,-5.7,26.4,-12.5,-27.3,-26.2,-6.8,40.8,59.5,52.9,43.3,24.1,-18.4,-18.4,-43.9,-23.7,4.3,11.5,7,-2.8,21.8,6.8,1.5,-13.9,-3,4.7,28.6,26.3,27.6,33.7,5.4,-8.2,-16.2,-10.6,-2.1,-7.7,-4.9,-6.5,-9.1,-5.1,-0.3,-13.3,-0.8,30.8,47.9,55.3,15.1,-6.4,-10.7,12.5,-29.3,-11.9,-0.1,1.8,1.3,23.9,14.7,7.5,12.8,-0.7,-0.8,15,32.3,7.9,13.4,27.2,-18.9,-6.5,-7,1.4,3.5,1.8,-8.2,10.7,-27.9,-13.2,-36.1,-10.8,56,23.1,24.8,0.9,10.3,7.8,5.7,14.1,-4.2
"30","22","    Permanent site","A943RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4,28.6,49.5,73.1,13.8,-9.1,-14.7,8.9,-36.7,-17,-6.8,1.8,5.8,29.8,23.7,8.6,16.9,6,-1,14.7,30.8,14,15.5,35.4,-25.4,-7.4,-9,-3,3.3,8.7,-10.8,14.3,-33.2,-32.7,-45.8,1.2,39.8,63.4,31.7,-0.5,14.7,5.5,2.6,21,-5.1
"31","23","      Single family","A944RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4,28.6,49.3,73.3,13,-9.4,-14.7,13.5,-37.7,-19.4,-10.9,-3.8,-0.9,24.5,18.1,-1.1,8.7,-1.3,-6.2,4.9,23.1,10.9,16.3,52.2,-25.8,-5.9,-4.5,-4.6,6.1,15.5,-7.9,14,-32.9,-33.4,-45.2,10.4,48.7,61,22.5,-11.7,8.2,-4.6,0.1,10.7,-17.8
"32","24","      Multifamily","C292RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.9,29.2,50.7,72.2,18.1,-7.3,-14.9,-14.4,-30.4,-2.3,18.4,34.1,42.3,55.2,49,53.1,49.2,32.6,15.9,46.1,52.7,22,13.6,0.3,-24.2,-11.6,-20.4,1.4,-4.2,-9.4,-19.2,15.2,-34.2,-30.6,-47.6,-24,11.7,72.6,70.4,45.4,36,38.3,9.3,50.2,30.1
"33","25","    Other structures \7\","A863RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,35.9,44.4,20.7,18.4,0.4,-0.7,21.1,-10.6,-0.9,13.9,1.9,-6.4,13.3,-1.3,5.3,4.6,-13.9,-0.4,15.7,35.8,-4.8,8.5,9.5,-1,-4.2,-2.2,12.3,4,-12.1,-2.2,2.4,-14.2,45.5,-15,-28.2,88.4,-26.5,11.5,3.9,1.3,13,12.8,0.7,-2.4
"34","26","  Equipment","B013RL1",NA,-21.6,56.3,-25.5,27.9,-20.5,9.7,40.7,-32.2,4.4,-27.9,7.4,40,103.5,2.7,60.9,-48.8,-27,23.3,-13.7,-14,43.3,-43.4,137.1,-0.4,-5.4,-27.1,-14.4,-7.2,35.8,46.7,22.6,-11.1,36.6,-8.6,17.1,44.2,-1.8,9.7,-44.9,80,-10.3,-9.6,-12.8,-67.9,251.6,105,81.4,-10.3,-2.6,-43.1,-20,31.4,-10.8,15,-14.9,-6.7,15.9,13.3,-5.2,-10.8,24.1,21.2,10.4,9.2,12.6,7.4,1.5,13.4,7,7.3,-4,34.3,4.4,6.4,28,-2.3,-16.3,17.3,-20.9,0.1,6.4,19.4,48.1,13.9,4.2,33.3,2.1,15,24.1
"35",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","27","  Private fixed investment in structures","A349RL1",NA,-11.7,41,53.3,-0.9,20.6,-4,-15.8,-19.1,-7.7,14.6,29.3,41.1,35.9,24.5,-9.8,-12,-26.6,-15.7,-3.9,7,5.4,-0.4,19.6,9,4,-7.6,1.2,4.5,17.2,14.7,15.4,25.6,7.2,-0.5,-6.7,-1.5,4.9,-3.4,-3.1,-5.1,-5.2,-2.7,-1.2,-10.6,-6.4,11.4,28.6,29.5,14.3,0.6,-7.7,14.6,-16.7,-6.7,6.7,0.2,-2.2,13.1,7.4,7.6,13.9,4,-4.5,2.5,27.4,5.8,11.4,20.5,-7.1,1.4,-2.8,9.9,14.9,2.9,3.7,10.3,-18.8,-2.9,-25.3,-3.3,17.4,13.6,12.7,4.2,3.7,2.9,6.9,10.5,-0.9
"37","28","  Private fixed investment in new structures","W040RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.1,9.8,28,27.1,13.6,0.5,-7.7,13.7,-15.7,-6.1,7.3,0.4,-2.1,12.4,6.6,7.8,13.6,3.6,-4.9,1.9,26.3,5.1,10.7,20.9,-6.4,1.9,-2.8,8.9,14.6,3,3.4,10,-18.8,-1.2,-24.2,-3.9,15.3,11.3,11.9,5.7,3.7,1.6,6.2,12,-1.1
"38","29","    Nonresidential structures \8\","A771RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-12.3,-8.6,6.5,-0.3,13.4,12.9,-2.5,17.4,4.9,1.1,16.4,-1.6,-6,0.8,-1.5,8.2,15.5,11.1,-9,-12.9,19.6,2.7,8.2,10.9,13.8,13.2,2.5,21.2,29.6,3.6,18.6,9.8,-7.7,8.7,-13.2,3.8,-11.1,3.9,0.4,8.1,-3.2,-2.3,8.5,6.3,3.3
