"","Table 1#3#4# Price Indexes for Gross Value Added by Sector      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"11","4","  Farm","B359RG3",83.588,84.386,85.875,100.344,159.998,154.887,134.034,132.42,127.075,153.468,166.973,147.34,141.04,124.935,142.634,150.234,121.129,118.66,121.564,134.947,142.904,140.171,126.564,123.922,125.527,121.031,124.545,145.635,123.867,116.728,100.293,90.644,100.521,91.486,103.644,123.76,102.823,97.009,131.75,133.404,100,116.392,157.266,161.944,168.569
"12","5","Households and institutions","B193RG3",14.399,15.357,16.241,17.03,17.991,19.017,20.309,21.778,23.545,25.418,27.488,30.266,33.409,35.987,38.114,40.339,42.119,44.305,46.657,48.908,50.975,53.553,55.788,57.829,59.043,60.968,62.979,64.928,66.584,68.664,71.388,73.629,76.579,79.941,82.394,85.107,87.444,91.066,94.21,97.145,100,99.913,101.482,103.457,105.485
"13","6","  Households","B701RG3",16.322,17.078,17.872,18.551,19.39,20.201,21.508,23.018,25.012,26.761,28.954,31.77,35.234,38.396,40.686,42.785,44.215,46.826,49.109,51.442,53.744,56.618,58.526,60.221,61.799,63.555,65.801,67.975,69.943,72.441,74.646,76.782,79.822,83.101,84.799,86.615,88.526,91.576,94.839,97.394,100,99.637,100.819,102.743,104.882
"14","7","  Nonprofit institutions serving households \3\","B702RG3",11.765,13.008,14.023,14.976,16.119,17.462,18.743,20.163,21.62,23.684,25.594,28.34,31.047,32.826,34.737,37.133,39.384,40.999,43.445,45.588,47.355,49.559,52.171,54.614,55.389,57.505,59.218,60.879,62.143,63.703,67.05,69.416,72.242,75.703,79.117,83.004,85.921,90.353,93.329,96.799,100,100.292,102.39,104.433,106.315
"15","8","General government \4\","B765RG3",13.072,14.324,15.616,16.927,18.024,19.244,20.884,22.074,23.483,25.047,26.858,29.225,32.041,34.405,36.287,38.392,40.206,41.675,43.262,45.203,47.506,49.876,52.525,55.152,56.829,58.678,60.394,61.773,63.357,65.119,67.949,70.829,73.66,76.511,80.089,84.116,87.747,91.344,95.194,98.427,100,102.941,104.994,106.46,107.979
"16","9","  Federal","B766RG3",15.483,17.138,18.856,20.665,22.061,23.413,25.253,26.683,28.234,30.051,31.958,34.648,38.063,40.918,42.31,44.43,45.921,46.845,47.407,49.608,51.318,52.877,55.479,57.494,58.811,60.632,62.75,64.086,65.546,66.772,69.005,71.625,73.392,77.43,82.248,85.773,90.139,93.459,96.956,99.329,100,103.098,105.267,105.921,107.274
"17","10","  State and local","B767RG3",11.8,12.795,13.825,14.833,15.76,16.91,18.441,19.497,20.827,22.248,24.004,26.188,28.669,30.758,32.926,35.034,37.052,38.855,41.066,42.865,45.532,48.387,51.077,54.062,55.941,57.811,59.327,60.729,62.37,64.374,67.462,70.451,73.729,76.084,79.141,83.38,86.694,90.409,94.411,98.019,100,102.866,104.864,106.731,108.33
"18",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","11","  Gross housing value added","A2009G3",16.338,17.041,17.839,18.49,19.323,20.052,21.335,22.78,24.695,26.38,28.439,31.303,34.677,37.816,40.149,42.249,44.116,46.853,49.115,51.408,53.671,56.502,58.499,60.383,61.887,63.601,65.626,67.637,69.557,71.895,74.078,76.357,79.432,82.694,84.424,86.269,88.24,91.264,94.645,97.418,100,99.698,101.051,103.15,105.393
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","1. Equals gross domestic product excluding gross value added of households and institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2. Equals gross domestic business value added excluding gross farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","3. Equals compensation of employees of nonprofit institutions, the rental value of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","nonresidential fixed assets owned and used by nonprofit institutions serving households,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","and rental income of persons for tenant-occupied housing owned by nonprofit institutions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","4. Equals compensation of general government employees plus general government consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
