"","Table 2#8#5# Personal Consumption Expenditures by Major Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135"
"11","3","  Durable goods","DDURRC1",42.3,44.2,44.4,45.1,45.4,46,45.4,46.2,47.4,44.8,44.7,42.8,43.2,45.7,47.4,49.1,45.7,44.5,44.9,45.8,47.1,46.7,45.1,42.3,41.6,41.9,43.2,42.7,43.5,43.8,44.1,44.6,45,45.6,46.7,47.7,47.5,47.4,48.2,48.4,49.6,49.1,49.2,49,50.5,49,52.1,53.5,53.1,52.4,52.3,53.2,53.5,55,55.5,54.1,54.6,54.2,55.6,57.4,57.9,58.4,57.6,58.2,59.7,60.6,61.6,62.1,60.3,61.2,58.9,58,61,65.4,68.4,67.3,65.1,62,63.5,66,70.6,69.5,69.1,68.8,70.2,72.3,74.4,72.5,68.7,68,69.6,72.3,75.1,73.4,72.3,72.2,72.5,69.9,71,74.3,74,75.2,74.4,73.6,76,74.1,75.1,77.7,79.7,79.5,83.4,81.4,84,83.8,86.9,87.6,88.1,88.1,87.5,87.9,90.1,90.8,89.1,90.4,90.5,90.5,88.6,90.7,92.6,91.4,90.7,90.4
"12","4","  Nondurable goods","DNDGRC1",125.1,125.4,127.7,125.6,128,127.9,127.3,127.9,129.4,129.8,129,129.7,129.6,128.4,130.8,134.1,130.3,131.5,132.2,131.4,131.1,132.6,133.1,131.5,132.3,133.3,134.6,133.9,134.3,134.5,133.9,134.6,135.3,135.3,136.3,136.9,137.2,137.4,138.9,139,139.5,137.8,138.2,139.2,142.5,141,141.7,141.8,142.8,141.9,142.7,142.1,142.4,143.9,144.7,146.5,144.3,144,145,146.9,147.2,148.9,149.8,149.4,152.3,152.7,154.3,155.5,154.8,155.8,153.6,157.9,157.3,159,157,160,161.3,161,163.8,163.4,165,170.6,169.8,171.2,172.5,174.3,175.4,177.7,176.2,177.9,179.7,179.1,180.5,180,180.7,180.5,181.5,182.7,182.9,183.6,183.6,184.9,183.7,185.8,187.8,185.1,187.8,190.7,191.3,193,196.4,195.8,197.3,200.3,202.6,203.7,202.2,203.5,207,204.5,207.3,209.3,209.9,210.8,213.6,212.3,214.6,217.3,216,219.2,219.3,220.7
"13","5","Services","DSERRC1",139.1,140.4,140.9,141.9,143.2,144.7,145.4,146.5,147.8,148.6,149.5,150.8,151.1,151.6,152.3,153.6,154.4,154.5,154.7,154.8,155.5,156.5,157.6,157.9,158.7,159,160.3,161.5,162.6,163,163,163.4,164.6,166.1,167.4,168.3,169,169.8,170.8,172.2,173.5,174,174.6,175.2,176.3,177.1,178.5,178.8,179.1,179.6,180.4,181.4,181.8,183.3,184.7,186.2,187,188.3,189.3,190.8,192.2,193.3,194.9,195.8,197,198.6,199.5,200.6,202.1,203.1,204.4,205.7,206.7,207.6,208.5,210.3,211.7,212.9,214.3,215.6,217,219,220.8,222.3,223.1,224.2,225.8,227.5,228.9,230.3,232,232.5,234.2,235.6,237.8,239.8,241,241.2,242.6,244.2,245.5,247.5,249.3,251.1,252.5,253.7,255.2,257.4,260.5,261.8,265.2,267.4,269.1,272.8,274.3,276.3,278.5,280.6,282.9,284.9,286.8,289.4,290.6,293.5,297.1,298.9,300.3,302.8,305.5,308.8,311.4,312.5
"14",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","6","  PCE excluding food and energy","DPCCRC1",222.1,225.9,230,229.7,232.2,233.7,233.5,235.8,239.6,237.5,237.9,237.5,239.1,241.2,243.5,249,243.7,243.6,244.5,245.5,247.2,249,247.4,244.4,244.7,246.2,250.1,249.3,251.9,252.7,253.4,254.3,256.2,258.9,261.9,264,264.7,264.6,267.7,269.8,272.4,271.1,272.2,273,277.6,275.7,280.6,282.4,282.1,281.4,283.4,285.4,285.7,290.2,291.9,292.6,293.2,293.8,296.5,300.9,302.6,305.8,306.6,307.4,312.4,314.5,317.1,319.1,318.1,320.4,318.5,320.5,325.2,330.8,333.1,335.3,335.3,331.7,336.2,339.7,347.7,349.8,351.5,352.6,356.1,360.2,364.1,364.8,361.4,363.6,367.5,370.4,375.6,375.3,376.5,377.8,380.2,378.2,381.5,386.6,386.8,390.8,391.5,394.1,398.9,395.6,399.3,405.1,411.2,413.2,421.5,422.1,427.1,431.7,437.7,440.3,442,445.1,447.9,448.9,454.1,458.2,457.9,463.1,467.5,468.8,469.4,474.9,478.7,481.5,483,484.6
"16","7","  Food \1\","DFXARC1",61.9,61.4,60.5,60.3,61.6,61.9,61.6,61.6,62.1,62.1,61.5,62.7,61.6,61.1,62.6,63.4,62.8,62.6,63.2,62.3,62,62.6,63.8,62.6,63.5,63.8,63.9,64.1,63.8,63.9,63,63.8,64,63.6,63.5,64.2,63.8,64.5,64.6,64.2,64.6,64.3,64.3,64.9,65.8,65.1,65.1,64.7,65.4,65,65.2,64.9,65.3,65.8,66.5,66.9,65.6,66.2,66.9,66.6,67.4,67.4,68.2,68.2,69.1,69.3,70.2,70.6,70.4,70.5,70.1,72.5,71.4,72.1,71.5,72.6,73.1,73.9,74.9,75.1,74.4,78.3,77.2,78.8,78.5,79.7,80.3,81.1,80.3,80.3,81.5,80.8,81.4,80.6,81.4,81.2,81.8,81.8,82,82.1,81.5,82.3,81.4,82.7,83.3,83,83.4,85.3,84.7,85,87.4,86.8,87.8,89.2,89.9,90.5,90,90.6,92.7,91.3,92.8,93.3,93.1,93.1,95,94.1,95.2,96.6,96,98,98.3,98.8
"17","8","  Energy goods and services \2\","DNRGRC1",22.6,22.7,22.7,22.5,22.8,23,23,23.1,22.9,23.5,23.9,23,23.3,23.4,24.4,24.5,23.9,24.2,24.1,24.2,24.5,24.3,24.6,24.7,24.5,24.2,24.2,24.7,24.7,24.8,24.7,24.5,24.6,24.5,25,24.7,25.1,25.4,25.7,25.6,25.5,25.5,25.4,25.6,25.9,26.3,26.5,27,27.3,27.4,26.8,26.4,26.7,26.1,26.4,27.1,27.1,26.5,26.5,27.6,27.3,27.5,27.6,27.8,27.5,28.1,28.2,28.6,28.6,29.3,28.3,28.6,28.4,29.1,29.3,29.7,29.8,30.2,30.6,30.2,30.5,31,31,30.9,31.2,30.9,31.2,31.7,32,32.3,32.3,32.6,32.9,33,32.9,33.5,33,33.7,33,33.3,34.6,34.4,34.5,33.7,34.2,34.4,35.4,35.4,35.6,35.9,36,35.7,35.5,35.9,36.2,36.7,36.8,36.6,36.8,37,37.4,37.9,38.7,38.5,38.6,38.8,38.9,39.3,39.4,39.9,40.1,40.3
"18","9","  Market-based PCE \3\","DPCMRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","10","  Market-based PCE excluding food and energy \3\","DPCXRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","1. Food consists of food and beverages purchased for off-premises consumption; food",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","services, which include purchased meals and beverages, are not classified as food.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2. Consists of gasoline and other energy goods and of electricity and gas services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","3. Market-based PCE is a supplemental measure that is based on household expenditures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","for which there are observable price measures.  It excludes most imputed transactions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","(for example, financial services furnished without payment) and the final consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","expenditures of nonprofit institutions serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
