"","Table 4#1# Foreign Transactions in the National Income and Produ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"11","4","    Durable","A332RC1",23.9,27.4,27.9,31.4,42.3,57.7,65.2,70.9,74.4,87.5,109.6,135.7,143.2,128.5,123.8,135.2,139.9,145.3,166.9,211.9,242.5,265.3,285.6,304.2,317.9,353.8,398.6,426.4,488.4,492.4,508.7,573.4,525.3,492.8,501.8,565.7,629.8,715,782.9,829.2,671.6,801.4,894,940.9,957.3
"12","5","    Nondurable","A339RC1",14.8,17.7,18.3,21.2,33.5,45.8,47.3,50.6,54,62.4,77.6,94.8,102,94.1,90.3,96.1,87.6,86.1,98.6,120.1,132.2,138,144.6,151.1,149.9,164.6,193.8,202.4,211.5,200.2,203,223.9,218.6,220.4,239.6,268.7,296.8,334.6,383.5,469.6,393.5,478.2,572.9,586.2,605.5
"13","6","  Services \1\","A646RC1",13.2,14.7,16.8,18.3,19.5,23.2,26.2,28,30.9,37,42.9,50.3,60,60.7,62.9,71.1,75.7,89.6,98.4,112.5,129.5,148.6,164.8,177.7,187.1,202.6,220.4,238.8,253.9,260.4,280.3,299.6,282.9,289.3,298.9,347.1,382.3,426.7,498.2,543.1,522.6,572.7,639.5,667,699.4
"14","7","Income receipts","B645RC1",11.8,12.8,14,16.3,23.5,29.8,28,32.4,37.2,46.3,68.3,79.1,92,101,101.9,121.9,112.7,111.3,123.3,152.1,177.7,188.8,168.4,152.1,155.6,184.5,229.8,246.4,280.1,286.8,321.4,382.7,325.3,315.8,356.1,451.4,575.8,724.2,875.7,856.9,648.9,720,792.6,793.8,810.4
"15","8","  Wage and salary receipts","B4188C1",0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.9,1,1,1,1.2,1.3,1.8,1.8,1.9,2.2,2.2,2.3,2.4,4.2,4.4,4.5,4.6,4.7,4.7,4.8,5.1,5.2,5.4,5.7,5.9,6.1,6.4,6.7
"16","9","  Income receipts on assets","W160RC1",11.5,12.6,13.7,16,23.2,29.5,27.7,32,36.8,45.8,67.9,78.6,91.5,100.5,101.3,121.2,112,110.4,122.3,151.1,176.7,187.7,167.1,150.3,153.8,182.6,227.7,244.2,277.8,284.3,317.2,378.3,320.8,311.2,351.4,446.7,571,719.2,870.4,851.6,643.2,714.1,786.5,787.5,803.7
"17","10","    Interest","A2067C1",3.5,3.9,4,4.2,5.7,9.1,9.8,11,13,16.8,25.3,34.8,53.4,63.8,60.2,75.1,65.2,61.7,63.4,79.5,101.2,106.8,91.6,71.9,64.8,78.1,100.3,104.9,122.3,137.6,139.9,175.3,137.5,106,101.4,118.5,187.3,285.4,360,269.6,145.1,129.5,142.2,143.1,146.6
"18","11","    Dividends","B3375C1",4.8,5,6.1,6.5,8.6,11.6,8.6,11.7,14.1,14.7,19.9,21.5,20.7,23.9,19.5,19.7,21,27.9,27.9,45.1,47.9,43.7,41.4,44.7,39.5,59.7,58.6,69.1,80,83.2,92.5,86.2,87.2,92.7,101,135.6,363.3,186,249,316.4,237.2,248,298.6,321.7,286.8
"19","12","    Reinvested earnings on U.S. direct investment abroad","B3475C1",3.2,3.6,3.7,5.2,9,8.8,9.3,9.3,9.6,14.3,22.7,22.4,17.3,12.8,21.6,26.5,25.8,20.8,31,26.5,27.6,37.3,34,33.6,49.5,44.9,68.8,70.3,75.5,63.5,84.8,116.9,96.1,112.6,149,192.5,20.4,247.8,261.4,265.6,260.9,336.6,345.7,322.7,370.2
"20","13","    Current payments to the rest of the world","W163RC1",62.1,68.8,76.7,91.2,109.9,150.5,146.9,174.8,207.5,245.8,299.6,351.4,393.9,387.5,413.9,514.3,530.2,575,641.3,712.4,774.3,815.6,755.4,830.7,888.9,1020.2,1147.7,1228.1,1363.2,1444.3,1600.4,1883.8,1741,1769.2,1912.9,2259.4,2627.5,3004.6,3257.9,3385,2613.9,3020.3,3379.5,3470.2,3494.8
"21","14","Imports of goods and services","B021RC1",50.5,55.8,62.3,74.2,91.2,127.5,122.7,151.1,182.4,212.3,252.7,293.8,317.8,303.2,328.6,405.1,417.2,452.9,508.7,554,591,629.7,623.5,667.8,720,813.4,902.6,964,1055.8,1115.7,1248.6,1472.6,1395.4,1429,1543.9,1800.7,2030.1,2247.3,2383.2,2565,1983.2,2365,2686.4,2762.5,2770.4
"22","15","  Goods \1\","A255RC1",36.8,40.9,46.6,56.9,71.8,104.5,99,124.6,152.6,177.4,212.8,248.6,267.8,250.5,272.7,336.3,343.3,370,414.8,452.1,484.8,508.1,500.7,544.9,592.8,676.8,757.4,807.4,885.7,930.8,1051.2,1251.5,1176.7,1199.3,1296.2,1511.6,1719.4,1899.7,2003.8,2149.4,1590.3,1949.8,2244.7,2306,2302.3
"23","16","    Durable","A333RC1",20.8,22.8,26.6,33.3,40.8,50.3,45.6,56.8,69.2,89,100.4,111.9,126,125.1,147.3,192.4,204.2,238.8,264.2,294.8,310.3,314.5,315.5,346.7,386.4,454,510.8,533.4,588.5,637.7,715.8,822.9,757.7,774.2,806.3,936.5,1025.7,1131.2,1176.2,1163,893.8,1106.9,1238.7,1328.7,1360.5
"24","17","    Nondurable","A340RC1",16.1,18.1,19.9,23.6,31,54.2,53.4,67.8,83.4,88.4,112.3,136.6,141.8,125.4,125.4,143.9,139.1,131.2,150.6,157.3,174.5,193.5,185.2,198.2,206.4,222.8,246.7,274.1,297.1,293,335.4,428.6,419,425.1,489.9,575,693.7,768.5,827.5,986.4,696.5,842.9,1006,977.4,941.7
"25","18","  Services \1\","B656RC1",13.7,14.9,15.8,17.3,19.3,22.9,23.7,26.5,29.8,34.8,39.9,45.3,49.9,52.6,56,68.8,73.9,82.9,93.9,101.9,106.2,121.7,122.8,122.9,127.2,136.6,145.1,156.5,170.1,184.9,197.4,221.2,218.7,229.6,247.7,289.1,310.7,347.6,379.4,415.6,392.9,415.2,441.6,456.4,468.1
"26","19","Income payments","A655RC1",5.7,6.4,6.4,7.7,10.9,14.3,15,15.5,16.9,24.7,36.4,44.9,59.1,64.5,64.8,85.6,87.3,94.4,105.8,129.5,152.9,154.2,136.8,121,123.6,160.7,201.1,214.6,256,268.5,294.3,345.7,273.5,267.2,289,362.3,483.2,656.6,750.1,684.9,497.8,514.1,546,566.5,586.1
"27","20","  Wage and salary payments","B4189C1",0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.7,0.7,0.8,0.9,2.7,2.4,1.9,2.3,3.5,4,4.8,5.1,6,6.3,6.3,6.7,7,11.4,11,11.7,12.4,12.9,14,15.9,16.4,15.7,17.1,14.4,14,14.2,14.8,15.6
"28","21","  Income payments on assets","W161RC1",5.5,6.2,6.2,7.4,10.6,13.9,14.6,15.1,16.4,24.2,35.9,44.3,58.4,63.8,64,84.7,86.4,91.7,103.5,127.6,150.6,150.7,132.7,116.2,118.5,154.7,194.8,208.3,249.3,261.5,282.9,334.7,261.8,254.8,276.1,348.3,467.3,640.2,734.4,667.9,483.4,500.1,531.8,551.7,570.5
"29","22","    Interest","B1869C1",4,4.7,4.2,5.2,7.9,11,11.3,10.7,11.8,18,27.9,36,50,59.7,58,75.2,77.7,82.4,92.5,113,142.2,145.8,133.7,111,106.4,128.2,160.4,170.9,201.4,217.5,227.6,277.9,248.9,208.3,192.7,225.2,322.7,462.6,577.3,492.6,342.5,310.7,309.4,309.2,316.5
"30","23","    Dividends","B3376C1",1,1.1,1.4,1.6,1.8,1.9,2.1,2.7,3.1,3.5,3.9,4.7,5.3,7.5,7.4,7.4,9.2,10,11.2,13.2,16.3,18.7,17.1,16.6,18.9,21.5,25.8,28.7,32.8,41,51,56.9,46.5,44.8,68.9,73.3,102.5,108.1,108.6,135.9,119,126.6,143.7,144.8,154
"31","24","    Reinvested earnings on foreign direct investment in the United States","B3476C1",0.4,0.4,0.6,0.6,0.9,1.1,1.2,1.7,1.6,2.6,4.1,3.6,3.1,-3.4,-1.3,2.2,-0.5,-0.7,-0.3,1.4,-7.9,-13.9,-18.1,-11.4,-6.9,5.1,8.6,8.7,15.2,3,4.3,-0.1,-33.7,1.8,14.5,49.8,42.1,69.5,48.5,39.4,21.9,62.8,78.7,97.7,100.1
"32","25","Current taxes and transfer payments to the rest of the world (net)","A123RC1",5.9,6.6,7.9,9.2,7.9,8.7,9.1,8.1,8.1,8.8,10.6,12.6,17,19.8,20.5,23.6,25.7,27.8,26.8,29,30.4,31.7,-4.9,41.9,45.4,46.1,44.1,49.5,51.4,60,57.5,65.4,72.1,73,80,96.4,114.2,100.7,124.7,135.1,132.9,141.2,147.2,141.3,138.3
"33","26","  From persons (net)","B070RC1",1.1,1.3,1.4,1.4,1.6,1.4,1.3,1.4,1.4,1.6,1.7,2,5.6,6.7,7,7.9,8.3,9.1,10,10.8,11.6,12.2,14.1,14.5,17.1,18.9,20.3,22.6,25.7,29.7,32.2,34.6,38.1,40.6,41.2,43.6,48.4,51.6,59.3,66.2,66.1,73,74.1,73.1,74.3
"34","27","  From government (net)","B088RC1",4.5,4.9,6.1,7.4,5.6,6.4,7.1,5.7,5.3,5.9,6.8,8.3,8.3,9.7,10.1,12.2,14.4,15.4,13.4,13.7,14.2,14.7,-24,22,22.9,21.1,15.6,20,16.7,17.4,17.9,19.4,15.8,21.2,25.2,26.5,34.6,27.2,34.5,33.7,45.6,45.6,51.5,44.3,40.7
"35","28","  From business (net)","W164RC1",0.3,0.4,0.4,0.5,0.7,1,0.7,1.1,1.4,1.4,2,2.4,3.2,3.4,3.4,3.5,2.9,3.2,3.4,4.5,4.6,4.8,5,5.4,5.4,6,8.2,6.9,9.1,13,7.4,11.4,18.3,11.3,13.7,26.3,31.3,21.9,30.8,35.2,21.2,22.6,21.6,23.8,23.3
"36","29","    Balance on current account, NIPAs","A124RC1",1.6,3.7,0.3,-4,8.9,6,19.8,7.1,-10.9,-12.6,-1.2,8.5,3.4,-3.3,-35.1,-90.1,-114.3,-142.7,-154.1,-115.7,-92.4,-74.9,7.9,-45.6,-78.5,-114.7,-105.1,-114.1,-129.3,-204.5,-287,-404.2,-389,-450.9,-516.6,-626.4,-742.9,-804,-717.6,-686.1,-377.3,-447.9,-480.5,-482.2,-422.2
"37",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","30","  Net lending or net borrowing (-), NIPAs","W162RC1",1.6,3.7,0.3,-4.1,8.8,5.9,19.8,7,-11,-12.7,-1.3,8.4,3.3,-3.4,-35.2,-90.2,-114.4,-142.8,-154.2,-115.9,-92.7,-82.3,2.6,-44.3,-79.4,-116,-105.5,-114.3,-129.8,-204.7,-291.5,-404.6,-376,-451.4,-518.7,-623.7,-730,-806.1,-717.5,-680.7,-377.8,-448.6,-482.1,-475.7,-423
"39","31","    Balance on current account, NIPAs","A124RC1",1.6,3.7,0.3,-4,8.9,6,19.8,7.1,-10.9,-12.6,-1.2,8.5,3.4,-3.3,-35.1,-90.1,-114.3,-142.7,-154.1,-115.7,-92.4,-74.9,7.9,-45.6,-78.5,-114.7,-105.1,-114.1,-129.3,-204.5,-287,-404.2,-389,-450.9,-516.6,-626.4,-742.9,-804,-717.6,-686.1,-377.3,-447.9,-480.5,-482.2,-422.2
"40","32","    Less: Capital account transactions (net) \2\","W167RC1",0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,7.4,5.3,-1.3,0.9,1.3,0.4,0.2,0.5,0.2,4.5,0.3,-12.9,0.5,2.1,-2.8,-12.9,2.1,-0.1,-5.4,0.6,0.7,1.6,-6.5,0.8
"41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","1. Exports and imports of certain goods, primarily military equipment purchased",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","and sold by the federal government, are included in services.  Beginning with 1986,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","repairs and alterations of equipment are reclassified from goods to services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2. Consists of capital transfers and the acquisition and disposal of nonproduced",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","nonfinancial assets.  Prior to 1982, reflects only capital grants paid to the U.S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","territories and the Commonwealths of Puerto Rico and Northern Mariana Islands.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
