"","Table 6#2D# Compensation of Employees by Industry               ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"30","23","        Other transportation equipment","N4023C0",49954,50967,50461,51390,50768,51054,56061,57098,61789,65778,68294,66797,66496,69230,71739,74059
"31","24","        Furniture and related products","N4024C0",21261,22711,23926,22919,22468,22347,23212,23590,23985,23775,22170,17720,16697,16854,17304,17896
"32","25","        Miscellaneous manufacturing","N4025C0",34094,35571,37341,37378,37078,38354,40147,41390,42993,45014,45538,43517,43806,44908,46185,47480
"33","26","      Nondurable goods","N4026C0",284907,293456,302155,299141,293791,297485,300638,305254,309052,316183,316376,295931,300899,303753,313313,319358
"34","27","        Food and beverage and tobacco products","N4027C0",66630,69389,71894,73543,74826,77592,78908,79910,81190,84276,86056,85509,88150,88098,92107,94412
"35","28","        Textile mills and textile product mills","N4029C0",20730,20552,20387,18541,17557,16792,16498,15558,14766,14429,13476,10879,10933,11011,11215,11481
"36","29","        Apparel and leather and allied products","N4030C0",17793,16587,15874,14395,12731,12057,11884,11308,10965,10651,10451,8585,8380,8151,8185,8234
"37","30","        Paper products","N4032C0",31893,32706,33240,32608,31974,31813,31305,31297,31079,31378,31216,28472,28902,29196,29177,29435
"38","31","        Printing and related support activities","N4033C0",33419,34283,35198,34321,32706,32162,32271,32634,32975,33337,32255,27257,26065,25941,25624,25553
"39","32","        Petroleum and coal products","N4034C0",10656,11065,11084,12081,11224,12152,12512,13452,15607,15772,16348,16465,16450,16914,18149,17937
"40","33","        Chemical products","N4035C0",67012,70098,74173,74758,74053,76044,77999,80757,81484,85724,86589,84267,85925,86701,89791,92273
"41","34","        Plastics and rubber products","N4036C0",36774,38777,40306,38893,38718,38873,39260,40336,40986,40616,39983,34498,36094,37740,39066,40033
"42","35","    Wholesale trade","N4037C0",289049,302267,327888,330201,329037,336984,357147,379273,404717,429179,435519,405295,412479,436654,457573,467630
"43","36","      Durable goods","N4038C0",179724,189427,206100,204443,199585,202412,214880,229181,245464,259726,262366,237795,240894,257432,269726,276411
"44","37","      Nondurable goods","N4039C0",109325,112840,121788,125758,129452,134572,142267,150092,159252,169452,173152,167501,171584,179222,187847,191219
"45","38","    Retail trade","N4040C0",362715,380569,405728,416679,428406,444680,459158,477532,492287,506077,500490,474527,479485,496637,511670,529219
"46","39","      Motor vehicle and parts dealers","N4041C0",69610,73962,77750,81630,84828,87987,89997,93130,94789,96193,90021,78062,81637,87326,92545,98328
"47","40","      Food and beverage stores","N4042C0",61884,63387,66019,68167,69900,71926,72655,73657,75051,77391,80550,79338,80236,80965,83044,85764
"48","41","      General merchandise stores","N4043C0",49405,51250,55834,57800,61377,65429,68174,72214,75069,77958,79855,82223,80882,84643,84770,85721
"49","42","      Other retail \2\","N4044C0",181816,191971,206125,209081,212301,219339,228332,238530,247378,254535,250065,234904,236730,243702,251312,259405
"50","43","    Transportation and warehousing","N4045C0",180705,191671,204266,207964,206238,209575,221939,231536,241051,255815,255464,241257,245727,260029,274797,282681
"51","44","      Air transportation","N4046C0",33336,36976,39610,41788,40770,38856,38382,36518,36860,39901,38369,35252,36811,39247,40634,43238
"52","45","      Rail transportation","N4047C0",16414,17029,16656,16406,16057,16361,16979,17896,18702,19285,20394,18829,18439,20262,21998,22737
"53","46","      Water transportation","N4048C0",3040,3232,3265,3584,3694,3811,4188,4670,5090,5746,6082,5889,5997,6333,6551,6775
"54","47","      Truck transportation","N4049C0",53236,58116,60383,61212,61175,62428,65786,70113,74059,76796,74915,68011,69133,74764,79184,81464
"55","48","      Transit and ground passenger transportation","N4050C0",9209,10235,10486,10760,11092,11458,12235,12725,13567,14274,14823,15001,15422,16423,17052,17418
"56","49","      Pipeline transportation","N4051C0",3562,3844,4915,4882,3782,3721,3719,3766,4231,4733,4775,4909,5300,5728,6726,6118
"57","50","      Other transportation and support activities \3\","N4052C0",43544,44857,48965,49171,49108,51121,55223,58017,59973,63827,64118,61018,61937,64123,67145,68701
"58","51","      Warehousing and storage","N4053C0",18363,17382,19984,20161,20560,21818,25426,27831,28569,31251,31988,32346,32689,33149,35507,36230
"59","52","    Information","N4054C0",189515,219617,245982,247207,228397,230443,237912,241382,248776,260446,257780,251554,248561,260240,271375,286126
"60","53","      Publishing industries (includes software)","N4055C0",61169,70609,76136,76059,69606,71567,72154,74251,78129,86013,86148,82596,81719,87295,92391,99969
"61","54","      Motion picture and sound recording industries","N4056C0",19214,19437,20404,22415,21716,22261,24153,24441,24988,26351,27186,26831,27949,29101,30405,29834
"62","55","      Broadcasting and telecommunications","N4057C0",85379,98764,108584,108254,103598,103288,106193,106058,106895,117105,113951,112141,107817,109684,111138,111624
"63","56","      Information and data processing services","N4058C0",23753,30806,40859,40478,33477,33325,35413,36631,38764,30977,30495,29985,31075,34160,37442,44699
"64","57","    Finance and insurance","N4059C0",350353,375539,411892,445619,443986,460524,498494,535378,579775,618202,612921,549013,574300,606790,631140,642255
"65","58","      Federal Reserve banks, credit intermediation, and related activities","N4060C0",123372,130432,134484,150827,161044,175987,183805,196393,207545,209897,199819,184876,187522,198759,211175,219618
"66","59","      Securities, commodity contracts, and investments","N4061C0",104139,116718,142837,151943,135806,129819,149992,165656,189053,219331,219865,177529,195000,202565,203901,202241
"67","60","      Insurance carriers and related activities","N4062C0",121899,127383,133478,141671,145977,153466,163202,171682,181418,188336,192599,185998,191250,204846,215527,219797
"68","61","      Funds, trusts, and other financial vehicles","N4063C0",944,1006,1093,1178,1159,1252,1496,1647,1759,637,638,609,528,619,537,599
"69","62","    Real estate and rental and leasing","N4064C0",67702,73093,78990,81225,85997,87408,94948,101397,107907,111799,109856,103430,103707,106812,114609,119427
"70","63","      Real estate","N4065C0",46816,50650,54648,56601,60939,62584,68599,73929,78952,81295,79715,75555,76263,78305,84112,88457
"71","64","      Rental and leasing services and lessors of intangible assets \4\","N4066C0",20885,22443,24343,24623,25058,24824,26350,27468,28955,30504,30141,27875,27443,28508,30497,30970
"72","65","    Professional, scientific, and technical services","N4067C0",367110,404222,462628,477188,468283,477003,505621,552518,606493,653875,692225,668853,682356,727223,776983,800589
"73","66","      Legal services","N4068C0",65575,68814,75132,81067,85181,89875,93971,98612,104024,109969,113217,109825,108673,112544,115607,117081
"74","67","      Computer systems design and related services","N4069C0",78353,93498,114027,112009,99100,97556,104225,114427,127377,140533,149557,147467,156488,172330,192861,197623
"75","68","      Miscellaneous professional, scientific, and technical services \5\","N4070C0",223182,241911,273469,284112,284002,289572,307425,339479,375092,403373,429451,411561,417195,442349,468515,485885
"76","69","    Management of companies and enterprises \6\","N4071C0",118526,126275,147585,150218,150324,159548,175370,185082,200410,219428,220536,207560,226979,237943,260551,275159
"77","70","    Administrative and waste management services","N4072C0",177755,192170,218762,223996,227779,235436,252997,274626,292389,309985,313865,289210,306588,322313,342789,355883
"78","71","      Administrative and support services","N4073C0",164513,178210,204233,208675,211893,218782,235391,255730,272414,289357,292152,267881,278792,298880,317221,329899
"79","72","      Waste management and remediation services","N4074C0",13242,13960,14529,15322,15886,16654,17605,18896,19976,20628,21713,21329,27795,23433,25568,25983
"80","73","    Educational services","N4075C0",64357,69479,74443,79625,88675,94171,101860,105514,112819,120693,129145,139538,145181,152356,159812,162306
"81","74","    Health care and social assistance","N4076C0",436213,460800,488822,524870,565864,606372,650226,687534,733344,775118,824565,862953,889151,923031,957531,992764
"82","75","      Ambulatory health care services","N4077C0",197234,206125,218869,234847,251643,267284,288528,305865,327438,346296,366744,381631,399155,416648,436664,451693
"83","76","      Hospitals","N4078C0",148214,156041,163450,177063,191634,208166,223645,236687,253600,268046,286650,302941,304352,318599,328185,336034
"84","77","      Nursing and residential care facilities","N4079C0",56163,59818,64107,68702,74292,78634,82763,85275,90118,94819,100986,105022,109274,111267,113301,116368
"85","78","      Social assistance","N4080C0",34602,38816,42397,44257,48295,52289,55291,59706,62188,65958,70186,73359,76369,76518,79380,88669
"86","79","    Arts, entertainment, and recreation","N4081C0",45832,49773,55253,57957,61440,64121,67141,68509,73092,76964,80534,78648,79523,81721,86223,89228
"87","80","      Performing arts, spectator sports, museums, and related activities","N4082C0",21548,23739,26438,27839,29593,31134,32563,33037,36586,38764,40672,40268,40675,41990,44325,45835
"88","81","      Amusements, gambling, and recreation industries","N4083C0",24284,26034,28815,30118,31847,32987,34577,35472,36506,38199,39863,38380,38847,39731,41898,43393
"89","82","    Accommodation and food services","N4084C0",149813,164220,175131,183122,188578,198735,213026,222845,233368,247694,252346,242864,248466,262710,280723,291110
"90","83","      Accommodation","N4085C0",41837,46379,49949,50638,49940,51070,54978,57195,59305,63164,65442,59774,60809,64299,67218,69414
"91","84","      Food services and drinking places","N4086C0",107976,117840,125181,132484,138638,147665,158048,165650,174063,184530,186904,183090,187657,198411,213505,221696
"92","85","    Other services, except government","N4087C0",153018,159508,171795,177285,189042,196337,206065,209479,219011,231125,240014,235873,232661,240637,252209,261054
"93","86","  Government","A4076C0",935469,988376,1051895,1119403,1191642,1266545,1342867,1404133,1466236,1540984,1617492,1666161,1723475,1737143,1743043,1759324
"94","87","    Federal","B4077C0",234412,241612,256305,264870,290711,321139,342277,362369,375136,390549,410434,433525,462215,470599,467768,458620
"95","88","      General government","B568RC0",185846,191682,202444,211183,236362,266924,284247,303686,314780,329561,350247,375491,404756,413579,411072,402827
"96","89","        Civilian","B4079C0",116331,120360,128011,131200,143889,156283,166886,176863,182888,192109,202988,218548,241542,249065,248999,245604
"97","90","        Military \7\","W4080C0",69515,71322,74433,79983,92473,110641,117362,126823,131892,137452,147259,156943,163215,164512,162074,157221
"98","91","      Government enterprises","A4081C0",48566,49930,53861,53687,54349,54215,58029,58683,60356,60988,60187,58034,57458,57022,56696,55795
"99","92","    State and local","B4082C0",701056,746764,795590,854532,900930,945405,1000590,1041764,1091100,1150436,1207058,1232636,1261260,1266544,1275275,1300704
"100","93","      General government","B251RC0",652522,695113,740400,794404,836392,876522,926296,964970,1011099,1065498,1117676,1141874,1167409,1171414,1180739,1206393
"101","94","        Education","B4084C0",346751,370274,395857,423499,445621,468246,493949,515257,541910,570516,597351,610690,629072,631041,634842,648153
"102","95","        Other \8\","B4085C0",305771,324839,344543,370904,390770,408275,432347,449713,469190,494982,520325,531185,538337,540373,545897,558239
"103","96","      Government enterprises \8\","B4086C0",48534,51651,55190,60129,64539,68884,74294,76794,80000,84938,89382,90762,93850,95130,94536,94311
"104","97","Rest of the world","A4187C0",-4563,-7170,-6565,-7205,-7799,-8242,-9243,-11116,-11361,-10506,-11701,-8682,-8034,-8082,-8453,-8877
"105","98","  Receipts from the rest of the world","B4188C0",2437,4246,4395,4513,4570,4671,4734,4796,5069,5219,5364,5740,5931,6105,6354,6695
"106","99","  Less: Payments to the rest of the world \9\","B4189C0",7000,11416,10960,11718,12369,12913,13977,15912,16429,15725,17066,14422,13965,14186,14807,15572
"107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","1. NAICS crop and animal production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","2. Consists of furniture and home furnishings stores; electronics and appliance stores; building",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","material and garden equipment and supplies dealers; health and personal care stores; gasoline",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","stations; clothing and clothing accessories stores; sporting goods, hobby, book, and music",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","stores; miscellaneous store retailers; and nonstore retailers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","3. Consists of scenic and sightseeing transportation; transportation support activities; and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","couriers and messengers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","4. Intangible assets include patents, trademarks, and franchise agreements, but not copyrights.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","5. Consists of accounting, tax preparation, bookkeeping, and payroll services; architectural,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","engineering, and related services; specialized design services; management, scientific, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","technical consulting services; scientific research and development services; advertising and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","related services; and other professional, scientific, and technical services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","6. Consists of offices of bank and other holding companies and of corporate, subsidiary, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","regional managing offices.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","7. Includes Coast Guard.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","8. Employees of Indian tribal governments are classified in state and local government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","9. Includes estimates of foreign professional workers and undocumented Mexican migratory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","workers employed temporarily in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","Note. Estimates in this table are based on the 2002 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
