"","Table 1#1#3# Real Gross Domestic Product, Quantity Indexes      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","    Durable goods","DDURRA3",3.133,2.594,2.241,1.704,1.659,1.899,2.298,2.808,2.954,2.448,2.901,3.321,3.831,2.432,2.183,2.013,2.236,4.039,4.737,5.048,5.458,6.618,6.068,5.936,6.629,6.6,8.008,7.709,7.779,7.187,8.033,8.196,7.921,8.826,9.638,10.538,11.844,12.828,13.018,14.463,15.005
"12","5","    Nondurable goods","DNDGRA3",13.89,13.166,13.025,11.877,11.835,12.8,13.533,15.078,15.449,15.673,16.388,17.089,18.114,18.163,18.276,18.659,19.816,21.605,21.478,21.639,21.96,22.693,23.038,23.904,24.646,25.037,26.337,27.263,27.809,28.179,29.447,29.936,30.54,31.481,32.159,33.668,35.365,37.33,38.132,39.745,40.845
"13","6","  Services","DSERRA3",6.988,6.842,6.668,6.265,6.033,6.329,6.55,6.953,7.279,7.221,7.502,7.791,8.254,8.708,9.403,9.928,10.46,10.936,10.981,11.271,11.542,12.047,12.758,13.33,13.891,14.376,15.098,15.822,16.366,16.896,17.729,18.422,19.101,20.005,20.856,22.097,23.322,24.473,25.474,26.818,28.011
"14","7","Gross private domestic investment","B006RA3",6.581,4.482,2.914,1.075,1.454,2.404,4.183,5.289,6.514,4.482,5.621,7.656,9.371,5.219,3.255,3.886,5,11.978,11.528,14.53,11.228,15.64,15.678,14.397,15.207,14.609,17.981,17.931,17.26,16.008,19.083,19.153,19.214,21.498,22.958,24.768,28.196,30.728,29.653,31.426,33.176
"15","8","  Fixed investment","B007RA3",7.6,5.906,4.196,2.583,2.333,2.95,3.748,4.895,5.677,4.619,5.442,6.458,7.429,4.434,3.486,4.15,5.525,9.803,11.644,12.743,11.685,13.884,13.321,13.235,14.269,14.537,16.375,16.607,16.491,15.465,17.551,17.761,17.879,19.41,20.911,22.822,25.189,26.752,26.505,28.367,30.042
"16","9","    Nonresidential","B008RA3",5.45,4.542,3.059,1.931,1.777,2.232,2.781,3.683,4.359,3.324,3.654,4.444,5.287,3.312,2.784,3.533,4.822,6.968,8.002,8.374,7.635,8.331,8.678,8.669,9.539,9.402,10.411,11.115,11.311,10.256,11.083,11.694,11.786,12.739,13.48,14.926,17.419,19.559,19.491,20.426,21.846
"17","10","      Structures","B009RA3",32.65,27.941,17.982,11.012,8.542,9.632,10.686,14.028,17.789,14.233,15.02,17.051,20.251,12.516,9.096,11.911,16.06,31.723,28.853,30.362,29.354,31.454,33.861,33.729,36.725,37.984,40.707,44.98,44.956,42.504,43.522,46.98,47.623,49.798,50.375,55.613,64.482,68.894,67.161,68.102,71.777
"18","11","      Equipment","Y033RA3",3.744,2.968,1.98,1.16,1.187,1.642,2.237,3.069,3.568,2.484,2.867,3.715,4.355,2.499,2.245,3.001,4.298,5.36,7.286,7.668,6.714,7.409,7.625,7.407,8.08,7.628,8.67,8.899,9.134,7.802,8.73,9.064,8.876,9.89,10.659,12.004,14.187,16.379,16.215,17.204,18.627
"19","12","      Intellectual property products","Y001RA3",0.706,0.71,0.682,0.663,0.691,0.795,0.879,0.982,1.033,1.112,1.087,1.136,1.484,1.414,1.222,1.219,1.373,1.672,1.674,1.635,1.581,1.713,1.684,2.102,2.54,2.676,2.887,3.363,3.485,3.646,3.966,4.208,4.671,4.892,5.377,5.619,6.335,7.174,7.73,8.311,8.762
"20","13","    Residential","B011RA3",20.395,12.634,10.739,6.072,5.102,6.614,9.009,11.205,12.074,12.128,16.953,19.031,20.158,10.476,6.451,5.612,6.406,25.469,32.632,38.978,36.113,49.261,41.352,40.67,42.18,45.727,53.074,48.868,45.983,46.486,58.14,54.173,54.402,59.608,66.588,70.588,68.783,63.011,61.367,69.675,71.861
"21","14","  Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","15","Net exports of goods and services","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","16","  Exports","B020RA3",2.55,2.108,1.752,1.373,1.381,1.535,1.619,1.701,2.142,2.118,2.236,2.544,2.608,1.722,1.452,1.559,2.185,4.719,5.381,4.238,4.199,3.677,4.506,4.311,4.022,4.217,4.667,5.437,5.911,5.112,5.639,6.617,6.652,6.988,7.488,8.37,8.604,9.198,9.409,10.151,10.646
"24","17","    Goods","B253RA3",2.781,2.284,1.889,1.465,1.458,1.606,1.684,1.772,2.228,2.262,2.387,2.743,2.813,1.727,1.35,1.449,2.174,5.024,5.778,4.473,4.445,3.841,4.677,4.436,4.136,4.37,4.83,5.664,6.112,5.185,5.149,6.357,6.389,6.673,7.199,8.199,8.28,8.899,8.941,9.664,10.167
"25","18","    Services","B646RA3",1.66,1.444,1.24,1.033,1.11,1.31,1.435,1.493,1.902,1.617,1.711,1.845,1.889,1.67,1.764,1.898,2.131,3.462,3.765,3.286,3.2,2.995,3.785,3.774,3.532,3.578,3.986,4.508,5.07,4.75,7.352,7.468,7.514,8.03,8.43,8.889,9.66,10.163,10.981,11.784,12.247
"26","19","  Imports","B021RA3",2.655,2.31,2.015,1.671,1.741,1.779,2.331,2.304,2.593,2.015,2.116,2.168,2.665,2.42,3.051,3.193,3.396,2.814,2.672,3.118,3.008,3.555,3.695,4.02,4.398,4.181,4.685,5.065,5.277,5.528,6.11,6.191,6.15,6.848,7.032,7.406,8.194,9.412,10.098,11.602,12.263
"27","20","    Goods","B255RA3",2.586,2.18,1.904,1.539,1.729,1.768,2.43,2.341,2.617,1.995,2.172,2.279,2.69,1.865,2.158,2.238,2.231,2.577,2.474,2.835,2.724,3.327,3.261,3.327,3.519,3.25,3.628,3.953,4.067,4.181,4.907,4.827,4.82,5.534,5.758,6.138,7.007,8.111,8.538,10.302,10.866
"28","21","    Services","B656RA3",3.105,3.017,2.623,2.322,1.952,1.987,2.133,2.365,2.733,2.281,2.128,2.003,2.842,4.635,6.552,6.932,7.939,3.793,3.49,4.305,4.201,4.468,5.684,7.413,8.759,8.853,9.993,10.638,11.374,12.348,12.106,13.051,12.829,13.427,13.417,13.763,14.168,15.968,17.919,18.241,19.391
"29","22","Government consumption expenditures and gross investment","B822RA3",5.365,5.908,6.155,5.962,5.762,6.465,6.668,7.741,7.427,7.991,8.687,8.997,15.122,35.097,52.637,59.121,51.942,18.348,15.618,16.529,18.326,18.438,25.213,30.161,32.202,30.141,29.168,29.239,30.585,31.618,32.402,32.598,34.334,36.565,37.457,38.39,39.63,43.086,46.5,48.096,48.171
"30","23","  Federal","B823RA3",2.127,2.357,2.437,2.485,3.048,4.025,4.133,6.162,5.563,6.141,6.585,7.47,19.768,59.085,94.108,107.16,92.683,26.035,19.546,20.667,22.407,21.474,35.102,45.011,48.384,42.53,39.131,38.6,40.101,40.307,41.095,40.393,42.342,46.121,46.225,46.059,46.41,51.354,56.562,57.436,56.034
"31","24","    National defense","B824RA3",1.829,1.954,1.964,1.957,1.874,1.692,2.052,2.41,2.432,2.538,2.8,4.863,25.293,90.098,147.989,169.155,146.445,36.473,25.2,25.036,26.021,25.916,48.533,63.367,67.169,58.305,53.363,53.096,55.467,55.471,53.936,53.498,56.159,59.877,58.56,56.742,55.98,63.203,71.129,72.266,69.292
"32","25","    Nondefense","B825RA3",2.811,3.25,3.471,3.627,5.494,8.771,8.397,13.758,11.952,13.462,14.292,13.106,11.61,8.845,7.093,7.167,5.999,8.663,10.168,13.746,16.981,14.482,12.37,13.882,16.506,15.74,14.961,13.961,13.958,14.527,19.317,18.149,18.887,22.755,25.255,27.869,30.082,31.163,31.748,32.175,33.441
"33","26","  State and local","B829RA3",10.434,11.474,11.977,11.442,10.224,10.709,11.067,11.075,11.094,11.725,12.871,12.471,11.711,10.66,9.768,9.439,9.769,10.724,12.163,12.894,14.811,16.005,16.133,16.398,17.2,18.686,20.018,20.671,21.886,23.735,24.528,25.593,27.149,27.946,29.583,31.561,33.652,35.75,37.539,39.788,41.177
