"","Table 3#15#2# Contributions to Percent Change in Real Government","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13"
"18","9","Housing and community services","W597RZ2",0.04,0.24,0.33,-0.18,0.35,0.06,0.03,0.09,0.24,-0.2
"19","10","Health","W598RZ2",0.23,0.21,0.06,0.25,0.24,0.09,0.22,0.23,0.27,0.23
"20","11","Recreation and culture","W599RZ2",0.03,0.07,0.04,0.06,0.01,0.03,0.03,0.06,0.12,0.09
"21","12","Education","W600RZ2",1.01,1.01,0.59,1.35,1.35,1.58,2.1,1.21,0.83,0.77
"22","13","Income security","W605RZ2",-0.05,0.25,0.16,0,0,0.27,0.18,0.14,-0.09,0.16
"23","14","      Federal","A823RZ2",-1.61,2.4,4.83,0.04,-0.75,-0.03,5.86,5.33,0.44,-1.82
"24","15","General public service","W611RZ2",0.14,-0.02,0.15,0.04,-0.03,0.16,-0.14,-0.19,-0.07,0.23
"25","16","National defense","A824RZ2",-0.78,2.11,2.85,-1.12,-1.77,-0.88,5.72,5.44,0.7,-2.1
"26","17","Public order and safety","W615RZ2",0.01,0.01,0.01,0.01,0,0.01,0.01,0.02,0.01,0.04
"27","18","Economic affairs","W620RZ2",-1.05,-0.08,1.5,0.95,1.12,0.55,-0.23,-0.16,0.06,-0.02
"28","19","  Transportation","W625RZ2",0.1,0.07,0.03,0.03,0.02,0,0.08,0.04,-0.04,0.03
"29","20","  Space","W631RZ2",0.28,0.3,0.74,1.27,0.82,0.74,0.2,-0.69,-0.24,-0.39
"30","21","  Other economic affairs","W632RZ2",-1.43,-0.45,0.73,-0.35,0.28,-0.18,-0.51,0.48,0.33,0.34
"31","22","Housing and community services","W633RZ2",0.03,0.07,0.04,0.04,-0.04,-0.03,0.04,0.06,-0.1,0
"32","23","Health","W634RZ2",0.09,0.06,0.08,0.1,0.07,-0.03,0.18,0.08,0.09,0.04
"33","24","Recreation and culture","W635RZ2",0.03,0.01,0.02,0.02,-0.03,0.02,0.01,0,0.02,0.03
"34","25","Education","W636RZ2",-0.02,0.02,0.04,0.04,0.03,0.01,0.2,0.04,-0.05,-0.05
"35","26","Income security","W640RZ2",-0.06,0.23,0.12,-0.05,-0.1,0.17,0.08,0.04,-0.2,0.03
"36","27","      State and local","A829RZ2",1.78,2.63,1.33,2.54,2.95,3.03,2.96,2.35,2.7,1.59
"37","28","General public service","W646RZ2",0.17,0.29,0.1,0.16,0.28,0.31,0.21,0.31,0.43,0.51
"38","29","Public order and safety","W650RZ2",0.19,0.17,0.09,0.13,0.26,0.18,0.19,0.14,0.36,0.15
"39","30","Economic affairs","W655RZ2",0.23,0.77,0.27,0.93,0.39,0.63,0.49,0.39,0.28,-0.08
"40","31","  Transportation","W660RZ2",0.1,0.57,0.35,0.67,0.16,0.39,0.51,0.2,0.3,-0.12
"41","32","  Other economic affairs","W665RZ2",0.14,0.2,-0.08,0.27,0.24,0.24,-0.02,0.19,-0.02,0.04
"42","33","Housing and community services","W666RZ2",0.01,0.17,0.29,-0.23,0.39,0.1,-0.01,0.03,0.35,-0.19
"43","34","Health","W671RZ2",0.15,0.15,-0.02,0.15,0.18,0.12,0.04,0.15,0.18,0.19
"44","35","Recreation and culture","W672RZ2",0,0.06,0.01,0.04,0.04,0.01,0.03,0.06,0.1,0.06
"45","36","Education","W673RZ2",1.03,0.99,0.55,1.31,1.32,1.57,1.9,1.17,0.88,0.82
"46","37","  Elementary and secondary","W674RZ2",0.86,0.75,0.28,0.83,1.02,1.09,1.24,0.62,0.64,0.54
"47","38","  Higher","W675RZ2",0.14,0.2,0.23,0.41,0.24,0.37,0.51,0.42,0.19,0.21
"48","39","  Libraries and other","W677RZ2",0.03,0.04,0.04,0.07,0.07,0.11,0.15,0.12,0.05,0.08
"49","40","Income security","W678RZ2",0.01,0.02,0.03,0.05,0.1,0.11,0.11,0.1,0.12,0.13
