"","Table 5#6#6A# Change in Real Private Inventories by Industry, Ch","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"11","3","Nonfarm","B015RX1",6.6,4.2,-3.7,10.5,11.7,11.9,15,11.1,-0.4,-15.1,-0.6,-18.4,9.7,16.2,15.2,50.2,29,44.3,29.3,11,12.8,-10.5,11.2,16.2,10.6,14.1,5.8,-12.3,-9.2,-10.8,-9.1,-0.9,14,20,17.9,22.7,20.8,16.2,13.2,12.1,5.7,6.8,7.5,-10.2,-20.4,-18.6,-2.5,10.6,14.9,33.8,9.6,21.1,39,9,12.1,-20.2,-11.3,4.7,21,16.8,29,19.2,22,11.3,18.2,17.4,23.6,16.7,21.1,20.7,23.8,21.7,40.8,26.9,30.5,23.7,46.8,50.2,43.7,59.9,48.6,14.7,29.7,33.1,19.1,33.9,25.1,27.8,33,26.6,38.6,25.5
"12","4","  Manufacturing","A150RX1",4.7,-0.8,2.4,0.8,-0.2,8.2,7.3,2.4,3.3,-9.2,-9.2,-7.8,2.1,3.3,2.4,20.8,14.4,33.6,34.7,14.1,18.6,-4,2.7,6.3,7.6,8.8,4.4,-5.4,-11.4,-12.6,-9.9,1.6,2.7,7.8,9.7,11.5,15.1,14.4,8.4,7,4.5,1.4,1.4,-11.5,-12,-14.5,-2.7,5.8,5.2,13.9,3.7,10.8,13.7,3.3,8.1,-16.1,-3.5,1.6,12.8,8.9,18.7,10.1,14.8,1.3,8.9,8.6,9.5,0.5,9.2,2.2,10.4,20,12.7,10.3,19.9,12.9,24.6,26.2,33.4,29.4,32.8,13.5,15.4,14.4,6,13.9,18.3,9.5,15.4,8.2,13.7,13
"13","5","    Durable goods","C624RX1",-1.7,1.8,3.5,-2.3,-4.2,-0.1,0.9,0.4,1.6,-6.9,-7.9,-5.9,-0.2,4.7,3.6,11.2,9.9,20.4,23.7,10.2,12.2,-0.4,1.8,5.3,6.5,7.1,4.6,-4.1,-8.8,-11.8,-7,0.6,0.9,4.4,5.2,6.5,10.7,8.8,2.4,5.6,2.9,2.3,2.5,-7.4,-10.4,-10.3,-1.5,2,3.7,9.1,0.1,5.4,11.1,-0.9,3.7,-11.9,-7.7,-2.3,8.8,6.1,12.9,4.4,8.1,-1,6.1,6.6,5.4,-2.4,5.5,3.4,7.9,12.3,10.2,9.3,14.8,5.9,15.9,15.5,27.1,19.8,19.5,9,10.5,9.5,3.8,6.1,9.3,4.1,11.1,5.2,6.3,12
"14","6","    Nondurable goods","C625RX1",6.1,-2.4,-1,3,3.8,8.2,6.6,2.2,1.7,-2.2,-1.1,-1.8,2.5,-1.7,-1.4,9.8,4.5,13.5,10.9,3.7,6.4,-3.9,0.8,0.6,0.7,1.4,-0.6,-1,-2.1,0.2,-2.6,1.1,2,3.4,4.7,5.1,3.7,5.4,7,0.8,1.5,-1.5,-1.8,-3.7,-0.1,-3.5,-1.3,4.4,1.2,4.4,4.4,5.8,1.2,5.4,4.8,-3.1,6.8,5.4,3.3,2.5,4.9,6.4,6.9,3.1,2.5,1.4,4.2,4.1,3.7,-2.1,1.6,7.4,1.1,-0.5,3.6,7.6,8,10.5,2.8,8.2,13,3.9,4,4.4,2.1,8.6,9.6,6.1,3.2,2.7,8.2,-1.2
"15","7","  Wholesale trade","A658RX1",5.3,2.4,-4.2,-4.5,0.4,2.3,5,3.2,1.3,-1.9,1.1,0.4,4.7,5.7,0.4,9.2,1.4,5.5,-0.2,-2.1,-2.2,-1.5,4,5.1,1.6,1.7,0.6,-1.9,2,2,-0.6,-0.1,1.7,5.6,4,3.9,1.4,-0.9,5,1.9,-0.7,0.8,-0.3,-2.2,-2.8,0,0.8,1.8,3.3,8.5,4.6,9.8,6.1,3.3,-0.1,-1.9,2.3,0.1,3.1,2.1,3.2,5.3,0.3,3.8,2.8,6.8,8.5,5.5,3.5,7.2,3.7,4.4,9.7,6.8,5.1,0.7,11.9,8.5,8.8,18,10.7,0.3,13.4,8.3,1.2,9.9,4.7,-0.8,10.2,10.5,8.4,3.6
"16","8","    Durable goods","A661RX1",0.9,0.2,1.3,-1.6,1.8,2.4,2.5,1.9,0.3,-2.4,0.8,0,0.8,3.4,-0.2,7.2,1.1,5.8,1.2,-0.8,-2.4,-2.7,-0.5,1.8,1.9,-0.7,1.1,-1.8,-0.2,0,-0.2,0.1,1.8,3.7,1.4,2.2,0,-0.2,0,-0.1,-0.3,1.2,0.9,-1.3,-1.9,-0.6,0.6,1.4,2.9,5.7,-0.9,5.6,7.4,1.4,0.2,-1.8,-1.4,-1.6,3.3,3.2,2.6,2.9,2.3,2.6,1.7,4.6,2.9,1.2,1,4.6,3.3,3.1,6.7,3.5,4,1.1,9.9,4.9,5.6,9.7,4.5,1.6,3.7,6,1,4.3,2.2,1.8,5.8,7.6,4.9,2.3
"17","9","    Nondurable goods","A664RX1",3.8,1.8,-4.4,-2.5,-0.9,0.2,2.3,1.3,0.8,0.3,0.3,0.4,3.6,2.3,0.5,2.3,0.3,0.2,-1.2,-1.2,0,0.9,4,3,-0.1,2.2,-0.4,-0.2,2,1.9,-0.3,-0.2,0,1.9,2.5,1.6,1.4,-0.6,4.9,2,-0.4,-0.4,-1.2,-0.9,-0.8,0.6,0.2,0.4,0.3,2.6,5.6,4,-1.6,1.9,-0.4,-0.1,3.7,1.7,-0.3,-1.2,0.5,2.3,-2.1,1.2,1.1,2.1,5.6,4.3,2.5,2.5,0.3,1.2,2.9,3.2,1,-0.5,1.8,3.5,3.1,8,6.2,-1.3,9.9,2.1,0.2,5.8,2.6,-2.9,4.3,2.5,3.4,1.2
"18","10","      Merchant wholesalers","A151RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,6.3,5.1,8.1,4.5,1.3,-0.5,-0.8,2.1,-1,2,0.2,1.6,3.5,-1.4,2.2,1.5,5.3,7.4,4.6,3.3,7.1,3.3,3.5,9.7,6.2,4.8,-0.1,10.9,6.2,7,15.7,6.8,-1.8,12.4,6.4,1.3,7.6,3.5,-1.6,8.2,8.8,6.9,2.8
"19","11","        Durable goods","C626RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,4.2,-0.1,4.7,6.2,0,0.1,-1.1,-1.1,-1.8,2.4,2,1.2,1.9,1.4,1.9,0.6,3.2,2.5,1.1,1,4.7,3.3,2.7,6.6,2.7,3.8,0.7,9.5,3.9,3.8,8.6,2.3,0.2,3.1,5.3,0.8,3.7,1.7,1.5,4.6,6.9,4.1,1.7
"20","12","        Nondurable goods","C627RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,5.2,3.3,-1.9,1.4,-0.6,0.3,3.1,0.7,-0.5,-1.8,0.4,1.6,-2.8,0.3,0.8,2,4.9,3.5,2.2,2.3,0,0.9,3,3.4,0.9,-0.8,1.4,2.2,3,6.9,4.5,-2.1,9.3,1.1,0.5,3.8,1.8,-3.2,3.5,1.7,2.7,1.1
"21","13","      Nonmerchant wholesalers","A152RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,2.2,-0.2,1.8,1.6,1.8,0.3,-1,0.2,0.9,1.1,1.7,1.5,1.7,1.5,1.5,1.2,1.5,1.2,0.9,0.4,0.3,0.4,0.8,0.3,0.7,0.4,0.8,1.2,2.2,1.9,2.4,3.7,1.9,1.2,1.8,0,2.3,1.2,0.8,2,1.7,1.4,0.8
"22","14","        Durable goods","C628RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,1.3,-0.6,0.9,1.2,1.1,0.1,-0.6,-0.3,0.1,0.7,1,1.1,0.9,0.7,0.6,0.8,1.2,0.4,0.1,0.1,0.1,0.1,0.4,0.4,0.7,0.3,0.4,0.7,0.9,1.4,1.2,1.7,1,0.6,0.7,0.2,0.5,0.4,0.3,1.1,0.8,0.7,0.5
"23","15","        Nondurable goods","C629RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.8,0.7,0.9,0.3,0.6,0.2,-0.4,0.8,1.1,0.2,0.6,0.1,0.9,0.8,1,0.3,0.1,0.9,1,0.4,0.2,0.4,0.4,-0.1,-0.2,0.1,0.4,0.5,1.5,0.1,1.3,2.1,0.9,0.6,1.2,-0.4,2.3,0.9,0.5,0.8,0.9,0.8,0.1
"24","16","  Retail trade","A153RX1",-1.4,1.7,-3.2,9.7,10.3,1.2,2.2,4.4,-4.1,-1.9,8.2,-6.9,2,5.6,9.5,12.7,10,1.9,-7.3,-3.6,-5.7,-4.7,4,5.8,1.9,4.7,1.8,-2.6,0.5,0.6,1.5,-2.2,8.8,5.5,4,7.1,1.5,0.4,-1.3,0.4,0.5,4.1,3.7,2,-4.5,-2.8,-0.2,2.5,5.2,8.5,1,-1,16.4,0.7,2.4,-1.3,-10,0.6,2.5,1.6,5.4,2.7,5.3,5.9,3.7,0.1,4.4,7.8,6.2,7.8,6.9,-4.2,15.4,6.7,3.4,7.3,8.6,13.1,-0.8,8.3,1.6,-3.2,-3.8,5.3,8.6,8.9,-0.6,16.1,4.8,4.7,12.6,7
"25","17","    Durable goods","C630RX1",6.3,1.6,1.9,1.7,7.4,0.8,0.4,1.9,-2.1,-3.4,9.1,-7.5,-2.8,3.8,3.9,13.3,3.3,3.6,-1,-2.9,-3,-3.1,0.4,3.6,2.8,2.3,2.9,-3.1,-1.5,0.3,0.1,-2.2,5,4.7,0.9,3.7,1.1,-3,-1.8,-0.4,-0.3,3.2,3.5,2.2,-4.1,-3.6,-1.8,0.9,3.1,4.9,-1,-3,10.3,1.6,0.7,-0.6,-8.4,-1.1,-1.1,-0.6,1,0.3,4,2.5,0.6,-1,2.4,6.1,4.4,2.9,4,-5.6,10.8,4.6,3.1,2,4.5,8.6,-2.1,3.9,-3.7,-4.6,-2.9,2.9,5,8.2,-3.1,13.2,1.9,-0.4,8.4,4.5
"26","18","      Motor vehicle dealers \2\","C631RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,4.9,-1.8,-4.1,11.5,2.1,0.9,-0.8,-8.8,0.1,0,0,0.9,-0.3,3.1,3.1,1.4,-1,1.8,5.8,3.4,1.6,4.8,-8.8,8.9,5.9,3.1,3.7,0.8,6.8,-4.3,5.6,-3.8,-7.4,-4.4,3.5,4.9,6.7,-5.3,13.4,0.7,-1.6,6.4,4
"27","19","      Other \2\","A632RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.5,0.5,0.5,0.3,-0.2,-0.1,0.1,-0.7,-1,-0.9,-0.5,0.2,0.5,1.2,-0.2,-0.6,-0.1,0.8,1,1.3,1.4,-0.1,1.7,2.7,-0.4,0.4,-0.9,3.3,2.4,1.2,-0.7,-0.4,1.4,0.8,-0.1,0.7,2.1,1.2,1.6,1.1,0.8,2.5,0.9
"28","20","    Nondurable goods","C633RX1",-6.6,0.2,-4.6,7.5,3.1,0.3,1.7,2.3,-1.9,1.5,-0.9,0.6,4.7,1.7,5.4,-0.6,6.5,-1.6,-6.1,-0.7,-2.5,-1.5,3.5,2.1,-1,2.3,-1.2,0.6,2,0.2,1.4,0.1,3.6,0.6,3,3.3,0.3,3.8,0.6,0.8,0.8,0.7,-0.1,-0.3,0,1.1,1.8,1.6,1.9,3.3,2.2,2.4,5.4,-1,1.7,-0.6,-0.9,1.8,3.8,2.4,4.5,2.5,1,3.3,3.2,1.2,1.9,1.3,1.6,4.8,2.7,1.8,4,1.8,0.1,5.3,3.9,4.2,1.4,4.4,5.6,1.7,-0.8,2.3,3.3,0.2,2.7,2.2,2.9,5.2,3.9,2.3
"29","21","  Other","A154RX1",-3.3,1.2,3.6,3.7,-2.2,-0.4,0.2,0.6,0,-2.6,-3.8,-4.1,1.1,0.9,1.7,8.1,1.3,2.5,3,4.3,3.6,1.2,-0.3,-3.6,-2,-3.8,-2.6,-3,0.6,-0.3,0.1,0.2,-1.4,0.2,-1.2,-2.1,2.8,1.9,1.9,4.1,1.5,-0.2,3.3,2.9,0,0,-0.1,-0.1,0.6,2.3,0.6,2.7,0.1,2.5,1.5,0.3,2.7,3.6,2.8,5.7,-0.3,0.7,-0.4,-0.5,3.2,3,1.1,3.6,1.5,4.9,2.4,1.6,1.6,3.4,0.9,1.7,-0.1,-0.4,1.3,4.2,2.8,5.3,8.1,6.5,3,0,2.8,0.3,2.7,4.6,3.4,0.8
"30","22","    Durable goods","C636RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,0.3,-0.5,0.5,0.1,0,0.2,0.6,1.4,0.8,1.4,1.4,0.5,0.5,0.4,-0.1,0.4,0.3,-0.2,-0.6,0.8,0.5,-0.6,0.5,1.1,1.2,-0.1,-0.1,-1.1,-0.8,-0.2,0.8,-0.6,0.8,1.1,0.9,-1.1,-1.6,-1.1,-1,-1.8,-0.1,2.2,-0.4
"31","23","    Nondurable goods","C637RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.4,1.9,1.2,2.2,0.1,2.6,1.3,-0.4,1.1,2.7,1.1,4.2,-0.9,0.1,-0.9,-0.3,2.8,2.7,1.3,4.5,0.6,4.3,3.2,1.1,0.4,2.1,1.1,1.9,1.2,0.5,1.5,3.3,3.4,4.4,6.9,5.5,4.2,1.8,4.1,1.5,4.9,4.7,0.8,1.2
"32","24","Residual","A969RX1",-0.2,-3.4,-6.9,-5.4,1,2.3,2.1,2.2,-1.2,1.3,1.9,1.7,-1.3,-1.8,0,-7.9,-1.6,-6.3,-5.2,-2.7,-2.5,2.3,1.8,1.8,1.7,2.2,2.1,2.1,0,-0.5,0.1,-0.9,1,-0.2,0.6,2.1,0.5,-0.5,-2.3,-1.1,-0.2,1.4,0.6,-1.5,-1.4,-0.3,0.8,-0.1,-0.1,-0.9,-2.7,-2.3,2.9,-1.9,0.2,-1.8,-4.5,-2.6,0.9,-0.9,2.9,-0.5,1.7,-0.3,0.9,-0.6,-1.1,-3.2,-0.3,-1.2,-0.2,0.7,2.2,0.9,2.3,-0.4,1.9,0.5,4.3,-1.5,0.7,1.8,-2.3,-2,1,1.3,-0.4,-0.5,1,-0.4,-1.2,1.6
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","1. Beginning with 1991, includes change in farm materials and supplies inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2. Prior to 1981, inventories of auto and home supply stores are included in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","motor vehicle dealers. Beginning with 1981, these inventories are included in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","""other durable goods.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Note. Estimates for nonfarm industries other than manufacturing and trade for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
