"","Table 3#15#5# Government Consumption Expenditures and Gross Inve","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41"
"19","1","      Government","A822RC1","221,431.0","233,697.0","246,415.0","263,419.0","281,657.0","317,917.0","357,716.0","383,000.0","414,060.0","453,554.0","500,732.0","566,121.0","627,477.0","680,447.0","733,380.0","796,920.0","878,890.0","949,335.0","999,393.0","1,038,903.0","1,100,597.0","1,181,712.0","1,236,090.0","1,273,461.0","1,294,799.0","1,329,791.0","1,374,021.0","1,420,958.0","1,474,434.0","1,526,050.0","1,631,270.0","1,730,951.0","1,846,420.0","1,983,343.0","2,112,550.0","2,232,818.0","2,369,882.0","2,518,396.0"
"20","2","General public service","W575RC1","13,171.0","14,857.0","17,106.0","19,378.0","21,914.0","26,540.0","31,358.0","33,513.0","36,866.0","39,085.0","42,692.0","47,444.0","49,850.0","54,187.0","58,143.0","61,560.0","71,901.0","84,724.0","85,941.0","88,735.0","92,970.0","101,846.0","107,406.0","114,608.0","116,103.0","119,696.0","125,297.0","125,165.0","133,814.0","142,886.0","155,043.0","161,863.0","173,793.0","188,357.0","193,741.0","207,106.0","218,487.0","230,267.0"
"21","3","  Executive and legislative","W576RC1","3,143.0","3,821.0","4,647.0","5,186.0","5,763.0","7,300.0","7,993.0","8,542.0","9,404.0","9,410.0","11,331.0","13,110.0","13,560.0","15,051.0","13,908.0","14,827.0","16,162.0","16,850.0","18,526.0","18,167.0","19,030.0","22,893.0","23,822.0","24,178.0","25,747.0","26,527.0","29,577.0","27,717.0","30,494.0","31,693.0","33,438.0","35,201.0","38,165.0","42,782.0","47,448.0","57,035.0","60,712.0","64,944.0"
"22","4","  Tax collection and financial management","W577RC1","4,750.0","5,520.0","6,052.0","6,595.0","6,895.0","7,904.0","9,467.0","9,856.0","10,923.0","11,239.0","11,354.0","11,691.0","12,132.0","14,166.0","17,115.0","17,138.0","23,903.0","32,980.0","29,019.0","31,190.0","30,806.0","32,057.0","34,678.0","37,664.0","35,855.0","35,920.0","36,730.0","35,508.0","37,525.0","38,795.0","43,127.0","41,161.0","44,348.0","46,628.0","47,887.0","49,076.0","50,494.0","50,432.0"
"23","5","  Other","W578RC1","5,278.0","5,516.0","6,407.0","7,597.0","9,256.0","11,336.0","13,898.0","15,114.0","16,539.0","18,436.0","20,006.0","22,643.0","24,158.0","24,971.0","27,121.0","29,596.0","31,836.0","34,894.0","38,397.0","39,378.0","43,134.0","46,896.0","48,906.0","52,766.0","54,501.0","57,249.0","58,990.0","61,940.0","65,795.0","72,398.0","78,478.0","85,501.0","91,280.0","98,947.0","98,406.0","100,995.0","107,280.0","114,892.0"
"24","6","National defense","A824RC1","89,491.0","87,604.0","84,557.0","86,932.0","88,134.0","95,564.0","103,899.0","111,087.0","120,889.0","130,486.0","145,182.0","167,959.0","196,230.0","225,891.0","250,589.0","281,528.0","311,181.0","330,804.0","349,979.0","354,728.0","362,089.0","373,883.0","383,114.0","376,786.0","363,005.0","353,776.0","348,799.0","354,823.0","349,841.0","346,075.0","361,137.0","371,047.0","392,954.0","437,704.0","497,940.0","550,785.0","589,047.0","624,856.0"
"25","7","Public order and safety","W579RC1","10,218.0","11,643.0","13,322.0","14,988.0","16,809.0","19,187.0","22,052.0","24,346.0","26,727.0","30,568.0","34,007.0","38,104.0","42,547.0","47,459.0","51,827.0","56,413.0","62,540.0","68,474.0","74,255.0","82,123.0","90,961.0","100,576.0","109,188.0","116,620.0","126,204.0","135,252.0","144,721.0","154,384.0","163,148.0","172,965.0","187,493.0","201,550.0","216,535.0","230,259.0","239,033.0","250,584.0","266,266.0","282,564.0"
"26","8","  Police","W580RC1","5,031.0","5,665.0","6,523.0","7,408.0","8,311.0","9,342.0","10,690.0","11,664.0","12,780.0","14,214.0","15,560.0","17,167.0","19,050.0","20,951.0","22,760.0","24,460.0","26,904.0","28,898.0","30,760.0","33,570.0","36,258.0","39,355.0","42,392.0","45,618.0","49,850.0","52,859.0","56,331.0","60,780.0","64,538.0","68,257.0","73,435.0","78,311.0","84,106.0","91,760.0","98,297.0","104,945.0","111,854.0","118,495.0"
"27","9","  Fire","W581RC1","2,092.0","2,391.0","2,708.0","2,930.0","3,201.0","3,608.0","4,104.0","4,508.0","4,842.0","5,468.0","6,012.0","6,655.0","7,423.0","8,194.0","8,807.0","9,420.0","10,298.0","11,309.0","12,104.0","12,676.0","13,791.0","14,825.0","15,650.0","16,892.0","17,307.0","18,294.0","19,132.0","20,230.0","21,051.0","22,070.0","23,775.0","25,637.0","27,100.0","29,474.0","31,346.0","32,692.0","35,746.0","38,812.0"
"28","10","  Law courts","W582RC1","1,455.0","1,673.0","1,909.0","2,146.0","2,469.0","2,789.0","3,195.0","3,543.0","3,870.0","5,084.0","5,852.0","6,759.0","7,519.0","8,298.0","8,860.0","9,522.0","10,297.0","11,072.0","11,982.0","13,838.0","15,618.0","17,458.0","19,256.0","20,532.0","23,265.0","24,730.0","26,696.0","28,532.0","29,993.0","32,442.0","35,325.0","38,140.0","41,583.0","43,180.0","42,867.0","44,183.0","46,603.0","48,809.0"
"29","11","  Prisons","W583RC1","1,641.0","1,915.0","2,181.0","2,504.0","2,828.0","3,447.0","4,063.0","4,631.0","5,235.0","5,802.0","6,583.0","7,523.0","8,556.0","10,016.0","11,400.0","13,011.0","15,041.0","17,195.0","19,409.0","22,039.0","25,294.0","28,938.0","31,890.0","33,578.0","35,782.0","39,369.0","42,562.0","44,842.0","47,566.0","50,196.0","54,958.0","59,462.0","63,746.0","65,845.0","66,523.0","68,764.0","72,062.0","76,449.0"
"30","12","Economic affairs","W584RC1","39,498.0","41,499.0","44,533.0","46,848.0","48,880.0","56,118.0","63,173.0","65,521.0","70,342.0","80,362.0","89,479.0","101,696.0","113,598.0","115,607.0","123,152.0","126,113.0","139,061.0","148,200.0","150,158.0","149,094.0","160,891.0","177,006.0","183,126.0","193,692.0","200,316.0","206,933.0","211,334.0","217,944.0","228,809.0","234,967.0","254,063.0","274,069.0","289,341.0","308,672.0","318,563.0","327,951.0","342,951.0","364,574.0"
"31","13","  Transportation","W589RC1","22,499.0","24,597.0","26,226.0","27,411.0","29,155.0","34,312.0","37,676.0","37,841.0","39,243.0","43,457.0","49,618.0","55,618.0","59,440.0","62,074.0","65,969.0","71,706.0","77,199.0","82,152.0","86,345.0","90,926.0","94,058.0","102,558.0","107,319.0","110,471.0","116,463.0","123,725.0","125,988.0","131,139.0","139,015.0","145,656.0","157,055.0","169,354.0","182,837.0","194,282.0","202,444.0","207,296.0","218,700.0","232,938.0"
"32","14","    Highways","W590RC1","18,930.0","20,681.0","22,272.0","22,774.0","24,111.0","28,442.0","31,324.0","31,104.0","31,956.0","35,320.0","40,247.0","44,468.0","47,497.0","49,410.0","51,420.0","56,412.0","61,239.0","65,604.0","68,939.0","72,526.0","73,983.0","80,272.0","82,999.0","84,892.0","89,540.0","95,440.0","98,510.0","102,364.0","109,103.0","114,101.0","123,450.0","131,842.0","142,339.0","145,643.0","148,315.0","154,606.0","166,538.0","182,331.0"
"33","15","    Air","W591RC1","1,563.0","1,939.0","1,988.0","2,134.0","2,253.0","2,575.0","2,688.0","2,759.0","2,947.0","3,283.0","3,663.0","4,277.0","4,325.0","4,302.0","5,321.0","5,729.0","6,404.0","7,088.0","7,596.0","8,116.0","8,990.0","10,009.0","11,237.0","12,416.0","13,215.0","12,868.0","12,003.0","12,917.0","13,665.0","14,749.0","15,721.0","16,913.0","18,747.0","23,962.0","26,810.0","26,138.0","26,077.0","25,990.0"
"34","16","    Water","W592RC1","1,307.0","1,343.0","1,353.0","1,507.0","1,641.0","1,951.0","2,178.0","2,241.0","2,504.0","2,887.0","3,489.0","4,060.0","4,313.0","4,578.0","5,195.0","5,386.0","5,530.0","5,339.0","5,616.0","5,981.0","6,124.0","6,639.0","7,229.0","7,245.0","7,375.0","7,588.0","7,492.0","7,774.0","7,811.0","8,550.0","8,961.0","10,894.0","11,332.0","10,896.0","11,791.0","11,125.0","11,789.0","12,338.0"
"35","17","    Transit and railroad","W593RC1","699.0","634.0","613.0","996.0","1,150.0","1,344.0","1,486.0","1,737.0","1,836.0","1,967.0","2,219.0","2,813.0","3,305.0","3,784.0","4,033.0","4,179.0","4,026.0","4,121.0","4,194.0","4,303.0","4,961.0","5,638.0","5,854.0","5,918.0","6,333.0","7,829.0","7,983.0","8,084.0","8,436.0","8,256.0","8,923.0","9,705.0","10,419.0","13,781.0","15,528.0","15,427.0","14,297.0","12,279.0"
"36","18","  Space","W595RC1","4,651.0","4,439.0","4,349.0","4,185.0","3,877.0","4,323.0","4,753.0","4,825.0","5,036.0","5,194.0","5,618.0","6,592.0","7,297.0","7,572.0","8,540.0","8,778.0","9,307.0","9,094.0","9,988.0","11,413.0","13,595.0","15,657.0","16,435.0","16,586.0","16,571.0","15,871.0","15,965.0","17,055.0","17,199.0","16,259.0","15,849.0","16,119.0","16,615.0","16,375.0","16,941.0","18,160.0","18,350.0","18,168.0"
"37","19","  Other economic affairs","W596RC1","12,348.0","12,463.0","13,958.0","15,252.0","15,848.0","17,483.0","20,744.0","22,856.0","26,063.0","31,711.0","34,243.0","39,486.0","46,861.0","45,961.0","48,643.0","45,630.0","52,554.0","56,953.0","53,825.0","46,755.0","53,238.0","58,792.0","59,372.0","66,634.0","67,282.0","67,337.0","69,381.0","69,750.0","72,595.0","73,052.0","81,159.0","88,596.0","89,889.0","98,016.0","99,177.0","102,495.0","105,901.0","113,468.0"
"38","20","    General economic and labor affairs","W585RC1","2,955.0","3,354.0","4,215.0","4,805.0","5,190.0","4,432.0","4,704.0","5,252.0","6,035.0","6,849.0","7,804.0","9,328.0","9,314.0","9,313.0","8,938.0","9,367.0","10,504.0","11,054.0","12,032.0","12,612.0","14,899.0","18,703.0","15,555.0","17,519.0","18,215.0","18,353.0","19,310.0","20,372.0","21,074.0","21,977.0","23,929.0","28,029.0","26,732.0","28,465.0","27,331.0","28,358.0","29,515.0","29,660.0"
"39","21","    Agriculture","W586RC1","3,356.0","2,465.0","2,616.0","2,481.0","2,549.0","2,746.0","3,759.0","3,823.0","4,105.0","4,646.0","5,070.0","7,283.0","7,487.0","9,831.0","11,797.0","8,315.0","12,386.0","17,327.0","12,220.0","4,864.0","9,200.0","8,948.0","10,876.0","12,148.0","11,339.0","10,758.0","10,295.0","10,431.0","12,291.0","11,561.0","13,667.0","14,368.0","15,707.0","16,601.0","15,709.0","15,582.0","15,291.0","17,737.0"
"40","22","    Energy","W587RC1","2,718.0","2,872.0","2,983.0","3,268.0","3,356.0","4,726.0","5,835.0","7,043.0","8,930.0","12,454.0","12,077.0","12,437.0","18,264.0","14,654.0","14,391.0","13,906.0","14,527.0","13,124.0","12,533.0","11,992.0","11,332.0","11,833.0","11,995.0","15,204.0","16,784.0","14,848.0","15,973.0","13,126.0","12,871.0","11,347.0","13,714.0","13,390.0","13,919.0","17,558.0","21,901.0","21,745.0","21,172.0","23,227.0"
"41","23","    Natural resources","W588RC1","2,949.0","3,426.0","3,711.0","4,024.0","4,053.0","4,777.0","5,682.0","5,800.0","6,272.0","6,971.0","8,427.0","9,454.0","10,700.0","10,992.0","12,210.0","12,303.0","13,387.0","13,568.0","14,300.0","14,962.0","15,510.0","16,463.0","17,646.0","18,384.0","18,283.0","20,692.0","20,844.0","22,206.0","22,249.0","23,622.0","24,636.0","27,918.0","29,160.0","32,203.0","31,329.0","33,313.0","35,693.0","38,297.0"
"42","24","    Postal service","W594RC1","282.0","279.0","386.0","593.0","595.0","646.0","599.0","795.0","606.0","661.0","732.0","832.0","946.0","989.0","1,127.0","1,516.0","1,462.0","1,542.0","2,395.0","1,983.0","1,969.0","2,514.0","2,958.0","3,106.0","2,526.0","2,539.0","2,689.0","3,348.0","3,870.0","4,211.0","4,852.0","4,536.0","3,940.0","2,765.0","2,514.0","3,034.0","3,700.0","4,047.0"
"43","25","    Other","W684RC1","88.0","68.0","47.0","81.0","104.0","157.0","166.0","143.0","115.0","130.0","133.0","152.0","150.0","183.0","180.0","223.0","289.0","338.0","345.0","342.0","328.0","331.0","342.0","273.0","135.0","147.0","270.0","267.0","240.0","334.0","361.0","355.0","431.0","424.0","393.0","463.0","529.0","500.0"
"44","26","Housing and community services","W597RC1","5,104.0","5,517.0","6,198.0","6,197.0","6,984.0","8,326.0","9,491.0","9,981.0","9,866.0","11,839.0","13,101.0","15,723.0","15,649.0","15,330.0","14,737.0","16,402.0","17,807.0","20,073.0","22,092.0","23,139.0","24,096.0","26,396.0","27,421.0","27,655.0","27,445.0","26,158.0","27,227.0","29,522.0","31,002.0","31,533.0","33,688.0","32,517.0","37,198.0","41,098.0","43,320.0","45,007.0","48,389.0","56,271.0"
"45","27","Health","W598RC1","9,770.0","11,336.0","12,737.0","14,323.0","15,985.0","18,408.0","21,010.0","22,219.0","24,264.0","26,489.0","28,134.0","32,611.0","34,865.0","35,848.0","37,617.0","40,738.0","43,465.0","45,373.0","48,698.0","52,763.0","56,548.0","61,852.0","65,221.0","66,646.0","67,976.0","70,397.0","71,094.0","71,976.0","72,498.0","74,758.0","80,191.0","86,050.0","89,692.0","100,452.0","109,410.0","112,785.0","125,173.0","127,569.0"
"46","28","Recreation and culture","W599RC1","2,174.0","2,399.0","2,629.0","2,835.0","3,207.0","3,923.0","4,746.0","4,978.0","5,245.0","5,963.0","6,494.0","7,038.0","7,487.0","7,975.0","8,296.0","8,900.0","9,900.0","10,702.0","11,254.0","12,087.0","13,293.0","14,754.0","15,592.0","16,139.0","16,583.0","17,513.0","18,782.0","20,060.0","21,575.0","22,734.0","23,907.0","26,807.0","29,117.0","31,194.0","31,176.0","32,247.0","34,511.0","35,645.0"
"47","29","Education","W600RC1","48,599.0","54,815.0","60,657.0","66,161.0","73,176.0","81,497.0","92,789.0","100,871.0","107,713.0","115,780.0","127,427.0","139,674.0","150,494.0","160,618.0","169,682.0","184,424.0","200,848.0","217,984.0","232,578.0","250,170.0","270,974.0","293,294.0","309,928.0","322,227.0","336,280.0","355,378.0","380,031.0","399,280.0","422,706.0","444,752.0","476,633.0","513,193.0","548,020.0","568,073.0","600,164.0","627,204.0","660,098.0","702,113.0"
"48","30","  Elementary and secondary","W601RC1","36,899.0","41,105.0","45,538.0","49,538.0","54,408.0","60,725.0","69,494.0","75,439.0","80,732.0","86,867.0","95,774.0","104,511.0","111,542.0","119,096.0","126,607.0","138,065.0","149,957.0","163,460.0","175,710.0","188,869.0","204,732.0","222,532.0","236,238.0","247,044.0","256,190.0","269,637.0","289,886.0","306,367.0","325,564.0","342,755.0","368,145.0","395,087.0","418,526.0","438,533.0","468,344.0","488,444.0","514,282.0","548,921.0"
"49","31","  Higher","W602RC1","9,090.0","10,581.0","11,625.0","12,772.0","14,714.0","16,321.0","18,070.0","19,961.0","21,289.0","22,837.0","25,149.0","28,065.0","31,275.0","33,576.0","34,784.0","37,301.0","41,220.0","44,185.0","45,836.0","49,388.0","53,256.0","56,944.0","59,394.0","60,437.0","64,652.0","69,135.0","72,455.0","74,226.0","77,756.0","81,645.0","86,701.0","94,207.0","103,326.0","102,288.0","104,115.0","110,321.0","115,871.0","121,910.0"
"50","32","  Libraries and other","W682RC1","2,610.0","3,129.0","3,493.0","3,851.0","4,054.0","4,450.0","5,225.0","5,471.0","5,693.0","6,077.0","6,504.0","7,098.0","7,676.0","7,946.0","8,292.0","9,058.0","9,671.0","10,339.0","11,031.0","11,913.0","12,985.0","13,819.0","14,296.0","14,746.0","15,437.0","16,606.0","17,689.0","18,688.0","19,386.0","20,352.0","21,786.0","23,900.0","26,167.0","27,252.0","27,705.0","28,439.0","29,945.0","31,282.0"
"51","33","    Libraries","W603RC1","671.0","741.0","798.0","862.0","954.0","1,066.0","1,222.0","1,295.0","1,355.0","1,524.0","1,677.0","1,858.0","2,024.0","2,225.0","2,369.0","2,613.0","2,903.0","3,195.0","3,418.0","3,733.0","3,994.0","4,360.0","4,671.0","4,789.0","4,877.0","5,169.0","5,508.0","5,947.0","6,322.0","6,533.0","6,891.0","7,327.0","7,917.0","8,455.0","8,889.0","9,380.0","10,140.0","10,582.0"
"52","34","    Other","W604RC1","1,939.0","2,388.0","2,695.0","2,989.0","3,100.0","3,384.0","4,003.0","4,175.0","4,338.0","4,552.0","4,826.0","5,240.0","5,652.0","5,722.0","5,923.0","6,445.0","6,768.0","7,144.0","7,613.0","8,180.0","8,991.0","9,459.0","9,625.0","9,957.0","10,560.0","11,437.0","12,181.0","12,741.0","13,064.0","13,819.0","14,895.0","16,573.0","18,250.0","18,797.0","18,816.0","19,059.0","19,805.0","20,699.0"
"53","35","Income security","W605RC1","3,407.0","4,028.0","4,678.0","5,756.0","6,568.0","8,354.0","9,197.0","10,485.0","12,148.0","12,983.0","14,217.0","15,872.0","16,757.0","17,531.0","19,337.0","20,842.0","22,188.0","23,001.0","24,437.0","26,064.0","28,775.0","32,105.0","35,094.0","39,088.0","40,885.0","44,688.0","46,736.0","47,805.0","51,042.0","55,381.0","59,116.0","63,854.0","69,770.0","77,534.0","79,204.0","79,150.0","84,961.0","94,537.0"
"54","36","  Disability","W606RC1","195.0","217.0","271.0","330.0","278.0","387.0","420.0","436.0","572.0","531.0","611.0","668.0","751.0","869.0","1,037.0","1,120.0","1,154.0","938.0","1,153.0","1,085.0","1,300.0","1,523.0","1,778.0","2,064.0","2,130.0","2,487.0","2,823.0","2,853.0","3,139.0","3,460.0","3,193.0","3,322.0","3,558.0","4,788.0","5,090.0","5,013.0","5,239.0","5,652.0"
"55","37","  Retirement \1\","W607RC1","440.0","433.0","470.0","623.0","599.0","725.0","771.0","791.0","862.0","939.0","957.0","988.0","1,019.0","1,181.0","1,103.0","1,140.0","1,042.0","1,019.0","1,133.0","1,103.0","1,054.0","1,036.0","1,144.0","1,225.0","1,240.0","1,213.0","1,282.0","1,099.0","1,241.0","1,517.0","984.0","1,540.0","1,431.0","1,765.0","1,871.0","1,874.0","2,007.0","2,152.0"
"56","38","  Welfare and social services","W608RC1","2,662.0","3,172.0","3,795.0","4,607.0","5,344.0","6,775.0","7,605.0","8,836.0","10,089.0","10,959.0","12,003.0","13,305.0","14,175.0","14,743.0","16,451.0","17,786.0","19,176.0","20,262.0","21,425.0","23,066.0","25,552.0","28,680.0","31,130.0","33,708.0","35,796.0","38,617.0","40,517.0","41,529.0","44,383.0","47,967.0","52,517.0","56,600.0","61,779.0","67,799.0","68,471.0","68,213.0","70,777.0","72,642.0"
"57","39","  Unemployment","W609RC1","36.0","55.0","46.0","59.0","41.0","43.0","36.0","52.0","46.0","57.0","52.0","52.0","54.0","53.0","46.0","69.0","94.0","97.0","37.0","24.0","183.0","129.0","135.0","146.0","154.0","87.0","113.0","134.0","126.0","108.0","55.0","107.0","360.0","330.0","195.0","294.0","131.0","244.0"
"58","40","  Other","W610RC1","74.0","152.0","96.0","138.0","306.0","425.0","365.0","370.0","579.0","496.0","594.0","859.0","758.0","685.0","700.0","727.0","722.0","685.0","689.0","786.0","686.0","737.0","907.0","1,945.0","1,565.0","2,284.0","2,001.0","2,190.0","2,153.0","2,329.0","2,367.0","2,285.0","2,642.0","2,852.0","3,577.0","3,756.0","6,807.0","13,847.0"
"59","41","      Federal","A823RC1","113,281.0","113,413.0","113,632.0","119,628.0","122,451.0","134,543.0","149,032.0","159,703.0","175,402.0","190,903.0","210,560.0","243,717.0","280,178.0","310,765.0","342,851.0","374,275.0","412,750.0","438,444.0","459,537.0","461,577.0","481,437.0","507,490.0","526,561.0","532,910.0","524,977.0","518,579.0","518,768.0","526,988.0","530,959.0","531,018.0","554,926.0","576,077.0","611,689.0","680,637.0","756,479.0","824,643.0","876,300.0","931,691.0"
"60","42","General public service","W611RC1","3,384.0","4,359.0","5,484.0","6,118.0","6,468.0","8,026.0","8,777.0","9,361.0","10,140.0","10,152.0","11,542.0","12,823.0","12,838.0","14,365.0","14,016.0","14,135.0","16,417.0","17,578.0","18,790.0","18,627.0","19,405.0","22,894.0","25,065.0","25,673.0","23,460.0","23,413.0","26,189.0","23,004.0","26,006.0","25,132.0","27,011.0","25,761.0","31,165.0","33,273.0","35,391.0","43,734.0","45,620.0","48,688.0"
"61","43","  Executive and legislative","W612RC1","1,720.0","2,220.0","2,847.0","3,174.0","3,406.0","4,560.0","4,814.0","5,006.0","5,527.0","5,736.0","7,237.0","8,452.0","8,343.0","9,162.0","7,848.0","8,493.0","9,190.0","9,266.0","10,340.0","9,262.0","9,436.0","12,085.0","12,329.0","12,374.0","13,640.0","13,635.0","15,987.0","13,425.0","15,325.0","15,296.0","15,513.0","16,231.0","17,739.0","20,662.0","23,288.0","31,044.0","32,687.0","34,589.0"
"62","44","  Tax collection and financial management","W613RC1","1,664.0","2,139.0","2,637.0","2,944.0","3,062.0","3,466.0","3,961.0","4,353.0","4,608.0","4,409.0","4,299.0","4,364.0","4,489.0","5,197.0","6,160.0","5,634.0","7,219.0","8,305.0","8,448.0","9,365.0","9,969.0","10,809.0","12,736.0","13,299.0","9,820.0","9,778.0","10,202.0","9,579.0","10,681.0","9,836.0","11,498.0","9,530.0","13,426.0","12,611.0","12,103.0","12,690.0","12,933.0","14,099.0"
"63","45","  Other \2\","W614RC1",".....",".....",".....","0.0","0.0","0.0","2.0","2.0","5.0","7.0","6.0","7.0","6.0","6.0","8.0","8.0","8.0","7.0","2.0",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"64","46","National defense","A824RC1","89,491.0","87,604.0","84,557.0","86,932.0","88,134.0","95,564.0","103,899.0","111,087.0","120,889.0","130,486.0","145,182.0","167,959.0","196,230.0","225,891.0","250,589.0","281,528.0","311,181.0","330,804.0","349,979.0","354,728.0","362,089.0","373,883.0","383,114.0","376,786.0","363,005.0","353,776.0","348,799.0","354,823.0","349,841.0","346,075.0","361,137.0","371,047.0","392,954.0","437,704.0","497,940.0","550,785.0","589,047.0","624,856.0"
"65","47","Public order and safety","W615RC1","685.0","814.0","950.0","1,230.0","1,387.0","1,610.0","1,938.0","2,221.0","2,483.0","2,708.0","3,057.0","3,409.0","3,549.0","3,742.0","4,422.0","4,981.0","5,402.0","5,897.0","6,714.0","8,193.0","9,119.0","9,844.0","11,546.0","12,892.0","16,191.0","16,722.0","17,631.0","19,764.0","20,904.0","22,099.0","24,237.0","27,331.0","29,381.0","32,737.0","35,250.0","38,264.0","40,390.0","43,477.0"
