"","Table 1#5#5# Gross Domestic Product, Expanded Detail            ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169"
"40","21","      Financial services and insurance","DIFSRC1","27,295.0","28,163.0","28,762.0","29,787.0","29,988.0","30,602.0","31,376.0","32,321.0","33,271.0","33,826.0","34,461.0","34,991.0","36,978.0","37,661.0","39,006.0","39,701.0","40,110.0","41,032.0","41,866.0","42,978.0","42,993.0","44,499.0","46,899.0","49,220.0","52,076.0","53,557.0","54,234.0","56,188.0","57,499.0","57,743.0","59,897.0","61,885.0","63,086.0","65,737.0","69,462.0","72,856.0","76,473.0","80,986.0","81,588.0","83,459.0","80,105.0","89,239.0","90,931.0","90,217.0","91,914.0","91,610.0","95,901.0","102,968.0","104,135.0","102,848.0","100,218.0","100,775.0","104,699.0","109,728.0","119,023.0","131,842.0","141,446.0","139,423.0","152,561.0","150,069.0","147,333.0","154,208.0","161,773.0","162,903.0","178,021.0","178,778.0","183,119.0","182,242.0","191,012.0","194,564.0","197,726.0","203,359.0","208,123.0","204,554.0","206,732.0","209,097.0","213,854.0","217,007.0","222,085.0","224,687.0","231,501.0","234,640.0","236,332.0","240,499.0","243,936.0","253,638.0","256,417.0","258,879.0","273,706.0","278,897.0","284,367.0","290,947.0","304,841.0","306,701.0","313,798.0","321,698.0","330,789.0","340,005.0","344,487.0","348,779.0","349,407.0","345,498.0","350,024.0","351,178.0","354,401.0","361,361.0","368,483.0","374,508.0","383,537.0","390,365.0","395,595.0","405,028.0","416,676.0","423,939.0","438,353.0","446,228.0","453,859.0","463,401.0","474,727.0","486,608.0","494,832.0","507,132.0","517,898.0","537,077.0","574,232.0","567,700.0","567,480.0","570,442.0","566,392.0","565,603.0","549,843.0","569,323.0","568,531.0","573,598.0","580,230.0","582,312.0","579,673.0","595,754.0","608,874.0","622,712.0","646,429.0","658,915.0","672,582.0","692,003.0","696,792.0","710,414.0","718,461.0","724,813.0","733,416.0","744,978.0","753,022.0","778,090.0","795,631.0","811,510.0","826,133.0","842,261.0","848,299.0","856,305.0","850,478.0","837,476.0","816,479.0","813,314.0","809,265.0","816,332.0","824,943.0","836,127.0"
"41","22","      Other services","DOTSRC1","48,904.0","49,917.0","50,900.0","52,123.0","53,331.0","54,216.0","55,213.0","55,620.0","56,549.0","57,446.0","58,294.0","59,917.0","61,687.0","62,721.0","64,148.0","66,154.0","66,948.0","68,661.0","70,418.0","71,291.0","72,319.0","74,370.0","74,720.0","76,029.0","77,187.0","78,932.0","81,627.0","83,628.0","85,774.0","86,809.0","89,420.0","92,479.0","94,807.0","96,397.0","98,464.0","101,316.0","104,537.0","107,376.0","110,292.0","111,070.0","113,141.0","115,207.0","118,845.0","121,652.0","123,668.0","124,755.0","127,585.0","132,559.0","132,755.0","135,577.0","138,360.0","142,014.0","144,881.0","149,090.0","152,002.0","157,741.0","162,630.0","168,405.0","171,354.0","176,995.0","182,474.0","184,465.0","189,132.0","193,702.0","198,418.0","205,783.0","212,545.0","214,661.0","216,323.0","218,268.0","223,059.0","227,043.0","235,614.0","240,327.0","244,499.0","249,282.0","256,512.0","259,350.0","265,120.0","270,394.0","274,344.0","279,671.0","284,103.0","287,122.0","292,849.0","299,301.0","301,947.0","297,452.0","297,462.0","299,013.0","301,717.0","305,280.0","314,886.0","322,643.0","331,175.0","334,550.0","334,821.0","339,963.0","347,742.0","354,335.0","362,141.0","366,123.0","375,041.0","379,513.0","384,809.0","390,707.0","390,903.0","395,457.0","405,115.0","409,305.0","424,663.0","422,277.0","436,058.0","446,602.0","457,523.0","468,908.0","482,177.0","493,467.0","508,700.0","514,776.0","526,521.0","535,726.0","544,478.0","556,737.0","572,096.0","585,306.0","599,519.0","607,383.0","615,036.0","633,607.0","642,086.0","645,249.0","652,957.0","659,609.0","666,785.0","671,357.0","691,699.0","700,193.0","710,534.0","715,801.0","730,211.0","740,061.0","752,629.0","758,233.0","769,876.0","776,301.0","784,450.0","795,771.0","812,489.0","830,707.0","842,672.0","857,989.0","871,488.0","884,762.0","883,708.0","888,701.0","905,403.0","914,072.0","917,486.0","926,875.0","927,874.0","921,758.0","923,797.0","930,054.0","933,251.0","942,962.0"
"42","23","    Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRC1","9,693.0","9,920.0","10,205.0","10,514.0","10,746.0","10,945.0","11,298.0","11,365.0","11,694.0","12,042.0","12,513.0","13,064.0","13,170.0","13,401.0","13,471.0","14,419.0","14,080.0","14,634.0","14,724.0","15,077.0","15,696.0","16,473.0","16,567.0","16,995.0","17,267.0","17,594.0","18,410.0","18,929.0","19,918.0","19,907.0","19,964.0","20,489.0","21,076.0","21,068.0","21,924.0","23,098.0","23,493.0","24,109.0","24,776.0","25,516.0","26,942.0","27,579.0","27,607.0","29,066.0","30,109.0","31,304.0","32,367.0","33,774.0","34,549.0","35,611.0","36,682.0","38,214.0","38,967.0","39,560.0","40,583.0","41,246.0","41,657.0","42,171.0","43,244.0","44,561.0","45,314.0","47,055.0","48,218.0","49,780.0","49,090.0","49,769.0","50,766.0","51,758.0","53,527.0","55,529.0","56,020.0","56,393.0","57,042.0","57,489.0","59,299.0","60,299.0","63,532.0","65,805.0","68,073.0","69,636.0","69,319.0","71,181.0","72,703.0","73,659.0","75,181.0","78,404.0","81,876.0","82,993.0","82,513.0","83,531.0","84,802.0","86,137.0","88,907.0","91,482.0","93,951.0","95,034.0","93,396.0","93,794.0","95,016.0","96,281.0","98,335.0","100,903.0","104,077.0","106,166.0","105,164.0","106,507.0","107,568.0","109,440.0","113,370.0","116,149.0","117,675.0","115,666.0","110,769.0","110,081.0","111,943.0","116,195.0","122,146.0","128,455.0","134,360.0","139,021.0","140,355.0","143,308.0","146,767.0","151,196.0","156,668.0","161,560.0","167,838.0","175,404.0","179,826.0","184,916.0","188,865.0","191,207.0","196,299.0","202,810.0","208,741.0","212,168.0","211,796.0","212,208.0","212,267.0","210,990.0","209,547.0","209,760.0","210,347.0","210,402.0","209,452.0","210,725.0","214,745.0","221,381.0","227,209.0","237,243.0","248,137.0","248,813.0","249,200.0","245,610.0","256,724.0","265,147.0","271,407.0","274,526.0","282,625.0","286,731.0","265,017.0","250,906.0","257,116.0","262,394.0","261,294.0","264,438.0"
"43","24","      Gross output of nonprofit institutions \2\","DNPERC1","33,105.0","34,181.0","35,080.0","36,228.0","37,356.0","38,023.0","39,226.0","40,219.0","41,315.0","42,752.0","44,156.0","45,356.0","46,615.0","47,513.0","48,554.0","49,935.0","50,602.0","52,289.0","53,191.0","54,742.0","56,438.0","59,347.0","60,661.0","62,509.0","64,782.0","66,949.0","68,946.0","72,243.0","75,005.0","76,120.0","78,287.0","80,177.0","82,994.0","85,501.0","87,028.0","89,743.0","93,100.0","96,992.0","99,737.0","102,628.0","106,233.0","109,412.0","111,764.0","116,730.0","121,163.0","124,120.0","130,414.0","136,124.0","140,667.0","145,562.0","149,798.0","155,069.0","159,060.0","163,424.0","168,249.0","172,989.0","176,457.0","179,738.0","182,546.0","186,731.0","190,638.0","194,907.0","198,299.0","202,717.0","205,227.0","208,719.0","213,787.0","219,133.0","224,404.0","228,688.0","231,418.0","235,710.0","240,557.0","246,363.0","253,289.0","258,581.0","267,184.0","275,048.0","283,860.0","289,858.0","295,145.0","301,434.0","307,924.0","315,164.0","323,541.0","333,833.0","344,671.0","350,715.0","354,792.0","362,859.0","370,490.0","379,901.0","388,597.0","397,195.0","405,988.0","411,417.0","416,016.0","420,611.0","426,519.0","430,065.0","434,549.0","440,676.0","448,570.0","454,942.0","456,199.0","460,666.0","465,040.0","471,639.0","476,722.0","486,104.0","491,860.0","500,538.0","500,158.0","504,170.0","511,946.0","520,860.0","535,117.0","545,815.0","556,606.0","564,652.0","571,754.0","579,360.0","588,908.0","601,085.0","611,287.0","624,817.0","638,587.0","653,224.0","667,568.0","681,057.0","695,551.0","707,871.0","726,016.0","744,373.0","759,689.0","768,658.0","775,205.0","781,300.0","789,123.0","797,744.0","807,810.0","821,229.0","835,984.0","845,843.0","858,158.0","865,159.0","878,806.0","896,406.0","912,841.0","928,636.0","940,499.0","952,457.0","972,272.0","977,942.0","987,497.0","1,004,629.0","1,021,616.0","1,033,023.0","1,042,373.0","1,053,539.0","1,050,422.0","1,052,213.0","1,058,967.0","1,070,715.0","1,071,515.0","1,082,407.0"
"44","25","      Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRC1","23,412.0","24,261.0","24,875.0","25,714.0","26,610.0","27,078.0","27,928.0","28,854.0","29,621.0","30,710.0","31,643.0","32,292.0","33,445.0","34,112.0","35,083.0","35,516.0","36,522.0","37,655.0","38,467.0","39,665.0","40,742.0","42,874.0","44,094.0","45,514.0","47,515.0","49,355.0","50,536.0","53,314.0","55,087.0","56,213.0","58,323.0","59,688.0","61,918.0","64,433.0","65,104.0","66,645.0","69,607.0","72,883.0","74,961.0","77,112.0","79,291.0","81,833.0","84,157.0","87,664.0","91,054.0","92,816.0","98,047.0","102,350.0","106,118.0","109,951.0","113,116.0","116,855.0","120,093.0","123,864.0","127,666.0","131,743.0","134,800.0","137,567.0","139,302.0","142,170.0","145,324.0","147,852.0","150,081.0","152,937.0","156,137.0","158,950.0","163,021.0","167,375.0","170,877.0","173,159.0","175,398.0","179,317.0","183,515.0","188,874.0","193,990.0","198,282.0","203,652.0","209,243.0","215,787.0","220,222.0","225,826.0","230,253.0","235,221.0","241,505.0","248,360.0","255,429.0","262,795.0","267,722.0","272,279.0","279,328.0","285,688.0","293,764.0","299,690.0","305,713.0","312,037.0","316,383.0","322,620.0","326,817.0","331,503.0","333,784.0","336,214.0","339,773.0","344,493.0","348,776.0","351,035.0","354,159.0","357,472.0","362,199.0","363,352.0","369,955.0","374,185.0","384,872.0","389,389.0","394,089.0","400,003.0","404,665.0","412,971.0","417,360.0","422,246.0","425,631.0","431,399.0","436,052.0","442,141.0","449,889.0","454,619.0","463,257.0","470,749.0","477,820.0","487,742.0","496,141.0","506,686.0","516,664.0","529,717.0","541,563.0","550,948.0","556,490.0","563,409.0","569,092.0","576,856.0","586,754.0","598,263.0","611,469.0","625,637.0","635,441.0","648,706.0","654,434.0","664,061.0","675,025.0","685,632.0","691,393.0","692,362.0","703,644.0","723,072.0","732,332.0","730,773.0","739,482.0","750,209.0","758,497.0","759,748.0","766,808.0","785,405.0","801,307.0","801,851.0","808,321.0","810,221.0","817,969.0"
"45","26","Gross private domestic investment","A006RC1","155,715.0","155,659.0","160,338.0","154,066.0","150,671.0","153,909.0","156,067.0","148,892.0","171,256.0","178,824.0","183,352.0","179,234.0","193,163.0","206,537.0","212,361.0","218,378.0","232,515.0","246,045.0","241,777.0","257,617.0","244,068.0","252,314.0","245,438.0","255,847.0","218,656.0","216,771.0","237,811.0","247,639.0","274,792.0","291,562.0","296,536.0","304,949.0","326,579.0","354,908.0","378,375.0","385,496.0","396,771.0","430,884.0","451,368.0","472,785.0","481,115.0","492,969.0","497,868.0","499,527.0","505,180.0","470,440.0","443,478.0","497,914.0","563,127.0","551,394.0","592,769.0","582,233.0","526,511.0","530,800.0","528,670.0","482,946.0","496,593.0","542,230.0","577,689.0","640,682.0","709,680.0","735,110.0","753,453.0","744,254.0","720,018.0","735,315.0","727,219.0","762,181.0","763,820.0","752,989.0","732,523.0","736,748.0","764,951.0","767,598.0","769,481.0","837,778.0","797,578.0","820,403.0","825,695.0","842,615.0","884,057.0","878,170.0","870,316.0","867,253.0","879,985.0","882,491.0","866,798.0","814,595.0","787,910.0","784,062.0","805,258.0","834,339.0","810,243.0","865,402.0","876,838.0","906,660.0","931,293.0","942,320.0","943,352.0","996,408.0","1,043,643.0","1,106,920.0","1,092,877.0","1,145,715.0","1,160,622.0","1,132,668.0","1,126,240.0","1,156,651.0","1,170,036.0","1,227,838.0","1,279,781.0","1,283,110.0","1,320,633.0","1,385,032.0","1,414,876.0","1,434,098.0","1,494,945.0","1,471,509.0","1,512,730.0","1,563,952.0","1,617,322.0","1,604,729.0","1,644,498.0","1,699,482.0","1,688,823.0","1,810,936.0","1,791,713.0","1,797,363.0","1,701,288.0","1,699,427.0","1,670,419.0","1,576,574.0","1,627,985.0","1,648,117.0","1,650,381.0","1,661,334.0","1,671,466.0","1,678,554.0","1,745,104.0","1,823,649.0","1,853,603.0","1,956,033.0","2,001,319.0","2,063,247.0","2,130,741.0","2,115,247.0","2,166,619.0","2,276,301.0","2,336,540.0","2,352,136.0","2,333,489.0","2,286,535.0","2,277,395.0","2,329,643.0","2,313,365.0","2,260,441.0","2,198,801.0","2,170,857.0","2,111,342.0","1,905,751.0","1,640,397.0","1,530,221.0","1,548,485.0","1,637,706.0","1,739,743.0","1,848,733.0"
"46","27","  Fixed investment","A007RC1","144,226.0","146,437.0","150,144.0","148,279.0","148,848.0","148,828.0","150,984.0","152,876.0","159,002.0","167,949.0","173,164.0","179,529.0","189,936.0","194,539.0","198,646.0","210,887.0","221,965.0","227,839.0","232,016.0","232,624.0","231,549.0","234,898.0","239,860.0","235,401.0","228,684.0","230,725.0","239,199.0","247,291.0","260,099.0","269,114.0","275,729.0","294,431.0","311,757.0","335,439.0","347,491.0","361,375.0","371,318.0","406,627.0","426,402.0","444,298.0","457,263.0","465,568.0","485,737.0","490,974.0","495,281.0","462,690.0","477,333.0","507,032.0","524,372.0","539,681.0","548,809.0","557,426.0","547,977.0","534,966.0","522,872.0","522,766.0","531,653.0","549,902.0","581,893.0","616,750.0","636,698.0","665,789.0","682,115.0","696,275.0","703,788.0","713,669.0","710,916.0","729,062.0","733,472.0","737,317.0","739,524.0","749,484.0","736,974.0","751,088.0","768,466.0","774,684.0","780,577.0","800,723.0","807,520.0","823,542.0","835,886.0","842,128.0","860,361.0","850,648.0","866,060.0","848,778.0","844,922.0","825,925.0","803,438.0","802,088.0","804,413.0","803,208.0","809,999.0","842,205.0","856,330.0","885,298.0","895,364.0","918,214.0","936,756.0","979,786.0","998,310.0","1,025,506.0","1,039,668.0","1,070,532.0","1,099,473.0","1,098,935.0","1,114,943.0","1,138,201.0","1,163,186.0","1,197,370.0","1,228,673.0","1,248,469.0","1,270,805.0","1,296,621.0","1,346,893.0","1,356,323.0","1,389,870.0","1,434,201.0","1,460,282.0","1,503,905.0","1,534,005.0","1,569,676.0","1,603,933.0","1,615,154.0","1,672,764.0","1,720,534.0","1,734,471.0","1,742,890.0","1,731,953.0","1,711,023.0","1,700,510.0","1,657,358.0","1,641,351.0","1,634,898.0","1,632,099.0","1,631,366.0","1,642,822.0","1,681,678.0","1,740,919.0","1,787,854.0","1,802,215.0","1,880,010.0","1,940,551.0","1,991,784.0","2,040,029.0","2,099,371.0","2,155,579.0","2,194,119.0","2,270,578.0","2,279,713.0","2,264,385.0","2,254,204.0","2,260,374.0","2,282,130.0","2,273,986.0","2,247,864.0","2,212,524.0","2,194,140.0","2,140,768.0","2,003,779.0","1,782,251.0","1,709,764.0","1,691,764.0","1,681,921.0","1,689,758.0","1,762,818.0"
"47","28","    Nonresidential","A008RC1","101,000.0","103,041.0","106,937.0","107,627.0","108,149.0","109,429.0","110,604.0","107,894.0","110,392.0","113,367.0","114,829.0","118,000.0","123,345.0","126,311.0","129,091.0","136,601.0","144,113.0","152,087.0","156,975.0","159,885.0","162,594.0","167,404.0","172,503.0","175,359.0","170,998.0","170,817.0","174,550.0","178,614.0","183,943.0","188,460.0","195,112.0","201,926.0","214,186.0","223,755.0","232,474.0","244,458.0","250,354.0","276,044.0","290,555.0","305,296.0","318,762.0","324,937.0","342,280.0","349,591.0","361,320.0","350,946.0","361,065.0","376,241.0","393,064.0","410,812.0","428,387.0","447,780.0","443,186.0","432,020.0","419,416.0","411,239.0","400,500.0","402,856.0","419,477.0","445,952.0","460,059.0","484,416.0","500,738.0","513,324.0","520,489.0","528,521.0","522,153.0","533,583.0","527,204.0","517,516.0","513,457.0","521,166.0","506,837.0","518,163.0","534,248.0","537,221.0","546,175.0","562,329.0","567,496.0","579,136.0","591,308.0","601,907.0","621,946.0","615,821.0","626,875.0","617,861.0","626,116.0","618,909.0","608,207.0","601,366.0","594,095.0","589,034.0","585,641.0","607,113.0","619,029.0","636,717.0","642,793.0","660,285.0","667,492.0","695,693.0","704,799.0","720,503.0","734,719.0","765,621.0","797,673.0","805,464.0","811,162.0","825,834.0","841,418.0","860,466.0","888,971.0","910,607.0","930,074.0","949,928.0","995,616.0","998,815.0","1,024,989.0","1,055,810.0","1,066,660.0","1,097,087.0","1,120,728.0","1,147,385.0","1,174,492.0","1,177,006.0","1,223,537.0","1,270,054.0","1,288,427.0","1,292,731.0","1,273,685.0","1,240,634.0","1,219,645.0","1,177,288.0","1,149,496.0","1,128,313.0","1,120,636.0","1,103,291.0","1,097,658.0","1,123,815.0","1,150,814.0","1,170,424.0","1,164,628.0","1,204,414.0","1,243,958.0","1,279,136.0","1,305,210.0","1,334,895.0","1,362,930.0","1,386,264.0","1,457,242.0","1,495,273.0","1,522,709.0","1,546,095.0","1,579,638.0","1,624,947.0","1,660,651.0","1,684,577.0","1,695,409.0","1,697,506.0","1,678,223.0","1,590,103.0","1,415,218.0","1,367,534.0","1,343,750.0","1,330,944.0","1,349,587.0","1,404,361.0"
"48","29","      Structures","B009RC1","35,794.0","36,671.0","38,930.0","39,397.0","39,491.0","40,312.0","40,577.0","40,768.0","41,504.0","42,336.0","43,119.0","43,757.0","45,781.0","46,607.0","47,314.0","48,990.0","51,327.0","54,060.0","56,831.0","57,714.0","58,984.0","61,333.0","61,417.0","63,214.0","61,682.0","60,409.0","61,275.0","62,034.0","64,099.0","65,057.0","66,683.0","67,821.0","69,732.0","73,631.0","76,409.0","78,540.0","80,018.0","90,259.0","98,559.0","105,498.0","107,879.0","112,844.0","121,814.0","128,268.0","132,557.0","132,299.0","135,769.0","144,056.0","150,017.0","161,010.0","169,743.0","188,485.0","186,622.0","182,450.0","172,926.0","168,257.0","158,581.0","149,502.0","152,648.0","156,644.0","165,735.0","175,807.0","182,528.0","185,519.0","194,875.0","195,236.0","192,210.0","195,751.0","191,672.0","174,504.0","169,021.0","170,911.0","166,921.0","169,576.0","177,585.0","182,728.0","178,614.0","184,151.0","183,452.0","184,943.0","189,505.0","189,565.0","197,739.0","198,056.0","204,137.0","204,572.0","205,516.0","197,443.0","194,901.0","189,888.0","177,485.0","172,151.0","169,931.0","170,640.0","173,047.0","176,671.0","173,681.0","175,083.0","177,461.0","182,380.0","176,216.0","187,371.0","189,428.0","194,061.0","201,351.0","206,740.0","210,519.0","210,472.0","214,406.0","219,906.0","225,456.0","238,564.0","243,012.0","243,066.0","255,076.0","259,911.0","260,725.0","277,719.0","280,112.0","281,960.0","282,817.0","281,214.0","282,958.0","288,789.0","297,829.0","312,992.0","328,224.0","333,533.0","329,008.0","335,253.0","342,579.0","311,984.0","297,838.0","284,809.0","274,612.0","273,745.0","274,246.0","282,587.0","284,060.0","286,571.0","290,826.0","300,910.0","312,432.0","322,438.0","338,419.0","346,527.0","352,344.0","369,726.0","396,779.0","428,564.0","447,633.0","461,708.0","479,506.0","512,335.0","545,529.0","562,167.0","567,072.0","584,352.0","590,363.0","587,905.0","507,461.0","464,015.0","436,563.0","398,224.0","380,092.0","387,478.0"
"49","30","      Equipment and software","B010RC1","65,206.0","66,370.0","68,007.0","68,230.0","68,658.0","69,117.0","70,027.0","67,126.0","68,888.0","71,031.0","71,710.0","74,243.0","77,564.0","79,704.0","81,777.0","87,611.0","92,786.0","98,027.0","100,144.0","102,171.0","103,610.0","106,071.0","111,086.0","112,145.0","109,316.0","110,408.0","113,275.0","116,580.0","119,844.0","123,403.0","128,429.0","134,105.0","144,454.0","150,124.0","156,065.0","165,918.0","170,336.0","185,785.0","191,996.0","199,798.0","210,883.0","212,093.0","220,466.0","221,323.0","228,763.0","218,647.0","225,296.0","232,185.0","243,047.0","249,802.0","258,644.0","259,295.0","256,564.0","249,570.0","246,490.0","242,982.0","241,919.0","253,354.0","266,829.0","289,308.0","294,324.0","308,609.0","318,210.0","327,805.0","325,614.0","333,285.0","329,943.0","337,832.0","335,532.0","343,012.0","344,436.0","350,255.0","339,916.0","348,587.0","356,663.0","354,493.0","367,561.0","378,178.0","384,044.0","394,193.0","401,803.0","412,342.0","424,207.0","417,765.0","422,738.0","413,289.0","420,600.0","421,466.0","413,306.0","411,478.0","416,610.0","416,883.0","415,710.0","436,473.0","445,982.0","460,046.0","469,112.0","485,202.0","490,031.0","513,313.0","528,583.0","533,132.0","545,291.0","571,560.0","596,322.0","598,724.0","600,643.0","615,362.0","627,012.0","640,560.0","663,515.0","672,043.0","687,062.0","706,862.0","740,540.0","738,904.0","764,264.0","778,091.0","786,548.0","815,127.0","837,911.0","866,171.0","891,534.0","888,217.0","925,708.0","957,062.0","960,203.0","959,198.0","944,677.0","905,381.0","877,066.0","865,304.0","851,658.0","843,504.0","846,024.0","829,546.0","823,412.0","841,228.0","866,754.0","883,853.0","873,802.0","903,504.0","931,526.0","956,698.0","966,791.0","988,368.0","1,010,586.0","1,016,538.0","1,060,463.0","1,066,709.0","1,075,076.0","1,084,387.0","1,100,132.0","1,112,612.0","1,115,122.0","1,122,410.0","1,128,337.0","1,113,154.0","1,087,860.0","1,002,198.0","907,757.0","903,519.0","907,187.0","932,720.0","969,495.0","1,016,883.0"
"50","31","        Information processing equipment and software","A679RC1","13,031.0","14,171.0","15,227.0","16,019.0","16,694.0","16,991.0","16,359.0","16,506.0","16,173.0","17,299.0","17,594.0","18,275.0","19,111.0","19,067.0","19,498.0","20,139.0","21,567.0","22,731.0","23,358.0","24,662.0","25,144.0","25,629.0","27,885.0","29,269.0","29,086.0","28,453.0","28,223.0","28,378.0","29,423.0","31,613.0","33,657.0","36,170.0","36,827.0","38,577.0","39,637.0","41,619.0","43,694.0","47,777.0","50,365.0","52,910.0","55,543.0","56,714.0","59,356.0","62,328.0","65,402.0","66,741.0","70,672.0","72,267.0","76,519.0","79,462.0","82,922.0","86,951.0","90,226.0","87,529.0","88,361.0","86,917.0","92,110.0","97,372.0","101,304.0","109,484.0","112,048.0","119,212.0","124,151.0","130,745.0","128,852.0","131,393.0","128,682.0","132,467.0","132,998.0","136,467.0","136,285.0","141,297.0","137,623.0","138,949.0","143,608.0","144,566.0","148,873.0","154,263.0","156,850.0","159,748.0","164,874.0","171,740.0","176,299.0","177,432.0","178,442.0","176,743.0","174,599.0","179,008.0","177,626.0","181,092.0","184,514.0","188,462.0","190,160.0","197,308.0","205,632.0","206,588.0","211,343.0","213,344.0","222,099.0","223,622.0","228,778.0","232,425.0","236,422.0","243,264.0","252,319.0","262,468.0","263,735.0","273,488.0","281,458.0","285,866.0","294,214.0","299,027.0","311,478.0","323,200.0","340,551.0","345,883.0","357,117.0","362,530.0","365,678.0","379,070.0","393,608.0","416,173.0","429,545.0","429,039.0","455,748.0","476,624.0","484,602.0","496,029.0","484,320.0","459,058.0","438,390.0","428,309.0","422,097.0","420,482.0","424,932.0","411,604.0","416,938.0","419,535.0","437,266.0","449,876.0","447,775.0","452,445.0","458,301.0","462,720.0","466,806.0","472,964.0","479,740.0","481,566.0","498,717.0","500,528.0","510,118.0","511,578.0","531,407.0","532,143.0","534,856.0","548,000.0","556,900.0","562,793.0","552,173.0","527,923.0","511,451.0","518,561.0","533,669.0","558,979.0","567,961.0","584,409.0"
"51","32","          Computers and peripheral equipment","B935RC1","2,096.0","2,408.0","2,564.0","2,696.0","3,113.0","2,950.0","2,429.0","2,396.0","2,272.0","2,793.0","2,912.0","3,119.0","3,717.0","3,446.0","3,498.0","3,231.0","3,430.0","3,666.0","3,398.0","3,662.0","3,455.0","3,188.0","4,426.0","4,403.0","4,084.0","3,535.0","3,273.0","3,452.0","3,677.0","4,391.0","4,512.0","5,028.0","5,210.0","5,629.0","5,753.0","6,068.0","6,271.0","7,343.0","7,955.0","8,683.0","9,301.0","9,828.0","10,409.0","11,118.0","10,947.0","11,872.0","13,477.0","13,796.0","15,397.0","15,858.0","17,247.0","20,010.0","20,802.0","18,118.0","18,343.0","18,221.0","21,312.0","23,297.0","25,166.0","25,789.0","27,681.0","30,127.0","32,938.0","35,690.0","33,313.0","35,044.0","32,405.0","34,174.0","33,662.0","34,348.0","32,340.0","33,290.0","34,971.0","35,082.0","36,333.0","36,662.0","36,618.0","37,729.0","38,578.0","38,897.0","40,999.0","43,749.0","44,275.0","43,347.0","40,949.0","38,612.0","36,552.0","38,458.0","36,366.0","36,522.0","37,561.0","40,367.0","40,147.0","44,507.0","45,933.0","45,465.0","47,722.0","46,737.0","49,235.0","48,046.0","50,057.0","51,417.0","52,338.0","55,728.0","59,089.0","65,840.0","67,047.0","72,464.0","72,466.0","71,489.0","73,526.0","73,691.0","76,542.0","80,365.0","84,922.0","83,673.0","87,722.0","88,608.0","86,447.0","88,773.0","94,516.0","99,863.0","99,497.0","95,051.0","97,560.0","104,882.0","105,786.0","104,486.0","99,654.0","89,963.0","79,827.0","80,779.0","82,500.0","79,259.0","80,483.0","76,657.0","76,363.0","75,062.0","77,799.0","81,346.0","78,469.0","79,331.0","80,512.0","82,535.0","77,939.0","77,802.0","78,466.0","81,348.0","83,992.0","84,072.0","86,676.0","84,821.0","88,081.0","84,672.0","86,090.0","89,286.0","92,574.0","94,444.0","88,144.0","79,390.0","75,019.0","76,038.0","78,898.0","90,099.0","90,526.0","99,160.0"
