"","Table 4BU3# Real Manufacturing Inventories, by Stage of Fabricat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201"
"21","64","      Other transportation equipment manufacturing","KS3OTF0",5073,5570,5452,5903,5984,6288,6898,6386,6810,7551,6323,6843,7059,7263,7622,7323,7275,7273,7267,7278,7323,7193,7426,7846,7919,7807,7887,7769,7842,7736,7807,7970,7729,7413,7629,7778,7488,7990,7705,7550,7476,7901,8145,8491,7846,7823,7574,7277,7624,7675,7484,7887,7875,7804,7881,7844,8039,8191,8346,8330,7977,8242,8217,8073,7843,7873,7650,7615,7488,7633,7574,7536,7353,7160,7026,6888,6811,6840,6858,7020,6850,6706,6773,6700,6316,6457,6628,6920,7080,6962,7028,7042,7146,7067,7107,7286,7250,7497,7539,7768,7581,7419,7699,7763,7648,8000,7917,7913,7955,8214,8013,8291,8685,9026,9287,9666,8711,8736,8925,9226,9218,9180,9049,8926,8896,8792,8383,8248,8458,8343,8218,8134,8144,8124,7841,7743,7536,7586,7383,7306,7321,7083,7124,6885,6922,6982,6962,7110,7018,7009,7013,6776,6469,6422,6341,6112,6286,5752,5628,5631,5574,5478,5389,5402,5441,5402,5343,4972,5084,5096,4966,5045,4932,4871,4934,4912,5011,4832,4689,4832,4619,4795,4886,4870,5026,5104,5161,5158,5287,5246,5348,5151,4972,5180,4996,5075,5056,5051
"22","65","    Furniture and related product manufacturing","KS337F0",2862,2839,2829,2850,2871,2890,2937,2863,2818,2780,2776,2844,2768,2787,2827,2820,2901,2823,2825,2810,2800,2879,2919,2880,2819,2891,2872,2899,2890,2873,2872,2900,2991,3129,3002,3076,3214,3217,3238,3171,3194,3180,3170,3212,3245,3189,3225,3184,3171,3209,3275,3275,3136,3134,3097,3142,3207,3184,3119,3083,3083,3020,2943,2942,2941,2996,3053,3139,3271,3249,3344,3371,3392,3400,3325,3324,3271,3237,3310,3251,3135,3177,3138,3192,3177,3249,3190,3201,3191,3169,3141,3191,3215,3318,3248,3343,3331,3378,3338,3403,3417,3323,3316,3386,3449,3426,3416,3508,3462,3436,3510,3459,3403,3476,3465,3494,3477,3523,3520,3431,3387,3449,3438,3368,3358,3361,3286,3279,3308,3310,3281,3306,3272,3249,3233,3192,3112,3100,3103,3122,3141,3151,3080,3087,3045,3024,2988,2930,2874,2807,2825,2770,2777,2753,2720,2694,2702,2689,2680,2704,2751,2735,2691,2719,2723,2742,2748,2737,2764,2746,2759,2702,2641,2608,2580,2611,2612,2599,2592,2582,2571,2569,2581,2602,2602,2592,2602,2625,2630,2672,2686,2713,2671,2699,2675,2653,2638,2637
"23","66","    Miscellaneous durable goods manufacturing","KS339F0",6193,6351,6379,6345,6193,6255,5948,6194,6224,6396,6414,6474,6606,6667,6687,6658,6722,6609,6788,6774,6770,6630,6748,6637,6661,6642,6682,6795,6918,6824,6879,6880,6893,7052,7165,7140,7299,7283,7436,7430,7552,7599,7686,7833,7854,7949,7917,7888,8074,8171,8133,8097,8108,8087,8040,8067,8124,7988,7899,8049,8080,8148,7999,8037,7963,8146,8242,8050,8244,8128,8167,8210,8240,8353,8472,8575,8584,8451,8255,8433,8912,8930,8629,9002,9011,8961,8989,8877,8989,8920,8846,8945,8908,8881,8943,8945,9012,8819,8941,8889,9018,9290,9500,9779,9788,9823,9934,9989,10158,10167,10171,10156,10115,10168,10265,10346,10477,10482,10420,10624,10555,10611,10638,10297,10605,10581,10643,10489,10557,10540,10628,10668,10634,10573,10546,10427,10185,10110,10161,10293,10392,10541,10712,11086,11205,11276,11407,11417,11464,11511,11450,11443,11445,11415,11449,11291,11398,11495,11446,11608,11696,11740,11823,11946,12035,12080,12092,12278,12369,12332,12361,12303,12171,12094,12096,12046,12065,12257,12197,12047,11779,11448,11575,11567,11538,11555,11721,11656,11576,11536,11570,11518,11613,11643,11572,11595,11553,11510
"24","67","  Nondurable goods industries","KS30NF0",101579,101260,102199,102789,102929,103875,103404,104001,104065,104345,105925,105488,105606,105844,106065,106042,106722,106340,106610,106452,106323,106904,107624,106398,106923,106692,107331,107376,108170,108212,108887,109815,110420,111245,111740,111428,111904,112630,111953,112407,112694,113219,113820,113660,114155,114771,114562,114874,115761,114118,114125,113947,113312,112855,112106,111946,111809,112027,111909,112484,112826,110939,111347,111861,111566,112257,112096,112100,113283,113946,113400,114207,112887,113809,113498,113922,113683,114093,114111,114176,113724,113293,112907,112987,112301,112367,112401,111788,113277,113296,113830,114521,113981,113914,115174,114490,116600,116612,116313,116884,115692,116425,116581,115802,115086,115617,115748,116997,118127,118769,119116,118639,118983,118637,118312,118703,118971,120207,120013,120120,119641,119241,119162,119915,120556,120575,121594,121390,122126,121902,122273,121871,122926,122425,122775,121819,119383,122871,120689,120599,118632,119155,119674,115983,115753,115220,115682,114806,114758,115048,114201,115034,114088,115594,115520,114125,114846,115264,115069,115658,115653,115748,116317,116743,117608,118642,119222,119674,120562,119901,119811,121146,121393,121522,121816,121262,120745,121181,121796,120977,120971,121930,121405,121014,120337,120245,120713,121091,121408,120471,120073,120603,120847,120401,120649,120576,120941,121702
"25","68","    Food manufacturing","KS311F0",21491,21537,21940,22136,21984,22331,22304,22309,22150,22173,22510,22549,22963,22840,22765,22633,22776,22672,22480,22266,22517,22615,22597,22559,22588,22542,22534,22583,22576,22517,22725,22585,23272,23761,23470,23312,23759,24033,24081,24029,24077,24043,24298,24210,24138,24170,24128,24432,25379,24055,24069,24112,24199,24108,24125,24115,24002,23826,24173,24401,24561,24416,24324,25074,24824,25113,24992,24968,25358,25512,25682,25363,25456,25533,25450,25125,25237,25048,25089,25054,24936,24975,24657,24735,24657,24413,24351,24088,23970,24101,24477,24620,24531,24371,24263,24225,24439,24317,24349,24861,24428,24527,24611,24659,24681,24475,24721,24752,25278,25412,25495,25463,25352,25167,24828,24400,24509,24756,24654,24734,24574,24287,24428,24382,24524,24387,24738,24892,24793,24978,24651,24741,24548,24497,24184,24188,24243,24151,23992,24105,24308,24528,25058,25315,25565,25729,25645,25653,25783,25536,25901,26271,25943,26140,26316,26168,25949,26205,26059,26336,26388,26191,26120,26191,26489,26611,26564,26117,26401,25739,25760,25544,25596,25834,25635,25466,25472,25665,25634,25727,25854,26021,25866,25774,25589,25575,25245,25047,24942,25129,25227,25307,25311,25283,25405,25457,25606,25613
"26","69","    Beverage and tobacco product manufacturing","KS312F0",4468,4303,4174,4318,4264,4225,4239,4191,4192,4197,4533,4389,4394,4253,4278,4063,4211,3964,4040,4053,4066,4162,4437,4260,4224,4251,4161,4226,4487,4372,4312,4422,4289,4133,4403,4479,4363,4769,4729,4517,4503,4571,4435,4437,4537,4499,4589,4565,4446,4398,4750,4551,4532,4478,4542,4533,4561,4548,4550,4828,4685,4557,4587,4648,4706,4934,4735,4733,4851,4756,4610,4864,4914,4993,4906,5159,5115,5115,5058,4937,4870,4943,5059,4969,4957,5053,4974,5004,5000,5131,5251,5368,5246,5227,5364,5258,5395,5365,5291,5250,5159,5065,5141,5148,5085,5127,5117,5183,5167,5221,5196,5235,5252,5068,5159,5293,5282,5306,5213,5221,5348,5154,5191,5197,5193,5256,5289,5269,5282,5339,5311,5315,5370,5366,5341,5377,5347,5304,5231,5184,5176,5179,5244,5251,5214,5264,5382,5380,5416,5403,5465,5500,5549,5517,5503,5558,5472,5546,5478,5528,5576,5670,5656,5832,5807,5762,5799,5821,5943,5925,5920,5890,5875,5790,5864,5810,5853,5795,5879,5889,5962,5788,5945,5999,6053,6156,6149,6061,6157,6202,6151,6198,6107,6183,6217,6234,6289,6284
"27","70","    Textile mills","KS313F0",3029,2965,2956,2987,3007,3017,3011,3035,2985,2956,2914,2938,2973,3010,2981,3001,3055,3037,3100,3070,3123,3164,3179,3192,3210,3250,3281,3327,3263,3306,3291,3300,3299,3246,3273,3317,3254,3204,3226,3220,3204,3184,3159,3124,3140,3149,3163,3099,3171,3101,3016,3071,3130,3090,3019,3050,3042,3013,2998,2959,2981,2972,2977,2892,2916,2875,2914,2939,2907,2946,2849,2871,2879,2875,2891,2861,2893,2956,2926,2890,2898,2809,2813,2756,2742,2729,2749,2694,2749,2733,2753,2761,2725,2752,2730,2690,2671,2698,2644,2684,2691,2683,2678,2615,2602,2588,2613,2669,2666,2637,2651,2635,2620,2665,2672,2688,2696,2613,2580,2600,2577,2569,2543,2514,2510,2516,2560,2597,2592,2571,2547,2563,2529,2513,2555,2474,2424,2336,2364,2353,2378,2388,2400,2394,2423,2430,2396,2393,2340,2296,2254,2188,2129,2176,2149,2119,2098,2107,2087,2055,2073,2089,2095,2088,2115,2154,2183,2203,2209,2191,2184,2197,2183,2194,2212,2211,2197,2189,2191,2184,2193,2176,2176,2162,2151,2149,2145,2140,2138,2132,2106,2099,2098,2097,2099,2115,2119,2110
"28","71","    Textile product mills","KS314F0",1519,1496,1527,1557,1585,1637,1652,1670,1681,1699,1752,1714,1745,1750,1746,1713,1697,1668,1663,1672,1673,1657,1625,1602,1587,1602,1675,1714,1719,1722,1757,1760,1768,1790,1762,1797,1807,1848,1863,1869,1883,1907,1896,1873,1906,1930,1973,1985,2020,2047,2044,2055,2086,2127,2127,2175,2156,2171,2203,2205,2186,2092,2026,2031,2009,1954,1926,1874,1843,1780,1719,1679,1716,1741,1749,1729,1756,1785,1796,1811,1788,1782,1797,1821,1789,1776,1796,1819,1782,1779,1778,1770,1829,1806,1820,1782,1843,1860,1867,1840,1824,1802,1795,1832,1791,1832,1809,1905,1849,1864,1849,1848,1848,1927,1962,1976,1977,1983,1982,1981,1953,1928,1898,1885,1938,1923,1911,1905,1904,1898,1878,1883,1881,1857,1840,1817,1783,1761,1805,1774,1765,1743,1766,1775,1717,1637,1632,1593,1564,1519,1507,1507,1489,1486,1487,1496,1517,1531,1538,1548,1560,1596,1620,1632,1663,1679,1683,1699,1721,1711,1711,1721,1741,1735,1742,1764,1756,1754,1770,1767,1735,1737,1733,1725,1714,1731,1738,1729,1740,1735,1746,1745,1737,1762,1774,1767,1766,1766
"29","72","    Apparel manufacturing","KS315F0",4918,4863,4910,4981,5053,5167,5225,5329,5320,5360,5272,5247,5285,5346,5409,5487,5389,5389,5426,5419,5514,5639,5634,5559,5601,5708,5877,5843,5971,5965,6015,6139,6160,5975,5927,6086,6079,5939,5874,5911,5717,5767,5809,5797,5718,5823,6021,6041,6120,6100,5853,5688,5693,5786,5642,5534,5332,5255,5136,5038,4960,5041,4996,5011,4949,4951,4907,4945,5136,5134,5092,5104,5160,5299,5390,5488,5534,5451,5454,5339,5373,5271,5220,5288,5230,5055,5102,5006,5010,5029,5094,5066,5043,5090,5117,5110,5218,5240,5257,5292,5280,5212,5131,5160,5170,5167,5105,5089,5045,5039,4979,4993,4926,4952,4965,5054,4821,4901,5038,5140,5129,5093,5062,5093,5097,5084,5134,5050,5052,5038,5032,5028,5026,5046,5009,5013,4998,5011,5003,4997,4940,4944,4913,4877,4825,4801,4777,4762,4727,4707,4670,4638,4621,4583,4584,4589,4582,4572,4558,4534,4519,4557,4558,4568,4578,4593,4578,4581,4556,4528,4533,4519,4527,4516,4529,4524,4541,4608,4594,4584,4573,4560,4555,4562,4562,4575,4589,4609,4614,4627,4652,4629,4654,4685,4693,4714,4728,4735
"30","73","    Leather and allied product manufacturing","KS316F0",973,966,945,964,994,1007,1014,1010,990,1003,980,1000,1007,1024,1059,1071,1084,1109,1119,1099,1073,1085,1103,1065,1039,1055,1061,1060,1053,1091,1090,1084,1114,1101,1135,1097,1095,1093,1093,1113,1107,1072,1093,1108,1100,1113,1101,1037,1011,1016,1021,1085,1017,964,958,960,962,996,975,935,930,783,768,753,765,783,790,872,852,877,866,872,895,883,889,883,879,872,846,837,835,825,818,834,823,827,824,822,809,795,801,792,795,802,812,823,834,850,859,873,867,874,876,871,879,892,876,870,875,853,862,857,870,881,893,918,933,947,953,976,976,985,986,992,991,997,992,984,969,990,990,960,952,943,944,1147,1111,1087,1060,1039,1024,994,990,980,983,988,1016,1017,1010,999,992,988,970,947,956,951,948,947,940,933,927,930,937,941,953,973,977,995,1000,1008,1014,1015,1011,1007,1020,1023,1034,1036,1030,1041,1047,1050,1052,1060,1072,1088,1092,1090,1097,1101,1113,1119,1095,1099,1110,1114,1119,1103
"31","74","    Paper manufacturing","KS322F0",7438,7413,7623,7544,7549,7537,7518,7595,7705,7626,7725,7791,7787,7775,7751,7732,7833,7881,7900,7970,7916,7986,7978,7829,7804,7774,7866,7827,7968,7993,7931,7928,8025,8057,7944,7976,8083,8031,8017,8112,8033,8058,8184,8215,8023,8015,7874,7826,7719,7736,7625,7629,7600,7662,7605,7569,7711,7810,7919,8018,8055,8053,8176,8199,8188,8306,8238,8292,8426,8458,8552,8562,8621,8478,8326,8451,8481,8458,8434,8424,8398,8331,8297,8278,8372,8415,8373,8242,8254,8188,8237,8324,8239,8320,8334,8363,8431,8527,8440,8491,8444,8549,8488,8374,8303,8306,8259,8292,8289,8311,8285,8298,8269,8226,8230,8242,8283,8254,8222,8267,8307,8263,8237,8268,8218,8183,8196,8186,8124,8065,8052,8168,7906,7981,8110,8115,8160,8149,8074,8009,7987,8161,8131,7943,7818,7802,7762,7660,7566,7711,7664,7645,7596,7556,7534,7432,7464,7471,7289,7418,7399,7383,7327,7350,7362,7410,7408,7370,7380,7386,7358,7387,7410,7367,7380,7393,7472,7450,7463,7437,7455,7436,7459,7432,7408,7433,7445,7465,7350,7331,7270,7315,7323,7322,7349,7374,7360,7382
"32","75","    Printing and related support activities","KS323F0",3036,2982,3100,3144,3195,3222,3007,3108,3129,3133,3234,3136,3091,3072,3115,3009,2976,2968,3072,3132,3187,3145,3168,3152,3177,3155,3186,3207,3231,3240,3255,3234,3239,3261,3261,3267,3275,3284,3257,3217,3257,3247,3215,3215,3238,3262,3260,3261,3205,3207,3176,3165,3152,3158,3147,3193,3189,3200,3184,3156,3267,3249,3234,3253,3237,3244,3208,3171,3113,3064,3024,3254,3186,3167,3165,3156,3115,3115,3164,3172,3163,3131,3151,3117,3106,3106,3090,3088,3122,3126,3130,3156,3167,3146,3141,3136,3126,3125,3139,3090,3083,3087,3118,3210,3201,3180,3176,3154,3122,3124,3084,3126,3130,3133,3142,3146,3183,3182,3201,3214,3224,3229,3254,3228,3248,3271,3297,3274,3229,3277,3239,3315,3483,3428,3369,3388,3300,3269,3161,3138,3139,3177,3255,3186,3175,3161,3105,3060,3083,3085,3070,3077,3054,3019,2990,2960,2937,2921,2940,2926,2912,2907,2906,2901,2895,2888,2903,2923,2939,2925,2950,2923,2864,2880,2881,2874,2887,2879,2891,2901,2890,2894,2906,2960,2940,2963,2947,2961,2971,2968,2962,2962,2963,2984,2995,3019,3075,3074
"33","76","    Petroleum and coal product manufacturing","KS324F0",12757,12551,12793,12663,12762,12945,12771,13272,13188,12823,13052,12997,11975,11995,12605,13277,13311,13512,13252,13165,12656,13096,12897,12411,12460,11497,12155,12038,11917,11908,12307,12561,12467,12759,12377,12308,12136,12522,12692,12487,12753,12949,13002,12516,12904,12887,13136,13123,13229,13151,13396,13788,13606,13182,12826,13457,12839,12624,13016,13110,13593,12517,12449,12445,12504,12848,13572,13156,13488,13321,12762,12902,12115,12275,12669,13065,12620,13168,12623,13272,13226,13202,13092,12721,12977,12731,12486,11892,13609,13679,12969,13272,12914,13201,13915,13133,14132,13901,13574,13845,12930,13282,13440,12805,12860,13552,13382,13322,13215,14035,13788,13735,14125,13699,13758,14211,13976,14165,13630,13971,13576,13720,13632,13907,14241,14191,14432,14307,14861,14785,15511,15155,16625,16306,16898,16502,15697,18530,17553,17443,17443,17009,15882,14732,14107,14064,14203,14371,14567,15230,14821,15192,14695,15878,15836,15770,16016,16118,15822,15803,15066,14934,15039,14983,15328,15358,15756,15913,16012,16041,16416,16981,16971,16834,17070,16702,16311,16539,16845,16493,16671,17329,17081,17098,16785,16556,17196,17591,17853,17330,16738,16724,16998,16275,15998,15817,16019,16230
"34","77","    Chemical manufacturing","KS325F0",33511,33597,33600,33740,33793,33992,33851,33781,34162,34638,35124,35040,35106,35503,35398,35495,35649,35444,35635,35639,35323,35319,35704,35232,35654,35694,35645,35525,35826,35902,36135,36757,36597,36878,37793,37417,37597,37542,37092,37528,37697,38041,38253,38539,38940,39211,38713,38897,38905,38847,38821,38630,38307,38172,37882,37260,37611,38153,37394,37381,37152,36881,37231,37008,37031,37283,37109,37126,36925,37614,37413,37609,36547,37192,36776,36767,36686,36559,37377,37367,37257,37165,37190,37563,36857,37613,37850,38399,38649,38281,38617,38704,38618,38188,38843,39275,39821,39948,40145,39866,40008,40447,40383,40133,40032,39939,40012,41016,41686,41158,41722,41031,41129,41599,41315,41283,41774,42458,42854,42523,42429,42403,42229,42821,42938,43032,43215,43183,43429,43207,43057,42751,41984,42094,41843,41440,40685,40155,39877,39833,38155,38982,40125,38228,38548,38108,38749,38061,37914,37922,37441,37581,37690,37817,37698,36852,37514,37447,38064,38315,39028,39430,39941,40176,40128,40877,40843,41573,41868,41855,41353,42018,42271,42150,42252,42325,42377,42391,42542,42114,41809,41693,41392,41301,41221,41097,41188,41334,41321,40814,41222,41562,41362,41932,42353,42341,42226,42671
"35","78","    Plastics and rubber product manufacturing","KS326F0",9152,9283,9321,9338,9343,9415,9399,9426,9295,9356,9469,9348,9438,9464,9420,9433,9589,9674,9716,9705,9681,9633,9780,9810,9905,9948,9951,9985,10019,10051,10097,10194,10245,10452,10480,10386,10419,10396,10108,10435,10579,10559,10673,10712,10731,10916,10849,10875,10843,10778,10767,10699,10449,10450,10447,10476,10566,10532,10552,10621,10819,10357,10556,10467,10397,10024,10071,10226,10629,10722,10935,11215,11240,11285,11286,11324,11313,11652,11320,11262,11177,11061,11000,11030,10942,10795,10920,10781,10776,10870,10962,10958,11103,11252,11170,10994,11104,11164,11115,11154,11305,11261,11268,11359,10850,10873,10998,11095,11320,11410,11540,11744,11721,11653,11701,11739,11805,11936,12036,11836,11905,11966,12053,11974,11967,12054,12126,12041,12087,11946,11934,12069,12133,12151,12233,12269,12045,11888,11931,12206,11801,11808,11863,11305,11262,11150,10972,10871,10839,10720,10527,10553,10509,10487,10490,10233,10320,10350,10309,10310,10408,10297,10354,10346,10512,10580,10707,10651,10716,10771,10612,10755,10767,11109,11067,11132,10951,10891,10876,10879,10726,10877,11013,10689,10708,10891,10801,10790,10881,10884,10832,10924,11065,10938,10928,10963,10915,10977
"36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Note.  Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Chained (2009) dollar inventory series are calculated to ensure that the chained (2009) dollar change in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","inventories for 2009 equals the current-dollar change in inventories for 2009 and that the average of the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2008 and 2009 end-of-year chain-weighted and fixed-weighted inventories are equal.  Chained (2009) dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","final sales series are calculated as the product of the chain-type quantity index and the 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
