"","Table 4BU2# Real Manufacturing Inventories, by Stage of Fabricat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201"
"21","38","      Other transportation equipment manufacturing","KS3OTW0",42488,42637,41719,41206,40926,40508,40128,40216,38762,39600,39496,40309,41331,42006,41983,44083,45321,46629,47381,48741,48629,50891,49590,49794,48084,48973,48811,48453,47967,47728,49215,48232,49025,48495,49437,48391,47017,46785,47601,45780,43025,42692,41162,39860,40215,38610,38359,37112,37181,36507,36453,37152,37349,36974,37550,37798,38224,38340,37891,37915,38495,38974,37129,36369,36509,36716,36492,36841,36448,36386,35893,37765,37955,38015,37625,38000,38615,37730,36885,36691,36948,37197,35917,36242,36354,36221,34980,34757,34020,34106,34320,33777,32559,32417,33181,32646,32683,34101,33960,33008,33530,33394,34590,33918,34816,34588,34891,35060,35095,34938,35548,35645,35488,35758,36105,34443,36266,36796,36408,36406,37298,37859,38675,39700,40094,41109,41482,42265,43184,43548,44913,46218,46143,46144,46506,46323,45984,45232,44662,44692,43695,44117,44761,45563,46530,46398,46070,46564,46992,47821,48977,47461,46953,48639,49466,48443,49446,49750,50389,51036,51492,52134,52229,52813,54437,55121,56164,57295,57842,57679,59482,59715,60259,60484,60826,61017,60231,60352,60963,61394,61438,62194,62551,62860,63442,64009,64774,65656,65815,66161,66778,66972,68127,69150,69692,70964,70581,71299
"22","39","    Furniture and related product manufacturing","KS337W0",1629,1621,1587,1539,1565,1540,1594,1586,1587,1586,1580,1601,1602,1607,1661,1678,1696,1699,1743,1753,1750,1712,1707,1709,1768,1747,1734,1679,1694,1726,1712,1745,1672,1706,1754,1755,1769,1791,1800,1819,1806,1815,1811,1839,1832,1830,1845,1833,1848,1879,1907,1903,1881,1822,1794,1725,1704,1711,1695,1685,1740,1728,1747,1769,1808,1772,1797,1766,1847,1860,1815,1753,1821,1826,1843,1807,1711,1731,1731,1636,1638,1636,1641,1661,1699,1685,1670,1649,1611,1653,1653,1733,1653,1691,1726,1716,1753,1796,1750,1760,1759,1745,1712,1726,1714,1722,1762,1726,1735,1714,1715,1691,1753,1757,1745,1747,1782,1767,1785,1737,1729,1758,1696,1644,1704,1679,1716,1724,1695,1677,1691,1692,1694,1672,1649,1645,1627,1617,1581,1531,1595,1558,1540,1532,1601,1584,1618,1533,1476,1495,1471,1460,1427,1401,1399,1368,1341,1358,1368,1396,1395,1386,1381,1358,1369,1359,1367,1360,1361,1371,1378,1372,1385,1362,1360,1373,1364,1344,1356,1328,1334,1339,1329,1330,1343,1325,1333,1328,1340,1334,1340,1323,1303,1322,1293,1319,1307,1296
"23","40","    Miscellaneous durable goods manufacturing","KS339W0",4616,4446,4426,4326,4331,4379,4329,4313,4343,4373,4453,4359,4363,4309,4412,4425,4360,4396,4448,4365,4325,4273,4324,4232,4229,4254,4241,4263,4302,4255,4227,4244,4416,4285,4275,4366,4305,4356,4364,4450,4452,4479,4517,4519,4680,4661,4660,4623,4695,4779,4566,4553,4649,4687,4731,4680,4634,4533,4471,4406,4447,4382,4338,4415,4422,4417,4301,4370,4405,4452,4494,4489,4491,4454,4614,4454,4572,4639,5039,4947,4257,4295,4642,4630,4561,4692,4793,4389,4395,4439,4451,4420,4432,4686,4664,4678,4535,4778,4647,4985,4826,4701,4636,4757,4658,4609,4626,4760,4742,4742,4716,4817,4697,4652,4896,4867,4886,4922,4869,4836,4849,4825,4760,4739,4802,4770,4811,4819,4876,4962,4896,4887,4967,4830,4876,4703,4562,4558,4554,4583,4652,4742,4800,4924,4935,4971,4891,4784,4779,4647,4671,4617,4583,4616,4679,4732,4706,4742,4774,4842,4833,4902,4883,4891,4932,4931,4859,4893,4918,4913,4884,4860,4846,4861,4847,4897,4909,4894,4948,4964,4960,4928,4987,4997,5026,5024,5079,5067,5064,5044,5053,5086,5082,5012,4961,4948,4905,4910
"24","41","  Nondurable goods industries","KS30NW0",37187,37295,37366,37828,38413,38152,38230,38898,39256,39706,39925,40167,39445,39873,39575,40107,40225,39979,39882,39313,39131,39039,39558,39238,39437,39598,39675,40731,41151,40906,40391,39704,39859,40410,40877,41141,40730,40792,40731,41195,40996,41469,41887,41386,41226,42115,41627,41399,41511,41222,40783,40951,40986,40418,40219,40496,41116,40325,39774,39973,40366,40232,40093,39969,40052,39871,40445,41291,41449,41122,40987,40735,40419,40815,40936,40613,40604,41082,41498,41517,41351,41351,41781,40752,40789,41170,41522,41671,40933,41603,40996,41175,40572,40593,40701,41229,40487,41495,41988,41243,40689,41276,41319,41587,42148,42524,42643,42228,43991,42521,42654,43765,42582,44629,44445,44598,44021,44260,44681,44281,44343,44619,44945,44954,45593,45897,45637,45387,45907,46367,47109,47926,50258,51279,50844,50051,50947,50256,51071,50873,50404,48013,47206,45400,46158,45521,46149,45751,45635,45364,44830,45322,45248,45411,45354,45350,44789,44971,45167,44943,43923,43956,44111,44817,44586,45123,44926,45685,45724,45673,45303,46581,46337,46833,46492,45667,45657,46460,46440,46562,47437,47685,47150,45862,46626,46468,45521,45930,47549,46318,45954,45262,45769,46362,46572,47289,46826,46744
"25","42","    Food manufacturing","KS311W0",6611,6704,6612,6654,6801,6719,6687,6802,6768,6844,6853,6808,6626,6621,6469,6576,6602,6513,6505,6553,6412,6358,6364,6338,6429,6458,6444,6418,6368,6404,6406,6338,6426,6423,6541,6502,6502,6558,6651,6690,6770,6719,6707,6681,6684,6450,6555,6666,6664,6617,6552,6468,6455,6450,6251,6323,6397,6472,6498,6350,6394,6435,6285,6312,6320,6396,6533,6520,6422,6443,6421,6485,6372,6547,6617,6629,6595,6604,6647,6550,6559,6381,6319,6404,6413,6337,6298,6314,6328,6302,6343,6393,6333,6259,6179,6365,6051,6350,6418,6465,6451,6294,6233,6289,6330,6438,6516,6480,6501,6440,6430,6333,6393,6549,6533,6514,6401,6921,6804,6655,6645,6666,6619,6621,6694,6685,6806,6885,6806,6643,6522,6667,6831,6742,6689,6713,6671,6572,6525,6521,6736,6795,6732,6646,6760,6702,6976,6740,6718,6669,6675,6588,6625,6756,6687,6664,6531,6530,6491,6347,6367,6414,6389,6539,6566,6665,6667,6637,6503,6554,6474,6525,6568,6601,6641,6586,6612,6610,6715,6751,6772,6647,6694,6720,6742,6748,6729,6724,6589,6632,6610,6642,6780,6848,6881,6955,6870,6801
"26","43","    Beverage and tobacco product manufacturing","KS312W0",1004,1061,1203,1204,1348,1334,1480,1726,1769,1790,1727,1861,1873,1936,2033,2087,2015,2038,1989,1719,1578,1630,1712,1870,1919,1973,1882,1928,1865,1892,1807,1719,1554,1722,1678,1727,1841,1860,1854,2041,2024,2153,2213,2150,2160,2181,2184,2327,2256,2378,2269,2368,2408,2445,2557,2635,2654,2615,2609,2568,2651,2633,2607,2565,2536,2490,2431,2529,2647,2609,2596,2533,2481,2471,2412,2497,2470,2400,2516,2472,2565,2593,2619,2614,2612,2552,2425,2366,2392,2418,2301,2581,2652,2425,2245,2360,2401,2322,2313,2255,2439,2493,2514,2394,2356,2723,2777,2747,2693,2711,2664,2690,2599,2647,2623,2672,2609,2701,2769,2747,2688,2815,2829,2879,2899,2809,2828,2815,2804,2798,2815,2789,2825,2788,2763,2764,2744,2756,2762,2857,2907,2811,2815,2870,2964,3104,3219,3276,3295,3406,3382,3480,3555,3607,3549,3562,3522,3528,3509,3433,3500,3549,3521,3369,3203,3279,3279,3293,3298,3319,3317,3351,3375,3372,3413,3342,3294,3381,3399,3410,3396,3388,3441,3468,3432,3436,3483,3484,3594,3770,3727,3713,3756,3715,3729,3766,3784,3834
"27","44","    Textile mills","KS313W0",1892,1864,1827,1858,1853,1818,1829,1840,1833,1847,1840,1816,1800,1804,1804,1807,1747,1782,1810,1815,1814,1783,1781,1769,1777,1750,1780,1781,1758,1733,1756,1724,1735,1757,1778,1762,1743,1716,1697,1724,1725,1715,1637,1664,1648,1649,1620,1631,1683,1658,1619,1616,1548,1585,1540,1512,1526,1528,1545,1512,1506,1525,1505,1470,1460,1457,1443,1469,1379,1396,1388,1425,1453,1434,1406,1406,1455,1451,1436,1434,1426,1413,1395,1410,1408,1395,1412,1430,1387,1367,1371,1382,1393,1389,1385,1378,1375,1375,1357,1317,1330,1358,1364,1364,1360,1419,1397,1358,1383,1384,1412,1404,1354,1347,1364,1353,1348,1347,1329,1315,1311,1309,1244,1250,1233,1260,1263,1252,1243,1237,1231,1220,1202,1148,1179,1155,1170,1132,1172,1173,1161,1145,1151,1101,1067,1050,1051,1029,1030,995,970,975,966,970,978,967,969,961,955,963,964,967,959,965,975,965,965,960,962,961,955,974,970,968,977,967,961,983,973,969,954,949,944,935,919,934,934,945,946,941,945,947,929,931,932,935,928,926
"28","45","    Textile product mills","KS314W0",785,823,827,821,848,853,846,847,859,858,848,871,864,870,864,860,858,853,849,854,836,835,830,830,807,820,847,855,877,893,879,873,880,888,890,896,894,902,901,894,901,885,910,910,933,920,923,916,908,906,894,910,897,913,898,890,892,873,874,874,857,861,850,845,833,817,807,813,793,794,786,770,778,787,801,786,790,796,798,798,786,768,756,766,776,762,764,761,765,765,759,762,752,761,751,756,760,756,763,755,765,772,773,773,780,796,791,788,787,779,781,774,760,757,762,748,748,737,733,744,730,736,717,725,729,736,732,728,734,744,757,742,745,755,747,741,738,734,745,751,744,764,743,735,700,687,668,649,636,646,650,645,649,639,641,638,634,632,632,636,635,638,625,633,633,624,633,640,644,634,638,636,626,619,622,627,618,620,615,625,608,606,605,597,601,600,604,601,599,604,598,592,599,597,597,609,597,598
"29","46","    Apparel manufacturing","KS315W0",2002,2038,2053,2071,2088,2137,2192,2163,2150,2180,2197,2252,2190,2122,2101,2090,2149,2106,2118,2140,2123,2093,2102,2064,2017,2041,2050,2140,2138,2216,2212,2264,2218,2321,2314,2278,2314,2334,2337,2256,2286,2275,2310,2273,2262,2202,2236,2170,2198,2121,2054,2087,2023,1912,1804,1740,1731,1731,1700,1617,1638,1650,1643,1605,1704,1724,1743,1743,1624,1642,1694,1690,1712,1697,1691,1676,1652,1678,1687,1651,1614,1623,1661,1641,1621,1613,1606,1614,1593,1594,1592,1588,1587,1571,1553,1522,1519,1512,1514,1504,1495,1482,1483,1493,1501,1508,1476,1465,1460,1459,1512,1461,1461,1419,1414,1413,1401,1417,1433,1445,1404,1421,1440,1428,1417,1415,1413,1402,1400,1392,1379,1380,1416,1350,1331,1335,1330,1321,1317,1313,1301,1299,1290,1291,1275,1272,1268,1256,1249,1251,1250,1242,1246,1249,1257,1251,1259,1256,1253,1253,1263,1280,1274,1273,1278,1270,1268,1262,1265,1269,1260,1253,1261,1266,1266,1273,1251,1255,1256,1257,1260,1260,1269,1271,1269,1268,1276,1277,1277,1276,1277,1275,1265,1265,1256,1265,1262,1264
"30","47","    Leather and allied product manufacturing","KS316W0",375,388,400,409,405,405,384,387,395,407,433,402,406,416,394,392,387,376,382,372,370,372,380,383,378,374,359,372,365,373,375,372,390,405,398,383,375,376,356,359,364,377,363,371,390,365,370,358,366,346,356,345,340,333,327,332,332,322,321,312,270,358,335,321,304,297,303,271,276,262,289,283,270,267,270,265,268,265,269,260,266,268,276,263,266,259,252,250,247,244,238,244,246,253,252,258,260,261,262,263,260,260,250,273,274,246,252,257,278,271,267,265,262,263,259,259,254,244,247,247,251,254,252,255,254,257,240,239,243,244,243,247,242,236,239,293,282,270,261,260,258,256,253,239,229,226,230,225,224,223,228,225,226,223,225,227,236,230,226,224,226,232,234,235,237,240,237,242,242,242,243,245,248,249,246,248,246,248,250,251,246,239,240,239,240,241,246,224,231,231,234,227,238,241,240,240,241,241
"31","48","    Paper manufacturing","KS322W0",1879,1899,1930,1923,1926,1909,1878,1883,1923,1903,1871,1950,1947,1927,1887,1879,1847,1760,1763,1767,1721,1699,1696,1780,1792,1818,1829,1800,1808,1838,1814,1817,1870,1873,1926,1898,1917,1910,1837,1836,1816,1871,1854,1851,1852,1837,1809,1803,1801,1842,1702,1713,1774,1760,1795,1831,1824,1850,1807,1802,1835,1833,1859,1912,1906,1940,1965,2027,1917,1890,1916,1931,1912,1905,1895,1892,1867,1891,1871,1866,1913,1913,1924,1857,1897,1828,1816,1821,1846,1824,1836,1841,1798,1810,1804,1799,1795,1819,1853,1839,1834,1820,1796,1842,1846,1852,1849,1850,1858,1886,1903,1910,1917,1907,1954,1921,1938,1969,1990,1956,1947,1935,1927,1940,1943,1934,1934,1923,1930,1892,1866,1983,1918,1923,1942,1936,1952,1968,1932,1957,1951,1941,1956,1852,1774,1933,1927,1874,1871,1893,1847,1851,1827,1837,1850,1833,1826,1825,1814,1848,1837,1811,1867,1876,1875,1864,1862,1855,1884,1873,1866,1867,1836,1865,1892,1866,1878,1901,1896,1856,1879,1869,1850,1835,1836,1821,1796,1795,1808,1818,1811,1821,1819,1824,1842,1854,1877,1884
"32","49","    Printing and related support activities","KS323W0",1561,1460,1338,1458,1490,1406,1459,1605,1572,1549,1625,1518,1396,1433,1307,1464,1545,1517,1527,1402,1463,1357,1315,1365,1398,1376,1430,1689,1577,1566,1575,1291,1383,1417,1496,1539,1551,1604,1451,1398,1430,1436,1334,1375,1405,1474,1473,1405,1436,1412,1450,1366,1397,1426,1400,1414,1396,1224,1158,1258,1334,1253,1378,1460,1454,1580,1576,1545,1457,1514,1504,1396,1396,1372,1397,1288,1232,1224,1230,1249,1186,1155,1278,1294,1200,1227,1190,1203,1352,1223,1219,1285,1285,1319,1268,1261,1158,1227,1197,1219,1252,1256,1300,1257,1307,1264,1291,1274,1298,1297,1195,1213,1207,1227,1283,1271,1339,1373,1317,1293,1318,1302,1336,1341,1336,1367,1335,1351,1392,1412,1398,1382,1278,1344,1342,1309,1315,1291,1238,1201,1170,1106,1157,1112,1039,992,1017,1007,998,986,994,1011,996,989,970,1011,1020,1046,1017,996,1015,1020,952,923,953,950,1020,1012,1033,1039,1033,1041,995,981,1002,1000,1009,1017,997,957,968,993,949,971,955,958,966,994,959,958,905,947,920,893,921,920,930,922
"33","50","    Petroleum and coal product manufacturing","KS324W0",7010,6948,7072,7249,7216,7257,7184,7491,7745,7898,8228,8016,7580,8192,8148,8071,8181,8155,7981,7423,7980,8091,7848,7568,7316,6930,7418,7639,7539,7374,7164,7539,7399,7115,7600,7517,7502,7402,7271,7569,7517,7802,7676,7562,7605,8313,7717,7588,7659,7753,7721,7729,8025,7727,7582,7626,8062,7373,7439,7810,7469,6805,8081,8115,8041,8050,7764,7838,7675,7339,7030,7447,7303,7237,7455,7089,6580,7129,7266,7276,7012,7340,7093,6787,7217,7470,7512,7715,6823,7243,7347,6961,6956,7448,7462,7007,7217,7581,7657,7239,6444,6926,7092,7329,7699,7790,7832,7480,8757,7450,7427,8222,7395,8859,8680,8816,7584,7550,7992,8062,7774,7901,8342,8586,8734,8857,8324,8287,8523,9170,9379,9962,11055,12356,12378,11994,12570,12252,12823,12757,12583,10583,10283,8164,9248,8118,8194,8316,8351,9138,8687,8934,8769,8762,8873,9231,9315,9452,9523,9529,8716,8669,8727,9109,8898,8881,9077,9345,9316,9304,9274,10195,9914,10181,10006,9562,9576,9703,9649,9716,9900,10310,10063,9285,9962,9675,9026,9600,10601,9887,9802,9150,8712,9043,8872,9067,9026,9334
"34","51","    Chemical manufacturing","KS325W0",11349,11345,11452,11562,11665,11596,11520,11445,11560,11884,11873,12128,12109,12191,12191,12396,12479,12454,12449,12417,12345,12507,13059,12559,12642,12900,12739,13171,13934,13600,13312,12984,13135,13463,13426,13704,13275,13294,13451,13548,13324,13526,14204,13826,13610,14234,14242,13816,13727,13441,13529,13701,13666,13286,13425,13563,13876,13655,13201,13460,13795,13998,13345,13278,13392,13222,13825,14490,15183,14886,14827,14258,14206,14523,14459,14485,14945,15000,15287,15557,15473,15505,16007,15175,14970,15432,15941,16002,15750,16207,15610,15636,15064,14970,15410,16083,15487,15835,16147,15902,15863,16150,16070,16124,16270,15993,15985,16075,16372,16354,16590,16858,16766,16994,16893,16987,17919,17492,17515,17280,17745,17737,17656,17339,17721,17982,18256,17990,18332,18167,18861,18636,19665,18899,18513,18311,18475,18552,18677,18624,18322,18721,18338,18853,18817,18851,19078,18890,18838,17770,17769,17977,18004,18003,17958,17557,17017,17029,17227,17180,16998,16950,17132,17386,17495,17959,17448,17912,17999,17902,17824,17696,17818,17850,17665,17573,17586,18127,18053,18103,18739,18485,18256,17993,17811,18055,17841,17526,17897,17418,17268,17408,18469,18613,19001,19330,18918,18389
"35","52","    Plastics and rubber product manufacturing","KS326W0",2688,2715,2696,2689,2764,2765,2742,2730,2810,2751,2775,2786,2758,2778,2832,2821,2816,2848,2824,2911,2929,2892,2891,2912,2984,2932,2950,2981,2957,2945,2942,2928,2945,2914,2888,2962,2822,2795,2893,2931,2858,2807,2794,2787,2739,2759,2622,2790,2882,2847,2791,2815,2734,2738,2765,2755,2719,2737,2733,2701,2700,2642,2578,2471,2460,2245,2291,2288,2314,2458,2538,2660,2653,2688,2692,2681,2679,2750,2637,2574,2633,2613,2591,2563,2540,2519,2578,2515,2530,2628,2596,2601,2581,2528,2584,2586,2631,2646,2701,2654,2661,2612,2588,2591,2542,2604,2578,2584,2621,2632,2640,2714,2678,2664,2702,2655,2679,2684,2710,2684,2717,2725,2742,2712,2764,2733,2747,2755,2734,2718,2712,2754,2670,2723,2714,2741,2743,2702,2698,2682,2650,2639,2657,2536,2557,2571,2500,2514,2465,2455,2465,2464,2475,2472,2443,2408,2416,2413,2439,2449,2461,2500,2498,2530,2519,2504,2492,2523,2607,2607,2436,2432,2499,2577,2519,2503,2501,2525,2564,2571,2623,2635,2622,2623,2668,2630,2672,2658,2720,2646,2644,2614,2603,2591,2610,2628,2658,2694
"36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Note.  Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Chained (2009) dollar inventory series are calculated to ensure that the chained (2009) dollar change in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","inventories for 2009 equals the current-dollar change in inventories for 2009 and that the average of the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2008 and 2009 end-of-year chain-weighted and fixed-weighted inventories are equal.  Chained (2009) dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","final sales series are calculated as the product of the chain-type quantity index and the 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","current-dollar value of the corresponding series, divided by 100.  Because the formula for the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
