"","Table 2#3#6U# Real Personal Consumption Expenditures by Major Ty","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"23","15","    Housing and utilities","DHUTRX0",1550457,1600525,1643038,1653822,1675982,1717906,1788366,1823187,1840778,1860103,1880993,1904255,1928407,1943596
"24","16","    Health care","DHLCRX0",1178313,1218812,1279578,1355577,1392522,1442266,1490444,1525245,1563233,1598825,1627380,1649189,1693290,1738367
"25","17","    Transportation services","DTRSRX0",317464,332782,330532,320820,322948,331523,334702,335529,339008,321283,289695,287109,294311,297989
"26","18","    Recreation services","DRCARX0",316826,325956,325423,327300,338353,355787,364675,377427,392074,388972,376000,380956,388797,394383
"27","19","    Food services and accommodations","DFSARX0",511361,534650,533653,541717,561600,584207,605102,624667,632592,626109,600334,609606,634037,656782
"28","20","    Financial services and insurance","DIFSRX0",598668,659236,645974,641679,643080,668733,704086,720065,742536,737423,718955,733929,755965,746020
"29","21","    Other services","DOTSRX0",733459,783488,810033,810740,830081,848438,856597,879353,898672,894253,875121,883779,896727,911946
"30","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRX0",150098,162643,176070,194166,206318,210320,209946,236607,242909,273598,276017,278284,278899,293626
"31","23","    Gross output of nonprofit institutions \2\","DNPERX0",777738,807254,845853,896040,914422,938378,961660,999078,1022197,1055206,1072564,1086020,1099966,1132095
"32","24","    Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRX0",638548,653495,676959,706713,710687,730999,755626,764112,780883,781544,796547,807713,820910,838753
"33",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","25","  PCE excluding food and energy \4\","DPCCRX0",6638264,7008073,7203864,7403739,7645293,7960556,8249886,8521230,8728127,8722543,8573348,8745629,9004077,9233542
"35","26","  Energy goods and services \5\","DNRGRX0",499991,500026,496087,504118,509357,513927,517902,511041,514712,496317,499633,504009,492635,483796
"36","27","  Market-based PCE \6\","DPCMRX0",6909228,7240781,7428660,7629398,7868469,8168699,8457300,8695597,8897854,8848180,8705503,8880066,9115841,9331707
"37","28","  Market-based PCE excluding food and energy \6\","DPCXRX0",5759383,6067126,6245198,6432748,6647477,6923632,7179494,7402342,7590867,7571962,7436306,7590198,7829063,8048586
"38",NA,"Personal consumption expenditures by major function (From NIPA table 2.5.6):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","29","      Personal consumption expenditures","DPCERX0",7788142,8182101,8387516,8600363,8866170,9205644,9527791,9814874,10035540,9999243,9842939,10035856,10291309,10517605
"40","30","Household consumption expenditures \7\","DPHCRX0",7645242,8026244,8216626,8408784,8661507,8997506,9320816,9579756,9794093,9725743,9566922,9757530,10012136,10224188
"41","31","  Food and beverages purchased for off-premises consumption","DFXARX0",668124,684549,693975,697031,713257,729766,757613,780821,791281,781866,769958,786471,798831,809381
"42","32","  Clothing, footwear, and related services","DCAFRX0",263435,275668,277575,284696,297381,309795,324969,335399,341252,338689,321609,337500,349860,353959
"43","33","  Housing, utilities, and fuels","DHUFRX0",1581232,1629091,1671687,1683168,1705639,1746701,1813843,1846911,1864756,1880502,1905264,1926432,1947107,1959205
"44","34","  Furnishings, household equipment, and routine household maintenance","DFHHRX0",315969,336220,344874,360766,384105,413768,435063,452391,458032,443844,409812,429354,450576,474170
"45","35","  Health","DHLTRX0",1404382,1465143,1542691,1634624,1691349,1755423,1812491,1869431,1925627,1966873,2000918,2027527,2081425,2133974
"46","36","  Transportation","DTRNRX0",905299,930124,949714,965257,980979,1004729,1003607,989810,999711,921808,866981,870358,886831,910254
"47","37","  Communication","DCMCRX0",129713,149055,157624,160963,167228,177265,185388,200667,222637,234354,230566,240263,255537,269144
"48","38","  Recreation","DRRLRX0",524313,569083,588627,618369,661022,718155,770873,826411,878243,885977,861781,911418,963289,1019082
"49","39","  Education","DEDURX0",229484,236756,240282,234907,232845,227758,226973,228286,230245,230580,229051,233937,237252,239311
"50","40","  Food services and accommodations","DFSARX0",511361,534650,533653,541717,561600,584207,605102,624667,632592,626109,600334,609606,634037,656782
"51","41","  Financial services and insurance","DIFSRX0",598668,659236,645974,641679,643080,668733,704086,720065,742536,737423,718955,733929,755965,746020
"52","42","  Other goods and services","DOISRX0",579988,600065,607642,616536,642765,667972,685674,705388,715794,705694,672713,680289,691592,703620
"53","43","  Net foreign travel and expenditures abroad by U.S. residents","DNFTRX0",-13245,-6296,-293,-1691,-1640,-1144,-6649,-5897,-17869,-30258,-21020,-28002,-35290,-41000
"54","44","Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRX0",150098,162643,176070,194166,206318,210320,209946,236607,242909,273598,276017,278284,278899,293626
"55","45","  Gross output of nonprofit institutions \2\","DNPERX0",777738,807254,845853,896040,914422,938378,961660,999078,1022197,1055206,1072564,1086020,1099966,1132095
"56","46","  Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRX0",638548,653495,676959,706713,710687,730999,755626,764112,780883,781544,796547,807713,820910,838753
"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","3. Excludes unrelated sales, secondary sales, and sales to business, to government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","and to the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","4. Food consists of food and beverages purchased for off-premises consumption;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","food services, which include purchased meals and beverages, are not classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","as food.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","5. Consists of gasoline and other energy goods and of electricity and gas services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","6. Market-based PCE is a supplemental measure that is based on household expenditures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","for which there are observable price measures.  It excludes most imputed transactions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","(for example, financial services furnished without payment) and the final consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","expenditures of nonprofit institutions serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","7. Consists of household purchases of goods and services from business, government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","nonprofit institutions, and the rest of the world.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Note. Chained (2009) dollar series are calculated as the product of the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","quantity index and the 2009 current-dollar value of the corresponding series, divided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","by 100. Because the formula for the chain-type quantity indexes uses weights of more",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","than one period, the corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
