"","Table 7#2#6B# Real Motor Vehicle Output, Chained Dollars","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72"
"40","21","  Gross government investment","AB64RX1","12,875.0","11,905.0","13,817.0","15,748.0","14,562.0","14,195.0","13,909.0","14,089.0","15,625.0","14,452.0","14,104.0","13,891.0","14,194.0","14,574.0","15,501.0","14,797.0","17,222.0","15,174.0","16,169.0","14,354.0","16,090.0","15,602.0","15,973.0","14,981.0","16,276.0","15,668.0","18,528.0","16,214.0","16,273.0","17,636.0","19,638.0","19,879.0","16,932.0","16,949.0","21,675.0","20,320.0","19,821.0","19,790.0","21,535.0","15,708.0","18,069.0","16,455.0","17,983.0","17,578.0","17,724.0","16,688.0","17,793.0","16,456.0","17,268.0","15,953.0","16,100.0","13,375.0","13,266.0","14,593.0","16,935.0","14,943.0","12,932.0","14,084.0","16,379.0","15,597.0","13,811.0","15,682.0","17,500.0","18,083.0","17,929.0","17,406.0","18,666.0","18,189.0","18,317.0"
"41","22","    Autos","B144RX1","3,765.0","3,571.0","3,724.0","4,202.0","3,490.0","3,550.0","4,101.0","3,636.0","3,349.0","3,954.0","4,182.0","3,862.0","3,567.0","3,380.0","3,589.0","3,827.0","3,933.0","3,552.0","3,432.0","3,558.0","3,726.0","3,518.0","3,341.0","3,957.0","4,386.0","3,741.0","4,122.0","3,862.0","3,951.0","4,513.0","4,694.0","4,621.0","4,319.0","4,835.0","4,277.0","4,875.0","4,629.0","4,256.0","4,347.0","4,044.0","3,953.0","3,266.0","3,560.0","3,454.0","3,207.0","3,820.0","3,253.0","3,347.0","3,445.0","3,594.0","3,343.0","2,906.0","2,732.0","2,749.0","3,016.0","2,840.0","2,748.0","2,710.0","2,759.0","2,922.0","3,026.0","3,221.0","3,243.0","3,193.0","2,811.0","2,652.0","2,754.0","3,140.0","2,973.0"
"42","23","    Trucks","B708RX1","9,092.0","8,314.0","10,081.0","11,535.0","11,079.0","10,647.0","9,782.0","10,446.0","12,290.0","10,485.0","9,904.0","10,014.0","10,621.0","11,200.0","11,921.0","10,965.0","13,297.0","11,629.0","12,755.0","10,794.0","12,369.0","12,088.0","12,636.0","11,042.0","11,909.0","11,936.0","14,410.0","12,359.0","12,331.0","13,136.0","14,954.0","15,269.0","12,628.0","12,142.0","17,389.0","15,454.0","15,198.0","15,534.0","17,183.0","11,681.0","14,120.0","13,190.0","14,422.0","14,121.0","14,509.0","12,885.0","14,526.0","13,109.0","13,819.0","12,375.0","12,763.0","10,480.0","10,537.0","11,831.0","13,894.0","12,092.0","10,192.0","11,367.0","13,584.0","12,662.0","10,803.0","12,468.0","14,238.0","14,857.0","15,059.0","14,690.0","15,838.0","15,019.0","15,294.0"
"43","24","  Net exports","AB63RX1","-94,637.0","-96,819.0","-102,981.0","-103,907.0","-110,119.0","-108,439.0","-112,614.0","-111,126.0","-111,909.0","-108,523.0","-108,015.0","-105,413.0","-108,554.0","-110,806.0","-113,978.0","-114,760.0","-106,676.0","-111,038.0","-105,335.0","-111,211.0","-113,387.0","-116,434.0","-111,052.0","-107,434.0","-102,138.0","-104,586.0","-106,149.0","-112,793.0","-116,081.0","-116,231.0","-109,971.0","-118,114.0","-105,150.0","-96,951.0","-103,518.0","-91,604.0","-94,197.0","-87,227.0","-65,845.0","-59,123.0","-40,545.0","-42,073.0","-59,958.0","-70,475.0","-65,275.0","-80,608.0","-80,171.0","-78,185.0","-80,143.0","-57,432.0","-79,017.0","-83,395.0","-94,344.0","-91,073.0","-98,310.0","-96,166.0","-89,713.0","-97,647.0","-108,568.0","-106,829.0","-102,110.0","-108,017.0","-102,522.0","-112,250.0","-126,215.0","-130,289.0","-132,446.0","-138,156.0","-138,896.0"
"44","25","    Exports","AB69RX1","28,544.0","29,309.0","28,287.0","29,185.0","31,008.0","29,934.0","27,715.0","27,462.0","25,203.0","28,193.0","29,511.0","28,895.0","29,237.0","31,435.0","31,849.0","33,073.0","33,755.0","35,784.0","32,284.0","36,373.0","34,514.0","36,778.0","40,787.0","41,410.0","44,623.0","44,231.0","44,934.0","47,807.0","50,231.0","49,101.0","51,173.0","50,818.0","55,227.0","62,289.0","63,060.0","66,564.0","66,163.0","68,955.0","72,008.0","56,629.0","34,205.0","33,056.0","42,489.0","50,144.0","52,853.0","53,671.0","54,061.0","57,596.0","61,259.0","64,598.0","66,880.0","67,073.0","71,231.0","70,703.0","68,226.0","70,616.0","73,367.0","74,312.0","71,679.0","72,147.0","70,263.0","76,463.0","79,746.0","73,735.0","64,616.0","68,120.0","70,542.0","65,687.0","63,846.0"
"45","26","      Autos","B142RX1","13,026.0","13,387.0","12,459.0","13,050.0","13,741.0","13,520.0","12,680.0","12,626.0","12,030.0","13,948.0","15,428.0","14,837.0","14,650.0","16,186.0","16,211.0","15,938.0","16,971.0","16,552.0","15,342.0","16,969.0","15,801.0","16,816.0","16,959.0","18,427.0","20,534.0","20,104.0","20,352.0","22,443.0","23,790.0","23,246.0","24,643.0","25,399.0","27,708.0","31,278.0","33,256.0","35,825.0","37,080.0","39,209.0","41,174.0","32,410.0","17,639.0","17,467.0","22,148.0","26,090.0","27,043.0","26,832.0","27,155.0","30,391.0","31,877.0","33,048.0","33,267.0","35,301.0","38,514.0","37,849.0","36,216.0","39,507.0","40,341.0","41,064.0","40,220.0","41,943.0","41,400.0","45,626.0","47,033.0","43,557.0","38,268.0","40,646.0","43,313.0","39,396.0","37,999.0"
"46","27","      Trucks","B706RX1","15,590.0","15,995.0","15,932.0","16,229.0","17,376.0","16,500.0","15,101.0","14,898.0","13,200.0","14,244.0","14,027.0","14,021.0","14,573.0","15,209.0","15,609.0","17,153.0","16,766.0","19,282.0","16,969.0","19,448.0","18,766.0","20,019.0","23,953.0","23,072.0","24,163.0","24,204.0","24,660.0","25,431.0","26,506.0","25,919.0","26,588.0","25,458.0","27,556.0","31,053.0","29,820.0","30,748.0","29,074.0","29,732.0","30,819.0","24,210.0","16,566.0","15,589.0","20,341.0","24,055.0","25,807.0","26,833.0","26,902.0","27,212.0","29,387.0","31,548.0","33,590.0","31,796.0","32,767.0","32,893.0","32,036.0","31,222.0","33,104.0","33,338.0","31,580.0","30,414.0","29,105.0","31,140.0","32,993.0","30,443.0","26,587.0","27,753.0","27,629.0","26,574.0","26,092.0"
"47","28","    Imports","AB70RX1","123,181.0","126,127.0","131,268.0","133,092.0","141,127.0","138,374.0","140,328.0","138,588.0","137,112.0","136,716.0","137,526.0","134,308.0","137,791.0","142,241.0","145,827.0","147,833.0","140,431.0","146,821.0","137,619.0","147,584.0","147,901.0","153,212.0","151,839.0","148,844.0","146,761.0","148,816.0","151,083.0","160,601.0","166,312.0","165,332.0","161,145.0","168,933.0","160,377.0","159,240.0","166,578.0","158,168.0","160,360.0","156,182.0","137,853.0","115,752.0","74,751.0","75,129.0","102,448.0","120,619.0","118,128.0","134,279.0","134,231.0","135,781.0","141,402.0","122,030.0","145,897.0","150,469.0","165,574.0","161,777.0","166,536.0","166,781.0","163,080.0","171,959.0","180,247.0","178,976.0","172,373.0","184,480.0","182,268.0","185,986.0","190,831.0","198,409.0","202,988.0","203,843.0","202,742.0"
"48","29","      Autos","B143RX1","66,483.0","67,425.0","71,075.0","70,927.0","74,362.0","73,952.0","75,177.0","74,992.0","74,925.0","73,089.0","72,193.0","69,995.0","72,810.0","78,745.0","78,603.0","77,781.0","72,237.0","74,943.0","72,085.0","77,965.0","74,293.0","72,899.0","77,864.0","73,577.0","70,303.0","69,832.0","71,438.0","75,644.0","76,259.0","76,295.0","80,715.0","84,474.0","74,877.0","77,126.0","83,084.0","77,685.0","81,244.0","79,668.0","78,839.0","71,718.0","43,366.0","44,593.0","61,968.0","69,998.0","62,719.0","74,231.0","80,132.0","78,891.0","81,894.0","68,124.0","84,291.0","88,121.0","95,647.0","94,431.0","95,309.0","98,559.0","100,599.0","106,937.0","108,681.0","107,635.0","100,941.0","108,952.0","107,830.0","111,502.0","118,239.0","123,310.0","128,179.0","127,081.0","126,866.0"
"49","30","      Trucks","B707RX1","56,593.0","58,623.0","60,077.0","62,086.0","66,709.0","64,333.0","65,056.0","63,477.0","62,046.0","63,538.0","65,284.0","64,285.0","64,925.0","63,325.0","67,110.0","69,987.0","68,177.0","71,874.0","65,488.0","69,563.0","73,633.0","80,416.0","73,971.0","75,318.0","76,547.0","79,095.0","79,746.0","85,064.0","90,182.0","89,160.0","80,495.0","84,529.0","85,606.0","82,204.0","83,569.0","80,559.0","79,163.0","76,560.0","58,988.0","44,040.0","31,379.0","30,544.0","40,485.0","50,614.0","55,354.0","59,967.0","54,138.0","56,868.0","59,513.0","53,896.0","61,574.0","62,286.0","69,900.0","67,292.0","71,225.0","68,124.0","62,248.0","64,746.0","71,391.0","71,178.0","71,394.0","75,446.0","74,349.0","74,334.0","72,283.0","74,761.0","74,364.0","76,402.0","75,503.0"
"50","31","Change in private inventories","AB65RX1","20,282.0","-1,223.0","4,462.0","25,201.0","5,445.0","24,761.0","9,307.0","3,010.0","-26,438.0","4,488.0","4,440.0","-38,075.0","11,102.0","16,278.0","1,915.0","23,075.0","9,675.0","13,852.0","-8,427.0","12,675.0","12,877.0","5,955.0","1,147.0","-13,911.0","-5,118.0","-12,967.0","-7,610.0","20,517.0","8,346.0","5,550.0","-1,590.0","-5,494.0","-2,323.0","-509.0","5,086.0","-19,896.0","-8,151.0","1,799.0","-10,541.0","-8,197.0","-57,367.0","-46,782.0","-16,489.0","27,726.0","22,245.0","21,342.0","23,614.0","-9,530.0","5,084.0","-5,618.0","10,672.0","13,293.0","28,667.0","23,494.0","21,104.0","8,825.0","5,037.0","16,185.0","10,892.0","22,349.0","13,584.0","9,344.0","11,401.0","3,604.0","15,161.0","23,662.0","34,960.0","16,438.0","35,076.0"
"51","32","  Autos","A145RX1","6,733.0","-4,006.0","-4,069.0","10,349.0","-131.0","8,115.0","8,570.0","-1,550.0","-7,870.0","1,392.0","1,453.0","-10,508.0","15,006.0","7,174.0","-4,348.0","10,494.0","-8,181.0","3,890.0","-6,860.0","334.0","-3,335.0","-768.0","-2,757.0","-9,787.0","-580.0","-5,831.0","-7,018.0","6,284.0","4,597.0","2,910.0","-774.0","6,548.0","2,522.0","-2,257.0","2,462.0","-12,291.0","441.0","-4,340.0","14,973.0","13,596.0","-22,163.0","-11,119.0","-15,582.0","15,025.0","12,314.0","13,522.0","7,158.0","-10,619.0","-2,904.0","-3,968.0","9,007.0","10,295.0","13,067.0","12,847.0","15,762.0","8,868.0","10,286.0","14,426.0","6,285.0","11,070.0","8,319.0","44.0","3,207.0","1,922.0","8,219.0","10,037.0","7,451.0","-104.0","5,432.0"
"52","33","    New","B146RX1","4,645.0","-1,741.0","-2,845.0","4,697.0","-1,537.0","2,459.0","2,256.0","1,535.0","-11,689.0","-3,822.0","1,560.0","-13,153.0","15,305.0","9,454.0","-2,060.0","9,471.0","-8,811.0","7,195.0","-5,863.0","2,033.0","82.0","222.0","-434.0","-6,283.0","2,982.0","-4,854.0","-7,448.0","4,896.0","4,740.0","4,319.0","-2,614.0","4,588.0","-1,282.0","-2,762.0","404.0","-11,974.0","716.0","-2,401.0","14,032.0","13,846.0","-20,692.0","-12,759.0","-19,180.0","3,977.0","4,809.0","10,904.0","5,209.0","-7,176.0","-4,744.0","-7,772.0","3,744.0","6,489.0","6,267.0","9,196.0","12,214.0","3,379.0","4,907.0","10,418.0","-530.0","6,176.0","3,709.0","-5,844.0","-2,256.0","-3,703.0","817.0","2,381.0","-844.0","-8,312.0","-946.0"
"53","34","      Domestic","AB71RX1","4,253.0","-3,103.0","-2,952.0","1,454.0","-2,466.0","2,504.0","1,797.0","722.0","-13,314.0","-3,288.0","-448.0","-12,424.0","14,465.0","8,556.0","287.0","3,778.0","-5,195.0","3,947.0","-3,412.0","167.0","710.0","608.0","-2,329.0","-1,257.0","792.0","-4,683.0","-5,233.0","6,581.0","2,547.0","2,639.0","-1,243.0","2,141.0","38.0","540.0","-2,943.0","-9,826.0","-3,369.0","-2,352.0","10,519.0","12,903.0","-15,762.0","-10,890.0","-12,469.0","3,136.0","6,042.0","3,956.0","4,746.0","-4,765.0","-3,120.0","-1,635.0","1,777.0","6,027.0","3,976.0","6,036.0","9,197.0","3,789.0","3,255.0","6,223.0","153.0","5,386.0","2,781.0","-3,508.0","-207.0","-2,396.0","2,545.0","1,617.0","-345.0","-8,106.0","-1,277.0"
"54","35","      Foreign","AB72RX1","356.0","1,436.0","155.0","3,358.0","1,006.0","-84.0","450.0","832.0","1,843.0","-515.0","2,046.0","-699.0","843.0","911.0","-2,335.0","5,694.0","-3,614.0","3,248.0","-2,449.0","1,850.0","-618.0","-380.0","1,836.0","-4,936.0","2,164.0","-196.0","-2,214.0","-1,624.0","2,181.0","1,674.0","-1,365.0","2,431.0","-1,286.0","-3,209.0","3,231.0","-2,196.0","3,942.0","-40.0","3,552.0","1,017.0","-4,934.0","-1,854.0","-6,719.0","837.0","-1,207.0","6,901.0","485.0","-2,403.0","-1,629.0","-5,970.0","1,911.0","523.0","2,267.0","3,132.0","3,045.0","-329.0","1,639.0","4,123.0","-648.0","850.0","937.0","-2,303.0","-1,990.0","-1,301.0","-1,665.0","764.0","-493.0","-252.0","328.0"
"55","36","    Used","B147RX1","2,215.0","-2,163.0","-1,302.0","5,422.0","1,152.0","5,240.0","5,825.0","-2,650.0","2,457.0","4,260.0","93.0","1,240.0","992.0","-1,285.0","-2,198.0","1,613.0","-53.0","-2,457.0","-1,277.0","-1,455.0","-3,094.0","-838.0","-2,024.0","-3,545.0","-2,591.0","-1,336.0","-493.0","1,694.0","346.0","-798.0","1,322.0","2,063.0","3,374.0","299.0","1,952.0","-802.0","-144.0","-1,889.0","933.0","-613.0","-2,092.0","1,541.0","4,642.0","10,725.0","7,687.0","2,812.0","2,003.0","-3,701.0","1,647.0","3,414.0","5,278.0","3,982.0","6,876.0","3,924.0","3,916.0","5,502.0","5,451.0","4,308.0","6,652.0","5,021.0","4,651.0","5,604.0","5,327.0","5,502.0","7,367.0","7,642.0","8,241.0","8,115.0","6,390.0"
"56","37","  Trucks","B709RX1","13,942.0","3,304.0","9,455.0","15,038.0","5,961.0","17,123.0","140.0","4,916.0","-19,074.0","3,160.0","3,034.0","-28,103.0","-4,495.0","9,175.0","6,522.0","12,617.0","18,019.0","9,983.0","-1,509.0","12,375.0","16,427.0","6,879.0","4,147.0","-3,736.0","-4,700.0","-7,096.0","-176.0","14,432.0","3,602.0","2,555.0","-832.0","-12,662.0","-4,987.0","1,849.0","2,647.0","-7,495.0","-8,688.0","6,099.0","-25,407.0","-21,495.0","-35,190.0","-35,228.0","-1,353.0","12,698.0","9,927.0","7,794.0","16,360.0","944.0","7,924.0","-1,660.0","1,696.0","3,057.0","15,571.0","10,663.0","5,465.0","73.0","-5,025.0","1,972.0","4,648.0","11,285.0","5,318.0","9,112.0","8,082.0","1,683.0","6,964.0","13,526.0","26,955.0","16,106.0","29,004.0"
"57","38","    New","W244RX1","12,665.0","7,846.0","10,039.0","10,423.0","4,762.0","13,787.0","-4,259.0","7,023.0","-23,162.0","-758.0","3,188.0","-31,097.0","-5,877.0","10,726.0","8,783.0","11,336.0","19,259.0","12,429.0","-3,635.0","7,951.0","15,879.0","5,725.0","1,621.0","-2,886.0","-1,865.0","-8,646.0","-2,918.0","13,743.0","-249.0","2,927.0","-673.0","-12,731.0","-6,811.0","2,500.0","999.0","-8,702.0","-9,674.0","4,667.0","-28,266.0","-20,888.0","-32,210.0","-33,416.0","-3,260.0","2,886.0","7,868.0","8,223.0","16,294.0","1,783.0","9,219.0","200.0","484.0","1,320.0","16,432.0","11,545.0","7,597.0","-1,196.0","-5,779.0","2,518.0","3,966.0","9,760.0","3,347.0","6,115.0","5,526.0","-459.0","336.0","6,199.0","12,949.0","-321.0","10,683.0"
"58","39","      Domestic","AB73RX1","11,424.0","8,565.0","11,495.0","7,843.0","5,062.0","11,769.0","-2,567.0","2,972.0","-21,589.0","260.0","3,330.0","-31,873.0","-5,896.0","10,672.0","7,189.0","6,792.0","17,931.0","11,322.0","-1,565.0","8,051.0","14,170.0","3,999.0","1,853.0","501.0","-2,180.0","-9,249.0","-2,453.0","11,619.0","-1,041.0","2,565.0","-1,140.0","-14,246.0","-5,476.0","2,963.0","1,253.0","-7,928.0","-11,519.0","-219.0","-32,555.0","-14,140.0","-24,659.0","-27,407.0","-210.0","979.0","7,084.0","6,588.0","16,054.0","1,049.0","9,049.0","2,533.0","-479.0","807.0","13,835.0","10,145.0","6,247.0","-155.0","-5,619.0","1,808.0","4,037.0","9,693.0","4,427.0","5,651.0","5,967.0","-1,845.0","-649.0","2,308.0","10,846.0","-2,126.0","9,919.0"
"59","40","      Foreign","AB74RX1","1,172.0","-500.0","-1,070.0","2,284.0","-208.0","1,900.0","-1,506.0","3,604.0","-1,622.0","-862.0","-79.0","324.0","-53.0","94.0","1,534.0","4,452.0","1,342.0","1,127.0","-2,125.0","-116.0","1,722.0","1,765.0","-251.0","-3,489.0","332.0","644.0","-473.0","2,149.0","812.0","366.0","475.0","1,525.0","-1,335.0","-457.0","-248.0","-776.0","1,802.0","4,812.0","4,180.0","-6,699.0","-7,532.0","-6,026.0","-3,110.0","1,965.0","778.0","1,640.0","216.0","739.0","153.0","-2,322.0","948.0","508.0","2,596.0","1,395.0","1,351.0","-1,048.0","-147.0","721.0","-82.0","38.0","-1,135.0","450.0","-496.0","1,455.0","1,043.0","4,124.0","2,160.0","1,950.0","733.0"
"60","41","    Used \1\","W245RX1","1,835.0","-3,214.0","179.0","4,410.0","1,274.0","3,585.0","3,298.0","-1,256.0","1,833.0","3,174.0","21.0","902.0","970.0","-924.0","-1,695.0","1,545.0","-855.0","-2,151.0","1,824.0","4,312.0","487.0","1,174.0","2,597.0","-848.0","-2,845.0","1,501.0","2,679.0","794.0","3,767.0","-328.0","-159.0","-54.0","1,749.0","-651.0","1,636.0","1,127.0","874.0","1,426.0","2,953.0","-363.0","-3,077.0","-1,077.0","1,579.0","9,502.0","2,016.0","-350.0","345.0","-877.0","-1,057.0","-1,792.0","1,194.0","1,727.0","-471.0","-638.0","-1,974.0","1,206.0","663.0","-499.0","733.0","1,646.0","2,004.0","3,063.0","2,615.0","2,173.0","6,775.0","7,494.0","14,363.0","17,003.0","18,935.0"
"61","42","Residual","A974RX1","-7,300.0","-5,500.0","-5,200.0","-6,200.0","-3,400.0","-4,400.0","1,600.0","200.0","7,000.0","3,500.0","3,000.0","9,900.0","3,700.0","900.0","1,400.0","1,200.0","3,200.0","2,800.0","3,800.0","3,100.0","2,100.0","2,500.0","2,100.0","1,600.0","0.0","900.0","100.0","-800.0","-300.0","-600.0","-700.0","0.0","100.0","300.0","1,100.0","1,200.0","700.0","100.0","0.0","0.0","-500.0","-100.0","800.0","100.0","-700.0","-1,200.0","-1,700.0","-300.0","-1,500.0","-1,800.0","-1,300.0","-2,200.0","-2,646.0","-2,824.0","-2,492.0","-2,170.0","-2,555.0","-2,896.0","-1,390.0","-2,617.0","-2,162.0","-1,412.0","-2,030.0","-1,238.0","-1,057.0","-639.0","-666.0","1,483.0","1,391.0"
"62",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","43","  Final sales of motor vehicles to domestic purchasers","AB75RX1","417,264.0","441,927.0","452,349.0","441,079.0","470,902.0","436,646.0","437,651.0","431,923.0","445,088.0","434,982.0","431,996.0","485,061.0","457,007.0","459,310.0","487,625.0","454,799.0","452,713.0","470,521.0","488,694.0","478,404.0","482,647.0","486,534.0","503,719.0","513,851.0","501,931.0","518,692.0","536,267.0","481,520.0","510,893.0","505,923.0","510,758.0","512,122.0","506,614.0","501,458.0","499,843.0","497,429.0","472,513.0","435,638.0","402,687.0","326,501.0","308,570.0","310,857.0","348,232.0","325,599.0","349,208.0","378,865.0","393,991.0","413,581.0","424,591.0","406,443.0","420,778.0","441,499.0","460,316.0","469,549.0","479,064.0","486,582.0","500,220.0","505,728.0","505,371.0","511,917.0","518,324.0","544,723.0","558,504.0","561,320.0","565,039.0","575,862.0","588,058.0","581,719.0","565,990.0"
"64","44","  Private fixed investment in new autos and new light trucks","AB76RX1","155,551.0","157,507.0","167,553.0","165,684.0","172,745.0","162,135.0","161,924.0","152,440.0","159,446.0","155,418.0","149,935.0","145,749.0","145,539.0","152,962.0","156,109.0","146,843.0","141,554.0","138,846.0","150,060.0","151,120.0","146,600.0","153,754.0","165,638.0","170,402.0","161,579.0","168,746.0","183,658.0","178,618.0","194,731.0","182,786.0","182,027.0","187,035.0","188,721.0","184,305.0","190,539.0","187,692.0","180,488.0","162,964.0","149,365.0","109,094.0","85,193.0","95,491.0","101,275.0","117,306.0","130,333.0","139,621.0","145,243.0","146,704.0","153,794.0","148,109.0","160,592.0","161,254.0","170,410.0","171,723.0","175,036.0","186,360.0","195,592.0","195,569.0","197,348.0","201,151.0","205,623.0","217,705.0","219,006.0","219,067.0","228,574.0","231,325.0","245,147.0","252,583.0","251,240.0"
"65","45","  Domestic output of new autos \2\","B148RX1","112,012.0","111,906.0","113,351.0","115,309.0","120,330.0","117,886.0","114,218.0","107,417.0","104,566.0","108,540.0","105,867.0","107,961.0","113,553.0","114,410.0","111,723.0","104,692.0","98,442.0","99,485.0","96,494.0","99,100.0","97,415.0","96,252.0","96,060.0","101,143.0","107,928.0","106,366.0","108,541.0","112,513.0","116,130.0","109,931.0","106,990.0","105,713.0","105,736.0","107,029.0","104,814.0","106,775.0","108,615.0","102,169.0","110,632.0","85,796.0","41,825.0","49,659.0","69,236.0","78,752.0","77,576.0","78,427.0","78,720.0","74,615.0","77,738.0","79,829.0","84,024.0","93,760.0","108,176.0","108,540.0","112,955.0","113,453.0","118,111.0","115,776.0","112,626.0","117,138.0","113,109.0","113,233.0","118,200.0","118,128.0","110,481.0","114,440.0","117,861.0","107,433.0","107,131.0"
"66","46","  Sales of imported new autos \3\","B149RX1","70,450.0","74,446.0","75,882.0","81,495.0","83,692.0","80,091.0","79,273.0","79,075.0","77,775.0","78,753.0","76,474.0","82,421.0","83,537.0","84,453.0","87,820.0","84,685.0","84,648.0","83,111.0","84,724.0","80,892.0","83,645.0","86,983.0","84,491.0","89,871.0","83,864.0","84,961.0","90,337.0","90,207.0","94,278.0","94,015.0","97,042.0","98,908.0","100,730.0","101,804.0","98,188.0","98,560.0","93,366.0","104,649.0","89,171.0","71,053.0","67,196.0","69,940.0","83,285.0","75,349.0","78,336.0","83,495.0","88,292.0","87,748.0","96,942.0","92,451.0","87,568.0","90,490.0","104,103.0","97,666.0","95,993.0","102,304.0","102,813.0","102,178.0","105,604.0","106,704.0","104,159.0","110,770.0","110,739.0","107,284.0","105,787.0","103,720.0","102,971.0","102,062.0","97,063.0"
"67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","1. Consists of used light trucks only.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","2. Consists of final sales and change in private inventories of new autos assembled in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","3. Consists of sales of imported new autos in personal consumption expenditures, in private fixed investment,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","and in gross government investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Note. Chained (2009) dollar series are calculated as the product of the chain-type quantity index and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","the 2009 current-dollar value of the corresponding series, divided by 100. Because the formula for the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar estimates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","are usually not additive. The residual line is the difference between the first line and the sum of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
