"","Table 3#1# Government Current Receipts and Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50"
"37","19","Current surplus of government enterprises \4\","A108RC1","5.0","-1,199.0","-1,698.0","-1,156.0","-2,204.0","-2,683.0","-4,354.0","-2,706.0","-3,334.0","-2,847.0","-3,212.0","-5,051.0","-5,171.0","-3,794.0","-2,312.0","-1,375.0","1,307.0","1,963.0","2,167.0","5,040.0","6,672.0","3,233.0","7,839.0","9,929.0","10,771.0","11,829.0","15,618.0","16,890.0","17,454.0","16,262.0","16,170.0","10,728.0","5,162.0","6,993.0","3,889.0","-1,797.0","-6,397.0","-9,312.0","-16,441.0","-21,207.0","-20,630.0","-22,886.0","-24,512.0","-19,288.0","-18,787.0","-18,260.0","-16,524.0"
"38","20","    Current expenditures","W022RC1","283,525.0","317,479.0","352,376.0","385,861.0","416,587.0","468,327.0","543,484.0","582,423.0","630,485.0","692,037.0","765,134.0","880,202.0","1,000,341.0","1,110,273.0","1,205,407.0","1,285,863.0","1,391,824.0","1,484,508.0","1,557,152.0","1,646,903.0","1,780,635.0","1,920,222.0","2,034,622.0","2,218,393.0","2,301,356.0","2,377,176.0","2,495,139.0","2,578,347.0","2,654,483.0","2,719,573.0","2,832,201.0","2,971,757.0","3,174,048.0","3,363,273.0","3,572,239.0","3,777,851.0","4,040,285.0","4,274,288.0","4,547,156.0","4,916,593.0","5,220,294.0","5,502,530.0","5,592,219.0","5,623,086.0","5,655,682.0","5,794,599.0","5,951,391.0"
"39","21","Consumption expenditures","A955RC1","180,861.0","194,403.0","210,822.0","227,554.0","240,724.0","266,951.0","298,540.0","316,184.0","342,602.0","371,821.0","405,437.0","454,895.0","507,389.0","553,072.0","594,579.0","631,991.0","688,558.0","736,383.0","776,119.0","819,773.0","881,488.0","947,994.0","1,004,071.0","1,049,253.0","1,074,176.0","1,109,568.0","1,144,482.0","1,176,498.0","1,224,627.0","1,272,113.0","1,357,572.0","1,444,173.0","1,545,131.0","1,651,364.0","1,755,592.0","1,868,942.0","1,980,048.0","2,089,846.0","2,209,721.0","2,368,565.0","2,442,062.0","2,522,209.0","2,530,861.0","2,544,150.0","2,521,969.0","2,556,267.0","2,571,979.0"
"40","22","Current transfer payments","A084RC1","64,104.0","77,276.0","92,235.0","102,950.0","115,177.0","135,873.0","171,256.0","184,667.0","196,308.0","211,161.0","236,229.0","282,371.0","318,759.0","355,323.0","383,055.0","395,798.0","420,907.0","447,203.0","464,908.0","494,638.0","539,749.0","594,367.0","631,154.0","758,526.0","806,826.0","842,481.0","886,899.0","934,277.0","960,224.0","984,090.0","1,019,452.0","1,075,915.0","1,173,524.0","1,283,478.0","1,359,763.0","1,445,963.0","1,543,106.0","1,640,529.0","1,753,096.0","1,980,474.0","2,177,511.0","2,351,754.0","2,384,918.0","2,396,871.0","2,458,186.0","2,558,973.0","2,692,222.0"
"41","23","  Government social benefits","W063RC1","59,558.0","72,458.0","86,223.0","95,773.0","109,786.0","129,878.0","165,121.0","180,133.0","192,061.0","206,169.0","230,383.0","275,041.0","312,097.0","347,182.0","374,124.0","384,582.0","407,140.0","433,005.0","452,193.0","481,444.0","526,202.0","580,838.0","656,779.0","737,975.0","785,134.0","822,534.0","871,520.0","913,899.0","943,268.0","966,123.0","1,000,730.0","1,053,544.0","1,155,268.0","1,260,138.0","1,331,153.0","1,415,210.0","1,502,254.0","1,605,541.0","1,710,797.0","1,935,429.0","2,124,856.0","2,298,257.0","2,327,297.0","2,341,548.0","2,404,306.0","2,506,648.0","2,639,813.0"
"42","24","    To persons","A063RC1","58,973.0","71,737.0","85,412.0","94,808.0","108,628.0","128,556.0","163,134.0","177,643.0","189,482.0","203,427.0","227,334.0","271,498.0","307,809.0","343,079.0","370,499.0","380,909.0","403,112.0","428,607.0","447,913.0","476,864.0","521,070.0","574,674.0","650,507.0","731,750.0","778,935.0","815,708.0","864,727.0","906,325.0","935,418.0","957,915.0","992,202.0","1,044,876.0","1,145,830.0","1,250,485.0","1,321,063.0","1,404,558.0","1,491,019.0","1,593,114.0","1,697,481.0","1,919,953.0","2,108,840.0","2,281,740.0","2,310,219.0","2,323,598.0","2,385,476.0","2,487,179.0","2,619,523.0"
"43","25","    To the rest of the world \5\","W016RC1","585.0","721.0","811.0","965.0","1,158.0","1,322.0","1,987.0","2,490.0","2,579.0","2,742.0","3,049.0","3,543.0","4,288.0","4,103.0","3,625.0","3,673.0","4,028.0","4,398.0","4,280.0","4,580.0","5,132.0","6,164.0","6,272.0","6,225.0","6,199.0","6,826.0","6,793.0","7,574.0","7,850.0","8,208.0","8,528.0","8,668.0","9,438.0","9,653.0","10,090.0","10,652.0","11,235.0","12,427.0","13,316.0","15,476.0","16,016.0","16,517.0","17,078.0","17,950.0","18,830.0","19,469.0","20,290.0"
"44","26","  Other current transfer payments to the rest of the world \3,5\","W017RC1","4,546.0","4,818.0","6,012.0","7,177.0","5,391.0","5,995.0","6,135.0","4,534.0","4,247.0","4,992.0","5,846.0","7,330.0","6,662.0","8,141.0","8,931.0","11,216.0","13,767.0","14,198.0","12,715.0","13,194.0","13,547.0","13,529.0","-25,625.0","20,551.0","21,692.0","19,947.0","15,379.0","20,378.0","16,956.0","17,967.0","18,722.0","22,371.0","18,256.0","23,340.0","28,610.0","30,753.0","40,853.0","34,988.0","42,298.0","45,046.0","52,655.0","53,497.0","57,620.0","55,323.0","53,880.0","52,325.0","52,409.0"
"45","27","Interest payments \2\","A180RC1","34,026.0","41,023.0","44,644.0","48,721.0","55,456.0","62,196.0","69,194.0","76,448.0","84,476.0","100,119.0","114,937.0","133,135.0","162,719.0","186,861.0","206,469.0","237,009.0","261,000.0","276,026.0","285,842.0","302,990.0","331,969.0","350,868.0","371,908.0","380,527.0","383,674.0","392,604.0","428,946.0","432,339.0","435,822.0","427,002.0","409,967.0","405,829.0","396,672.0","387,040.0","407,826.0","416,561.0","456,221.0","492,445.0","529,756.0","514,996.0","542,374.0","572,705.0","616,374.0","624,029.0","616,167.0","621,431.0","628,547.0"
"46","28","  To persons and business \2\","A204RC1","33,249.0","40,074.0","42,892.0","46,170.0","51,805.0","58,149.0","64,861.0","72,178.0","79,239.0","91,886.0","104,380.0","121,269.0","146,443.0","168,870.0","188,409.0","216,842.0","238,846.0","252,682.0","261,738.0","274,235.0","297,428.0","314,802.0","335,839.0","346,255.0","349,510.0","356,249.0","381,859.0","375,575.0","366,130.0","354,918.0","343,220.0","341,444.0","339,588.0","337,723.0","360,401.0","361,744.0","388,229.0","406,572.0","430,714.0","414,950.0","450,988.0","477,808.0","516,343.0","525,318.0","517,005.0","524,877.0","530,992.0"
"47","29","  To the rest of the world","Y712RC1","777.0","949.0","1,752.0","2,551.0","3,651.0","4,047.0","4,333.0","4,270.0","5,237.0","8,233.0","10,557.0","11,866.0","16,276.0","17,991.0","18,060.0","20,167.0","22,154.0","23,344.0","24,104.0","28,755.0","34,541.0","36,066.0","36,069.0","34,272.0","34,164.0","36,355.0","47,087.0","56,764.0","69,692.0","72,084.0","66,747.0","64,384.0","57,086.0","49,317.0","47,424.0","54,817.0","67,991.0","85,872.0","99,041.0","100,044.0","91,386.0","94,896.0","100,031.0","98,711.0","99,162.0","96,554.0","97,555.0"
"48","30","Subsidies \4\","A107RC1","4,534.0","4,777.0","4,675.0","6,636.0","5,230.0","3,307.0","4,494.0","5,125.0","7,100.0","8,936.0","8,531.0","9,800.0","11,473.0","15,017.0","21,304.0","21,065.0","21,360.0","24,895.0","30,282.0","29,502.0","27,428.0","26,993.0","27,488.0","30,088.0","36,681.0","32,523.0","34,812.0","35,234.0","33,810.0","36,368.0","45,209.0","45,840.0","58,722.0","41,390.0","49,057.0","46,387.0","60,910.0","51,467.0","54,584.0","52,558.0","58,348.0","55,861.0","60,065.0","58,035.0","59,360.0","57,929.0","58,643.0"
"49","31","    Net government saving","A922RC1","-1,002.0","-31,800.0","-50,240.0","-40,468.0","-28,046.0","-38,328.0","-102,541.0","-77,056.0","-63,464.0","-46,381.0","-36,318.0","-80,873.0","-81,680.0","-169,729.0","-203,732.0","-171,414.0","-175,353.0","-192,231.0","-151,091.0","-140,357.0","-149,216.0","-207,371.0","-271,304.0","-370,165.0","-349,027.0","-280,650.0","-272,386.0","-190,958.0","-89,487.0","18,123.0","75,867.0","166,418.0","-50,835.0","-391,410.0","-524,287.0","-507,585.0","-371,335.0","-266,437.0","-338,376.0","-799,047.0","-1,520,761.0","-1,566,014.0","-1,460,065.0","-1,310,831.0","-828,042.0","-799,181.0","-727,139.0"
"50","32","Social insurance funds","A221RC1","5,856.0","1,141.0","-2,778.0","-381.0","6,187.0","3,587.0","-15,814.0","-15,420.0","-13,072.0","-3,209.0","1,729.0","-14,455.0","-12,974.0","-33,150.0","-36,645.0","-7,933.0","2,193.0","7,515.0","16,651.0","41,574.0","44,973.0","44,358.0","27,017.0","8,504.0","7,025.0","19,991.0","19,668.0","15,732.0","30,115.0","59,974.0","94,246.0","116,262.0","90,745.0","51,131.0","41,077.0","58,491.0","55,684.0","16,396.0","-1,390.0","-53,194.0","-250,962.0","-287,734.0","-266,546.0","-284,940.0","-284,390.0","-275,076.0","-293,838.0"
"51","33","Other","A391RC1","-6,858.0","-32,941.0","-47,463.0","-40,087.0","-34,234.0","-41,916.0","-86,727.0","-61,636.0","-50,392.0","-43,172.0","-38,047.0","-66,418.0","-68,706.0","-136,579.0","-167,087.0","-163,481.0","-177,546.0","-199,746.0","-167,742.0","-181,931.0","-194,189.0","-251,729.0","-298,321.0","-378,669.0","-356,052.0","-300,641.0","-292,054.0","-206,690.0","-119,602.0","-41,851.0","-18,380.0","50,156.0","-141,580.0","-442,541.0","-565,364.0","-566,076.0","-427,019.0","-282,833.0","-336,986.0","-745,853.0","-1,269,799.0","-1,278,280.0","-1,193,519.0","-1,025,891.0","-543,652.0","-524,106.0","-433,301.0"
"52",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
