"","Table 7#13# Relation of Consumption of Fixed Capital in the Nati","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"19",NA,"      Corporations"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","1","Depreciation and amortization, IRS","B1208C1","49,472.0","53,686.0","58,045.0","64,695.0","71,263.0","79,313.0","87,218.0","94,143.0","107,954.0","122,489.0","139,470.0","158,722.0","201,137.0","229,688.0","255,238.0","286,918.0","323,408.0","327,389.0","342,870.0","362,050.0","375,700.0","381,545.0","390,114.0","397,506.0","417,200.0","454,139.0","496,744.0","535,810.0","583,528.0","626,481.0","677,963.0","718,723.0","761,817.0","829,432.0","823,639.0","825,711.0","675,240.0","720,757.0","772,343.0","939,371.0","903,278.0","918,290.0","1,070,692.0","909,837.0",".....","....."
"21",NA,"Less:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2","  Depreciation of assets of foreign branches","B1209C1","782.0","966.0","1,112.0","1,227.0","1,266.0","1,385.0","1,580.0","1,722.0","1,943.0","2,176.0","2,447.0","2,606.0","3,008.0","2,642.0","2,746.0","2,904.0","2,924.0","3,007.0","2,965.0","2,819.0","2,440.0","2,645.0","2,848.0","3,057.0","3,204.0","2,632.0","3,292.0","3,459.0","3,285.0","3,193.0","2,671.0","3,159.0","3,187.0","2,820.0","3,356.0","2,926.0","3,279.0","3,235.0","3,509.0","3,864.0","3,201.0","3,073.0","2,707.0","2,632.0",".....","....."
"23","3","  Depreciation or amortization of intangible assets \1\","B1210C1","367.0","393.0","410.0","441.0","520.0","649.0","735.0","810.0","887.0","1,032.0","1,108.0","1,247.0","1,715.0","2,180.0","2,646.0","3,128.0","3,748.0","7,066.0","8,614.0","10,370.0","13,288.0","16,256.0","18,573.0","21,202.0","22,867.0","24,075.0","27,705.0","31,961.0","38,482.0","46,769.0","56,095.0","67,218.0","78,779.0","84,442.0","89,696.0","96,114.0","104,121.0","114,674.0","127,322.0","136,091.0","142,215.0","144,389.0","148,069.0","152,953.0",".....","....."
"24","4","  Other \2\","B1211C1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","208.0","469.0","621.0","772.0","869.0","988.0","1,080.0","1,117.0","1,174.0","1,274.0","1,375.0","1,532.0","1,688.0","1,831.0","1,938.0","2,016.0","1,837.0","1,776.0","1,858.0","1,925.0","2,308.0","2,352.0","2,435.0","2,553.0","2,603.0","2,629.0","2,680.0","2,691.0","2,679.0","2,723.0","2,755.0","2,701.0","2,628.0","2,571.0","2,524.0",".....","....."
"25",NA,"Plus:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","5","  Normal accidental damage to fixed capital other than repairable damage","B1212C1","845.0","821.0","791.0","1,082.0","972.0","1,082.0","1,234.0","1,028.0","1,198.0","1,348.0","1,186.0","1,446.0","1,498.0","1,510.0","1,642.0","1,677.0","1,867.0","2,100.0","2,239.0","2,334.0","2,525.0","2,679.0","2,872.0","3,015.0","4,529.0","3,297.0","3,517.0","3,959.0","4,032.0","4,128.0","4,439.0","4,722.0","5,000.0","5,111.0","5,219.0","5,440.0","5,686.0","5,786.0","5,986.0","6,260.0","6,510.0","6,744.0","6,849.0","6,986.0",".....","....."
"27","6","  Depreciation of intellectual property products not in IRS depreciation \3\","Y373RC1","9,782.0","10,840.0","11,901.0","13,037.0","14,327.0","15,783.0","17,400.0","19,186.0","21,168.0","23,085.0","25,590.0","28,624.0","32,297.0","36,683.0","41,628.0","47,323.0","53,867.0","60,785.0","67,700.0","75,003.0","83,333.0","92,819.0","103,082.0","113,294.0","123,078.0","132,257.0","141,453.0","151,720.0","165,025.0","181,569.0","201,271.0","224,088.0","246,155.0","265,150.0","281,222.0","296,374.0","309,836.0","322,991.0","338,528.0","356,805.0","373,941.0","388,264.0","401,802.0","416,594.0",".....","....."
"28","7","  Depreciation of mining exploration, shafts, and wells charged to current expense","B1213C1","1,773.0","1,869.0","1,983.0","2,080.0","2,085.0","2,236.0","2,495.0","2,851.0","3,167.0","3,844.0","4,743.0","6,011.0","7,800.0","10,017.0","12,026.0","13,844.0","15,588.0","16,673.0","17,131.0","17,407.0","17,785.0","18,025.0","17,973.0","16,948.0","15,909.0","14,491.0","13,284.0","12,346.0","12,271.0","12,093.0","12,302.0","12,623.0","13,391.0","14,082.0","14,709.0","15,883.0","17,529.0","20,245.0","24,328.0","29,417.0","33,782.0","37,328.0","42,027.0","47,747.0",".....","....."
"29","8","  Depreciation of motor vehicles not in IRS depreciation \4\","B1315C1","798.0","775.0","802.0","883.0","949.0","960.0","977.0","1,005.0","1,034.0","1,709.0","1,937.0","2,083.0","2,196.0","2,332.0","2,596.0","3,020.0","3,445.0","3,796.0","4,074.0","4,302.0","4,662.0","5,099.0","5,386.0","5,376.0","5,315.0","5,468.0","5,410.0","5,397.0","5,422.0","5,466.0","5,536.0","5,731.0","5,923.0","6,035.0","5,880.0","5,888.0","6,176.0","6,326.0","6,258.0","6,084.0","5,504.0","5,208.0","5,443.0","5,787.0",".....","....."
"30","9","  Depreciation of railroad track charged to current expense \5\","B1628C1","507.0","551.0","664.0","685.0","745.0","873.0","904.0","1,286.0","1,464.0","1,479.0","1,717.0","1,680.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","0.0",".....","....."
"31","10","  Other \6\","B1214C1","1,310.0","1,154.0","916.0","583.0","253.0","226.0","233.0","298.0","289.0","606.0","710.0","932.0","943.0","3,017.0","2,451.0","1,119.0","1,297.0","1,490.0","1,561.0","1,596.0","1,644.0","1,679.0","1,798.0","1,837.0","1,887.0","1,982.0","2,026.0","2,064.0","2,218.0","2,151.0","2,239.0","2,330.0","2,445.0","2,679.0","2,989.0","3,336.0","3,741.0","3,801.0","3,693.0","3,560.0","3,443.0","3,453.0","3,473.0","3,687.0",".....","....."
"32","11","Equals: Capital consumption allowances, NIPAs","A677RC1","63,338.0","68,337.0","73,580.0","81,377.0","88,808.0","98,439.0","108,146.0","117,265.0","133,444.0","151,144.0","171,328.0","195,023.0","240,375.0","277,555.0","309,201.0","346,788.0","391,682.0","400,987.0","422,723.0","448,129.0","468,389.0","481,257.0","497,973.0","511,779.0","539,831.0","583,090.0","629,661.0","674,018.0","728,804.0","779,618.0","842,632.0","895,405.0","950,212.0","1,032,624.0","1,037,977.0","1,050,912.0","908,117.0","959,318.0","1,017,582.0","1,198,788.0","1,178,340.0","1,209,198.0","1,376,939.0","1,232,530.0","1,277,549.0","1,335,418.0"
"33","12","Less: Capital consumption adjustment","A059RC1","7,634.0","6,533.0","5,960.0","7,937.0","6,828.0","2,399.0","-5,370.0","-7,763.0","-7,012.0","-8,132.0","-12,024.0","-17,065.0","-4,505.0","5,035.0","23,325.0","43,620.0","64,818.0","51,119.0","51,431.0","48,697.0","41,185.0","25,993.0","17,085.0","15,531.0","20,075.0","32,646.0","36,049.0","44,242.0","54,792.0","60,290.0","68,036.0","50,925.0","55,360.0","112,092.0","96,481.0","68,188.0","-143,463.0","-169,242.0","-179,902.0","-60,424.0","-82,240.0","-53,262.0","78,111.0","-118,458.0","-127,471.0","-131,906.0"
"34","13","Equals: Consumption of fixed capital, NIPAs","A438RC1","55,704.0","61,804.0","67,620.0","73,440.0","81,980.0","96,040.0","113,516.0","125,028.0","140,456.0","159,276.0","183,352.0","212,088.0","244,880.0","272,520.0","285,876.0","303,168.0","326,864.0","349,868.0","371,292.0","399,432.0","427,204.0","455,264.0","480,888.0","496,248.0","519,756.0","550,444.0","593,612.0","629,776.0","674,012.0","719,328.0","774,596.0","844,480.0","894,852.0","920,532.0","941,496.0","982,724.0","1,051,580.0","1,128,560.0","1,197,484.0","1,259,212.0","1,260,580.0","1,262,460.0","1,298,828.0","1,350,988.0","1,405,020.0","1,467,324.0"
"35",NA,"       Nonfarm sole proprietorships and partnerships"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","14","Depreciation and amortization, IRS","B1218C1","8,833.0","9,611.0","10,390.0","11,743.0","13,443.0","15,424.0","17,290.0","18,854.0","21,166.0","24,621.0","29,662.0","34,612.0","42,777.0","48,133.0","57,283.0","69,949.0","82,211.0","90,753.0","88,997.0","93,835.0","98,796.0","90,475.0","88,597.0","91,151.0","93,468.0","92,355.0","96,746.0","105,805.0","118,774.0","132,212.0","150,770.0","169,931.0","198,545.0","218,973.0","231,775.0","243,769.0","214,899.0","235,913.0","255,800.0","332,784.0","323,026.0","330,944.0","386,187.0","349,002.0","381,712.0","....."
"37",NA,"Less:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","15","  Depreciation or amortization of intangible assets \1\","B1219C1","77.0","91.0","69.0","86.0","152.0","167.0","208.0","233.0","233.0","243.0","248.0","254.0","258.0","265.0","301.0","340.0","403.0","465.0","509.0","542.0","569.0","593.0","623.0","657.0","731.0","828.0","1,083.0","1,862.0","2,660.0","5,287.0","6,031.0","6,794.0","7,939.0","8,756.0","9,270.0","9,750.0","8,597.0","9,435.0","10,232.0","13,308.0","12,922.0","13,239.0","15,452.0","13,960.0","15,267.0","....."
"39","16","  Adjustment for misreporting on income tax returns","B1220C1","464.0","500.0","544.0","618.0","722.0","898.0","1,031.0","1,206.0","1,504.0","1,926.0","2,455.0","3,076.0","2,893.0","5,007.0","5,128.0","6,581.0","7,535.0","8,363.0","8,076.0","8,630.0","9,329.0","8,528.0","8,624.0","9,028.0","9,028.0","9,310.0","9,220.0","9,594.0","10,253.0","11,224.0","12,763.0","14,426.0","16,171.0","17,786.0","19,881.0","20,539.0","18,912.0","20,635.0","22,777.0","27,501.0","26,801.0","27,323.0","30,286.0","28,366.0","30,206.0","....."
"40","17","  Other \7\","B2626C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","53.0","73.0","105.0","136.0","256.0","310.0","376.0","456.0","542.0","602.0","670.0","721.0","752.0","836.0","800.0","832.0","863.0","894.0","907.0","905.0","899.0","877.0","850.0","845.0","843.0","814.0","773.0","721.0","654.0","586.0","....."
"41",NA,"Plus:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","18","  Normal accidental damage to fixed capital other than repairable damage","B1221C1","145.0","149.0","136.0","351.0","142.0","182.0","213.0","174.0","206.0","220.0","179.0","197.0","266.0","235.0","293.0","312.0","339.0","373.0","406.0","439.0","498.0","561.0","623.0","661.0","336.0","344.0","342.0","354.0","367.0","384.0","399.0","417.0","452.0","512.0","567.0","624.0","653.0","604.0","658.0","787.0","943.0","871.0","886.0","1,005.0","937.0","....."
"43","19","  Depreciation of intellectual property products not in IRS depreciation \3\","Y374RC1","739.0","789.0","844.0","890.0","929.0","962.0","989.0","1,030.0","1,087.0","1,098.0","1,203.0","1,347.0","1,539.0","1,755.0","1,960.0","2,206.0","2,504.0","2,839.0","3,197.0","3,644.0","4,128.0","4,629.0","5,179.0","5,726.0","6,258.0","6,796.0","7,334.0","7,876.0","8,544.0","9,498.0","10,745.0","12,349.0","14,100.0","15,789.0","17,392.0","18,930.0","20,405.0","21,931.0","23,614.0","25,439.0","27,112.0","29,059.0","30,340.0","31,551.0","32,836.0","....."
"44","20","  Depreciation of mining exploration, shafts, and wells charged to current expense","B1222C1","202.0","212.0","200.0","212.0","208.0","221.0","263.0","330.0","428.0","596.0","808.0","1,115.0","1,752.0","2,606.0","3,211.0","3,492.0","3,653.0","3,741.0","3,788.0","3,796.0","3,778.0","3,695.0","3,581.0","3,712.0","3,230.0","2,594.0","2,249.0","2,204.0","2,312.0","2,655.0","2,989.0","3,197.0","3,615.0","4,309.0","5,334.0","6,674.0","8,746.0","11,590.0","14,236.0","16,709.0","18,375.0","19,438.0","20,995.0","23,473.0","26,076.0","....."
"45","21","  Depreciation of motor vehicles not in IRS depreciation \4\","B1313C1","154.0","159.0","141.0","161.0","202.0","55.0","107.0","160.0","209.0","231.0","267.0","282.0","288.0","297.0","327.0","381.0","436.0","482.0","508.0","527.0","540.0","537.0","511.0","476.0","460.0","456.0","466.0","466.0","464.0","453.0","456.0","469.0","484.0","493.0","490.0","488.0","496.0","508.0","514.0","498.0","459.0","411.0","380.0","382.0","398.0","....."
"46","22","  Other \8\","Y380RC1","605.0","711.0","850.0","1,010.0","1,121.0","1,104.0","784.0","789.0","941.0","1,296.0","1,667.0","1,616.0","1,419.0","1,230.0","1,871.0","2,086.0","2,678.0","3,326.0","3,170.0","3,123.0","3,134.0","2,911.0","2,773.0","2,701.0","2,716.0","3,010.0","3,292.0","3,819.0","4,143.0","5,026.0","5,506.0","5,557.0","6,107.0","7,070.0","8,113.0","9,557.0","11,523.0","11,307.0","10,126.0","8,838.0","7,599.0","7,452.0","7,370.0","8,522.0","10,102.0","....."
"47","23","Equals: Capital consumption allowances, NIPAs","B1314C1","10,137.0","11,040.0","11,948.0","13,663.0","15,171.0","16,883.0","18,407.0","19,898.0","22,300.0","25,874.0","31,062.0","35,814.0","44,859.0","48,947.0","59,472.0","71,452.0","83,810.0","92,581.0","91,345.0","95,936.0","100,666.0","93,311.0","91,561.0","94,200.0","96,107.0","94,747.0","99,405.0","108,315.0","120,856.0","132,916.0","151,238.0","169,837.0","198,299.0","219,698.0","233,615.0","248,853.0","228,336.0","250,933.0","271,093.0","343,403.0","336,977.0","346,840.0","399,699.0","370,955.0","406,002.0","426,113.0"
"48","24","Less: Capital consumption adjustment","A2205C1","-295.0","-425.0","-656.0","-83.0","-62.0","-515.0","-1,290.0","-1,111.0","-695.0","-38.0","1,241.0","1,567.0","5,296.0","4,631.0","13,415.0","23,035.0","31,746.0","36,378.0","30,893.0","30,463.0","30,656.0","20,341.0","16,949.0","19,060.0","18,918.0","14,545.0","15,058.0","20,662.0","29,150.0","35,594.0","46,123.0","54,578.0","73,973.0","88,252.0","95,028.0","100,697.0","66,320.0","74,261.0","82,857.0","146,497.0","140,250.0","150,968.0","193,822.0","158,838.0","185,911.0","196,987.0"
"49","25","Equals: Consumption of fixed capital, NIPAs","B1617C1","10,432.0","11,465.0","12,604.0","13,746.0","15,233.0","17,398.0","19,697.0","21,009.0","22,995.0","25,912.0","29,821.0","34,247.0","39,563.0","44,316.0","46,057.0","48,417.0","52,064.0","56,203.0","60,452.0","65,473.0","70,010.0","72,970.0","74,612.0","75,140.0","77,189.0","80,202.0","84,347.0","87,653.0","91,706.0","97,322.0","105,115.0","115,259.0","124,326.0","131,446.0","138,587.0","148,156.0","162,016.0","176,672.0","188,236.0","196,906.0","196,727.0","195,872.0","205,877.0","212,117.0","220,091.0","229,126.0"
"50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","1. Consists of intangible assets that the IRS allows to be amortized.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","2. Consists of depreciation or amortization of the following items: Breeding, dairy, and work animals;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","rental videocassettes; and rental clothing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","3. Consists of depreciation of software, research and development, and entertainment, literary, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","artistic originals.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","4. Consists of depreciation of employees' motor vehicles reimbursed by business and depreciation of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","business motor vehicles charged to current expense.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","5. Beginning with 1981, included in IRS depreciation (line 1).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","6. Consists of depreciation of assets owned by Federal Reserve banks, federally sponsored credit agencies,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","credit unions, and nonprofit institutions serving business; depreciation of interest paid by public",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","utilities for own-account investment prior to 1987 (beginning with 1987, included in line 1); and capitalization",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","of residential real estate disposal costs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","7. Consists of depreciation or amortization of rental videocassettes and rental clothing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","8. Consists of capitalization of residential real estate disposal costs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","IRS Internal Revenue Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
