"","Table 2#6# Personal Income and Its Disposition, Monthly","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135"
"26","7","      Employer contributions for employee pension and insurance funds \1\","B040RC1","18,457.0","18,444.0","18,482.0","18,468.0","18,457.0","18,554.0","18,573.0","18,606.0","18,709.0","18,763.0","18,845.0","18,985.0","19,144.0","19,280.0","19,402.0","19,515.0","19,602.0","19,735.0","19,817.0","19,906.0","20,010.0","20,079.0","20,168.0","20,297.0","20,392.0","20,499.0","20,605.0","20,666.0","20,768.0","20,880.0","20,989.0","21,101.0","21,236.0","21,333.0","21,439.0","21,605.0","21,748.0","21,889.0","21,993.0","22,108.0","22,206.0","22,338.0","22,418.0","22,558.0","22,647.0","22,749.0","22,832.0","22,980.0","23,108.0","23,239.0","23,359.0","23,489.0","23,624.0","23,773.0","23,942.0","24,113.0","24,295.0","24,486.0","24,710.0","24,929.0","25,103.0","25,369.0","25,568.0","25,812.0","26,082.0","26,282.0","26,497.0","26,746.0","26,987.0","27,212.0","27,437.0","27,725.0","27,933.0","28,218.0","28,484.0","28,706.0","28,991.0","29,285.0","29,612.0","29,909.0","30,230.0","30,530.0","30,844.0","31,210.0","31,526.0","31,853.0","32,174.0","32,482.0","32,773.0","33,066.0","33,354.0","33,586.0","33,829.0","34,053.0","34,297.0","34,429.0","34,537.0","34,724.0","34,909.0","35,111.0","35,400.0","35,638.0","35,982.0","36,255.0","36,599.0","36,889.0","37,298.0","37,639.0","38,068.0","38,531.0","38,900.0","39,233.0","39,618.0","40,021.0","40,332.0","40,749.0","41,142.0","41,461.0","41,852.0","42,242.0","42,669.0","43,081.0","43,461.0","43,938.0","44,358.0","44,732.0","45,201.0","45,584.0","45,973.0","46,323.0","46,730.0","47,090.0"
"27","8","      Employer contributions for government social insurance","B039RC1","7,716.0","7,740.0","7,800.0","7,836.0","7,872.0","7,956.0","7,980.0","7,836.0","7,812.0","7,824.0","7,872.0","8,016.0","9,240.0","9,252.0","9,264.0","9,252.0","9,252.0","9,288.0","9,300.0","9,264.0","9,276.0","9,276.0","9,204.0","9,132.0","9,456.0","9,468.0","9,432.0","9,540.0","9,540.0","9,588.0","9,636.0","9,660.0","9,636.0","9,720.0","9,816.0","9,828.0","10,980.0","11,004.0","11,148.0","11,160.0","11,172.0","11,196.0","11,208.0","11,196.0","11,280.0","11,244.0","11,280.0","11,316.0","12,180.0","12,180.0","12,252.0","12,276.0","12,300.0","12,420.0","12,420.0","12,432.0","12,516.0","12,588.0","12,588.0","12,708.0","12,336.0","12,468.0","12,480.0","12,552.0","12,588.0","12,576.0","12,636.0","12,732.0","12,756.0","12,696.0","12,840.0","12,924.0","12,756.0","12,804.0","12,852.0","12,912.0","13,008.0","13,008.0","13,068.0","13,164.0","13,248.0","13,356.0","13,416.0","13,524.0","16,368.0","16,476.0","16,572.0","16,668.0","16,704.0","16,848.0","16,956.0","17,004.0","17,040.0","17,124.0","17,172.0","17,220.0","17,544.0","17,520.0","17,604.0","17,712.0","17,760.0","17,904.0","18,012.0","18,192.0","18,264.0","18,348.0","18,564.0","18,804.0","19,260.0","19,464.0","19,596.0","19,620.0","19,812.0","19,872.0","20,040.0","20,112.0","20,220.0","20,292.0","20,496.0","20,616.0","21,960.0","22,056.0","22,248.0","22,368.0","22,500.0","22,668.0","22,884.0","23,016.0","23,148.0","23,316.0","23,412.0","23,472.0"
"28","9","  Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1","50,052.0","50,002.0","50,193.0","50,173.0","50,313.0","50,533.0","50,486.0","50,132.0","50,447.0","50,422.0","50,670.0","50,726.0","50,007.0","49,707.0","49,528.0","50,509.0","50,829.0","50,806.0","50,919.0","50,854.0","50,840.0","51,074.0","51,001.0","50,985.0","52,137.0","52,268.0","52,576.0","52,266.0","52,608.0","53,065.0","53,131.0","53,331.0","53,513.0","54,123.0","54,558.0","54,801.0","55,113.0","55,344.0","55,517.0","55,238.0","55,061.0","54,598.0","54,733.0","54,831.0","55,099.0","55,333.0","55,865.0","56,084.0","56,160.0","55,928.0","55,834.0","55,819.0","55,749.0","55,832.0","55,926.0","56,169.0","56,591.0","57,403.0","57,504.0","57,860.0","57,722.0","57,883.0","58,140.0","58,715.0","58,842.0","58,908.0","58,946.0","59,235.0","59,677.0","59,864.0","60,453.0","61,193.0","61,453.0","61,851.0","62,536.0","62,785.0","63,201.0","63,545.0","63,923.0","63,826.0","64,149.0","64,697.0","65,579.0","66,400.0","68,553.0","69,225.0","69,900.0","67,648.0","66,947.0","67,017.0","66,925.0","67,150.0","67,410.0","67,685.0","68,246.0","68,502.0","69,111.0","68,769.0","68,823.0","68,058.0","68,480.0","68,953.0","70,145.0","70,589.0","70,842.0","69,886.0","69,865.0","70,167.0","70,962.0","71,602.0","72,478.0","72,573.0","73,249.0","73,709.0","74,490.0","74,977.0","75,385.0","75,478.0","75,427.0","75,614.0","75,223.0","75,746.0","75,922.0","76,666.0","77,210.0","77,458.0","77,594.0","78,206.0","78,102.0","77,492.0","77,116.0","77,330.0"
"29","10","    Farm","B042RC1","11,147.0","10,872.0","10,589.0","10,057.0","9,864.0","9,661.0","9,427.0","9,282.0","9,371.0","9,918.0","10,126.0","10,208.0","9,631.0","9,590.0","9,708.0","10,365.0","10,653.0","10,836.0","10,918.0","11,008.0","11,101.0","11,232.0","11,318.0","11,428.0","11,583.0","11,553.0","11,508.0","10,900.0","10,860.0","10,850.0","10,998.0","11,029.0","11,105.0","11,406.0","11,529.0","11,661.0","11,871.0","11,919.0","11,793.0","11,338.0","11,050.0","10,849.0","10,633.0","10,628.0","10,743.0","11,108.0","11,303.0","11,380.0","11,523.0","11,412.0","11,274.0","10,919.0","10,816.0","10,752.0","10,633.0","10,649.0","10,756.0","11,208.0","11,176.0","10,997.0","10,141.0","9,846.0","9,633.0","9,608.0","9,527.0","9,408.0","9,175.0","9,252.0","9,458.0","10,104.0","10,441.0","10,772.0","11,211.0","11,470.0","11,613.0","11,742.0","11,959.0","12,185.0","12,146.0","12,186.0","12,290.0","12,131.0","12,460.0","12,964.0","14,761.0","14,998.0","14,812.0","13,032.0","12,633.0","12,360.0","12,436.0","12,256.0","12,220.0","12,183.0","12,282.0","12,249.0","12,211.0","11,905.0","11,665.0","11,096.0","11,099.0","11,237.0","11,876.0","12,001.0","12,000.0","11,632.0","11,486.0","11,486.0","11,603.0","11,628.0","11,584.0","11,244.0","11,210.0","11,257.0","11,622.0","11,798.0","11,938.0","12,029.0","12,017.0","11,954.0","11,452.0","11,512.0","11,731.0","12,300.0","12,576.0","12,771.0","12,882.0","13,151.0","13,393.0","13,971.0","14,152.0","14,111.0"
"30","11","    Nonfarm","A045RC1","38,905.0","39,130.0","39,604.0","40,116.0","40,448.0","40,872.0","41,059.0","40,850.0","41,076.0","40,504.0","40,545.0","40,518.0","40,377.0","40,116.0","39,821.0","40,143.0","40,176.0","39,971.0","40,001.0","39,846.0","39,739.0","39,842.0","39,683.0","39,557.0","40,554.0","40,714.0","41,068.0","41,366.0","41,747.0","42,215.0","42,132.0","42,303.0","42,408.0","42,718.0","43,029.0","43,139.0","43,242.0","43,424.0","43,724.0","43,900.0","44,012.0","43,749.0","44,100.0","44,202.0","44,356.0","44,224.0","44,562.0","44,703.0","44,636.0","44,516.0","44,560.0","44,900.0","44,933.0","45,080.0","45,293.0","45,521.0","45,835.0","46,195.0","46,328.0","46,863.0","47,581.0","48,038.0","48,507.0","49,107.0","49,315.0","49,500.0","49,771.0","49,982.0","50,219.0","49,760.0","50,012.0","50,422.0","50,243.0","50,382.0","50,923.0","51,043.0","51,242.0","51,360.0","51,778.0","51,640.0","51,860.0","52,567.0","53,120.0","53,437.0","53,792.0","54,227.0","55,087.0","54,616.0","54,314.0","54,656.0","54,489.0","54,894.0","55,190.0","55,502.0","55,964.0","56,253.0","56,900.0","56,863.0","57,158.0","56,962.0","57,381.0","57,716.0","58,269.0","58,588.0","58,842.0","58,253.0","58,379.0","58,681.0","59,359.0","59,974.0","60,894.0","61,329.0","62,039.0","62,451.0","62,868.0","63,179.0","63,447.0","63,448.0","63,410.0","63,660.0","63,771.0","64,233.0","64,191.0","64,366.0","64,634.0","64,687.0","64,713.0","65,055.0","64,708.0","63,521.0","62,963.0","63,219.0"
"31","12","  Rental income of persons with capital consumption adjustment","A048RC1","14,969.0","14,970.0","14,971.0","15,430.0","15,432.0","15,433.0","15,784.0","15,784.0","15,783.0","16,045.0","16,043.0","16,040.0","16,230.0","16,226.0","16,224.0","16,381.0","16,379.0","16,377.0","16,544.0","16,542.0","16,541.0","16,704.0","16,703.0","16,702.0","16,919.0","16,918.0","16,917.0","17,085.0","17,084.0","17,083.0","17,286.0","17,286.0","17,285.0","17,511.0","17,511.0","17,512.0","17,739.0","17,739.0","17,739.0","17,951.0","17,950.0","17,949.0","18,151.0","18,150.0","18,148.0","18,345.0","18,343.0","18,340.0","18,545.0","18,542.0","18,539.0","18,689.0","18,687.0","18,685.0","18,843.0","18,842.0","18,841.0","18,837.0","18,836.0","18,836.0","18,839.0","18,840.0","18,840.0","18,778.0","18,779.0","18,779.0","18,863.0","18,863.0","18,863.0","18,840.0","18,840.0","18,841.0","19,083.0","19,083.0","19,083.0","19,272.0","19,272.0","19,272.0","19,504.0","19,504.0","19,504.0","19,493.0","19,492.0","19,492.0","19,834.0","19,834.0","19,835.0","19,755.0","19,757.0","19,759.0","20,018.0","20,021.0","20,024.0","20,025.0","20,029.0","20,033.0","20,250.0","20,255.0","20,260.0","20,368.0","20,373.0","20,377.0","20,425.0","20,429.0","20,434.0","20,323.0","20,327.0","20,331.0","20,089.0","20,091.0","20,092.0","20,087.0","20,087.0","20,086.0","20,229.0","20,226.0","20,223.0","20,045.0","20,040.0","20,033.0","20,251.0","20,245.0","20,243.0","20,310.0","20,313.0","20,318.0","20,464.0","20,473.0","20,483.0","20,448.0","20,464.0","20,482.0"
"32","13","  Personal income receipts on assets","W210RC1","38,394.0","38,805.0","39,086.0","39,554.0","39,932.0","40,382.0","40,712.0","41,210.0","41,564.0","41,997.0","42,343.0","42,947.0","43,450.0","43,659.0","43,810.0","43,748.0","43,943.0","44,105.0","44,399.0","44,635.0","44,884.0","45,060.0","45,208.0","45,122.0","45,341.0","45,558.0","45,818.0","46,060.0","46,413.0","46,808.0","47,125.0","47,486.0","48,023.0","48,692.0","49,033.0","49,461.0","48,917.0","49,382.0","49,771.0","50,637.0","51,061.0","51,579.0","51,965.0","52,509.0","52,935.0","53,204.0","53,340.0","54,133.0","53,887.0","54,094.0","54,152.0","54,569.0","55,159.0","55,760.0","56,219.0","56,500.0","56,967.0","57,516.0","58,102.0","59,028.0","59,440.0","60,049.0","60,573.0","61,045.0","61,765.0","62,369.0","62,959.0","63,245.0","63,775.0","64,145.0","64,663.0","65,439.0","65,679.0","66,139.0","66,601.0","67,252.0","67,892.0","68,852.0","69,230.0","69,671.0","70,257.0","70,552.0","71,049.0","71,682.0","72,165.0","72,558.0","72,839.0","73,258.0","73,603.0","74,039.0","74,152.0","74,612.0","75,266.0","75,936.0","76,451.0","75,043.0","77,263.0","77,913.0","78,584.0","79,023.0","79,477.0","79,681.0","80,216.0","80,791.0","81,097.0","81,656.0","82,044.0","80,288.0","83,139.0","83,825.0","84,690.0","85,818.0","86,601.0","87,187.0","87,703.0","88,363.0","89,028.0","89,605.0","90,507.0","91,131.0","92,599.0","93,634.0","94,815.0","95,700.0","96,763.0","98,301.0","99,067.0","100,221.0","101,440.0","102,584.0","103,798.0","105,314.0"
"33","14","    Personal interest income","A064RC1","26,550.0","26,649.0","26,834.0","27,206.0","27,488.0","27,782.0","28,076.0","28,394.0","28,724.0","29,097.0","29,455.0","29,831.0","30,274.0","30,483.0","30,646.0","30,560.0","30,683.0","30,809.0","30,959.0","31,099.0","31,252.0","31,464.0","31,624.0","31,778.0","31,817.0","31,998.0","32,210.0","32,524.0","32,781.0","33,056.0","33,325.0","33,614.0","33,899.0","34,376.0","34,609.0","34,797.0","34,541.0","34,766.0","35,071.0","35,709.0","36,097.0","36,495.0","36,941.0","37,305.0","37,623.0","38,000.0","38,208.0","38,353.0","38,131.0","38,266.0","38,456.0","38,765.0","39,055.0","39,392.0","39,839.0","40,228.0","40,623.0","41,064.0","41,458.0","41,844.0","42,184.0","42,565.0","42,945.0","43,321.0","43,705.0","44,093.0","44,551.0","44,921.0","45,271.0","45,521.0","45,859.0","46,203.0","46,563.0","46,927.0","47,305.0","47,740.0","48,116.0","48,476.0","48,866.0","49,187.0","49,485.0","49,564.0","49,893.0","50,274.0","50,793.0","51,246.0","51,719.0","52,270.0","52,759.0","53,243.0","53,644.0","54,140.0","54,650.0","55,356.0","55,823.0","56,239.0","56,527.0","56,865.0","57,176.0","57,411.0","57,709.0","58,021.0","58,244.0","58,615.0","59,029.0","59,660.0","60,108.0","60,548.0","60,783.0","61,265.0","61,794.0","62,646.0","63,177.0","63,667.0","63,859.0","64,375.0","64,956.0","65,377.0","66,171.0","67,107.0","68,659.0","69,718.0","70,779.0","71,736.0","72,799.0","73,857.0","74,899.0","75,969.0","77,056.0","78,128.0","79,282.0","80,486.0"
"34","15","    Personal dividend income","B703RC1","11,844.0","12,156.0","12,252.0","12,348.0","12,444.0","12,600.0","12,636.0","12,816.0","12,840.0","12,900.0","12,888.0","13,116.0","13,176.0","13,176.0","13,164.0","13,188.0","13,260.0","13,296.0","13,440.0","13,536.0","13,632.0","13,596.0","13,584.0","13,344.0","13,524.0","13,560.0","13,608.0","13,536.0","13,632.0","13,752.0","13,800.0","13,872.0","14,124.0","14,316.0","14,424.0","14,664.0","14,376.0","14,616.0","14,700.0","14,928.0","14,964.0","15,084.0","15,024.0","15,204.0","15,312.0","15,204.0","15,132.0","15,780.0","15,756.0","15,828.0","15,696.0","15,804.0","16,104.0","16,368.0","16,380.0","16,272.0","16,344.0","16,452.0","16,644.0","17,184.0","17,256.0","17,484.0","17,628.0","17,724.0","18,060.0","18,276.0","18,408.0","18,324.0","18,504.0","18,624.0","18,804.0","19,236.0","19,116.0","19,212.0","19,296.0","19,512.0","19,776.0","20,376.0","20,364.0","20,484.0","20,772.0","20,988.0","21,156.0","21,408.0","21,372.0","21,312.0","21,120.0","20,988.0","20,844.0","20,796.0","20,508.0","20,472.0","20,616.0","20,580.0","20,628.0","18,804.0","20,736.0","21,048.0","21,408.0","21,612.0","21,768.0","21,660.0","21,972.0","22,176.0","22,068.0","21,996.0","21,936.0","19,740.0","22,356.0","22,560.0","22,896.0","23,172.0","23,424.0","23,520.0","23,844.0","23,988.0","24,072.0","24,228.0","24,336.0","24,024.0","23,940.0","23,916.0","24,036.0","23,964.0","23,964.0","24,444.0","24,168.0","24,252.0","24,384.0","24,456.0","24,516.0","24,828.0"
"35","16","  Personal current transfer receipts","A577RC1","23,904.0","24,144.0","23,976.0","23,976.0","23,820.0","24,000.0","24,108.0","24,036.0","24,408.0","24,528.0","25,068.0","24,900.0","24,396.0","24,540.0","24,972.0","25,080.0","25,152.0","25,596.0","25,644.0","26,016.0","26,460.0","26,508.0","27,060.0","27,456.0","27,816.0","29,448.0","29,232.0","28,752.0","29,724.0","30,588.0","30,936.0","29,460.0","29,220.0","29,172.0","29,328.0","29,724.0","29,928.0","29,856.0","30,216.0","29,904.0","29,976.0","30,096.0","30,276.0","30,576.0","30,420.0","31,428.0","31,068.0","30,960.0","35,064.0","31,380.0","31,500.0","31,548.0","31,752.0","31,764.0","31,836.0","31,956.0","32,088.0","32,340.0","32,316.0","32,964.0","34,932.0","32,796.0","32,976.0","33,168.0","33,228.0","33,228.0","33,468.0","33,444.0","33,600.0","33,588.0","33,540.0","34,080.0","36,648.0","34,152.0","34,296.0","34,728.0","34,512.0","34,680.0","34,920.0","34,476.0","45,024.0","36,432.0","36,984.0","37,284.0","37,596.0","37,860.0","38,076.0","37,896.0","37,992.0","37,752.0","37,728.0","39,384.0","41,688.0","41,856.0","43,452.0","44,124.0","44,904.0","45,852.0","47,496.0","46,860.0","47,232.0","47,580.0","48,360.0","48,972.0","48,780.0","49,608.0","50,124.0","50,400.0","51,264.0","51,504.0","54,504.0","55,884.0","55,776.0","56,088.0","56,592.0","57,660.0","57,768.0","58,296.0","58,716.0","59,076.0","59,820.0","60,636.0","60,876.0","61,212.0","61,608.0","61,788.0","62,424.0","62,952.0","63,312.0","63,924.0","64,212.0","64,884.0"
"36","17","    Government social benefits to persons","A063RC1","22,656.0","22,860.0","22,692.0","22,668.0","22,500.0","22,668.0","22,776.0","22,692.0","23,064.0","23,172.0","23,712.0","23,544.0","23,052.0","23,208.0","23,652.0","23,760.0","23,856.0","24,288.0","24,348.0","24,720.0","25,152.0","25,200.0","25,752.0","26,148.0","26,496.0","28,128.0","27,912.0","27,432.0","28,380.0","29,232.0","29,592.0","28,092.0","27,828.0","27,768.0","27,924.0","28,284.0","28,464.0","28,380.0","28,716.0","28,380.0","28,440.0","28,560.0","28,716.0","29,004.0","28,836.0","29,832.0","29,448.0","29,340.0","33,276.0","29,592.0","29,688.0","29,724.0","29,916.0","29,916.0","29,976.0","30,072.0","30,180.0","30,420.0","30,360.0","30,972.0","32,904.0","30,720.0","30,864.0","31,032.0","31,044.0","31,032.0","31,248.0","31,200.0","31,344.0","31,332.0","31,272.0","31,812.0","34,308.0","31,824.0","31,968.0","32,412.0","32,220.0","32,388.0","32,652.0","32,232.0","42,804.0","34,224.0","34,788.0","35,136.0","35,424.0","35,712.0","35,940.0","35,772.0","35,892.0","35,652.0","35,640.0","37,296.0","39,600.0","39,756.0","41,352.0","42,012.0","42,768.0","43,692.0","45,324.0","44,664.0","45,012.0","45,348.0","46,092.0","46,680.0","46,452.0","47,244.0","47,748.0","48,000.0","48,828.0","48,996.0","51,936.0","53,244.0","53,064.0","53,280.0","53,760.0","54,768.0","54,828.0","55,308.0","55,680.0","55,980.0","56,604.0","57,372.0","57,576.0","57,888.0","58,248.0","58,404.0","59,064.0","59,568.0","59,952.0","60,564.0","60,876.0","61,560.0"
"37","18","      Social security \2\","W823RC1","9,456.0","9,792.0","9,864.0","9,888.0","10,068.0","10,128.0","10,248.0","10,356.0","10,428.0","10,572.0","10,620.0","10,680.0","10,680.0","10,728.0","10,872.0","10,908.0","10,968.0","11,124.0","11,196.0","11,244.0","11,316.0","11,352.0","11,496.0","11,676.0","11,820.0","11,976.0","12,060.0","12,264.0","12,288.0","12,456.0","12,492.0","12,804.0","13,092.0","13,176.0","13,452.0","13,488.0","13,668.0","13,776.0","13,860.0","14,052.0","14,172.0","14,184.0","14,376.0","14,568.0","14,472.0","14,880.0","14,808.0","14,760.0","14,880.0","14,892.0","14,964.0","15,036.0","15,204.0","15,264.0","15,360.0","15,396.0","15,420.0","15,504.0","15,432.0","15,588.0","15,648.0","15,696.0","15,840.0","15,888.0","15,900.0","15,948.0","16,080.0","16,152.0","16,248.0","16,176.0","16,224.0","16,416.0","16,452.0","16,488.0","16,536.0","16,596.0","16,644.0","16,800.0","16,824.0","16,716.0","26,904.0","18,696.0","19,044.0","19,104.0","19,164.0","19,380.0","19,344.0","19,452.0","19,932.0","19,824.0","19,800.0","19,884.0","20,052.0","19,896.0","20,244.0","20,460.0","20,628.0","20,580.0","20,796.0","21,000.0","21,096.0","21,072.0","21,420.0","21,228.0","21,168.0","21,456.0","21,516.0","21,504.0","21,504.0","21,672.0","24,408.0","24,720.0","24,912.0","24,876.0","25,176.0","25,368.0","25,584.0","25,524.0","25,740.0","25,692.0","25,848.0","25,992.0","26,028.0","26,136.0","26,172.0","26,532.0","26,460.0","26,556.0","26,628.0","26,700.0","26,688.0","26,844.0"
"38","19","      Medicare \3\","W824RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","60.0","1,260.0","2,196.0","2,568.0","2,844.0","3,168.0","3,480.0","3,804.0","4,092.0","4,308.0","4,536.0","4,740.0","4,920.0","5,076.0","5,208.0","5,316.0","5,412.0","5,496.0","5,544.0","5,604.0","5,676.0","5,712.0","5,784.0","5,844.0","5,904.0","5,976.0","6,048.0","6,120.0","6,192.0","6,276.0","6,348.0","6,432.0","6,504.0","6,564.0","6,636.0","6,696.0","6,744.0","6,804.0","6,852.0","6,876.0","6,924.0","6,960.0"
"39","20","      Medicaid","W729RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,500.0","1,536.0","1,620.0","1,536.0","2,040.0","2,028.0","1,776.0","1,968.0","1,908.0","1,920.0","2,412.0","2,328.0","2,088.0","2,076.0","2,496.0","2,520.0","2,520.0","2,604.0","2,640.0","3,120.0","2,988.0","3,156.0","3,228.0","3,204.0","3,624.0","3,384.0","3,684.0","4,296.0","3,852.0","4,044.0","3,936.0","4,104.0","4,128.0","4,284.0","4,344.0","4,284.0","4,428.0","4,476.0","4,416.0","4,320.0","4,440.0","4,416.0","4,536.0","4,560.0","4,656.0","4,644.0","4,764.0","4,956.0"
"40","21","      Unemployment insurance","W825RC1","3,443.0","3,141.0","2,932.0","2,808.0","2,600.0","2,704.0","2,582.0","2,582.0","2,684.0","2,680.0","3,195.0","2,885.0","2,499.0","2,499.0","2,706.0","2,756.0","2,756.0","2,960.0","2,997.0","3,101.0","3,514.0","3,513.0","3,720.0","3,927.0","3,997.0","4,202.0","4,305.0","4,730.0","5,552.0","5,450.0","4,717.0","4,512.0","4,103.0","3,920.0","3,714.0","3,610.0","3,576.0","3,474.0","3,474.0","3,260.0","3,056.0","3,056.0","3,005.0","3,005.0","3,110.0","3,090.0","3,090.0","2,988.0","3,211.0","3,211.0","3,106.0","3,088.0","3,088.0","3,088.0","2,980.0","2,980.0","2,980.0","3,000.0","3,000.0","3,000.0","2,923.0","2,923.0","2,818.0","2,888.0","2,991.0","2,785.0","2,781.0","2,678.0","2,677.0","2,685.0","2,582.0","2,581.0","2,488.0","2,488.0","2,488.0","2,497.0","2,393.0","2,394.0","2,340.0","2,340.0","2,340.0","2,273.0","2,170.0","2,169.0","2,022.0","2,123.0","2,023.0","1,853.0","1,750.0","1,749.0","1,848.0","2,053.0","1,847.0","1,727.0","1,930.0","2,031.0","2,023.0","2,124.0","2,225.0","2,348.0","2,348.0","2,348.0","2,356.0","2,356.0","2,152.0","2,188.0","2,188.0","2,188.0","2,276.0","2,276.0","2,276.0","2,144.0","2,144.0","2,144.0","2,158.0","2,158.0","2,260.0","2,216.0","2,216.0","2,216.0","2,284.0","2,284.0","2,284.0","2,292.0","2,188.0","2,084.0","2,297.0","2,402.0","2,297.0","2,400.0","2,504.0","2,608.0"
"41","22","      Veterans' benefits","W826RC1","4,567.0","4,629.0","4,568.0","4,552.0","4,516.0","4,540.0","4,513.0","4,379.0","4,452.0","4,372.0","4,360.0","4,456.0","4,327.0","4,424.0","4,437.0","4,436.0","4,460.0","4,484.0","4,361.0","4,545.0","4,558.0","4,538.0","4,649.0","4,637.0","4,659.0","5,950.0","5,447.0","4,311.0","4,397.0","5,188.0","6,197.0","4,414.0","4,317.0","4,280.0","4,317.0","4,759.0","4,600.0","4,600.0","4,552.0","4,492.0","4,504.0","4,540.0","4,532.0","4,544.0","4,424.0","4,909.0","4,620.0","4,559.0","8,164.0","4,390.0","4,390.0","4,404.0","4,392.0","4,380.0","4,404.0","4,440.0","4,392.0","4,452.0","4,380.0","4,812.0","6,696.0","4,440.0","4,476.0","4,452.0","4,416.0","4,428.0","4,464.0","4,440.0","4,440.0","4,440.0","4,380.0","4,512.0","7,136.0","4,556.0","4,532.0","4,753.0","4,584.0","4,475.0","4,825.0","4,523.0","4,680.0","4,620.0","4,620.0","4,884.0","5,112.0","4,980.0","5,100.0","5,116.0","4,187.0","3,993.0","4,102.0","3,933.0","5,225.0","5,219.0","5,460.0","5,437.0","5,693.0","6,200.0","6,683.0","5,353.0","5,232.0","5,231.0","5,389.0","5,268.0","5,219.0","5,243.0","5,436.0","5,617.0","5,760.0","5,856.0","5,748.0","5,736.0","5,833.0","5,687.0","5,747.0","5,941.0","5,892.0","6,024.0","5,988.0","6,012.0","6,114.0","6,405.0","6,357.0","6,564.0","6,722.0","6,454.0","6,579.0","6,712.0","6,725.0","6,900.0","6,839.0","6,973.0"
"42","23","      Other","W827RC1","5,190.0","5,298.0","5,328.0","5,420.0","5,316.0","5,296.0","5,433.0","5,375.0","5,500.0","5,548.0","5,537.0","5,523.0","5,546.0","5,557.0","5,637.0","5,660.0","5,672.0","5,720.0","5,794.0","5,830.0","5,764.0","5,797.0","5,887.0","5,908.0","6,020.0","6,000.0","6,100.0","6,127.0","6,143.0","6,138.0","6,186.0","6,362.0","6,316.0","6,392.0","6,441.0","6,427.0","6,620.0","6,530.0","6,830.0","6,576.0","6,708.0","6,780.0","6,803.0","6,887.0","6,830.0","6,953.0","6,930.0","7,033.0","7,021.0","7,099.0","7,228.0","7,196.0","7,232.0","7,184.0","7,232.0","7,256.0","7,388.0","7,464.0","7,548.0","7,572.0","7,637.0","7,661.0","7,730.0","7,804.0","7,737.0","7,871.0","7,923.0","7,930.0","7,979.0","8,031.0","8,086.0","8,303.0","8,232.0","8,292.0","8,412.0","8,566.0","8,599.0","8,719.0","8,663.0","8,653.0","8,880.0","8,635.0","8,954.0","8,979.0","7,626.0","7,693.0","7,853.0","7,815.0","7,983.0","8,058.0","8,054.0","8,198.0","8,372.0","8,426.0","8,462.0","8,588.0","8,856.0","8,908.0","9,032.0","9,135.0","9,280.0","9,353.0","9,367.0","9,632.0","9,717.0","9,885.0","9,968.0","9,991.0","10,120.0","10,204.0","10,144.0","10,636.0","10,539.0","10,685.0","10,839.0","11,221.0","10,916.0","11,140.0","11,200.0","11,500.0","11,582.0","11,783.0","11,987.0","12,012.0","12,090.0","12,222.0","12,448.0","12,534.0","12,794.0","13,044.0","13,157.0","13,219.0"
