"","Table 4#1# Foreign Transactions in the National Income and Produ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"36","18","Imports of goods and services","B021RC1","5,556.0","4,121.0","2,905.0","1,932.0","1,929.0","2,239.0","2,982.0","3,154.0","3,961.0","2,845.0","3,136.0","3,426.0","4,449.0","4,627.0","6,280.0","6,904.0","7,547.0","6,974.0","7,933.0","10,060.0","9,249.0","11,612.0","14,586.0","15,295.0","16,014.0","15,432.0","17,199.0","18,923.0","19,942.0","20,022.0","22,329.0","22,841.0","22,688.0","24,965.0","26,135.0","28,105.0","31,529.0","37,057.0","39,912.0","46,556.0","50,491.0"
"37","19","  Goods \1\","A255RC1","4,463.0","3,104.0","2,120.0","1,343.0","1,510.0","1,763.0","2,462.0","2,546.0","3,181.0","2,173.0","2,409.0","2,698.0","3,416.0","2,744.0","3,442.0","3,813.0","3,893.0","5,067.0","5,973.0","7,557.0","6,874.0","9,081.0","11,176.0","10,838.0","10,975.0","10,353.0","11,527.0","12,803.0","13,291.0","12,951.0","15,311.0","15,220.0","15,053.0","16,869.0","17,713.0","19,392.0","22,247.0","26,334.0","27,761.0","33,946.0","36,813.0"
"38","20","    Durable","A333RC1","1,250.0","823.0","466.0","242.0","335.0","434.0","650.0","703.0","957.0","602.0","728.0","998.0","1,360.0","969.0","978.0","1,068.0","1,152.0","1,467.0","1,816.0","2,384.0","2,119.0","2,989.0","3,818.0","4,109.0","4,115.0","3,625.0","4,467.0","5,172.0","5,286.0","4,965.0","6,628.0","6,366.0","6,042.0","6,946.0","7,394.0","8,402.0","10,414.0","13,277.0","14,546.0","18,826.0","20,757.0"
"39","21","    Nondurable","A340RC1","3,213.0","2,281.0","1,654.0","1,101.0","1,175.0","1,329.0","1,812.0","1,843.0","2,224.0","1,571.0","1,681.0","1,700.0","2,056.0","1,775.0","2,464.0","2,745.0","2,741.0","3,600.0","4,157.0","5,173.0","4,755.0","6,092.0","7,358.0","6,729.0","6,860.0","6,728.0","7,060.0","7,631.0","8,005.0","7,986.0","8,683.0","8,854.0","9,011.0","9,923.0","10,319.0","10,990.0","11,833.0","13,057.0","13,215.0","15,120.0","16,056.0"
"40","22","  Services \1\","B656RC1","1,093.0","1,017.0","785.0","589.0","419.0","476.0","520.0","608.0","780.0","672.0","727.0","728.0","1,033.0","1,883.0","2,838.0","3,091.0","3,654.0","1,907.0","1,960.0","2,503.0","2,375.0","2,531.0","3,410.0","4,457.0","5,039.0","5,079.0","5,672.0","6,120.0","6,651.0","7,071.0","7,018.0","7,621.0","7,635.0","8,096.0","8,422.0","8,713.0","9,282.0","10,723.0","12,151.0","12,610.0","13,678.0"
"41","23","Income payments","A655RC1","374.0","332.0","252.0","164.0","138.0","159.0","181.0","308.0","359.0","261.0","310.0","330.0","315.0","297.0","368.0","434.0","491.0","440.0","487.0","575.0","664.0","746.0","864.0","872.0","944.0","944.0","1,058.0","1,137.0","1,213.0","1,241.0","1,508.0","1,775.0","1,788.0","1,847.0","2,053.0","2,319.0","2,602.0","3,001.0","3,289.0","4,017.0","5,664.0"
"42","24","  Wage and salary payments","B4189C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","24.0","55.0","40.0","109.0","128.0","135.0","190.0","205.0","220.0","219.0","218.0","234.0","314.0","311.0","268.0","241.0","241.0","191.0","181.0","183.0","211.0","215.0"
"43","25","  Income payments on assets","W161RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","551.0","609.0","706.0","755.0","744.0","809.0","754.0","853.0","917.0","994.0","1,023.0","1,274.0","1,461.0","1,477.0","1,576.0","1,812.0","2,078.0","2,409.0","2,820.0","3,106.0","3,805.0","5,451.0"
"44","26","    Interest","B1869C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","160.0","180.0","208.0","250.0","287.0","319.0","274.0","317.0","382.0","456.0","468.0","610.0","808.0","748.0","854.0","1,008.0","1,168.0","1,333.0","1,692.0","1,891.0","2,445.0","3,999.0"
"45","27","    Dividends","B3376C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","235.0","286.0","308.0","336.0","323.0","327.0","318.0","349.0","368.0","381.0","399.0","431.0","477.0","489.0","507.0","566.0","581.0","715.0","783.0","768.0","865.0","1,013.0"
"46","28","    Reinvested earnings on foreign direct investment in the United States","B3476C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","156.0","143.0","190.0","169.0","134.0","163.0","162.0","187.0","167.0","157.0","156.0","233.0","176.0","240.0","215.0","238.0","329.0","361.0","345.0","447.0","495.0","439.0"
"47","29","Current taxes and transfer payments to the rest of the world \2\","A123RC1","377.0","342.0","319.0","238.0","208.0","171.0","181.0","207.0","233.0","180.0","176.0","208.0","163.0","212.0","194.0","267.0","822.0","2,917.0","2,628.0","4,526.0","5,636.0","4,021.0","3,528.0","2,559.0","2,519.0","2,329.0","2,555.0","2,475.0","2,413.0","2,364.0","4,430.0","4,145.0","4,219.0","4,395.0","4,469.0","4,367.0","4,739.0","5,124.0","5,465.0","5,902.0","5,942.0"
"48","30","  From persons","LA0000021","343.0","306.0","279.0","217.0","191.0","162.0","162.0","176.0","175.0","153.0","151.0","178.0","179.0","123.0","249.0","357.0","473.0","661.0","663.0","678.0","506.0","438.0","389.0","412.0","474.0","477.0","421.0","504.0","505.0","435.0","472.0","479.0","501.0","554.0","656.0","711.0","798.0","784.0","1,023.0","999.0","1,115.0"
"49","31","  From government","B088RC1","34.0","36.0","40.0","21.0","17.0","9.0","19.0","31.0","58.0","27.0","25.0","30.0","-16.0","89.0","-55.0","-90.0","349.0","2,256.0","1,965.0","3,848.0","5,130.0","3,583.0","3,139.0","2,147.0","2,045.0","1,852.0","2,134.0","1,971.0","1,908.0","1,929.0","3,877.0","3,580.0","3,609.0","3,718.0","3,673.0","3,486.0","3,752.0","4,117.0","4,194.0","4,640.0","4,524.0"
"50","32","  From business","W164RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","81.0","86.0","109.0","123.0","140.0","170.0","189.0","223.0","248.0","263.0","303.0"
"51","33","    Balance on current account, NIPAs","A124RC1","772.0","690.0","197.0","169.0","150.0","430.0","-53.0","-92.0","214.0","1,165.0","1,030.0","1,543.0","1,286.0","-53.0","-2,109.0","-1,967.0","-1,323.0","4,917.0","9,289.0","2,417.0","879.0","-1,843.0","877.0","590.0","-1,321.0","170.0","372.0","2,682.0","4,717.0","802.0","-1,273.0","3,172.0","4,214.0","3,798.0","4,948.0","7,467.0","6,158.0","3,810.0","3,482.0","1,534.0","1,604.0"
"52",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","34","  Net lending or net borrowing (-), NIPAs","W162RC1","772.0","690.0","197.0","169.0","150.0","430.0","-53.0","-92.0","214.0","1,165.0","1,030.0","1,543.0","1,286.0","-53.0","-2,109.0","-1,967.0","-1,323.0","4,917.0","9,289.0","2,417.0","879.0","-1,843.0","877.0","590.0","-1,321.0","170.0","372.0","2,682.0","4,717.0","802.0","-1,273.0","3,172.0","4,214.0","3,798.0","4,948.0","7,467.0","6,158.0","3,810.0","3,482.0","1,534.0","1,602.0"
"54","35","    Balance on current account, NIPAs","A124RC1","772.0","690.0","197.0","169.0","150.0","430.0","-53.0","-92.0","214.0","1,165.0","1,030.0","1,543.0","1,286.0","-53.0","-2,109.0","-1,967.0","-1,323.0","4,917.0","9,289.0","2,417.0","879.0","-1,843.0","877.0","590.0","-1,321.0","170.0","372.0","2,682.0","4,717.0","802.0","-1,273.0","3,172.0","4,214.0","3,798.0","4,948.0","7,467.0","6,158.0","3,810.0","3,482.0","1,534.0","1,604.0"
"55","36","    Less: Capital account transactions (net) \3\","W167RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2.0"
"56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","1. Exports and imports of certain goods, primarily military equipment purchased and sold by the federal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","government, are included in services. Beginning with 1986, repairs and alterations of equipment are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","reclassified from goods to services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","2. Prior to 1999, current taxes, contributions for government social insurance, and transfer receipts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","from the rest of the world (line 13) are not separately displayed, and line 29 includes current taxes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","and transfer payments to the rest of the world net of current taxes, contributions for government social",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","insurance, and transfer receipts from the rest of the world.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","3. Consists of capital transfers and the acquisition and disposal of nonproduced nonfinancial assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Prior to 1982, reflects only capital grants paid to the U.S. territories and the Commonwealths of Puerto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Rico and Northern Mariana Islands.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
