"","Table 2#4#5# Personal Consumption Expenditures by Type of Produc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"19","1","      Personal consumption expenditures","DPCERC1","604,486.0","647,688.0","700,990.0","769,431.0","851,143.0","931,999.0","1,032,755.0","1,150,172.0","1,276,673.0","1,426,173.0","1,589,496.0","1,754,616.0","1,937,512.0","2,073,913.0","2,286,519.0","2,498,155.0","2,722,674.0","2,898,411.0","3,092,050.0","3,346,889.0","3,592,814.0","3,825,630.0","3,960,151.0","4,215,654.0","4,471,002.0","4,741,018.0","4,984,178.0","5,268,071.0","5,560,720.0","5,903,033.0","6,307,022.0","6,792,396.0","7,103,104.0","7,384,053.0","7,765,529.0","8,260,018.0","8,794,112.0","9,303,992.0","9,750,505.0","10,013,648.0","9,846,968.0","10,202,191.0","10,689,299.0","11,050,627.0","11,392,289.0","11,865,941.0"
"20","2","Goods","DGDSRC1","304,677.0","318,794.0","342,116.0","373,815.0","416,636.0","451,539.0","491,334.0","546,305.0","600,383.0","663,567.0","737,938.0","799,792.0","869,373.0","899,292.0","973,780.0","1,063,700.0","1,137,606.0","1,195,629.0","1,256,296.0","1,337,308.0","1,423,803.0","1,491,302.0","1,497,435.0","1,563,269.0","1,642,347.0","1,746,554.0","1,815,532.0","1,917,673.0","2,006,764.0","2,108,719.0","2,286,769.0","2,452,854.0","2,525,237.0","2,598,581.0","2,721,556.0","2,900,255.0","3,080,281.0","3,235,797.0","3,361,573.0","3,375,702.0","3,198,444.0","3,362,811.0","3,596,461.0","3,739,079.0","3,836,752.0","3,948,430.0"
"21","3","  Durable goods","DDURRC1","90,482.0","89,988.0","102,447.0","116,444.0","130,527.0","130,177.0","142,165.0","168,624.0","191,963.0","213,349.0","226,340.0","226,390.0","243,940.0","253,032.0","295,029.0","342,156.0","380,363.0","421,440.0","442,021.0","475,052.0","494,328.0","497,080.0","477,185.0","508,082.0","551,532.0","607,171.0","635,738.0","676,297.0","715,530.0","779,295.0","855,570.0","912,571.0","941,515.0","985,367.0","1,017,526.0","1,079,823.0","1,127,231.0","1,156,115.0","1,184,633.0","1,102,283.0","1,023,319.0","1,070,692.0","1,125,327.0","1,191,861.0","1,237,810.0","1,280,215.0"
"22","4","    Motor vehicles and parts","DMOTRC1","37,448.0","34,538.0","43,233.0","49,365.0","54,358.0","48,166.0","52,643.0","68,172.0","79,796.0","89,173.0","90,175.0","84,430.0","93,017.0","100,014.0","122,945.0","147,192.0","170,065.0","187,519.0","188,181.0","202,213.0","207,771.0","205,119.0","185,748.0","204,798.0","224,715.0","249,843.0","255,709.0","273,486.0","293,083.0","320,205.0","350,730.0","363,227.0","383,289.0","401,347.0","401,518.0","409,312.0","409,954.0","394,950.0","400,573.0","339,630.0","317,058.0","341,955.0","363,458.0","395,763.0","416,673.0","440,185.0"
"23","5","      New motor vehicles (55)","DNMVRC1","26,842.0","23,438.0","30,535.0","35,171.0","38,710.0","31,691.0","34,568.0","46,639.0","55,858.0","62,734.0","61,406.0","54,331.0","59,142.0","64,278.0","82,867.0","99,666.0","117,830.0","134,047.0","128,790.0","138,220.0","139,304.0","134,664.0","112,903.0","126,690.0","138,896.0","151,200.0","147,451.0","152,971.0","162,209.0","179,374.0","200,058.0","210,708.0","230,018.0","243,551.0","251,607.0","252,431.0","248,894.0","233,047.0","233,151.0","185,218.0","165,623.0","182,289.0","207,856.0","236,959.0","250,046.0","265,450.0"
"24","6","      Net purchases of used motor vehicles (56)","DNPVRC1","5,203.0","5,013.0","5,562.0","6,190.0","6,750.0","6,968.0","7,788.0","10,166.0","11,061.0","12,022.0","12,434.0","12,173.0","14,301.0","15,306.0","17,961.0","24,732.0","28,752.0","29,928.0","35,451.0","37,682.0","41,501.0","42,201.0","45,042.0","49,381.0","55,022.0","64,906.0","72,892.0","82,868.0","91,741.0","101,354.0","109,602.0","110,731.0","112,011.0","116,122.0","105,790.0","109,757.0","110,451.0","108,461.0","111,180.0","99,604.0","99,660.0","104,206.0","95,987.0","96,785.0","102,851.0","109,234.0"
"25","7","      Motor vehicle parts and accessories (58)","DMVPRC1","5,403.0","6,087.0","7,136.0","8,004.0","8,898.0","9,507.0","10,287.0","11,367.0","12,877.0","14,417.0","16,335.0","17,926.0","19,574.0","20,430.0","22,117.0","22,794.0","23,483.0","23,544.0","23,940.0","26,311.0","26,966.0","28,254.0","27,803.0","28,727.0","30,797.0","33,737.0","35,366.0","37,647.0","39,133.0","39,477.0","41,070.0","41,788.0","41,260.0","41,674.0","44,121.0","47,124.0","50,609.0","53,442.0","56,242.0","54,808.0","51,775.0","55,460.0","59,615.0","62,019.0","63,777.0","65,501.0"
"26","8","    Furnishings and durable household equipment","DFDHRC1","27,588.0","28,152.0","29,944.0","33,522.0","37,961.0","40,891.0","42,612.0","47,172.0","53,355.0","59,004.0","65,254.0","67,843.0","71,461.0","71,811.0","79,770.0","88,832.0","94,619.0","103,455.0","109,536.0","115,154.0","121,387.0","120,941.0","118,786.0","124,288.0","131,367.0","140,510.0","146,742.0","153,535.0","160,491.0","173,579.0","191,185.0","208,106.0","214,940.0","225,868.0","235,161.0","254,311.0","271,273.0","283,597.0","283,458.0","268,714.0","244,311.0","250,417.0","260,672.0","271,383.0","280,200.0","287,938.0"
"27","9","      Furniture and furnishings (parts of 31 and 32)","DFFFRC1","15,745.0","15,765.0","16,591.0","18,597.0","21,183.0","22,883.0","23,527.0","25,967.0","29,617.0","32,632.0","36,055.0","36,934.0","38,422.0","37,827.0","43,158.0","49,334.0","53,133.0","59,392.0","64,509.0","67,473.0","70,795.0","69,228.0","67,120.0","69,274.0","73,535.0","79,384.0","83,382.0","88,322.0","93,791.0","101,193.0","111,282.0","121,677.0","124,482.0","130,213.0","136,140.0","148,925.0","160,559.0","169,828.0","171,814.0","160,466.0","144,649.0","148,362.0","154,068.0","160,520.0","165,204.0","170,376.0"
"28","10","      Household appliances (part of 33)","DAPPRC1","6,808.0","7,257.0","7,944.0","8,997.0","9,895.0","10,334.0","10,581.0","11,506.0","12,725.0","13,605.0","14,806.0","15,104.0","15,518.0","15,177.0","16,795.0","18,375.0","19,819.0","21,243.0","21,781.0","22,696.0","23,852.0","23,660.0","23,262.0","24,287.0","25,195.0","25,819.0","26,571.0","26,798.0","26,532.0","28,638.0","31,616.0","34,078.0","35,739.0","37,605.0","38,939.0","42,080.0","45,097.0","46,973.0","46,762.0","45,184.0","41,111.0","41,738.0","43,009.0","44,484.0","45,881.0","46,098.0"
"29","11","      Glassware, tableware, and household utensils (34)","DUTERC1","3,505.0","3,561.0","3,735.0","4,083.0","4,715.0","5,213.0","5,732.0","6,511.0","7,321.0","8,558.0","9,537.0","10,550.0","11,815.0","12,809.0","13,351.0","14,084.0","14,397.0","15,142.0","15,123.0","16,271.0","17,502.0","18,360.0","18,537.0","20,050.0","21,145.0","22,766.0","23,743.0","24,772.0","25,682.0","28,326.0","31,909.0","35,274.0","37,115.0","39,973.0","41,322.0","43,147.0","44,597.0","45,523.0","44,806.0","43,726.0","41,071.0","42,713.0","45,108.0","47,186.0","49,084.0","50,409.0"
"30","12","      Tools and equipment for house and garden (35)","DTOORC1","1,530.0","1,569.0","1,674.0","1,845.0","2,168.0","2,461.0","2,772.0","3,188.0","3,692.0","4,209.0","4,856.0","5,255.0","5,706.0","5,998.0","6,466.0","7,039.0","7,270.0","7,678.0","8,123.0","8,714.0","9,238.0","9,693.0","9,867.0","10,677.0","11,492.0","12,541.0","13,046.0","13,643.0","14,486.0","15,422.0","16,378.0","17,077.0","17,604.0","18,077.0","18,760.0","20,159.0","21,020.0","21,273.0","20,076.0","19,338.0","17,480.0","17,604.0","18,487.0","19,192.0","20,032.0","21,055.0"
"31","13","    Recreational goods and vehicles","DREQRC1","16,732.0","17,924.0","19,197.0","22,591.0","25,346.0","26,585.0","30,363.0","34,172.0","37,730.0","41,702.0","45,835.0","46,490.0","49,879.0","51,287.0","58,655.0","67,844.0","74,074.0","83,016.0","91,802.0","99,877.0","103,905.0","105,558.0","107,716.0","110,995.0","123,473.0","140,340.0","153,723.0","164,929.0","174,632.0","191,360.0","210,922.0","230,858.0","234,934.0","244,772.0","259,193.0","284,088.0","305,023.0","324,101.0","335,780.0","329,331.0","303,775.0","312,735.0","320,981.0","336,605.0","346,845.0","354,614.0"
"32","14","      Video, audio, photographic, and information processing equipment and media (75, 76, and part of 93)","DVAPRC1","8,323.0","8,806.0","9,233.0","10,637.0","12,089.0","12,951.0","14,346.0","15,858.0","17,016.0","18,602.0","20,717.0","21,930.0","23,487.0","24,477.0","30,202.0","34,235.0","38,464.0","44,778.0","49,502.0","54,248.0","55,764.0","56,095.0","58,085.0","59,695.0","66,711.0","76,705.0","84,728.0","91,118.0","96,173.0","106,259.0","117,206.0","127,678.0","128,610.0","134,068.0","141,500.0","157,913.0","172,732.0","185,761.0","195,642.0","194,804.0","184,935.0","194,138.0","198,025.0","205,852.0","208,829.0","210,841.0"
"33","15","      Sporting equipment, supplies, guns, and ammunition (part of 80)","DSPGRC1","2,868.0","2,876.0","2,961.0","3,604.0","3,830.0","4,282.0","5,068.0","6,173.0","6,788.0","7,577.0","8,120.0","8,893.0","9,460.0","9,509.0","9,967.0","11,439.0","12,156.0","13,147.0","15,381.0","17,149.0","18,778.0","19,943.0","20,452.0","21,743.0","23,603.0","25,924.0","27,167.0","28,529.0","29,522.0","32,081.0","35,276.0","39,092.0","41,266.0","43,075.0","45,069.0","48,041.0","50,868.0","54,293.0","55,236.0","55,111.0","50,894.0","51,284.0","54,137.0","58,422.0","61,609.0","63,469.0"
"34","16","      Sports and recreational vehicles (79)","DWHLRC1","3,258.0","3,472.0","4,178.0","5,479.0","6,409.0","6,199.0","7,451.0","8,578.0","9,983.0","10,845.0","11,706.0","9,826.0","10,424.0","10,346.0","10,748.0","13,759.0","14,622.0","15,714.0","16,434.0","17,024.0","17,310.0","16,617.0","15,963.0","15,864.0","17,979.0","20,379.0","22,491.0","24,076.0","26,034.0","28,655.0","31,824.0","34,917.0","35,377.0","36,547.0","41,047.0","45,940.0","49,129.0","51,362.0","52,433.0","47,118.0","36,950.0","35,619.0","37,046.0","40,278.0","44,120.0","47,380.0"
"35","17","      Recreational books (part of 90)","DRBKRC1","1,726.0","2,185.0","2,225.0","2,201.0","2,275.0","2,365.0","2,630.0","2,619.0","2,974.0","3,638.0","4,173.0","4,704.0","5,346.0","5,850.0","6,496.0","7,061.0","7,348.0","7,771.0","8,757.0","9,565.0","10,112.0","10,853.0","11,041.0","11,507.0","12,795.0","14,632.0","16,410.0","18,116.0","19,691.0","20,884.0","22,690.0","24,423.0","24,749.0","25,902.0","26,514.0","26,868.0","26,976.0","27,164.0","27,078.0","27,164.0","26,424.0","27,116.0","27,096.0","27,152.0","27,325.0","27,737.0"
"36","18","      Musical instruments (part of 80)","DMSCRC1","557.0","585.0","600.0","670.0","743.0","788.0","868.0","944.0","969.0","1,040.0","1,119.0","1,137.0","1,162.0","1,105.0","1,242.0","1,350.0","1,484.0","1,606.0","1,728.0","1,891.0","1,941.0","2,050.0","2,175.0","2,186.0","2,385.0","2,700.0","2,927.0","3,090.0","3,212.0","3,481.0","3,926.0","4,748.0","4,932.0","5,180.0","5,063.0","5,326.0","5,318.0","5,521.0","5,391.0","5,134.0","4,572.0","4,578.0","4,677.0","4,901.0","4,962.0","5,187.0"
"37","19","    Other durable goods","DODGRC1","8,714.0","9,374.0","10,073.0","10,966.0","12,862.0","14,535.0","16,547.0","19,108.0","21,082.0","23,470.0","25,076.0","27,627.0","29,583.0","29,920.0","33,659.0","38,288.0","41,605.0","47,450.0","52,502.0","57,808.0","61,265.0","65,462.0","64,935.0","68,001.0","71,977.0","76,478.0","79,564.0","84,347.0","87,324.0","94,151.0","102,733.0","110,380.0","108,352.0","113,380.0","121,654.0","132,112.0","140,981.0","153,467.0","164,822.0","164,608.0","158,175.0","165,585.0","180,216.0","188,109.0","194,092.0","197,478.0"
"38","20","      Jewelry and watches (part of 119)","DJRYRC1","4,016.0","4,096.0","4,412.0","4,784.0","6,012.0","6,996.0","8,098.0","9,844.0","10,985.0","12,316.0","13,032.0","14,978.0","16,041.0","15,635.0","17,395.0","19,759.0","21,056.0","24,333.0","26,237.0","28,288.0","29,175.0","30,279.0","30,192.0","31,645.0","33,854.0","36,014.0","37,842.0","39,892.0","39,908.0","42,557.0","46,539.0","49,088.0","47,577.0","49,111.0","51,929.0","56,573.0","59,752.0","64,230.0","67,185.0","65,267.0","60,257.0","62,565.0","69,407.0","72,363.0","73,872.0","74,718.0"
"39","21","      Therapeutic appliances and equipment (42)","DTAERC1","1,666.0","1,904.0","1,939.0","2,167.0","2,410.0","2,702.0","3,037.0","3,257.0","3,514.0","3,949.0","4,527.0","5,072.0","5,661.0","6,243.0","7,136.0","8,359.0","9,618.0","11,011.0","12,601.0","14,768.0","15,869.0","18,405.0","17,513.0","18,097.0","18,882.0","20,375.0","21,013.0","23,005.0","25,261.0","27,814.0","29,704.0","32,169.0","31,833.0","34,043.0","36,487.0","39,743.0","43,188.0","46,896.0","51,641.0","52,483.0","52,671.0","55,613.0","58,864.0","60,842.0","62,549.0","64,570.0"
"40","22","      Educational books (96)","DEBKRC1","583.0","737.0","751.0","743.0","778.0","827.0","940.0","957.0","1,100.0","1,346.0","1,546.0","1,746.0","1,986.0","2,175.0","2,508.0","2,913.0","3,235.0","3,646.0","4,246.0","4,645.0","4,923.0","5,298.0","5,404.0","5,641.0","6,054.0","6,484.0","6,802.0","7,007.0","7,335.0","7,855.0","8,564.0","9,043.0","9,230.0","9,702.0","9,854.0","9,877.0","9,774.0","9,666.0","9,422.0","9,451.0","9,192.0","9,429.0","9,417.0","9,431.0","9,488.0","9,628.0"
"41","23","      Luggage and similar personal items (part of 119)","DLUGRC1","2,429.0","2,616.0","2,949.0","3,248.0","3,634.0","3,979.0","4,438.0","5,011.0","5,439.0","5,707.0","5,593.0","5,178.0","4,916.0","4,668.0","5,396.0","6,013.0","6,476.0","7,204.0","8,112.0","8,671.0","9,673.0","9,698.0","9,952.0","10,569.0","10,885.0","10,929.0","10,896.0","11,054.0","11,084.0","11,747.0","13,120.0","14,565.0","13,873.0","14,281.0","15,844.0","17,279.0","19,077.0","21,451.0","23,460.0","24,004.0","23,343.0","25,232.0","28,868.0","30,966.0","32,831.0","32,104.0"
"42","24","      Telephone and facsimile equipment (67)","DTCERC1","20.0","21.0","22.0","24.0","28.0","31.0","34.0","39.0","44.0","152.0","378.0","653.0","979.0","1,199.0","1,224.0","1,244.0","1,220.0","1,256.0","1,306.0","1,436.0","1,625.0","1,782.0","1,874.0","2,049.0","2,302.0","2,676.0","3,011.0","3,389.0","3,736.0","4,178.0","4,806.0","5,515.0","5,839.0","6,243.0","7,540.0","8,640.0","9,190.0","11,224.0","13,114.0","13,403.0","12,712.0","12,746.0","13,660.0","14,508.0","15,353.0","16,457.0"
"43","25","  Nondurable goods","DNDGRC1","214,195.0","228,806.0","239,669.0","257,371.0","286,109.0","321,362.0","349,169.0","377,681.0","408,420.0","450,218.0","511,598.0","573,402.0","625,433.0","646,260.0","678,751.0","721,544.0","757,243.0","774,189.0","814,275.0","862,256.0","929,475.0","994,222.0","1,020,250.0","1,055,187.0","1,090,815.0","1,139,383.0","1,179,794.0","1,241,376.0","1,291,234.0","1,329,424.0","1,431,199.0","1,540,283.0","1,583,722.0","1,613,214.0","1,704,030.0","1,820,432.0","1,953,050.0","2,079,682.0","2,176,940.0","2,273,419.0","2,175,125.0","2,292,119.0","2,471,134.0","2,547,218.0","2,598,942.0","2,668,215.0"
"44","26","    Food and beverages purchased for off-premises consumption","DFXARC1","95,371.0","103,506.0","107,125.0","114,472.0","126,715.0","143,038.0","156,566.0","167,297.0","179,770.0","196,112.0","218,370.0","239,167.0","255,339.0","267,141.0","277,036.0","291,102.0","302,953.0","316,415.0","324,312.0","342,807.0","365,388.0","391,176.0","402,953.0","404,465.0","413,472.0","432,109.0","443,747.0","461,879.0","474,776.0","487,437.0","515,530.0","540,579.0","564,003.0","575,052.0","599,581.0","632,604.0","668,217.0","700,260.0","737,331.0","772,884.0","769,958.0","788,899.0","829,146.0","848,789.0","865,985.0","886,536.0"
"45","27","      Food and nonalcoholic beverages purchased for off-premises consumption (4)","DTFDRC1","83,626.0","90,403.0","92,596.0","98,682.0","109,591.0","124,183.0","136,203.0","145,643.0","156,544.0","171,120.0","190,251.0","207,982.0","221,683.0","231,345.0","239,182.0","252,733.0","262,331.0","273,849.0","281,807.0","298,998.0","319,460.0","341,238.0","351,488.0","354,596.0","362,392.0","378,285.0","388,268.0","402,756.0","412,764.0","422,087.0","444,945.0","463,125.0","482,228.0","490,397.0","513,578.0","542,995.0","575,282.0","601,564.0","634,713.0","667,741.0","663,426.0","675,912.0","711,737.0","726,297.0","742,161.0","759,890.0"
"46","28","      Alcoholic beverages purchased for off-premises consumption (5)","DAOPRC1","11,014.0","12,327.0","13,785.0","14,901.0","16,009.0","17,665.0","19,234.0","20,469.0","22,065.0","23,777.0","26,773.0","29,952.0","32,442.0","34,667.0","36,805.0","37,352.0","39,696.0","41,670.0","41,762.0","43,077.0","45,256.0","49,298.0","50,858.0","49,294.0","50,537.0","53,313.0","55,000.0","58,676.0","61,598.0","64,968.0","70,235.0","77,136.0","81,489.0","84,374.0","85,728.0","89,269.0","92,551.0","98,231.0","102,215.0","104,723.0","106,138.0","112,592.0","117,036.0","122,106.0","123,097.0","125,878.0"
"47","29","      Food produced and consumed on farms (6)","DFFDRC1","731.0","776.0","744.0","889.0","1,115.0","1,190.0","1,129.0","1,185.0","1,161.0","1,215.0","1,346.0","1,233.0","1,214.0","1,129.0","1,049.0","1,017.0","926.0","896.0","743.0","732.0","672.0","640.0","607.0","575.0","543.0","511.0","479.0","447.0","414.0","382.0","350.0","318.0","286.0","281.0","275.0","340.0","384.0","465.0","403.0","420.0","394.0","395.0","373.0","385.0","726.0","769.0"
"48","30","    Clothing and footwear","DCLORC1","44,331.0","45,450.0","49,046.0","53,491.0","59,243.0","62,423.0","66,867.0","72,191.0","79,305.0","89,317.0","96,371.0","103,002.0","113,178.0","116,745.0","126,445.0","137,621.0","146,845.0","157,201.0","167,726.0","178,213.0","190,397.0","195,245.0","199,098.0","211,234.0","219,054.0","227,435.0","231,245.0","239,542.0","247,496.0","257,805.0","271,097.0","280,832.0","277,868.0","278,836.0","285,347.0","297,485.0","310,659.0","320,213.0","323,692.0","319,506.0","306,498.0","320,558.0","338,946.0","354,287.0","362,506.0","368,863.0"
"49","31","      Garments","DGARRC1","35,477.0","36,617.0","39,637.0","43,168.0","47,808.0","50,826.0","54,905.0","59,203.0","65,063.0","73,082.0","78,224.0","83,275.0","91,390.0","94,941.0","103,338.0","113,149.0","120,984.0","129,527.0","138,166.0","146,880.0","156,207.0","159,977.0","163,962.0","174,421.0","180,888.0","187,271.0","190,094.0","196,380.0","203,240.0","211,129.0","221,908.0","230,024.0","227,216.0","228,008.0","232,717.0","242,320.0","251,385.0","257,008.0","258,720.0","254,689.0","244,349.0","255,328.0","269,875.0","281,544.0","286,886.0","291,883.0"
"50","32","        Women's and girls' clothing (10)","DWGCRC1","21,299.0","21,939.0","24,019.0","25,761.0","28,305.0","29,859.0","32,158.0","34,493.0","37,532.0","42,476.0","45,544.0","48,470.0","53,260.0","55,319.0","60,745.0","66,992.0","72,201.0","77,933.0","83,096.0","87,550.0","92,654.0","94,545.0","96,473.0","103,175.0","106,397.0","108,421.0","108,922.0","111,410.0","113,922.0","118,968.0","126,520.0","132,721.0","132,134.0","133,306.0","136,799.0","143,726.0","149,644.0","153,674.0","155,776.0","152,093.0","145,820.0","152,766.0","161,600.0","169,174.0","171,851.0","175,486.0"
"51","33","        Men's and boys' clothing (11)","DMBCRC1","13,390.0","13,724.0","14,747.0","16,331.0","18,175.0","19,303.0","20,874.0","22,549.0","25,065.0","27,601.0","29,236.0","30,894.0","33,548.0","34,524.0","37,092.0","40,190.0","42,459.0","44,884.0","48,049.0","51,723.0","55,584.0","57,381.0","59,392.0","63,009.0","66,065.0","70,095.0","72,209.0","75,838.0","79,957.0","82,193.0","84,621.0","85,874.0","83,203.0","82,445.0","82,837.0","84,508.0","86,299.0","86,668.0","85,315.0","84,736.0","81,471.0","84,850.0","89,748.0","93,439.0","96,081.0","97,316.0"
"52","34","        Children's and infants' clothing (12)","DCICRC1","788.0","954.0","871.0","1,076.0","1,328.0","1,664.0","1,873.0","2,161.0","2,466.0","3,005.0","3,444.0","3,911.0","4,582.0","5,098.0","5,501.0","5,967.0","6,324.0","6,710.0","7,021.0","7,607.0","7,969.0","8,051.0","8,097.0","8,237.0","8,426.0","8,755.0","8,963.0","9,132.0","9,361.0","9,968.0","10,767.0","11,429.0","11,879.0","12,257.0","13,081.0","14,086.0","15,442.0","16,666.0","17,629.0","17,860.0","17,058.0","17,712.0","18,527.0","18,931.0","18,954.0","19,080.0"
