"","Table 1#17#5# Gross Domestic Product, Gross Domestic Income, and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"21","2","    Gross domestic income (GDI)","A261RC1","103,827.0","92,614.0","76,671.0","59,262.0","56,652.0","66,440.0","74,493.0","83,674.0","93,079.0","86,713.0","92,187.0","101,880.0","129,041.0","166,905.0","204,962.0","222,027.0","224,347.0","226,589.0","247,093.0","275,077.0","271,106.0","298,949.0","343,874.0","365,159.0","385,972.0","388,267.0","424,064.0","452,198.0","475,242.0","481,431.0","522,304.0","544,639.0","564,281.0","605,197.0","640,100.0","685,799.0","742,956.0","809,915.0","858,323.0","939,307.0","1,018,268.0"
"22","3","    Average of GDP and GDI \1\","LA0000091","104,194.0","92,391.0","77,039.0","59,397.0","56,909.0","66,626.0","74,376.0","84,264.0","93,054.0","87,050.0","92,830.0","102,413.0","129,199.0","166,451.0","204,042.0","223,289.0","226,260.0","227,201.0","248,519.0","274,942.0","271,967.0","299,574.0","345,584.0","366,444.0","387,856.0","389,707.0","425,120.0","451,164.0","475,047.0","481,738.0","522,378.0","543,961.0","563,792.0","605,156.0","639,341.0","685,793.0","743,342.0","812,477.0","860,027.0","940,894.0","1,019,073.0"
"23","4","    Net domestic product \2\","A362RC1","94,182.0","81,981.0","67,914.0","51,218.0","49,174.0","58,406.0","65,797.0","76,071.0","83,281.0","77,357.0","83,382.0","92,379.0","117,302.0","151,104.0","185,109.0","203,170.0","204,979.0","202,041.0","220,745.0","243,414.0","240,490.0","266,768.0","309,536.0","327,110.0","346,259.0","345,165.0","377,290.0","396,005.0","415,938.0","419,620.0","457,013.0","475,390.0","492,696.0","531,014.0","560,579.0","603,407.0","655,748.0","719,746.0","758,212.0","829,156.0","895,015.0"
"24","5","    Net domestic income \2\","W256RC1","93,449.0","82,428.0","67,179.0","50,948.0","48,661.0","58,034.0","66,031.0","74,891.0","83,331.0","76,683.0","82,096.0","91,313.0","116,987.0","152,012.0","186,949.0","200,647.0","201,153.0","200,818.0","217,893.0","243,684.0","238,769.0","265,519.0","306,116.0","324,541.0","342,492.0","342,286.0","375,179.0","398,073.0","416,329.0","419,006.0","456,866.0","476,746.0","493,674.0","531,096.0","562,097.0","603,420.0","654,976.0","714,622.0","754,804.0","825,983.0","893,405.0"
"25",NA,"Production by labor and capital supplied by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","6","    Gross national product","A001RC1","105,326.0","92,876.0","77,921.0","59,896.0","57,465.0","67,091.0","74,600.0","85,116.0","93,398.0","87,766.0","93,846.0","103,226.0","129,772.0","166,408.0","203,453.0","224,874.0","228,438.0","228,464.0","251,055.0","276,263.0","274,107.0","301,638.0","349,186.0","369,713.0","391,638.0","393,241.0","428,624.0","452,926.0","477,906.0","484,673.0","525,212.0","546,396.0","566,822.0","609,208.0","643,059.0","690,706.0","749,007.0","820,109.0","867,124.0","948,565.0","1,025,993.0"
"27","7","    Gross national income","A023RC1","104,593.0","93,323.0","77,186.0","59,626.0","56,952.0","66,719.0","74,834.0","83,936.0","93,448.0","87,092.0","92,560.0","102,160.0","129,457.0","167,316.0","205,293.0","222,351.0","224,612.0","227,241.0","248,203.0","276,533.0","272,386.0","300,389.0","345,766.0","367,144.0","387,871.0","390,362.0","426,513.0","454,994.0","478,297.0","484,059.0","525,065.0","547,752.0","567,800.0","609,290.0","644,577.0","690,719.0","748,235.0","814,985.0","863,716.0","945,392.0","1,024,383.0"
"28","8","    Net national product \2\","A027RC1","94,948.0","82,690.0","68,429.0","51,582.0","49,474.0","58,685.0","66,138.0","76,333.0","83,650.0","77,736.0","83,755.0","92,659.0","117,718.0","151,515.0","185,440.0","203,494.0","205,244.0","202,693.0","221,855.0","244,870.0","241,770.0","268,208.0","311,428.0","329,095.0","348,158.0","347,260.0","379,739.0","398,801.0","418,993.0","422,248.0","459,774.0","478,503.0","496,215.0","535,107.0","565,056.0","608,327.0","661,027.0","724,816.0","763,605.0","835,241.0","901,130.0"
"29","9","    National income \3\","A032RC1","94,215.0","83,137.0","67,694.0","51,312.0","48,961.0","58,313.0","66,372.0","75,153.0","83,700.0","77,062.0","82,469.0","91,593.0","117,403.0","152,423.0","187,280.0","200,971.0","201,418.0","201,470.0","219,003.0","245,140.0","240,049.0","266,959.0","308,008.0","326,526.0","344,391.0","344,381.0","377,628.0","400,869.0","419,384.0","421,634.0","459,627.0","479,859.0","497,193.0","535,189.0","566,574.0","608,340.0","660,255.0","719,692.0","760,197.0","832,068.0","899,520.0"
"30",NA,"Final expenditures by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","10","    Gross domestic purchases","A712RC1","104,177.0","91,844.0","77,405.0","59,489.0","57,107.0","66,490.0","74,472.0","85,001.0","92,951.0","86,421.0","92,640.0","101,475.0","128,323.0","166,249.0","205,368.0","226,574.0","228,939.0","220,630.0","239,138.0","269,320.0","267,592.0","299,460.0","344,781.0","366,564.0","390,440.0","390,742.0","425,697.0","447,769.0","470,776.0","481,507.0","522,055.0","539,079.0","558,389.0","601,015.0","633,642.0","678,872.0","738,110.0","811,175.0","858,177.0","941,129.0","1,018,447.0"
"32","11","    Final sales to domestic purchasers \4\","A713RC1","102,637.0","92,067.0","78,517.0","61,840.0","58,510.0","67,070.0","73,332.0","83,840.0","90,326.0","86,996.0","92,433.0","99,082.0","123,993.0","164,343.0","206,114.0","227,498.0","230,415.0","214,619.0","239,688.0","263,662.0","270,284.0","293,690.0","334,872.0","363,050.0","388,492.0","392,679.0","420,709.0","443,819.0","469,999.0","481,873.0","518,138.0","535,847.0","555,415.0","594,914.0","628,021.0","674,051.0","728,863.0","797,539.0","848,311.0","932,076.0","1,009,274.0"
"33","12","    Final sales to private domestic purchasers \5\","LA0000031","93,013.0","81,787.0","68,333.0","52,884.0","49,625.0","56,337.0","62,162.0","70,417.0","77,180.0","72,791.0","77,230.0","83,473.0","96,111.0","98,857.0","108,054.0","118,752.0","133,854.0","171,420.0","199,659.0","219,697.0","220,262.0","242,951.0","261,332.0","273,232.0","291,479.0","299,933.0","327,450.0","345,304.0","362,463.0","367,340.0","399,259.0","414,821.0","425,576.0","453,983.0","480,143.0","518,519.0","563,977.0","611,148.0","640,244.0","705,322.0","768,875.0"
"34",NA,"After-tax income received by the personal sector:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","13","    Disposable personal income","A067RC1","83,532.0","74,936.0","64,639.0","49,536.0","46,392.0","53,161.0","59,769.0","67,918.0","72,777.0","67,224.0","72,139.0","77,714.0","95,560.0","121,825.0","139,440.0","152,046.0","156,336.0","165,458.0","174,826.0","194,456.0","194,511.0","214,992.0","237,400.0","250,650.0","266,323.0","272,432.0","291,724.0","311,820.0","329,600.0","340,926.0","360,904.0","376,464.0","393,832.0","417,532.0","438,287.0","476,287.0","513,183.0","554,194.0","592,787.0","643,756.0","695,752.0"
"36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","1. The arithmetic average of gross domestic product and of gross domestic income.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2. In this table, net measures are the corresponding gross measures excluding the depreciation of fixed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","assets as measured by the consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","3. Equals gross national income less the depreciation of fixed assets as measured by the consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","4. Equals gross domestic purchases less change in private inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","5. Final sales to domestic purchasers less government consumption expenditures and gross investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
