"","Table 3#14# Government Social Insurance Funds Current Receipts a","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"22","3","  Employee and self-employed contributions","A1585C1","66.0","66.0","65.0","63.0","59.0","62.0","60.0","70.0","443.0","418.0","448.0","494.0","618.0","882.0","1,445.0","1,805.0","1,873.0","1,504.0","1,578.0","1,543.0","1,493.0","2,058.0","2,492.0","2,728.0","2,841.0","3,403.0","3,854.0","4,251.0","4,975.0","4,958.0","5,891.0","7,093.0","7,287.0","7,798.0","9,085.0","9,553.0","10,070.0","14,215.0","16,561.0","18,437.0","21,030.0"
"23","4","  Employer contributions","A1580C1","8.0","7.0","5.0","8.0","4.0","7.0","12.0","242.0","1,030.0","1,199.0","1,304.0","1,376.0","1,716.0","2,008.0","2,328.0","2,537.0","3,463.0","4,959.0","3,811.0","2,872.0","3,203.0","3,201.0","3,900.0","3,917.0","3,959.0","4,347.0","4,900.0","5,366.0","6,041.0","6,031.0","7,530.0","8,890.0","9,226.0","10,771.0","11,955.0","12,152.0","12,588.0","16,300.0","17,429.0","19,316.0","22,071.0"
"24","5","    Government","L313051","8.0","7.0","5.0","8.0","4.0","4.0","5.0","2.0","3.0","2.0","2.0","2.0","2.0","29.0","27.0","259.0","1,378.0","2,893.0","1,375.0","532.0","855.0","135.0","216.0","226.0","198.0","265.0","364.0","347.0","517.0","662.0","734.0","815.0","884.0","946.0","1,106.0","1,183.0","1,215.0","1,643.0","2,012.0","2,359.0","2,815.0"
"25","6","    Other","L313061","0.0","0.0","0.0","0.0","0.0","3.0","7.0","240.0","1,027.0","1,197.0","1,302.0","1,374.0","1,714.0","1,979.0","2,301.0","2,278.0","2,085.0","2,066.0","2,436.0","2,340.0","2,348.0","3,066.0","3,684.0","3,691.0","3,761.0","4,082.0","4,536.0","5,019.0","5,524.0","5,369.0","6,796.0","8,075.0","8,342.0","9,825.0","10,849.0","10,969.0","11,373.0","14,657.0","15,417.0","16,957.0","19,256.0"
"26","7","  From the rest of the world","W781RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","18.0","22.0","23.0","26.0","26.0","30.0","31.0","37.0","40.0","34.0","52.0","57.0","66.0","77.0","84.0","105.0","112.0","144.0","213.0"
"27","8","Interest received","L313071","13.0","20.0","19.0","11.0","16.0","15.0","16.0","22.0","126.0","52.0","67.0","75.0","92.0","124.0","171.0","250.0","367.0","473.0","522.0","600.0","687.0","708.0","701.0","812.0","909.0","964.0","974.0","1,054.0","1,142.0","1,125.0","1,085.0","1,105.0","1,133.0","1,108.0","1,123.0","1,202.0","1,304.0","1,482.0","1,834.0","2,075.0","2,464.0"
"28","9","    Current expenditures","A1670C1","26.0","29.0","33.0","40.0","40.0","45.0","43.0","87.0","212.0","679.0","788.0","909.0","815.0","836.0","656.0","710.0","1,444.0","3,723.0","2,731.0","2,614.0","3,871.0","6,219.0","4,486.0","4,820.0","5,646.0","7,539.0","8,202.0","8,991.0","11,090.0","14,827.0","15,229.0","16,738.0","20,035.0","20,316.0","21,398.0","21,732.0","23,613.0","26,104.0","31,829.0","36,804.0","40,081.0"
"29","10","Administrative expenses (consumption expenditures)","L313091","0.0","0.0","0.0","0.0","0.0","3.0","7.0","52.0","133.0","138.0","160.0","147.0","186.0","172.0","211.0","181.0","195.0","243.0","113.0","174.0","225.0","337.0","387.0","302.0","346.0","318.0","453.0","473.0","417.0","628.0","613.0","616.0","787.0","748.0","827.0","806.0","886.0","976.0","948.0","1,120.0","1,515.0"
"30","11","Government social benefits","W026RC1","26.0","29.0","33.0","40.0","40.0","42.0","36.0","35.0","79.0","541.0","628.0","762.0","629.0","664.0","445.0","529.0","1,249.0","3,480.0","2,618.0","2,440.0","3,646.0","5,882.0","4,099.0","4,518.0","5,300.0","7,221.0","7,749.0","8,518.0","10,673.0","14,199.0","14,616.0","16,122.0","19,248.0","19,568.0","20,571.0","20,926.0","22,727.0","25,128.0","30,881.0","35,684.0","38,566.0"
"31","12","  To persons","A1588C1","26.0","29.0","33.0","40.0","40.0","42.0","36.0","35.0","79.0","541.0","628.0","762.0","629.0","664.0","445.0","529.0","1,249.0","3,480.0","2,618.0","2,440.0","3,646.0","5,882.0","4,099.0","4,518.0","5,297.0","7,215.0","7,739.0","8,505.0","10,653.0","14,174.0","14,580.0","15,878.0","18,976.0","19,273.0","20,251.0","20,584.0","22,278.0","24,668.0","30,330.0","35,131.0","37,983.0"
"32","13","  To the rest of the world","W872RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","244.0","272.0","295.0","320.0","342.0","449.0","460.0","551.0","553.0","583.0"
"33","14","    Net saving","B243RC1","61.0","64.0","56.0","42.0","39.0","39.0","45.0","247.0","1,387.0","990.0","1,031.0","1,036.0","1,611.0","2,178.0","3,288.0","3,882.0","4,259.0","3,212.0","3,180.0","2,401.0","1,512.0","-252.0","2,625.0","2,659.0","2,086.0","1,196.0","1,546.0","1,710.0","1,099.0","-2,677.0","-683.0","384.0","-2,337.0","-582.0","831.0","1,252.0","433.0","5,998.0","4,107.0","3,168.0","5,697.0"
"34",NA,"          State and local"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","15","    Current receipts","A743RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2.0","5.0","5.0","4.0","170.0","191.0","219.0","214.0","244.0","264.0","303.0","333.0","353.0","368.0","405.0","435.0","435.0","455.0","507.0","542.0","602.0","687.0","746.0","827.0","898.0","965.0","1,043.0","1,142.0"
"36","16","Contributions for government social insurance","B104RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2.0","5.0","5.0","4.0","155.0","175.0","201.0","194.0","223.0","242.0","278.0","306.0","324.0","337.0","370.0","397.0","395.0","413.0","461.0","492.0","548.0","629.0","682.0","758.0","821.0","877.0","942.0","1,026.0"
"37","17","  Employee and self-employed contributions","B738RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2.0","5.0","5.0","4.0","48.0","55.0","69.0","48.0","51.0","48.0","52.0","55.0","59.0","63.0","68.0","70.0","77.0","88.0","101.0","108.0","137.0","179.0","202.0","253.0","275.0","287.0","308.0","343.0"
"38","18","  Employer contributions","A744RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","107.0","120.0","132.0","146.0","172.0","194.0","226.0","251.0","265.0","274.0","302.0","327.0","318.0","325.0","360.0","384.0","411.0","450.0","480.0","505.0","546.0","590.0","634.0","683.0"
"39","19","    Government","B739RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","7.0","8.0","8.0","10.0","10.0","11.0","11.0","11.0","12.0","13.0","15.0","16.0","38.0","29.0","44.0","56.0","57.0","63.0","65.0","70.0","85.0","99.0","110.0","121.0"
"40","20","    Other","B740RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","100.0","112.0","124.0","136.0","162.0","183.0","215.0","240.0","253.0","261.0","287.0","311.0","280.0","296.0","316.0","328.0","354.0","387.0","415.0","435.0","461.0","491.0","524.0","562.0"
"41","21","Interest received","B746RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","15.0","16.0","18.0","20.0","21.0","22.0","25.0","27.0","29.0","31.0","35.0","38.0","40.0","42.0","46.0","50.0","54.0","58.0","64.0","69.0","77.0","88.0","101.0","116.0"
"42","22","    Current expenditures","A745RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1.0","4.0","6.0","7.0","93.0","123.0","139.0","156.0","178.0","194.0","216.0","235.0","260.0","274.0","302.0","330.0","394.0","430.0","479.0","530.0","588.0","657.0","702.0","737.0","779.0","835.0","899.0","983.0"
"43","23","Administrative expenses (consumption expenditures)","B741RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1.0","1.0","1.0","2.0","5.0","6.0","8.0","11.0","11.0","11.0","11.0","12.0","12.0","12.0","13.0","18.0","37.0","46.0","47.0","50.0","55.0","61.0","69.0","74.0","79.0","81.0","88.0","97.0"
"44","24","Government social benefit payments to persons","B742RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","0.0","3.0","5.0","5.0","88.0","117.0","131.0","145.0","167.0","183.0","205.0","223.0","248.0","262.0","289.0","312.0","357.0","384.0","432.0","480.0","533.0","596.0","633.0","663.0","700.0","754.0","811.0","886.0"
"45","25","    Net saving","B118RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1.0","1.0","-1.0","-3.0","77.0","68.0","80.0","58.0","66.0","70.0","87.0","98.0","93.0","94.0","103.0","105.0","41.0","25.0","28.0","12.0","14.0","30.0","44.0","90.0","119.0","130.0","144.0","159.0"
