"","Table 5#2#6# Real Gross and Net Domestic Investment by Major Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"26","8","  Less: Consumption of fixed capital","B024RX1","241,433.0","253,580.0","264,922.0","278,614.0","298,129.0","315,099.0","327,694.0","339,353.0","354,631.0","373,162.0","394,769.0","414,673.0","432,306.0","451,070.0","465,715.0","484,524.0","510,885.0","534,044.0","557,620.0","580,139.0","604,085.0","627,083.0","645,142.0","662,342.0","685,982.0","716,527.0","753,678.0","797,634.0","850,016.0","913,862.0","986,246.0","1,062,676.0","1,125,496.0","1,168,884.0","1,204,494.0","1,244,369.0","1,290,810.0","1,341,012.0","1,395,560.0","1,440,291.0","1,461,343.0"
"27","9","  Equals: Net fixed investment","A560RX1","253,664.0","231,111.0","256,480.0","305,476.0","339,341.0","282,522.0","205,750.0","246,681.0","315,629.0","378,241.0","399,045.0","327,565.0","326,528.0","254,561.0","291,370.0","400,417.0","420,613.0","408,288.0","389,880.0","398,609.0","404,083.0","360,033.0","277,965.0","315,493.0","375,672.0","444,415.0","482,036.0","548,913.0","620,759.0","716,515.0","795,812.0","851,147.0","752,082.0","629,238.0","651,738.0","748,112.0","831,464.0","830,269.0","737,107.0","556,675.0","169,314.0"
"28","10","    Nonresidential","A008RX1","271,898.0","270,445.0","270,466.0","295,293.0","338,263.0","341,088.0","307,380.0","322,434.0","358,824.0","412,531.0","454,078.0","452,883.0","478,676.0","460,656.0","454,702.0","534,943.0","570,400.0","554,106.0","553,693.0","582,656.0","615,182.0","618,221.0","585,071.0","603,749.0","656,459.0","716,867.0","792,235.0","866,231.0","970,789.0","1,087,379.0","1,200,860.0","1,318,543.0","1,281,798.0","1,180,161.0","1,191,004.0","1,263,018.0","1,347,325.0","1,453,944.0","1,552,020.0","1,556,598.0","1,290,786.0"
"29","11","    Less: Consumption of fixed capital","A753RX1","173,192.0","182,448.0","190,817.0","200,858.0","215,932.0","229,084.0","238,815.0","247,711.0","259,431.0","273,753.0","290,802.0","306,692.0","320,962.0","336,590.0","348,392.0","363,400.0","385,014.0","403,498.0","422,170.0","439,934.0","459,186.0","477,898.0","492,489.0","506,368.0","525,821.0","551,320.0","582,847.0","620,681.0","666,429.0","723,031.0","787,742.0","856,515.0","912,474.0","949,581.0","978,714.0","1,011,622.0","1,051,128.0","1,094,506.0","1,143,125.0","1,183,972.0","1,202,855.0"
"30","12","    Equals: Net nonresidential","A593RX1","98,706.0","87,997.0","79,649.0","94,436.0","122,330.0","112,004.0","68,565.0","74,723.0","99,392.0","138,778.0","163,276.0","146,191.0","157,714.0","124,067.0","106,310.0","171,542.0","185,386.0","150,608.0","131,522.0","142,721.0","155,997.0","140,322.0","92,582.0","97,382.0","130,638.0","165,547.0","209,388.0","245,550.0","304,359.0","364,349.0","413,118.0","462,028.0","369,324.0","230,580.0","212,290.0","251,396.0","296,197.0","359,438.0","408,895.0","372,626.0","87,931.0"
"31","13","      Structures","B009RX1","260,635.0","261,354.0","257,069.0","265,077.0","286,750.0","280,540.0","250,996.0","257,037.0","267,610.0","306,231.0","345,065.0","365,250.0","394,532.0","388,072.0","346,141.0","394,406.0","422,439.0","376,149.0","365,327.0","367,721.0","375,027.0","380,551.0","338,211.0","317,822.0","315,764.0","321,520.0","342,027.0","361,407.0","387,913.0","407,721.0","408,207.0","440,048.0","433,329.0","356,596.0","343,011.0","346,728.0","351,754.0","384,046.0","438,208.0","464,230.0","369,569.0"
"32","14","      Less: Consumption of fixed capital","B188RX1","105,615.0","109,119.0","112,406.0","115,587.0","123,594.0","126,977.0","130,007.0","132,778.0","135,703.0","139,354.0","144,039.0","149,793.0","156,737.0","163,938.0","169,556.0","174,823.0","180,961.0","186,018.0","189,889.0","193,730.0","197,439.0","201,353.0","204,841.0","207,062.0","208,962.0","211,027.0","213,413.0","216,533.0","220,376.0","224,644.0","228,761.0","233,189.0","237,960.0","241,367.0","243,469.0","245,911.0","248,900.0","253,227.0","259,718.0","266,754.0","271,915.0"
"33","15","      Equals: Net structures","A594RX1","155,020.0","152,236.0","144,663.0","149,490.0","163,156.0","153,563.0","120,989.0","124,259.0","131,907.0","166,877.0","201,025.0","215,457.0","237,795.0","224,134.0","176,586.0","219,583.0","241,478.0","190,131.0","175,438.0","173,991.0","177,587.0","179,199.0","133,370.0","110,761.0","106,802.0","110,493.0","128,614.0","144,874.0","167,537.0","183,077.0","179,446.0","206,858.0","195,369.0","115,230.0","99,542.0","100,817.0","102,854.0","130,819.0","178,489.0","197,476.0","97,654.0"
"34","16","      Equipment and software","B010RX1","115,467.0","114,315.0","115,450.0","130,345.0","154,250.0","158,195.0","143,136.0","152,081.0","174,994.0","201,636.0","219,243.0","211,358.0","220,346.0","208,889.0","220,134.0","263,794.0","280,549.0","285,865.0","289,784.0","311,636.0","334,473.0","334,577.0","325,976.0","349,737.0","393,396.0","440,310.0","492,998.0","545,397.0","620,394.0","710,415.0","810,901.0","895,779.0","866,873.0","830,279.0","851,369.0","917,328.0","995,571.0","1,069,585.0","1,108,957.0","1,081,992.0","916,279.0"
"35","17","      Less: Consumption of fixed capital","B189RX1","98,537.0","104,527.0","109,919.0","116,695.0","125,708.0","135,034.0","141,744.0","147,867.0","156,237.0","166,482.0","178,598.0","189,299.0","198,114.0","207,962.0","215,317.0","225,523.0","240,894.0","254,137.0","268,058.0","281,236.0","295,781.0","309,814.0","320,564.0","331,325.0","347,035.0","367,957.0","394,083.0","425,527.0","463,862.0","512,195.0","568,571.0","628,913.0","677,643.0","710,110.0","736,283.0","766,048.0","802,228.0","841,583.0","884,420.0","918,725.0","932,276.0"
"36","18","      Equals: Net equipment and software","A747RX1","16,930.0","9,789.0","5,531.0","13,650.0","28,542.0","23,161.0","1,392.0","4,214.0","18,757.0","35,154.0","40,644.0","22,059.0","22,232.0","927.0","4,816.0","38,271.0","39,655.0","31,729.0","21,726.0","30,400.0","38,692.0","24,763.0","5,412.0","18,412.0","46,361.0","72,354.0","98,915.0","119,870.0","156,531.0","198,220.0","242,330.0","266,865.0","189,230.0","120,169.0","115,086.0","151,280.0","193,343.0","228,001.0","224,536.0","163,267.0","-15,997.0"
"37","19","    Residential","A011RX1","263,991.0","248,204.0","316,266.0","372,475.0","370,082.0","293,685.0","255,555.0","315,740.0","383,521.0","407,669.0","392,711.0","309,610.0","284,789.0","233,082.0","329,565.0","378,478.0","384,466.0","431,643.0","440,257.0","435,795.0","422,564.0","386,103.0","349,001.0","397,291.0","429,737.0","471,516.0","456,087.0","492,511.0","501,824.0","540,427.0","574,219.0","579,963.0","583,250.0","613,836.0","664,316.0","729,509.0","774,950.0","718,214.0","584,161.0","444,235.0","342,686.0"
"38","20","    Less: Consumption of fixed capital","A754RX1","82,138.0","85,158.0","88,539.0","92,756.0","97,297.0","101,199.0","104,130.0","107,044.0","110,748.0","115,078.0","119,526.0","123,316.0","126,317.0","128,658.0","131,223.0","134,828.0","138,894.0","143,391.0","148,254.0","153,042.0","157,540.0","161,503.0","164,787.0","167,952.0","171,734.0","176,129.0","180,788.0","185,648.0","190,699.0","196,008.0","201,734.0","207,627.0","213,442.0","219,408.0","225,857.0","232,786.0","239,683.0","246,540.0","252,585.0","256,549.0","258,719.0"
"39","21","    Equals: Net residential","A748RX1","181,853.0","163,047.0","227,727.0","279,719.0","272,785.0","192,486.0","151,425.0","208,696.0","272,772.0","292,592.0","273,185.0","186,294.0","158,473.0","104,424.0","198,342.0","243,650.0","245,572.0","288,251.0","292,003.0","282,753.0","265,025.0","224,600.0","184,214.0","229,339.0","258,003.0","295,387.0","275,299.0","306,863.0","311,126.0","344,419.0","372,485.0","372,336.0","369,808.0","394,428.0","438,458.0","496,722.0","535,267.0","471,674.0","331,576.0","187,686.0","83,967.0"
"40","22","  Change in private inventories","A014RX1","30,279.0","5,605.0","24,989.0","25,674.0","39,010.0","29,070.0","-12,777.0","34,260.0","43,103.0","45,578.0","27,977.0","-9,328.0","38,959.0","-19,678.0","-7,650.0","78,263.0","25,419.0","8,491.0","33,196.0","21,918.0","30,620.0","16,566.0","-1,428.0","17,898.0","22,250.0","69,285.0","32,072.0","31,183.0","77,370.0","71,625.0","68,533.0","60,233.0","-41,771.0","12,769.0","17,339.0","66,326.0","49,953.0","59,423.0","27,725.0","-37,628.0","-113,124.0"
"41","23","Gross government investment \1\","A782RX1","174,409.0","162,350.0","145,058.0","135,432.0","139,390.0","146,151.0","148,873.0","151,054.0","146,606.0","157,938.0","167,712.0","172,560.0","167,321.0","165,318.0","178,037.0","200,028.0","227,449.0","248,236.0","262,347.0","260,868.0","271,235.0","288,830.0","290,139.0","292,710.0","281,987.0","277,175.0","283,863.0","294,587.0","302,714.0","313,296.0","336,535.0","347,475.0","362,524.0","382,454.0","391,639.0","395,121.0","392,015.0","404,825.0","411,557.0","429,368.0","430,298.0"
"42","24","Less: Consumption of fixed capital","A264RX1","96,915.0","98,133.0","97,861.0","97,028.0","96,743.0","97,378.0","98,796.0","100,617.0","102,385.0","104,240.0","106,607.0","109,630.0","112,829.0","116,322.0","120,628.0","126,399.0","133,780.0","141,963.0","150,072.0","157,461.0","164,766.0","172,410.0","179,339.0","185,148.0","189,737.0","192,997.0","195,848.0","199,192.0","202,887.0","207,622.0","213,764.0","220,007.0","225,438.0","230,954.0","236,784.0","243,916.0","250,565.0","257,436.0","265,382.0","274,253.0","283,186.0"
"43","25","Equals: Net government investment","A889RX1","77,495.0","64,216.0","47,197.0","38,404.0","42,647.0","48,773.0","50,077.0","50,437.0","44,222.0","53,697.0","61,105.0","62,930.0","54,492.0","48,996.0","57,409.0","73,629.0","93,668.0","106,273.0","112,275.0","103,407.0","106,469.0","116,419.0","110,800.0","107,562.0","92,249.0","84,178.0","88,014.0","95,395.0","99,828.0","105,674.0","122,771.0","127,468.0","137,087.0","151,500.0","154,854.0","151,205.0","141,450.0","147,389.0","146,175.0","155,115.0","147,112.0"
"44","26","          Federal","A890RX1","-8,904.0","-11,941.0","-20,613.0","-23,020.0","-19,135.0","-14,093.0","-11,206.0","-8,637.0","-7,981.0","-6,442.0","-3,885.0","-2,013.0","-448.0","745.0","6,721.0","10,774.0","17,977.0","22,431.0","25,861.0","14,362.0","12,492.0","13,165.0","7,931.0","5,887.0","-2,690.0","-10,897.0","-11,414.0","-9,610.0","-15,584.0","-12,029.0","-8,626.0","-11,793.0","-10,157.0","-1,118.0","3,814.0","7,692.0","10,026.0","15,220.0","16,727.0","27,260.0","29,754.0"
"45","27","            National defense","B891RX1","-12,319.0","-14,721.0","-24,324.0","-27,057.0","-23,157.0","-18,128.0","-15,321.0","-13,265.0","-12,937.0","-13,254.0","-9,951.0","-8,651.0","-6,455.0","-3,613.0","1,103.0","4,749.0","11,552.0","16,317.0","18,613.0","9,332.0","6,962.0","6,587.0","291.0","-3,593.0","-12,203.0","-15,987.0","-17,435.0","-16,889.0","-21,386.0","-19,494.0","-16,996.0","-15,390.0","-12,420.0","-5,463.0","-418.0","4,142.0","5,519.0","8,738.0","11,076.0","20,081.0","22,290.0"
"46","28","            Nondefense","B892RX1","3,760.0","3,033.0","3,355.0","3,575.0","3,671.0","3,758.0","3,940.0","4,539.0","4,926.0","6,965.0","6,168.0","6,823.0","6,217.0","4,511.0","5,838.0","6,241.0","6,558.0","6,169.0","7,286.0","4,983.0","5,429.0","6,442.0","7,360.0","9,095.0","9,051.0","4,705.0","5,659.0","6,963.0","5,531.0","7,268.0","8,253.0","3,510.0","2,212.0","4,318.0","4,224.0","3,550.0","4,507.0","6,483.0","5,640.0","7,134.0","7,406.0"
"47","29","          State and local","B893RX1","95,039.0","84,376.0","78,904.0","73,104.0","72,037.0","71,277.0","68,414.0","64,693.0","56,085.0","64,841.0","69,302.0","68,209.0","55,633.0","46,973.0","46,955.0","58,797.0","69,994.0","76,732.0","77,740.0","82,718.0","87,970.0","97,368.0","97,765.0","96,706.0","91,299.0","93,382.0","98,341.0","104,033.0","116,283.0","118,181.0","132,024.0","140,635.0","148,752.0","153,540.0","151,579.0","143,680.0","131,424.0","132,257.0","129,748.0","129,158.0","119,498.0"
"48","30","  Structures","A760RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","201,304.0","209,551.0","219,252.0","219,124.0","232,047.0","239,444.0","251,131.0","262,976.0","265,908.0","259,038.0","246,477.0","247,729.0","246,109.0","248,389.0","248,593.0"
"49","31","  Less: Consumption of fixed capital","B894RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","102,945.0","104,905.0","106,785.0","108,842.0","110,959.0","113,214.0","115,548.0","118,082.0","120,724.0","123,292.0","125,518.0","127,102.0","129,246.0","131,337.0","133,423.0"
"50","32","  Equals: Net structures","A895RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","98,359.0","104,646.0","112,466.0","110,282.0","121,088.0","126,230.0","135,583.0","144,894.0","145,184.0","135,745.0","120,959.0","120,627.0","116,863.0","117,052.0","115,170.0"
"51","33","            Federal","A896RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","4,436.0","3,652.0","863.0","984.0","-460.0","-4,300.0","-5,048.0","-2,566.0","-904.0","-3,472.0","-5,344.0","-4,190.0","-1,915.0","-1,307.0","3,117.0"
"52","34","              National defense","B897RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-2,068.0","-2,861.0","-3,303.0","-3,841.0","-4,644.0","-4,820.0","-5,054.0","-4,498.0","-2,926.0","-3,507.0","-3,778.0","-3,688.0","-2,273.0","-1,404.0","2,457.0"
"53","35","              Nondefense","B898RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","6,524.0","6,503.0","4,159.0","4,805.0","4,158.0","518.0","5.0","1,927.0","2,020.0","35.0","-1,566.0","-501.0","357.0","97.0","678.0"
"54","36","            State and local","B899RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","93,826.0","100,925.0","111,577.0","109,269.0","121,530.0","130,529.0","140,632.0","147,457.0","146,081.0","139,216.0","126,303.0","124,819.0","118,831.0","118,446.0","112,434.0"
"55","37","  Equipment and software","A871RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","85,642.0","88,490.0","88,465.0","96,743.0","106,255.0","109,814.0","113,542.0","121,386.0","127,187.0","136,552.0","145,538.0","157,347.0","166,426.0","183,669.0","184,482.0"
"56","38","  Less: Consumption of fixed capital","B900RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","93,730.0","95,196.0","97,005.0","99,578.0","103,341.0","107,116.0","110,128.0","113,067.0","116,214.0","120,671.0","125,047.0","130,398.0","136,406.0","143,611.0","150,978.0"
"57","39","  Equals: Net equipment and software","A901RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-8,088.0","-6,707.0","-8,540.0","-2,835.0","2,914.0","2,697.0","3,414.0","8,319.0","10,974.0","15,881.0","20,491.0","26,949.0","30,020.0","40,057.0","33,505.0"
"58","40","            Federal","A902RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-13,085.0","-10,911.0","-14,595.0","-11,337.0","-7,051.0","-7,154.0","-4,981.0","1,721.0","5,103.0","11,245.0","15,370.0","19,395.0","18,413.0","28,443.0","25,837.0"
"59","41","              National defense","B905RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-14,332.0","-13,300.0","-17,314.0","-15,117.0","-12,117.0","-10,431.0","-7,346.0","-982.0","2,616.0","7,663.0","9,297.0","12,432.0","13,238.0","21,364.0","19,214.0"
"60","42","              Nondefense","B906RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","824.0","1,954.0","2,208.0","3,316.0","4,674.0","3,018.0","2,210.0","2,642.0","2,476.0","3,588.0","6,073.0","6,958.0","5,130.0","6,982.0","6,545.0"
"61","43","            State and local","B907RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","4,426.0","3,860.0","5,400.0","7,858.0","9,429.0","9,355.0","8,029.0","6,440.0","5,789.0","4,628.0","5,121.0","7,558.0","11,687.0","11,578.0","7,589.0"
"62",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
