"","Table 3#9#5# Government Consumption Expenditures and Gross Inves","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92"
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1"
"20","1","    Government consumption expenditures and gross investment","A822RC1","36,265.0","36,567.0","36,324.0","36,197.0","37,525.0","39,675.0","41,370.0","43,440.0","45,538.0","47,262.0","47,147.0","46,590.0","45,527.0","46,035.0","45,844.0","49,451.0","57,336.0","64,702.0","72,581.0","77,598.0","79,145.0","83,031.0","84,847.0","87,315.0","89,634.0","91,779.0","90,248.0","90,394.0","88,541.0","86,198.0","84,812.0","84,972.0","85,393.0","86,014.0","87,617.0","86,742.0","88,179.0","91,446.0","91,507.0","94,348.0","98,129.0","98,416.0","99,834.0","102,257.0","101,811.0","105,415.0","106,925.0","109,682.0","108,832.0","110,165.0","110,990.0","109,991.0","108,241.0","109,515.0","113,348.0","115,089.0","116,670.0","117,587.0","120,135.0","123,604.0","127,121.0","128,283.0","131,784.0","133,165.0","133,145.0","133,396.0","138,963.0","139,900.0","141,331.0","142,869.0","144,389.0","144,265.0","144,856.0","147,378.0","153,994.0","159,558.0","163,573.0","167,875.0","175,494.0","179,580.0","188,472.0","189,553.0","193,792.0","198,215.0","204,140.0","207,597.0","210,949.0","214,561.0","216,549.0"
"21","2","      Consumption expenditures \1\","A955RC1","32,008.0","32,274.0","31,612.0","31,071.0","31,277.0","32,977.0","34,240.0","35,445.0","36,973.0","37,741.0","36,830.0","36,210.0","36,496.0","36,684.0","35,613.0","38,868.0","44,362.0","48,472.0","53,591.0","55,296.0","57,290.0","61,060.0","62,374.0","64,376.0","65,698.0","67,155.0","65,943.0","67,296.0","64,761.0","62,995.0","63,138.0","63,580.0","64,394.0","64,120.0","66,871.0","66,478.0","66,410.0","69,201.0","67,611.0","70,621.0","73,891.0","74,503.0","75,223.0","77,512.0","76,701.0","80,152.0","79,592.0","81,458.0","78,306.0","80,661.0","81,644.0","82,161.0","80,553.0","81,976.0","84,373.0","86,225.0","85,310.0","87,624.0","88,942.0","90,805.0","94,085.0","95,629.0","98,047.0","99,432.0","100,171.0","100,570.0","104,120.0","105,985.0","107,107.0","108,245.0","109,634.0","109,363.0","110,623.0","112,602.0","117,501.0","122,840.0","124,911.0","129,697.0","135,223.0","137,543.0","145,023.0","147,507.0","150,635.0","154,959.0","161,017.0","163,583.0","167,116.0","170,982.0","171,190.0"
"22","3","      Gross investment \2\","A782RC1","4,257.0","4,293.0","4,712.0","5,126.0","6,248.0","6,698.0","7,130.0","7,995.0","8,565.0","9,521.0","10,317.0","10,380.0","9,031.0","9,351.0","10,231.0","10,583.0","12,974.0","16,230.0","18,990.0","22,302.0","21,855.0","21,971.0","22,473.0","22,939.0","23,936.0","24,624.0","24,305.0","23,098.0","23,780.0","23,203.0","21,674.0","21,392.0","20,999.0","21,894.0","20,746.0","20,264.0","21,769.0","22,245.0","23,896.0","23,727.0","24,238.0","23,913.0","24,611.0","24,745.0","25,110.0","25,263.0","27,333.0","28,224.0","30,526.0","29,504.0","29,346.0","27,830.0","27,688.0","27,539.0","28,975.0","28,864.0","31,360.0","29,963.0","31,193.0","32,799.0","33,036.0","32,654.0","33,737.0","33,733.0","32,974.0","32,826.0","34,843.0","33,915.0","34,224.0","34,624.0","34,755.0","34,902.0","34,233.0","34,776.0","36,493.0","36,718.0","38,662.0","38,178.0","40,271.0","42,037.0","43,449.0","42,046.0","43,157.0","43,256.0","43,123.0","44,014.0","43,833.0","43,579.0","45,359.0"
"23","4","        Structures","A760RC1","2,402.0","2,730.0","3,226.0","3,678.0","3,918.0","4,486.0","4,982.0","5,158.0","5,550.0","6,190.0","6,706.0","6,922.0","6,540.0","6,808.0","7,076.0","7,628.0","8,318.0","9,494.0","10,042.0","10,330.0","10,747.0","10,971.0","11,259.0","11,439.0","11,829.0","11,505.0","11,525.0","11,773.0","12,200.0","12,080.0","12,148.0","12,016.0","11,959.0","12,067.0","12,003.0","12,011.0","12,603.0","13,279.0","13,783.0","13,911.0","14,656.0","14,780.0","14,936.0","15,116.0","15,772.0","15,944.0","16,760.0","17,528.0","17,750.0","17,453.0","16,687.0","15,534.0","15,738.0","16,308.0","17,054.0","17,300.0","18,449.0","17,222.0","17,502.0","18,887.0","18,376.0","18,550.0","18,583.0","19,031.0","19,390.0","19,542.0","20,800.0","19,980.0","20,461.0","21,161.0","21,294.0","21,308.0","21,290.0","22,363.0","23,618.0","24,113.0","24,606.0","24,788.0","24,927.0","26,019.0","26,807.0","26,194.0","26,015.0","26,800.0","27,601.0","28,626.0","28,737.0","29,228.0","29,267.0"
"24","5","        Equipment and software","A871RC1","1,855.0","1,563.0","1,486.0","1,448.0","2,330.0","2,212.0","2,148.0","2,837.0","3,015.0","3,331.0","3,611.0","3,458.0","2,491.0","2,543.0","3,155.0","2,955.0","4,656.0","6,736.0","8,948.0","11,972.0","11,108.0","11,000.0","11,214.0","11,500.0","12,107.0","13,119.0","12,780.0","11,325.0","11,580.0","11,123.0","9,526.0","9,376.0","9,040.0","9,827.0","8,743.0","8,253.0","9,166.0","8,966.0","10,113.0","9,816.0","9,582.0","9,133.0","9,675.0","9,629.0","9,338.0","9,319.0","10,573.0","10,696.0","12,776.0","12,051.0","12,659.0","12,296.0","11,950.0","11,231.0","11,921.0","11,564.0","12,911.0","12,741.0","13,691.0","13,912.0","14,660.0","14,104.0","15,154.0","14,702.0","13,584.0","13,284.0","14,043.0","13,935.0","13,763.0","13,463.0","13,461.0","13,594.0","12,943.0","12,413.0","12,875.0","12,605.0","14,056.0","13,390.0","15,344.0","16,018.0","16,642.0","15,852.0","17,142.0","16,456.0","15,522.0","15,388.0","15,096.0","14,351.0","16,092.0"
"25","6","Federal","A823RC1","23,292.0","23,192.0","22,344.0","21,532.0","22,356.0","23,744.0","24,568.0","25,956.0","27,520.0","28,520.0","27,656.0","26,856.0","25,488.0","25,680.0","24,872.0","27,848.0","35,200.0","41,796.0","49,140.0","53,892.0","55,348.0","58,436.0","60,436.0","62,364.0","63,880.0","66,152.0","63,940.0","63,496.0","60,756.0","57,664.0","55,320.0","55,176.0","54,580.0","54,676.0","55,800.0","54,348.0","54,692.0","57,084.0","56,388.0","58,512.0","61,016.0","60,440.0","61,152.0","62,652.0","61,184.0","63,840.0","64,192.0","65,996.0","64,288.0","65,428.0","66,212.0","65,376.0","62,420.0","62,352.0","65,268.0","66,272.0","66,020.0","66,804.0","68,568.0","70,172.0","73,372.0","73,904.0","76,612.0","77,048.0","75,504.0","74,908.0","78,780.0","78,388.0","78,616.0","78,400.0","78,912.0","77,808.0","77,100.0","77,500.0","81,540.0","85,476.0","87,552.0","89,968.0","95,580.0","96,548.0","103,028.0","102,740.0","105,444.0","107,284.0","110,148.0","110,620.0","111,704.0","112,580.0","112,144.0"
"26","7","    Consumption expenditures","A957RC1","21,676.0","21,580.0","20,524.0","19,556.0","19,520.0","20,932.0","21,700.0","22,476.0","23,700.0","24,312.0","22,984.0","22,140.0","22,004.0","22,004.0","20,596.0","23,536.0","28,732.0","32,620.0","37,348.0","38,700.0","40,768.0","43,740.0","45,252.0","46,872.0","47,664.0","49,156.0","47,560.0","48,764.0","45,824.0","43,572.0","43,036.0","43,212.0","43,300.0","42,784.0","45,204.0","44,352.0","43,856.0","46,104.0","43,860.0","46,268.0","49,104.0","49,008.0","49,020.0","50,700.0","49,100.0","51,740.0","50,604.0","51,972.0","48,260.0","50,176.0","50,696.0","50,652.0","48,088.0","48,584.0","50,544.0","51,720.0","49,820.0","51,140.0","52,172.0","53,308.0","55,952.0","56,884.0","58,864.0","59,556.0","59,508.0","59,096.0","61,796.0","62,680.0","62,736.0","62,916.0","63,420.0","62,116.0","62,284.0","63,088.0","66,636.0","70,780.0","71,252.0","74,512.0","78,328.0","78,880.0","85,024.0","85,976.0","87,116.0","89,708.0","93,592.0","94,388.0","95,820.0","97,372.0","95,332.0"
"27","8","    Gross investment","A787RC1","1,616.0","1,612.0","1,820.0","1,976.0","2,836.0","2,812.0","2,868.0","3,480.0","3,820.0","4,208.0","4,672.0","4,716.0","3,484.0","3,676.0","4,276.0","4,312.0","6,468.0","9,176.0","11,792.0","15,192.0","14,580.0","14,696.0","15,184.0","15,492.0","16,216.0","16,996.0","16,380.0","14,732.0","14,932.0","14,092.0","12,284.0","11,964.0","11,280.0","11,892.0","10,596.0","9,996.0","10,836.0","10,980.0","12,528.0","12,244.0","11,912.0","11,432.0","12,132.0","11,952.0","12,084.0","12,100.0","13,588.0","14,024.0","16,028.0","15,252.0","15,516.0","14,724.0","14,332.0","13,768.0","14,724.0","14,552.0","16,200.0","15,664.0","16,396.0","16,864.0","17,420.0","17,020.0","17,748.0","17,492.0","15,996.0","15,812.0","16,984.0","15,708.0","15,880.0","15,484.0","15,492.0","15,692.0","14,816.0","14,412.0","14,904.0","14,696.0","16,300.0","15,456.0","17,252.0","17,668.0","18,004.0","16,764.0","18,328.0","17,576.0","16,556.0","16,232.0","15,884.0","15,208.0","16,812.0"
"28","9","      Structures","A801RC1","52.0","356.0","656.0","864.0","948.0","1,024.0","1,144.0","1,072.0","1,208.0","1,316.0","1,536.0","1,760.0","1,468.0","1,608.0","1,600.0","1,836.0","2,360.0","2,988.0","3,392.0","3,768.0","4,060.0","4,288.0","4,568.0","4,592.0","4,740.0","4,508.0","4,232.0","4,040.0","4,044.0","3,672.0","3,480.0","3,332.0","2,972.0","2,828.0","2,632.0","2,512.0","2,540.0","2,896.0","3,320.0","3,352.0","3,356.0","3,352.0","3,532.0","3,416.0","3,768.0","3,816.0","4,068.0","4,424.0","4,308.0","4,276.0","3,948.0","3,536.0","3,568.0","3,752.0","4,032.0","4,240.0","4,528.0","4,184.0","3,976.0","4,228.0","4,088.0","4,256.0","3,944.0","4,156.0","3,892.0","4,052.0","4,508.0","3,384.0","3,804.0","3,756.0","3,808.0","3,928.0","3,692.0","3,872.0","3,948.0","4,060.0","4,256.0","4,160.0","4,068.0","3,884.0","3,584.0","3,176.0","3,460.0","3,428.0","3,392.0","3,240.0","3,264.0","3,416.0","3,340.0"
"29","10","      Equipment and software","A872RC1","1,564.0","1,256.0","1,164.0","1,112.0","1,888.0","1,788.0","1,724.0","2,408.0","2,612.0","2,892.0","3,136.0","2,956.0","2,016.0","2,068.0","2,676.0","2,476.0","4,108.0","6,188.0","8,400.0","11,424.0","10,520.0","10,408.0","10,616.0","10,900.0","11,476.0","12,488.0","12,148.0","10,692.0","10,888.0","10,420.0","8,804.0","8,632.0","8,308.0","9,064.0","7,964.0","7,484.0","8,296.0","8,084.0","9,208.0","8,892.0","8,556.0","8,080.0","8,600.0","8,536.0","8,316.0","8,284.0","9,520.0","9,600.0","11,720.0","10,976.0","11,568.0","11,188.0","10,764.0","10,016.0","10,692.0","10,312.0","11,672.0","11,480.0","12,420.0","12,636.0","13,332.0","12,764.0","13,804.0","13,336.0","12,104.0","11,760.0","12,476.0","12,324.0","12,076.0","11,728.0","11,684.0","11,764.0","11,124.0","10,540.0","10,956.0","10,636.0","12,044.0","11,296.0","13,184.0","13,784.0","14,420.0","13,588.0","14,868.0","14,148.0","13,164.0","12,992.0","12,620.0","11,792.0","13,472.0"
