"","Table 3#18B# Relation of Federal Government Current Receipts and","F2","F3","F4","F5"
"51","31","          Loan disbursements less loan repayments and sales","M318321","7,665.0","3,203.0"
"52","32","          Deposit insurance","B1069C1","0.0","0.0"
"53","33","          Net purchases of foreign currency","M318341","730.0","344.0"
"54","34","          Other","M318351","-157.0","-346.0"
"55","35","        Net purchases of nonproduced assets","M318361","-609.0","-101.0"
"56","36","          Outer Continental Shelf","M318371","-892.0","-342.0"
"57","37","          Land and other \9\","M318381","283.0","241.0"
"58","38","        Other \10\","M318391","-60.0","-15.0"
"59","39","Less: Netting and grossing differences","M318401","-3,688.0","-4,649.0"
"60","40","        Supplementary medical insurance premiums","M318411",".....","....."
"61","41","        Interest receipts","W706MC1","-2,466.0","-2,458.0"
"62","42","        Current surplus of government enterprises","W707MC1","500.0","406.0"
"63","43","        Other \4\","M318431","-1,722.0","-2,597.0"
"64","44","Plus: Timing differences","M318441","-1,613.0","-818.0"
"65","45","        Purchases (increase in payables net of advances)","M318451","-2,475.0","-1,365.0"
"66","46","        Interest payments","M318461","208.0","132.0"
"67","47","        Current transfer payments","M318471","424.0","134.0"
"68","48","        Other \11\","W708MC1","230.0","281.0"
"69","49","Equals: Federal government current expenditures, NIPAs","M318491","164,916.0","178,210.0"
"70",NA,"      Net federal government saving"," ",NA,NA
"71","50","Budget surplus or deficit (-) (1-19)","M318501","-25,162.0","3,244.0"
"72","51","Plus: Net investment (28)","M318511","2,909.0","541.0"
"73","52","Less: Net capital transfers received (4-29)","M318521","-2,105.0","-2,640.0"
"74","53","      Federal employee retirement plans (3-21)","M318531","-777.0","-1,178.0"
"75","54","      Other coverage differences (5+6-26-27-30-35-38)","M318541","-6,082.0","-755.0"
"76","55","      Timing differences (44-12)","M318551","-4,722.0","425.0"
"77","56","Equals: Federal government saving, national income and product accounts (18-49)","M318561","-8,567.0","7,933.0"
"78",NA,NA,NA,NA,NA
"79","1. These transactions are included in the NIPA personal sector.  Beginning with October 2002, the",NA,NA,NA,NA
"80","transactions include the Uniformed Services Retiree Health Care Fund.",NA,NA,NA,NA
"81","2. Consists of estate and gift taxes.",NA,NA,NA,NA
"82","3. Beginning with 1996, consists largely of Universal Service Fund receipts; prior to 1996 consisted",NA,NA,NA,NA
"83","largely of U.S. Treasury receipts from sales of foreign currencies to government agencies. Includes",NA,NA,NA,NA
"84","certain revenues collected from and repaid to U.S. territories and the Commonwealths of Puerto Rico",NA,NA,NA,NA
"85","and Northern Mariana Islands.",NA,NA,NA,NA
"86","4. Includes proprietary receipts that are netted against outlays in the budget and that are classified",NA,NA,NA,NA
"87","as receipts in the NIPAs.  Also includes some transactions that are not reflected in the budget data but",NA,NA,NA,NA
"88","that are added to both receipts and expenditures in the NIPAs.",NA,NA,NA,NA
"89","5. Consists of transactions (not included in the budget totals) that record all cash flows arising from",NA,NA,NA,NA
"90","post-1991 direct loan obligations and loan guarantee commitments.  Many of these flows are for new loans",NA,NA,NA,NA
"91","or loan repayments; consequently, related entries are included in ""Loan disbursements less loan",NA,NA,NA,NA
"92","repayments and sales.""",NA,NA,NA,NA
"93","6. Consists largely of agencies or accounts such as the Postal Service and the Federal Financing Bank that",NA,NA,NA,NA
"94","were not included in the budget in some time periods, and beginning with 1996, the Universal Service Fund.",NA,NA,NA,NA
"95","Includes repayments of certain collections from the U.S. territories and the Commonwealths of Puerto Rico",NA,NA,NA,NA
"96","and Northern Mariana Islands.",NA,NA,NA,NA
"97","7. Net investment is gross investment less consumption of fixed capital for government enterprises and",NA,NA,NA,NA
"98","general government.",NA,NA,NA,NA
"99","8. Consists of investment grants to state and local governments and maritime construction subsidies.  Does",NA,NA,NA,NA
"100","not include the forgiveness of debts owed by foreign governments to the U.S. government or payments to the",NA,NA,NA,NA
"101","Uniformed Services Retiree Health Care Fund to amortize unfunded liability; both are classified as capital",NA,NA,NA,NA
"102","transfers paid by the United States and are excluded from both budget outlays and NIPA current expenditures.",NA,NA,NA,NA
"103","9. Consists of net sales of land other than the Outer Continental Shelf and, beginning with 1995, includes",NA,NA,NA,NA
"104","the auction of the radio spectrum.",NA,NA,NA,NA
"105","10. Consists largely of net expenditures of foreign currencies.",NA,NA,NA,NA
"106","11. Primarily includes timing on subsidies and government enterprises.",NA,NA,NA,NA
"107","Note. Through 1976, fiscal year estimates reflect a July 1-June 30 federal fiscal year.  Beginning with 1977,",NA,NA,NA,NA
"108","fiscal year estimates reflect an October 1-September 30 federal fiscal year.  NIPA quarterly and fiscal year",NA,NA,NA,NA
"109","estimates in this table are consistent with the not seasonally adjusted estimates in table 3.22.",NA,NA,NA,NA
"110","NIPAs National income and product accounts",NA,NA,NA,NA
