"","Table 1#5#6# Real Gross Domestic Product, Expanded Detail, Chain","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68"
"71","52","      Consumption expenditures","A997RX1","430,031.0","428,842.0","427,080.0","412,125.0","416,614.0","422,996.0","415,720.0","418,806.0","407,814.0","418,138.0","410,158.0","412,847.0","390,469.0","404,630.0","405,025.0","404,839.0","402,653.0","397,903.0","408,316.0","421,429.0","393,370.0","414,372.0","403,424.0","404,298.0","413,320.0","416,361.0","419,223.0","425,263.0","435,721.0","441,588.0","446,462.0","459,554.0","455,403.0","496,202.0","487,648.0","497,085.0","505,584.0","507,036.0","518,905.0","505,904.0","512,509.0","513,555.0","526,879.0","506,405.0","519,178.0","515,937.0","516,728.0","524,460.0","515,868.0","522,335.0","536,777.0","536,963.0","546,984.0","547,354.0","572,982.0","580,967.0","571,695.0","592,633.0","604,039.0","598,504.0","598,944.0","606,817.0","619,808.0","609,069.0","597,014.0"
"72","53","      Gross investment","A788RX1","54,264.0","54,470.0","51,432.0","50,914.0","54,456.0","54,729.0","52,323.0","47,682.0","44,270.0","44,752.0","49,053.0","48,991.0","44,381.0","46,698.0","50,890.0","48,165.0","45,455.0","49,346.0","51,888.0","50,402.0","49,930.0","49,928.0","50,878.0","50,458.0","49,757.0","52,735.0","53,984.0","54,499.0","54,533.0","59,479.0","62,803.0","61,747.0","61,793.0","64,804.0","66,552.0","68,075.0","68,039.0","69,553.0","74,296.0","72,522.0","71,067.0","74,466.0","76,839.0","74,468.0","76,414.0","81,365.0","77,587.0","82,132.0","79,518.0","85,250.0","85,693.0","85,545.0","85,819.0","96,746.0","100,698.0","101,214.0","95,480.0","101,101.0","104,837.0","106,000.0","106,187.0","111,223.0","112,940.0","120,184.0","109,316.0"
"73","54","    Nondefense","A825RX1","231,424.0","229,453.0","230,349.0","218,877.0","224,028.0","227,498.0","225,176.0","226,155.0","231,659.0","233,171.0","233,119.0","229,734.0","235,331.0","237,253.0","226,160.0","236,252.0","237,109.0","236,872.0","238,071.0","242,716.0","242,091.0","249,142.0","244,851.0","241,335.0","248,098.0","256,767.0","257,400.0","259,722.0","266,954.0","273,172.0","276,969.0","278,566.0","282,822.0","278,028.0","285,392.0","280,608.0","283,050.0","284,893.0","283,229.0","287,125.0","285,632.0","282,012.0","286,668.0","294,700.0","304,957.0","295,660.0","297,746.0","287,837.0","288,186.0","291,539.0","297,307.0","299,786.0","304,831.0","311,895.0","314,205.0","325,236.0","327,331.0","335,931.0","335,187.0","339,771.0","343,952.0","354,499.0","362,616.0","365,892.0","366,005.0"
"74","55","      Consumption expenditures","A542RX1","204,239.0","203,894.0","204,095.0","192,549.0","194,887.0","197,383.0","194,843.0","197,807.0","202,331.0","203,734.0","203,536.0","203,006.0","203,147.0","204,156.0","193,486.0","204,160.0","203,545.0","201,131.0","202,916.0","203,896.0","209,197.0","217,042.0","212,807.0","210,723.0","217,012.0","225,517.0","226,355.0","227,860.0","232,922.0","239,192.0","242,403.0","244,259.0","249,097.0","242,882.0","250,358.0","246,185.0","249,099.0","249,788.0","248,785.0","252,962.0","251,430.0","247,872.0","249,883.0","254,819.0","264,429.0","257,254.0","259,047.0","249,157.0","249,674.0","252,191.0","257,145.0","259,802.0","264,277.0","270,086.0","271,434.0","281,378.0","284,481.0","292,695.0","290,658.0","294,477.0","296,611.0","305,284.0","311,271.0","313,312.0","313,356.0"
"75","56","      Gross investment","A798RX1","27,854.0","26,621.0","27,147.0","26,789.0","29,037.0","29,870.0","29,951.0","28,502.0","29,422.0","29,550.0","29,659.0","27,321.0","31,778.0","32,546.0","31,912.0","31,689.0","32,887.0","34,654.0","34,203.0","37,350.0","32,407.0","31,900.0","31,773.0","30,494.0","31,013.0","31,307.0","31,140.0","31,888.0","33,919.0","33,948.0","34,520.0","34,298.0","33,792.0","35,081.0","35,025.0","34,416.0","33,977.0","35,114.0","34,456.0","34,181.0","34,204.0","34,135.0","36,781.0","39,887.0","40,539.0","38,409.0","38,710.0","38,721.0","38,546.0","39,401.0","40,217.0","40,013.0","40,577.0","41,850.0","42,854.0","43,912.0","42,806.0","43,130.0","44,544.0","45,323.0","47,517.0","49,439.0","51,679.0","52,998.0","53,073.0"
"76","57","  State and local","A829RX1","1,174,843.0","1,184,100.0","1,184,842.0","1,190,686.0","1,188,229.0","1,205,414.0","1,216,286.0","1,234,629.0","1,247,644.0","1,252,095.0","1,256,622.0","1,260,861.0","1,271,060.0","1,294,722.0","1,319,030.0","1,330,234.0","1,345,202.0","1,353,724.0","1,365,654.0","1,382,746.0","1,393,984.0","1,394,221.0","1,401,388.0","1,410,986.0","1,427,331.0","1,456,513.0","1,447,748.0","1,477,614.0","1,494,031.0","1,498,086.0","1,504,195.0","1,506,253.0","1,501,219.0","1,496,591.0","1,502,664.0","1,498,207.0","1,498,441.0","1,502,168.0","1,495,673.0","1,492,013.0","1,490,679.0","1,492,413.0","1,493,513.0","1,497,725.0","1,496,637.0","1,506,287.0","1,510,751.0","1,515,045.0","1,522,861.0","1,527,761.0","1,528,448.0","1,533,329.0","1,532,186.0","1,535,125.0","1,536,184.0","1,526,821.0","1,520,126.0","1,523,813.0","1,520,022.0","1,511,194.0","1,496,767.0","1,499,064.0","1,501,655.0","1,491,945.0","1,479,298.0"
"77","58","    Consumption expenditures","A991RX1","976,265.0","981,001.0","984,906.0","989,915.0","989,528.0","1,000,663.0","1,004,090.0","1,009,894.0","1,014,845.0","1,022,469.0","1,031,876.0","1,041,733.0","1,053,755.0","1,065,914.0","1,077,178.0","1,086,197.0","1,096,704.0","1,105,173.0","1,114,044.0","1,121,959.0","1,124,967.0","1,130,813.0","1,136,121.0","1,142,899.0","1,153,970.0","1,166,137.0","1,178,783.0","1,191,664.0","1,203,322.0","1,211,137.0","1,215,577.0","1,215,057.0","1,211,419.0","1,208,792.0","1,205,735.0","1,204,135.0","1,205,980.0","1,207,204.0","1,207,180.0","1,209,132.0","1,210,203.0","1,210,732.0","1,213,720.0","1,213,461.0","1,214,056.0","1,216,537.0","1,222,311.0","1,229,983.0","1,235,480.0","1,239,849.0","1,240,599.0","1,243,359.0","1,241,615.0","1,240,191.0","1,241,330.0","1,237,829.0","1,235,693.0","1,234,675.0","1,229,528.0","1,228,444.0","1,225,070.0","1,222,295.0","1,217,851.0","1,214,748.0","1,213,081.0"
"78","59","    Gross investment","A799RX1","199,912.0","204,255.0","201,303.0","202,157.0","200,198.0","206,056.0","213,139.0","225,140.0","232,947.0","229,996.0","225,418.0","220,140.0","218,530.0","229,646.0","242,240.0","244,427.0","248,829.0","248,961.0","251,999.0","260,998.0","269,059.0","263,590.0","265,433.0","268,230.0","273,468.0","290,344.0","269,160.0","285,987.0","290,730.0","287,054.0","288,714.0","291,272.0","289,852.0","287,814.0","297,108.0","294,190.0","292,525.0","295,073.0","288,525.0","282,891.0","280,481.0","281,686.0","279,796.0","284,248.0","282,548.0","289,696.0","288,409.0","285,128.0","287,426.0","287,969.0","287,905.0","289,975.0","290,537.0","294,828.0","294,745.0","289,029.0","284,697.0","289,131.0","290,380.0","282,889.0","272,098.0","277,044.0","283,883.0","277,411.0","266,596.0"
"79","60","Residual","AR05RX1","-304,700.0","-297,700.0","-282,500.0","-265,000.0","-265,000.0","-253,800.0","-238,000.0","-228,000.0","-218,700.0","-203,800.0","-183,600.0","-176,800.0","-157,200.0","-157,000.0","-149,700.0","-128,000.0","-112,900.0","-93,200.0","-77,200.0","-74,700.0","-52,400.0","-49,700.0","-43,800.0","-41,900.0","-41,700.0","-49,700.0","-56,500.0","-40,600.0","-38,700.0","-32,900.0","-26,200.0","-27,100.0","-23,600.0","-20,900.0","-15,800.0","-12,500.0","-10,200.0","-7,000.0","-3,900.0","-1,400.0","-1,400.0","200.0","700.0","400.0","-4,000.0","-2,800.0","-3,800.0","-6,300.0","-9,600.0","-6,900.0","-8,600.0","-14,400.0","-12,500.0","-17,700.0","-7,900.0","14,900.0","7,600.0","11,000.0","4,700.0","-13,700.0","-22,100.0","-37,800.0","-42,600.0","-66,700.0","-75,000.0"
"80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","3. Excludes unrelated sales, secondary sales, and sales to business, to government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","and to the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","4. The quantity index for computers can be used to accurately measure the real growth of this",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","component.  However, because computers exhibit rapid changes in prices relative to other prices in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","economy, the chained-dollar estimates should not be used to measure the component's relative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","importance or its contribution to the growth rate of more aggregate series; accurate estimates of these",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","contributions are shown in table 1.5.2 and real growth rates are shown in table 1.5.1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","5. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","Note. The residual line is the difference between the first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
