"","Table 6#1C# National Income Without Capital Consumption Adjustme","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59"
"24","5","    Mining","B734RC1","38,359.0","42,633.0","43,921.0","47,605.0","48,502.0","49,467.0","49,799.0","51,090.0","50,952.0","51,966.0","54,098.0","54,341.0","56,533.0","58,847.0","58,585.0","57,193.0","56,405.0","56,133.0","54,375.0","52,102.0","54,006.0","54,334.0","54,192.0","55,623.0","55,195.0","54,059.0","54,729.0","56,104.0","57,553.0","57,845.0","59,380.0","58,759.0","55,948.0","58,634.0","60,351.0","61,046.0","65,808.0","68,434.0","72,232.0","75,161.0","79,420.0","80,529.0","80,821.0","78,640.0","71,968.0","69,276.0","65,400.0","66,047.0","60,106.0","61,576.0","63,286.0","67,300.0","78,181.0","85,157.0","91,196.0","94,669.0"
"25","6","    Construction","B735RC1","195,607.0","200,437.0","202,823.0","207,008.0","211,185.0","217,788.0","221,609.0","225,059.0","225,603.0","225,543.0","227,272.0","232,154.0","234,615.0","234,311.0","231,954.0","226,265.0","218,502.0","216,321.0","219,053.0","218,231.0","217,150.0","220,649.0","219,748.0","224,893.0","227,316.0","231,790.0","236,932.0","244,696.0","251,353.0","260,019.0","265,988.0","272,405.0","275,057.0","278,814.0","285,950.0","289,077.0","298,596.0","306,222.0","313,150.0","318,473.0","326,504.0","332,020.0","337,230.0","345,587.0","355,520.0","367,368.0","380,304.0","392,276.0","409,752.0","416,872.0","422,076.0","437,388.0","453,044.0","468,298.0","465,321.0","469,698.0"
"26","7","    Manufacturing","A426RC1","736,094.0","757,075.0","787,412.0","800,921.0","825,118.0","840,688.0","857,191.0","886,359.0","885,401.0","880,174.0","880,025.0","874,335.0","892,155.0","914,267.0","904,627.0","899,555.0","892,549.0","893,968.0","905,359.0","902,208.0","908,847.0","923,367.0","929,604.0","934,790.0","935,124.0","959,733.0","958,091.0","994,863.0","1,008,936.0","1,022,860.0","1,045,771.0","1,073,823.0","1,070,546.0","1,079,609.0","1,098,712.0","1,102,859.0","1,085,586.0","1,106,821.0","1,116,718.0","1,133,950.0","1,135,851.0","1,156,723.0","1,191,624.0","1,205,131.0","1,181,029.0","1,185,690.0","1,202,566.0","1,209,243.0","1,229,854.0","1,239,605.0","1,248,904.0","1,262,986.0","1,319,904.0","1,311,560.0","1,321,390.0","1,288,151.0"
"27","8","      Durable goods","B428RC1","443,730.0","446,612.0","456,613.0","456,635.0","471,668.0","489,900.0","495,829.0","510,017.0","512,739.0","506,724.0","503,621.0","502,748.0","506,215.0","512,011.0","509,731.0","492,283.0","485,660.0","499,286.0","504,742.0","503,527.0","508,001.0","515,892.0","517,978.0","523,913.0","525,061.0","542,029.0","546,067.0","568,105.0","581,299.0","586,235.0","595,300.0","613,807.0","608,562.0","607,025.0","616,390.0","620,404.0","610,350.0","628,676.0","634,450.0","642,068.0","641,614.0","658,417.0","685,598.0","691,033.0","678,636.0","684,658.0","695,679.0","716,481.0","701,345.0","708,166.0","720,939.0","735,390.0","767,770.0","748,795.0","756,062.0","728,904.0"
"28","9","      Nondurable goods","B427RC1","292,364.0","310,463.0","330,799.0","344,287.0","353,450.0","350,786.0","361,364.0","376,344.0","372,661.0","373,451.0","376,404.0","371,587.0","385,941.0","402,257.0","394,897.0","407,271.0","406,889.0","394,683.0","400,616.0","398,681.0","400,846.0","407,475.0","411,627.0","410,876.0","410,063.0","417,704.0","412,025.0","426,758.0","427,637.0","436,626.0","450,470.0","460,018.0","461,983.0","472,583.0","482,322.0","482,454.0","475,236.0","478,145.0","482,267.0","491,881.0","494,239.0","498,304.0","506,026.0","514,098.0","502,393.0","501,032.0","506,887.0","492,762.0","528,509.0","531,440.0","527,965.0","527,597.0","552,135.0","562,765.0","565,328.0","559,248.0"
"29","10","    Transportation and public utilities","A737RC1","311,321.0","323,166.0","323,527.0","328,915.0","330,207.0","337,055.0","346,423.0","354,099.0","350,016.0","352,545.0","352,080.0","356,091.0","363,601.0","376,194.0","379,471.0","374,281.0","387,851.0","396,723.0","398,159.0","401,796.0","409,598.0","412,502.0","416,295.0","425,135.0","433,376.0","438,149.0","442,125.0","450,104.0","457,718.0","474,645.0","481,934.0","492,606.0","488,851.0","486,771.0","497,603.0","498,418.0","500,656.0","513,343.0","512,390.0","520,492.0","508,685.0","519,728.0","525,293.0","535,659.0","533,927.0","544,789.0","560,731.0","556,404.0","564,102.0","559,075.0","570,620.0","593,544.0","588,214.0","599,185.0","607,572.0","608,248.0"
"30","11","      Transportation","B429RC1","123,508.0","127,110.0","128,152.0","132,273.0","132,625.0","137,722.0","142,303.0","143,147.0","138,575.0","139,624.0","140,221.0","140,284.0","143,085.0","150,623.0","147,985.0","144,224.0","155,204.0","156,205.0","154,255.0","155,556.0","162,735.0","159,564.0","162,295.0","166,747.0","170,867.0","173,245.0","175,401.0","178,397.0","181,316.0","187,714.0","191,594.0","196,457.0","196,338.0","197,125.0","196,990.0","198,051.0","198,477.0","205,170.0","210,494.0","209,378.0","213,988.0","219,328.0","228,616.0","234,991.0","237,066.0","241,801.0","248,611.0","248,542.0","251,824.0","253,037.0","255,841.0","264,544.0","264,507.0","274,247.0","273,304.0","271,944.0"
"31","12","      Communications","B430RC1","90,866.0","93,488.0","95,726.0","95,965.0","96,442.0","97,594.0","100,576.0","102,771.0","101,195.0","100,882.0","98,516.0","104,447.0","106,225.0","108,617.0","110,715.0","111,133.0","112,462.0","115,313.0","117,493.0","116,455.0","120,185.0","120,849.0","121,953.0","124,937.0","126,945.0","132,014.0","132,806.0","135,188.0","139,634.0","143,269.0","143,749.0","148,504.0","145,227.0","143,352.0","148,036.0","147,027.0","148,579.0","152,275.0","153,449.0","156,987.0","142,965.0","145,828.0","146,183.0","148,017.0","150,682.0","155,411.0","160,540.0","154,777.0","153,937.0","151,127.0","154,902.0","164,704.0","159,372.0","162,396.0","171,945.0","180,479.0"
"32","13","      Electric, gas, and sanitary services","B431RC1","96,948.0","102,568.0","99,649.0","100,678.0","101,142.0","101,741.0","103,544.0","108,179.0","110,246.0","112,039.0","113,344.0","111,360.0","114,294.0","116,956.0","120,772.0","118,924.0","120,183.0","125,205.0","126,411.0","129,784.0","126,677.0","132,086.0","132,045.0","133,449.0","135,565.0","132,890.0","133,920.0","136,520.0","136,767.0","143,662.0","146,591.0","147,643.0","147,288.0","146,296.0","152,580.0","153,340.0","153,600.0","155,899.0","148,450.0","154,130.0","151,732.0","154,573.0","150,493.0","152,652.0","146,179.0","147,577.0","151,579.0","153,086.0","158,341.0","154,911.0","159,877.0","164,293.0","164,335.0","162,542.0","162,321.0","155,823.0"
"33","14","    Wholesale trade","B433RC1","280,891.0","282,891.0","289,648.0","291,954.0","306,902.0","315,627.0","317,464.0","331,661.0","333,374.0","338,192.0","344,041.0","342,527.0","347,963.0","350,312.0","350,980.0","354,789.0","360,593.0","364,323.0","368,551.0","369,494.0","375,173.0","381,377.0","386,228.0","390,454.0","383,381.0","394,780.0","396,635.0","405,702.0","419,728.0","436,861.0","438,824.0","447,198.0","445,574.0","444,836.0","456,790.0","460,644.0","472,388.0","474,647.0","484,632.0","502,786.0","505,045.0","517,235.0","529,498.0","533,051.0","547,303.0","561,830.0","569,938.0","563,678.0","578,134.0","576,444.0","576,849.0","591,047.0","602,227.0","620,642.0","629,099.0","622,851.0"
"34","15","    Retail trade","B434RC1","390,594.0","396,291.0","405,913.0","410,152.0","416,658.0","425,498.0","431,488.0","442,177.0","450,099.0","452,689.0","462,008.0","465,827.0","472,950.0","473,862.0","470,556.0","476,409.0","481,079.0","487,047.0","487,180.0","494,463.0","501,078.0","504,852.0","503,987.0","521,777.0","521,478.0","533,323.0","545,498.0","554,161.0","563,620.0","577,441.0","586,707.0","599,881.0","602,904.0","608,302.0","615,856.0","621,855.0","636,861.0","648,655.0","656,791.0","667,388.0","694,364.0","692,388.0","706,583.0","713,686.0","733,035.0","748,593.0","764,624.0","780,786.0","791,218.0","802,930.0","799,531.0","813,010.0","840,410.0","838,801.0","848,416.0","844,819.0"
"35","16","    Finance, insurance, and real estate","B435RC1","645,017.0","661,793.0","681,649.0","698,054.0","704,467.0","713,368.0","732,938.0","753,560.0","775,109.0","779,553.0","783,321.0","780,559.0","804,791.0","825,711.0","841,766.0","843,867.0","862,794.0","872,865.0","889,729.0","899,811.0","941,627.0","952,394.0","965,474.0","985,906.0","998,884.0","1,015,708.0","1,018,140.0","1,043,716.0","1,044,437.0","1,053,582.0","1,085,451.0","1,098,130.0","1,120,243.0","1,139,404.0","1,158,230.0","1,171,406.0","1,194,860.0","1,226,420.0","1,248,984.0","1,271,928.0","1,309,715.0","1,331,269.0","1,361,751.0","1,397,328.0","1,428,767.0","1,464,852.0","1,494,543.0","1,511,274.0","1,531,347.0","1,539,488.0","1,582,288.0","1,613,967.0","1,671,697.0","1,678,514.0","1,707,466.0","1,726,029.0"
"36","17","    Services","B437RC1","704,376.0","719,765.0","739,048.0","772,889.0","782,356.0","813,027.0","834,968.0","849,374.0","872,411.0","887,837.0","906,682.0","928,920.0","961,247.0","987,288.0","1,013,867.0","1,022,110.0","1,023,888.0","1,039,803.0","1,054,491.0","1,076,187.0","1,104,292.0","1,129,483.0","1,146,895.0","1,169,765.0","1,180,606.0","1,193,708.0","1,208,213.0","1,224,966.0","1,252,039.0","1,268,265.0","1,287,872.0","1,314,443.0","1,355,195.0","1,368,817.0","1,390,175.0","1,416,212.0","1,447,808.0","1,476,960.0","1,504,253.0","1,536,844.0","1,570,368.0","1,597,573.0","1,629,983.0","1,665,753.0","1,708,901.0","1,738,283.0","1,776,908.0","1,812,032.0","1,847,449.0","1,881,141.0","1,901,185.0","1,948,932.0","2,009,162.0","2,028,072.0","2,066,867.0","2,087,855.0"
"37","18","  Government","B436RC1","541,610.0","548,254.0","554,260.0","563,215.0","575,858.0","588,233.0","595,675.0","605,229.0","617,158.0","625,553.0","635,811.0","643,808.0","659,956.0","671,088.0","680,311.0","690,470.0","709,883.0","717,289.0","722,784.0","729,786.0","745,344.0","754,392.0","761,219.0","762,621.0","771,435.0","776,234.0","783,976.0","787,509.0","798,165.0","806,785.0","810,068.0","813,205.0","825,403.0","827,748.0","831,106.0","834,969.0","846,679.0","853,770.0","860,052.0","866,463.0","877,396.0","883,596.0","890,878.0","896,850.0","907,557.0","915,241.0","924,349.0","932,913.0","950,076.0","960,222.0","972,297.0","984,107.0","1,003,286.0","1,015,065.0","1,022,667.0","1,030,175.0"
"38","19","Rest of the world","A192RC1","14,137.0","18,496.0","18,031.0","19,952.0","25,360.0","23,337.0","21,074.0","23,677.0","23,572.0","23,031.0","25,469.0","31,624.0","30,125.0","31,132.0","26,563.0","49,872.0","37,899.0","26,921.0","23,516.0","31,306.0","30,670.0","30,294.0","27,147.0","28,450.0","36,597.0","30,266.0","36,499.0","21,365.0","28,297.0","24,449.0","21,969.0","21,589.0","31,497.0","34,505.0","20,535.0","32,086.0","38,445.0","29,946.0","26,577.0","31,712.0","23,152.0","30,885.0","23,208.0","16,554.0","25,408.0","22,750.0","9,620.0","11,490.0","22,816.0","27,981.0","24,966.0","35,445.0","30,976.0","34,394.0","30,543.0","55,067.0"
"39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Note. Estimates in this table are based on the 1987 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
