"","Table 2#3#5# Personal Consumption Expenditures by Major Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92"
"28","9","    Food and beverages purchased for off-premises consumption","DFXARC1","39,079.0","39,964.0","40,652.0","41,073.0","41,553.0","42,455.0","41,763.0","41,580.0","41,046.0","40,631.0","39,994.0","39,745.0","40,231.0","40,699.0","42,135.0","42,574.0","45,251.0","45,574.0","46,253.0","46,986.0","46,963.0","48,243.0","49,176.0","49,293.0","49,614.0","49,332.0","49,084.0","49,113.0","50,065.0","50,221.0","50,781.0","51,228.0","51,475.0","51,903.0","52,140.0","52,671.0","53,415.0","53,847.0","54,423.0","54,979.0","55,894.0","56,643.0","57,980.0","58,025.0","59,284.0","59,716.0","59,822.0","60,248.0","61,240.0","61,261.0","61,769.0","62,119.0","61,765.0","62,939.0","62,513.0","63,009.0","63,704.0","63,934.0","63,601.0","63,749.0","64,301.0","64,367.0","64,997.0","64,962.0","65,243.0","65,346.0","66,350.0","66,542.0","67,648.0","68,892.0","70,398.0","71,023.0","71,659.0","73,218.0","74,788.0","78,106.0","79,541.0","80,589.0","81,217.0","81,092.0","81,869.0","81,971.0","82,498.0","83,900.0","85,710.0","87,920.0","90,158.0","91,538.0","93,066.0"
"29","10","    Clothing and footwear","DCLORC1","17,623.0","17,754.0","18,215.0","18,558.0","18,761.0","19,184.0","19,477.0","19,915.0","19,483.0","18,844.0","17,835.0","18,289.0","18,164.0","18,510.0","19,636.0","19,408.0","20,542.0","20,097.0","20,529.0","20,745.0","20,439.0","20,770.0","21,188.0","22,331.0","21,585.0","21,701.0","21,195.0","20,802.0","21,288.0","21,257.0","21,335.0","21,694.0","21,865.0","22,443.0","22,359.0","22,832.0","22,995.0","23,234.0","23,646.0","23,715.0","23,486.0","23,425.0","23,969.0","23,435.0","23,215.0","23,666.0","24,195.0","24,599.0","24,785.0","25,501.0","25,440.0","25,739.0","25,877.0","26,197.0","25,866.0","25,817.0","26,063.0","26,279.0","26,616.0","27,325.0","27,365.0","27,779.0","28,016.0","28,275.0","28,193.0","28,421.0","29,002.0","28,856.0","30,147.0","31,011.0","31,443.0","31,739.0","31,889.0","31,901.0","32,750.0","34,095.0","35,102.0","35,524.0","36,293.0","36,328.0","36,759.0","37,376.0","37,956.0","38,097.0","39,753.0","40,763.0","42,141.0","42,382.0","43,367.0"
"30","11","    Gasoline and other energy goods","DGOERC1","6,415.0","6,822.0","7,103.0","7,408.0","7,927.0","8,155.0","8,383.0","8,345.0","8,245.0","8,358.0","8,348.0","8,421.0","8,472.0","8,811.0","9,142.0","9,031.0","9,499.0","9,408.0","9,584.0","9,889.0","9,915.0","10,077.0","10,305.0","10,439.0","10,581.0","10,678.0","11,021.0","11,093.0","11,149.0","11,186.0","11,353.0","11,623.0","11,873.0","12,228.0","12,465.0","12,871.0","13,062.0","13,174.0","13,269.0","13,655.0","14,132.0","14,128.0","14,381.0","14,341.0","14,484.0","14,605.0","14,952.0","14,833.0","15,127.0","15,276.0","15,208.0","15,548.0","15,496.0","15,861.0","15,917.0","15,962.0","15,756.0","15,729.0","15,729.0","15,677.0","16,064.0","16,197.0","16,127.0","16,875.0","17,126.0","16,746.0","16,863.0","16,954.0","17,194.0","17,434.0","17,937.0","18,072.0","18,296.0","18,937.0","19,435.0","19,858.0","19,886.0","20,432.0","20,965.0","21,339.0","21,451.0","21,812.0","21,886.0","22,355.0","22,978.0","22,978.0","23,442.0","23,469.0","24,261.0"
"31","12","    Other nondurable goods","DONGRC1","11,755.0","12,358.0","12,678.0","12,927.0","13,305.0","13,375.0","13,843.0","13,846.0","13,958.0","14,061.0","14,078.0","14,494.0","14,598.0","14,768.0","15,720.0","15,638.0","16,675.0","16,367.0","16,805.0","17,834.0","17,445.0","17,510.0","17,805.0","18,268.0","18,737.0","18,845.0","18,543.0","18,951.0","18,760.0","18,660.0","18,728.0","18,886.0","19,289.0","19,549.0","19,978.0","20,673.0","21,070.0","21,037.0","21,093.0","21,327.0","21,903.0","22,283.0","23,024.0","23,252.0","22,879.0","23,197.0","24,058.0","24,399.0","24,922.0","25,116.0","25,773.0","26,055.0","26,465.0","26,967.0","27,283.0","27,626.0","27,879.0","28,303.0","28,651.0","29,414.0","30,103.0","30,403.0","30,821.0","31,365.0","31,895.0","32,292.0","32,953.0","32,926.0","33,664.0","34,118.0","35,099.0","34,965.0","35,916.0","36,711.0","37,095.0","38,485.0","39,565.0","40,691.0","41,296.0","41,637.0","42,297.0","42,863.0","43,437.0","43,512.0","45,093.0","46,109.0","47,101.0","47,619.0","48,141.0"
"32","13","Services","DSERRC1","60,704.0","61,918.0","63,259.0","64,356.0","65,420.0","67,100.0","68,479.0","69,424.0","69,820.0","70,323.0","70,402.0","71,115.0","72,295.0","74,399.0","76,705.0","78,187.0","81,795.0","82,954.0","84,443.0","85,938.0","87,607.0","89,674.0","91,830.0","93,860.0","95,819.0","97,712.0","99,601.0","99,839.0","101,345.0","103,299.0","105,277.0","107,022.0","108,905.0","110,097.0","111,772.0","114,687.0","116,466.0","118,263.0","120,509.0","122,830.0","124,428.0","126,088.0","128,093.0","130,439.0","131,265.0","133,617.0","136,046.0","137,546.0","140,335.0","143,460.0","146,756.0","149,831.0","151,876.0","154,408.0","155,251.0","157,576.0","159,563.0","162,593.0","163,877.0","167,474.0","170,068.0","173,448.0","175,583.0","178,362.0","179,904.0","182,392.0","186,200.0","189,722.0","193,724.0","197,418.0","200,999.0","204,657.0","207,858.0","211,884.0","215,876.0","220,928.0","224,631.0","229,181.0","233,196.0","238,077.0","241,936.0","246,046.0","251,337.0","255,847.0","262,951.0","270,274.0","276,920.0","283,407.0","289,598.0"
"33","14","  Household consumption expenditures (for services)","DHCERC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","135,483.0","138,471.0","141,625.0","144,567.0","146,546.0","149,109.0","149,990.0","152,360.0","154,380.0","157,177.0","158,331.0","161,761.0","164,275.0","167,703.0","169,908.0","172,745.0","174,225.0","176,520.0","180,088.0","183,387.0","187,085.0","190,723.0","194,282.0","197,932.0","201,086.0","204,859.0","208,537.0","213,294.0","216,843.0","221,409.0","225,462.0","230,367.0","234,064.0","237,845.0","242,725.0","246,847.0","253,749.0","261,011.0","267,540.0","273,869.0","279,905.0"
"34","15","    Housing and utilities","DHUTRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","51,312.0","52,171.0","53,398.0","54,512.0","55,463.0","56,191.0","57,034.0","58,193.0","58,795.0","59,975.0","60,641.0","61,795.0","62,851.0","63,865.0","64,945.0","66,243.0","67,114.0","67,434.0","68,684.0","69,597.0","70,616.0","71,498.0","72,611.0","73,871.0","74,752.0","76,062.0","77,215.0","78,446.0","79,458.0","80,627.0","81,729.0","83,090.0","84,072.0","85,603.0","86,892.0","88,808.0","90,472.0","91,499.0","93,456.0","95,566.0","97,712.0"
"35","16","    Health care","DHLCRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","14,464.0","14,728.0","14,939.0","15,195.0","15,547.0","16,089.0","15,987.0","16,497.0","16,641.0","17,051.0","17,222.0","17,567.0","18,138.0","18,817.0","19,483.0","20,105.0","20,469.0","20,759.0","21,096.0","21,583.0","22,672.0","23,735.0","24,726.0","25,464.0","26,061.0","26,194.0","25,869.0","26,027.0","26,731.0","28,059.0","29,307.0","30,616.0","31,193.0","31,664.0","32,136.0","32,722.0","34,128.0","35,947.0","37,326.0","38,902.0","40,259.0"
"36","17","    Transportation services","DTRSRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","8,386.0","8,585.0","8,830.0","8,983.0","9,091.0","9,127.0","9,202.0","9,297.0","9,357.0","9,501.0","9,606.0","9,785.0","9,923.0","10,129.0","10,187.0","10,295.0","10,401.0","10,526.0","10,682.0","10,872.0","11,086.0","11,248.0","11,448.0","11,617.0","11,745.0","12,007.0","12,266.0","12,515.0","12,627.0","12,945.0","13,084.0","13,612.0","13,886.0","14,072.0","14,425.0","14,721.0","15,188.0","15,628.0","16,093.0","16,580.0","17,128.0"
"37","18","    Recreation services","DRCARC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","5,642.0","5,875.0","6,010.0","6,156.0","6,341.0","6,443.0","6,521.0","6,615.0","6,743.0","6,855.0","6,980.0","7,202.0","7,247.0","7,556.0","7,429.0","7,587.0","7,708.0","7,786.0","8,220.0","7,990.0","8,353.0","8,315.0","8,459.0","8,789.0","8,868.0","8,903.0","8,968.0","9,163.0","9,288.0","9,629.0","9,882.0","10,273.0","10,418.0","10,261.0","10,812.0","10,314.0","11,085.0","11,583.0","11,874.0","12,268.0","12,577.0"
"38","19","    Food services and accommodations","DFSARC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","18,949.0","19,465.0","20,093.0","20,446.0","20,295.0","20,658.0","20,457.0","20,528.0","20,812.0","20,781.0","20,874.0","21,388.0","21,691.0","22,048.0","22,451.0","22,836.0","23,011.0","23,205.0","23,272.0","23,735.0","24,360.0","24,813.0","25,040.0","25,298.0","26,044.0","26,867.0","27,498.0","28,313.0","29,013.0","29,409.0","30,005.0","30,110.0","30,335.0","30,503.0","31,147.0","31,843.0","33,468.0","34,200.0","35,101.0","35,609.0","36,030.0"
"39","20","    Financial services and insurance","DIFSRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","11,985.0","12,326.0","12,620.0","13,004.0","13,183.0","13,503.0","13,714.0","13,803.0","14,447.0","14,850.0","14,686.0","15,078.0","15,125.0","15,533.0","15,353.0","15,389.0","15,203.0","15,494.0","16,106.0","16,826.0","16,979.0","17,476.0","18,145.0","18,363.0","18,630.0","18,988.0","19,499.0","20,460.0","21,067.0","21,323.0","21,420.0","21,274.0","22,039.0","22,399.0","23,321.0","23,607.0","23,698.0","25,700.0","26,544.0","27,245.0","27,295.0"
"40","21","    Other services","DOTSRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","24,745.0","25,321.0","25,735.0","26,271.0","26,626.0","27,098.0","27,075.0","27,427.0","27,585.0","28,164.0","28,322.0","28,946.0","29,300.0","29,755.0","30,060.0","30,290.0","30,319.0","31,316.0","32,028.0","32,784.0","33,019.0","33,638.0","33,853.0","34,530.0","34,986.0","35,838.0","37,222.0","38,370.0","38,659.0","39,417.0","40,035.0","41,392.0","42,121.0","43,343.0","43,992.0","44,832.0","45,710.0","46,454.0","47,146.0","47,699.0","48,904.0"
"41","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","4,852.0","4,989.0","5,131.0","5,264.0","5,330.0","5,299.0","5,261.0","5,216.0","5,183.0","5,416.0","5,546.0","5,713.0","5,793.0","5,745.0","5,675.0","5,617.0","5,679.0","5,872.0","6,112.0","6,335.0","6,639.0","6,695.0","6,717.0","6,725.0","6,772.0","7,025.0","7,339.0","7,634.0","7,788.0","7,772.0","7,734.0","7,710.0","7,872.0","8,201.0","8,612.0","9,000.0","9,202.0","9,263.0","9,380.0","9,538.0","9,693.0"
"42","23","    Gross output of nonprofit institutions \2\","DNPERC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","13,664.0","13,972.0","14,244.0","14,534.0","14,837.0","15,168.0","14,941.0","15,259.0","15,276.0","16,025.0","16,177.0","16,529.0","16,858.0","17,068.0","17,255.0","17,461.0","17,801.0","18,303.0","18,827.0","19,349.0","20,132.0","20,436.0","20,665.0","20,812.0","21,350.0","22,004.0","22,622.0","23,260.0","23,882.0","24,489.0","24,844.0","25,327.0","25,891.0","26,850.0","27,861.0","28,797.0","29,613.0","30,608.0","31,207.0","32,176.0","33,105.0"
"43","24","    Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","8,812.0","8,983.0","9,113.0","9,270.0","9,507.0","9,869.0","9,680.0","10,043.0","10,093.0","10,609.0","10,631.0","10,816.0","11,065.0","11,323.0","11,580.0","11,844.0","12,122.0","12,431.0","12,715.0","13,014.0","13,493.0","13,741.0","13,948.0","14,087.0","14,578.0","14,979.0","15,283.0","15,626.0","16,094.0","16,717.0","17,110.0","17,617.0","18,019.0","18,649.0","19,249.0","19,797.0","20,411.0","21,345.0","21,827.0","22,638.0","23,412.0"
"44",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","25","  PCE excluding food and energy \4\","DPCCRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","226,175.0","232,046.0","236,523.0","237,799.0","241,467.0","245,659.0","245,966.0","247,145.0","247,220.0","251,505.0","254,849.0","261,816.0","265,897.0","271,324.0","274,486.0","279,823.0","282,535.0","287,331.0","292,826.0","297,304.0","305,268.0","311,676.0","318,378.0","320,067.0","329,925.0","334,347.0","341,429.0","351,529.0","360,389.0","363,558.0","371,458.0","376,878.0","380,300.0","388,452.0","395,199.0","400,426.0","415,769.0","427,504.0","440,580.0","447,907.0","457,373.0"
"46","26","  Energy goods and services \5\","DNRGRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","22,643.0","22,771.0","22,990.0","23,477.0","23,703.0","24,208.0","24,276.0","24,525.0","24,282.0","24,719.0","24,605.0","24,757.0","25,405.0","25,550.0","25,628.0","26,600.0","27,172.0","26,402.0","26,893.0","26,893.0","27,456.0","27,782.0","28,476.0","28,743.0","28,949.0","29,903.0","30,427.0","30,965.0","31,106.0","31,990.0","32,615.0","33,129.0","33,247.0","34,127.0","34,115.0","35,026.0","35,864.0","35,704.0","36,568.0","36,796.0","38,004.0"
"47","27","  Market-based PCE \6\","DPCMRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"48","28","  Market-based PCE excluding food and energy \6\","DPCXRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","3. Excludes unrelated sales, secondary sales, and sales to business, to government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","and to the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","4. Food consists of food and beverages purchased for off-premises consumption;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","food services, which include purchased meals and beverages, are not classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","as food.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","5. Consists of gasoline and other energy goods and of electricity and gas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","6. Market-based PCE is a supplemental measure that is based on household expenditures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","for which there are observable price measures.  It excludes most imputed transactions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","(for example, financial services furnished without payment) and the final consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
