"","Table 5#6#5A# Change in Private Inventories by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119"
"28","9","  Wholesale trade","A658RC1","2,776.0","2,836.0","2,224.0","1,028.0","2,568.0","2,020.0","2,872.0","3,148.0","156.0","2,848.0","1,952.0","3,476.0","-264.0","2,784.0","3,912.0","1,456.0","2,900.0","-532.0","-104.0","3,588.0","6,584.0","6,476.0","-728.0","9,224.0","-4,576.0","-5,864.0","1,200.0","-2,456.0","1,372.0","8,700.0","7,252.0","1,420.0","6,060.0","4,856.0","6,856.0","6,732.0","11,720.0","5,296.0","1,980.0","10,728.0","8,928.0","4,716.0","5,152.0","2,020.0","6,272.0","8,332.0","1,352.0","-1,532.0","12,476.0","-5,612.0","1,372.0","7,992.0","-3,664.0","4,196.0","-1,084.0","-5,732.0","-7,468.0","-11,652.0","12,020.0","8,860.0","13,584.0","12,524.0","23,636.0","7,796.0","8,880.0","6,440.0","2,148.0","7,156.0","9,888.0","9,988.0","16,096.0","-7,644.0","1,636.0","6,048.0","-856.0","19,904.0","16,996.0","10,172.0","10,188.0","-3,376.0","-2,060.0","14,840.0","2,764.0","860.0","7,864.0","14,356.0","8,604.0","1,816.0","8,076.0","-10,948.0","4,504.0","16,540.0","1,060.0","10,992.0","5,780.0","15,244.0","4,764.0","4,688.0","10,180.0","5,760.0","216.0","18,240.0","18,220.0","28,768.0","20,668.0","15,044.0","13,736.0","6,956.0","3,476.0","5,068.0","-5,840.0","9,868.0","21,389.0","35,377.0","17,958.0","31,244.0"
"29","10","    Durable goods","A661RC1","1,764.0","2,260.0","1,404.0","732.0","1,516.0","484.0","2,180.0","1,040.0","608.0","1,608.0","1,640.0","2,804.0","320.0","2,552.0","1,728.0","2,900.0","2,000.0","2,204.0","1,560.0","1,512.0","2,784.0","2,220.0","3,268.0","5,416.0","260.0","-3,044.0","-2,224.0","108.0","768.0","5,400.0","4,016.0","1,088.0","2,884.0","2,920.0","3,492.0","4,780.0","9,276.0","5,472.0","2,200.0","7,372.0","6,788.0","1,928.0","4,740.0","-364.0","2,460.0","5,300.0","-900.0","5,624.0","4,504.0","4,840.0","-220.0","4,824.0","1,056.0","4,316.0","-2,812.0","-11,168.0","-10,076.0","-6,592.0","5,540.0","7,716.0","9,780.0","8,864.0","15,468.0","8,272.0","3,504.0","3,236.0","-960.0","2,292.0","6,228.0","7,804.0","9,104.0","-7,608.0","2,180.0","6,904.0","-5,220.0","13,484.0","13,236.0","-2,764.0","15,212.0","-2,416.0","272.0","11,352.0","208.0","-1,856.0","4,728.0","6,784.0","7,080.0","-3,204.0","4,432.0","-12,140.0","-632.0","11,572.0","-5,620.0","10,564.0","5,060.0","3,964.0","1,932.0","768.0","7,496.0","7,100.0","788.0","18,028.0","12,804.0","18,632.0","17,700.0","11,612.0","8,460.0","15,112.0","4,856.0","2,792.0","8,460.0","624.0","16,295.0","27,482.0","9,254.0","19,295.0"
"30","11","    Nondurable goods","A664RC1","1,012.0","576.0","820.0","296.0","1,052.0","1,536.0","692.0","2,108.0","-452.0","1,240.0","312.0","672.0","-584.0","232.0","2,184.0","-1,444.0","900.0","-2,736.0","-1,664.0","2,076.0","3,800.0","4,256.0","-3,996.0","3,808.0","-4,836.0","-2,820.0","3,424.0","-2,564.0","604.0","3,300.0","3,236.0","332.0","3,176.0","1,936.0","3,364.0","1,952.0","2,444.0","-176.0","-220.0","3,356.0","2,140.0","2,788.0","412.0","2,384.0","3,812.0","3,032.0","2,252.0","-7,156.0","7,972.0","-10,452.0","1,592.0","3,168.0","-4,720.0","-120.0","1,728.0","5,436.0","2,608.0","-5,060.0","6,480.0","1,144.0","3,804.0","3,660.0","8,168.0","-476.0","5,376.0","3,204.0","3,108.0","4,864.0","3,660.0","2,184.0","6,992.0","-36.0","-544.0","-856.0","4,364.0","6,420.0","3,760.0","12,936.0","-5,024.0","-960.0","-2,332.0","3,488.0","2,556.0","2,716.0","3,136.0","7,572.0","1,524.0","5,020.0","3,644.0","1,192.0","5,136.0","4,968.0","6,680.0","428.0","720.0","11,280.0","2,832.0","3,920.0","2,684.0","-1,340.0","-572.0","212.0","5,416.0","10,136.0","2,968.0","3,432.0","5,276.0","-8,156.0","-1,380.0","2,276.0","-14,300.0","9,244.0","5,094.0","7,895.0","8,704.0","11,949.0"
"31","12","      Merchant wholesalers","A151RC1","2,248.0","2,392.0","1,852.0","812.0","2,712.0","1,672.0","2,776.0","2,944.0","84.0","3,064.0","2,240.0","3,632.0","-108.0","2,712.0","3,384.0","1,468.0","2,676.0","-1,268.0","-228.0","3,040.0","6,264.0","6,156.0","-1,316.0","6,976.0","-5,992.0","-4,808.0","876.0","-2,360.0","1,280.0","7,332.0","5,504.0","1,616.0","5,292.0","4,808.0","7,676.0","6,912.0","12,912.0","6,960.0","1,908.0","9,164.0","9,656.0","2,912.0","4,576.0","656.0","3,256.0","6,032.0","7,164.0","2,528.0","7,156.0","-4,312.0","1,584.0","6,592.0","-4,936.0","9,248.0","-3,228.0","-5,668.0","-4,160.0","-10,472.0","8,540.0","8,944.0","13,040.0","8,972.0","20,680.0","8,080.0","8,964.0","6,424.0","5,484.0","7,300.0","10,580.0","9,156.0","17,072.0","-8,860.0","2,972.0","8,528.0","-384.0","17,712.0","15,856.0","9,752.0","9,928.0","-6,164.0","-2,624.0","12,108.0","736.0","3,340.0","4,516.0","12,864.0","9,572.0","1,912.0","7,984.0","-8,416.0","3,084.0","15,840.0","2,524.0","10,828.0","2,820.0","17,512.0","4,976.0","5,280.0","10,144.0","4,616.0","-1,864.0","18,704.0","16,364.0","24,956.0","17,920.0","11,160.0","11,608.0","4,292.0","76.0","6,148.0","-6,688.0","10,176.0","20,174.0","32,402.0","16,674.0","26,015.0"
"32","13","        Durable goods","A626RC1","1,356.0","1,960.0","1,152.0","528.0","1,648.0","460.0","2,108.0","1,100.0","764.0","1,824.0","1,868.0","2,924.0","284.0","2,420.0","1,420.0","2,696.0","1,692.0","1,460.0","1,036.0","1,668.0","2,516.0","2,808.0","2,576.0","3,972.0","-508.0","-3,376.0","-2,168.0","640.0","836.0","4,604.0","2,940.0","-384.0","3,408.0","3,272.0","4,144.0","4,832.0","8,708.0","5,300.0","2,336.0","6,384.0","4,960.0","1,196.0","4,852.0","132.0","2,660.0","4,896.0","576.0","6,024.0","3,804.0","4,316.0","-1,792.0","3,772.0","604.0","4,068.0","-3,200.0","-8,940.0","-8,364.0","-6,764.0","5,500.0","7,320.0","10,204.0","7,256.0","13,564.0","7,212.0","3,276.0","2,592.0","272.0","3,848.0","6,344.0","8,372.0","9,096.0","-7,840.0","2,584.0","7,808.0","-4,640.0","12,244.0","12,620.0","-2,716.0","14,656.0","-4,784.0","116.0","10,504.0","-1,404.0","-1,060.0","3,484.0","5,368.0","8,160.0","-2,840.0","5,180.0","-10,744.0","-2,400.0","12,124.0","-4,084.0","10,748.0","3,508.0","6,624.0","2,544.0","1,192.0","7,092.0","5,192.0","-1,044.0","18,144.0","11,244.0","15,932.0","15,684.0","9,168.0","6,532.0","12,464.0","2,460.0","3,164.0","7,160.0","1,328.0","15,289.0","25,435.0","8,591.0","14,896.0"
"33","14","        Nondurable goods","A627RC1","892.0","432.0","700.0","284.0","1,064.0","1,212.0","668.0","1,844.0","-680.0","1,240.0","372.0","708.0","-392.0","292.0","1,964.0","-1,228.0","984.0","-2,728.0","-1,264.0","1,372.0","3,748.0","3,348.0","-3,892.0","3,004.0","-5,484.0","-1,432.0","3,044.0","-3,000.0","444.0","2,728.0","2,564.0","2,000.0","1,884.0","1,536.0","3,532.0","2,080.0","4,204.0","1,660.0","-428.0","2,780.0","4,696.0","1,716.0","-276.0","524.0","596.0","1,136.0","6,588.0","-3,496.0","3,352.0","-8,628.0","3,376.0","2,820.0","-5,540.0","5,180.0","-28.0","3,272.0","4,204.0","-3,708.0","3,040.0","1,624.0","2,836.0","1,716.0","7,116.0","868.0","5,688.0","3,832.0","5,212.0","3,452.0","4,236.0","784.0","7,976.0","-1,020.0","388.0","720.0","4,256.0","5,468.0","3,236.0","12,468.0","-4,728.0","-1,380.0","-2,740.0","1,604.0","2,140.0","4,400.0","1,032.0","7,496.0","1,412.0","4,752.0","2,804.0","2,328.0","5,484.0","3,716.0","6,608.0","80.0","-688.0","10,888.0","2,432.0","4,088.0","3,052.0","-576.0","-820.0","560.0","5,120.0","9,024.0","2,236.0","1,992.0","5,076.0","-8,172.0","-2,384.0","2,984.0","-13,848.0","8,848.0","4,885.0","6,967.0","8,083.0","11,119.0"
"34","15","      Nonmerchant wholesalers","A152RC1","528.0","444.0","372.0","216.0","-144.0","348.0","96.0","204.0","72.0","-216.0","-288.0","-156.0","-156.0","72.0","528.0","-12.0","224.0","736.0","124.0","548.0","320.0","320.0","588.0","2,248.0","1,416.0","-1,056.0","324.0","-96.0","92.0","1,368.0","1,748.0","-196.0","768.0","48.0","-820.0","-180.0","-1,192.0","-1,664.0","72.0","1,564.0","-728.0","1,804.0","576.0","1,364.0","3,016.0","2,300.0","-5,812.0","-4,060.0","5,320.0","-1,300.0","-212.0","1,400.0","1,272.0","-5,052.0","2,144.0","-64.0","-3,308.0","-1,180.0","3,480.0","-84.0","544.0","3,552.0","2,956.0","-284.0","-84.0","16.0","-3,336.0","-144.0","-692.0","832.0","-976.0","1,216.0","-1,336.0","-2,480.0","-472.0","2,192.0","1,140.0","420.0","260.0","2,788.0","564.0","2,732.0","2,028.0","-2,480.0","3,348.0","1,492.0","-968.0","-96.0","92.0","-2,532.0","1,420.0","700.0","-1,464.0","164.0","2,960.0","-2,268.0","-212.0","-592.0","36.0","1,144.0","2,080.0","-464.0","1,856.0","3,812.0","2,748.0","3,884.0","2,128.0","2,664.0","3,400.0","-1,080.0","848.0","-308.0","1,215.0","2,975.0","1,285.0","5,229.0"
"35","16","        Durable goods","A628RC1","408.0","300.0","252.0","204.0","-132.0","24.0","72.0","-60.0","-156.0","-216.0","-228.0","-120.0","36.0","132.0","308.0","204.0","308.0","744.0","524.0","-156.0","268.0","-588.0","692.0","1,444.0","768.0","332.0","-56.0","-532.0","-68.0","796.0","1,076.0","1,472.0","-524.0","-352.0","-652.0","-52.0","568.0","172.0","-136.0","988.0","1,828.0","732.0","-112.0","-496.0","-200.0","404.0","-1,476.0","-400.0","700.0","524.0","1,572.0","1,052.0","452.0","248.0","388.0","-2,228.0","-1,712.0","172.0","40.0","396.0","-424.0","1,608.0","1,904.0","1,060.0","228.0","644.0","-1,232.0","-1,556.0","-116.0","-568.0","8.0","232.0","-404.0","-904.0","-580.0","1,240.0","616.0","-48.0","556.0","2,368.0","156.0","848.0","1,612.0","-796.0","1,244.0","1,416.0","-1,080.0","-364.0","-748.0","-1,396.0","1,768.0","-552.0","-1,536.0","-184.0","1,552.0","-2,660.0","-612.0","-424.0","404.0","1,908.0","1,832.0","-116.0","1,560.0","2,700.0","2,016.0","2,444.0","1,928.0","2,648.0","2,396.0","-372.0","1,300.0","-704.0","1,006.0","2,047.0","663.0","4,399.0"
"36","17","        Nondurable goods","A629RC1","120.0","144.0","120.0","12.0","-12.0","324.0","24.0","264.0","228.0","0.0","-60.0","-36.0","-192.0","-60.0","220.0","-216.0","-84.0","-8.0","-400.0","704.0","52.0","908.0","-104.0","804.0","648.0","-1,388.0","380.0","436.0","160.0","572.0","672.0","-1,668.0","1,292.0","400.0","-168.0","-128.0","-1,760.0","-1,836.0","208.0","576.0","-2,556.0","1,072.0","688.0","1,860.0","3,216.0","1,896.0","-4,336.0","-3,660.0","4,620.0","-1,824.0","-1,784.0","348.0","820.0","-5,300.0","1,756.0","2,164.0","-1,596.0","-1,352.0","3,440.0","-480.0","968.0","1,944.0","1,052.0","-1,344.0","-312.0","-628.0","-2,104.0","1,412.0","-576.0","1,400.0","-984.0","984.0","-932.0","-1,576.0","108.0","952.0","524.0","468.0","-296.0","420.0","408.0","1,884.0","416.0","-1,684.0","2,104.0","76.0","112.0","268.0","840.0","-1,136.0","-348.0","1,252.0","72.0","348.0","1,408.0","392.0","400.0","-168.0","-368.0","-764.0","248.0","-348.0","296.0","1,112.0","732.0","1,440.0","200.0","16.0","1,004.0","-708.0","-452.0","396.0","209.0","928.0","621.0","830.0"
"37","18","  Retail trade","A153RC1","1,576.0","1,528.0","4,084.0","2,292.0","-1,072.0","2,180.0","1,784.0","-2,840.0","8,620.0","4,372.0","7,992.0","-116.0","2,444.0","3,620.0","2,616.0","5,276.0","4,420.0","5,988.0","-4.0","6,112.0","-1,396.0","-948.0","-3,056.0","2,172.0","-10,572.0","-3,272.0","2,708.0","-1,764.0","9,476.0","4,880.0","3,540.0","2,192.0","3,932.0","3,808.0","4,944.0","4,352.0","8,432.0","4,868.0","1,736.0","7,212.0","616.0","8,552.0","-6,468.0","-2,880.0","-4,844.0","-2,896.0","-2,144.0","-2,248.0","2,172.0","9,840.0","8,376.0","4,808.0","-12,536.0","1,028.0","9,392.0","-9,124.0","5,752.0","12,772.0","10,220.0","12,120.0","28,700.0","10,852.0","2,152.0","26,140.0","4,104.0","9,000.0","10,932.0","24,744.0","20,844.0","1,808.0","-10,912.0","-1,224.0","32,432.0","16,092.0","-3,496.0","24,192.0","-7,036.0","9,276.0","9,884.0","14,157.0","26,498.0","2,224.0","-666.0","22,848.0","-13,418.0","12,787.0","865.0","-6,644.0","-20,218.0","4,308.0","11,629.0","6,332.0","-4,071.0","9,286.0","2,649.0","9,287.0","36,366.0","7,673.0","2,632.0","11,443.0","15,160.0","28,709.0","14,629.0","20,659.0","21,927.0","17,598.0","5,084.0","3,316.0","-14,620.0","15,648.0","23,134.0","5,469.0","6,406.0","21,228.0","15,689.0","11,325.0"
"38","19","    Durable goods","A630RC1","632.0","-124.0","2,856.0","1,540.0","-1,092.0","912.0","772.0","-4,456.0","6,336.0","3,756.0","6,388.0","-2,336.0","1,280.0","1,480.0","1,264.0","4,124.0","2,904.0","4,992.0","1,868.0","2,212.0","216.0","-1,616.0","-1,992.0","5,432.0","-7,908.0","684.0","3,704.0","-2,228.0","3,772.0","2,800.0","4,368.0","2,132.0","3,284.0","2,264.0","4,048.0","3,216.0","5,136.0","520.0","0.0","6,980.0","3,280.0","7,004.0","-6,780.0","-4,680.0","-6,512.0","-7,344.0","-5,332.0","-1,480.0","-2,032.0","8,196.0","1,352.0","860.0","-9,672.0","-360.0","9,576.0","-10,172.0","4,108.0","6,356.0","5,560.0","7,540.0","14,784.0","2,964.0","-2,692.0","19,756.0","3,336.0","6,288.0","3,688.0","20,716.0","15,652.0","2,064.0","-15,564.0","-1,920.0","28,292.0","10,872.0","-5,884.0","19,604.0","-12,492.0","9,212.0","7,616.0","14,637.0","19,978.0","-6,840.0","-6,102.0","18,492.0","-14,086.0","10,643.0","3,729.0","-4,908.0","-23,682.0","1,936.0","8,089.0","-4,324.0","-2,243.0","5,742.0","-2,611.0","3,755.0","23,570.0","5,801.0","-2,768.0","8,875.0","14,732.0","12,793.0","11,345.0","15,063.0","16,991.0","12,210.0","3,172.0","4,836.0","-12,108.0","15,256.0","16,690.0","265.0","4,518.0","12,237.0","11,231.0","10,445.0"
"39","20","      Motor vehicle dealers \4\","A631RC1","188.0","-464.0","1,828.0","1,164.0","-1,228.0","876.0","620.0","-5,060.0","5,592.0","3,312.0","5,596.0","-3,268.0","-92.0","-52.0","-316.0","1,716.0","2,136.0","3,036.0","1,400.0","2,292.0","-1,012.0","-1,912.0","-1,208.0","4,912.0","-6,236.0","1,092.0","3,088.0","-3,608.0","2,860.0","644.0","2,624.0","760.0","2,840.0","2,040.0","2,888.0","3,384.0","2,636.0","-1,792.0","-984.0","6,896.0","3,584.0","6,912.0","-6,960.0","-3,696.0","-6,628.0","-7,176.0","-4,188.0","-324.0","-5,772.0","7,708.0","64.0","-1,128.0","-6,652.0","1,672.0","9,128.0","-11,396.0","1,784.0","2,976.0","3,304.0","5,208.0","10,292.0","-1,208.0","-3,424.0","15,092.0","188.0","4,872.0","-376.0","19,644.0","10,380.0","688.0","-18,504.0","2,480.0","27,316.0","3,240.0","-7,300.0","13,292.0","-15,796.0","7,520.0","3,236.0","12,317.0","18,698.0","-9,104.0","-10,834.0","17,888.0","-17,678.0","8,059.0","5,969.0","-1,856.0","-19,210.0","2,804.0","6,365.0","-4,160.0","1,465.0","3,626.0","-1,623.0","1,607.0","19,854.0","3,509.0","-7,884.0","-829.0","11,452.0","2,933.0","6,041.0","9,103.0","14,199.0","7,138.0","-5,004.0","6,568.0","-15,820.0","12,672.0","15,098.0","-1,523.0","183.0","5,614.0","4,924.0","6,695.0"
"40","21","      Other \4\","A632RC1","444.0","340.0","1,028.0","376.0","136.0","36.0","152.0","604.0","744.0","444.0","792.0","932.0","1,372.0","1,532.0","1,580.0","2,408.0","768.0","1,956.0","468.0","-80.0","1,228.0","296.0","-784.0","520.0","-1,672.0","-408.0","616.0","1,380.0","912.0","2,156.0","1,744.0","1,372.0","444.0","224.0","1,160.0","-168.0","2,500.0","2,312.0","984.0","84.0","-304.0","92.0","180.0","-984.0","116.0","-168.0","-1,144.0","-1,156.0","3,740.0","488.0","1,288.0","1,988.0","-3,020.0","-2,032.0","448.0","1,224.0","2,324.0","3,380.0","2,256.0","2,332.0","4,492.0","4,172.0","732.0","4,664.0","3,148.0","1,416.0","4,064.0","1,072.0","5,272.0","1,376.0","2,940.0","-4,400.0","976.0","7,632.0","1,416.0","6,312.0","3,304.0","1,692.0","4,380.0","2,320.0","1,280.0","2,264.0","4,732.0","604.0","3,592.0","2,584.0","-2,240.0","-3,052.0","-4,472.0","-868.0","1,724.0","-164.0","-3,708.0","2,116.0","-988.0","2,148.0","3,716.0","2,292.0","5,116.0","9,704.0","3,280.0","9,860.0","5,304.0","5,960.0","2,792.0","5,072.0","8,176.0","-1,732.0","3,712.0","2,584.0","1,592.0","1,788.0","4,335.0","6,623.0","6,307.0","3,750.0"
"41","22","    Nondurable goods","A633RC1","944.0","1,652.0","1,228.0","752.0","20.0","1,268.0","1,012.0","1,616.0","2,284.0","616.0","1,604.0","2,220.0","1,164.0","2,140.0","1,352.0","1,152.0","1,516.0","996.0","-1,872.0","3,900.0","-1,612.0","668.0","-1,064.0","-3,260.0","-2,664.0","-3,956.0","-996.0","464.0","5,704.0","2,080.0","-828.0","60.0","648.0","1,544.0","896.0","1,136.0","3,296.0","4,348.0","1,736.0","232.0","-2,664.0","1,548.0","312.0","1,800.0","1,668.0","4,448.0","3,188.0","-768.0","4,204.0","1,644.0","7,024.0","3,948.0","-2,864.0","1,388.0","-184.0","1,048.0","1,644.0","6,416.0","4,660.0","4,580.0","13,916.0","7,888.0","4,844.0","6,384.0","768.0","2,712.0","7,244.0","4,028.0","5,192.0","-256.0","4,652.0","696.0","4,140.0","5,220.0","2,388.0","4,588.0","5,456.0","64.0","2,268.0","-480.0","6,520.0","9,064.0","5,436.0","4,356.0","668.0","2,144.0","-2,864.0","-1,736.0","3,464.0","2,372.0","3,540.0","10,656.0","-1,828.0","3,544.0","5,260.0","5,532.0","12,796.0","1,872.0","5,400.0","2,568.0","428.0","15,916.0","3,284.0","5,596.0","4,936.0","5,388.0","1,912.0","-1,520.0","-2,512.0","392.0","6,444.0","5,204.0","1,888.0","8,991.0","4,458.0","880.0"
"42","23","  Other","A154RC1","516.0","888.0","668.0","152.0","-84.0","-212.0","100.0","804.0","568.0","864.0","-204.0","636.0","748.0","976.0","440.0","568.0","680.0","356.0","916.0","1,332.0","3,376.0","-504.0","176.0","2,244.0","-1,408.0","628.0","1,200.0","2,312.0","1,612.0","1,516.0","-1,728.0","-440.0","4,244.0","-172.0","4,848.0","-36.0","2,584.0","1,940.0","4,184.0","-344.0","1,120.0","436.0","-668.0","-1,124.0","-6,888.0","2,904.0","-2,156.0","2,888.0","4,824.0","-2,164.0","12,996.0","11,036.0","2,332.0","1,128.0","-4,140.0","-8,004.0","6,232.0","-1,304.0","-4,840.0","-3,292.0","-16.0","-1,468.0","1,372.0","4,012.0","4,044.0","3,048.0","4,796.0","2,988.0","4,468.0","6,820.0","1,660.0","-3,520.0","1,636.0","1,120.0","-364.0","4,368.0","-1,440.0","-1,292.0","-1,416.0","-208.0","-2,540.0","-6,604.0","40.0","-3,908.0","1,428.0","480.0","-3,752.0","-11,116.0","1,832.0","6,232.0","292.0","2,292.0","5,028.0","36.0","-28.0","3,668.0","-2,128.0","7,104.0","1,200.0","4,400.0","3,232.0","5,084.0","-620.0","7,144.0","3,092.0","-784.0","120.0","5,412.0","-268.0","1,328.0","2,712.0","2,212.0","6,021.0","7,484.0","5,795.0","3,767.0"
"43","24","    Durable goods","A636RC1","-420.0","-20.0","500.0","-92.0","-40.0","-180.0","-180.0","192.0","44.0","-136.0","-508.0","-328.0","436.0","116.0","-140.0","60.0","824.0","-284.0","668.0","348.0","296.0","-608.0","392.0","12.0","-692.0","-324.0","516.0","96.0","472.0","-92.0","-716.0","84.0","92.0","1,016.0","-56.0","-644.0","936.0","1,016.0","556.0","-588.0","680.0","392.0","-40.0","-1,168.0","-328.0","-2,016.0","40.0","1,608.0","940.0","-176.0","272.0","-452.0","1,152.0","616.0","-44.0","880.0","440.0","-396.0","268.0","-2,636.0","2,420.0","312.0","-1,036.0","-1,356.0","148.0","-1,016.0","-880.0","404.0","-540.0","-732.0","-1,072.0","-132.0","-156.0","376.0","292.0","316.0","-404.0","-880.0","-808.0","1,072.0","248.0","172.0","232.0","1,132.0","1,276.0","12.0","-404.0","-1,036.0","-2,352.0","-584.0","1,736.0","-68.0","2,136.0","376.0","-1,304.0","548.0","-1,976.0","800.0","316.0","1,888.0","1,568.0","68.0","532.0","12.0","604.0","-772.0","-60.0","388.0","1,748.0","-1,464.0","768.0","364.0","830.0","1,045.0","1,170.0","692.0"
"44","25","    Nondurable goods","A637RC1","936.0","908.0","168.0","244.0","-44.0","-32.0","280.0","612.0","524.0","1,000.0","304.0","964.0","312.0","860.0","580.0","508.0","-144.0","640.0","248.0","984.0","3,080.0","104.0","-216.0","2,232.0","-716.0","952.0","684.0","2,216.0","1,140.0","1,608.0","-1,012.0","-524.0","4,152.0","-1,188.0","4,904.0","608.0","1,648.0","924.0","3,628.0","244.0","440.0","44.0","-628.0","44.0","-6,560.0","4,920.0","-2,196.0","1,280.0","3,884.0","-1,988.0","12,724.0","11,488.0","1,180.0","512.0","-4,096.0","-8,884.0","5,792.0","-908.0","-5,108.0","-656.0","-2,436.0","-1,780.0","2,408.0","5,368.0","3,896.0","4,064.0","5,676.0","2,584.0","5,008.0","7,552.0","2,732.0","-3,388.0","1,792.0","744.0","-656.0","4,052.0","-1,036.0","-412.0","-608.0","-1,280.0","-2,788.0","-6,776.0","-192.0","-5,040.0","152.0","468.0","-3,348.0","-10,080.0","4,184.0","6,816.0","-1,444.0","2,360.0","2,892.0","-340.0","1,276.0","3,120.0","-152.0","6,304.0","884.0","2,512.0","1,664.0","5,016.0","-1,152.0","7,132.0","2,488.0","-12.0","180.0","5,024.0","-2,016.0","2,792.0","1,944.0","1,848.0","5,191.0","6,439.0","4,625.0","3,075.0"
"45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","1. Beginning with 1991, includes change in farm materials and supplies inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2. Beginning with 1982, this series is derived from the Census Bureau series ""current cost",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","inventories.""  For earlier periods, it is derived from the Census Bureau ""book value inventories""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","series.  The series differ in the treatment of inventories reported on a last-in, first-out (LIFO)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
