"","Table 5#1# Saving and Investment by Sector","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92"
"28","9","      Personal saving","A071RC1","10,241.0","4,152.0","8,281.0","6,391.0","8,266.0","12,690.0","16,466.0","15,484.0","11,120.0","8,837.0","9,421.0","8,045.0","19,137.0","15,005.0","8,659.0","16,915.0","12,679.0","22,331.0","21,442.0","20,929.0","20,294.0","18,962.0","22,608.0","19,526.0","20,074.0","22,010.0","21,514.0","21,480.0","22,276.0","19,311.0","18,665.0","18,989.0","17,398.0","18,955.0","20,941.0","20,875.0","23,294.0","25,425.0","26,338.0","27,548.0","26,293.0","28,045.0","27,480.0","25,603.0","27,211.0","27,098.0","29,115.0","29,319.0","26,652.0","27,788.0","23,817.0","26,138.0","27,392.0","25,156.0","26,723.0","26,057.0","29,496.0","30,103.0","33,653.0","34,264.0","34,370.0","34,354.0","33,519.0","31,615.0","32,356.0","32,538.0","31,915.0","35,664.0","36,701.0","41,598.0","39,842.0","44,046.0","40,058.0","40,406.0","46,339.0","44,009.0","42,310.0","42,455.0","43,944.0","48,374.0","53,720.0","51,300.0","55,038.0","56,642.0","54,905.0","57,049.0","48,005.0","49,909.0","44,611.0"
"29","10","      Wage accruals less disbursements","B185RC1","0.0","12.0","32.0","16.0","136.0","136.0","-184.0","52.0","132.0","-316.0","0.0","0.0","0.0","0.0","0.0","96.0","160.0","-160.0","60.0","60.0","76.0","72.0","-364.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"30","11","  Net government saving","A922RC1","7,619.0","6,857.0","3,160.0","9,344.0","8,824.0","6,334.0","2,664.0","1,709.0","-1,855.0","-5,064.0","-4,836.0","-4,803.0","-7,346.0","3,530.0","15,320.0","16,001.0","19,946.0","12,564.0","7,773.0","8,683.0","9,761.0","5,761.0","4,386.0","6,931.0","7,173.0","6,627.0","6,945.0","399.0","210.0","1,316.0","1,604.0","3,048.0","6,541.0","9,962.0","8,622.0","11,629.0","12,730.0","11,131.0","12,204.0","11,575.0","10,877.0","8,560.0","8,369.0","1,965.0","-605.0","-5,824.0","-3,922.0","91.0","6,153.0","8,663.0","6,986.0","6,361.0","15,918.0","12,373.0","10,878.0","6,511.0","6,539.0","4,705.0","6,904.0","9,188.0","7,245.0","7,087.0","8,557.0","7,746.0","9,412.0","11,750.0","11,811.0","10,990.0","8,349.0","3,616.0","7,685.0","9,512.0","13,732.0","13,201.0","6,044.0","6,111.0","12,672.0","11,424.0","9,486.0","6,463.0","-2,049.0","-3,498.0","-2,103.0","-1,646.0","1,116.0","679.0","8,753.0","9,663.0","21,836.0"
"31","12","    Federal","A923RC1","5,992.0","5,236.0","2,028.0","8,008.0","7,800.0","5,140.0","1,432.0","240.0","-3,352.0","-6,468.0","-6,452.0","-6,120.0","-8,332.0","2,804.0","13,568.0","14,220.0","17,260.0","10,064.0","5,384.0","5,980.0","6,880.0","3,376.0","1,108.0","3,524.0","4,300.0","2,616.0","3,452.0","-3,204.0","-3,356.0","-1,960.0","-1,396.0","-32.0","3,520.0","6,688.0","4,804.0","7,712.0","8,452.0","6,648.0","7,708.0","7,232.0","6,056.0","4,252.0","4,300.0","-1,604.0","-3,292.0","-8,400.0","-6,532.0","-3,552.0","3,096.0","5,092.0","2,820.0","2,040.0","11,608.0","8,168.0","6,580.0","2,136.0","2,444.0","720.0","2,444.0","4,592.0","2,324.0","2,080.0","3,012.0","2,264.0","4,040.0","6,240.0","5,760.0","5,116.0","1,932.0","-2,656.0","1,204.0","3,140.0","7,516.0","6,660.0","-516.0","-684.0","4,924.0","3,380.0","1,508.0","-800.0","-9,580.0","-10,360.0","-8,460.0","-8,852.0","-6,048.0","-7,508.0","1,356.0","2,444.0","14,400.0"
"32","13","    State and local","A924RC1","1,627.0","1,621.0","1,132.0","1,336.0","1,024.0","1,194.0","1,232.0","1,469.0","1,497.0","1,404.0","1,616.0","1,317.0","986.0","726.0","1,752.0","1,781.0","2,686.0","2,500.0","2,389.0","2,703.0","2,881.0","2,385.0","3,278.0","3,407.0","2,873.0","4,011.0","3,493.0","3,603.0","3,566.0","3,276.0","3,000.0","3,080.0","3,021.0","3,274.0","3,818.0","3,917.0","4,278.0","4,483.0","4,496.0","4,343.0","4,821.0","4,308.0","4,069.0","3,569.0","2,687.0","2,576.0","2,610.0","3,643.0","3,057.0","3,571.0","4,166.0","4,321.0","4,310.0","4,205.0","4,298.0","4,375.0","4,095.0","3,985.0","4,460.0","4,596.0","4,921.0","5,007.0","5,545.0","5,482.0","5,372.0","5,510.0","6,051.0","5,874.0","6,417.0","6,272.0","6,481.0","6,372.0","6,216.0","6,541.0","6,560.0","6,795.0","7,748.0","8,044.0","7,978.0","7,263.0","7,531.0","6,862.0","6,357.0","7,206.0","7,164.0","8,187.0","7,397.0","7,219.0","7,436.0"
"33","14","Consumption of fixed capital","A262RC1","25,592.0","26,263.0","27,093.0","27,649.0","27,932.0","28,257.0","28,730.0","28,942.0","29,243.0","29,197.0","29,122.0","29,158.0","29,098.0","29,375.0","30,079.0","31,217.0","32,499.0","33,462.0","34,270.0","34,936.0","35,365.0","35,936.0","36,625.0","37,212.0","37,867.0","38,483.0","38,875.0","39,320.0","39,792.0","40,384.0","40,846.0","41,361.0","41,662.0","42,184.0","43,125.0","44,172.0","45,486.0","46,626.0","47,671.0","48,634.0","49,645.0","50,497.0","51,289.0","51,945.0","52,271.0","52,891.0","53,614.0","54,243.0","54,803.0","55,257.0","55,647.0","55,947.0","56,155.0","56,410.0","56,697.0","57,074.0","57,475.0","57,922.0","58,398.0","58,935.0","59,591.0","60,117.0","60,869.0","61,657.0","62,296.0","63,004.0","63,665.0","64,362.0","65,091.0","65,880.0","66,750.0","67,744.0","68,832.0","70,054.0","71,340.0","72,651.0","74,067.0","75,695.0","77,234.0","78,819.0","80,378.0","81,985.0","83,773.0","85,602.0","87,549.0","89,373.0","91,297.0","93,455.0","95,638.0"
"34","15","  Private","A024RC1","14,589.0","15,662.0","16,594.0","17,387.0","18,037.0","18,622.0","19,148.0","19,609.0","20,007.0","20,363.0","20,676.0","20,950.0","21,180.0","21,611.0","22,244.0","23,073.0","24,106.0","24,939.0","25,579.0","26,024.0","26,270.0","26,556.0","26,884.0","27,250.0","27,659.0","28,041.0","28,396.0","28,724.0","29,026.0","29,325.0","29,619.0","29,910.0","30,199.0","30,658.0","31,284.0","32,087.0","33,046.0","33,951.0","34,792.0","35,575.0","36,296.0","36,966.0","37,583.0","38,151.0","38,665.0","39,158.0","39,635.0","40,094.0","40,535.0","40,881.0","41,134.0","41,290.0","41,351.0","41,468.0","41,643.0","41,870.0","42,156.0","42,460.0","42,784.0","43,124.0","43,486.0","43,867.0","44,271.0","44,692.0","45,133.0","45,606.0","46,116.0","46,657.0","47,235.0","47,890.0","48,625.0","49,438.0","50,332.0","51,301.0","52,344.0","53,463.0","54,659.0","55,866.0","57,085.0","58,314.0","59,560.0","60,857.0","62,207.0","63,612.0","65,066.0","66,591.0","68,184.0","69,847.0","71,580.0"
"35","16","    Domestic business","W276RC1","12,251.0","13,160.0","13,951.0","14,626.0","15,181.0","15,685.0","16,142.0","16,548.0","16,902.0","17,212.0","17,475.0","17,695.0","17,869.0","18,216.0","18,739.0","19,432.0","20,301.0","20,994.0","21,518.0","21,871.0","22,048.0","22,266.0","22,525.0","22,821.0","23,162.0","23,479.0","23,772.0","24,043.0","24,291.0","24,526.0","24,745.0","24,950.0","25,144.0","25,496.0","26,005.0","26,679.0","27,500.0","28,279.0","29,009.0","29,692.0","30,328.0","30,920.0","31,467.0","31,973.0","32,434.0","32,865.0","33,270.0","33,647.0","33,997.0","34,256.0","34,428.0","34,507.0","34,496.0","34,545.0","34,653.0","34,818.0","35,043.0","35,287.0","35,549.0","35,829.0","36,128.0","36,440.0","36,768.0","37,108.0","37,462.0","37,841.0","38,250.0","38,683.0","39,144.0","39,672.0","40,267.0","40,929.0","41,658.0","42,460.0","43,334.0","44,280.0","45,301.0","46,332.0","47,375.0","48,428.0","49,494.0","50,599.0","51,743.0","52,928.0","54,149.0","55,417.0","56,730.0","58,088.0","59,493.0"
"36","17","    Households and institutions","W279RC1","2,338.0","2,502.0","2,643.0","2,761.0","2,856.0","2,937.0","3,006.0","3,061.0","3,105.0","3,151.0","3,201.0","3,255.0","3,311.0","3,395.0","3,505.0","3,641.0","3,805.0","3,945.0","4,061.0","4,153.0","4,222.0","4,290.0","4,359.0","4,429.0","4,497.0","4,562.0","4,624.0","4,681.0","4,735.0","4,799.0","4,874.0","4,960.0","5,055.0","5,162.0","5,279.0","5,408.0","5,546.0","5,672.0","5,783.0","5,883.0","5,968.0","6,046.0","6,116.0","6,178.0","6,231.0","6,293.0","6,365.0","6,447.0","6,538.0","6,625.0","6,706.0","6,783.0","6,855.0","6,923.0","6,990.0","7,052.0","7,113.0","7,173.0","7,235.0","7,295.0","7,358.0","7,427.0","7,503.0","7,584.0","7,671.0","7,765.0","7,866.0","7,974.0","8,091.0","8,218.0","8,358.0","8,509.0","8,674.0","8,841.0","9,010.0","9,183.0","9,358.0","9,534.0","9,710.0","9,886.0","10,066.0","10,258.0","10,464.0","10,684.0","10,917.0","11,174.0","11,454.0","11,759.0","12,087.0"
"37","18","  Government","A264RC1","11,003.0","10,601.0","10,499.0","10,262.0","9,895.0","9,635.0","9,582.0","9,333.0","9,236.0","8,834.0","8,446.0","8,208.0","7,918.0","7,764.0","7,835.0","8,144.0","8,393.0","8,523.0","8,691.0","8,912.0","9,095.0","9,380.0","9,741.0","9,962.0","10,208.0","10,442.0","10,479.0","10,596.0","10,766.0","11,059.0","11,227.0","11,451.0","11,463.0","11,526.0","11,841.0","12,085.0","12,440.0","12,675.0","12,879.0","13,059.0","13,349.0","13,531.0","13,706.0","13,794.0","13,606.0","13,733.0","13,979.0","14,149.0","14,268.0","14,376.0","14,513.0","14,657.0","14,804.0","14,942.0","15,054.0","15,204.0","15,319.0","15,462.0","15,614.0","15,811.0","16,105.0","16,250.0","16,598.0","16,965.0","17,163.0","17,398.0","17,549.0","17,705.0","17,856.0","17,990.0","18,125.0","18,306.0","18,500.0","18,753.0","18,996.0","19,188.0","19,408.0","19,829.0","20,149.0","20,505.0","20,818.0","21,128.0","21,566.0","21,990.0","22,483.0","22,782.0","23,113.0","23,608.0","24,058.0"
"38","19","    Federal","A918RC1","9,264.0","8,820.0","8,648.0","8,336.0","7,896.0","7,572.0","7,448.0","7,168.0","7,072.0","6,704.0","6,328.0","6,100.0","5,876.0","5,716.0","5,692.0","5,860.0","5,952.0","5,980.0","6,080.0","6,256.0","6,452.0","6,664.0","6,932.0","7,184.0","7,368.0","7,620.0","7,632.0","7,784.0","7,988.0","8,160.0","8,316.0","8,484.0","8,528.0","8,536.0","8,688.0","8,840.0","9,060.0","9,176.0","9,268.0","9,368.0","9,600.0","9,676.0","9,804.0","9,884.0","9,732.0","9,760.0","9,912.0","10,012.0","10,068.0","10,156.0","10,260.0","10,372.0","10,468.0","10,548.0","10,600.0","10,688.0","10,740.0","10,816.0","10,904.0","11,028.0","11,224.0","11,276.0","11,548.0","11,820.0","11,940.0","12,080.0","12,144.0","12,192.0","12,252.0","12,292.0","12,332.0","12,412.0","12,464.0","12,572.0","12,688.0","12,744.0","12,824.0","13,020.0","13,180.0","13,356.0","13,528.0","13,724.0","13,964.0","14,200.0","14,424.0","14,552.0","14,772.0","14,968.0","15,160.0"
"39","20","    State and local","A919RC1","1,739.0","1,781.0","1,851.0","1,926.0","1,999.0","2,063.0","2,134.0","2,165.0","2,164.0","2,130.0","2,118.0","2,108.0","2,042.0","2,048.0","2,143.0","2,284.0","2,441.0","2,543.0","2,611.0","2,656.0","2,643.0","2,716.0","2,809.0","2,778.0","2,840.0","2,822.0","2,847.0","2,812.0","2,778.0","2,899.0","2,911.0","2,967.0","2,935.0","2,990.0","3,153.0","3,245.0","3,380.0","3,499.0","3,611.0","3,691.0","3,749.0","3,855.0","3,902.0","3,910.0","3,874.0","3,973.0","4,067.0","4,137.0","4,200.0","4,220.0","4,253.0","4,285.0","4,336.0","4,394.0","4,454.0","4,516.0","4,579.0","4,646.0","4,710.0","4,783.0","4,881.0","4,974.0","5,050.0","5,145.0","5,223.0","5,318.0","5,405.0","5,513.0","5,604.0","5,698.0","5,793.0","5,894.0","6,036.0","6,181.0","6,308.0","6,444.0","6,584.0","6,809.0","6,969.0","7,149.0","7,290.0","7,404.0","7,602.0","7,790.0","8,059.0","8,230.0","8,341.0","8,640.0","8,898.0"
"40","21","    Gross domestic investment, capital account transactions, and net lending, NIPAs","A928RC1","47,370.0","46,534.0","47,508.0","53,950.0","56,128.0","57,814.0","58,310.0","57,881.0","51,685.0","45,266.0","48,297.0","44,501.0","52,436.0","57,948.0","63,673.0","73,993.0","73,309.0","81,420.0","80,556.0","79,339.0","80,566.0","72,964.0","75,293.0","78,849.0","80,458.0","80,932.0","80,500.0","74,507.0","74,830.0","74,768.0","76,288.0","80,088.0","85,710.0","89,741.0","91,515.0","94,538.0","95,678.0","95,896.0","99,401.0","99,454.0","101,556.0","100,623.0","102,752.0","93,235.0","87,089.0","84,789.0","93,839.0","101,316.0","105,187.0","109,622.0","105,208.0","106,232.0","118,491.0","109,711.0","111,365.0","101,752.0","106,987.0","109,737.0","117,303.0","120,782.0","125,463.0","125,327.0","127,155.0","122,939.0","127,329.0","130,311.0","134,453.0","137,277.0","143,118.0","141,931.0","144,766.0","146,796.0","155,665.0","157,659.0","162,095.0","164,398.0","175,074.0","172,775.0","173,150.0","178,603.0","177,136.0","169,283.0","174,832.0","178,978.0","181,981.0","189,658.0","185,026.0","188,711.0","202,679.0"
"41","22","Gross domestic investment","W170RC1","37,973.0","36,665.0","37,431.0","46,153.0","51,220.0","54,798.0","57,378.0","57,085.0","49,501.0","43,566.0","47,649.0","45,533.0","53,401.0","59,201.0","66,362.0","76,482.0","75,027.0","81,078.0","78,374.0","76,661.0","77,052.0","71,846.0","76,355.0","80,083.0","81,813.0","82,767.0","81,687.0","75,442.0","75,326.0","74,440.0","76,372.0","79,184.0","85,235.0","89,978.0","90,716.0","94,119.0","94,747.0","93,673.0","96,386.0","94,931.0","96,016.0","95,825.0","97,850.0","89,649.0","85,628.0","83,980.0","92,802.0","101,467.0","106,711.0","111,730.0","105,788.0","107,108.0","116,767.0","107,224.0","107,668.0","96,974.0","101,654.0","105,720.0","113,544.0","117,037.0","122,412.0","120,559.0","123,025.0","119,692.0","123,450.0","124,993.0","129,828.0","131,313.0","134,876.0","135,189.0","137,206.0","139,470.0","149,918.0","150,622.0","156,145.0","158,502.0","170,392.0","168,859.0","170,429.0","174,688.0","172,764.0","165,727.0","171,655.0","176,151.0","180,325.0","187,440.0","183,554.0","187,929.0","201,074.0"
"42","23","  Gross private domestic investment","A006RC1","33,716.0","32,372.0","32,719.0","41,027.0","44,972.0","48,100.0","50,248.0","49,090.0","40,936.0","34,045.0","37,332.0","35,153.0","44,370.0","49,850.0","56,131.0","65,899.0","62,053.0","64,848.0","59,384.0","54,359.0","55,197.0","49,875.0","53,882.0","57,144.0","57,877.0","58,143.0","57,382.0","52,344.0","51,546.0","51,237.0","54,698.0","57,792.0","64,236.0","68,084.0","69,970.0","73,855.0","72,978.0","71,428.0","72,490.0","71,204.0","71,778.0","71,912.0","73,239.0","64,904.0","60,518.0","58,717.0","65,469.0","73,243.0","76,185.0","82,226.0","76,442.0","79,278.0","89,079.0","79,685.0","78,693.0","68,110.0","70,294.0","75,757.0","82,351.0","84,238.0","89,376.0","87,905.0","89,288.0","85,959.0","90,476.0","92,167.0","94,985.0","97,398.0","100,652.0","100,565.0","102,451.0","104,568.0","115,685.0","115,846.0","119,652.0","121,784.0","131,730.0","130,681.0","130,158.0","132,651.0","129,315.0","123,681.0","128,498.0","132,895.0","137,202.0","143,426.0","139,721.0","144,350.0","155,715.0"
"43","24","    Domestic business","W987RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","62,057.0","54,541.0","54,424.0","44,014.0","46,465.0","51,914.0","57,579.0","58,822.0","63,602.0","61,503.0","63,028.0","59,940.0","63,786.0","63,938.0","66,600.0","68,110.0","70,125.0","70,884.0","72,915.0","74,671.0","85,177.0","84,761.0","88,252.0","90,100.0","99,818.0","99,979.0","100,396.0","104,845.0","102,073.0","93,773.0","97,299.0","99,789.0","103,687.0","109,374.0","105,406.0","108,545.0","118,259.0"
"44","25","    Households and institutions","W988RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","27,022.0","25,144.0","24,269.0","24,096.0","23,829.0","23,843.0","24,772.0","25,416.0","25,774.0","26,402.0","26,260.0","26,019.0","26,690.0","28,229.0","28,385.0","29,288.0","30,527.0","29,681.0","29,536.0","29,897.0","30,508.0","31,085.0","31,400.0","31,684.0","31,912.0","30,702.0","29,762.0","27,806.0","27,242.0","29,908.0","31,199.0","33,106.0","33,515.0","34,052.0","34,315.0","35,805.0","37,456.0"
"45","26","  Gross government investment","A782RC1","4,257.0","4,293.0","4,712.0","5,126.0","6,248.0","6,698.0","7,130.0","7,995.0","8,565.0","9,521.0","10,317.0","10,380.0","9,031.0","9,351.0","10,231.0","10,583.0","12,974.0","16,230.0","18,990.0","22,302.0","21,855.0","21,971.0","22,473.0","22,939.0","23,936.0","24,624.0","24,305.0","23,098.0","23,780.0","23,203.0","21,674.0","21,392.0","20,999.0","21,894.0","20,746.0","20,264.0","21,769.0","22,245.0","23,896.0","23,727.0","24,238.0","23,913.0","24,611.0","24,745.0","25,110.0","25,263.0","27,333.0","28,224.0","30,526.0","29,504.0","29,346.0","27,830.0","27,688.0","27,539.0","28,975.0","28,864.0","31,360.0","29,963.0","31,193.0","32,799.0","33,036.0","32,654.0","33,737.0","33,733.0","32,974.0","32,826.0","34,843.0","33,915.0","34,224.0","34,624.0","34,755.0","34,902.0","34,233.0","34,776.0","36,493.0","36,718.0","38,662.0","38,178.0","40,271.0","42,037.0","43,449.0","42,046.0","43,157.0","43,256.0","43,123.0","44,014.0","43,833.0","43,579.0","45,359.0"
"46","27","    Federal","A787RC1","1,616.0","1,612.0","1,820.0","1,976.0","2,836.0","2,812.0","2,868.0","3,480.0","3,820.0","4,208.0","4,672.0","4,716.0","3,484.0","3,676.0","4,276.0","4,312.0","6,468.0","9,176.0","11,792.0","15,192.0","14,580.0","14,696.0","15,184.0","15,492.0","16,216.0","16,996.0","16,380.0","14,732.0","14,932.0","14,092.0","12,284.0","11,964.0","11,280.0","11,892.0","10,596.0","9,996.0","10,836.0","10,980.0","12,528.0","12,244.0","11,912.0","11,432.0","12,132.0","11,952.0","12,084.0","12,100.0","13,588.0","14,024.0","16,028.0","15,252.0","15,516.0","14,724.0","14,332.0","13,768.0","14,724.0","14,552.0","16,200.0","15,664.0","16,396.0","16,864.0","17,420.0","17,020.0","17,748.0","17,492.0","15,996.0","15,812.0","16,984.0","15,708.0","15,880.0","15,484.0","15,492.0","15,692.0","14,816.0","14,412.0","14,904.0","14,696.0","16,300.0","15,456.0","17,252.0","17,668.0","18,004.0","16,764.0","18,328.0","17,576.0","16,556.0","16,232.0","15,884.0","15,208.0","16,812.0"
"47","28","    State and local","A799RC1","2,641.0","2,681.0","2,892.0","3,150.0","3,412.0","3,886.0","4,262.0","4,515.0","4,745.0","5,313.0","5,645.0","5,664.0","5,547.0","5,675.0","5,955.0","6,271.0","6,506.0","7,054.0","7,198.0","7,110.0","7,275.0","7,275.0","7,289.0","7,447.0","7,720.0","7,628.0","7,925.0","8,366.0","8,848.0","9,111.0","9,390.0","9,428.0","9,719.0","10,002.0","10,150.0","10,268.0","10,933.0","11,265.0","11,368.0","11,483.0","12,326.0","12,481.0","12,479.0","12,793.0","13,026.0","13,163.0","13,745.0","14,200.0","14,498.0","14,252.0","13,830.0","13,106.0","13,356.0","13,771.0","14,251.0","14,312.0","15,160.0","14,299.0","14,797.0","15,935.0","15,616.0","15,634.0","15,989.0","16,241.0","16,978.0","17,014.0","17,859.0","18,207.0","18,344.0","19,140.0","19,263.0","19,210.0","19,417.0","20,364.0","21,589.0","22,022.0","22,362.0","22,722.0","23,019.0","24,369.0","25,445.0","25,282.0","24,829.0","25,680.0","26,567.0","27,782.0","27,949.0","28,371.0","28,547.0"
"48","29","Capital account transactions (net) \1\","W167RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","4.0"
"49","30","  Private","W999RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","799.0","774.0","634.0","1,104.0","1,109.0","730.0","817.0","930.0","684.0","847.0","918.0","967.0","1,183.0","981.0","1,078.0","1,216.0","900.0","1,081.0","1,096.0","2,256.0","1,634.0","1,882.0","1,731.0","1,777.0","1,494.0","1,949.0","1,662.0","2,034.0","2,479.0","2,939.0","1,728.0","3,797.0","4,205.0","3,347.0","3,559.0","2,770.0","3,343.0"
"50","31","    Domestic business","W989RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-573.0","-821.0","-840.0","-767.0","-712.0","-907.0","-981.0","-806.0","-943.0","-1,075.0","-912.0","-957.0","-762.0","-1,053.0","-1,067.0","-667.0","-1,107.0","-1,308.0","-1,357.0","-254.0","-981.0","-554.0","-886.0","-1,014.0","-1,414.0","-968.0","-1,124.0","-689.0","-462.0","121.0","-1,371.0","985.0","1,659.0","435.0","418.0","-643.0","-382.0"
"51","32","    Households and institutions","W990RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,372.0","1,595.0","1,474.0","1,871.0","1,821.0","1,637.0","1,798.0","1,736.0","1,627.0","1,922.0","1,830.0","1,924.0","1,945.0","2,034.0","2,145.0","1,883.0","2,007.0","2,389.0","2,453.0","2,510.0","2,615.0","2,436.0","2,617.0","2,791.0","2,908.0","2,917.0","2,786.0","2,723.0","2,941.0","2,818.0","3,099.0","2,812.0","2,546.0","2,912.0","3,141.0","3,413.0","3,725.0"
"52","33","  Government","W991RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-800.0","-774.0","-634.0","-1,104.0","-1,107.0","-729.0","-816.0","-928.0","-684.0","-848.0","-920.0","-968.0","-1,183.0","-981.0","-1,078.0","-1,218.0","-901.0","-1,081.0","-1,098.0","-2,256.0","-1,635.0","-1,881.0","-1,731.0","-1,777.0","-1,494.0","-1,947.0","-1,662.0","-2,033.0","-2,481.0","-2,940.0","-1,729.0","-3,798.0","-4,204.0","-3,347.0","-3,559.0","-2,770.0","-3,339.0"
"53","34","    Federal","W992RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,136.0","1,464.0","1,724.0","928.0","1,448.0","1,460.0","1,376.0","1,328.0","1,732.0","1,716.0","1,356.0","1,648.0","1,564.0","1,864.0","1,988.0","2,088.0","2,148.0","2,312.0","2,716.0","1,340.0","1,880.0","1,552.0","1,632.0","1,724.0","2,212.0","1,800.0","2,196.0","1,748.0","1,268.0","-68.0","2,216.0","464.0","1,020.0","1,484.0","2,204.0","3,120.0","2,488.0"
"54","35","    State and local","W993RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-1,936.0","-2,238.0","-2,358.0","-2,032.0","-2,555.0","-2,189.0","-2,192.0","-2,256.0","-2,416.0","-2,564.0","-2,276.0","-2,616.0","-2,747.0","-2,845.0","-3,066.0","-3,306.0","-3,049.0","-3,393.0","-3,814.0","-3,596.0","-3,515.0","-3,433.0","-3,363.0","-3,501.0","-3,706.0","-3,747.0","-3,858.0","-3,781.0","-3,749.0","-2,872.0","-3,945.0","-4,262.0","-5,224.0","-4,831.0","-5,763.0","-5,890.0","-5,827.0"
