"","Table 7#11# Interest Paid and Received by Sector and Legal Form ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27"
"21","2","  Domestic business \1\","A2062C1","3,946.0","4,410.0","4,952.0","5,534.0","6,027.0","6,944.0","7,871.0","8,699.0","9,489.0","10,677.0","12,260.0","14,463.0","15,902.0","17,936.0","20,436.0","22,022.0","25,280.0","28,453.0","31,914.0","35,992.0","42,092.0","47,290.0","54,432.0","67,337.0"
"22","3","    Corporate business","A2063C1","2,712.0","3,027.0","3,349.0","3,737.0","3,980.0","4,571.0","5,262.0","5,899.0","6,454.0","7,302.0","8,554.0","10,329.0","11,403.0","13,015.0","15,120.0","16,244.0","18,971.0","21,571.0","24,090.0","27,443.0","32,672.0","37,035.0","43,131.0","54,357.0"
"23","4","      Financial","A1100C1","870.0","1,009.0","1,133.0","1,308.0","1,427.0","1,613.0","1,950.0","2,363.0","2,683.0","3,158.0","3,851.0","4,853.0","5,426.0","6,278.0","7,564.0","8,183.0","9,971.0","11,664.0","13,305.0","15,521.0","18,533.0","20,789.0","23,967.0","29,365.0"
"24","5","        On deposits \2\","B1305C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","4,654.0","5,507.0","6,222.0","7,767.0","9,049.0","10,384.0","12,077.0","14,122.0","16,219.0","18,195.0","20,130.0"
"25","6","        On other liabilities","B1306C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,624.0","2,057.0","1,961.0","2,204.0","2,615.0","2,921.0","3,444.0","4,411.0","4,570.0","5,772.0","9,235.0"
"26","7","      Nonfinancial","B1101C1","1,842.0","2,018.0","2,216.0","2,429.0","2,553.0","2,958.0","3,312.0","3,536.0","3,771.0","4,144.0","4,703.0","5,476.0","5,977.0","6,737.0","7,556.0","8,061.0","9,000.0","9,907.0","10,785.0","11,922.0","14,139.0","16,246.0","19,164.0","24,992.0"
"27","8","    Sole proprietorships and partnerships","A2064C1","639.0","757.0","871.0","947.0","1,061.0","1,249.0","1,352.0","1,401.0","1,476.0","1,652.0","1,838.0","2,020.0","2,178.0","2,417.0","2,602.0","2,822.0","3,131.0","3,402.0","3,991.0","4,372.0","4,901.0","5,489.0","6,149.0","7,434.0"
"28","9","      Farm","B1103C1","325.0","361.0","411.0","452.0","503.0","588.0","656.0","652.0","660.0","702.0","758.0","811.0","892.0","1,004.0","1,098.0","1,147.0","1,262.0","1,269.0","1,542.0","1,699.0","1,913.0","2,129.0","2,290.0","2,489.0"
"29","10","      Nonfarm","B1102C1","314.0","396.0","460.0","495.0","558.0","661.0","696.0","749.0","816.0","950.0","1,080.0","1,209.0","1,286.0","1,413.0","1,504.0","1,675.0","1,869.0","2,133.0","2,449.0","2,673.0","2,988.0","3,360.0","3,859.0","4,945.0"
"30","11","    Other private business","A2065C1","596.0","627.0","732.0","850.0","986.0","1,124.0","1,257.0","1,400.0","1,559.0","1,722.0","1,868.0","2,114.0","2,321.0","2,504.0","2,714.0","2,956.0","3,178.0","3,480.0","3,833.0","4,177.0","4,520.0","4,766.0","5,151.0","5,546.0"
"31","12","      Rental income of persons","B1130C1","582.0","612.0","712.0","822.0","953.0","1,085.0","1,212.0","1,350.0","1,506.0","1,665.0","1,807.0","2,049.0","2,251.0","2,427.0","2,630.0","2,868.0","3,085.0","3,379.0","3,728.0","4,065.0","4,400.0","4,637.0","5,003.0","5,393.0"
"32","13","      Proprietors' income","B2631C1","14.0","15.0","20.0","28.0","33.0","39.0","45.0","50.0","53.0","57.0","61.0","65.0","70.0","77.0","84.0","88.0","93.0","101.0","105.0","112.0","120.0","129.0","148.0","153.0"
"33","14","  Households and nonprofit institutions","W291RC1","1,796.0","2,307.0","2,907.0","3,410.0","4,157.0","4,727.0","5,404.0","6,428.0","7,088.0","8,167.0","9,479.0","10,533.0","11,331.0","12,584.0","14,190.0","15,200.0","16,636.0","18,403.0","20,492.0","22,661.0","24,539.0","25,846.0","28,336.0","31,721.0"
"34","15","    Households","W292RC1","1,737.0","2,244.0","2,842.0","3,339.0","4,082.0","4,650.0","5,322.0","6,344.0","7,000.0","8,075.0","9,384.0","10,434.0","11,229.0","12,474.0","14,065.0","15,060.0","16,481.0","18,228.0","20,269.0","22,386.0","24,183.0","25,399.0","27,796.0","31,081.0"
"35","16","      Owner-occupied housing","W498RC1","1,005.0","1,193.0","1,414.0","1,585.0","1,807.0","2,136.0","2,453.0","2,768.0","3,185.0","3,627.0","4,281.0","4,970.0","5,651.0","6,348.0","7,051.0","7,716.0","8,632.0","9,351.0","10,297.0","11,262.0","12,150.0","12,862.0","13,949.0","15,368.0"
"36","17","      Persons \3\","W293RC1","732.0","1,051.0","1,428.0","1,754.0","2,275.0","2,514.0","2,869.0","3,576.0","3,815.0","4,448.0","5,103.0","5,464.0","5,578.0","6,126.0","7,014.0","7,344.0","7,849.0","8,877.0","9,972.0","11,124.0","12,033.0","12,537.0","13,847.0","15,713.0"
"37","18","    Nonprofit institutions","W319RC1","59.0","63.0","65.0","71.0","75.0","77.0","82.0","84.0","88.0","92.0","95.0","99.0","102.0","110.0","125.0","140.0","155.0","175.0","223.0","275.0","356.0","447.0","540.0","640.0"
"38","19","  Government","W500RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","10,406.0","10,161.0","11,111.0","11,970.0","12,933.0","13,702.0","15,080.0","16,415.0","18,807.0","20,669.0"
"39","20","    Federal","A091RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","8,354.0","7,913.0","8,644.0","9,295.0","10,013.0","10,561.0","11,639.0","12,664.0","14,600.0","15,823.0"
"40","21","    State and local","W497RC1","557.0","550.0","549.0","579.0","623.0","677.0","733.0","810.0","945.0","1,088.0","1,241.0","1,399.0","1,566.0","1,782.0","2,052.0","2,248.0","2,467.0","2,675.0","2,920.0","3,141.0","3,441.0","3,751.0","4,207.0","4,846.0"
"41","22","  Rest of the world","W290RC1","179.0","224.0","269.0","277.0","301.0","384.0","406.0","448.0","487.0","516.0","481.0","550.0","712.0","810.0","1,019.0","1,185.0","1,387.0","1,577.0","1,811.0","2,081.0","2,394.0","2,654.0","3,061.0","3,656.0"
"42","23","    To business and persons","B1132C1","158.0","158.0","167.0","179.0","192.0","186.0","202.0","196.0","215.0","242.0","287.0","345.0","405.0","461.0","670.0","802.0","914.0","1,078.0","1,349.0","1,571.0","1,795.0","2,018.0","2,305.0","2,731.0"
"43","24","    To federal government","B1133C1","21.0","66.0","102.0","98.0","109.0","198.0","204.0","252.0","272.0","274.0","194.0","205.0","307.0","349.0","349.0","383.0","473.0","499.0","462.0","510.0","599.0","636.0","756.0","925.0"
"44","25","Monetary interest received","A2068C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","46,051.0","48,568.0","54,414.0","60,402.0","67,150.0","74,436.0","84,105.0","92,205.0","104,636.0","123,383.0"
"45","26","  Domestic business \1\","A2069C1","5,945.0","6,348.0","7,125.0","7,784.0","8,578.0","9,633.0","10,829.0","12,070.0","12,892.0","14,561.0","16,713.0","18,930.0","20,031.0","23,200.0","26,366.0","27,702.0","30,896.0","34,286.0","37,858.0","41,637.0","47,003.0","51,339.0","59,305.0","70,918.0"
"46","27","    Corporate business","A2070C1","5,890.0","6,291.0","7,063.0","7,714.0","8,482.0","9,525.0","10,711.0","11,930.0","12,725.0","14,349.0","16,488.0","18,696.0","19,780.0","22,921.0","26,038.0","27,283.0","30,432.0","33,842.0","37,370.0","41,225.0","46,696.0","50,895.0","58,759.0","70,219.0"
"47","28","      Financial","B1134C1","5,323.0","5,782.0","6,502.0","7,100.0","7,749.0","8,694.0","9,812.0","10,992.0","11,805.0","13,250.0","15,206.0","17,231.0","18,352.0","21,065.0","23,885.0","25,117.0","28,020.0","31,024.0","34,311.0","37,969.0","42,854.0","46,647.0","53,362.0","62,958.0"
"48","29","      Nonfinancial","B1135C1","567.0","509.0","561.0","614.0","733.0","831.0","899.0","938.0","920.0","1,099.0","1,282.0","1,465.0","1,428.0","1,856.0","2,153.0","2,166.0","2,412.0","2,818.0","3,059.0","3,256.0","3,842.0","4,248.0","5,397.0","7,261.0"
"49","30","    Financial sole proprietorships and partnerships \4\","B1136C1","50.0","50.0","55.0","63.0","88.0","99.0","109.0","131.0","157.0","202.0","214.0","222.0","239.0","266.0","314.0","403.0","446.0","426.0","468.0","389.0","281.0","412.0","526.0","677.0"
"50","31","    Other private business","B1137C1","5.0","7.0","7.0","7.0","8.0","9.0","9.0","9.0","10.0","10.0","11.0","12.0","12.0","13.0","14.0","16.0","18.0","18.0","20.0","23.0","26.0","32.0","20.0","22.0"
"51","32","  Persons \4\","B1138C1","4,608.0","5,142.0","5,656.0","6,273.0","6,879.0","7,517.0","8,029.0","8,799.0","9,741.0","10,380.0","11,589.0","13,168.0","14,343.0","15,561.0","17,340.0","18,494.0","20,834.0","23,135.0","26,004.0","28,989.0","32,402.0","35,497.0","38,753.0","44,204.0"
"52","33","    Publicly administered government employee retirement plans \5\","B1169C1","218.0","233.0","253.0","283.0","313.0","349.0","388.0","411.0","472.0","504.0","541.0","582.0","653.0","853.0","994.0","1,143.0","1,296.0","1,464.0","1,698.0","1,860.0","2,193.0","2,582.0","2,724.0","2,934.0"
"53","34","    Other \6\","B1170C1","4,390.0","4,909.0","5,403.0","5,990.0","6,566.0","7,168.0","7,641.0","8,388.0","9,269.0","9,876.0","11,048.0","12,586.0","13,690.0","14,708.0","16,346.0","17,351.0","19,538.0","21,671.0","24,306.0","27,129.0","30,209.0","32,915.0","36,029.0","41,270.0"
"54","35","  Government","A2071C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,735.0","1,821.0","2,036.0","2,166.0","2,338.0","2,700.0","3,241.0","3,723.0","4,408.0","4,646.0"
"55","36","    Federal","B1139C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,025.0","1,096.0","1,251.0","1,262.0","1,245.0","1,358.0","1,604.0","1,870.0","2,225.0","1,866.0"
"56","37","    State and local","B1140C1","181.0","209.0","189.0","192.0","201.0","250.0","254.0","281.0","301.0","339.0","411.0","486.0","512.0","555.0","710.0","725.0","785.0","904.0","1,093.0","1,342.0","1,637.0","1,853.0","2,183.0","2,780.0"
"57","38","  Rest of the world","A2072C1","44.0","56.0","45.0","47.0","61.0","78.0","98.0","134.0","102.0","140.0","200.0","258.0","270.0","402.0","609.0","550.0","648.0","816.0","950.0","1,110.0","1,459.0","1,646.0","2,170.0","3,615.0"
"58","39","    From business","B1141C1","29.0","40.0","28.0","22.0","30.0","31.0","34.0","48.0","43.0","46.0","46.0","57.0","131.0","121.0","277.0","272.0","309.0","415.0","497.0","621.0","910.0","1,048.0","1,468.0","2,838.0"
"59","40","    From federal government","B093RC1","15.0","16.0","17.0","25.0","31.0","47.0","64.0","86.0","59.0","94.0","154.0","201.0","139.0","281.0","332.0","278.0","339.0","401.0","453.0","489.0","549.0","598.0","702.0","777.0"
"60",NA,"          Imputed interest"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","41","Total imputed interest paid (43+70)","W294RC1","2,885.0","2,934.0","2,772.0","2,811.0","3,009.0","2,990.0","3,347.0","3,964.0","4,291.0","4,890.0","5,312.0","5,627.0","5,801.0","6,412.0","7,103.0","7,661.0","7,960.0","8,179.0","9,290.0","9,353.0","9,590.0","10,972.0","11,239.0","14,976.0"
"62","42","Total imputed interest received (49+89)","W295RC1","2,885.0","2,935.0","2,773.0","2,811.0","3,010.0","2,991.0","3,347.0","3,966.0","4,290.0","4,890.0","5,312.0","5,627.0","5,800.0","6,410.0","7,103.0","7,662.0","7,961.0","8,178.0","9,290.0","9,354.0","9,590.0","10,976.0","11,244.0","14,973.0"
"63",NA,"Depositor and insurance services:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","43","  Imputed interest paid","A2073C1","3,475.0","3,748.0","3,805.0","3,948.0","4,313.0","4,578.0","5,084.0","5,879.0","6,241.0","7,024.0","7,779.0","8,296.0","8,569.0","9,466.0","10,475.0","11,099.0","11,666.0","12,087.0","13,472.0","14,142.0","15,224.0","16,889.0","18,217.0","22,745.0"
"65","44","    Domestic corporate business, financial","W353RC1","3,475.0","3,748.0","3,805.0","3,948.0","4,313.0","4,578.0","5,084.0","5,879.0","6,241.0","7,024.0","7,779.0","8,296.0","8,569.0","9,466.0","10,475.0","11,099.0","11,666.0","12,087.0","13,472.0","14,142.0","15,224.0","16,889.0","18,217.0","22,745.0"
"66","45","      Banks, credit agencies, and investment companies","B1310C1","2,299.0","2,278.0","2,376.0","2,420.0","2,566.0","2,726.0","3,045.0","3,614.0","3,831.0","4,352.0","4,842.0","5,013.0","4,972.0","5,570.0","6,152.0","6,374.0","6,553.0","6,529.0","7,456.0","7,658.0","8,276.0","9,418.0","10,179.0","13,781.0"
"67","46","      Life insurance carriers","B1311C1","1,068.0","1,347.0","1,293.0","1,384.0","1,596.0","1,681.0","1,842.0","2,039.0","2,170.0","2,418.0","2,665.0","2,979.0","3,258.0","3,523.0","3,916.0","4,290.0","4,653.0","5,071.0","5,494.0","5,917.0","6,308.0","6,754.0","7,246.0","8,067.0"
"68","47","      Property and casualty insurance companies","W354RC1","108.0","123.0","136.0","143.0","150.0","171.0","197.0","226.0","240.0","254.0","273.0","304.0","339.0","373.0","407.0","435.0","460.0","487.0","522.0","567.0","639.0","717.0","793.0","897.0"
"69","48","    Rest of the world","W355RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"70","49","  Imputed interest received","A2074C1","3,475.0","3,748.0","3,805.0","3,948.0","4,313.0","4,578.0","5,084.0","5,880.0","6,241.0","7,024.0","7,779.0","8,296.0","8,569.0","9,466.0","10,475.0","11,099.0","11,667.0","12,086.0","13,472.0","14,144.0","15,226.0","16,894.0","18,223.0","22,742.0"
"71","50","    Domestic business \1\","A2075C1","858.0","938.0","967.0","984.0","1,036.0","1,110.0","1,288.0","1,413.0","1,429.0","1,585.0","1,777.0","1,878.0","1,852.0","2,189.0","2,420.0","2,473.0","2,525.0","2,574.0","2,794.0","2,842.0","3,106.0","3,595.0","3,930.0","5,197.0"
"72","51","      Corporate business","A2076C1","596.0","662.0","686.0","704.0","747.0","798.0","932.0","1,043.0","1,053.0","1,179.0","1,337.0","1,397.0","1,377.0","1,583.0","1,757.0","1,809.0","1,867.0","1,908.0","2,066.0","2,118.0","2,343.0","2,740.0","3,024.0","4,032.0"
"73","52","        Financial","B1143C1","120.0","150.0","160.0","167.0","167.0","164.0","205.0","243.0","250.0","284.0","331.0","314.0","309.0","520.0","572.0","562.0","571.0","555.0","580.0","621.0","744.0","859.0","970.0","1,267.0"
"74","53","        Nonfinancial","B1144C1","476.0","512.0","526.0","537.0","580.0","633.0","727.0","800.0","803.0","895.0","1,005.0","1,083.0","1,068.0","1,063.0","1,186.0","1,247.0","1,297.0","1,353.0","1,486.0","1,496.0","1,599.0","1,881.0","2,055.0","2,765.0"
"75","54","      Sole proprietorships and partnerships","A2077C1","261.0","275.0","279.0","279.0","287.0","310.0","354.0","367.0","373.0","403.0","437.0","478.0","472.0","603.0","658.0","660.0","653.0","661.0","723.0","719.0","758.0","848.0","888.0","1,144.0"
"76","55","        Farm","B1146C1","71.0","77.0","76.0","72.0","73.0","76.0","85.0","75.0","72.0","73.0","75.0","79.0","81.0","136.0","145.0","147.0","150.0","147.0","165.0","165.0","172.0","195.0","209.0","274.0"
"77","56","        Nonfarm","B1145C1","190.0","198.0","203.0","207.0","214.0","234.0","269.0","292.0","301.0","330.0","362.0","399.0","391.0","467.0","513.0","513.0","503.0","514.0","558.0","554.0","586.0","653.0","679.0","870.0"
"78","57","      Other private business","B2078C1","1.0","1.0","2.0","2.0","2.0","2.0","2.0","2.0","3.0","3.0","3.0","3.0","3.0","4.0","4.0","4.0","4.0","5.0","5.0","5.0","6.0","7.0","17.0","21.0"
"79","58","    Households and nonprofit institutions","W314RC1","2,103.0","2,460.0","2,430.0","2,540.0","2,855.0","3,010.0","3,284.0","3,924.0","4,247.0","4,841.0","5,365.0","5,717.0","5,992.0","6,511.0","7,216.0","7,776.0","8,261.0","8,556.0","9,589.0","10,227.0","11,043.0","12,073.0","12,926.0","15,746.0"
"80","59","      Households","W315RC1","2,101.0","2,458.0","2,427.0","2,537.0","2,852.0","3,008.0","3,281.0","3,920.0","4,243.0","4,837.0","5,361.0","5,712.0","5,987.0","6,506.0","7,210.0","7,769.0","8,254.0","8,549.0","9,582.0","10,219.0","11,035.0","12,064.0","12,917.0","15,735.0"
"81","60","        Owner-occupied housing","W316RC1","13.0","14.0","15.0","17.0","18.0","19.0","21.0","24.0","26.0","27.0","29.0","32.0","35.0","39.0","40.0","38.0","36.0","36.0","37.0","40.0","42.0","47.0","52.0","58.0"
"82","61","        Persons","A1147C1","2,089.0","2,444.0","2,412.0","2,521.0","2,834.0","2,989.0","3,259.0","3,896.0","4,217.0","4,809.0","5,331.0","5,680.0","5,951.0","6,467.0","7,170.0","7,732.0","8,218.0","8,513.0","9,545.0","10,180.0","10,993.0","12,017.0","12,865.0","15,677.0"
"83","62","          From banks credit agencies, and investment companies","B1611C1","987.0","1,055.0","1,071.0","1,086.0","1,185.0","1,244.0","1,340.0","1,764.0","1,947.0","2,285.0","2,551.0","2,571.0","2,547.0","2,782.0","3,075.0","3,249.0","3,360.0","3,219.0","3,807.0","3,993.0","4,373.0","4,910.0","5,226.0","7,169.0"
"84","63","          From life insurance carriers","B1612C1","1,068.0","1,347.0","1,293.0","1,384.0","1,596.0","1,681.0","1,842.0","2,039.0","2,170.0","2,418.0","2,665.0","2,979.0","3,258.0","3,523.0","3,916.0","4,290.0","4,653.0","5,071.0","5,494.0","5,917.0","6,308.0","6,754.0","7,246.0","8,067.0"
"85","64","          From property and casualty insurance companies","W356RC1","34.0","42.0","48.0","51.0","53.0","64.0","77.0","93.0","100.0","106.0","115.0","130.0","146.0","162.0","179.0","193.0","205.0","223.0","244.0","270.0","313.0","353.0","393.0","442.0"
"86","65","      Nonprofit institutions","W317RC1","2.0","2.0","2.0","2.0","3.0","3.0","3.0","3.0","4.0","4.0","4.0","5.0","5.0","5.0","6.0","6.0","7.0","7.0","7.0","7.0","8.0","9.0","10.0","11.0"
"87","66","    Government","A2079C1","380.0","237.0","293.0","290.0","275.0","286.0","323.0","358.0","394.0","421.0","456.0","503.0","527.0","557.0","640.0","653.0","675.0","764.0","870.0","852.0","843.0","982.0","1,092.0","1,414.0"
"88","67","      Federal","B1148C1","285.0","130.0","174.0","164.0","141.0","143.0","159.0","172.0","196.0","201.0","212.0","245.0","276.0","258.0","303.0","317.0","347.0","423.0","478.0","442.0","387.0","464.0","510.0","624.0"
"89","68","      State and local","B1149C1","95.0","107.0","119.0","126.0","134.0","143.0","164.0","186.0","198.0","220.0","244.0","258.0","251.0","299.0","337.0","336.0","328.0","341.0","392.0","410.0","456.0","518.0","582.0","790.0"
"90","69","    Rest of the world","W357RC1","134.0","113.0","115.0","133.0","147.0","172.0","189.0","185.0","172.0","177.0","182.0","198.0","198.0","208.0","199.0","198.0","206.0","192.0","218.0","223.0","233.0","245.0","275.0","384.0"
"91",NA,"Borrower services:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","70","  Imputed interest paid","W358RC1","-590.0","-814.0","-1,033.0","-1,137.0","-1,304.0","-1,588.0","-1,737.0","-1,915.0","-1,950.0","-2,134.0","-2,467.0","-2,669.0","-2,768.0","-3,054.0","-3,372.0","-3,438.0","-3,706.0","-3,908.0","-4,182.0","-4,789.0","-5,634.0","-5,917.0","-6,978.0","-7,769.0"
"93","71","    Domestic business \1\","W296RC1","-386.0","-540.0","-683.0","-741.0","-839.0","-1,038.0","-1,124.0","-1,214.0","-1,206.0","-1,296.0","-1,515.0","-1,635.0","-1,687.0","-1,863.0","-2,049.0","-2,052.0","-2,187.0","-2,334.0","-2,466.0","-2,827.0","-3,392.0","-3,582.0","-4,255.0","-4,557.0"
"94","72","      Corporate business","W297RC1","-318.0","-445.0","-563.0","-611.0","-692.0","-856.0","-927.0","-1,008.0","-1,003.0","-1,076.0","-1,263.0","-1,369.0","-1,405.0","-1,545.0","-1,700.0","-1,697.0","-1,806.0","-1,929.0","-2,039.0","-2,356.0","-2,835.0","-2,988.0","-3,553.0","-3,821.0"
"95","73","        Financial","W298RC1","-60.0","-85.0","-108.0","-118.0","-134.0","-167.0","-181.0","-214.0","-229.0","-263.0","-286.0","-275.0","-296.0","-335.0","-357.0","-325.0","-352.0","-399.0","-431.0","-471.0","-535.0","-511.0","-591.0","-611.0"
"96","74","        Nonfinancial","W300RC1","-258.0","-360.0","-455.0","-493.0","-558.0","-689.0","-746.0","-794.0","-774.0","-813.0","-977.0","-1,094.0","-1,109.0","-1,210.0","-1,343.0","-1,372.0","-1,454.0","-1,530.0","-1,608.0","-1,885.0","-2,300.0","-2,477.0","-2,962.0","-3,210.0"
"97","75","      Sole proprietorships and partnerships","W301RC1","-47.0","-66.0","-83.0","-90.0","-102.0","-126.0","-136.0","-141.0","-135.0","-146.0","-175.0","-187.0","-201.0","-230.0","-257.0","-264.0","-284.0","-300.0","-315.0","-346.0","-412.0","-446.0","-525.0","-555.0"
"98","76","        Farm","W302RC1","-32.0","-45.0","-57.0","-62.0","-70.0","-87.0","-94.0","-92.0","-86.0","-90.0","-100.0","-101.0","-114.0","-133.0","-147.0","-149.0","-160.0","-172.0","-178.0","-189.0","-219.0","-234.0","-271.0","-269.0"
"99","77","        Nonfarm","W303RC1","-15.0","-21.0","-26.0","-28.0","-32.0","-39.0","-42.0","-49.0","-49.0","-56.0","-75.0","-86.0","-87.0","-97.0","-110.0","-115.0","-124.0","-128.0","-137.0","-157.0","-193.0","-212.0","-254.0","-286.0"
"100","78","      Other private business","W304RC1","-21.0","-29.0","-37.0","-40.0","-45.0","-56.0","-61.0","-65.0","-68.0","-74.0","-77.0","-79.0","-81.0","-88.0","-92.0","-91.0","-97.0","-105.0","-112.0","-125.0","-145.0","-148.0","-177.0","-181.0"
"101","79","        Rental income of persons and proprietors' income","W359RC1","-21.0","-29.0","-37.0","-40.0","-45.0","-56.0","-61.0","-65.0","-68.0","-74.0","-77.0","-79.0","-81.0","-88.0","-92.0","-91.0","-97.0","-105.0","-112.0","-125.0","-145.0","-148.0","-177.0","-181.0"
"102","80","    Households and nonprofit institutions","W305RC1","-141.0","-222.0","-298.0","-346.0","-416.0","-505.0","-553.0","-655.0","-692.0","-788.0","-906.0","-981.0","-986.0","-1,115.0","-1,242.0","-1,287.0","-1,373.0","-1,462.0","-1,578.0","-1,782.0","-2,048.0","-2,108.0","-2,508.0","-2,591.0"
"103","81","      Households","W306RC1","-137.0","-216.0","-290.0","-337.0","-406.0","-493.0","-540.0","-642.0","-678.0","-772.0","-888.0","-962.0","-965.0","-1,091.0","-1,215.0","-1,259.0","-1,341.0","-1,427.0","-1,539.0","-1,737.0","-1,994.0","-2,051.0","-2,438.0","-2,518.0"
