"","Table 5#6#5B# Change in Private Inventories by Industry         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60"
"36","16","  Change in private inventories","A014RC1","49,828.0","88,411.0","67,983.0","77,775.0","105,075.0","37,308.0","52,448.0","60,047.0","83,317.0","35,053.0","40,565.0","84,328.0","16,059.0","90,402.0","57,242.0","54,473.0","-30,665.0","-11,596.0","-30,091.0","-80,784.0","-13,366.0","13,219.0","18,282.0","29,968.0","28,644.0","-3,124.0","4,185.0","35,795.0","51,388.0","76,023.0","60,768.0","71,463.0","90,712.0","15,876.0","11,040.0","82,182.0","65,962.0","72,423.0","69,104.0","32,331.0","17,021.0","47,513.0","39,379.0","12,577.0","-13,723.0","-23,283.0","-29,426.0","-98,028.0","-141,854.0","-179,543.0","-143,279.0","-44,215.0","49,985.0","80,379.0","138,587.0","17,815.0","52,510.0"
"37","17","    Durable goods industries","N355RC1","28,507.0","52,994.0","32,270.0","46,202.0","69,935.0","22,709.0","31,780.0","32,795.0","51,507.0","11,536.0","26,296.0","60,263.0","17,187.0","57,949.0","32,347.0","34,827.0","-44,519.0","-24,895.0","-33,825.0","-74,556.0","4,798.0","17,383.0","13,973.0","34,515.0","27,744.0","1,894.0","-10,313.0","32,864.0","34,091.0","46,719.0","36,486.0","31,755.0","61,477.0","8,546.0","12,036.0","58,821.0","20,866.0","33,730.0","44,109.0","5,054.0","11,427.0","5,816.0","7,515.0","19,946.0","-19,395.0","-33,065.0","-2,427.0","-48,011.0","-143,254.0","-144,502.0","-109,580.0","-60,178.0","26,736.0","55,320.0","77,372.0","13,704.0","38,608.0"
"38","18","    Nondurable goods industries","N357RC1","21,321.0","35,417.0","35,713.0","31,573.0","35,140.0","14,600.0","20,668.0","27,252.0","31,810.0","23,517.0","14,268.0","24,065.0","-1,128.0","32,453.0","24,894.0","19,646.0","13,855.0","13,299.0","3,733.0","-6,229.0","-18,163.0","-4,163.0","4,309.0","-4,546.0","901.0","-5,018.0","14,498.0","2,931.0","17,298.0","29,304.0","24,282.0","39,708.0","29,234.0","7,330.0","-995.0","23,361.0","45,097.0","38,693.0","24,995.0","27,277.0","5,595.0","41,697.0","31,865.0","-7,370.0","5,671.0","9,783.0","-26,999.0","-50,018.0","1,400.0","-35,041.0","-33,698.0","15,963.0","23,249.0","25,059.0","61,215.0","4,111.0","13,902.0"
"39","19","  Nonfarm industries","A015RC1","50,349.0","87,628.0","59,648.0","73,051.0","99,478.0","42,246.0","51,891.0","56,197.0","79,285.0","35,308.0","49,617.0","89,974.0","33,897.0","84,500.0","58,361.0","47,012.0","-36,245.0","-8,565.0","-31,921.0","-76,551.0","-16,687.0","23,538.0","20,572.0","30,670.0","25,793.0","-1,748.0","3,188.0","37,899.0","46,940.0","57,601.0","53,071.0","66,801.0","97,246.0","15,538.0","6,660.0","79,899.0","62,306.0","80,567.0","75,408.0","35,951.0","11,777.0","52,492.0","41,645.0","13,401.0","-6,405.0","-28,298.0","-31,731.0","-104,544.0","-144,247.0","-186,148.0","-142,584.0","-51,271.0","40,676.0","70,800.0","132,248.0","16,900.0","54,724.0"
"40","20","    Nonfarm change in book value \1\","B016RC1","28,530.0","65,085.0","40,521.0","61,667.0","74,978.0","22,272.0","24,555.0","36,983.0","52,423.0","36,190.0","68,493.0","123,113.0","62,489.0","114,228.0","70,123.0","69,244.0","-25,528.0","-18,852.0","-59,634.0","-117,476.0","-51,852.0","19,556.0","42,416.0","63,909.0","65,128.0","-9,440.0","10,429.0","64,431.0","85,598.0","115,441.0","101,794.0","134,412.0","143,373.0","45,749.0","54,119.0","148,619.0","85,668.0","127,710.0","124,579.0","68,055.0","77,248.0","101,336.0","74,212.0","112,655.0","145,092.0","148,715.0","42,872.0","-318,208.0","-267,347.0","-233,852.0","-134,597.0","25,063.0","93,648.0","67,296.0","174,544.0","129,476.0","174,256.0"
"41","21","    Nonfarm inventory valuation adjustment \2\","B017RC1","21,819.0","22,543.0","19,127.0","11,384.0","24,500.0","19,974.0","27,336.0","19,214.0","26,862.0","-882.0","-18,876.0","-33,139.0","-28,592.0","-29,728.0","-11,762.0","-22,232.0","-10,717.0","10,287.0","27,713.0","40,925.0","35,165.0","3,982.0","-21,844.0","-33,239.0","-39,335.0","7,692.0","-7,241.0","-26,532.0","-38,658.0","-57,840.0","-48,723.0","-67,611.0","-46,127.0","-30,211.0","-47,459.0","-68,720.0","-23,362.0","-47,143.0","-49,171.0","-32,104.0","-65,471.0","-48,844.0","-32,567.0","-99,254.0","-151,497.0","-177,013.0","-74,603.0","213,664.0","123,100.0","47,704.0","-7,987.0","-76,334.0","-52,972.0","3,504.0","-42,296.0","-112,576.0","-119,532.0"
"42","22","  Wholesale trade","N658RC1","20,377.0","33,799.0","16,683.0","30,457.0","30,552.0","13,383.0","27,141.0","14,653.0","21,786.0","7,730.0","21,037.0","25,090.0","16,294.0","24,325.0","13,617.0","21,182.0","-5,842.0","-6,194.0","-22,765.0","-14,543.0","-7,274.0","4,163.0","4,020.0","-1,338.0","-6,295.0","-7,038.0","-2,250.0","13,228.0","13,681.0","15,842.0","27,443.0","22,100.0","35,201.0","12,498.0","2,106.0","22,713.0","18,413.0","21,042.0","17,131.0","-1,827.0","1,673.0","6,744.0","18,811.0","-8,049.0","907.0","21,641.0","12,523.0","-28,065.0","-60,114.0","-84,905.0","-68,152.0","-10,931.0","15,652.0","36,512.0","67,628.0","13,756.0","18,800.0"
"43","23","    Merchant wholesale trade","N151RC1","19,162.0","30,824.0","15,399.0","25,228.0","26,954.0","13,084.0","25,464.0","12,315.0","19,850.0","4,296.0","17,955.0","23,136.0","12,918.0","19,100.0","8,840.0","18,243.0","-3,127.0","-2,494.0","-15,083.0","-11,474.0","-3,373.0","1,973.0","3,370.0","95.0","-3,923.0","-6,178.0","-1,848.0","11,138.0","12,740.0","12,839.0","23,303.0","22,499.0","26,505.0","12,421.0","2,631.0","15,760.0","16,517.0","24,678.0","15,327.0","4,205.0","3,149.0","6,136.0","17,009.0","-1,442.0","-12,163.0","15,586.0","21,358.0","-22,677.0","-44,687.0","-67,840.0","-60,061.0","-8,028.0","7,224.0","21,964.0","53,664.0","4,388.0","9,292.0"
"44","24","      Durable goods industries","N626RC1","14,641.0","24,245.0","7,675.0","14,329.0","21,988.0","8,757.0","19,560.0","10,016.0","14,304.0","8,385.0","9,267.0","17,684.0","8,718.0","18,725.0","4,818.0","9,443.0","-3,706.0","-18,601.0","-15,869.0","-15,073.0","-5,203.0","1,737.0","7,453.0","-4,834.0","4,697.0","-2,157.0","-6,083.0","7,021.0","14,118.0","16,056.0","22,869.0","14,041.0","16,980.0","12,322.0","792.0","13,795.0","8,695.0","19,435.0","12,650.0","1,406.0","8,230.0","-4,321.0","-1,991.0","2,412.0","8,751.0","8,010.0","23,870.0","-15,476.0","-53,107.0","-47,474.0","-44,671.0","-23,190.0","6,332.0","7,804.0","23,464.0","16,540.0","13,536.0"
"45","25","      Nondurable goods industries","N627RC1","4,521.0","6,579.0","7,724.0","10,899.0","4,966.0","4,327.0","5,904.0","2,299.0","5,546.0","-4,089.0","8,688.0","5,452.0","4,200.0","375.0","4,022.0","8,800.0","579.0","16,107.0","786.0","3,599.0","1,830.0","236.0","-4,083.0","4,929.0","-8,620.0","-4,021.0","4,235.0","4,117.0","-1,378.0","-3,217.0","434.0","8,458.0","9,525.0","99.0","1,839.0","1,965.0","7,822.0","5,243.0","2,677.0","2,799.0","-5,081.0","10,457.0","19,000.0","-3,854.0","-20,914.0","7,576.0","-2,512.0","-7,201.0","8,420.0","-20,366.0","-15,390.0","15,162.0","892.0","14,160.0","30,200.0","-12,152.0","-4,244.0"
"46","26","    Nonmerchant wholesale trade","N152RC1","1,215.0","2,975.0","1,285.0","5,229.0","3,598.0","299.0","1,677.0","2,338.0","1,936.0","3,434.0","3,082.0","1,954.0","3,376.0","5,225.0","4,777.0","2,939.0","-2,715.0","-3,700.0","-7,682.0","-3,069.0","-3,901.0","2,190.0","649.0","-1,434.0","-2,372.0","-860.0","-402.0","2,090.0","941.0","3,003.0","4,141.0","-398.0","8,696.0","77.0","-526.0","6,952.0","1,896.0","-3,636.0","1,804.0","-6,032.0","-1,477.0","608.0","1,802.0","-6,606.0","13,071.0","6,055.0","-8,835.0","-5,388.0","-15,427.0","-17,066.0","-8,091.0","-2,903.0","8,428.0","14,548.0","13,964.0","9,368.0","9,508.0"
