"","Table 5#6#5A# Change in Private Inventories by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"36","17","        Nondurable goods","A629RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","48.0","132.0","120.0","156.0","48.0","108.0","36.0","-72.0","132.0","192.0","36.0","108.0","24.0","144.0","132.0","168.0","48.0","12.0","144.0","168.0","60.0","36.0","60.0","72.0","-24.0","-36.0","12.0","72.0","84.0","252.0","12.0","216.0","348.0","156.0","108.0","204.0","-60.0","372.0","144.0","84.0","120.0","144.0","120.0","12.0"
"37","18","  Retail trade","A153RC1","-356.0","756.0","-1,084.0","3,096.0","2,736.0","377.0","479.0","1,325.0","-1,184.0","-416.0","2,184.0","-2,016.0","456.0","1,592.0","2,724.0","3,752.0","3,784.0","452.0","-2,860.0","-1,220.0","-2,048.0","-1,656.0","1,532.0","2,028.0","424.0","1,632.0","380.0","-816.0","336.0","228.0","624.0","-612.0","2,876.0","1,608.0","1,472.0","2,412.0","524.0","388.0","-348.0","168.0","228.0","1,264.0","1,084.0","540.0","-1,380.0","-756.0","164.0","1,004.0","1,596.0","2,588.0","312.0","-264.0","4,964.0","208.0","716.0","-388.0","-3,020.0","140.0","724.0","472.0","1,628.0","860.0","1,612.0","1,788.0","1,092.0","52.0","1,284.0","2,336.0","1,876.0","2,380.0","2,056.0","-1,216.0","4,676.0","2,004.0","1,036.0","2,244.0","2,672.0","4,028.0","-212.0","2,552.0","484.0","-996.0","-1,112.0","1,636.0","2,684.0","2,840.0","-188.0","5,180.0","1,576.0","1,528.0","4,084.0","2,292.0"
"38","19","    Durable goods","A630RC1","2,548.0","676.0","832.0","648.0","1,934.0","261.0","76.0","694.0","-556.0","-1,040.0","2,520.0","-2,244.0","-843.0","1,089.0","1,133.0","4,125.0","1,016.0","1,124.0","-324.0","-936.0","-927.0","-963.0","157.0","1,225.0","840.0","712.0","884.0","-1,056.0","-476.0","124.0","36.0","-664.0","1,470.0","1,378.0","282.0","1,134.0","416.0","-984.0","-572.0","-128.0","-84.0","1,000.0","1,112.0","688.0","-1,408.0","-1,220.0","-536.0","356.0","1,032.0","1,612.0","-316.0","-960.0","3,368.0","520.0","228.0","-200.0","-2,740.0","-376.0","-372.0","-200.0","332.0","108.0","1,308.0","784.0","172.0","-312.0","780.0","1,972.0","1,440.0","964.0","1,284.0","-1,772.0","3,480.0","1,476.0","1,012.0","640.0","1,492.0","2,776.0","-676.0","1,248.0","-1,180.0","-1,476.0","-916.0","968.0","1,672.0","2,764.0","-1,008.0","4,472.0","632.0","-124.0","2,856.0","1,540.0"
"39","20","      Motor vehicle dealers \4\","A631RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","880.0","1,404.0","-528.0","-1,168.0","3,260.0","604.0","264.0","-236.0","-2,468.0","16.0","-12.0","8.0","264.0","-72.0","848.0","856.0","388.0","-276.0","484.0","1,588.0","924.0","436.0","1,320.0","-2,420.0","2,436.0","1,624.0","860.0","1,004.0","212.0","1,832.0","-1,160.0","1,544.0","-1,024.0","-2,032.0","-1,232.0","996.0","1,392.0","1,892.0","-1,516.0","3,824.0","188.0","-464.0","1,828.0","1,164.0"
"40","21","      Other \4\","A632RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","152.0","208.0","212.0","208.0","108.0","-84.0","-36.0","36.0","-272.0","-392.0","-360.0","-208.0","68.0","180.0","460.0","-72.0","-216.0","-36.0","296.0","384.0","516.0","528.0","-36.0","648.0","1,044.0","-148.0","152.0","-364.0","1,280.0","944.0","484.0","-296.0","-156.0","556.0","316.0","-28.0","280.0","872.0","508.0","648.0","444.0","340.0","1,028.0","376.0"
"41","22","    Nondurable goods","A633RC1","-2,904.0","80.0","-1,916.0","2,448.0","802.0","116.0","403.0","631.0","-628.0","624.0","-336.0","228.0","1,299.0","503.0","1,591.0","-373.0","2,768.0","-672.0","-2,536.0","-284.0","-1,121.0","-693.0","1,375.0","803.0","-416.0","920.0","-504.0","240.0","812.0","104.0","588.0","52.0","1,406.0","230.0","1,190.0","1,278.0","108.0","1,372.0","224.0","296.0","312.0","264.0","-28.0","-148.0","28.0","464.0","700.0","648.0","564.0","976.0","628.0","696.0","1,596.0","-312.0","488.0","-188.0","-280.0","516.0","1,096.0","672.0","1,296.0","752.0","304.0","1,004.0","920.0","364.0","504.0","364.0","436.0","1,416.0","772.0","556.0","1,196.0","528.0","24.0","1,604.0","1,180.0","1,252.0","464.0","1,304.0","1,664.0","480.0","-196.0","668.0","1,012.0","76.0","820.0","708.0","944.0","1,652.0","1,228.0","752.0"
"42","23","  Other","A154RC1","-429.0","200.0","575.0","484.0","-310.0","-78.0","17.0","88.0","260.0","-244.0","-307.0","-327.0","-29.0","149.0","225.0","469.0","317.0","608.0","751.0","1,093.0","568.0","177.0","-58.0","-754.0","-310.0","-603.0","-421.0","-478.0","94.0","-66.0","5.0","40.0","-328.0","27.0","-293.0","-529.0","556.0","363.0","387.0","850.0","305.0","-44.0","735.0","649.0","162.0","-36.0","-94.0","-74.0","116.0","392.0","100.0","488.0","24.0","436.0","260.0","60.0","468.0","604.0","468.0","944.0","-52.0","108.0","-80.0","-84.0","536.0","472.0","172.0","608.0","260.0","788.0","396.0","276.0","272.0","580.0","160.0","304.0","-16.0","-84.0","232.0","772.0","524.0","984.0","1,516.0","1,228.0","560.0","0.0","528.0","60.0","516.0","888.0","668.0","152.0"
"43","24","    Durable goods","A636RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","176.0","68.0","-104.0","104.0","12.0","-8.0","32.0","120.0","276.0","160.0","276.0","260.0","92.0","96.0","76.0","-24.0","80.0","52.0","-32.0","-124.0","152.0","104.0","-120.0","96.0","212.0","232.0","-20.0","-20.0","-220.0","-168.0","-32.0","172.0","-112.0","168.0","232.0","196.0","-224.0","-336.0","-236.0","-228.0","-420.0","-20.0","500.0","-92.0"
"44","25","    Nondurable goods","A637RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-60.0","324.0","204.0","384.0","12.0","444.0","228.0","-60.0","192.0","444.0","192.0","684.0","-144.0","12.0","-156.0","-60.0","456.0","420.0","204.0","732.0","108.0","684.0","516.0","180.0","60.0","348.0","180.0","324.0","204.0","84.0","264.0","600.0","636.0","816.0","1,284.0","1,032.0","784.0","336.0","764.0","288.0","936.0","908.0","168.0","244.0"
"45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","1. Beginning with 1991, includes change in farm materials and supplies inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2. Beginning with 1982, this series is derived from the Census Bureau series ""current cost",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","inventories.""  For earlier periods, it is derived from the Census Bureau ""book value inventories""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","series.  The series differ in the treatment of inventories reported on a last-in, first-out (LIFO)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","basis:  The series prior to 1982 is a mix of LIFO and non-LIFO inventories; the series beginning with",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","1982 is entirely on a non-LIFO basis.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","3. Beginning with 1973, the inventory valuation adjustment (IVA) shown in this table differs from the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","IVA that adjusts business incomes.  The IVA in this table reflects the mix of methods (first-in,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","first-out; last-in, first-out; etc.) underlying inventories derived primarily from Census Bureau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","statistics (see footnote 1).  This mix differs from that underlying business income derived primarily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","from Internal Revenue Service statistics.  Prior to 1973, the two IVA's are the same because information",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","required for separate estimates is not available.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","3. Prior to 1981, inventories of auto and home supply stores are included in motor vehicle dealers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Beginning with 1981, these inventories are included in ""other durable goods.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Note.  Estimates for nonfarm industries other than manufacturing and trade for 1986 and earlier periods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","are based on the 1972 Standard Industrial Classification (SIC).  Manufacturing estimates for 1981 and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","earlier periods and trade estimates for 1966 and earlier periods are based on the 1972 SIC; later estimates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","for these industries are based on the 1987 SIC.  The resulting discontinuities are small.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
