"","Table 3#10#5# Government Consumption Expenditures and General Go","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186"
"38","19","          Nondurable goods","W115RC1","8,988.0","9,280.0","9,852.0","8,000.0","6,696.0","5,672.0","5,424.0","5,760.0","4,732.0","5,356.0","5,828.0","5,308.0","6,412.0","6,400.0","5,384.0","5,288.0","5,220.0","4,944.0","5,060.0","5,716.0","6,272.0","4,936.0","7,288.0","7,888.0","7,796.0","7,916.0","6,172.0","7,012.0","7,076.0","6,708.0","6,452.0","5,904.0","6,412.0","6,288.0","7,528.0","7,784.0","6,860.0","7,648.0","8,656.0","8,896.0","8,588.0","8,684.0","9,716.0","11,304.0","13,064.0","17,260.0","14,768.0","16,700.0","17,960.0","22,488.0","20,708.0","21,084.0","19,308.0","18,708.0","18,404.0","19,620.0","19,900.0","23,468.0","31,448.0","10,688.0","9,404.0","18,504.0","18,568.0","18,560.0","18,684.0","19,376.0","18,700.0","18,612.0","19,668.0","21,424.0","22,396.0","24,004.0","18,424.0","17,000.0","11,228.0","18,964.0","11,176.0","9,732.0","7,052.0","11,276.0","14,604.0","17,188.0","17,168.0","15,008.0","14,264.0","14,388.0","15,040.0","20,536.0","21,204.0","16,160.0","15,208.0","13,816.0","13,824.0","16,796.0","16,972.0","16,036.0","16,540.0","16,364.0","16,448.0","14,888.0","13,464.0","13,656.0","12,828.0","14,868.0","14,500.0","13,432.0","14,092.0","13,224.0","13,896.0","14,196.0","14,456.0","14,496.0","16,444.0","15,604.0","16,120.0","16,200.0","16,404.0","16,044.0","16,776.0","16,260.0","13,404.0","14,904.0","17,104.0","15,924.0","19,692.0","19,312.0","19,416.0","20,648.0","21,080.0","24,404.0","21,772.0","22,592.0","21,736.0","24,884.0","24,188.0","25,956.0","28,488.0","29,548.0","27,704.0","30,184.0","32,756.0","33,864.0","35,480.0","35,284.0","39,132.0","37,456.0","41,384.0","41,996.0","42,744.0","42,116.0","43,960.0","41,108.0","41,716.0","42,624.0","44,148.0","46,980.0","52,088.0","56,144.0","57,508.0","51,108.0","48,036.0","50,972.0","52,508.0","51,932.0","54,200.0","55,920.0","55,028.0","55,744.0","56,456.0","57,708.0","58,076.0","58,136.0","57,256.0","55,936.0","55,304.0","56,284.0","53,004.0","49,204.0","49,292.0","47,172.0","47,164.0","46,452.0","49,620.0"
"39","20","          Services","W116RC1","11,700.0","13,616.0","12,432.0","14,656.0","13,728.0","12,832.0","13,472.0","12,900.0","14,692.0","15,076.0","14,684.0","15,344.0","15,324.0","17,032.0","14,520.0","14,072.0","14,732.0","16,364.0","14,860.0","14,236.0","16,492.0","17,252.0","17,728.0","17,988.0","18,012.0","18,560.0","18,976.0","18,440.0","18,084.0","19,304.0","18,968.0","18,680.0","19,352.0","20,560.0","21,876.0","20,320.0","20,980.0","21,968.0","21,672.0","22,224.0","24,352.0","25,656.0","23,184.0","26,228.0","27,500.0","30,860.0","30,232.0","30,956.0","32,136.0","31,876.0","33,368.0","32,976.0","37,580.0","35,312.0","39,576.0","42,676.0","42,812.0","41,772.0","40,224.0","43,280.0","44,196.0","43,788.0","45,804.0","44,364.0","46,464.0","48,368.0","52,936.0","53,792.0","52,476.0","54,768.0","58,360.0","51,668.0","58,392.0","59,648.0","59,560.0","59,228.0","61,604.0","62,048.0","62,472.0","66,228.0","57,320.0","65,652.0","65,472.0","70,416.0","74,588.0","74,664.0","71,968.0","74,792.0","79,264.0","81,264.0","82,480.0","78,456.0","80,196.0","78,592.0","88,168.0","87,164.0","77,928.0","73,908.0","84,944.0","87,208.0","82,640.0","86,964.0","93,584.0","88,740.0","85,396.0","90,808.0","86,784.0","86,420.0","82,688.0","88,540.0","88,488.0","95,760.0","85,572.0","97,636.0","93,220.0","97,156.0","81,040.0","91,272.0","91,708.0","92,856.0","91,656.0","91,296.0","97,888.0","112,052.0","90,196.0","106,684.0","102,112.0","104,508.0","114,244.0","115,356.0","120,160.0","127,024.0","136,980.0","141,032.0","148,000.0","157,808.0","153,384.0","179,076.0","173,268.0","186,012.0","186,820.0","190,824.0","199,224.0","194,440.0","199,752.0","199,308.0","212,192.0","200,420.0","218,564.0","215,212.0","212,664.0","217,292.0","206,800.0","214,896.0","225,940.0","228,984.0","237,956.0","239,380.0","262,680.0","267,716.0","259,940.0","273,100.0","279,896.0","284,124.0","291,720.0","300,180.0","312,512.0","297,524.0","285,212.0","293,352.0","296,032.0","270,884.0","277,660.0","276,892.0","301,276.0","265,520.0","257,452.0","254,868.0","260,496.0","242,892.0","249,076.0","249,056.0","276,484.0"
"40","21","      Less: Own-account investment \4\","W117RC1","4,056.0","4,192.0","4,300.0","4,348.0","4,432.0","4,508.0","4,576.0","4,660.0","4,752.0","4,820.0","4,924.0","5,000.0","5,156.0","5,168.0","5,224.0","5,372.0","5,380.0","5,416.0","5,508.0","5,612.0","5,520.0","5,732.0","5,812.0","5,936.0","5,960.0","6,032.0","6,168.0","6,292.0","6,284.0","6,376.0","6,424.0","6,496.0","6,452.0","6,524.0","6,640.0","6,712.0","6,864.0","7,060.0","7,276.0","7,380.0","7,516.0","7,704.0","7,936.0","8,108.0","8,288.0","8,524.0","8,764.0","8,964.0","9,132.0","9,336.0","9,548.0","9,748.0","9,936.0","10,192.0","10,492.0","10,728.0","11,024.0","11,320.0","11,652.0","11,868.0","12,156.0","12,476.0","12,856.0","13,180.0","13,512.0","13,856.0","14,212.0","14,476.0","14,744.0","15,004.0","15,200.0","15,340.0","15,448.0","15,636.0","15,788.0","16,000.0","16,188.0","16,460.0","16,744.0","16,912.0","17,152.0","17,528.0","18,024.0","18,424.0","18,724.0","18,876.0","18,960.0","19,012.0","19,152.0","19,420.0","19,544.0","19,592.0","19,844.0","19,712.0","19,780.0","19,588.0","19,984.0","20,248.0","20,472.0","20,312.0","20,160.0","20,204.0","20,572.0","20,424.0","20,812.0","20,624.0","20,868.0","20,332.0","20,304.0","20,340.0","20,592.0","20,316.0","20,836.0","20,592.0","20,224.0","19,848.0","20,584.0","21,096.0","20,824.0","19,892.0","19,176.0","21,304.0","21,404.0","21,196.0","20,752.0","21,288.0","21,924.0","22,468.0","23,716.0","24,380.0","24,688.0","25,144.0","25,792.0","26,216.0","26,792.0","27,092.0","27,436.0","27,856.0","27,900.0","28,304.0","27,988.0","28,276.0","28,640.0","28,844.0","29,292.0","29,752.0","30,196.0","30,440.0","30,604.0","30,968.0","31,448.0","31,864.0","32,264.0","32,664.0","33,056.0","33,164.0","33,616.0","33,824.0","34,124.0","34,376.0","34,476.0","34,576.0","34,984.0","35,280.0","35,420.0","35,296.0","35,720.0","35,944.0","36,672.0","37,372.0","37,936.0","38,508.0","39,164.0","39,620.0","39,740.0","39,392.0","38,712.0","38,036.0","37,352.0","36,572.0","35,788.0","35,360.0","35,208.0"
"41","22","      Less: Sales to other sectors","W118RC1","872.0","1,016.0","944.0","892.0","976.0","868.0","748.0","828.0","780.0","876.0","1,008.0","984.0","1,512.0","1,792.0","1,624.0","1,932.0","1,884.0","2,540.0","2,256.0","2,100.0","2,872.0","3,008.0","2,604.0","2,600.0","3,104.0","2,824.0","1,532.0","1,780.0","1,652.0","2,560.0","2,872.0","1,484.0","2,732.0","3,132.0","3,704.0","2,672.0","3,024.0","3,544.0","4,188.0","4,096.0","4,056.0","4,108.0","4,172.0","5,968.0","4,420.0","4,964.0","5,432.0","5,028.0","4,944.0","4,600.0","5,816.0","4,244.0","4,796.0","4,384.0","4,400.0","4,960.0","4,044.0","3,796.0","4,684.0","5,004.0","4,452.0","4,568.0","5,352.0","4,332.0","4,452.0","4,484.0","4,884.0","4,792.0","4,276.0","4,532.0","4,380.0","4,848.0","5,080.0","4,996.0","5,564.0","5,164.0","5,540.0","6,044.0","6,816.0","5,196.0","5,884.0","6,464.0","6,528.0","5,400.0","5,948.0","5,284.0","6,896.0","8,624.0","8,020.0","6,100.0","8,756.0","6,712.0","7,876.0","7,628.0","8,260.0","5,064.0","7,172.0","7,496.0","7,484.0","5,248.0","8,432.0","11,428.0","7,120.0","9,172.0","7,128.0","5,676.0","5,632.0","7,824.0","6,136.0","6,800.0","8,512.0","7,364.0","5,316.0","5,596.0","4,716.0","5,124.0","5,160.0","3,180.0","12,380.0","3,468.0","3,664.0","5,220.0","5,656.0","4,548.0","6,912.0","5,432.0","5,984.0","8,216.0","5,704.0","4,308.0","4,592.0","5,852.0","5,400.0","3,772.0","6,304.0","4,340.0","5,204.0","6,240.0","5,560.0","5,456.0","5,240.0","5,392.0","6,704.0","7,588.0","8,848.0","7,216.0","9,800.0","11,232.0","8,972.0","9,100.0","9,120.0","8,092.0","7,168.0","7,732.0","7,396.0","7,440.0","7,840.0","8,156.0","10,920.0","8,308.0","9,060.0","9,484.0","9,768.0","9,808.0","10,076.0","11,376.0","11,956.0","9,420.0","8,396.0","9,864.0","23,324.0","10,440.0","9,288.0","10,548.0","8,748.0","8,284.0","8,588.0","8,540.0","8,592.0","8,336.0","8,376.0","10,952.0","9,620.0"
"42","23","    Defense consumption expenditures \1\","A997RC1","80,092.0","81,968.0","83,644.0","84,776.0","83,256.0","80,828.0","81,552.0","81,520.0","83,532.0","82,332.0","80,956.0","82,532.0","85,728.0","86,244.0","82,216.0","83,260.0","84,080.0","84,920.0","82,788.0","85,320.0","86,312.0","88,832.0","88,324.0","91,872.0","92,740.0","93,756.0","94,352.0","96,488.0","96,284.0","98,416.0","97,628.0","100,360.0","102,020.0","104,356.0","105,772.0","107,544.0","109,916.0","112,316.0","114,012.0","115,688.0","118,772.0","122,600.0","121,348.0","129,040.0","133,884.0","138,292.0","140,912.0","150,068.0","155,292.0","160,620.0","162,472.0","173,384.0","177,352.0","181,060.0","187,044.0","192,936.0","194,956.0","199,328.0","200,356.0","203,668.0","209,384.0","213,412.0","214,232.0","217,380.0","222,776.0","225,784.0","234,196.0","239,420.0","238,712.0","247,116.0","252,100.0","245,200.0","251,516.0","257,900.0","262,068.0","265,236.0","270,460.0","272,780.0","272,540.0","280,884.0","274,504.0","285,560.0","286,252.0","287,576.0","294,148.0","294,936.0","290,396.0","302,248.0","314,584.0","313,256.0","310,316.0","304,412.0","303,368.0","304,692.0","312,936.0","309,188.0","299,416.0","298,624.0","302,676.0","302,660.0","290,888.0","293,332.0","302,396.0","291,552.0","291,984.0","294,068.0","292,760.0","285,544.0","286,336.0","294,092.0","291,676.0","294,076.0","287,180.0","297,228.0","290,956.0","294,508.0","279,244.0","290,164.0","291,456.0","292,976.0","292,364.0","294,440.0","303,560.0","314,540.0","298,068.0","314,748.0","309,368.0","311,004.0","319,668.0","322,852.0","327,192.0","330,524.0","347,064.0","352,444.0","357,088.0","375,796.0","384,844.0","416,580.0","409,908.0","424,360.0","437,228.0","443,456.0","458,072.0","448,408.0","469,016.0","472,792.0","488,124.0","473,740.0","496,428.0","497,964.0","497,584.0","509,300.0","508,248.0","519,068.0","535,632.0","541,340.0","560,472.0","570,084.0","600,240.0","600,352.0","589,880.0","609,312.0","625,028.0","628,932.0","637,760.0","650,236.0","665,612.0","659,244.0","650,324.0","668,472.0","676,740.0","653,568.0","651,256.0","646,436.0","671,420.0","632,756.0","620,320.0","618,828.0","621,092.0","605,472.0","610,468.0","610,392.0","641,256.0"
"43","24","      Gross output of general government","W085RC1","82,276.0","84,292.0","85,968.0","87,096.0","85,716.0","83,264.0","83,972.0","83,936.0","85,984.0","84,832.0","83,640.0","85,160.0","88,732.0","89,560.0","85,392.0","86,624.0","87,424.0","88,872.0","86,788.0","89,016.0","90,528.0","93,256.0","92,680.0","96,152.0","97,640.0","98,204.0","97,632.0","99,936.0","99,732.0","101,944.0","101,172.0","103,804.0","105,696.0","108,396.0","109,652.0","111,120.0","113,700.0","116,224.0","118,160.0","120,096.0","123,124.0","126,852.0","125,624.0","133,680.0","138,552.0","142,980.0","146,116.0","155,552.0","161,052.0","165,940.0","168,644.0","179,144.0","183,824.0","187,444.0","193,276.0","200,492.0","201,664.0","206,144.0","207,168.0","211,212.0","217,112.0","221,296.0","223,200.0","225,676.0","231,260.0","234,800.0","243,824.0","248,968.0","248,108.0","257,072.0","262,336.0","255,460.0","261,832.0","268,200.0","272,732.0","275,340.0","281,024.0","283,600.0","284,272.0","291,548.0","285,664.0","296,840.0","297,764.0","298,948.0","306,000.0","306,612.0","303,136.0","315,844.0","326,748.0","325,752.0","323,096.0","315,832.0","315,984.0","318,144.0","326,080.0","320,720.0","312,184.0","311,540.0","316,556.0","314,456.0","304,976.0","308,500.0","315,688.0","306,768.0","304,804.0","305,964.0","304,536.0","297,920.0","298,304.0","306,436.0","304,680.0","306,600.0","298,996.0","309,512.0","302,716.0","306,064.0","291,356.0","300,756.0","304,088.0","303,500.0","302,360.0","305,980.0","316,324.0","326,260.0","311,256.0","326,356.0","322,176.0","323,068.0","334,488.0","336,276.0","341,288.0","345,368.0","362,188.0","367,488.0","375,000.0","391,936.0","401,980.0","433,720.0","426,968.0","441,520.0","454,172.0","460,664.0","475,588.0","466,412.0","487,296.0","491,652.0","507,612.0","493,852.0","517,124.0","519,152.0","519,124.0","531,060.0","529,932.0","540,848.0","557,552.0","563,604.0","583,256.0","593,164.0","623,440.0","623,616.0","613,136.0","632,456.0","648,344.0","652,236.0","661,140.0","673,508.0","689,188.0","683,272.0","675,172.0","694,120.0","703,136.0","680,660.0","679,004.0","674,640.0","699,768.0","660,912.0","647,984.0","645,852.0","647,720.0","631,616.0","636,064.0","635,640.0","666,396.0"
"44","25","        Value added","W086RC1","58,468.0","59,068.0","61,836.0","61,900.0","62,908.0","63,116.0","63,312.0","63,456.0","65,020.0","65,176.0","65,072.0","65,924.0","67,892.0","67,248.0","67,256.0","69,140.0","68,752.0","68,688.0","68,816.0","70,352.0","70,748.0","71,368.0","72,240.0","74,848.0","75,516.0","75,916.0","76,452.0","78,420.0","78,808.0","79,148.0","79,700.0","81,804.0","82,372.0","83,004.0","83,504.0","86,580.0","87,832.0","88,896.0","90,084.0","92,480.0","93,152.0","93,984.0","95,144.0","99,332.0","100,552.0","102,072.0","104,300.0","112,536.0","114,404.0","116,336.0","118,848.0","126,864.0","128,540.0","131,004.0","133,228.0","137,584.0","139,480.0","140,232.0","142,648.0","144,600.0","150,340.0","152,868.0","155,264.0","157,900.0","162,808.0","164,044.0","166,540.0","170,852.0","172,332.0","174,356.0","176,628.0","179,156.0","180,656.0","183,392.0","186,484.0","188,508.0","192,812.0","195,220.0","197,236.0","197,700.0","202,456.0","204,636.0","206,940.0","207,516.0","210,736.0","212,736.0","213,656.0","216,628.0","224,100.0","223,408.0","223,168.0","221,916.0","224,952.0","226,284.0","225,340.0","222,736.0","221,984.0","220,812.0","220,816.0","219,264.0","218,976.0","219,148.0","217,632.0","216,880.0","218,868.0","216,488.0","215,088.0","213,304.0","214,648.0","213,312.0","212,188.0","210,368.0","212,252.0","211,180.0","210,616.0","209,424.0","210,376.0","208,844.0","208,852.0","207,708.0","210,652.0","210,848.0","211,344.0","211,196.0","215,260.0","215,344.0","217,412.0","217,248.0","220,660.0","220,792.0","222,568.0","224,728.0","234,964.0","235,868.0","237,064.0","245,340.0","258,008.0","262,280.0","264,364.0","265,156.0","276,048.0","277,772.0","281,124.0","282,972.0","297,392.0","298,924.0","301,944.0","303,596.0","312,588.0","313,408.0","315,072.0","317,884.0","326,680.0","329,592.0","333,272.0","335,900.0","344,928.0","350,968.0","357,272.0","360,612.0","368,728.0","370,880.0","375,336.0","378,864.0","390,960.0","394,992.0","397,748.0","400,856.0","405,560.0","408,708.0","411,528.0","412,504.0","412,248.0","410,896.0","410,176.0","407,752.0","406,064.0","405,508.0","399,608.0","404,208.0","404,244.0","404,552.0","404,592.0"
"45","26","          Compensation of general government employees","B237RC1","38,444.0","38,832.0","41,396.0","41,240.0","41,952.0","41,912.0","41,860.0","41,800.0","43,152.0","43,212.0","43,096.0","44,008.0","45,624.0","45,020.0","44,956.0","46,792.0","46,152.0","45,792.0","45,648.0","46,940.0","46,892.0","47,068.0","47,276.0","49,372.0","49,696.0","49,752.0","49,980.0","51,504.0","51,496.0","51,388.0","51,364.0","52,892.0","53,064.0","53,196.0","53,416.0","55,900.0","56,464.0","56,892.0","57,524.0","59,568.0","59,744.0","59,908.0","60,220.0","63,644.0","64,052.0","64,532.0","65,624.0","72,728.0","73,496.0","74,096.0","75,472.0","82,320.0","82,680.0","83,744.0","84,804.0","88,076.0","88,812.0","88,552.0","89,524.0","90,200.0","94,144.0","95,276.0","96,344.0","97,648.0","101,140.0","101,132.0","102,148.0","105,048.0","105,196.0","105,664.0","106,552.0","107,380.0","107,536.0","108,964.0","110,504.0","110,828.0","113,256.0","113,996.0","114,544.0","113,544.0","116,904.0","117,736.0","118,736.0","118,144.0","120,076.0","120,988.0","120,832.0","122,924.0","129,084.0","127,308.0","126,052.0","124,584.0","127,604.0","128,484.0","127,204.0","123,728.0","122,756.0","121,292.0","121,028.0","118,916.0","118,780.0","118,672.0","116,716.0","115,304.0","116,640.0","114,632.0","113,288.0","111,980.0","113,348.0","112,400.0","111,732.0","110,564.0","112,552.0","111,440.0","111,152.0","110,516.0","112,140.0","110,628.0","110,812.0","109,504.0","112,552.0","112,548.0","113,120.0","112,408.0","116,084.0","116,016.0","117,908.0","117,724.0","121,372.0","121,656.0","123,712.0","126,084.0","136,348.0","137,196.0","138,024.0","145,864.0","157,788.0","160,984.0","161,828.0","161,524.0","171,112.0","171,296.0","173,156.0","173,208.0","185,788.0","185,476.0","186,732.0","186,280.0","193,388.0","192,436.0","192,416.0","193,372.0","199,892.0","200,772.0","202,276.0","203,080.0","209,444.0","212,964.0","216,752.0","218,388.0","225,392.0","226,636.0","230,444.0","232,752.0","242,728.0","244,468.0","245,888.0","246,992.0","249,336.0","250,772.0","252,336.0","252,816.0","250,640.0","248,732.0","247,488.0","245,444.0","243,624.0","242,588.0","236,224.0","239,924.0","238,948.0","238,564.0","238,068.0"
"46","27","          Consumption of general government fixed capital \2\","B432RC1","20,024.0","20,236.0","20,440.0","20,660.0","20,956.0","21,204.0","21,452.0","21,656.0","21,868.0","21,964.0","21,976.0","21,916.0","22,268.0","22,228.0","22,300.0","22,348.0","22,600.0","22,896.0","23,168.0","23,412.0","23,856.0","24,300.0","24,964.0","25,476.0","25,820.0","26,164.0","26,472.0","26,916.0","27,312.0","27,760.0","28,336.0","28,912.0","29,308.0","29,808.0","30,088.0","30,680.0","31,368.0","32,004.0","32,560.0","32,912.0","33,408.0","34,076.0","34,924.0","35,688.0","36,500.0","37,540.0","38,676.0","39,808.0","40,908.0","42,240.0","43,376.0","44,544.0","45,860.0","47,260.0","48,424.0","49,508.0","50,668.0","51,680.0","53,124.0","54,400.0","56,196.0","57,592.0","58,920.0","60,252.0","61,668.0","62,912.0","64,392.0","65,804.0","67,136.0","68,692.0","70,076.0","71,776.0","73,120.0","74,428.0","75,980.0","77,680.0","79,556.0","81,224.0","82,692.0","84,156.0","85,552.0","86,900.0","88,204.0","89,372.0","90,660.0","91,748.0","92,824.0","93,704.0","95,016.0","96,100.0","97,116.0","97,332.0","97,348.0","97,800.0","98,136.0","99,008.0","99,228.0","99,520.0","99,788.0","100,348.0","100,196.0","100,476.0","100,916.0","101,576.0","102,228.0","101,856.0","101,800.0","101,324.0","101,300.0","100,912.0","100,456.0","99,804.0","99,700.0","99,740.0","99,464.0","98,908.0","98,236.0","98,216.0","98,040.0","98,204.0","98,100.0","98,300.0","98,224.0","98,788.0","99,176.0","99,328.0","99,504.0","99,524.0","99,288.0","99,136.0","98,856.0","98,644.0","98,616.0","98,672.0","99,040.0","99,476.0","100,220.0","101,296.0","102,536.0","103,632.0","104,936.0","106,476.0","107,968.0","109,764.0","111,604.0","113,448.0","115,212.0","117,316.0","119,200.0","120,972.0","122,656.0","124,512.0","126,788.0","128,820.0","130,996.0","132,820.0","135,484.0","138,004.0","140,520.0","142,224.0","143,336.0","144,244.0","144,892.0","146,112.0","148,232.0","150,524.0","151,860.0","153,864.0","156,224.0","157,936.0","159,192.0","159,688.0","161,608.0","162,164.0","162,688.0","162,308.0","162,440.0","162,920.0","163,384.0","164,284.0","165,296.0","165,988.0","166,524.0"
"47","28","        Intermediate goods and services purchased \3\","W087RC1","23,808.0","25,224.0","24,132.0","25,196.0","22,808.0","20,148.0","20,660.0","20,480.0","20,964.0","19,656.0","18,568.0","19,236.0","20,840.0","22,312.0","18,136.0","17,484.0","18,672.0","20,184.0","17,972.0","18,664.0","19,780.0","21,888.0","20,440.0","21,304.0","22,124.0","22,288.0","21,180.0","21,516.0","20,924.0","22,796.0","21,472.0","22,000.0","23,324.0","25,392.0","26,148.0","24,540.0","25,868.0","27,328.0","28,076.0","27,616.0","29,972.0","32,868.0","30,480.0","34,348.0","38,000.0","40,908.0","41,816.0","43,016.0","46,648.0","49,604.0","49,796.0","52,280.0","55,284.0","56,440.0","60,048.0","62,908.0","62,184.0","65,912.0","64,520.0","66,612.0","66,772.0","68,428.0","67,936.0","67,776.0","68,452.0","70,756.0","77,284.0","78,116.0","75,776.0","82,716.0","85,708.0","76,304.0","81,176.0","84,808.0","86,248.0","86,832.0","88,212.0","88,380.0","87,036.0","93,848.0","83,208.0","92,204.0","90,824.0","91,432.0","95,264.0","93,876.0","89,480.0","99,216.0","102,648.0","102,344.0","99,928.0","93,916.0","91,032.0","91,860.0","100,740.0","97,984.0","90,200.0","90,728.0","95,740.0","95,192.0","86,000.0","89,352.0","98,056.0","89,888.0","85,936.0","89,476.0","89,448.0","84,616.0","83,656.0","93,124.0","92,492.0","96,232.0","86,744.0","98,332.0","92,100.0","96,640.0","80,980.0","91,912.0","95,236.0","95,792.0","91,708.0","95,132.0","104,980.0","115,064.0","95,996.0","111,012.0","104,764.0","105,820.0","113,828.0","115,484.0","118,720.0","120,640.0","127,224.0","131,620.0","137,936.0","146,596.0","143,972.0","171,440.0","162,604.0","176,364.0","178,124.0","182,892.0","194,464.0","183,440.0","189,904.0","192,728.0","205,668.0","190,256.0","204,536.0","205,744.0","204,052.0","213,176.0","203,252.0","211,256.0","224,280.0","227,704.0","238,328.0","242,196.0","266,168.0","263,004.0","244,408.0","261,576.0","273,008.0","273,372.0","270,180.0","278,516.0","291,440.0","282,416.0","269,612.0","285,412.0","291,608.0","268,156.0","266,756.0","263,744.0","289,592.0","253,160.0","241,920.0","240,344.0","248,112.0","227,408.0","231,820.0","231,088.0","261,804.0"
"48","29","          Durable goods","A998RC1","6,824.0","6,416.0","6,444.0","6,132.0","6,112.0","6,024.0","5,984.0","6,124.0","5,180.0","4,640.0","4,464.0","4,044.0","5,884.0","5,944.0","5,268.0","5,068.0","5,552.0","5,664.0","4,892.0","5,168.0","4,764.0","5,400.0","4,400.0","5,376.0","5,612.0","5,716.0","5,816.0","6,076.0","5,244.0","6,216.0","5,344.0","6,060.0","7,032.0","8,484.0","7,236.0","7,808.0","8,512.0","9,336.0","9,116.0","9,216.0","9,684.0","11,148.0","10,440.0","11,868.0","11,988.0","12,356.0","12,964.0","11,864.0","14,316.0","15,976.0","15,284.0","17,320.0","16,768.0","18,484.0","19,444.0","21,628.0","23,328.0","24,752.0","24,804.0","25,444.0","26,724.0","27,664.0","25,108.0","26,952.0","26,748.0","28,140.0","30,984.0","30,012.0","28,000.0","32,636.0","34,076.0","32,056.0","31,772.0","32,916.0","35,564.0","34,284.0","33,528.0","32,852.0","32,580.0","34,760.0","31,860.0","33,284.0","32,496.0","30,468.0","31,920.0","31,372.0","31,004.0","31,976.0","31,524.0","31,988.0","30,868.0","29,504.0","28,588.0","27,588.0","28,576.0","28,764.0","26,244.0","30,600.0","24,532.0","24,264.0","22,896.0","22,472.0","24,316.0","22,036.0","21,688.0","19,600.0","23,556.0","18,928.0","19,592.0","22,160.0","21,804.0","19,724.0","20,416.0","21,988.0","20,308.0","20,752.0","19,896.0","20,360.0","22,040.0","21,480.0","20,012.0","22,700.0","24,240.0","21,948.0","22,444.0","22,272.0","22,384.0","21,436.0","20,908.0","22,732.0","24,100.0","21,428.0","21,824.0","23,044.0","24,632.0","23,440.0","22,792.0","26,224.0","26,888.0","27,088.0","27,428.0","28,624.0","30,332.0","28,996.0","28,332.0","29,232.0","30,340.0","30,356.0","31,400.0","31,972.0","33,292.0","35,144.0","33,724.0","35,196.0","37,556.0","38,672.0","39,592.0","42,008.0","44,528.0","45,344.0","41,644.0","45,592.0","48,700.0","47,292.0","43,624.0","45,968.0","48,164.0","50,332.0","42,000.0","44,492.0","45,812.0","47,624.0","43,336.0","43,632.0","45,392.0","43,896.0","38,168.0","39,516.0","39,128.0","37,828.0","35,008.0","34,732.0","33,892.0"
