"","Table 1#10# Gross Domestic Income by Type of Income             ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186"
"27","8","Less: Subsidies \1\","A107RC1","4,340.0","4,464.0","4,668.0","4,664.0","4,736.0","4,820.0","4,740.0","4,812.0","4,764.0","4,812.0","4,512.0","4,612.0","6,103.0","6,203.0","7,175.0","7,063.0","5,944.0","5,704.0","4,717.0","4,555.0","3,556.0","2,892.0","3,172.0","3,608.0","4,220.0","4,264.0","4,564.0","4,928.0","5,136.0","4,836.0","5,068.0","5,460.0","5,820.0","5,856.0","6,416.0","10,308.0","8,680.0","8,368.0","8,288.0","10,408.0","8,352.0","8,776.0","8,132.0","8,864.0","9,200.0","9,624.0","10,072.0","10,304.0","10,556.0","10,704.0","11,120.0","13,512.0","13,996.0","13,604.0","13,040.0","19,428.0","19,900.0","21,584.0","22,196.0","21,536.0","21,224.0","20,996.0","20,880.0","21,160.0","21,119.0","20,994.0","21,333.0","21,994.0","23,105.0","24,187.0","25,451.0","26,837.0","28,281.0","30,443.0","31,306.0","31,098.0","30,364.0","29,842.0","29,237.0","28,565.0","27,954.0","27,389.0","27,095.0","27,274.0","27,124.0","26,949.0","26,931.0","26,968.0","27,137.0","27,213.0","27,504.0","28,098.0","28,575.0","29,224.0","30,392.0","32,161.0","35,468.0","37,558.0","37,688.0","36,010.0","33,567.0","32,376.0","31,945.0","32,204.0","33,964.0","34,614.0","35,147.0","35,523.0","35,502.0","35,434.0","35,193.0","34,807.0","34,375.0","33,647.0","33,432.0","33,786.0","33,810.0","35,006.0","36,784.0","39,872.0","42,447.0","45,027.0","46,449.0","46,913.0","45,067.0","45,472.0","45,819.0","47,002.0","55,246.0","62,026.0","71,173.0","46,443.0","42,631.0","39,835.0","41,357.0","41,737.0","44,971.0","57,080.0","46,951.0","47,230.0","44,722.0","43,655.0","45,120.0","52,049.0","56,543.0","60,700.0","62,108.0","64,288.0","55,720.0","51,544.0","49,929.0","48,675.0","49,528.0","58,180.0","55,938.0","54,692.0","51,865.0","51,646.0","52,056.0","54,663.0","55,247.0","55,417.0","67,054.0","55,674.0","54,866.0","55,485.0","56,196.0","56,897.0","58,552.0","59,919.0","60,995.0","60,794.0","57,897.0","58,002.0","56,807.0","59,422.0","60,031.0","61,147.0","60,581.0","58,891.0","57,662.0","57,454.0","57,405.0"
"28","9","Net operating surplus","W271RC1","228,942.0","229,310.0","229,341.0","224,783.0","217,274.0","221,502.0","225,946.0","223,385.0","237,235.0","243,371.0","248,858.0","256,873.0","264,047.0","268,205.0","282,689.0","302,970.0","307,595.0","311,719.0","317,496.0","332,481.0","322,978.0","320,258.0","322,931.0","327,133.0","330,771.0","344,213.0","371,314.0","382,246.0","401,312.0","401,817.0","407,930.0","410,464.0","419,459.0","449,613.0","471,391.0","486,546.0","484,123.0","527,842.0","538,729.0","553,577.0","559,955.0","562,062.0","563,008.0","569,212.0","568,963.0","534,336.0","565,721.0","633,814.0","645,566.0","651,809.0","699,038.0","682,038.0","665,914.0","687,218.0","688,715.0","692,119.0","719,496.0","749,169.0","779,954.0","820,888.0","886,562.0","917,017.0","933,155.0","948,877.0","974,571.0","977,841.0","996,252.0","982,864.0","997,308.0","988,760.0","982,265.0","980,242.0","1,000,498.0","1,045,595.0","1,085,498.0","1,103,537.0","1,129,983.0","1,151,942.0","1,188,844.0","1,228,607.0","1,252,596.0","1,244,842.0","1,246,653.0","1,224,366.0","1,249,476.0","1,273,640.0","1,261,449.0","1,249,171.0","1,266,868.0","1,270,511.0","1,273,947.0","1,269,404.0","1,311,345.0","1,335,344.0","1,337,946.0","1,380,516.0","1,376,530.0","1,424,229.0","1,422,846.0","1,505,797.0","1,526,440.0","1,564,533.0","1,610,678.0","1,656,333.0","1,665,101.0","1,689,966.0","1,751,935.0","1,776,552.0","1,831,174.0","1,887,852.0","1,905,549.0","1,958,854.0","2,003,525.0","2,026,083.0","2,096,113.0","2,111,747.0","2,096,887.0","2,134,861.0","2,188,104.0","2,194,400.0","2,235,618.0","2,240,980.0","2,249,611.0","2,279,448.0","2,315,689.0","2,353,297.0","2,361,505.0","2,346,104.0","2,395,612.0","2,439,790.0","2,443,505.0","2,361,523.0","2,481,599.0","2,499,452.0","2,509,193.0","2,578,952.0","2,608,663.0","2,643,865.0","2,689,085.0","2,720,117.0","2,810,255.0","2,871,172.0","2,908,767.0","2,951,730.0","3,063,517.0","3,119,544.0","3,186,008.0","3,333,771.0","3,450,795.0","3,483,520.0","3,537,748.0","3,459,820.0","3,342,354.0","3,380,689.0","3,284,740.0","3,220,391.0","3,217,468.0","3,245,279.0","3,235,633.0","3,007,578.0","3,150,177.0","3,113,904.0","3,209,403.0","3,372,835.0","3,456,973.0","3,461,605.0","3,634,596.0","3,698,186.0","3,616,603.0","3,723,616.0","3,816,004.0","3,987,557.0","4,073,189.0","4,127,798.0","4,206,490.0","4,205,388.0","4,329,738.0","4,370,145.0","4,432,699.0","4,454,673.0","4,291,182.0","4,450,286.0","4,589,771.0"
"29","10","  Private enterprises","W260RC1","228,929.0","229,314.0","229,373.0","224,741.0","217,951.0","222,796.0","227,222.0","224,934.0","239,177.0","244,796.0","250,612.0","258,544.0","265,636.0","269,461.0","283,813.0","303,624.0","309,192.0","313,723.0","319,919.0","335,273.0","325,682.0","322,392.0","325,619.0","330,338.0","334,723.0","348,382.0","375,883.0","386,975.0","404,046.0","404,555.0","410,564.0","413,181.0","422,414.0","452,695.0","474,995.0","490,241.0","487,769.0","531,026.0","540,590.0","556,275.0","562,736.0","565,001.0","566,125.0","573,223.0","573,089.0","539,104.0","570,813.0","640,032.0","652,215.0","656,410.0","704,116.0","686,396.0","669,737.0","690,938.0","692,586.0","695,883.0","722,482.0","751,659.0","782,099.0","822,516.0","888,680.0","918,628.0","934,446.0","949,360.0","974,343.0","976,297.0","994,409.0","981,251.0","995,420.0","986,810.0","980,312.0","978,180.0","998,035.0","1,043,347.0","1,083,504.0","1,101,576.0","1,128,296.0","1,146,017.0","1,182,798.0","1,222,104.0","1,246,052.0","1,238,118.0","1,240,029.0","1,217,567.0","1,244,828.0","1,270,385.0","1,258,608.0","1,246,981.0","1,261,333.0","1,262,542.0","1,265,731.0","1,259,769.0","1,301,936.0","1,325,151.0","1,327,222.0","1,371,129.0","1,367,417.0","1,412,900.0","1,411,796.0","1,494,205.0","1,514,268.0","1,552,422.0","1,598,936.0","1,645,041.0","1,649,438.0","1,674,532.0","1,736,371.0","1,760,740.0","1,814,688.0","1,871,194.0","1,888,394.0","1,941,594.0","1,986,161.0","2,008,025.0","2,078,807.0","2,094,661.0","2,080,488.0","2,118,199.0","2,171,535.0","2,178,984.0","2,218,298.0","2,224,316.0","2,233,453.0","2,264,906.0","2,301,477.0","2,340,501.0","2,352,109.0","2,339,597.0","2,389,845.0","2,435,829.0","2,434,738.0","2,359,372.0","2,477,273.0","2,494,646.0","2,499,416.0","2,569,891.0","2,602,581.0","2,639,372.0","2,686,105.0","2,718,117.0","2,810,148.0","2,872,109.0","2,911,473.0","2,955,382.0","3,068,449.0","3,125,273.0","3,193,349.0","3,341,362.0","3,456,718.0","3,491,627.0","3,548,143.0","3,472,645.0","3,358,036.0","3,396,438.0","3,300,327.0","3,239,141.0","3,237,685.0","3,266,483.0","3,257,091.0","3,029,526.0","3,172,007.0","3,134,319.0","3,228,934.0","3,393,578.0","3,478,152.0","3,484,192.0","3,658,062.0","3,722,499.0","3,641,064.0","3,747,710.0","3,840,645.0","4,012,408.0","4,097,062.0","4,152,328.0","4,231,922.0","4,232,706.0","4,357,523.0","4,399,789.0","4,462,820.0","4,485,658.0","4,322,246.0","4,483,892.0","4,626,164.0"
"30","11","    Net interest and miscellaneous payments, domestic industries","W272RC1","31,120.0","33,166.0","35,425.0","36,647.0","38,313.0","40,259.0","42,503.0","43,721.0","44,394.0","45,290.0","46,029.0","46,288.0","47,331.0","48,858.0","51,180.0","53,654.0","54,826.0","57,202.0","61,376.0","64,661.0","68,889.0","73,345.0","76,956.0","82,537.0","86,844.0","86,739.0","88,022.0","88,235.0","87,055.0","89,199.0","90,142.0","91,862.0","93,555.0","102,005.0","108,956.0","114,075.0","115,896.0","118,647.0","120,362.0","124,926.0","130,706.0","138,171.0","145,996.0","159,703.0","175,185.0","181,078.0","186,968.0","206,248.0","207,179.0","225,720.0","250,258.0","256,693.0","268,091.0","275,721.0","273,882.0","275,782.0","279,812.0","280,342.0","292,749.0","305,328.0","311,206.0","331,261.0","348,570.0","353,658.0","358,964.0","358,891.0","357,546.0","366,870.0","384,124.0","388,298.0","385,947.0","385,376.0","385,208.0","394,902.0","401,927.0","412,660.0","413,115.0","417,622.0","433,147.0","448,903.0","473,393.0","483,607.0","490,220.0","487,640.0","492,763.0","490,638.0","488,461.0","484,738.0","466,546.0","453,761.0","449,370.0","432,872.0","430,563.0","426,145.0","418,249.0","416,132.0","424,193.0","413,243.0","407,278.0","407,185.0","401,371.0","411,247.0","417,980.0","433,537.0","437,213.0","435,834.0","436,456.0","436,876.0","428,881.0","442,406.0","452,476.0","467,887.0","479,016.0","487,052.0","497,166.0","511,719.0","538,802.0","557,796.0","570,117.0","564,550.0","558,510.0","561,213.0","577,658.0","605,263.0","641,547.0","663,870.0","682,553.0","682,390.0","690,570.0","690,442.0","677,934.0","652,393.0","622,016.0","596,749.0","578,581.0","574,237.0","579,879.0","566,069.0","550,944.0","532,906.0","505,048.0","502,489.0","505,870.0","527,176.0","580,852.0","611,415.0","655,370.0","680,977.0","712,861.0","743,940.0","765,535.0","810,237.0","841,959.0","861,167.0","899,735.0","920,091.0","917,003.0","911,916.0","902,869.0","933,743.0","887,730.0","755,419.0","703,302.0","696,953.0","689,958.0","663,942.0","660,038.0","668,370.0","664,587.0","635,312.0","664,031.0","657,068.0","665,551.0","639,098.0","677,152.0","649,074.0","686,273.0","646,216.0","663,144.0","682,796.0","684,510.0","632,313.0","653,999.0"
"31","12","    Business current transfer payments (net)","B029RC1","4,716.0","4,827.0","4,837.0","4,812.0","4,617.0","4,463.0","4,225.0","4,123.0","4,131.0","4,104.0","4,153.0","4,240.0","4,540.0","4,695.0","4,874.0","5,007.0","5,576.0","5,889.0","5,647.0","5,848.0","6,298.0","6,570.0","6,972.0","7,312.0","8,356.0","9,097.0","9,276.0","9,415.0","9,549.0","9,394.0","9,050.0","8,551.0","8,160.0","7,823.0","8,029.0","8,312.0","9,352.0","10,034.0","10,731.0","11,379.0","12,282.0","12,699.0","12,958.0","13,069.0","13,159.0","13,392.0","13,709.0","15,728.0","16,441.0","16,559.0","17,105.0","17,547.0","18,640.0","19,151.0","19,520.0","19,953.0","20,300.0","20,905.0","21,883.0","23,636.0","26,684.0","28,647.0","30,140.0","31,161.0","32,203.0","38,146.0","32,787.0","33,104.0","42,051.0","34,517.0","33,249.0","34,028.0","34,013.0","34,352.0","32,482.0","32,328.0","31,116.0","31,674.0","33,165.0","35,064.0","37,232.0","37,664.0","39,129.0","39,038.0","39,374.0","38,969.0","38,872.0","39,501.0","39,752.0","38,654.0","38,482.0","38,666.0","38,624.0","38,362.0","38,879.0","43,011.0","40,205.0","39,303.0","38,701.0","39,347.0","40,709.0","39,701.0","41,264.0","41,180.0","43,616.0","44,899.0","45,834.0","45,510.0","46,812.0","48,199.0","48,927.0","66,659.0","46,901.0","47,356.0","53,498.0","52,490.0","58,940.0","60,415.0","62,614.0","74,347.0","65,241.0","66,388.0","67,863.0","71,765.0","79,077.0","83,277.0","87,208.0","91,698.0","98,485.0","100,489.0","100,127.0","97,483.0","87,767.0","81,411.0","77,489.0","75,983.0","77,740.0","76,370.0","75,946.0","74,979.0","77,841.0","79,467.0","78,523.0","89,568.0","94,525.0","97,437.0","92,968.0","90,703.0","80,803.0","79,107.0","84,029.0","86,425.0","101,484.0","98,804.0","99,635.0","94,317.0","112,304.0","109,801.0","108,121.0","127,254.0","125,024.0","135,235.0","117,735.0","121,513.0","129,320.0","126,495.0","131,081.0","126,962.0","142,637.0","127,912.0","130,967.0","124,584.0","119,206.0","110,825.0","102,029.0","94,600.0","115,093.0","122,251.0","118,407.0","126,575.0","119,219.0","123,040.0","182,451.0"
"32","13","    Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1","75,631.0","77,111.0","77,967.0","77,313.0","77,071.0","76,711.0","78,484.0","78,944.0","80,315.0","82,848.0","84,595.0","87,858.0","87,904.0","91,327.0","95,535.0","105,614.0","104,145.0","109,942.0","113,790.0","122,206.0","115,734.0","108,637.0","111,000.0","113,481.0","112,735.0","114,317.0","120,707.0","125,195.0","126,394.0","128,628.0","132,685.0","136,190.0","138,591.0","140,511.0","142,367.0","156,496.0","158,525.0","166,114.0","168,343.0","170,915.0","180,057.0","179,181.0","180,733.0","177,778.0","167,564.0","160,310.0","173,401.0","185,004.0","188,214.0","176,368.0","182,287.0","171,849.0","165,195.0","169,412.0","170,699.0","179,460.0","183,262.0","182,635.0","183,805.0","195,302.0","221,918.0","231,775.0","232,366.0","226,936.0","240,667.0","238,477.0","240,737.0","244,323.0","245,628.0","251,631.0","264,416.0","264,240.0","275,438.0","282,308.0","289,494.0","298,631.0","319,289.0","322,756.0","333,978.0","327,347.0","348,725.0","340,266.0","338,026.0","340,730.0","346,715.0","352,349.0","360,294.0","358,436.0","349,074.0","354,752.0","355,474.0","364,519.0","380,780.0","397,371.0","410,112.0","421,182.0","421,341.0","432,043.0","426,013.0","442,644.0","452,945.0","456,925.0","459,667.0","468,463.0","470,482.0","475,200.0","487,784.0","504,356.0","526,784.0","551,045.0","551,101.0","560,556.0","579,361.0","579,011.0","592,472.0","600,570.0","621,399.0","633,652.0","649,029.0","672,692.0","685,964.0","694,077.0","703,824.0","717,884.0","724,894.0","755,230.0","764,680.0","786,279.0","816,178.0","835,015.0","851,549.0","844,392.0","861,122.0","864,816.0","873,901.0","884,308.0","880,178.0","894,147.0","907,237.0","918,706.0","947,173.0","961,906.0","962,078.0","977,056.0","953,284.0","960,535.0","991,677.0","1,010,327.0","1,058,713.0","1,062,183.0","1,051,098.0","1,042,749.0","992,342.0","972,782.0","966,023.0","985,533.0","1,017,746.0","1,045,914.0","1,040,946.0","1,001,288.0","944,159.0","944,626.0","976,936.0","1,026,280.0","1,017,605.0","1,024,661.0","1,029,242.0","1,059,259.0","1,103,186.0","1,125,229.0","1,161,757.0","1,184,497.0","1,226,362.0","1,256,057.0","1,266,060.0","1,292,266.0","1,327,834.0","1,330,022.0","1,345,945.0","1,342,706.0","1,350,979.0","1,380,951.0","1,387,082.0"
"33","14","    Rental income of persons with capital consumption adjustment","A048RC1","20,247.0","20,314.0","20,474.0","20,465.0","20,487.0","20,274.0","20,915.0","21,220.0","21,191.0","21,776.0","22,151.0","22,600.0","23,207.0","20,259.0","23,981.0","23,856.0","23,633.0","23,485.0","22,482.0","23,433.0","23,676.0","23,079.0","23,432.0","23,170.0","22,898.0","22,642.0","22,484.0","22,092.0","21,949.0","20,767.0","20,336.0","19,434.0","17,133.0","16,625.0","15,760.0","15,264.0","16,494.0","16,188.0","17,398.0","17,558.0","17,767.0","15,588.0","15,350.0","17,572.0","19,963.0","14,130.0","17,014.0","27,830.0","26,167.0","24,423.0","24,108.0","26,959.0","27,578.0","24,048.0","25,948.0","26,983.0","27,437.0","27,433.0","27,416.0","27,668.0","26,887.0","25,162.0","27,624.0","31,867.0","30,170.0","29,176.0","30,252.0","28,425.0","24,779.0","24,247.0","20,495.0","18,096.0","18,819.0","17,365.0","20,972.0","23,673.0","22,984.0","22,630.0","23,929.0","30,918.0","26,818.0","24,713.0","22,724.0","23,399.0","25,898.0","30,152.0","34,830.0","34,550.0","36,152.0","38,583.0","43,040.0","50,244.0","53,948.0","61,050.0","68,031.0","74,278.0","83,217.0","91,889.0","96,265.0","103,181.0","112,742.0","117,371.0","120,745.0","119,027.0","122,205.0","126,095.0","130,154.0","138,290.0","143,930.0","146,040.0","147,975.0","149,860.0","148,962.0","149,865.0","152,564.0","156,795.0","161,504.0","167,196.0","172,609.0","178,146.0","180,789.0","184,119.0","183,944.0","183,565.0","184,223.0","184,349.0","186,936.0","195,379.0","201,730.0","207,523.0","210,105.0","210,814.0","215,191.0","217,416.0","216,829.0","219,771.0","226,843.0","233,983.0","239,922.0","251,339.0","254,579.0","258,696.0","254,552.0","253,839.0","246,135.0","242,931.0","231,585.0","233,109.0","223,240.0","211,898.0","204,270.0","190,677.0","177,916.0","189,605.0","192,871.0","197,247.0","225,321.0","249,954.0","273,390.0","299,757.0","310,792.0","325,036.0","344,381.0","354,589.0","380,460.0","397,251.0","408,312.0","424,995.0","460,080.0","477,973.0","491,552.0","511,576.0","516,596.0","526,549.0","537,076.0","551,663.0","575,004.0","590,803.0","604,225.0","613,273.0","622,926.0","635,372.0","647,585.0"
"34","15","    Corporate profits with inventory valuation and capital consumption adjustments, domestic industries","A445RC1","97,215.0","93,896.0","90,670.0","85,504.0","77,463.0","81,089.0","81,095.0","76,926.0","89,146.0","90,778.0","93,684.0","97,558.0","102,654.0","104,322.0","108,243.0","115,493.0","121,012.0","117,205.0","116,624.0","119,125.0","111,085.0","110,761.0","107,259.0","103,838.0","103,890.0","115,587.0","135,394.0","142,038.0","159,099.0","156,567.0","158,351.0","157,144.0","164,975.0","185,731.0","199,883.0","196,094.0","187,502.0","220,043.0","223,756.0","231,497.0","221,924.0","219,362.0","211,088.0","205,101.0","197,218.0","170,194.0","179,721.0","205,222.0","214,214.0","213,340.0","230,358.0","213,348.0","190,233.0","202,606.0","202,537.0","193,705.0","211,671.0","240,344.0","256,246.0","270,582.0","301,985.0","301,783.0","295,746.0","305,738.0","312,339.0","311,607.0","333,087.0","308,529.0","298,838.0","288,117.0","276,205.0","276,440.0","284,557.0","314,420.0","338,629.0","334,284.0","341,792.0","351,335.0","358,579.0","379,872.0","359,884.0","351,868.0","349,930.0","326,760.0","340,078.0","358,277.0","336,151.0","329,756.0","369,809.0","376,792.0","379,365.0","373,468.0","398,021.0","402,223.0","391,951.0","416,526.0","398,461.0","436,422.0","443,539.0","501,848.0","506,501.0","527,178.0","559,280.0","582,834.0","575,922.0","592,504.0","636,143.0","635,708.0","668,281.0","683,504.0","687,915.0","696,632.0","731,921.0","744,741.0","783,107.0","773,087.0","699,843.0","699,140.0","717,166.0","689,249.0","727,794.0","718,519.0","700,164.0","686,429.0","671,736.0","653,775.0","630,732.0","583,851.0","582,882.0","602,360.0","595,023.0","554,290.0","691,177.0","734,254.0","752,616.0","815,592.0","837,941.0","868,803.0","912,056.0","940,187.0","1,025,507.0","1,069,551.0","1,110,450.0","1,107,743.0","1,193,653.0","1,212,955.0","1,221,749.0","1,326,246.0","1,381,101.0","1,394,499.0","1,443,211.0","1,342,557.0","1,244,335.0","1,274,080.0","1,142,063.0","1,041,953.0","965,311.0","948,898.0","931,765.0","667,484.0","904,302.0","974,003.0","1,086,580.0","1,194,243.0","1,260,809.0","1,271,843.0","1,429,389.0","1,442,913.0","1,270,574.0","1,381,284.0","1,392,338.0","1,534,683.0","1,569,347.0","1,619,799.0","1,649,605.0","1,645,103.0","1,653,319.0","1,710,497.0","1,731,099.0","1,720,308.0","1,544,612.0","1,712,216.0","1,755,047.0"
"35","16","      Taxes on corporate income","A054RC1","41,460.0","40,428.0","39,140.0","38,880.0","34,468.0","34,652.0","35,724.0","34,184.0","37,824.0","38,568.0","37,916.0","38,352.0","40,368.0","40,660.0","41,952.0","46,384.0","49,736.0","50,208.0","48,592.0","51,356.0","49,744.0","52,156.0","57,324.0","51,916.0","43,792.0","46,788.0","57,208.0","58,796.0","66,620.0","65,180.0","64,892.0","64,460.0","68,804.0","74,384.0","76,748.0","77,828.0","72,496.0","86,616.0","87,428.0","92,892.0","90,108.0","90,932.0","90,584.0","88,440.0","97,016.0","77,224.0","83,160.0","91,360.0","91,116.0","82,648.0","86,152.0","77,440.0","65,736.0","68,444.0","68,604.0","63,212.0","64,168.0","79,236.0","88,268.0","90,920.0","103,884.0","102,888.0","91,072.0","92,280.0","98,688.0","96,972.0","102,264.0","99,700.0","106,580.0","106,336.0","107,304.0","118,480.0","118,705.0","132,794.0","137,908.0","132,356.0","129,331.0","136,631.0","146,652.0","153,906.0","158,354.0","145,029.0","140,422.0","140,467.0","139,325.0","144,875.0","149,827.0","147,669.0","141,637.0","136,779.0","137,436.0","138,511.0","148,203.0","149,751.0","144,029.0","152,769.0","158,139.0","170,091.0","162,123.0","193,783.0","174,536.0","183,616.0","201,134.0","213,278.0","217,571.0","214,784.0","221,665.0","217,331.0","221,588.0","233,383.0","233,779.0","237,124.0","238,216.0","242,942.0","255,071.0","245,455.0","248,512.0","245,489.0","252,217.0","247,246.0","256,227.0","254,080.0","259,164.0","265,667.0","274,301.0","273,119.0","254,697.0","258,251.0","224,489.0","216,639.0","195,037.0","177,017.0","179,259.0","185,957.0","193,723.0","210,405.0","231,540.0","226,974.0","247,224.0","269,329.0","277,630.0","298,197.0","320,427.0","328,122.0","405,092.0","395,642.0","403,058.0","445,747.0","460,725.0","475,172.0","496,703.0","460,837.0","474,187.0","468,062.0","431,090.0","408,781.0","355,279.0","344,133.0","312,594.0","224,394.0","214,997.0","240,432.0","284,998.0","337,351.0","344,824.0","351,677.0","387,470.0","398,311.0","397,495.0","383,380.0","351,001.0","384,501.0","451,290.0","473,505.0","440,557.0","453,775.0","474,911.0","459,154.0","467,525.0","495,449.0","562,309.0","607,956.0","603,155.0"
"36","17","      Profits after tax with inventory valuation and capital consumption adjustments","W273RC1","55,755.0","53,468.0","51,530.0","46,624.0","42,995.0","46,437.0","45,371.0","42,742.0","51,322.0","52,210.0","55,768.0","59,206.0","62,286.0","63,662.0","66,291.0","69,109.0","71,276.0","66,997.0","68,032.0","67,769.0","61,341.0","58,605.0","49,935.0","51,922.0","60,098.0","68,799.0","78,186.0","83,242.0","92,479.0","91,387.0","93,459.0","92,684.0","96,171.0","111,347.0","123,135.0","118,266.0","115,006.0","133,427.0","136,328.0","138,605.0","131,816.0","128,430.0","120,504.0","116,661.0","100,202.0","92,970.0","96,561.0","113,862.0","123,098.0","130,692.0","144,206.0","135,908.0","124,497.0","134,162.0","133,933.0","130,493.0","147,503.0","161,108.0","167,978.0","179,662.0","198,101.0","198,895.0","204,674.0","213,458.0","213,651.0","214,635.0","230,823.0","208,829.0","192,258.0","181,781.0","168,901.0","157,960.0","165,852.0","181,626.0","200,721.0","201,928.0","212,461.0","214,704.0","211,927.0","225,966.0","201,530.0","206,839.0","209,508.0","186,293.0","200,753.0","213,402.0","186,324.0","182,087.0","228,172.0","240,013.0","241,929.0","234,957.0","249,818.0","252,472.0","247,922.0","263,757.0","240,322.0","266,331.0","281,416.0","308,065.0","331,965.0","343,562.0","358,146.0","369,556.0","358,351.0","377,720.0","414,478.0","418,377.0","446,693.0","450,121.0","454,136.0","459,508.0","493,705.0","501,799.0","528,036.0","527,632.0","451,331.0","453,651.0","464,949.0","442,003.0","471,567.0","464,439.0","441,000.0","420,762.0","397,435.0","380,656.0","376,035.0","325,600.0","358,393.0","385,721.0","399,986.0","377,273.0","511,918.0","548,297.0","558,893.0","605,187.0","606,401.0","641,829.0","664,832.0","670,858.0","747,877.0","771,354.0","790,023.0","779,621.0","788,561.0","817,313.0","818,691.0","880,499.0","920,376.0","919,327.0","946,508.0","881,720.0","770,148.0","806,018.0","710,973.0","633,172.0","610,032.0","604,765.0","619,171.0","443,090.0","689,305.0","733,571.0","801,582.0","856,892.0","915,985.0","920,166.0","1,041,919.0","1,044,602.0","873,079.0","997,904.0","1,041,337.0","1,150,182.0","1,118,057.0","1,146,294.0","1,209,048.0","1,191,328.0","1,178,408.0","1,251,343.0","1,263,574.0","1,224,859.0","982,303.0","1,104,260.0","1,151,892.0"
"37","18","        Net dividends","A449RC1","20,244.0","20,428.0","20,204.0","20,736.0","20,060.0","20,528.0","20,216.0","20,680.0","21,248.0","19,728.0","21,284.0","19,088.0","22,224.0","22,080.0","21,976.0","21,488.0","21,980.0","22,996.0","23,860.0","23,592.0","22,304.0","25,180.0","24,032.0","22,300.0","26,736.0","26,008.0","25,860.0","27,012.0","26,004.0","30,112.0","31,392.0","32,712.0","31,752.0","32,476.0","34,060.0","36,472.0","37,256.0","36,456.0","41,384.0","43,340.0","42,324.0","42,320.0","39,592.0","41,680.0","40,932.0","54,376.0","45,376.0","48,604.0","53,548.0","57,116.0","60,588.0","61,992.0","66,253.0","53,794.0","59,435.0","65,842.0","70,997.0","68,596.0","71,468.0","74,216.0","78,001.0","78,498.0","79,452.0","78,110.0","81,163.0","90,493.0","84,150.0","87,030.0","85,742.0","92,056.0","85,942.0","89,449.0","93,896.0","92,355.0","93,760.0","102,417.0","85,788.0","93,396.0","112,080.0","100,837.0","126,138.0","126,359.0","130,772.0","122,227.0","145,804.0","141,223.0","143,194.0","146,131.0","149,670.0","157,232.0","156,680.0","161,163.0","153,650.0","158,891.0","160,894.0","172,494.0","179,468.0","180,303.0","184,209.0","194,972.0","190,176.0","199,998.0","195,682.0","205,372.0","212,487.0","215,613.0","235,165.0","241,448.0","249,018.0","254,918.0","269,143.0","279,468.0","281,422.0","284,445.0","293,640.0","309,461.0","310,472.0","317,947.0","312,494.0","318,295.0","306,733.0","308,867.0","290,569.0","319,311.0","344,117.0","362,910.0","372,735.0","342,013.0","328,897.0","311,542.0","340,352.0","338,847.0","343,765.0","356,558.0","337,983.0","370,809.0","342,175.0","426,546.0","402,447.0","436,344.0","470,592.0","466,158.0","465,683.0","604,651.0","457,069.0","406,261.0","249,865.0","165,467.0","583,346.0","592,942.0","656,427.0","759,703.0","662,411.0","666,693.0","695,698.0","689,114.0","641,225.0","645,924.0","628,810.0","596,444.0","570,843.0","490,065.0","378,337.0","386,725.0","418,890.0","410,887.0","462,760.0","477,598.0","515,160.0","536,579.0","557,925.0","585,381.0","597,951.0","605,454.0","641,609.0","876,102.0","697,548.0","936,535.0","816,646.0","856,091.0","740,444.0","714,197.0","716,454.0"
