"","Table 1#2#5# Gross Domestic Product by Major Type of Product    ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"21","3","       Change in private inventories","A014RC1","1,540.0","-223.0","-1,112.0","-2,351.0","-1,403.0","-580.0","1,140.0","1,161.0","2,625.0","-575.0","207.0","2,393.0","4,330.0","1,906.0","-746.0","-924.0","-1,476.0","6,011.0","-550.0","5,658.0","-2,692.0","5,770.0","9,909.0","3,514.0","1,948.0","-1,937.0","4,988.0","3,950.0","777.0","-366.0","3,917.0","3,232.0","2,974.0","6,101.0","5,621.0","4,821.0","9,247.0","13,636.0","9,866.0","9,053.0","9,173.0"
"22","4","Goods","A353RC1","52,664.0","43,890.0","34,525.0","24,372.0","24,806.0","31,436.0","36,729.0","42,280.0","47,392.0","41,371.0","44,489.0","51,232.0","65,127.0","75,789.0","92,801.0","100,518.0","99,147.0","113,929.0","129,296.0","142,322.0","133,764.0","148,657.0","170,371.0","171,464.0","178,799.0","174,772.0","196,273.0","206,621.0","216,614.0","212,124.0","232,213.0","242,229.0","246,961.0","264,867.0","278,118.0","298,906.0","327,266.0","363,009.0","373,254.0","401,109.0","429,687.0"
"23","5","    Final sales","A325RC1","51,124.0","44,113.0","35,637.0","26,723.0","26,209.0","32,016.0","35,589.0","41,119.0","44,767.0","41,946.0","44,282.0","48,839.0","60,797.0","73,883.0","93,547.0","101,442.0","100,623.0","107,918.0","129,846.0","136,664.0","136,456.0","142,887.0","160,462.0","167,950.0","176,851.0","176,709.0","191,285.0","202,671.0","215,837.0","212,490.0","228,296.0","238,997.0","243,987.0","258,766.0","272,497.0","294,085.0","318,019.0","349,373.0","363,388.0","392,056.0","420,514.0"
"24","6","    Change in private inventories","A014RC1","1,540.0","-223.0","-1,112.0","-2,351.0","-1,403.0","-580.0","1,140.0","1,161.0","2,625.0","-575.0","207.0","2,393.0","4,330.0","1,906.0","-746.0","-924.0","-1,476.0","6,011.0","-550.0","5,658.0","-2,692.0","5,770.0","9,909.0","3,514.0","1,948.0","-1,937.0","4,988.0","3,950.0","777.0","-366.0","3,917.0","3,232.0","2,974.0","6,101.0","5,621.0","4,821.0","9,247.0","13,636.0","9,866.0","9,053.0","9,173.0"
"25","7","  Durable goods","A354RC1","18,673.0","12,493.0","8,659.0","4,402.0","5,653.0","8,164.0","10,151.0","13,214.0","15,036.0","11,029.0","13,841.0","17,838.0","27,069.0","32,225.0","46,250.0","49,582.0","41,044.0","40,961.0","50,215.0","53,249.0","51,828.0","63,089.0","73,279.0","71,788.0","79,502.0","73,043.0","88,869.0","92,675.0","98,137.0","88,247.0","104,609.0","108,946.0","108,926.0","122,867.0","130,844.0","144,147.0","160,681.0","181,186.0","182,520.0","197,434.0","213,523.0"
"26","8","    Final sales","A326RC1","17,257.0","13,509.0","9,904.0","6,444.0","6,143.0","8,031.0","9,812.0","12,271.0","14,268.0","11,894.0","13,546.0","16,624.0","24,019.0","31,202.0","46,239.0","50,220.0","42,301.0","35,640.0","48,773.0","52,235.0","53,631.0","59,458.0","67,194.0","70,628.0","77,983.0","75,587.0","85,474.0","90,541.0","97,623.0","91,025.0","101,743.0","107,283.0","108,980.0","119,446.0","128,210.0","140,321.0","154,438.0","171,158.0","177,672.0","192,888.0","207,558.0"
"27","9","    Change in private inventories \1\","A355RC1","1,416.0","-1,016.0","-1,245.0","-2,042.0","-490.0","133.0","339.0","943.0","768.0","-865.0","295.0","1,214.0","3,050.0","1,023.0","11.0","-638.0","-1,257.0","5,321.0","1,442.0","1,014.0","-1,803.0","3,631.0","6,085.0","1,160.0","1,519.0","-2,544.0","3,395.0","2,134.0","514.0","-2,778.0","2,866.0","1,663.0","-54.0","3,421.0","2,634.0","3,826.0","6,243.0","10,028.0","4,848.0","4,546.0","5,965.0"
"28","10","  Nondurable goods","A356RC1","33,991.0","31,397.0","25,866.0","19,970.0","19,153.0","23,272.0","26,578.0","29,066.0","32,356.0","30,342.0","30,648.0","33,394.0","38,058.0","43,564.0","46,551.0","50,936.0","58,103.0","72,968.0","79,081.0","89,073.0","81,936.0","85,568.0","97,093.0","99,676.0","99,297.0","101,729.0","107,403.0","113,946.0","118,477.0","123,877.0","127,604.0","133,283.0","138,035.0","142,000.0","147,274.0","154,759.0","166,585.0","181,823.0","190,734.0","203,675.0","216,164.0"
"29","11","    Final sales","A334RC1","33,867.0","30,604.0","25,733.0","20,279.0","20,066.0","23,985.0","25,777.0","28,848.0","30,499.0","30,052.0","30,736.0","32,215.0","36,778.0","42,681.0","47,308.0","51,222.0","58,322.0","72,278.0","81,073.0","84,429.0","82,825.0","83,429.0","93,268.0","97,322.0","98,868.0","101,122.0","105,811.0","112,130.0","118,214.0","121,465.0","126,553.0","131,714.0","135,007.0","139,320.0","144,287.0","153,764.0","163,581.0","178,215.0","185,716.0","199,168.0","212,956.0"
"30","12","    Change in private inventories \1\","A357RC1","124.0","793.0","133.0","-309.0","-913.0","-713.0","801.0","218.0","1,857.0","290.0","-88.0","1,179.0","1,280.0","883.0","-757.0","-286.0","-219.0","690.0","-1,992.0","4,644.0","-889.0","2,139.0","3,825.0","2,354.0","429.0","607.0","1,592.0","1,816.0","263.0","2,412.0","1,051.0","1,569.0","3,028.0","2,680.0","2,987.0","995.0","3,004.0","3,608.0","5,018.0","4,507.0","3,208.0"
"31","13","Services \2\","A341RC1","39,837.0","38,496.0","35,689.0","31,005.0","28,881.0","30,888.0","32,467.0","35,224.0","37,523.0","38,075.0","39,792.0","41,873.0","50,625.0","73,579.0","100,021.0","116,913.0","121,368.0","97,035.0","97,580.0","102,845.0","109,002.0","114,262.0","137,153.0","154,447.0","166,400.0","169,347.0","177,764.0","188,406.0","202,240.0","213,444.0","227,175.0","238,559.0","252,122.0","271,732.0","287,075.0","307,615.0","330,819.0","362,910.0","397,595.0","439,933.0","480,170.0"
"32","14","Structures","A755RC1","12,059.0","9,781.0","7,191.0","4,155.0","3,478.0","4,488.0","5,062.0","7,350.0","8,114.0","7,940.0","9,192.0","9,840.0","13,604.0","16,629.0","10,300.0","7,119.0","7,657.0","16,848.0","23,069.0","29,640.0","30,062.0","37,279.0","39,770.0","41,818.0","44,541.0","47,027.0","52,138.0","55,103.0","55,998.0","56,477.0","63,063.0","62,495.0","64,220.0","68,516.0","73,390.0","79,265.0","85,643.0","89,120.0","90,881.0","101,438.0","110,022.0"
"33",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","15","  Motor vehicle output","A953RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","34,710.0","43,792.0","44,679.0"
"35","16","  Gross domestic product excluding motor vehicle output","A962RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","827,021.0","898,688.0","975,199.0"
"36","17","  Final sales of computers \3\","BB01RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"37","18","  Gross domestic product excluding final sales of computers","BB00RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"38","19","  Research and development","Y694RC1","250.0","282.0","316.0","307.0","282.0","303.0","325.0","350.0","365.0","401.0","431.0","494.0","908.0","1,148.0","1,409.0","2,059.0","2,054.0","2,248.0","2,439.0","2,732.0","2,697.0","3,074.0","3,475.0","4,258.0","5,087.0","5,577.0","6,278.0","8,415.0","9,604.0","10,418.0","11,384.0","12,658.0","13,912.0","15,392.0","17,576.0","19,270.0","20,849.0","23,227.0","24,850.0","26,588.0","28,164.0"
"39","20","  Gross domestic product excluding research and development","Y695RC1","104,310.0","91,885.0","77,090.0","59,225.0","56,883.0","66,509.0","73,934.0","84,504.0","92,664.0","86,986.0","93,042.0","102,452.0","128,448.0","164,849.0","201,713.0","222,491.0","226,119.0","225,564.0","247,506.0","272,075.0","270,130.0","297,124.0","343,819.0","363,470.0","384,652.0","385,569.0","419,897.0","441,715.0","465,247.0","471,627.0","511,067.0","530,625.0","549,391.0","589,723.0","621,006.0","666,516.0","722,879.0","791,812.0","836,881.0","915,892.0","991,714.0"
"40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","1. Prior to 1959, inventories held by construction establishments are included in nondurable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","goods. Beginning with 1959, these inventories are included in durable goods.  Estimates for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","durable goods and nondurable goods for 1996 and earlier periods are based on the 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Standard Industrial Classification (SIC); later estimates for these industries are based on",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2. Includes government consumption expenditures, which are for services (such as education",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","and national defense) produced by government. In current dollars, these services are valued",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","at their cost of production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","3. Some components of final sales of computers include computer parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
