"","Table 1#3#6# Real Gross Value Added by Sector, Chained Dollars  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186"
"21","2","Business \1\","A195RX1","3,125,745.0","3,129,757.0","3,147,505.0","3,125,052.0","3,121,342.0","3,127,944.0","3,160,337.0","3,112,047.0","3,216,189.0","3,237,994.0","3,266,752.0","3,274,796.0","3,351,345.0","3,450,406.0","3,485,781.0","3,554,734.0","3,668,866.0","3,719,508.0","3,687,787.0","3,723,558.0","3,671,268.0","3,677,640.0","3,625,347.0","3,599,216.0","3,533,329.0","3,563,852.0","3,636,701.0","3,698,505.0","3,806,034.0","3,840,522.0","3,861,494.0","3,895,488.0","3,957,010.0","4,053,281.0","4,136,926.0","4,132,395.0","4,138,663.0","4,339,405.0","4,384,329.0","4,448,084.0","4,453,941.0","4,459,074.0","4,495,934.0","4,502,371.0","4,510,520.0","4,384,630.0","4,371,175.0","4,474,979.0","4,590,756.0","4,543,846.0","4,603,861.0","4,526,950.0","4,423,451.0","4,448,664.0","4,421,995.0","4,423,561.0","4,491,070.0","4,618,845.0","4,729,828.0","4,847,897.0","4,967,249.0","5,075,270.0","5,125,683.0","5,164,727.0","5,222,296.0","5,274,238.0","5,367,225.0","5,407,073.0","5,459,539.0","5,481,431.0","5,542,280.0","5,567,325.0","5,606,190.0","5,676,771.0","5,721,191.0","5,825,647.0","5,849,688.0","5,939,235.0","5,968,503.0","6,050,824.0","6,119,675.0","6,168,085.0","6,215,077.0","6,220,506.0","6,291,975.0","6,311,816.0","6,301,004.0","6,222,865.0","6,173,776.0","6,235,063.0","6,270,311.0","6,299,903.0","6,393,181.0","6,476,305.0","6,545,333.0","6,622,545.0","6,618,788.0","6,661,197.0","6,694,015.0","6,808,421.0","6,888,397.0","7,002,974.0","7,045,059.0","7,146,304.0","7,165,919.0","7,189,633.0","7,266,298.0","7,334,721.0","7,395,789.0","7,547,540.0","7,633,337.0","7,731,494.0","7,797,664.0","7,939,654.0","8,056,482.0","8,123,893.0","8,214,660.0","8,304,340.0","8,433,057.0","8,604,613.0","8,684,622.0","8,765,937.0","8,894,988.0","9,075,619.0","9,089,020.0","9,288,744.0","9,292,114.0","9,342,759.0","9,297,141.0","9,345,464.0","9,291,846.0","9,318,718.0","9,418,264.0","9,468,359.0","9,518,903.0","9,516,879.0","9,562,590.0","9,671,289.0","9,882,732.0","10,016,477.0","10,083,002.0","10,166,598.0","10,274,042.0","10,372,532.0","10,498,669.0","10,557,677.0","10,658,810.0","10,730,679.0","10,891,035.0","10,926,030.0","10,930,307.0","11,040,663.0","11,049,609.0","11,154,413.0","11,238,874.0","11,267,299.0","11,138,317.0","11,185,798.0","11,092,035.0","10,768,663.0","10,569,247.0","10,538,990.0","10,577,771.0","10,704,010.0","10,757,587.0","10,889,152.0","10,998,748.0","11,090,488.0","11,029,012.0","11,132,951.0","11,163,878.0","11,329,823.0","11,417,146.0","11,481,242.0","11,570,188.0","11,567,075.0","11,659,596.0","11,720,580.0","11,890,046.0","12,024,742.0","11,924,717.0","12,091,541.0","12,237,793.0"
"22","3","  Nonfarm \2\","A358RX1","3,104,138.0","3,107,708.0","3,124,540.0","3,101,898.0","3,097,909.0","3,103,610.0","3,135,282.0","3,084,741.0","3,189,306.0","3,210,378.0","3,239,045.0","3,247,684.0","3,333,497.0","3,425,904.0","3,463,873.0","3,528,952.0","3,662,310.0","3,704,027.0","3,692,912.0","3,687,285.0","3,664,112.0","3,664,025.0","3,612,528.0","3,584,293.0","3,499,285.0","3,524,932.0","3,597,521.0","3,662,697.0","3,778,168.0","3,815,818.0","3,838,015.0","3,871,026.0","3,935,890.0","4,028,225.0","4,111,855.0","4,098,668.0","4,120,758.0","4,324,025.0","4,360,217.0","4,440,942.0","4,432,701.0","4,438,492.0","4,470,961.0","4,475,868.0","4,486,371.0","4,360,244.0","4,354,846.0","4,457,807.0","4,558,146.0","4,502,774.0","4,539,267.0","4,468,319.0","4,364,735.0","4,390,763.0","4,368,016.0","4,367,870.0","4,452,049.0","4,605,457.0","4,729,899.0","4,841,695.0","4,942,763.0","5,039,337.0","5,084,038.0","5,120,771.0","5,171,243.0","5,222,334.0","5,303,523.0","5,351,762.0","5,407,129.0","5,435,972.0","5,489,890.0","5,518,029.0","5,556,803.0","5,628,773.0","5,669,421.0","5,777,258.0","5,802,277.0","5,901,314.0","5,935,040.0","6,024,289.0","6,074,519.0","6,121,795.0","6,167,598.0","6,171,874.0","6,239,657.0","6,261,269.0","6,247,472.0","6,165,347.0","6,119,514.0","6,181,496.0","6,218,074.0","6,244,054.0","6,328,787.0","6,406,503.0","6,475,464.0","6,558,172.0","6,563,269.0","6,602,511.0","6,653,187.0","6,749,539.0","6,814,992.0","6,929,637.0","6,971,608.0","7,082,296.0","7,115,127.0","7,140,947.0","7,222,448.0","7,285,882.0","7,336,495.0","7,483,500.0","7,574,917.0","7,670,867.0","7,731,604.0","7,869,682.0","7,981,683.0","8,052,428.0","8,149,673.0","8,241,962.0","8,368,778.0","8,540,929.0","8,621,612.0","8,697,587.0","8,829,460.0","9,006,879.0","9,010,279.0","9,208,455.0","9,209,041.0","9,262,702.0","9,220,007.0","9,277,447.0","9,226,586.0","9,234,835.0","9,359,384.0","9,391,858.0","9,434,458.0","9,428,909.0","9,472,706.0","9,575,587.0","9,797,021.0","9,942,124.0","9,981,866.0","10,085,390.0","10,184,373.0","10,272,194.0","10,402,353.0","10,457,539.0","10,558,279.0","10,632,101.0","10,795,412.0","10,815,921.0","10,829,959.0","10,948,981.0","10,962,042.0","11,073,147.0","11,165,461.0","11,187,629.0","11,043,352.0","11,098,832.0","11,007,572.0","10,666,127.0","10,466,393.0","10,434,656.0","10,459,184.0","10,590,584.0","10,649,588.0","10,773,166.0","10,883,071.0","10,984,754.0","10,916,466.0","11,036,130.0","11,067,190.0","11,224,397.0","11,316,670.0","11,381,170.0","11,483,835.0","11,487,099.0","11,555,380.0","11,611,338.0","11,770,930.0","11,907,901.0","11,835,456.0","11,994,374.0","12,137,971.0"
"23","4","  Farm","B359RX1","27,022.0","27,182.0","27,565.0","27,464.0","27,520.0","27,835.0","28,269.0","28,646.0","29,180.0","29,553.0","29,779.0","29,667.0","27,433.0","30,057.0","29,590.0","31,116.0","27,652.0","29,840.0","26,222.0","33,190.0","27,809.0","29,081.0","28,539.0","28,831.0","32,825.0","34,295.0","34,780.0","34,258.0","32,904.0","32,306.0","32,122.0","32,616.0","31,923.0","33,702.0","34,236.0","37,167.0","32,207.0","32,885.0","35,613.0","31,507.0","35,231.0","35,123.0","36,574.0","37,055.0","36,414.0","35,894.0","33,025.0","34,121.0","39,693.0","42,547.0","52,349.0","49,621.0","49,497.0","49,314.0","47,152.0","47,456.0","39,720.0","30,641.0","26,243.0","29,407.0","37,145.0","42,325.0","45,076.0","46,257.0","49,735.0","50,328.0","57,425.0","52,877.0","51,652.0","47,812.0","51,940.0","50,487.0","50,650.0","50,169.0","52,381.0","50,951.0","50,525.0","46,123.0","44,124.0","41,183.0","50,560.0","51,380.0","52,218.0","52,819.0","54,929.0","54,113.0","55,566.0","57,353.0","55,389.0","55,297.0","54,721.0","57,002.0","62,387.0","65,956.0","66,269.0","63,158.0","57,603.0","59,780.0","48,931.0","60,795.0","69,847.0","70,420.0","70,890.0","65,003.0","56,389.0","55,224.0","52,343.0","55,728.0","62,116.0","65,367.0","62,701.0","64,259.0","67,708.0","70,623.0","74,194.0","72,091.0","67,927.0","66,449.0","68,179.0","68,219.0","67,903.0","72,236.0","69,915.0","72,880.0","82,183.0","83,708.0","86,280.0","83,416.0","80,722.0","72,940.0","70,555.0","86,551.0","64,064.0","80,417.0","88,146.0","91,079.0","92,261.0","97,446.0","88,920.0","80,697.0","100,390.0","87,442.0","93,924.0","102,560.0","99,445.0","102,795.0","103,136.0","101,210.0","98,274.0","113,417.0","103,074.0","94,889.0","91,358.0","86,613.0","81,031.0","85,690.0","96,120.0","90,896.0","88,905.0","102,929.0","102,944.0","104,242.0","118,681.0","113,334.0","108,223.0","115,508.0","115,147.0","106,943.0","111,720.0","101,652.0","101,638.0","107,839.0","104,734.0","104,758.0","96,414.0","92,807.0","107,888.0","111,509.0","118,684.0","117,713.0","99,027.0","104,541.0","106,742.0"
"24","5","Households and institutions","A193RX1","599,490.0","606,711.0","611,656.0","615,197.0","614,772.0","615,269.0","620,799.0","629,133.0","638,429.0","644,339.0","651,215.0","657,431.0","665,526.0","671,644.0","677,085.0","682,254.0","687,068.0","693,600.0","701,352.0","709,850.0","718,195.0","724,327.0","730,110.0","736,434.0","744,160.0","751,399.0","757,001.0","760,031.0","760,065.0","763,129.0","765,849.0","767,144.0","761,323.0","766,884.0","775,543.0","779,933.0","792,913.0","800,480.0","806,691.0","817,847.0","824,893.0","829,707.0","835,846.0","840,394.0","850,873.0","858,474.0","865,844.0","869,564.0","873,132.0","876,852.0","880,200.0","888,979.0","895,009.0","900,753.0","909,514.0","913,357.0","921,303.0","928,121.0","935,412.0","948,972.0","952,898.0","951,890.0","962,846.0","976,581.0","979,525.0","983,674.0","987,362.0","998,324.0","1,009,022.0","1,016,367.0","1,023,465.0","1,028,732.0","1,039,426.0","1,048,267.0","1,073,714.0","1,085,036.0","1,098,540.0","1,109,422.0","1,122,955.0","1,140,980.0","1,148,074.0","1,159,325.0","1,166,587.0","1,174,828.0","1,185,543.0","1,195,645.0","1,205,097.0","1,212,327.0","1,217,203.0","1,220,835.0","1,228,732.0","1,237,184.0","1,239,402.0","1,251,512.0","1,267,336.0","1,281,975.0","1,304,567.0","1,317,678.0","1,330,390.0","1,338,745.0","1,347,369.0","1,358,328.0","1,373,074.0","1,382,727.0","1,393,733.0","1,403,732.0","1,409,534.0","1,418,562.0","1,422,513.0","1,430,523.0","1,438,293.0","1,447,736.0","1,458,282.0","1,470,375.0","1,484,481.0","1,500,195.0","1,511,848.0","1,523,831.0","1,534,663.0","1,543,294.0","1,551,436.0","1,564,759.0","1,576,876.0","1,594,057.0","1,609,769.0","1,624,994.0","1,640,518.0","1,658,756.0","1,660,573.0","1,668,414.0","1,675,804.0","1,677,886.0","1,684,597.0","1,696,553.0","1,700,970.0","1,708,863.0","1,721,427.0","1,726,648.0","1,730,074.0","1,749,754.0","1,756,475.0","1,768,852.0","1,781,152.0","1,794,630.0","1,811,621.0","1,824,460.0","1,836,972.0","1,843,813.0","1,853,940.0","1,858,204.0","1,856,521.0","1,851,937.0","1,848,945.0","1,850,408.0","1,857,318.0","1,871,953.0","1,890,575.0","1,909,664.0","1,918,694.0","1,920,141.0","1,909,791.0","1,907,452.0","1,914,138.0","1,923,079.0","1,930,060.0","1,930,949.0","1,928,560.0","1,932,309.0","1,936,936.0","1,944,075.0","1,948,827.0","1,952,284.0","1,953,358.0","1,952,233.0","1,956,464.0","1,963,096.0","1,974,875.0","1,981,397.0","1,989,328.0","1,996,962.0","1,999,949.0","2,009,824.0","2,016,528.0"
"25","6","  Households","B701RX1","346,884.0","351,703.0","355,136.0","358,258.0","358,203.0","358,938.0","362,082.0","367,596.0","372,590.0","376,164.0","381,723.0","387,735.0","391,663.0","394,714.0","396,913.0","400,259.0","403,001.0","406,893.0","411,953.0","417,245.0","423,461.0","426,940.0","430,338.0","434,303.0","436,991.0","440,841.0","443,480.0","445,077.0","445,783.0","448,239.0","449,765.0","449,559.0","441,526.0","445,840.0","452,956.0","456,130.0","467,459.0","472,028.0","476,381.0","484,501.0","487,548.0","488,277.0","491,259.0","494,579.0","501,293.0","507,238.0","510,028.0","511,829.0","513,004.0","514,564.0","514,872.0","517,778.0","518,424.0","518,830.0","522,073.0","522,349.0","526,738.0","529,400.0","532,575.0","542,311.0","543,131.0","539,821.0","550,038.0","561,417.0","566,206.0","568,883.0","570,051.0","575,515.0","579,927.0","581,215.0","584,853.0","585,583.0","591,537.0","593,336.0","608,342.0","613,302.0","618,228.0","621,766.0","627,365.0","637,866.0","639,336.0","644,426.0","646,915.0","648,580.0","652,147.0","656,195.0","659,340.0","662,593.0","664,519.0","665,534.0","671,389.0","675,750.0","675,214.0","683,427.0","691,927.0","698,217.0","710,469.0","714,300.0","721,292.0","728,384.0","738,633.0","747,508.0","759,143.0","766,181.0","772,178.0","777,986.0","780,597.0","786,185.0","788,888.0","792,647.0","797,413.0","802,612.0","807,780.0","813,481.0","820,203.0","827,783.0","829,597.0","835,922.0","842,010.0","848,513.0","857,737.0","868,621.0","878,026.0","888,348.0","897,943.0","907,112.0","917,439.0","928,814.0","935,316.0","942,597.0","948,884.0","947,224.0","947,093.0","951,005.0","950,712.0","956,326.0","967,127.0","972,923.0","975,929.0","991,639.0","998,339.0","1,009,067.0","1,020,723.0","1,033,683.0","1,050,011.0","1,062,032.0","1,072,339.0","1,081,186.0","1,091,412.0","1,095,328.0","1,094,277.0","1,089,428.0","1,082,747.0","1,079,896.0","1,083,540.0","1,092,731.0","1,104,318.0","1,116,515.0","1,120,466.0","1,121,328.0","1,110,836.0","1,106,213.0","1,108,782.0","1,114,516.0","1,118,160.0","1,117,238.0","1,113,144.0","1,113,259.0","1,119,103.0","1,122,644.0","1,121,338.0","1,121,983.0","1,118,628.0","1,115,841.0","1,118,069.0","1,120,159.0","1,128,095.0","1,131,279.0","1,140,311.0","1,145,824.0","1,149,094.0","1,154,356.0","1,158,517.0"
"26","7","  Nonprofit institutions serving households \3\","B702RX1","252,516.0","254,616.0","255,887.0","255,924.0","255,510.0","255,138.0","257,539.0","260,137.0","264,531.0","266,812.0","267,683.0","267,259.0","271,631.0","274,830.0","278,302.0","280,034.0","282,096.0","284,695.0","287,258.0","290,381.0","292,250.0","294,912.0","297,283.0","299,588.0","304,877.0","308,307.0","311,349.0","312,798.0","312,028.0","312,531.0","313,726.0","315,356.0","318,282.0","319,346.0","320,555.0","321,709.0","322,714.0","325,702.0","327,480.0","330,345.0","334,415.0","338,726.0","341,945.0","343,071.0","346,737.0","348,196.0","352,939.0","354,897.0","357,390.0","359,614.0","362,856.0","369,020.0","374,831.0","380,631.0","386,435.0","390,332.0","393,913.0","398,281.0","402,559.0","406,034.0","409,349.0","412,077.0","412,212.0","414,059.0","411,863.0","413,316.0","415,958.0","421,549.0","428,042.0","434,491.0","437,998.0","442,852.0","447,602.0","455,089.0","465,447.0","471,996.0","480,917.0","488,617.0","496,813.0","504,306.0","510,256.0","516,587.0","521,579.0","528,571.0","536,071.0","542,356.0","548,970.0","553,057.0","556,112.0","558,856.0","560,733.0","564,874.0","567,833.0","571,597.0","578,980.0","587,541.0","597,954.0","607,655.0","613,403.0","614,393.0","612,178.0","613,981.0","616,749.0","619,205.0","624,242.0","628,421.0","631,690.0","635,080.0","636,276.0","640,623.0","643,589.0","647,856.0","653,334.0","659,869.0","667,413.0","675,718.0","686,212.0","691,929.0","696,673.0","698,582.0","696,915.0","698,965.0","701,393.0","708,195.0","714,249.0","720,257.0","725,307.0","732,076.0","726,802.0","727,072.0","727,965.0","732,004.0","739,253.0","747,592.0","752,575.0","754,744.0","756,171.0","755,353.0","755,688.0","759,383.0","759,231.0","760,677.0","761,133.0","761,476.0","761,897.0","762,551.0","764,663.0","762,540.0","762,378.0","762,714.0","762,081.0","762,378.0","766,137.0","770,510.0","773,779.0","779,212.0","786,240.0","793,120.0","798,211.0","798,793.0","798,943.0","801,242.0","805,360.0","808,568.0","811,905.0","813,717.0","815,395.0","819,003.0","817,833.0","821,423.0","827,410.0","830,202.0","834,572.0","836,198.0","838,197.0","842,713.0","846,576.0","849,909.0","848,866.0","851,002.0","850,745.0","855,350.0","857,897.0"
"27","8","General government \4\","A765RX1","1,129,002.0","1,138,403.0","1,147,767.0","1,152,386.0","1,146,130.0","1,146,753.0","1,148,254.0","1,149,209.0","1,150,836.0","1,148,932.0","1,149,928.0","1,151,289.0","1,145,422.0","1,145,365.0","1,150,629.0","1,157,472.0","1,154,267.0","1,153,758.0","1,154,824.0","1,161,297.0","1,172,836.0","1,177,158.0","1,181,295.0","1,187,284.0","1,194,996.0","1,197,061.0","1,199,697.0","1,201,105.0","1,204,179.0","1,206,144.0","1,210,939.0","1,215,909.0","1,217,215.0","1,218,968.0","1,225,288.0","1,229,473.0","1,237,212.0","1,241,166.0","1,250,717.0","1,258,728.0","1,260,771.0","1,258,857.0","1,259,354.0","1,269,074.0","1,276,162.0","1,283,929.0","1,284,701.0","1,282,116.0","1,283,930.0","1,286,938.0","1,295,203.0","1,299,821.0","1,303,395.0","1,307,692.0","1,308,305.0","1,310,908.0","1,316,044.0","1,318,771.0","1,321,940.0","1,321,473.0","1,326,118.0","1,334,668.0","1,345,475.0","1,352,768.0","1,363,281.0","1,374,168.0","1,390,444.0","1,397,822.0","1,405,679.0","1,414,249.0","1,423,089.0","1,436,077.0","1,442,423.0","1,449,979.0","1,456,730.0","1,472,526.0","1,485,885.0","1,491,091.0","1,499,488.0","1,511,061.0","1,519,434.0","1,528,601.0","1,540,163.0","1,548,662.0","1,563,103.0","1,569,817.0","1,578,295.0","1,581,276.0","1,591,026.0","1,590,357.0","1,588,189.0","1,588,664.0","1,594,166.0","1,595,939.0","1,599,282.0","1,597,380.0","1,601,292.0","1,601,073.0","1,601,898.0","1,598,973.0","1,601,399.0","1,603,482.0","1,604,880.0","1,600,809.0","1,606,198.0","1,608,232.0","1,608,345.0","1,598,418.0","1,597,357.0","1,612,989.0","1,612,494.0","1,612,513.0","1,615,870.0","1,618,803.0","1,623,738.0","1,625,525.0","1,631,445.0","1,637,160.0","1,642,483.0","1,644,950.0","1,648,350.0","1,649,371.0","1,655,047.0","1,662,389.0","1,671,349.0","1,684,834.0","1,682,188.0","1,685,164.0","1,696,374.0","1,707,521.0","1,717,332.0","1,723,460.0","1,732,488.0","1,741,301.0","1,748,561.0","1,751,562.0","1,760,581.0","1,765,635.0","1,766,641.0","1,767,882.0","1,771,869.0","1,774,980.0","1,778,784.0","1,785,671.0","1,790,122.0","1,791,604.0","1,796,216.0","1,798,496.0","1,798,804.0","1,802,898.0","1,813,624.0","1,820,867.0","1,823,809.0","1,829,297.0","1,837,372.0","1,848,154.0","1,857,951.0","1,865,711.0","1,879,711.0","1,888,350.0","1,896,261.0","1,909,137.0","1,910,396.0","1,914,681.0","1,917,192.0","1,925,819.0","1,918,359.0","1,916,530.0","1,915,697.0","1,913,039.0","1,909,100.0","1,908,753.0","1,905,183.0","1,903,874.0","1,905,252.0","1,904,219.0","1,904,770.0","1,905,475.0","1,901,540.0","1,895,681.0","1,907,930.0","1,910,141.0","1,910,976.0"
"28","9","  Federal","A766RX1","493,238.0","496,411.0","499,388.0","497,640.0","487,426.0","482,764.0","478,661.0","474,397.0","471,118.0","465,583.0","461,108.0","456,568.0","450,392.0","444,827.0","444,651.0","445,565.0","439,482.0","434,816.0","430,924.0","431,216.0","435,265.0","434,856.0","434,183.0","434,800.0","434,362.0","433,505.0","433,420.0","433,676.0","434,749.0","435,176.0","435,668.0","436,406.0","436,273.0","437,116.0","438,869.0","439,309.0","442,079.0","444,299.0","445,846.0","445,331.0","445,244.0","445,608.0","446,627.0","446,634.0","449,480.0","455,168.0","456,377.0","455,223.0","458,918.0","461,120.0","463,895.0","465,642.0","467,341.0","470,078.0","473,192.0","476,092.0","480,047.0","483,089.0","486,498.0","487,749.0","491,595.0","495,883.0","500,076.0","503,060.0","507,801.0","512,874.0","517,976.0","519,956.0","523,616.0","526,107.0","529,430.0","532,685.0","538,121.0","541,914.0","548,006.0","552,778.0","554,284.0","553,749.0","556,443.0","560,360.0","561,491.0","563,636.0","566,780.0","568,964.0","573,555.0","574,859.0","576,993.0","576,890.0","584,058.0","580,873.0","577,138.0","574,682.0","573,488.0","571,218.0","568,987.0","566,267.0","566,312.0","563,055.0","559,601.0","553,836.0","552,159.0","547,506.0","543,883.0","537,575.0","534,470.0","532,738.0","529,721.0","515,246.0","515,538.0","519,208.0","516,624.0","511,553.0","510,180.0","508,435.0","507,007.0","502,342.0","502,278.0","501,662.0","501,712.0","501,305.0","501,213.0","497,840.0","496,661.0","496,479.0","499,059.0","507,088.0","499,601.0","497,678.0","501,478.0","503,418.0","504,194.0","502,955.0","507,278.0","510,294.0","513,441.0","515,487.0","521,361.0","525,427.0","526,623.0","527,651.0","530,545.0","531,228.0","534,079.0","537,882.0","539,606.0","539,653.0","540,504.0","543,384.0","541,534.0","542,894.0","547,717.0","549,031.0","549,368.0","549,984.0","555,165.0","557,994.0","563,358.0","569,255.0","577,728.0","586,304.0","592,588.0","603,628.0","607,521.0","610,780.0","617,488.0","627,415.0","625,415.0","626,714.0","629,509.0","630,636.0","630,845.0","632,534.0","632,558.0","631,353.0","630,217.0","628,810.0","626,373.0","623,539.0","616,302.0","608,156.0","619,328.0","618,587.0","618,106.0"
"29","10","  State and local","A767RX1","603,593.0","609,832.0","616,280.0","623,682.0","630,239.0","637,174.0","644,339.0","651,118.0","657,392.0","662,787.0","670,000.0","677,746.0","679,627.0","687,339.0","693,572.0","700,104.0","704,953.0","710,890.0","717,542.0","724,550.0","732,077.0","737,565.0","743,181.0","749,128.0","758,504.0","762,017.0","765,106.0","766,351.0","768,370.0","770,015.0","774,760.0","779,378.0","781,037.0","781,865.0","786,610.0","790,731.0","795,712.0","797,171.0","805,816.0","815,527.0","817,931.0","815,286.0","814,487.0","825,325.0","829,463.0","830,608.0","829,889.0","828,533.0","825,637.0","826,092.0","831,644.0","834,489.0","836,218.0","837,377.0","833,933.0","833,005.0","833,526.0","832,609.0","831,732.0","829,626.0","829,823.0","833,747.0","840,277.0","844,491.0","850,015.0","855,536.0","866,877.0","872,430.0","876,440.0","882,636.0","888,098.0","898,067.0","898,368.0","901,918.0","901,991.0","913,111.0","925,453.0","931,580.0","937,319.0","944,986.0","952,475.0","959,636.0","968,156.0","974,550.0","984,427.0","989,935.0","996,343.0","999,524.0","1,001,748.0","1,004,542.0","1,006,372.0","1,009,508.0","1,016,420.0","1,020,664.0","1,026,452.0","1,027,397.0","1,031,335.0","1,034,539.0","1,039,008.0","1,042,098.0","1,046,315.0","1,053,321.0","1,058,540.0","1,061,009.0","1,069,770.0","1,073,677.0","1,076,966.0","1,082,180.0","1,080,785.0","1,092,822.0","1,095,044.0","1,100,389.0","1,105,258.0","1,110,089.0","1,116,599.0","1,123,291.0","1,129,351.0","1,135,780.0","1,141,109.0","1,144,018.0","1,147,549.0","1,152,055.0","1,158,982.0","1,166,554.0","1,172,945.0","1,178,328.0","1,183,269.0","1,188,204.0","1,195,608.0","1,204,819.0","1,213,850.0","1,221,212.0","1,225,928.0","1,231,739.0","1,235,857.0","1,236,811.0","1,239,859.0","1,240,734.0","1,240,510.0","1,240,705.0","1,241,742.0","1,244,177.0","1,245,075.0","1,248,120.0","1,250,826.0","1,252,271.0","1,256,048.0","1,255,367.0","1,257,602.0","1,260,329.0","1,266,182.0","1,272,133.0","1,274,758.0","1,279,668.0","1,282,484.0","1,290,444.0","1,294,822.0","1,296,599.0","1,302,054.0","1,302,091.0","1,303,699.0","1,305,492.0","1,302,866.0","1,303,903.0","1,299,708.0","1,298,380.0","1,292,919.0","1,289,787.0","1,286,149.0","1,282,357.0","1,278,206.0","1,276,168.0","1,272,578.0","1,272,480.0","1,274,994.0","1,275,368.0","1,278,330.0","1,281,832.0","1,285,055.0","1,287,322.0","1,288,422.0","1,291,355.0","1,292,659.0"
"30","11","Residual","A961RX1","-135,700.0","-140,700.0","-142,700.0","-149,400.0","-149,600.0","-150,000.0","-149,000.0","-158,200.0","-149,800.0","-149,500.0","-149,300.0","-152,400.0","-151,800.0","-139,300.0","-141,600.0","-134,900.0","-139,100.0","-129,600.0","-154,900.0","-121,500.0","-158,100.0","-156,100.0","-167,300.0","-173,700.0","-174,500.0","-170,600.0","-164,200.0","-160,600.0","-153,500.0","-153,000.0","-154,300.0","-151,900.0","-145,700.0","-133,000.0","-127,600.0","-125,500.0","-141,800.0","-122,100.0","-116,000.0","-127,700.0","-119,900.0","-120,700.0","-114,800.0","-118,700.0","-124,900.0","-144,700.0","-154,100.0","-141,100.0","-117,000.0","-119,400.0","-102,000.0","-119,700.0","-135,900.0","-136,800.0","-144,000.0","-144,000.0","-147,600.0","-151,200.0","-149,500.0","-135,200.0","-113,100.0","-97,100.0","-94,200.0","-94,200.0","-87,300.0","-85,300.0","-76,700.0","-81,500.0","-82,600.0","-88,400.0","-83,600.0","-88,300.0","-88,100.0","-86,500.0","-87,500.0","-86,800.0","-92,400.0","-93,600.0","-98,700.0","-102,200.0","-91,000.0","-91,300.0","-91,800.0","-95,300.0","-93,700.0","-97,100.0","-100,800.0","-107,400.0","-115,700.0","-112,200.0","-111,100.0","-109,600.0","-101,100.0","-95,900.0","-95,000.0","-94,300.0","-102,900.0","-101,800.0","-109,100.0","-95,500.0","-85,900.0","-80,900.0","-81,000.0","-78,800.0","-85,300.0","-86,800.0","-84,900.0","-79,100.0","-71,400.0","-64,700.0","-63,400.0","-58,600.0","-55,000.0","-48,000.0","-43,100.0","-43,300.0","-43,900.0","-42,700.0","-37,900.0","-30,800.0","-28,100.0","-24,800.0","-21,400.0","-16,100.0","-17,500.0","-12,500.0","-13,200.0","-13,600.0","-16,600.0","-17,900.0","-22,100.0","-19,500.0","-20,800.0","-19,900.0","-19,400.0","-19,300.0","-18,400.0","-15,300.0","-12,200.0","-13,500.0","-5,500.0","-11,800.0","-8,500.0","-5,600.0","-5,000.0","-4,200.0","-3,100.0","-2,400.0","-500.0","-900.0","-800.0","100.0","-400.0","-1,100.0","-3,000.0","-1,800.0","1,300.0","-1,800.0","-3,400.0","-500.0","-300.0","200.0","0.0","200.0","-300.0","500.0","500.0","-1,500.0","600.0","-5,200.0","-5,400.0","-2,800.0","-4,800.0","-5,200.0","-10,400.0","-13,300.0","-4,300.0","-2,700.0","-300.0","-1,700.0","-10,300.0","-8,300.0","-7,800.0"
