"","Table 3#22# Federal Government Current Receipts and Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183"
"22","3","  Personal current taxes","A074RU1","20,718.0","27,132.0","23,539.0","20,311.0","20,575.0","25,817.0","22,883.0","19,578.0","18,407.0","23,354.0","23,472.0","20,570.0","21,555.0","29,435.0","27,272.0","24,495.0","23,796.0","26,960.0","30,522.0","28,303.0","25,796.0","33,103.0","35,372.0","32,254.0","27,669.0","27,486.0","34,161.0","31,414.0","28,156.0","37,856.0","39,587.0","35,635.0","32,978.0","46,514.0","42,961.0","39,700.0","36,019.0","53,723.0","51,147.0","48,058.0","45,371.0","64,715.0","58,587.0","55,961.0","51,771.0","69,763.0","65,565.0","62,865.0","59,483.0","84,394.0","74,692.0","71,981.0","66,579.0","85,754.0","76,083.0","66,547.0","68,424.0","74,506.0","74,704.0","68,586.0","67,711.0","77,049.0","80,522.0","76,107.0","78,245.0","87,522.0","88,584.0","81,628.0","77,850.0","92,811.0","93,264.0","86,087.0","82,464.0","120,888.0","99,095.0","90,011.0","88,400.0","117,640.0","100,169.0","96,635.0","93,404.0","145,098.0","111,634.0","101,320.0","94,838.0","148,167.0","117,122.0","110,022.0","92,306.0","138,272.0","121,266.0","109,470.0","96,076.0","137,526.0","126,694.0","114,930.0","116,504.0","130,717.0","135,391.0","122,854.0","127,870.0","143,440.0","141,501.0","129,703.0","132,779.0","166,062.0","149,209.0","137,739.0","140,715.0","201,015.0","168,133.0","153,419.0","156,005.0","232,874.0","185,317.0","169,957.0","173,509.0","268,028.0","203,179.0","180,490.0","187,159.0","282,699.0","217,357.0","205,825.0","192,814.0","343,993.0","242,513.0","216,231.0","213,518.0","361,617.0","200,063.0","216,616.0","170,952.0","242,871.0","218,875.0","195,784.0","167,912.0","226,659.0","190,969.0","188,518.0","161,095.0","217,883.0","214,234.0","205,309.0","177,722.0","292,448.0","237,633.0","224,264.0","197,137.0","357,076.0","255,696.0","239,705.0","221,887.0","394,228.0","283,751.0","264,531.0","220,692.0","365,832.0","271,429.0","243,711.0","168,172.0","252,135.0","236,388.0","200,469.0","174,746.0","247,429.0","240,487.0","231,178.0","208,947.0","329,993.0","276,564.0","261,053.0","201,343.0","351,481.0","297,788.0","298,420.0","223,947.0","427,167.0","325,949.0","309,745.0"
"23","4","  Taxes on production and imports","W007RU1","4,112.0","4,628.0","4,435.0","4,637.0","4,241.0","4,650.0","4,492.0","4,698.0","4,692.0","4,886.0","4,666.0","4,748.0","4,344.0","4,748.0","4,611.0","4,778.0","4,704.0","4,997.0","5,017.0","5,081.0","4,786.0","5,112.0","5,123.0","5,043.0","4,710.0","5,527.0","5,812.0","6,028.0","5,002.0","5,502.0","5,514.0","5,356.0","5,265.0","5,665.0","6,012.0","5,781.0","5,671.0","6,469.0","6,538.0","6,600.0","6,269.0","6,346.0","6,480.0","6,589.0","6,454.0","8,575.0","9,335.0","9,299.0","12,212.0","13,243.0","12,267.0","12,207.0","10,573.0","10,281.0","9,936.0","10,166.0","9,824.0","11,358.0","11,542.0","11,659.0","11,458.0","11,874.0","12,065.0","11,903.0","11,439.0","11,447.0","11,799.0","11,367.0","10,896.0","10,688.0","11,151.0","10,963.0","10,898.0","11,196.0","11,886.0","11,960.0","12,229.0","12,598.0","12,440.0","12,560.0","13,137.0","12,409.0","11,805.0","12,390.0","12,602.0","12,665.0","12,091.0","13,554.0","14,550.0","15,279.0","15,895.0","16,041.0","15,448.0","15,295.0","16,037.0","16,515.0","15,194.0","16,016.0","16,832.0","18,316.0","18,932.0","19,465.0","20,132.0","20,457.0","18,478.0","18,669.0","19,376.0","19,030.0","18,009.0","17,766.0","18,224.0","18,855.0","17,471.0","19,752.0","20,430.0","20,184.0","19,300.0","20,035.0","20,667.0","20,696.0","19,709.0","20,272.0","21,497.0","21,954.0","20,974.0","21,946.0","22,426.0","21,905.0","21,069.0","21,450.0","21,444.0","21,320.0","20,654.0","21,525.0","22,424.0","22,202.0","21,941.0","22,277.0","23,427.0","22,536.0","22,772.0","23,506.0","24,976.0","23,992.0","23,475.0","25,143.0","26,190.0","24,585.0","23,891.0","24,684.0","26,075.0","24,578.0","21,835.0","23,340.0","24,905.0","24,525.0","22,621.0","23,522.0","24,218.0","23,607.0","21,556.0","23,812.0","21,267.0","24,730.0","21,061.0","24,296.0","25,733.0","25,667.0","25,016.0","27,065.0","28,815.0","27,707.0","27,535.0","28,769.0","29,968.0","28,778.0","28,764.0","29,736.0","31,696.0","30,687.0"
"24","5","  Taxes on corporate income","B075RU1","8,779.0","9,559.0","8,660.0","9,066.0","7,148.0","8,067.0","7,727.0","7,674.0","7,747.0","8,908.0","8,242.0","8,559.0","8,157.0","9,411.0","8,986.0","10,053.0","9,880.0","11,432.0","10,746.0","11,202.0","9,724.0","11,841.0","12,535.0","11,015.0","8,343.0","10,562.0","12,214.0","12,440.0","12,325.0","14,521.0","14,108.0","13,623.0","12,595.0","16,841.0","16,733.0","15,446.0","14,524.0","19,107.0","18,424.0","19,345.0","17,140.0","19,557.0","19,038.0","18,693.0","18,307.0","16,192.0","17,304.0","18,516.0","16,482.0","16,509.0","17,165.0","15,545.0","10,564.0","12,800.0","13,267.0","12,416.0","10,807.0","15,183.0","17,141.0","18,214.0","17,676.0","20,748.0","18,614.0","18,200.0","16,961.0","19,292.0","21,225.0","18,787.0","19,023.0","21,352.0","21,461.0","21,990.0","22,040.0","26,594.0","28,422.0","26,132.0","24,598.0","27,796.0","29,386.0","29,346.0","30,207.0","30,104.0","29,077.0","27,826.0","26,638.0","30,257.0","32,582.0","28,643.0","25,921.0","27,799.0","29,186.0","27,031.0","28,864.0","31,720.0","27,972.0","30,212.0","30,083.0","35,454.0","35,478.0","37,454.0","32,689.0","39,377.0","42,677.0","41,980.0","40,988.0","46,273.0","48,535.0","43,524.0","44,087.0","50,141.0","49,989.0","46,405.0","46,192.0","51,333.0","54,997.0","50,473.0","48,559.0","52,623.0","54,212.0","48,848.0","48,983.0","54,634.0","55,465.0","53,885.0","56,221.0","58,321.0","55,116.0","49,782.0","43,201.0","45,644.0","40,469.0","35,356.0","36,479.0","40,736.0","39,798.0","33,445.0","43,346.0","48,600.0","52,422.0","53,437.0","51,558.0","60,904.0","64,873.0","72,947.0","76,083.0","84,006.0","89,943.0","90,926.0","95,352.0","101,576.0","105,988.0","92,095.0","91,651.0","104,283.0","92,778.0","74,126.0","66,461.0","72,198.0","64,355.0","30,636.0","35,858.0","46,754.0","57,493.0","60,287.0","69,201.0","71,957.0","79,659.0","77,838.0","75,799.0","77,192.0","72,916.0","73,469.0","89,747.0","95,009.0","93,132.0","91,614.0","88,757.0","98,513.0","99,713.0","97,944.0"
"25","6","  Taxes from the rest of the world","W008RU1","95.0","98.0","101.0","100.0","96.0","95.0","92.0","91.0","89.0","91.0","91.0","96.0","99.0","102.0","102.0","100.0","97.0","96.0","92.0","93.0","90.0","91.0","92.0","94.0","100.0","108.0","122.0","141.0","164.0","180.0","186.0","184.0","177.0","174.0","181.0","195.0","217.0","235.0","247.0","255.0","257.0","270.0","294.0","327.0","370.0","400.0","414.0","413.0","396.0","384.0","373.0","364.0","334.0","332.0","330.0","376.0","288.0","311.0","305.0","307.0","331.0","332.0","307.0","334.0","354.0","462.0","544.0","579.0","367.0","396.0","437.0","513.0","465.0","500.0","481.0","594.0","531.0","687.0","598.0","558.0","750.0","616.0","684.0","690.0","672.0","722.0","760.0","876.0","666.0","672.0","641.0","623.0","663.0","651.0","648.0","676.0","718.0","645.0","668.0","709.0","750.0","774.0","785.0","833.0","919.0","902.0","1,026.0","1,069.0","1,171.0","1,175.0","1,318.0","1,491.0","1,189.0","1,163.0","1,238.0","1,506.0","1,157.0","1,208.0","1,365.0","1,950.0","1,332.0","1,427.0","1,546.0","1,613.0","1,724.0","1,792.0","1,745.0","2,075.0","1,845.0","1,707.0","1,890.0","2,212.0","1,788.0","1,858.0","1,883.0","2,053.0","1,826.0","2,592.0","1,956.0","2,580.0","2,392.0","2,245.0","2,069.0","3,277.0","2,809.0","2,564.0","3,355.0","3,402.0","2,841.0","2,925.0","3,124.0","5,721.0","3,345.0","3,688.0","3,543.0","4,703.0","4,087.0","4,068.0","4,131.0","6,513.0","3,919.0","3,900.0","3,322.0","3,687.0","3,525.0","3,829.0","3,607.0","4,748.0","3,873.0","3,810.0","4,491.0","4,557.0","4,149.0","4,362.0","4,338.0","5,151.0","4,644.0","4,641.0","4,968.0","4,910.0"
"26","7","Contributions for government social insurance","W780RU1","12,139.0","12,575.0","10,290.0","8,310.0","13,346.0","13,248.0","10,603.0","8,307.0","14,921.0","14,720.0","11,598.0","9,091.0","17,104.0","16,840.0","13,627.0","10,687.0","21,458.0","20,917.0","17,670.0","14,501.0","23,323.0","23,393.0","20,266.0","17,103.0","24,399.0","24,393.0","20,972.0","18,290.0","27,553.0","27,741.0","23,570.0","20,922.0","30,662.0","30,956.0","26,744.0","22,716.0","35,927.0","35,977.0","30,387.0","26,424.0","40,839.0","40,741.0","35,673.0","32,545.0","44,608.0","44,077.0","38,634.0","36,312.0","52,170.0","51,867.0","45,906.0","43,066.0","56,391.0","55,693.0","48,803.0","45,156.0","60,071.0","59,641.0","53,431.0","49,925.0","71,079.0","67,749.0","60,084.0","55,217.0","77,276.0","75,820.0","64,930.0","59,883.0","82,148.0","80,703.0","70,173.0","65,909.0","86,010.0","86,431.0","73,709.0","71,281.0","96,810.0","96,057.0","84,014.0","77,898.0","102,937.0","103,087.0","88,097.0","83,842.0","110,344.0","109,241.0","93,557.0","88,898.0","113,113.0","115,143.0","97,973.0","94,384.0","119,236.0","121,594.0","101,783.0","101,352.0","123,544.0","128,021.0","106,793.0","107,159.0","132,362.0","135,846.0","114,672.0","113,272.0","143,462.0","142,344.0","119,219.0","116,878.0","148,552.0","148,705.0","124,215.0","123,941.0","157,165.0","156,969.0","131,703.0","133,595.0","166,068.0","167,666.0","139,409.0","144,259.0","173,741.0","178,074.0","150,027.0","152,984.0","190,404.0","190,337.0","159,621.0","158,209.0","199,962.0","198,816.0","162,490.0","161,985.0","201,764.0","202,434.0","168,329.0","166,894.0","206,439.0","207,429.0","173,066.0","176,309.0","217,287.0","218,930.0","183,930.0","188,763.0","230,771.0","232,849.0","196,380.0","193,391.0","248,853.0","246,521.0","204,314.0","206,001.0","259,948.0","259,060.0","213,860.0","214,374.0","268,756.0","267,157.0","220,378.0","218,090.0","263,487.0","259,274.0","213,672.0","214,365.0","261,415.0","264,419.0","221,987.0","223,084.0","251,281.0","245,644.0","208,063.0","199,003.0","268,316.0","251,891.0","209,669.0","208,182.0","309,098.0","296,676.0","248,498.0","237,983.0"
"27","8","Income receipts on assets \1\","W009RU1","634.0","693.0","676.0","813.0","736.0","804.0","766.0","901.0","766.0","904.0","872.0","1,072.0","872.0","921.0","907.0","1,060.0","972.0","1,030.0","935.0","1,082.0","1,035.0","1,112.0","1,118.0","1,248.0","1,164.0","1,268.0","1,342.0","1,480.0","1,436.0","1,515.0","1,630.0","1,642.0","1,620.0","1,785.0","1,791.0","1,870.0","1,906.0","2,216.0","2,277.0","2,547.0","2,523.0","2,644.0","2,857.0","3,184.0","3,098.0","3,360.0","3,727.0","4,178.0","4,265.0","4,500.0","4,967.0","5,495.0","5,697.0","5,767.0","5,974.0","5,969.0","5,999.0","6,026.0","6,231.0","6,453.0","6,607.0","7,014.0","7,003.0","7,091.0","7,171.0","7,336.0","7,760.0","7,869.0","8,064.0","7,943.0","8,418.0","7,689.0","7,389.0","7,252.0","7,026.0","6,531.0","8,493.0","7,115.0","7,049.0","7,560.0","7,192.0","7,135.0","7,639.0","6,901.0","6,955.0","6,760.0","6,863.0","9,863.0","8,095.0","7,514.0","7,581.0","6,816.0","6,583.0","6,420.0","6,249.0","6,400.0","6,677.0","6,711.0","6,684.0","6,522.0","6,046.0","5,816.0","6,175.0","5,540.0","5,998.0","5,955.0","6,373.0","5,486.0","6,672.0","6,420.0","7,702.0","5,848.0","6,336.0","6,053.0","7,506.0","5,599.0","5,342.0","4,979.0","6,645.0","4,548.0","4,808.0","4,881.0","6,479.0","4,909.0","6,134.0","6,093.0","7,270.0","6,105.0","7,103.0","6,789.0","7,478.0","5,041.0","4,237.0","5,292.0","8,233.0","3,990.0","5,406.0","5,889.0","6,850.0","5,364.0","5,823.0","6,392.0","7,268.0","5,861.0","6,690.0","6,972.0","8,110.0","5,478.0","6,695.0","7,450.0","8,208.0","6,598.0","8,094.0","8,123.0","9,663.0","7,526.0","8,021.0","8,570.0","11,713.0","5,564.0","10,068.0","12,578.0","14,188.0","11,699.0","12,090.0","13,115.0","16,087.0","13,287.0","14,441.0","14,249.0","15,262.0","12,450.0","13,570.0","13,197.0","13,996.0","12,869.0","18,148.0","74,686.0","24,805.0","47,066.0"
"28","9","Current transfer receipts","W011RU1","241.0","248.0","252.0","257.0","254.0","255.0","226.0","224.0","229.0","229.0","231.0","239.0","258.0","276.0","289.0","297.0","312.0","322.0","203.0","211.0","251.0","271.0","280.0","279.0","274.0","275.0","276.0","281.0","315.0","297.0","296.0","315.0","316.0","351.0","439.0","471.0","507.0","545.0","576.0","600.0","613.0","630.0","643.0","657.0","684.0","708.0","695.0","1,055.0","868.0","745.0","754.0","761.0","988.0","1,064.0","1,131.0","1,198.0","1,197.0","1,277.0","1,326.0","1,420.0","1,524.0","1,572.0","1,586.0","1,592.0","1,762.0","3,201.0","1,813.0","1,820.0","1,827.0","1,884.0","1,677.0","2,223.0","2,405.0","2,693.0","2,534.0","2,574.0","2,246.0","2,307.0","2,466.0","2,588.0","2,715.0","2,813.0","3,136.0","3,123.0","3,030.0","3,126.0","3,359.0","3,794.0","4,137.0","4,234.0","4,369.0","4,447.0","4,370.0","4,316.0","4,411.0","5,322.0","5,128.0","4,538.0","5,147.0","5,341.0","6,302.0","5,576.0","5,578.0","4,135.0","4,757.0","4,059.0","4,417.0","4,303.0","4,692.0","4,239.0","4,779.0","9,017.0","5,607.0","4,822.0","5,273.0","4,362.0","5,697.0","4,992.0","5,853.0","4,924.0","5,592.0","5,247.0","5,819.0","5,612.0","6,186.0","5,895.0","6,619.0","5,383.0","6,150.0","5,487.0","6,304.0","6,981.0","6,259.0","6,520.0","6,182.0","5,467.0","6,330.0","6,598.0","6,312.0","6,267.0","7,235.0","7,319.0","6,927.0","7,546.0","7,637.0","7,967.0","8,060.0","8,303.0","9,010.0","9,636.0","9,196.0","8,985.0","9,959.0","10,097.0","10,115.0","10,809.0","10,893.0","11,183.0","10,667.0","13,757.0","14,928.0","18,891.0","14,464.0","15,674.0","16,206.0","15,419.0","16,560.0","16,202.0","17,116.0","16,709.0","17,031.0","14,155.0","14,330.0","13,320.0","11,006.0","11,280.0","15,024.0","15,780.0","14,083.0","14,636.0"
"29","10","Current surplus of government enterprises \2\","B097RU1","-311.0","-330.0","-426.0","-196.0","-471.0","-684.0","-759.0","-549.0","-771.0","-640.0","-902.0","-468.0","-608.0","-572.0","-636.0","-561.0","-738.0","-722.0","-909.0","-1,016.0","-889.0","-764.0","-745.0","-852.0","-1,021.0","-1,150.0","-1,127.0","-1,121.0","-765.0","-770.0","-733.0","-638.0","-779.0","-887.0","-958.0","-805.0","-1,007.0","-890.0","-693.0","-305.0","-546.0","-683.0","-818.0","-620.0","-800.0","-954.0","-1,068.0","-819.0","-963.0","-750.0","-736.0","-164.0","-322.0","-564.0","-956.0","-298.0","-506.0","-470.0","-651.0","-317.0","-619.0","-650.0","-887.0","-530.0","-667.0","-481.0","-542.0","67.0","-146.0","-96.0","-412.0","67.0","-181.0","-332.0","75.0","-61.0","86.0","350.0","-21.0","242.0","214.0","314.0","1,002.0","-463.0","-771.0","-490.0","-414.0","-657.0","574.0","880.0","119.0","554.0","908.0","1,007.0","455.0","1,750.0","215.0","198.0","2,989.0","54.0","76.0","131.0","3,146.0","687.0","552.0","518.0","3,712.0","267.0","138.0","181.0","3,634.0","507.0","709.0","747.0","4,199.0","919.0","985.0","1,026.0","4,422.0","1,118.0","1,005.0","1,042.0","4,428.0","727.0","746.0","706.0","4,304.0","-438.0","-475.0","-522.0","3,299.0","496.0","453.0","465.0","4,358.0","1,577.0","1,560.0","1,751.0","1,892.0","1,477.0","1,513.0","1,378.0","1,861.0","133.0","131.0","30.0","469.0","313.0","295.0","273.0","534.0","692.0","574.0","611.0","619.0","241.0","246.0","231.0","246.0","119.0","931.0","64.0","-21.0","-224.0","-423.0","-403.0","-553.0","-1,706.0","-1,797.0","-1,683.0","-1,895.0","-1,773.0","-2,019.0","-2,045.0","-2,068.0","-3,007.0","-2,875.0","-2,942.0","-2,917.0","-6,555.0"
"30","11","    Current expenditures","W013RU1","45,919.0","49,415.0","51,517.0","50,092.0","50,684.0","55,705.0","57,428.0","56,075.0","57,221.0","61,685.0","61,265.0","61,361.0","64,211.0","67,358.0","66,649.0","69,677.0","70,255.0","72,376.0","72,634.0","71,670.0","75,641.0","79,516.0","80,161.0","83,828.0","89,313.0","95,090.0","93,129.0","96,276.0","99,306.0","98,984.0","100,471.0","103,318.0","105,555.0","107,090.0","109,382.0","113,390.0","117,197.0","119,632.0","121,131.0","125,438.0","128,034.0","130,499.0","133,831.0","138,931.0","147,333.0","151,217.0","157,012.0","163,727.0","172,146.0","172,944.0","177,364.0","183,810.0","189,261.0","191,027.0","195,580.0","206,788.0","208,687.0","211,924.0","211,891.0","216,719.0","221,966.0","222,458.0","223,913.0","234,664.0","239,539.0","241,132.0","241,747.0","248,450.0","250,699.0","259,827.0","258,991.0","260,464.0","263,056.0","263,702.0","261,903.0","273,468.0","277,578.0","277,367.0","272,338.0","291,491.0","296,829.0","298,847.0","293,894.0","307,908.0","318,687.0","321,664.0","317,456.0","328,782.0","321,107.0","337,362.0","336,558.0","356,731.0","367,354.0","367,926.0","366,148.0","383,310.0","382,290.0","383,634.0","383,018.0","391,622.0","395,377.0","388,959.0","393,831.0","402,242.0","414,965.0","417,461.0","411,112.0","410,181.0","432,778.0","425,049.0","421,320.0","430,514.0","442,255.0","436,708.0","428,968.0","444,879.0","450,268.0","441,701.0","436,439.0","452,633.0","461,505.0","453,874.0","451,280.0","467,437.0","482,339.0","476,135.0","465,649.0","482,518.0","511,185.0","499,678.0","493,714.0","507,774.0","537,619.0","530,428.0","525,492.0","542,726.0","569,187.0","574,485.0","563,096.0","586,045.0","618,084.0","597,913.0","594,881.0","610,540.0","663,572.0","642,595.0","641,996.0","654,671.0","710,420.0","687,312.0","679,955.0","681,068.0","750,444.0","727,528.0","718,036.0","730,431.0","794,355.0","796,385.0","775,803.0","771,118.0","850,165.0","881,261.0","869,073.0","876,131.0","970,018.0","916,015.0","912,060.0","922,366.0","995,492.0","950,120.0","910,856.0","907,197.0","987,832.0","935,889.0","918,598.0","920,892.0","982,163.0","938,788.0","928,752.0","912,398.0"
"31","12","Consumption expenditures","A957RU1","23,543.0","25,813.0","25,662.0","25,405.0","24,741.0","26,131.0","25,264.0","26,156.0","25,676.0","27,489.0","26,217.0","27,229.0","28,110.0","28,721.0","27,602.0","27,739.0","28,186.0","28,776.0","28,186.0","28,765.0","29,499.0","29,991.0","30,760.0","32,216.0","32,338.0","33,227.0","33,312.0","34,048.0","33,988.0","34,821.0","34,433.0","35,762.0","35,821.0","37,343.0","37,733.0","38,700.0","38,855.0","40,502.0","40,891.0","41,717.0","42,319.0","43,933.0","43,895.0","45,842.0","47,520.0","50,660.0","50,671.0","53,260.0","54,951.0","57,475.0","58,249.0","60,625.0","61,629.0","62,185.0","64,814.0","67,030.0","67,949.0","69,435.0","72,092.0","68,377.0","70,136.0","73,382.0","73,662.0","74,850.0","76,101.0","77,413.0","80,906.0","82,331.0","81,114.0","84,052.0","85,714.0","85,613.0","84,789.0","87,006.0","86,088.0","89,889.0","88,053.0","90,302.0","88,421.0","94,060.0","91,052.0","96,989.0","94,753.0","97,369.0","98,887.0","100,544.0","98,436.0","103,948.0","104,975.0","107,595.0","104,903.0","106,468.0","104,556.0","106,757.0","109,280.0","109,618.0","105,269.0","106,533.0","108,689.0","107,209.0","106,637.0","104,632.0","109,853.0","106,209.0","107,303.0","107,309.0","108,811.0","104,236.0","105,385.0","105,815.0","108,291.0","108,927.0","107,319.0","110,531.0","108,738.0","112,108.0","104,650.0","108,763.0","108,776.0","114,244.0","108,258.0","112,832.0","115,131.0","119,349.0","113,923.0","121,610.0","119,549.0","119,975.0","121,483.0","126,531.0","125,707.0","131,670.0","131,690.0","139,149.0","143,399.0","146,089.0","148,258.0","157,766.0","162,007.0","160,423.0","166,108.0","166,645.0","176,095.0","172,525.0","177,379.0","177,196.0","188,051.0","180,815.0","191,403.0","189,508.0","192,212.0","190,817.0","192,580.0","196,256.0","204,663.0","204,851.0","210,615.0","214,502.0","227,496.0","227,209.0","221,352.0","234,735.0","238,053.0","239,562.0","239,718.0","251,651.0","257,395.0","255,141.0","244,235.0","254,980.0","256,589.0","250,257.0","248,094.0","249,612.0","260,419.0","245,485.0","239,831.0","241,641.0","246,304.0","235,271.0"
"32","13","Current transfer payments","W014RU1","15,400.0","16,597.0","15,891.0","16,659.0","17,760.0","20,965.0","19,950.0","20,842.0","22,409.0","24,932.0","23,256.0","24,448.0","26,337.0","28,492.0","25,345.0","31,336.0","31,008.0","31,881.0","30,558.0","31,135.0","33,774.0","36,850.0","36,559.0","38,322.0","43,108.0","47,939.0","45,674.0","47,359.0","49,795.0","48,579.0","49,900.0","50,969.0","52,745.0","52,455.0","53,536.0","54,933.0","57,914.0","57,821.0","58,046.0","59,843.0","61,726.0","62,002.0","64,894.0","67,024.0","71,925.0","71,579.0","77,248.0","79,451.0","82,889.0","80,526.0","82,690.0","84,359.0","87,483.0","87,877.0","88,772.0","95,622.0","96,831.0","97,228.0","93,100.0","96,376.0","98,909.0","98,236.0","96,684.0","102,635.0","104,449.0","104,058.0","103,754.0","107,081.0","109,572.0","110,517.0","112,315.0","112,291.0","112,567.0","113,167.0","112,327.0","113,974.0","120,723.0","120,364.0","118,095.0","121,691.0","130,479.0","129,457.0","128,213.0","132,454.0","141,869.0","143,429.0","141,353.0","142,458.0","134,560.0","147,433.0","152,017.0","162,373.0","178,865.0","178,333.0","176,410.0","184,332.0","190,556.0","189,840.0","186,871.0","197,840.0","203,127.0","197,163.0","195,078.0","204,687.0","213,161.0","213,566.0","204,683.0","207,822.0","228,813.0","221,151.0","214,022.0","222,366.0","235,898.0","226,681.0","220,215.0","232,346.0","245,193.0","232,389.0","227,027.0","238,508.0","254,443.0","241,706.0","237,157.0","248,256.0","268,513.0","254,311.0","246,510.0","263,216.0","291,068.0","276,948.0","270,805.0","285,857.0","318,791.0","306,299.0","296,919.0","310,778.0","336,748.0","329,488.0","316,357.0","340,190.0","366,192.0","345,411.0","330,210.0","346,140.0","391,566.0","364,896.0","352,908.0","365,056.0","416,450.0","391,228.0","378,108.0","385,589.0","448,434.0","411,984.0","398,294.0","413,709.0","471,242.0","469,310.0","432,780.0","446,954.0","539,762.0","539,954.0","521,788.0","530,867.0","628,276.0","554,257.0","545,406.0","553,745.0","633,988.0","566,525.0","534,744.0","537,156.0","623,370.0","558,361.0","545,894.0","550,651.0","630,140.0","572,111.0","561,359.0","558,363.0"
"33","14","  Government social benefits","W015RU1","11,508.0","11,628.0","11,456.0","11,749.0","12,634.0","14,734.0","14,071.0","14,918.0","15,991.0","17,386.0","16,527.0","16,987.0","18,426.0","18,042.0","17,103.0","20,249.0","21,387.0","21,339.0","20,981.0","21,995.0","24,460.0","25,664.0","26,395.0","28,083.0","31,757.0","34,048.0","33,816.0","34,698.0","37,153.0","35,576.0","35,868.0","37,035.0","39,238.0","37,787.0","38,198.0","39,439.0","41,368.0","40,439.0","41,219.0","42,124.0","45,104.0","44,901.0","47,279.0","48,536.0","52,835.0","52,949.0","58,425.0","58,974.0","62,638.0","61,364.0","64,542.0","65,848.0","68,769.0","69,340.0","71,474.0","75,769.0","78,232.0","78,146.0","74,857.0","75,429.0","78,574.0","78,159.0","77,181.0","78,995.0","82,592.0","82,387.0","81,865.0","82,562.0","86,433.0","85,994.0","87,449.0","88,196.0","89,963.0","90,500.0","90,717.0","89,758.0","96,093.0","96,408.0","94,547.0","94,894.0","104,416.0","104,295.0","102,375.0","104,129.0","112,871.0","113,047.0","112,478.0","112,827.0","123,572.0","124,373.0","122,785.0","127,256.0","140,278.0","138,540.0","137,739.0","139,151.0","149,206.0","146,876.0","144,622.0","146,998.0","158,756.0","151,517.0","150,802.0","152,184.0","164,781.0","165,624.0","159,190.0","159,781.0","178,411.0","170,523.0","166,624.0","168,959.0","185,854.0","176,965.0","172,217.0","175,006.0","191,666.0","179,289.0","175,129.0","178,267.0","196,437.0","183,913.0","180,060.0","183,381.0","207,931.0","191,950.0","184,851.0","193,081.0","223,274.0","205,931.0","205,697.0","210,804.0","241,615.0","227,583.0","224,351.0","229,221.0","254,442.0","237,455.0","232,340.0","248,888.0","274,631.0","251,783.0","247,135.0","251,997.0","295,283.0","267,611.0","263,395.0","264,621.0","324,134.0","293,598.0","288,057.0","290,884.0","346,823.0","310,969.0","305,976.0","308,443.0","368,123.0","363,787.0","337,315.0","338,200.0","426,182.0","403,245.0","397,103.0","398,369.0","489,337.0","417,521.0","411,471.0","408,320.0","496,694.0","422,176.0","413,951.0","411,567.0","500,919.0","431,161.0","426,688.0","426,325.0","510,158.0","442,990.0","437,546.0","434,948.0"
