"","Table 7#14# Relation of Nonfarm Proprietors' Income in the Natio","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"19","1","Net profit (less loss) of nonfarm proprietorships and partnerships, plus payments to partners, IRS","B1200C1","41,926.0","41,504.0","42,593.0","45,446.0","48,309.0","49,353.0","49,134.0","56,793.0","64,951.0","70,173.0","74,741.0","67,319.0","55,935.0","48,994.0","63,452.0","75,191.0","78,185.0","80,667.0","90,203.0","124,340.0","129,981.0","140,307.0","146,708.0","184,447.0","209,550.0","231,802.0","248,179.0","287,770.0","311,298.0","335,789.0","369,511.0","393,201.0","401,700.0","414,846.0","443,248.0","514,596.0","636,433.0","694,463.0","628,225.0","410,528.0","431,893.0","578,579.0","600,179.0","786,090.0","....."
"20",NA,"Plus:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2","  Adjustments for misreporting on income tax returns","B2636C1","19,065.0","20,449.0","24,147.0","28,911.0","32,478.0","38,481.0","43,181.0","53,246.0","59,558.0","71,826.0","79,523.0","86,091.0","86,566.0","96,201.0","104,774.0","120,302.0","125,186.0","131,580.0","136,646.0","143,434.0","147,812.0","153,688.0","158,458.0","163,420.0","187,108.0","211,178.0","234,780.0","260,074.0","280,405.0","303,208.0","333,779.0","367,138.0","386,182.0","422,969.0","439,646.0","465,255.0","479,382.0","551,878.0","514,562.0","431,517.0","443,884.0","481,833.0","495,115.0","533,929.0","....."
"22","3","  Posttabulation amendments and revisions \1\","B1201C1","2,014.0","1,975.0","3,022.0","2,464.0","2,387.0","1,937.0","2,922.0","2,468.0","1,529.0","545.0","-1,285.0","-507.0","657.0","-4,535.0","-7,566.0","-15,549.0","-19,169.0","-19,021.0","-4,214.0","-4,112.0","-6,044.0","57.0","150.0","-6,668.0","-24,209.0","-42,437.0","-45,828.0","-71,526.0","-84,589.0","-81,578.0","-97,621.0","-111,344.0","-90,250.0","-109,770.0","-150,071.0","-200,984.0","-296,518.0","-353,165.0","-331,149.0","-70,124.0","-129,803.0","-267,354.0","-245,092.0","-340,487.0","....."
"23","4","  Depletion on domestic minerals","B1202C1","418.0","365.0","376.0","406.0","424.0","893.0","792.0","721.0","778.0","758.0","1,197.0","1,339.0","1,515.0","2,229.0","1,588.0","1,258.0","1,485.0","1,414.0","951.0","973.0","1,009.0","1,178.0","1,021.0","947.0","783.0","843.0","781.0","938.0","947.0","699.0","784.0","1,093.0","1,145.0","964.0","1,126.0","1,469.0","1,879.0","1,855.0","1,844.0","2,514.0","1,386.0","2,049.0","2,257.0","2,239.0","....."
"24","5","  Adjustment to depreciate expenditures for mining exploration, shafts, and wells","B1203C1","34.0","18.0","0.0","25.0","35.0","173.0","691.0","657.0","1,450.0","2,242.0","1,685.0","3,989.0","8,699.0","7,700.0","1,241.0","-879.0","-1,894.0","-2,472.0","-2,401.0","-2,068.0","-1,137.0","-1,066.0","-2,641.0","-1,790.0","-1,201.0","805.0","833.0","711.0","2,898.0","4,084.0","1,157.0","858.0","6,532.0","7,822.0","11,192.0","12,138.0","25,453.0","27,866.0","17,132.0","17,441.0","-3,978.0","2,487.0","5,552.0","12,014.0","....."
"25","6","  Bad debt expense","B1205C1","495.0","559.0","545.0","524.0","592.0","694.0","723.0","654.0","770.0","786.0","902.0","952.0","1,054.0","1,099.0","1,199.0","1,140.0","1,389.0","1,861.0","2,018.0","2,294.0","2,758.0","4,508.0","3,839.0","3,910.0","3,706.0","3,595.0","4,560.0","6,076.0","6,928.0","8,262.0","9,513.0","10,798.0","13,412.0","15,226.0","13,523.0","14,000.0","15,251.0","12,289.0","21,223.0","32,217.0","40,337.0","32,576.0","14,758.0","24,971.0","....."
"26","7","  Income received by fiduciaries","B1206C1","379.0","380.0","389.0","398.0","416.0","421.0","421.0","423.0","420.0","424.0","422.0","524.0","476.0","472.0","492.0","568.0","610.0","597.0","704.0","816.0","874.0","931.0","940.0","1,011.0","1,031.0","1,060.0","1,102.0","1,139.0","1,184.0","1,218.0","1,228.0","1,313.0","1,359.0","1,319.0","1,374.0","1,449.0","1,548.0","1,639.0","1,704.0","1,701.0","1,526.0","1,643.0","1,679.0","1,790.0","....."
"27","8","  Income of tax-exempt cooperatives","B1207C1","512.0","527.0","574.0","663.0","721.0","732.0","796.0","853.0","936.0","994.0","1,085.0","1,085.0","1,193.0","1,345.0","1,616.0","1,860.0","1,607.0","1,565.0","2,209.0","2,464.0","2,555.0","2,211.0","2,465.0","2,560.0","2,596.0","3,094.0","3,173.0","2,992.0","3,274.0","2,571.0","2,021.0","1,944.0","1,966.0","1,835.0","1,775.0","2,892.0","3,076.0","3,699.0","4,361.0","5,167.0","5,563.0","5,807.0","6,180.0","6,939.0","....."
"28","9","  Adjustment to depreciate expenditures for intellectual property products \2\","Y370RC1","153.0","170.0","184.0","144.0","154.0","139.0","222.0","404.0","265.0","592.0","833.0","910.0","1,110.0","864.0","1,000.0","1,388.0","1,701.0","1,736.0","1,959.0","2,265.0","2,414.0","1,931.0","2,078.0","1,904.0","1,960.0","1,765.0","1,966.0","2,286.0","3,648.0","5,220.0","7,346.0","9,043.0","8,424.0","7,799.0","7,083.0","6,462.0","7,069.0","7,280.0","7,607.0","8,583.0","6,019.0","5,278.0","5,097.0","5,465.0","....."
"29","10","  Disaster adjustments (net) \3\","W778RC1",".....",".....","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-47.0","0.0","-112.0","0.0","0.0","-1,189.0","-2,607.0","0.0","0.0","-1,040.0","0.0","0.0","0.0","-1,280.0","....."
"30","11","Equals: Nonfarm proprietors' income, NIPAs","B046RC1","64,995.0","65,947.0","71,830.0","78,981.0","85,516.0","92,823.0","98,882.0","116,219.0","130,657.0","148,340.0","159,103.0","161,702.0","157,204.0","154,370.0","167,796.0","185,279.0","189,100.0","197,927.0","228,075.0","270,406.0","280,222.0","303,745.0","313,018.0","349,741.0","381,324.0","411,705.0","449,546.0","490,460.0","525,992.0","579,474.0","627,671.0","674,045.0","730,358.0","763,011.0","768,897.0","816,087.0","870,966.0","947,803.0","865,508.0","838,503.0","796,825.0","842,899.0","885,726.0","1,031,671.0","1,087,400.0"
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","1. Consists largely of an adjustment to expense all meals and entertainment, of oilwell bonus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","payments written off, of adjustments for corporate partners and statutory employees, of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","interest income, and of margins on owner-built housing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2. Intellectual property consists of software, research and development, and entertainment,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","literary, and artistic originals.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","3. Consists of disaster losses valued at historic-cost less net insurance receipts for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","disaster-related losses valued at replacement-cost.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","IRS Internal Revenue Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","NIPAs National income and product accounts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
