"","Table 2#5#5# Personal Consumption Expenditures by Function","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"21","3","  Food and beverages purchased for off-premises consumption","DFXARC1","16,252.0","14,830.0","11,911.0","9,034.0","9,488.0","11,706.0","13,280.0","15,123.0","16,018.0","15,119.0","15,163.0","15,892.0","18,159.0","21,616.0","24,251.0","25,977.0","28,216.0","34,896.0","40,192.0","41,838.0","40,354.0","41,410.0","46,016.0","48,419.0","49,285.0","50,573.0","52,047.0","54,166.0","57,135.0","59,768.0","61,597.0","62,556.0","63,747.0","64,656.0","65,870.0","69,491.0","74,442.0","80,610.0","82,559.0","88,831.0","95,371.0"
"22","4","    Food and nonalcoholic beverages purchased for off-premises consumption","DTFDRC1","14,539.0","13,278.0","10,646.0","8,041.0","8,280.0","9,120.0","10,007.0","11,257.0","11,997.0","11,508.0","11,522.0","12,125.0","13,768.0","16,262.0","18,004.0","19,095.0","20,769.0","26,579.0","31,499.0","33,937.0","33,117.0","34,205.0","38,566.0","40,697.0","41,676.0","43,224.0","44,684.0","46,709.0","49,743.0","52,305.0","53,952.0","54,929.0","56,069.0","56,661.0","57,664.0","61,034.0","65,684.0","71,300.0","72,970.0","78,247.0","83,626.0"
"23","5","    Alcoholic beverages purchased for off-premises consumption","DAOPRC1",".....",".....",".....",".....","178.0","1,461.0","1,953.0","2,472.0","2,587.0","2,376.0","2,432.0","2,557.0","2,962.0","3,596.0","3,994.0","4,701.0","5,091.0","5,655.0","5,928.0","5,168.0","5,007.0","5,142.0","5,146.0","5,502.0","5,602.0","5,560.0","5,685.0","5,872.0","5,908.0","5,958.0","6,356.0","6,493.0","6,569.0","7,002.0","7,285.0","7,622.0","7,947.0","8,486.0","8,853.0","9,865.0","11,014.0"
"24","6","    Food produced and consumed on farms","DFFDRC1","1,713.0","1,552.0","1,265.0","993.0","1,030.0","1,125.0","1,320.0","1,394.0","1,434.0","1,235.0","1,209.0","1,210.0","1,429.0","1,758.0","2,253.0","2,181.0","2,356.0","2,662.0","2,765.0","2,733.0","2,230.0","2,063.0","2,304.0","2,220.0","2,007.0","1,789.0","1,678.0","1,585.0","1,484.0","1,505.0","1,289.0","1,134.0","1,109.0","993.0","921.0","835.0","811.0","824.0","736.0","719.0","731.0"
"25","7","  Clothing, footwear, and related services","DCAFRC1","10,139.0","8,772.0","7,548.0","5,548.0","5,062.0","6,117.0","6,507.0","7,099.0","7,434.0","7,350.0","7,715.0","8,083.0","9,527.0","11,804.0","14,374.0","15,701.0","17,600.0","19,660.0","20,409.0","21,824.0","21,099.0","21,442.0","23,125.0","23,940.0","24,201.0","24,319.0","25,356.0","26,492.0","26,751.0","27,063.0","28,608.0","29,262.0","29,915.0","31,272.0","32,086.0","34,724.0","36,483.0","39,802.0","41,676.0","45,583.0","48,810.0"
"26","8","    Clothing","DCLTRC1","8,389.0","7,328.0","6,283.0","4,481.0","4,136.0","5,002.0","5,430.0","5,903.0","6,099.0","6,038.0","6,433.0","6,758.0","8,011.0","9,930.0","12,403.0","13,635.0","15,219.0","16,733.0","17,293.0","18,558.0","17,806.0","17,924.0","19,596.0","20,460.0","20,691.0","20,785.0","21,513.0","22,477.0","22,686.0","22,735.0","24,017.0","24,501.0","25,080.0","26,237.0","27,031.0","29,285.0","30,830.0","33,552.0","35,064.0","38,238.0","40,729.0"
"27","9","      Garments","DGARRC1","7,084.0","6,141.0","5,279.0","3,719.0","3,459.0","4,254.0","4,617.0","5,007.0","5,132.0","5,079.0","5,451.0","5,691.0","6,591.0","7,870.0","9,632.0","10,689.0","12,027.0","13,833.0","14,308.0","15,449.0","14,717.0","14,759.0","16,116.0","16,993.0","17,190.0","17,320.0","17,997.0","18,815.0","18,945.0","19,010.0","20,177.0","20,611.0","21,169.0","22,206.0","22,919.0","25,040.0","26,358.0","28,789.0","30,193.0","33,119.0","35,477.0"
"28","10","        Women's and girls' clothing","DWGCRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","12,454.0","12,725.0","13,087.0","13,817.0","14,303.0","15,617.0","16,299.0","17,697.0","18,299.0","20,069.0","21,299.0"
"29","11","        Men's and boys' clothing","DMBCRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","7,435.0","7,582.0","7,764.0","8,055.0","8,239.0","9,044.0","9,604.0","10,597.0","11,351.0","12,437.0","13,390.0"
"30","12","        Children's and infants' clothing","DCICRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","288.0","304.0","318.0","334.0","377.0","379.0","455.0","495.0","543.0","613.0","788.0"
"31","13","      Other clothing materials","DOCMRC1","270.0","238.0","205.0","146.0","137.0","163.0","180.0","192.0","196.0","199.0","216.0","241.0","460.0","952.0","1,410.0","1,468.0","1,566.0","896.0","774.0","788.0","772.0","824.0","1,013.0","896.0","816.0","738.0","738.0","777.0","785.0","795.0","832.0","816.0","837.0","891.0","889.0","839.0","898.0","1,024.0","998.0","1,068.0","1,053.0"
"32","14","      Cleaning, repair, and rental of clothing","DCRCRC1","1,035.0","949.0","799.0","616.0","540.0","585.0","633.0","704.0","771.0","760.0","766.0","826.0","960.0","1,108.0","1,361.0","1,478.0","1,626.0","2,004.0","2,211.0","2,321.0","2,317.0","2,341.0","2,467.0","2,571.0","2,685.0","2,727.0","2,778.0","2,885.0","2,956.0","2,930.0","3,008.0","3,074.0","3,074.0","3,140.0","3,223.0","3,406.0","3,574.0","3,739.0","3,873.0","4,051.0","4,199.0"
"33","15","        Laundry and dry cleaning services","DDRYRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,659.0","1,675.0","1,654.0","1,670.0","1,703.0","1,858.0","2,055.0","2,258.0","2,404.0","2,495.0","2,555.0"
"34","16","        Clothing repair, rental, and alterations","DLGRRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,349.0","1,399.0","1,420.0","1,470.0","1,520.0","1,548.0","1,519.0","1,481.0","1,469.0","1,556.0","1,644.0"
"35","17","    Footwear \2\","DFTWRC1","1,750.0","1,444.0","1,265.0","1,067.0","926.0","1,115.0","1,077.0","1,196.0","1,335.0","1,312.0","1,282.0","1,325.0","1,516.0","1,874.0","1,971.0","2,066.0","2,381.0","2,927.0","3,116.0","3,266.0","3,293.0","3,518.0","3,529.0","3,480.0","3,510.0","3,534.0","3,843.0","4,015.0","4,065.0","4,328.0","4,591.0","4,761.0","4,835.0","5,035.0","5,055.0","5,439.0","5,653.0","6,250.0","6,612.0","7,345.0","8,081.0"
"36","18","  Housing, utilities, and fuels","DHUFRC1","14,469.0","14,026.0","13,088.0","11,626.0","10,498.0","10,357.0","10,517.0","11,002.0","11,576.0","11,913.0","12,273.0","12,840.0","13,740.0","14,823.0","15,511.0","16,213.0","16,881.0","18,772.0","21,198.0","23,949.0","25,617.0","28,430.0","31,571.0","34,594.0","37,872.0","40,851.0","43,775.0","46,774.0","49,979.0","53,325.0","56,858.0","60,525.0","64,015.0","68,195.0","72,178.0","76,235.0","80,999.0","85,850.0","91,120.0","97,405.0","105,490.0"
"37","19","    Housing","DHSGRC1","11,418.0","10,961.0","10,237.0","9,005.0","7,932.0","7,623.0","7,720.0","8,018.0","8,529.0","8,937.0","9,140.0","9,444.0","10,153.0","10,943.0","11,427.0","11,966.0","12,368.0","13,743.0","15,411.0","17,340.0","19,087.0","21,127.0","23,678.0","26,298.0","29,133.0","31,483.0","33,553.0","35,817.0","38,344.0","41,009.0","43,954.0","46,976.0","49,955.0","53,381.0","56,469.0","59,764.0","63,627.0","67,511.0","71,866.0","77,316.0","84,207.0"
"38","20","      Rental of tenant-occupied nonfarm housing \3\","DTENRC1","4,542.0","4,454.0","4,280.0","3,858.0","3,415.0","3,277.0","3,323.0","3,490.0","3,763.0","4,003.0","4,132.0","4,298.0","4,580.0","4,827.0","4,837.0","4,816.0","4,670.0","4,918.0","5,290.0","5,895.0","6,505.0","7,058.0","7,745.0","8,406.0","9,194.0","9,756.0","10,094.0","10,514.0","11,151.0","11,822.0","12,532.0","13,279.0","14,150.0","15,115.0","16,045.0","17,034.0","18,156.0","19,238.0","20,390.0","22,168.0","24,042.0"
"39","21","      Imputed rental of owner-occupied nonfarm housing \4\","DOWNRC1","5,868.0","5,552.0","5,101.0","4,416.0","3,844.0","3,643.0","3,646.0","3,759.0","3,950.0","4,104.0","4,179.0","4,310.0","4,706.0","5,192.0","5,588.0","6,060.0","6,496.0","7,356.0","8,456.0","9,731.0","10,968.0","12,391.0","14,089.0","15,901.0","17,899.0","19,724.0","21,407.0","23,233.0","25,036.0","26,953.0","29,047.0","31,273.0","33,285.0","35,714.0","37,787.0","39,991.0","42,668.0","45,338.0","48,329.0","51,883.0","56,627.0"
"40","22","      Rental value of farm dwellings","DFARRC1","913.0","865.0","775.0","664.0","614.0","640.0","683.0","693.0","733.0","745.0","741.0","744.0","767.0","821.0","879.0","955.0","1,052.0","1,303.0","1,447.0","1,505.0","1,408.0","1,464.0","1,607.0","1,736.0","1,765.0","1,711.0","1,741.0","1,734.0","1,787.0","1,861.0","2,031.0","2,098.0","2,202.0","2,258.0","2,360.0","2,443.0","2,481.0","2,599.0","2,747.0","2,838.0","3,046.0"
"41","23","      Group housing","DGRHRC1","95.0","90.0","81.0","67.0","59.0","63.0","68.0","76.0","83.0","85.0","88.0","92.0","100.0","103.0","123.0","135.0","150.0","166.0","218.0","209.0","206.0","214.0","237.0","255.0","275.0","292.0","311.0","336.0","370.0","373.0","344.0","326.0","318.0","294.0","277.0","296.0","322.0","336.0","400.0","427.0","492.0"
"42","24","    Household utilities and fuels","DUTFRC1","3,051.0","3,065.0","2,851.0","2,621.0","2,566.0","2,734.0","2,797.0","2,984.0","3,047.0","2,976.0","3,133.0","3,396.0","3,587.0","3,880.0","4,084.0","4,247.0","4,513.0","5,029.0","5,787.0","6,609.0","6,530.0","7,303.0","7,893.0","8,296.0","8,739.0","9,368.0","10,222.0","10,957.0","11,635.0","12,316.0","12,904.0","13,549.0","14,060.0","14,814.0","15,709.0","16,471.0","17,372.0","18,339.0","19,254.0","20,089.0","21,283.0"
"43","25","      Water supply and sanitation","DWRSRC1","285.0","303.0","303.0","284.0","274.0","306.0","316.0","331.0","336.0","332.0","348.0","364.0","373.0","389.0","396.0","412.0","425.0","463.0","499.0","532.0","558.0","606.0","651.0","723.0","783.0","838.0","921.0","983.0","1,051.0","1,072.0","1,214.0","1,375.0","1,478.0","1,615.0","1,821.0","1,929.0","2,062.0","2,161.0","2,225.0","2,416.0","2,758.0"
"44","26","      Electricity, gas, and other fuels","DEGFRC1","2,766.0","2,762.0","2,548.0","2,337.0","2,292.0","2,428.0","2,481.0","2,653.0","2,711.0","2,644.0","2,785.0","3,032.0","3,214.0","3,491.0","3,688.0","3,835.0","4,088.0","4,566.0","5,288.0","6,077.0","5,972.0","6,697.0","7,242.0","7,573.0","7,956.0","8,530.0","9,301.0","9,974.0","10,584.0","11,244.0","11,690.0","12,174.0","12,582.0","13,199.0","13,888.0","14,542.0","15,310.0","16,178.0","17,029.0","17,673.0","18,525.0"
"45","27","        Electricity","DELCRC1","616.0","660.0","674.0","662.0","645.0","671.0","697.0","726.0","766.0","810.0","849.0","910.0","965.0","1,017.0","1,045.0","1,125.0","1,194.0","1,328.0","1,473.0","1,668.0","1,879.0","2,138.0","2,395.0","2,652.0","2,932.0","3,213.0","3,496.0","3,802.0","4,097.0","4,381.0","4,714.0","5,061.0","5,327.0","5,678.0","5,950.0","6,294.0","6,607.0","7,043.0","7,527.0","8,093.0","8,772.0"
"46","28","        Natural gas","DGHERC1","557.0","575.0","568.0","548.0","506.0","506.0","515.0","529.0","541.0","535.0","551.0","588.0","591.0","641.0","667.0","686.0","726.0","778.0","893.0","996.0","1,067.0","1,217.0","1,378.0","1,502.0","1,622.0","1,833.0","2,063.0","2,296.0","2,442.0","2,725.0","2,967.0","3,308.0","3,541.0","3,802.0","3,968.0","4,161.0","4,322.0","4,511.0","4,726.0","4,923.0","5,245.0"
"47","29","        Fuel oil and other fuels","DFULRC1","1,593.0","1,527.0","1,306.0","1,127.0","1,141.0","1,251.0","1,269.0","1,398.0","1,404.0","1,299.0","1,385.0","1,534.0","1,658.0","1,833.0","1,976.0","2,024.0","2,168.0","2,460.0","2,922.0","3,413.0","3,026.0","3,342.0","3,469.0","3,419.0","3,402.0","3,484.0","3,742.0","3,876.0","4,045.0","4,138.0","4,009.0","3,805.0","3,714.0","3,719.0","3,970.0","4,087.0","4,381.0","4,624.0","4,776.0","4,657.0","4,508.0"
"48","30","  Furnishings, household equipment, and routine household maintenance","DFHHRC1","6,670.0","5,536.0","4,681.0","3,423.0","3,220.0","3,747.0","4,145.0","4,959.0","5,520.0","4,947.0","5,481.0","6,000.0","7,092.0","7,436.0","7,414.0","7,962.0","8,939.0","12,659.0","15,468.0","16,789.0","16,278.0","18,657.0","19,717.0","19,331.0","20,024.0","19,919.0","22,271.0","23,587.0","23,930.0","24,058.0","25,640.0","26,179.0","26,792.0","28,317.0","29,828.0","32,702.0","34,706.0","37,837.0","39,692.0","43,191.0","45,381.0"
"49","31","    Furniture, furnishings, and floor coverings \5\","DFURRC1","2,106.0","1,667.0","1,441.0","981.0","863.0","996.0","1,188.0","1,543.0","1,651.0","1,486.0","1,702.0","1,872.0","2,296.0","2,338.0","2,409.0","2,509.0","2,809.0","3,955.0","4,455.0","4,947.0","4,804.0","5,526.0","5,919.0","5,995.0","6,263.0","6,278.0","7,192.0","7,636.0","7,658.0","7,667.0","8,224.0","8,229.0","8,297.0","8,887.0","9,675.0","10,938.0","11,630.0","12,543.0","13,036.0","14,292.0","15,000.0"
"50","32","    Household textiles","DTEXRC1","747.0","604.0","518.0","390.0","397.0","457.0","483.0","601.0","653.0","587.0","696.0","764.0","928.0","1,122.0","1,323.0","1,468.0","1,542.0","2,027.0","2,107.0","2,336.0","2,337.0","2,661.0","2,870.0","2,661.0","2,592.0","2,424.0","2,592.0","2,687.0","2,706.0","2,630.0","2,781.0","2,830.0","2,950.0","3,171.0","3,262.0","3,599.0","3,871.0","4,257.0","4,479.0","4,782.0","4,739.0"
"51","33","    Household appliances \6\","DHAPRC1","727.0","638.0","540.0","335.0","392.0","494.0","583.0","693.0","798.0","677.0","735.0","834.0","1,090.0","778.0","316.0","217.0","397.0","1,704.0","2,947.0","3,221.0","2,921.0","3,675.0","3,632.0","3,598.0","3,771.0","3,830.0","4,226.0","4,489.0","4,482.0","4,319.0","4,650.0","4,557.0","4,566.0","4,608.0","4,799.0","5,176.0","5,233.0","5,733.0","5,992.0","6,669.0","7,252.0"
"52","34","    Glassware, tableware, and household utensils \7\","DUTERC1","640.0","452.0","437.0","412.0","369.0","410.0","413.0","464.0","524.0","481.0","485.0","521.0","635.0","672.0","627.0","659.0","818.0","1,279.0","1,363.0","1,468.0","1,419.0","1,531.0","1,631.0","1,592.0","1,647.0","1,657.0","1,765.0","1,825.0","1,763.0","1,734.0","1,780.0","1,780.0","1,800.0","1,906.0","1,951.0","2,182.0","2,434.0","2,808.0","3,022.0","3,337.0","3,505.0"
"53","35","    Tools and equipment for house and garden","DTOORC1","160.0","137.0","102.0","74.0","70.0","84.0","89.0","110.0","128.0","117.0","130.0","146.0","182.0","207.0","220.0","248.0","285.0","408.0","472.0","535.0","535.0","612.0","686.0","602.0","557.0","489.0","531.0","567.0","589.0","598.0","654.0","691.0","725.0","804.0","855.0","942.0","1,064.0","1,226.0","1,311.0","1,442.0","1,530.0"
"54","36","    Other household goods and services \8\","DOGSRC1","2,290.0","2,038.0","1,643.0","1,231.0","1,129.0","1,306.0","1,389.0","1,548.0","1,766.0","1,599.0","1,733.0","1,863.0","1,961.0","2,319.0","2,519.0","2,861.0","3,088.0","3,286.0","4,124.0","4,282.0","4,262.0","4,652.0","4,979.0","4,883.0","5,194.0","5,241.0","5,965.0","6,383.0","6,732.0","7,110.0","7,551.0","8,092.0","8,454.0","8,941.0","9,286.0","9,865.0","10,474.0","11,270.0","11,852.0","12,669.0","13,355.0"
"55","37","  Health","DHLTRC1","2,956.0","2,878.0","2,620.0","2,195.0","2,027.0","2,196.0","2,314.0","2,506.0","2,675.0","2,684.0","2,820.0","2,979.0","3,232.0","3,640.0","4,043.0","4,531.0","4,821.0","5,919.0","6,648.0","7,582.0","7,900.0","8,502.0","9,292.0","10,144.0","11,000.0","11,948.0","12,753.0","14,078.0","15,488.0","17,125.0","18,836.0","20,362.0","21,826.0","24,319.0","26,406.0","29,802.0","31,978.0","34,966.0","38,408.0","43,786.0","50,019.0"
"56","38","    Medical products, appliances, and equipment","DMPARC1","705.0","673.0","608.0","519.0","497.0","567.0","581.0","623.0","694.0","705.0","751.0","787.0","913.0","1,060.0","1,264.0","1,346.0","1,425.0","1,599.0","1,643.0","1,820.0","1,927.0","2,113.0","2,418.0","2,539.0","2,641.0","2,661.0","2,849.0","3,197.0","3,522.0","3,720.0","4,005.0","4,332.0","4,706.0","5,184.0","5,428.0","5,652.0","5,940.0","6,288.0","6,479.0","7,210.0","7,960.0"
"57","39","      Pharmaceutical and other medical products \9\","DPHMRC1","540.0","508.0","462.0","401.0","382.0","418.0","424.0","455.0","499.0","517.0","547.0","567.0","648.0","758.0","906.0","958.0","1,017.0","1,136.0","1,173.0","1,310.0","1,390.0","1,536.0","1,769.0","1,851.0","1,924.0","1,950.0","2,131.0","2,401.0","2,690.0","2,886.0","3,167.0","3,472.0","3,819.0","4,127.0","4,381.0","4,495.0","4,677.0","4,879.0","5,210.0","5,744.0","6,294.0"
"58","40","        Pharmaceutical products","DPNPRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","3,061.0","3,344.0","3,681.0","3,977.0","4,274.0","4,366.0","4,537.0","4,722.0","5,089.0","5,604.0","6,135.0"
"59","41","        Other medical products","DOMPRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","106.0","128.0","137.0","150.0","107.0","129.0","140.0","157.0","120.0","140.0","159.0"
"60","42","      Therapeutic appliances and equipment","DTAERC1","165.0","165.0","146.0","118.0","115.0","149.0","157.0","168.0","195.0","188.0","204.0","220.0","265.0","302.0","358.0","388.0","408.0","463.0","470.0","510.0","537.0","577.0","649.0","688.0","717.0","711.0","718.0","796.0","832.0","834.0","838.0","860.0","888.0","1,057.0","1,047.0","1,157.0","1,263.0","1,409.0","1,270.0","1,466.0","1,666.0"
"61","43","    Outpatient services","DOUTRC1","1,679.0","1,608.0","1,418.0","1,120.0","1,025.0","1,111.0","1,177.0","1,308.0","1,364.0","1,344.0","1,411.0","1,497.0","1,587.0","1,740.0","1,827.0","2,128.0","2,243.0","2,900.0","3,277.0","3,778.0","3,815.0","3,980.0","4,219.0","4,604.0","5,066.0","5,697.0","5,961.0","6,514.0","7,101.0","7,872.0","8,653.0","9,155.0","9,618.0","10,712.0","11,506.0","13,528.0","14,450.0","15,395.0","16,279.0","17,813.0","19,946.0"
"62","44","      Physician services \10\","DPHYRC1","962.0","926.0","821.0","663.0","619.0","680.0","733.0","822.0","856.0","835.0","868.0","915.0","960.0","1,051.0","1,095.0","1,325.0","1,374.0","1,811.0","2,124.0","2,446.0","2,470.0","2,575.0","2,752.0","3,001.0","3,285.0","3,680.0","3,819.0","4,190.0","4,580.0","5,131.0","5,533.0","5,768.0","5,945.0","6,529.0","6,954.0","8,193.0","8,559.0","9,095.0","10,067.0","10,948.0","12,431.0"
"63","45","      Dental services","DDENRC1","482.0","463.0","408.0","312.0","276.0","295.0","302.0","331.0","350.0","356.0","386.0","419.0","459.0","505.0","539.0","573.0","620.0","772.0","785.0","910.0","920.0","962.0","1,003.0","1,110.0","1,247.0","1,428.0","1,532.0","1,654.0","1,781.0","1,897.0","1,950.0","2,028.0","2,115.0","2,272.0","2,307.0","2,685.0","2,849.0","3,002.0","3,387.0","3,719.0","4,326.0"
