"","Table 5#2#6U# Real Gross and Net Domestic Investment by Major Ty","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"28","20","    Less: Consumption of fixed capital","A754RX1",205.4,206.9,208.4,209.8,211.3,212.7,214.2,215.6,217.1,218.6,220.2,221.8,223.4,225,226.7,228.4,230.2,231.9,233.7,235.4,237.1,238.8,240.5,242.3,244,245.7,247.4,249,250.6,252,253.3,254.4,255.4,256.2,257,257.6,258.1,258.5,258.9,259.4,259.7,260.1,260.5
"29","21","    Equals: Net residential","A748RX1",382.6,377.1,365.3,364.4,365.6,372.2,373.9,367.5,381.6,394.8,396.8,404.6,409.1,421.8,453.1,469.8,474.3,499,504.7,508.8,520.6,536.5,542.7,541.2,531.2,494.4,450,411.2,380.8,359.4,317.3,268.9,226.8,208.2,178.6,137.1,94.6,75.4,83.5,82.3,70.9,90,60.7
"30","22","  Change in private inventories","A014RX1",18.7,101,63.1,58.1,-34.8,-10.7,-30.8,-90.7,-15.1,13.4,19.8,32.9,31.5,-3.5,3,38.3,52.4,78.7,62.7,71.6,91.4,15.5,11.8,81,65.8,72.5,67.5,31.8,17.3,44.9,36.1,12.6,-8.2,-20.6,-27.4,-94.3,-125.8,-161.8,-128.2,-36.7,44.1,68.8,115.5
"31","23","Gross government investment \1\","A782RX1",350.3,344.5,347.2,348,352.8,372.7,353.4,371.1,378,379.7,385.5,386.6,384.7,387.3,398.2,396.3,394.2,399.5,397.3,389.6,385.7,390.3,393.4,398.6,399.4,409.4,404.7,405.8,405.5,412.2,413.3,415.2,416.5,432.2,436.6,432.1,421.4,431.4,437.3,431.2,422,433.4,440.6
"32","24","Less: Consumption of fixed capital","A264RX1",217.8,219.3,220.8,222.2,223.4,224.8,226.1,227.5,228.9,230.2,231.7,233.1,234.5,236,237.5,239.1,241.1,243.1,244.9,246.5,248.1,249.7,251.4,253.2,254.6,256.5,258.4,260.3,262.3,264.3,266.4,268.6,270.8,273.1,275.4,277.7,280,282.2,284.3,286.2,288.1,290.2,292.6
"33","25","Equals: Net government investment","A889RX1",132.5,125.2,126.4,125.8,129.4,148,127.3,143.6,149.1,149.5,153.8,153.6,150.2,151.3,160.7,157.2,153,156.4,152.4,143,137.7,140.6,142,145.5,144.8,152.9,146.3,145.5,143.2,147.9,147,146.6,145.7,159.1,161.3,154.4,141.4,149.1,153,144.9,134,143.2,148
"34","26","          Federal","A890RX1",-11.1,-11.8,-11.2,-13.1,-13.3,-10.1,-9.2,-8,-6.1,-1.4,2.3,0.8,0,4,5.4,5.9,5,7.1,10.7,8,5.9,8.6,12.8,12.8,15,16.9,12.6,16.4,12.7,18.4,18.6,17.2,17,28.1,31.9,32.2,24,28.7,32.7,33.6,34.9,40.7,43
"35","27","            National defense","B891RX1",-16,-15.8,-14.8,-15,-15.5,-12.5,-11.1,-10.5,-10.5,-5.6,-2.3,-3.5,-3.6,-0.8,0.7,2,1.6,2.8,7.2,5,3.1,6,7.9,5,6.5,11,6.7,10.8,7.6,12.7,12.5,11.6,11,21.1,24.3,23.9,17.2,21.9,24.8,25.2,24.6,28.7,29.1
"36","28","            Nondefense","B892RX1",4.8,3.9,3.5,1.9,2.2,2.3,1.9,2.5,4.3,4.2,4.6,4.2,3.6,4.8,4.6,3.9,3.3,4.3,3.5,3,2.8,2.5,4.9,7.7,8.4,6,5.9,5.6,5.1,5.6,6.2,5.6,5.9,6.9,7.5,8.2,6.7,6.7,7.8,8.3,10.3,11.9,13.9
"37","29","          State and local","B893RX1",145.1,138.3,138.8,140.4,144.4,160,137.5,153.1,156.6,151.7,152.2,153.6,151,147.7,155.9,151.8,148.4,149.5,141.7,135.1,131.8,132.1,129.2,132.7,129.9,136,133.7,129.3,130.5,130,128.8,129.7,129.1,132.2,131.1,124.3,118.9,122.3,122.6,114.2,102.6,106.5,109.2
"38","30","  Structures","A760RX1",244.5,236.6,238.1,238.6,243.2,262,240.4,258.9,263.7,260.2,262.2,265.8,264,262.4,271.1,266.2,263.9,265.8,257.8,248.7,246.8,246,244.6,248.4,244.3,251.1,248.6,247,246.1,247.5,245.6,245.3,243.7,250.3,251.9,247.7,244.9,249,254,246.5,237,242.2,247.4
"39","31","  Less: Consumption of fixed capital","B894RX1",112.4,112.9,113.5,114.1,114.6,115.2,115.8,116.5,117.1,117.8,118.4,119.1,119.7,120.4,121,121.7,122.4,123,123.6,124.2,124.7,125.3,125.8,126.3,126.3,126.8,127.4,127.9,128.4,129,129.5,130.1,130.6,131.1,131.6,132.1,132.7,133.2,133.7,134.2,134.7,135.2,135.8
"40","32","  Equals: Net structures","A895RX1",132.1,123.7,124.6,124.5,128.6,146.8,124.5,142.4,146.6,142.5,143.8,146.7,144.3,142,150,144.5,141.5,142.8,134.2,124.5,122.1,120.8,118.8,122.2,118,124.3,121.2,119.1,117.6,118.5,116,115.3,113.2,119.2,120.3,115.6,112.2,115.8,120.3,112.3,102.4,107,111.6
"41","33","            Federal","A896RX1",-3.3,-4.1,-4.1,-5.7,-5.9,-5.2,-5,-4.2,-3.2,-2.9,-2.2,-1.9,-1.3,-0.7,-0.2,-1.4,-2.2,-2.6,-3.2,-5.8,-5.3,-6.4,-5.1,-4.6,-5.2,-4.3,-4.7,-2.6,-3.1,-0.7,-1.2,-2.6,-4.1,-1.5,-0.1,0.5,0.9,0.9,5,5.7,6.8,7.8,9.5
"42","34","              National defense","B897RX1",-5.2,-5,-4.3,-4.8,-5.4,-4.7,-5.2,-4.9,-5,-4.6,-4.2,-4.2,-3.3,-3.1,-2.6,-2.8,-3.1,-3.6,-3.3,-4.1,-3.5,-3.9,-3.5,-4.2,-4.1,-3.7,-3.9,-3.1,-3.1,-1,-2.1,-2.9,-3.6,-1.2,-0.5,-0.4,0.8,0.6,4,4.4,4.5,4.5,5.3
"43","35","              Nondefense","B898RX1",1.8,0.9,0.2,-0.9,-0.5,-0.4,0.2,0.8,1.8,1.8,1.9,2.2,2,2.4,2.3,1.4,0.9,0.9,0.1,-1.8,-1.8,-2.5,-1.6,-0.4,-1.1,-0.6,-0.8,0.5,0,0.3,0.8,0.4,-0.6,-0.3,0.3,0.9,0.1,0.3,1,1.3,2.2,3.3,4.2
"44","36","            State and local","B899RX1",135.4,127.8,128.7,130.2,134.5,152,129.5,146.6,149.8,145.3,146,148.6,145.6,142.6,150.3,145.8,143.7,145.4,137.4,130.3,127.4,127.1,123.9,126.7,123.1,128.6,125.9,121.7,120.8,119.3,117.4,117.9,117.3,120.7,120.5,115.3,111.6,115.2,115.7,107.2,96.3,100,102.9
"45","37","  Equipment and software","A871RX1",108.4,109.4,110.5,110.9,111.4,113.7,114.3,114.7,116.8,121.2,124.7,122.7,122.5,126.3,128.7,131.2,131.2,134.4,139.7,140.9,138.9,144.2,148.8,150.2,155.4,158.5,156.3,159.2,159.9,165.5,169,171.3,174.8,184.6,187.7,187.6,178.8,185.2,185.8,188.1,189.4,196,197.8
"46","38","  Less: Consumption of fixed capital","B900RX1",105.8,106.7,107.6,108.4,109,109.8,110.5,111.2,112,112.7,113.4,114.2,114.9,115.8,116.6,117.5,118.9,120.1,121.3,122.4,123.3,124.4,125.6,126.9,128.3,129.7,131.1,132.5,134,135.5,137.2,139,140.8,142.7,144.5,146.4,148.4,150.2,151.9,153.4,154.9,156.6,158.5
"47","39","  Equals: Net equipment and software","A901RX1",2.6,2.7,3,2.5,2.4,3.9,3.8,3.5,4.9,8.5,11.3,8.5,7.6,10.5,12.1,13.7,12.4,14.3,18.3,18.5,15.6,19.8,23.2,23.3,27.1,28.8,25.2,26.7,25.9,30,31.8,32.4,34,41.9,43.2,41.2,30.4,35,33.9,34.7,34.5,39.5,39.3
"48","40","            Federal","A902RX1",-7.2,-7.3,-6.8,-7.3,-7.3,-4.9,-4.1,-3.7,-2.6,1.7,4.8,3,1.8,5.1,6,7.5,7.4,9.9,13.9,13.8,11.2,14.9,18,17.4,20.2,21.3,17.3,18.8,15.7,18.7,19.6,19.6,21.1,29.4,31.8,31.4,22.5,27.4,26.6,26.8,26.9,31.5,31.9
"49","41","              National defense","B905RX1",-10.7,-10.7,-10.2,-10.1,-10.1,-7.7,-6,-5.6,-5.5,-1,1.8,0.7,-0.2,2.4,3.4,4.9,4.8,6.4,10.5,9,6.6,9.9,11.5,9.2,10.6,14.7,10.6,13.8,10.6,13.4,14.4,14.4,14.7,22.2,24.5,24.1,15.9,21,20,19.9,19.2,23.4,22.8
"50","42","              Nondefense","B906RX1",3.2,3.1,3.2,2.6,2.6,2.6,1.8,1.8,2.7,2.6,2.9,2.3,1.9,2.7,2.6,2.7,2.6,3.5,3.4,4.8,4.6,5,6.5,8.2,9.6,6.6,6.7,5,5,5.2,5.1,5.1,6.5,7.1,7.1,7.2,6.5,6.3,6.5,6.8,7.7,8.1,9.1
"51","43","            State and local","B907RX1",9.3,9.6,9.3,9.3,9.3,8.4,7.5,6.9,7.2,6.7,6.4,5.4,5.7,5.4,6,6.1,4.9,4.4,4.4,4.8,4.4,4.9,5.3,5.9,6.9,7.5,7.9,7.9,10.3,11.3,12.3,12.8,12.9,12.5,11.3,9.7,7.9,7.5,7.2,7.8,7.5,7.8,7.2
"52",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","44","  Gross domestic fixed investment","W172RX1",2224.1,2265.8,2275.2,2281.8,2274.9,2264.4,2225.5,2195.7,2186.3,2180.8,2183.4,2170,2168.4,2216.6,2286.4,2318.4,2312.5,2377,2416.9,2443.5,2464.9,2506.3,2536.4,2549.6,2599.6,2599.3,2566.9,2538.7,2533.3,2559.7,2554.5,2530.6,2498.8,2491.4,2432.9,2292.3,2091.7,2059.5,2068.7,2056.9,2059.9,2143,2154.2
"54","45","  Less: Consumption of fixed capital","A262RX1",1250.6,1272.9,1293.7,1312.3,1329.9,1345.2,1358.2,1370,1383.1,1394.2,1405.6,1416.2,1426.4,1435.5,1445.7,1457.5,1470.2,1481.6,1494,1507.3,1520.8,1534,1548.2,1562.5,1575,1590.6,1606.2,1622,1638.6,1654.1,1668.5,1682.3,1694.9,1708.4,1721.6,1733.1,1740.7,1743.7,1745.9,1749,1754.8,1762.9,1773.1
"55","46","  Equals: Net domestic fixed investment","W173RX1",972.9,992.1,980.7,968.8,944.5,919.2,867.1,825.9,803.5,787,778.2,754.2,742.5,781.5,841.2,861.2,842.6,895.5,923,936.2,944.1,972.3,988.2,987.1,1024.6,1008.7,960.7,916.7,894.5,905.3,885.6,847.7,803.2,781.1,708.3,554.6,344.2,307.5,314.2,299.8,298.3,373.6,374.1
"56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","1. Gross government investment consists of general government and government enterprise expenditures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","for fixed assets; change in inventories is included in government consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Note. Most chained (2005) dollar series are calculated as the product of the chain-type quantity index and the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","2005 current-dollar value of the corresponding series, divided by 100. Because the formula for the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","quantity indexes uses weights of more than one period, the corresponding chained-dollar estimates are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","usually not additive.  Chained (2005) dollar estimates of net investment are calculated by subtracting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","consumption of fixed capital from gross investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
