"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192"
"11","3","  Durable goods","DDURRX0",500653,492218,502574,491113,502061,517479,508393,519549,525355,514824,526204,539250,520949,535585,540903,550198,553112,544948,547808,555116,557003,561392,565832,565121,578047,576222,583927,576765,572417,583405,596128,611796,601916,605913,622116,627993,618306,625757,627509,642019,664115,660870,658878,674560,690354,707437,707904,728580,703499,720040,725683,737070,751322,764191,762586,769863,774986,769112,773840,793177,810439,832553,824550,805711,811340,806083,806851,818509,839672,831807,825241,826110,829521,852738,842993,828927,839322,855748,847131,867450,839972,957230,924264,887663,903029,919552,914862,940435,904012,921784,950252,969527,927446,919278,928668,961744,948390,923697,940303,964234,972557,985544,997560,1032696,1009356,1008654,1028073,1022524,1020759,1030376,1041975,1031795,1061892,1021127,1051884,1048343,1075908,1066992,1067211,1094045,1076331,1081995,1091553,1127953,1080376,1132448,1175852,1118023,1086169,1077623,1099115,1118476,1149493,1133624,1143715,1144466,1129070,1144554,1158106,1137985,1160219,1160181,1164297,1179284,1179512,1179079,1184875,1185536,1207487,1190388,1191312,1203204,1222470,1220032,1213153,1205546,1191109,1175345,1169485,1172084,1174775,1163132,1136216,1150779,1112491,1072741,1067838,1051162,1085076,1082011,1062674,1055683,1070998,1077996,1100598,1176453,1077854,1101089,1119016,1125233,1116541,1131036,1169238,1159085,1158180,1156247,1171797,1171964,1181792
"12","4","    Motor vehicles and parts","DMOTRX0",251001,247126,256542,242553,247913,263599,249153,261053,262523,251738,260751,273388,257116,268454,268424,274406,270927,261041,264856,269920,269727,270899,273642,266687,286089,277587,283787,273157,269913,275489,285346,301682,285103,288798,300888,305773,287885,290140,291441,302279,321952,312280,302595,316198,330486,343621,339192,354564,325288,330902,332689,345839,353043,360431,354216,355569,352697,339568,342506,348999,366695,383485,368494,345878,349753,342701,341862,349994,364883,358078,351039,350674,348930,375203,365211,344687,354323,371977,355806,371540,356430,465512,414779,367540,379992,391377,387568,407766,369947,387666,417895,432691,388139,376648,380100,408639,397074,381226,388101,407127,403270,405652,410462,434031,407959,403961,416706,407814,406203,409453,412012,404828,429353,388266,407838,402079,426997,413332,410898,424569,409575,402267,414652,436888,396957,437187,482041,414610,386031,360377,379775,395402,398506,387681,393569,396727,385403,397612,412659,392230,396143,399201,397778,402086,399468,407254,398102,403248,415258,403762,394956,402091,416264,411509,399627,394838,388592,386251,374227,369772,362203,354352,328611,353295,337436,308316,308426,306906,320774,316961,313442,303964,318617,318013,336061,393986,298029,317917,322939,327322,310759,313364,337786,327929,328544,321562,328601,324830,328181
"13","5","      New motor vehicles (55)","DNMVRX0",139469,141109,146615,139955,142812,148023,140165,144512,143729,141026,148197,160192,143731,148293,154381,145938,152549,143539,142122,145229,144642,148473,148853,148590,150767,147274,151881,142609,149139,143014,155636,165778,156489,158977,166361,172787,157263,160386,159351,170233,183848,182459,161120,163358,177935,184974,175595,191593,179595,185056,185567,185715,194821,197733,193222,195638,195210,196806,193785,204949,209454,215766,208507,202677,203261,196988,197347,201389,213139,203657,193331,188361,202774,215007,211627,203783,202156,218444,204305,206129,206821,305631,264292,230480,239146,243972,236318,240174,218108,227848,254783,269429,233853,225985,227353,258509,239470,229087,238519,255543,252134,254576,253132,278169,252729,247263,260747,252603,259056,255407,256233,249789,269272,233171,249323,247575,263980,254792,248699,256807,238355,239193,249005,269070,246682,275808,324508,253681,229693,205172,220209,235357,237888,229087,229419,234388,228076,235486,251951,228288,234886,233350,234101,237777,239100,246745,237021,237504,244286,238691,224589,232090,242424,242397,233844,228788,223334,223029,213485,209669,203727,191857,171793,199528,183280,158365,157073,157401,163075,157052,154831,147521,163162,160659,180441,237056,149579,166783,171731,176883,164234,157863,184617,177611,173738,168570,172511,170988,173179
"14","6","        New autos","DNEARX0",76328,76807,79758,76230,79699,81239,76484,80466,80022,78185,82984,87239,75261,80199,84483,77156,82753,76246,75273,75831,76298,76890,77030,79268,80669,77422,77688,71239,75510,71867,78917,83326,78585,79430,80458,87107,77198,80757,79963,84801,88212,86448,77369,81375,84628,85976,81254,93938,82493,87590,89357,88982,93851,95121,93854,95112,91370,98137,95781,98117,101726,104377,100740,98781,99988,97059,96094,95318,96251,96123,90762,88462,93759,98996,93036,90064,89293,94556,88170,88583,86311,129213,110124,92134,96536,97207,93984,97832,90289,90690,98962,101805,94767,87639,90506,95008,97213,89896,91813,92317,89388,90943,91678,98571,87751,88509,94459,87283,91830,93432,96270,91029,95983,87533,90399,89398,91689,94016,93372,98474,91833,93724,97104,106984,93445,97410,105410,101400,99282,94718,93722,94341,106517,97332,94375,101751,98071,96632,105740,99672,96844,95252,96398,100415,98088,98104,96279,94477,100983,95394,88394,88744,95173,95416,97873,98144,98777,95976,94838,97642,101139,97382,84489,83809,74463,71037,64428,63895,63987,64098,65410,59276,64237,66530,82368,114037,65303,68445,69861,73418,68442,64007,72444,68770,63140,64377,64467,65483,66367
"15","7","          New domestic autos","DNDCRX0",51288,51158,53920,51404,53012,55110,53001,55880,55534,55082,58405,62548,53908,58187,60122,55043,59641,52671,52312,50464,50969,52378,51475,54409,54548,50391,50077,46495,50885,46113,52682,53864,51099,50509,51776,55526,50288,51046,51096,55933,58511,57651,48718,51989,59016,57294,53109,62808,54730,58309,59716,58656,60090,62754,60165,63063,59592,59856,60982,63081,67495,69639,67728,65246,66533,63430,62774,62880,62746,61833,58954,54404,62911,67431,62173,56735,57313,62186,56194,56391,57163,93651,77390,59432,64781,65365,61511,65992,60068,60113,67423,70990,62181,58809,58707,63452,63379,57412,60636,62546,59773,60069,60794,67953,56084,58687,62722,58384,61523,60307,62639,57790,61988,55306,59626,57728,59411,58003,59545,63734,60212,60261,63834,72876,59860,63025,69664,65657,64076,59554,59850,59574,71785,63643,59972,65088,61084,59645,67044,63116,60157,57866,58436,59677,61489,61907,60175,58168,64118,60242,53683,54615,59662,59981,62130,62392,65311,60709,57028,58930,63339,59904,49496,51047,45846,44106,39511,39865,40834,39092,39949,35837,40446,42112,54700,79544,40223,43046,44579,48349,41931,39026,46233,43417,38420,37762,38002,37168,37943
"16","8","          New foreign autos","DNFCRX0",25041,25649,25839,24826,26688,26130,23483,24586,24488,23104,24580,24691,21354,22013,24361,22114,23112,23576,22961,25367,25330,24513,25556,24859,26121,27031,27611,24743,24625,25753,26236,29462,27486,28921,28681,31581,26910,29711,28867,28868,29700,28797,28651,29386,25612,28682,28145,31130,27763,29281,29641,30327,33761,32368,33689,32049,31778,38281,34798,35036,34232,34738,33013,33535,33455,33629,33319,32438,33505,34289,31808,34058,30849,31564,30862,33329,31980,32369,31975,32191,29148,35562,32735,32702,31755,31842,32473,31840,30221,30577,31539,30815,32586,28829,31800,31555,33834,32484,31177,29772,29615,30874,30884,30617,31667,29822,31737,28899,30307,33125,33631,33239,33994,32227,30773,31670,32278,36013,33827,34741,31621,33463,33270,34108,33585,34385,35746,35743,35206,35164,33872,34767,34732,33688,34403,36663,36986,36987,38696,36556,36687,37386,37962,40738,36599,36197,36105,36310,36865,35152,34711,34129,35511,35435,35743,35751,33467,35267,37810,38712,37800,37478,34993,32763,28617,26931,24917,24029,23153,25006,25461,23438,23790,24417,27668,34494,25081,25399,25283,25069,26511,24981,26211,25353,24720,26615,26465,28315,28424
"17","9","        New light trucks","DNWTRX0",63153,64328,66884,63748,63074,66783,63692,64018,63680,62821,65178,72970,68545,68123,69908,68847,69827,67353,66915,69487,68415,71679,71919,69392,70170,69938,74296,71480,73737,71257,76832,82577,78023,79670,86040,85813,80193,79752,79513,85568,95788,96166,83886,82114,93445,99138,94469,97808,97220,97596,96351,96870,101120,102761,99527,100688,103943,98873,98191,106974,107899,111563,107935,104070,103459,100109,101416,106205,116987,107667,102691,100020,109129,116127,118657,113788,112932,123944,116186,117594,120539,176475,154200,138344,142617,146777,142350,142358,127832,137172,155831,167629,139117,138361,136874,163497,142307,139217,146719,163196,162703,163596,161428,179549,164913,158717,166260,165240,167168,161949,159962,158732,173242,145624,158890,158143,172244,160759,155324,158355,146558,145523,151943,162126,153255,178420,219217,152293,130349,110309,126386,140983,131154,131655,134997,132479,129862,138804,146103,128414,138022,138112,137691,137258,141024,148776,140792,143150,143284,143392,136325,143558,147376,147085,135841,130403,124178,126758,118234,111424,101678,93463,86488,115667,108956,86937,92745,93645,99379,93022,89327,88361,99126,94123,97664,122174,84081,98338,101889,103401,95728,93886,112325,109023,110948,104402,108312,105715,107023
"18","10","      Net purchases of used motor vehicles (56)","DNPVRX0",75385,70469,74039,66218,68753,78573,72219,79360,81489,73545,74494,74834,75365,81421,75118,89749,79207,78480,83354,85900,85892,82546,85023,78177,95220,90139,91366,90171,81020,92138,88854,94273,87007,88433,92436,91194,88837,88083,90171,89852,95156,87363,100302,112264,111103,116709,122174,120644,103045,102740,104073,116697,114400,118831,116806,115750,112618,98003,103687,99010,111924,122438,114405,98724,101730,100854,100227,104016,105542,110055,114171,118174,103383,116831,110558,97337,108474,109676,108187,121600,107170,113849,106633,94211,97846,104095,108531,123659,108927,116156,119292,119325,111034,107501,109661,106620,114254,109071,105742,107616,106958,106509,112467,110369,109575,111726,110012,109887,101797,108033,109215,109351,113311,109902,112518,108485,116673,111907,115298,119722,123406,115290,118714,119409,102805,112773,108972,113053,109147,107727,110430,110754,110405,109276,114847,113497,109678,114094,112332,115906,112761,117460,115488,115249,112002,112146,111785,116941,122043,116212,121287,120476,124259,119735,116964,117373,117379,116082,113207,112921,110669,114403,109310,107350,108700,104453,105998,104808,113313,116037,116051,113667,112637,114909,112558,113682,106381,107583,108399,107415,103226,111731,109137,105446,110163,108108,111570,107987,108360
"19","11","        Used autos","DNPURX0",54689,50104,53076,45404,47595,56235,49890,56068,58911,49996,50206,49033,49611,54694,48481,62846,51660,50975,55822,57174,57038,52420,55706,48258,61879,57689,60275,57963,48010,58000,54548,58185,50793,52271,58090,57324,54358,53539,54040,51319,59160,50096,58376,68417,65960,66797,69337,70272,57947,57699,58870,66106,62738,66845,64604,64698,63853,52303,57152,53255,60045,71298,62597,51944,55674,53639,50968,54940,58373,61190,64360,68254,54668,64659,58694,54078,60626,58438,58069,64381,56213,56372,56284,47411,53145,53952,55819,63409,56844,59480,61450,60285,55939,53953,56065,53476,58249,55526,53381,54378,53881,53513,56570,55713,54795,56178,55359,55044,49853,53235,54052,54354,56642,54543,55691,52922,57579,54719,56693,59006,61211,56326,58663,59977,50393,55963,53356,55765,54079,53652,54372,54328,53660,53563,55947,55493,52848,55104,54017,55690,53119,54922,53537,53056,51598,51141,50641,52773,54943,52604,54788,54152,55753,54119,53785,54286,54761,54151,52699,52619,51851,53130,50690,48904,48815,45545,46264,45100,48203,49538,50245,48029,47464,48492,47395,48568,45748,46777,47143,46360,45006,48028,47403,45165,46626,45204,46992,45604,45883
"20","12","          Net transactions in used autos","DNETRX0",28504,26610,27636,21354,23015,30219,25105,30529,32692,26039,25414,26387,25504,29078,23576,36154,26464,25488,30042,31927,30859,27203,31014,25172,36219,32518,34985,32965,23908,32779,28968,32175,25401,27169,32959,32569,30496,29866,30313,27334,34283,25922,33255,42107,39567,39476,41818,43006,33453,33489,34376,39583,36087,39675,37633,37963,37616,28592,33163,29262,33467,43555,35805,27702,31413,29585,26517,29779,32522,34630,37182,40474,28509,37047,31604,26881,32378,30470,30572,36827,30583,30584,30446,22265,27273,28268,30478,38597,32515,35413,38534,37854,33832,31950,33523,30459,32095,31537,31430,32067,31222,30597,31449,30950,32142,31599,31279,32022,30846,30827,30826,30366,30942,30570,31204,30774,30522,31306,32261,33181,31740,33037,31247,31286,29915,31554,31555,32369,31165,30638,31396,31234,30823,29846,31451,31116,30572,30735,29864,29799,30082,29573,29242,29283,28214,28969,29018,29388,31205,29642,30207,30263,30963,29772,29697,29776,29919,28981,28790,29056,28393,29697,28013,27272,26752,26648,25264,25616,27950,29408,28097,27943,27583,27604,27393,27892,27432,26853,26733,26401,25365,27327,26114,25381,25520,26300,26035,25972,26217
"21","13","          Used auto margin","DMARRX0",28831,25902,28070,27643,28041,28319,27874,27519,27953,26529,27711,24896,26870,27907,28141,27990,27986,28509,28049,27071,28376,27778,26680,25545,27276,26990,26816,26719,26804,27031,27881,28016,27922,27377,27019,26617,25794,25595,25625,26194,26438,26674,26809,27106,27468,28552,28550,28141,26060,25747,25960,27703,28173,28394,28402,28115,27570,25628,25445,25856,28330,28636,28395,26354,25952,25931,26796,27183,27591,28155,28509,28769,28589,29069,29270,30058,30569,30474,29866,29209,27786,27936,27923,27991,28175,27790,27189,26139,25926,25494,24107,23629,23485,23459,24016,24693,27989,25708,23520,23848,24265,24586,26936,26606,24236,26288,25799,24760,20735,24171,25004,25705,27424,25743,26239,23941,28799,25201,26225,27625,31353,24985,29158,30440,22262,26145,23555,25125,24620,24721,24664,24740,24516,25386,26174,26049,23951,26078,25881,27635,24699,26999,25937,25393,25003,23827,23321,25059,25482,24649,26179,25497,26388,25935,25671,26109,26452,26765,25474,25111,25014,24900,24222,23220,23660,20583,22625,21070,21815,21709,23592,21597,21367,22322,21464,22086,19812,21382,21872,21429,21173,22254,22834,21381,22674,20431,22537,21128,21128
