"","Table 3#4U# Personal Current Tax Receipts                       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94"
"11","3","  Income taxes","B231RC0",401644,399584,401528,408620,437868,446788,455428,465740,461212,470068,475044,474272,457292,459172,461856,466936,459072,467968,477160,496704,478116,503032,513404,527312,524172,553352,541652,550880,563172,589868,587040,603076,631260,668512,669092,684264,718660,733628,751364,772960,794580,814916,835620,855708,865380,881380,899800,925600,972548,982832,1006964,1019860,1046868,1044672,877532,998184,845896,833392,820688,814492,802172,807844,710812,775884,768844,788808,812660,826656,894948,919312,946148,967028,1023060,1034728,1053924,1088012,1136476,1155112,1174220,1196448,1198712,984268,1108984,1119128,912832,847740,826968,823424,843232,856668,867548
"12","4","    Withheld","PTN0180",344088,343792,345988,352228,360904,367772,374760,383504,388720,396804,401532,401152,397956,399624,401264,404456,396296,402712,409584,427156,409924,432456,441512,454992,450576,464016,469572,479444,485340,494844,506528,518992,527080,543244,556508,568448,578004,588560,600296,614440,625168,638884,655564,674328,694312,709184,724072,743960,765484,768932,787440,796148,814708,813628,791736,782820,738000,735464,730748,730668,734124,743768,704512,717432,721168,740584,761756,771612,779896,795932,814060,824196,848004,853400,866744,896136,934064,946328,957580,970676,971160,957796,946632,923964,868632,823440,816572,820540,837908,852408,863908
"13","5","    Declarations and settlements","PTN1000",129884,128120,127868,128720,147164,149216,150868,152436,145948,146720,146968,146576,139512,139724,140768,142656,142564,145044,147364,149336,143776,146160,147476,147904,150708,166448,149192,148548,163764,180956,166444,170016,193520,214608,201924,205156,234452,238864,244864,252316,269432,276052,280076,281400,296248,297376,300912,306820,341168,348004,353628,357816,381008,379892,234644,364212,289428,279460,271472,265356,246936,242964,185188,237340,234580,235128,237808,241948,295480,303808,312516,323260,371448,377720,383572,388268,409172,415544,423400,432532,447612,448096,439452,421420,319840,299940,286036,278524,256628,255564,254944
"14","6","    Less: Refunds","PTN2000",72328,72328,72328,72328,70200,70200,70200,70200,73456,73456,73456,73456,80176,80176,80176,80176,79788,79788,79788,79788,75584,75584,75584,75584,77112,77112,77112,77112,85932,85932,85932,85932,89340,89340,89340,89340,93796,93796,93796,93796,100020,100020,100020,100020,125180,125180,125180,125180,134104,134104,134104,134104,148848,148848,148848,148848,181532,181532,181532,181532,178888,178888,178888,178888,186904,186904,186904,186904,180428,180428,180428,180428,196392,196392,196392,196392,206760,206760,206760,206760,220060,421624,277100,226256,275640,275640,275640,275640,251304,251304,251304
"15","7","  Other taxes","B035RC0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","8","State and local","W071RC0",99411,97227,104140,107598,113385,118249,114509,112413,119335,122553,123722,124626,121197,124526,126101,129420,127470,136898,136698,140154,136451,138310,143566,145941,146892,141914,151151,152003,156833,152354,160645,162604,165285,165897,169346,174164,177782,176887,184075,189248,195535,201439,201602,206308,208140,209393,216433,223978,232121,243253,236676,234782,250753,259807,232012,229500,222455,211936,225625,227188,219105,210248,234392,240931,240468,237553,252039,264256,269286,273018,277882,286734,298438,305505,300410,305531,322272,325251,323282,321567,337133,347356,333389,323838,300583,264719,290028,293806,291467,280620,292044
"17","9","  Income taxes","B245RC0",88279,85800,92491,95826,101291,105833,102142,99814,106638,109512,110751,111475,107950,111221,112227,115482,112714,122258,121935,124601,121765,123948,128663,130524,131395,125763,135082,136724,140623,136122,144241,145962,148999,149633,152847,157825,160726,159572,166757,171613,177707,183227,183384,187762,189319,190540,197424,204845,212702,224026,217048,215640,231612,240092,212146,209494,202613,191302,204888,206249,197956,188537,211780,218015,217024,214102,228094,239728,244666,248287,252761,261086,272406,279124,273950,278836,295288,298200,296048,294124,310129,319803,305737,296223,272799,236755,261823,264951,262520,251258,262337
"18","10","  Motor vehicle licenses","S210300",7035,7285,7430,7454,7608,7839,7707,7858,7929,8197,8075,8215,8256,8174,8613,8505,9010,8969,8958,9675,8902,8564,8948,9294,9103,9563,9391,8619,9612,9642,9787,9943,9371,9258,9488,9095,9709,10044,9819,10116,10220,10461,10393,10586,10727,10655,10793,11017,11421,11396,11691,11124,10981,11354,11435,11530,11388,12145,12123,12080,12016,12347,13033,13228,13465,13436,13706,14121,13920,13791,14041,14348,14622,14793,14752,14809,14991,14958,15119,15208,14967,15335,15322,15204,15172,15285,15390,15977,15942,16161,16390
"19","11","  Property taxes","S210400",2427,2446,2489,2554,2662,2744,2811,2867,2898,2946,2995,3049,3087,3166,3263,3376,3569,3650,3692,3697,3572,3578,3626,3716,3936,4040,4113,4155,4090,4125,4183,4266,4430,4520,4580,4614,4577,4599,4627,4669,4712,4779,4869,4980,5112,5176,5162,5074,4911,4821,4804,4856,4982,5065,5107,5106,5067,5093,5192,5360,5598,5756,5830,5820,5727,5696,5725,5812,5963,6095,6221,6333,6438,6534,6631,6725,6793,6848,6889,6918,6934,6973,7038,7131,7249,7339,7405,7447,7549,7664,7734
"20","12","  Other taxes \2\","S210500",1670,1696,1730,1764,1824,1833,1849,1874,1870,1898,1901,1887,1904,1965,1998,2057,2177,2021,2113,2181,2212,2220,2329,2407,2458,2548,2565,2505,2508,2465,2434,2433,2485,2486,2431,2630,2770,2672,2872,2850,2896,2972,2956,2980,2982,3022,3054,3042,3087,3010,3133,3162,3178,3296,3324,3370,3387,3396,3422,3499,3535,3608,3749,3868,4252,4319,4514,4595,4737,4845,4859,4967,4972,5054,5077,5161,5200,5245,5226,5317,5103,5245,5292,5280,5363,5340,5410,5431,5456,5537,5583
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","1. Excludes estate and gift taxes, which are classified in the NIPAs as capital transfers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2. Consists largely of hunting, fishing, and other personal licenses.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
