"","Table 5#6#5BU1# Change in Private Inventories by Industry       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16"
"51",NA,"  By type of wholesaler:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","41","    Merchant wholesale industries","C42W0",22654,19454,16309,14775,-8044,517,-203,17845,14329,15182,6213,526,-45154
"53","42","      Durable goods industries","C42WD0",15223,15080,12410,10426,-13312,-212,870,16771,10972,10546,1083,6289,-42110
"54","43","        Motor vehicles, parts, and supplies wholesalers","C42110",1436,786,2807,1298,-1163,2440,892,1189,2834,960,967,2887,-10711
"55","44","        Furniture and home furnishings wholesalers","C42120",127,307,347,554,-424,207,210,130,241,244,-144,-539,-1673
"56","45","        Lumber and other construction materials wholesalers","C42130",654,-142,397,456,-57,414,1309,2044,692,341,-893,-1300,-2316
"57","46","        Professional and commercial equipment wholesalers","C42140",5928,2770,3599,909,-1383,1354,630,2318,1628,3419,1511,1174,-1943
"58","47","          Computers and software wholesalers","C421430",5196,3247,2901,-54,-489,822,1340,1383,1179,1675,868,475,618
"59","48","          Other professional and commercial equipment wholesalers","C4214X0",732,-477,698,963,-894,532,-710,935,449,1744,643,698,-2561
"60","49","        Metal and mineral (except petroleum) wholesalers","C42150",753,1202,49,167,-976,-255,-377,3134,-317,2671,-2103,1746,-6901
"61","50","        Electrical goods wholesalers","C42160",513,2080,3202,3730,-4334,-1000,-605,2156,1223,2243,1884,459,-4380
"62","51","        Hardware and plumbing and heating equipment wholesalers","C42170",156,791,149,874,-763,-42,-28,792,347,546,331,-1580,-2062
"63","52","        Machinery, equipment, and supplies wholesalers","C42180",4433,5503,1838,1029,-2353,-2762,-2073,3802,3389,2007,617,2227,-9047
"64","53","        Miscellaneous durable goods wholesalers","C42190",1223,1783,22,1409,-1859,-568,911,1206,935,-1885,-1087,1215,-3077
"65","54","      Nondurable goods industries","C42WN0",7431,4374,3899,4349,5268,728,-1072,1074,3357,4635,5130,-5763,-3044
"66","55","        Paper and paper products wholesalers","C42210",654,23,-174,251,-634,-345,-25,471,310,-345,70,-177,-770
"67","56","        Drugs and druggists' sundries wholesalers","C42220",1557,1078,3352,4559,7005,1362,122,-332,-2150,775,-492,-17,46
"68","57","        Apparel, piece goods, and notions wholesalers","C42230",1429,286,-663,117,-29,219,-974,51,619,1365,587,870,-3701
"69","58","        Grocery and related products wholesalers","C42240",931,-196,1192,-89,-1625,1288,-1206,-250,1576,1801,1163,833,-2107
"70","59","        Farm product raw material wholesalers","C42250",1368,1241,972,367,124,-1199,1891,-1712,2137,2186,1670,-7436,4056
"71","60","        Chemical and allied products wholesalers","C42260",285,483,246,-285,323,336,-326,-174,-3,-451,840,-297,-1487
"72","61","        Petroleum amd petroleum products wholesalers","C42270",51,575,-1011,-377,1517,-518,-556,955,-38,-816,-198,-504,4087
"73","62","        Beer, wine, and distilled alcoholic beverages wholesalers","C42280",350,171,278,123,-253,430,138,285,396,671,773,1090,-1033
"74","63","        Miscellaneous nondurable goods wholesalers","C42290",806,713,-293,-317,-1160,-845,-137,1780,510,-551,717,-125,-2135
"75","64","    Nonmerchant wholesale industries","C42N0",2676,1978,2602,4079,-4291,-624,-386,1922,3800,-1492,-1418,1226,-10872
"76","65","      Durable goods industries","C42ND0",2029,1941,1662,3098,-3351,600,-90,992,2398,-1150,-267,1992,-10557
"77","66","      Nondurable goods industries","C42NN0",647,37,939,981,-941,-1224,-296,930,1402,-342,-1151,-767,-315
"78","67","Retail trade industries","C440",14452,14637,24934,19957,-10317,23044,16900,23189,4618,10814,4078,-27702,-33844
"79","68","  Motor vehicle and parts dealers","C4410",5143,1832,12440,11880,-9329,17295,12804,7406,-2788,-368,2862,-12132,-13254
"80","69","  Furniture, furnishings, electronics, and appliance stores","C44230",1190,1640,1852,1931,-175,2053,1986,3384,1258,999,1086,-3354,-2839
"81","70","  Building material and garden equipment and supplies dealers","C4440",1328,1942,1953,1162,26,1476,1037,2322,2258,-33,-773,-3744,-5201
"82","71","  Food and beverage stores","C4450",344,942,1529,-561,408,156,-1192,398,-104,923,1086,-354,-691
"83","72","  Clothing and clothing accessories stores","C4480",974,1297,1390,2927,-1130,1757,480,2416,1470,3450,-1263,-2498,-4774
"84","73","  General merchandise stores","C4520",142,359,2694,1040,160,1415,981,4476,2210,1664,-204,-3216,-3323
"85","74","    Department stores","C45210",238,-963,634,-630,-1890,-1493,-1632,710,49,-174,-430,-3448,-3098
"86","75","    Other general merchandise stores","C45290",-96,1322,2060,1670,2050,2908,2613,3766,2161,1838,226,232,-225
"87","76","  Other retail stores","C44X0",5331,6625,3076,1578,-277,-1108,804,2787,314,4179,1284,-2403,-3761
"88","77","Other industries","COTH0",5301,5570,7085,12446,-356,-1140,1511,6082,2295,4743,4425,5543,-7472
"89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
