"","Table 5U# BEA Retail and Food Service Sales                     ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21"
"17","10","S4 EN4422ZZMA       Home furnishings stores","T050100",21842,23259,26147,27801,29947,32320,34919,39050,42482,42844,45181,47620,51424,54598,57948,56860,51238,44780
"18","11","S1 EN443ZZZMA     Electronics and appliance stores","T050110",45418,51723,60904,68864,72643,74318,79107,83829,87606,86005,89760,92458,101625,108896,116787,120189,119432,109826
"19","12","S1 EN444ZZZMA   Building material and garden equipment and supplies dealers","T050120",137987,148404,165547,173290,186001,200880,212908,229773,241442,252135,261944,279975,316665,345604,363478,352878,335948,299587
"20","13","S2 EN4441ZZMA     Building material and supplies dealers","T050130",116743,127314,142825,149118,159065,171141,181907,198576,209207,218871,229630,246115,280556,308424,324573,311544,290895,255889
"21","14","S3 EN4442ZZMA     Lawn and garden equipment and supplies stores","T050140",21244,21090,22722,24172,26936,29739,31001,31197,32235,33264,32314,33860,36109,37180,38905,41335,45053,43697
"22","15","S1 EN445ZZZMA   Food and beverage stores","T050150",381649,385555,395665,401920,412910,421175,428607,445966,457330,474925,476453,488003,507996,528861,549149,571407,595233,598107
"23","16","S1 EN4451ZZMA     Grocery stores","T050160",346724,350599,360049,366124,375481,382453,388259,404464,412764,428307,429007,438758,455396,474123,490709,509930,530760,531055
"24","17","S3 EN4452ZZMA     Specialty food stores","T050170",11901,12111,12174,12447,12865,13215,13451,13461,14265,15199,15708,16775,18210,18815,19496,20487,21401,23772
"25","18","S2 EN4453ZZMA     Beer, wine, liquor stores","T050180",23024,22845,23442,23349,24564,25507,26897,28041,30301,31419,31738,32470,34390,35923,38944,40990,43072,43280
"26","19","S1 EN448ZZZMA   Clothing and clothing accessories stores","T050190",127563,132364,136957,139365,144907,148651,158085,169185,177404,176545,181858,189124,201459,213467,225685,247225,254960,261931
"27","20","S2 EN4481ZZMA     Clothing stores","T050200",90629,93465,95621,96215,99383,103496,110310,118202,124818,125728,129757,135682,145495,155006,163721,184478,191969,201264
"28","21","S2 EN4482ZZMA     Shoe stores","T050210",19721,20137,21069,21534,22476,22677,23519,24025,24167,24014,24206,24536,25070,26760,28367,29020,28282,26355
"29","22","S3 EN4483ZZMA     Jewelry, luggage, and leather goods stores","T050220",17213,18762,20267,21616,23048,22478,24256,26958,28419,26803,27895,28906,30894,31701,33597,33727,34709,34311
"30","23","S1 EN452ZZZMA   General merchandise stores","T050230",265498,284563,305147,321615,337390,354075,375265,406026,429702,453063,472226,496275,523843,556045,585838,597634,600480,602264
"31","24","S1 EN4521ZZMA     Department stores","T050240",190096,201229,213327,220887,227590,235730,239245,246618,247445,242795,234159,228160,227629,228554,227415,224725,216027,206809
"32","25","S2 EN4529ZZMA     Other general merchandise stores","T050250",75402,83334,91820,100728,109800,118345,136020,159408,182257,210268,238067,268115,296214,327491,358423,372908,384452,395455
"33","26","S1 EN44EZZZMA   Other retail stores","T050260",444853,471557,509128,542696,589646,622139,645242,708496,794516,803935,826652,875260,954829,1047655,1134463,1187295,1251665,1094033
"34","27","S1 EN446ZZZMA     Health and personal care stores","T050270",92086,95018,98894,104334,112461,121758,132984,146273,159084,170395,183663,195584,202469,213492,227950,239388,248013,255390
"35","28","S1 EN447ZZZMA     Gasoline stations","T050280",161027,167147,176232,186414,200084,205367,197213,218670,256320,257671,257785,280584,328246,381514,421787,451236,494927,360583
"36","29","S1 EN451ZZZMA     Sporting goods, hobby, book, and music stores","T050290",52328,55525,61012,64614,67925,69444,73037,77127,80415,81262,81909,82489,85035,86578,89688,89679,87055,88035
"37","30","S4 EN4511ZZMA       Sporting goods, hobby, and musical instrument stores","T050300",36254,38181,41811,43698,45945,46665,48959,51896,54864,55457,56184,56999,59118,61278,65318,67014,64551,64734
"38","31","S4 EN4512ZZMA       Book, periodical, and music Stores","T050310",16074,17344,19201,20916,21980,22779,24078,25231,25551,25805,25725,25490,25917,25300,24370,22665,22504,23302
"39","32","S1 EN453ZZZMA     Miscellaneous store retailers","T050320",58788,65819,74197,81119,88373,96215,104736,110899,113991,109819,109693,108151,110347,113721,119934,121951,119691,118341
"40","33","S3 EN4531ZZMA       Florists","T050330",6799,6827,6993,7047,7564,7761,8049,8269,8668,8324,7924,7309,7096,7430,7616,7375,7080,6583
"41","34","S3 EN4532ZZMA       Office supplies, stationery, and gift stores","T050340",22848,25428,28895,31223,32876,35776,39453,42525,44699,42123,41725,41016,41881,42638,44555,43869,41846,42226
"42","35","S4 EN4533ZZMA       Used merchandise stores","T050350",6009,6609,6606,7154,7852,8698,9713,10079,10572,10201,10195,10009,10219,10364,11638,12831,14067,15083
"43","36","S4 EN4539ZZMA       Other miscellaneous store retailers","T050360",23132,26955,31703,35695,40081,43980,47521,50026,50052,49171,49849,49817,51151,53289,56125,57877,56699,54449
"44","37","S1 EN454ZZZMA     Nonstore retailers","T050370",80624,88048,98793,106215,120803,129355,137272,155527,184706,184788,193602,208452,228732,252350,275104,285042,301978,271684
"45","38","S2 EN4541ZZMA       Electronic shopping and mail-order houses","T050380",36027,41604,48110,53887,62500,71623,82082,96345,116095,117091,124480,133896,150074,167904,186928,192860,192046,180337
"46","39","S4 EN4542ZZMA       Vending machine operators","T050390",7256,7070,7182,6975,7711,8021,8114,8497,8873,8110,8209,7995,8447,8304,8448,9277,11031,8124
"47","40","S4 EN4543ZZMA       Direct selling establishments","T050400",37341,39374,43501,45353,50592,49711,47076,50685,59738,59587,60913,66561,70211,76142,79728,82904,98902,83223
"48","41","S1 EN722ZZZMA Food services and drinking places","T050410",215138,228302,238455,246989,256765,272465,287501,301306,322671,335514,350028,368837,392566,415567,441922,464253,469069,460880
"49","42","S4 EN7221ZZMA   Full-service restaurants","T050420",91812,97002,102992,105478,110855,121395,127191,133767,142393,149149,156985,164341,173635,182193,193395,207932,217856,221675
"50","43","S4 EN7222ZZMA   Limited-service eating places","T050430",92628,100266,104200,109204,112419,115568,122465,126710,135108,140393,146035,155239,167704,178779,189202,195166,190169,177335
"51","44","S4 EN7223ZZMA   Special food Services","T050440",17719,18216,18846,19163,19824,21397,23118,25508,28852,29370,29674,30706,32120,34676,37489,38754,38071,38864
"52","45","S4 EN7224ZZMA   Drinking places (alcoholic beverages)","T050450",12979,12818,12417,13144,13667,14105,14727,15321,16318,16602,17334,18551,19107,19919,21836,22400,22974,23005
"53",NA,"              Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","46","S1 EN04472BMA   Retail and food services except motor vehicle and parts dealers","T050460",1673584,1761186,1875758,1961925,2071925,2170568,2268572,2433643,2607053,2678717,2758526,2892970,3110430,3334378,3540991,3662439,3736620,3523779
"55","47","S1 EN44GZZZMA   Retail trade except motor vehicle and parts dealers","T050470",1458446,1532884,1637303,1714936,1815160,1898103,1981071,2132337,2284382,2343203,2408498,2524133,2717864,2918811,3099069,3198186,3267551,3062899
"56","48","S2 EN44BZZZMA   GAFO-Department store merchandise stores \1\","T050480",569133,608321,656870,692867,727404,759129,806804,867754,916208,935593,967083,1004400,1065290,1125907,1186222,1220152,1213606,1201434
"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","S1=Based on Census advance data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","S2=Based on Census preliminary and final data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","S3=Based on unpublished Census data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","S4=Based on unpublished Census data, seasonally adjusted by BEA.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","1. Includes industries EN442ZZZMA, EN443ZZZMA, EN448ZZZMA, EN451ZZZMA,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","EN452ZZZMA, and EN4532ZZMA.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
