"","Table 3#14# Government Social Insurance Funds Current Receipts a","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78"
"11","3","  Employee and self-employed contributions","A1585C1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.4,0.4,0.5,0.6,0.9,1.4,1.8,1.9,1.5,1.6,1.5,1.5,2.1,2.5,2.7,2.8,3.4,3.9,4.3,5,5,5.9,7.1,7.3,7.8,9.1,9.6,10.1,14.2,16.6,18.4,21,22.2,24.4,27.6,35.3,40,42.1,46.4,51.4,59,69.4,76.8,91.4,98.3,105,117.1,132.5,144,154.8,174.6,189.7,201.7,212.7,223.7,234.8,251,266.2,278.1,296.1,315.4,336.3,356.3,370.6,380.8,392.5
"12","4","  Employer contributions","A1580C1",0,0,0,0,0,0,0,0.2,1,1.2,1.3,1.4,1.7,2,2.3,2.5,3.5,5,3.8,2.9,3.2,3.2,3.9,3.9,4,4.3,4.9,5.4,6,6,7.5,8.9,9.2,10.8,12,12.2,12.6,16.3,17.4,19.3,22.1,23.1,25.6,30.2,38.7,43.5,45.4,52.7,59,68.8,79.5,85.8,100.4,106.6,116.8,135.7,144,153.5,161.1,178.5,186.6,198.4,205.9,218.1,228.7,242.7,253,264.6,280.3,298.4,315.4,335.4,346.9,353,365.7
"13","5","    Government","L313051",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,1.4,2.9,1.4,0.5,0.9,0.1,0.2,0.2,0.2,0.3,0.4,0.3,0.5,0.7,0.7,0.8,0.9,0.9,1.1,1.2,1.2,1.6,2,2.4,2.8,3.2,3.8,4.3,5,5.8,7,7.7,8,8.7,9.7,10.8,12.8,13.8,15.6,17.2,18.9,20.7,21.9,25.8,27.9,30.7,33.2,35.6,36.8,37.6,38.3,39.3,40.6,42.2,44.4,47.1,50.5,54.4,57.4
"14","6","    Other","L313061",0,0,0,0,0,0,0,0.2,1,1.2,1.3,1.4,1.7,2,2.3,2.3,2.1,2.1,2.4,2.3,2.3,3.1,3.7,3.7,3.8,4.1,4.5,5,5.5,5.4,6.8,8.1,8.3,9.8,10.8,11,11.4,14.7,15.4,17,19.3,19.8,21.8,26,33.7,37.7,38.4,45,50.9,60.1,69.8,75.1,87.7,92.8,101.2,118.5,125,132.8,139.1,152.7,158.7,167.7,172.7,182.5,191.9,205,214.7,225.3,239.7,256.2,271,288.3,296.4,298.6,308.3
"15","7","Interest received","L313071",0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.5,0.5,0.6,0.7,0.7,0.7,0.8,0.9,1,1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.3,1.5,1.8,2.1,2.5,3.7,3.4,3.6,4,4.6,4.7,4.5,4.5,4.9,5.2,5.9,6.8,6.7,6,9,11.7,12.7,15.2,20.4,28,34.8,39.3,43.5,45.8,48.3,53.3,56.7,62.7,65.9,77.9,88.6,98.1,106.3,106.8
"16","8","    Current expenditures","A1670C1",0,0,0,0,0,0,0,0.1,0.2,0.7,0.8,0.9,0.8,0.8,0.7,0.7,1.4,3.7,2.7,2.6,3.9,6.2,4.5,4.8,5.6,7.5,8.2,9,11.1,14.8,15.2,16.7,20,20.3,21.3,21.6,23.5,26,31.7,36.6,39.9,47.9,56.5,62.1,72.2,84.9,108.4,119.3,128.7,137.3,153.9,184,212.5,245.4,265.1,270.6,286.4,303.7,315.9,333.8,361.1,391.8,432.2,478.8,503.7,524.1,553.5,585.5,608.5,620.7,635.5,668,728.6,792.5,819.5
"17","9","Administrative expenses (consumption expenditures)","L313091",0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.3,0.4,0.3,0.3,0.3,0.5,0.5,0.4,0.6,0.6,0.6,0.8,0.7,0.8,0.8,0.9,1,0.9,1.1,1.5,1.8,1.9,2.3,2.2,2.8,3.2,3.6,3.8,4.1,4.2,4.8,5.2,5.7,6.1,6.3,6.5,6.5,6.6,7.3,7.2,7.4,8.3,9,9.7,8.8,9.5,9.6,9.1,9.7,9.8,10,10.7,12,12.4
"18","10","Government social benefits","W026RC1",0,0,0,0,0,0,0,0,0.1,0.5,0.6,0.8,0.6,0.7,0.4,0.5,1.2,3.5,2.6,2.4,3.6,5.9,4.1,4.5,5.3,7.2,7.7,8.5,10.7,14.2,14.6,16.1,19.2,19.5,20.5,20.8,22.6,25,30.7,35.5,38.4,46.1,54.5,59.7,70,82.2,105.2,115.7,124.9,133.2,149.7,179.2,207.3,239.7,259,264.3,279.9,297.2,309.3,326.6,353.9,384.4,423.9,469.7,494,515.2,544.1,575.9,599.3,611.1,625.7,657.9,717.9,780.4,807.1
"19","11","  To persons","A1588C1",0,0,0,0,0,0,0,0,0.1,0.5,0.6,0.8,0.6,0.7,0.4,0.5,1.2,3.5,2.6,2.4,3.6,5.9,4.1,4.5,5.3,7.2,7.7,8.5,10.7,14.2,14.6,15.9,19,19.3,20.3,20.6,22.3,24.7,30.3,35.1,38,45.7,54,59.2,69.4,81.6,104.5,114.9,124.1,132.3,148.7,178.1,206,238.5,257.7,263,278.6,295.6,307.8,325,352.2,382.7,421.7,467.8,492.1,513.1,542.2,573.7,597.2,608.8,623.4,655.5,715.2,777.7,804.3
"20","12","  To the rest of the world","W016RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.8,0.8,0.9,1,1.1,1.3,1.2,1.3,1.2,1.2,1.6,1.5,1.6,1.6,1.8,2.2,1.9,1.9,2.1,1.9,2.2,2.2,2.3,2.4,2.5,2.7,2.7,2.8
"21","13","    Net saving","B243RC1",0.1,0.1,0.1,0,0,0,0,0.2,1.4,1,1,1,1.6,2.2,3.3,3.9,4.3,3.2,3.2,2.4,1.5,-0.3,2.6,2.6,2.1,1.2,1.5,1.7,1.1,-2.7,-0.7,0.4,-2.3,-0.6,0.8,1.3,0.5,6,4.1,3.2,5.7,1,-3,-0.6,5.8,3.2,-16.2,-15.6,-13.8,-4.6,0.2,-15.5,-13.8,-33.8,-37.3,-8.7,1.7,6.4,15.2,39.7,43.1,43,25.7,6.5,5.6,17.9,19,13.9,30.6,59,94.1,112.3,87,47.7,45.5
"22",NA,"          State and local"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","14","    Current receipts","A743RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.7,0.8,0.9,1,1,1.1,1.2,1.3,1.5,1.7,1.9,2.1,2.5,3.2,3.9,4.6,4.4,4.8,5.3,5.6,6.3,6.7,7.9,9.2,10.5,11.2,12.4,14.3,16.2,17.3,17.6,17.1,16.2,14.5,14.9,15.1,16.3,18.2,18.7,19.5
"24","15","Contributions for government social insurance","B104RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.8,0.8,0.9,0.9,1,1.1,1.2,1.3,1.5,1.7,1.8,2.2,2.8,3.4,3.9,3.6,3.9,4,4.1,4.7,4.9,6,7.2,8.4,9,10,11.6,13.1,14.1,14.5,13.6,12.5,10.8,10.4,9.8,11,13.6,14.5,15
"25","16","  Employee and self-employed contributions","B738RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.1,0.1,0,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.7,0.8,0.5,0.7,0.9,1,1.3,1.1,1.6,2,2.2,1.9,2,2.4,2.8,3,3.1,2.6,2.2,1.6,1.8,1.8,2.8,3.9,3.9,4.2
"26","17","  Employer contributions","A744RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.8,0.9,1,1.2,1.4,1.7,2.2,2.7,3.1,3.1,3.2,3.2,3.1,3.3,3.8,4.4,5.2,6.2,7.1,8,9.2,10.3,11.1,11.5,11,10.2,9.2,8.6,8,8.2,9.7,10.6,10.8
"27","18","    Government","B739RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.5,0.6,0.8,0.8,0.9,0.9,0.8,0.7,0.8,0.8,0.8,0.9,1.1,1.2,1.6,2.1,2.5,2.9,2.8,2.5,2.4,2.5,2.4,2.2,2.3,2.5,2.6
"28","19","    Other","B740RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.9,1,1.1,1.3,1.7,2.1,2.3,2.3,2.3,2.3,2.3,2.6,3,3.6,4.4,5.2,6.1,6.8,7.6,8.2,8.7,8.6,8.2,7.8,6.8,6.1,5.6,6,7.4,8.1,8.2
"29","20","Interest received","B746RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.7,0.8,1,1.3,1.5,1.6,1.8,1.9,2,2.1,2.2,2.3,2.6,3.1,3.2,3.1,3.5,3.7,3.7,4.5,5.4,5.3,4.6,4.2,4.4
"30","21","    Current expenditures","A745RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.7,0.7,0.7,0.8,0.8,0.9,1,1,1.1,1.2,1.4,1.5,1.7,1.9,2.2,2.4,2.8,3.1,3.5,4.1,4.4,4.9,5.4,6,7,8,8.8,10.4,11.9,13,13.1,13,13,13.3,13.3,13.2,13.4,14.2,15.6,17.1,18.3
"31","22","Administrative expenses (consumption expenditures)","B741RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.8,0.9,1.1,1.4,1.6,1.7,2,2.3,2.4,2.6,2.8,2.8,2.7,2.9,3.3,3.5
"32","23","Government social benefit payments to persons","B742RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.9,0.9,1,1.1,1.2,1.4,1.5,1.7,1.9,2.2,2.5,2.8,3.2,3.7,4,4.4,4.9,5.5,6.4,7.2,7.9,9.2,10.5,11.5,11.4,11,10.7,11,10.7,10.4,10.6,11.5,12.7,13.9,14.9
"33","24","    Net saving","B118RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.6,1,1.5,1.8,1.3,1.3,1.2,1.2,1.4,1.3,1.9,2.2,2.5,2.3,2,2.4,3.1,4.2,4.6,4,2.8,1.2,1.7,1.7,2,2.6,1.6,1.1
