"","Table 1#1#6B# Real Gross Domestic Product, Chained (1952) Dollar","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24"
"19","12","  Change in private inventories","A014BX1",3.4,-1.2,-1.4,-2.6,8.3,-1.2,6.3,-3.3,6.3,8.7,3.5,2.2,-2.1,5.2,3.9,1,-0.2,4.5,3.8,3.4,7.1
"20","13","Net exports of goods and services","A019BX1",-2.6,-6.1,-6.2,-4.6,7.3,10.4,4.3,4.6,0.5,3.1,1.2,-1.4,0.2,0,1.5,2.5,-1.5,-1.7,1.7,2,0.6
"21","14","  Exports","A020BX1",6.6,5.5,6,8.3,18,20.5,16.2,16,14,17.2,16.5,15.4,16.1,17.8,20.8,22.6,19.5,21.5,25.3,25.4,26.7
"22","15","    Goods","A253BX1",5.2,4.1,4.4,6.6,15.2,17.5,13.6,13.5,11.6,14.2,13.4,12.5,13.3,14.6,17.2,18.5,15.7,15.6,19.3,19.4,20.2
"23","16","    Services","A646BX1",1.3,1.4,1.5,1.7,2.8,3,2.6,2.6,2.4,3,3,2.8,2.9,3.2,3.6,4,3.8,5.9,6,6,6.4
"24","17","  Imports","A021BX1",9.2,11.6,12.2,12.9,10.7,10.2,11.9,11.4,13.5,14.1,15.3,16.7,15.9,17.8,19.3,20.1,21,23.2,23.6,23.4,26.1
"25","18","    Goods","A255BX1",6.1,7,7.3,7.3,8.4,8.1,9.2,8.9,10.8,10.6,10.8,11.5,10.6,11.8,12.9,13.3,13.6,16,15.7,15.7,18
"26","19","    Services","B656BX1",2.8,3.9,4.2,4.8,2.3,2.1,2.6,2.5,2.7,3.4,4.5,5.3,5.3,6,6.4,6.8,7.4,7.3,7.8,7.7,8.1
"27","20","Government consumption expenditures and gross investment","A822BX1",99,147.3,165.7,144.7,49.8,42.3,45.4,50.8,50.9,69.5,83.6,89.6,83.5,80.4,80.5,84,86.7,89.7,89.8,94.3,100.1
"28","21","  Federal","A823BX1",79.4,125.6,143.4,123.1,33.2,24.5,26.4,29,27.4,45.5,59.2,64,55.6,50.5,49.6,51.4,51.3,52.9,51.5,53.6,58.2
"29","22","    National defense","A824BX1",75.5,123.1,140.5,121,29,19.5,19.7,20.7,20.4,39.4,52.4,55.7,47.7,43.1,42.8,44.6,44.3,43.4,42.7,44.6,47.3
"30","23","    Nondefense","A825BX1",4.3,3.4,3.9,3,4.3,5,6.9,8.5,7.2,6.1,6.8,8.3,7.9,7.4,6.8,6.8,7,9.5,8.8,9,10.9
"31","24","  State and local","A829BX1",15.8,14.4,13.9,14.4,15.8,18,19.1,22,23.9,24,24.4,25.6,27.9,29.9,30.9,32.7,35.5,36.8,38.4,40.8,42
"32","25","Residual","A960BX1",0.2,4.7,5.1,5.7,0.5,0,-1.2,0.2,-1,-0.7,0.2,0.4,1.1,-0.7,-0.4,0.6,1.7,0.3,0.3,1.1,0.6
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Note. Chained (1952) dollar series are calculated as the product of the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","quantity index and the 1952 current-dollar value of the corresponding series, divided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","by 100. Because the formula for the chain-type quantity indexes uses weights of more than",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","one period, the corresponding chained-dollar estimates are usually not additive. The residual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","line is the difference between the first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
